阿阿达达,a'a'da'da
不生拧气,bu'sheng'ning'qi
不涛你,bu'tao'ni
不行点,bu'xing'dian
不作尚,bu'zuo'shang
菜背,cai'bei
菜广,cai'guang
菜老,cai'lao
裁年鸡,cai'nian'ji
裁年猪,cai'nian'zhu
藏辣椒,cang'la'jiao
藏萝卜,cang'luo'bo
仓桶,cang'tong
草包,cao'bao
草刮,cao'gua
测庙角,ce'miao'jiao
测炮眼个,ce'pao'yan'ge
茶蛋,cha'dan
岔丢,cha'diu
岔丢婆,cha'diu'po
茶耳朵,cha'er'duo
岔拉鬼,cha'la'gui
查时,cha'shi
拆骨,chai'gu
拆绝里,chai'jue'li
拆开来,chai'kai'lai
豺龙百,chai'long'bai
豺龙万,chai'long'wan
拆冒你骨里老去,chai'mao'ni'gu'li'lao'qu
拆散里,chai'san'li
拆屋,chai'wu
铲菜,chan'cai
铲草,chan'cao
铲坎,chan'kan
铲田神,chan'tian'shen
唱歌仔,chang'ge'zai
长征路,chang'zheng'lu
抄几,chao'ji
抄家,chao'jia
吵软,chao'ruan
吵死,chao'si
抄田,chao'tian
吵习里,chao'xi'li
抄牙告,chao'ya'gao
抄野牙告,chao'ye'ya'gao
扯卵蛋,che'luan'dan
称钩弯,cheng'gou'wan
称烂子,cheng'lan'zi
称王,cheng'wang
赤补,chi'bu
赤不赖刮,chi'bu'lai'gua
赤脚,chi'jiao
冲冲射射,chong'chong'she'she
冲冲射射里,chong'chong'she'she'li
崇仁,chong'ren
臭嘎嘎,chou'ga'ga
臭脚,chou'jiao
臭脚草,chou'jiao'cao
出灯,chu'deng
触电,chu'dian
出鬼,chu'gui
出鸡老,chu'ji'lao
出麻油,chu'ma'you
出日侯,chu'ri'hou
出日侯姑,chu'ri'hou'gu
出神,chu'shen
触死里,chu'si'li
厨下,chu'xia
出相,chu'xiang
触鱼,chu'yu
船坪,chuan'ping
川线,chuan'xian
穿线,chuan'xian
川针,chuan'zhen
穿针,chuan'zhen
床上捡被窝,chuang'shang'jian'bei'wo
吹风,chui'feng
吹牛,chui'niu
吹牌九,chui'pai'jiu
蠢子,chun'zi
戳软,chuo'ruan
戳软靠青,chuo'ruan'kao'qing
戳习,chuo'xi
瓷盘,ci'pan
瓷盆,ci'pen
凑个数,cou'ge'shu
凑钱,cou'qian
凑数,cou'shu
粗布,cu'bu
粗声粗气,cu'sheng'cu'qi
汆嘎嘎,cuan'ga'ga
汆汤,cuan'tang
汆猪肉,cuan'zhu'rou
催生,cui'sheng
村脑上,cun'nao'shang
错习,cuo'xi
打摆子,da'bai'zi
打爆冲,da'bao'chong
大陂,da'bei
打尘灰,da'chen'hui
打赤补,da'chi'bu
打赤脚,da'chi'jiao
打铳,da'chong
大虫恰小虫,da'chong'qia'xiao'chong
大虫恰小虫小虫恰毛虫,da'chong'qia'xiao'chong'xiao'chong'qia'mao'chong
打抖定,da'dou'ding
打短命,da'duan'ming
打服姑聊仔,da'fu'gu'liao'zai
大腹拉石,da'fu'la'shi
大腹拉石里,da'fu'la'shi'li
大腹便便,da'fu'pian'pian
打斧头个,da'fu'tou'ge
打狗恰,da'gou'qia
打谷机,da'gu'ji
打光棍,da'guang'gun
打害姑,da'hai'gu
打害壳,da'hai'ke
打禾水,da'he'shui
打花鼓,da'hua'gu
搭伙,da'huo
打空手,da'kong'shou
打雷禾杀,da'lei'he'sha
打流,da'liu
打龙赌,da'long'du
打楼面,da'lou'mian
打麻糍,da'ma'ci
打麻哇,da'ma'wa
打毛绳,da'mao'sheng
打念妈,da'nian'ma
打拧,da'ning
打平伙,da'ping'huo
打抢,da'qiang
打圈姑,da'quan'gu
达衫,da'shan
打衫徒,da'shan'tu
达舌鬼,da'she'gui
打声气,da'sheng'qi
打石,da'shi
打霜,da'shuang
打死里,da'si'li
打拖里,da'tuo'li
打秧,da'yang
打野猪,da'ye'zhu
打游击,da'you'ji
打子,da'zi
呆宝,dai'bao
呆呆恶恶,dai'dai'e'e
带咩咩,dai'mie'mie
戴泡,dai'pao
袋秋,dai'qiu
带我去,dai'wo'qu
带崽,dai'zai
单病,dan'bing
单风,dan'feng
单哈子老,dan'ha'zi'lao
单积,dan'ji
弹脚,dan'jiao
蛋皮,dan'pi
单针骨老,dan'zhen'gu'lao
当饭,dang'fan
当饭个,dang'fan'ge
当家,dang'jia
当街,dang'jie
当井风,dang'jing'feng
当面,dang'mian
当死,dang'si
当死冒救,dang'si'mao'jiu
当眼,dang'yan
刀恩早里,dao'en'zao'li
刀饭,dao'fan
倒零,dao'ling
倒零末脚,dao'ling'mo'jiao
刀早,dao'zao
倒灶老,dao'zao'lao
扽姜涂,den'jiang'tu
等到过世,deng'dao'guo'shi
等到卯卯年,deng'dao'mao'mao'nian
灯火,deng'huo
等刻仔,deng'ke'zai
灯婆,deng'po
等死,deng'si
等下仔,deng'xia'zai
低低达达里,di'di'da'da'li
颠妈,dian'ma
颠婆,dian'po
颠子,dian'zi
吊井,diao'jing
刁嘴,diao'zui
爹爹,die'die
跌鼓,die'gu
跌绝鼓种,die'jue'gu'zhong
跌冒魂,die'mao'hun
跌冒里,die'mao'li
跌你爷娘个鼓,die'ni'ye'niang'ge'gu
跌气,die'qi
跌仔死,die'zai'si
丢饭,diu'fan
丢街,diu'jie
懂会埋,dong'hui'mai
东家岭,dong'jia'ling
东炉,dong'lu
懂台来,dong'tai'lai
懂台来死,dong'tai'lai'si
东英角桥,dong'ying'jiao'qiao
斗床仔,dou'chuang'zai
都都达达里,dou'dou'da'da'li
斗何,dou'he
斗鸡,dou'ji
兜老,dou'lao
都罗汉,dou'luo'han
兜起来,dou'qi'lai
斗子,dou'zi
抖子钱,dou'zi'qian
短来,duan'lai
短命仔,duan'ming'zai
短去,duan'qu
断真,duan'zhen
顿脚,dun'jiao
剁柴,duo'chai
多多拜里,duo'duo'bai'li
多几多里,duo'ji'duo'li
剁岭,duo'ling
多冒里,duo'mao'li
剁牛肉,duo'niu'rou
躲闪门仔,duo'shan'men'zai
多事,duo'shi
多哇个,duo'wa'ge
多哇冒里,duo'wa'mao'li
剁习个,duo'xi'ge
多呀拜,duo'ya'bai
剁衣裳,duo'yi'shang
剁猪肉,duo'zhu'rou
躲子屋,duo'zi'wu
多嘴甲,duo'zui'jia
恶戳,e'chuo
饿拧,e'ning
饿死鬼,e'si'gui
饿仔死,e'zai'si
恩啊嘻嘻,en'a'xi'xi
恩打恩,en'da'en
二流子,er'liu'zi
耳子,er'zi
发颠,fa'dian
法风,fa'feng
发火,fa'huo
发老火,fa'lao'huo
发气,fa'qi
发神精,fa'shen'jing
发痫米,fa'xian'mi
翻风,fan'feng
翻谷,fan'gu
翻葫饼,fan'hu'bing
烦拧,fan'ning
烦死里,fan'si'li
返眼狗,fan'yan'gou
放鬼门关,fang'gui'men'guan
飞飞起,fei'fei'qi
废物,fei'wu
分开来,fen'kai'lai
分平来,fen'ping'lai
分子,fen'zi
风车,feng'che
凤凤老,feng'feng'lao
凤凤眼,feng'feng'yan
风拿个,feng'na'ge
抚八,fu'ba
抚八线,fu'ba'xian
腹绷,fu'beng
腹绷肉,fu'beng'rou
抚丢,fu'diu
抚端,fu'duan
腹根仔痛个,fu'gen'zai'tong'ge
服光明经,fu'guang'ming'jing
腹饥,fu'ji
抚吉,fu'ji
抚吉高速,fu'ji'gao'su
抚吉高速公路,fu'ji'gao'su'gong'lu
敷烂脚,fu'lan'jiao
腹里台痛,fu'li'tai'tong
付泥,fu'ni
付泥饼,fu'ni'bing
芙蓉山庄,fu'rong'shan'zhuang
服书,fu'shu
服药,fu'yao
腹仔痛个,fu'zai'tong'ge
腹仔笑痛里,fu'zai'xiao'tong'li
嘎嘎,ga'ga
盖里,gai'li
赶刀饭,gan'dao'fan
赶丢饭,gan'diu'fan
干港仔,gan'gang'zai
赶牛,gan'niu
干死里,gan'si'li
干塘,gan'tang
赶夜饭,gan'ye'fan
赶早,gan'zao
港口,gang'kou
港神上,gang'shen'shang
高低床,gao'di'chuang
搞鬼,gao'gui
告化子,gao'hua'zi
搞酒,gao'jiu
高开来,gao'kai'lai
告老,gao'lao
搞软,gao'ruan
搞软事一,gao'ruan'shi'yi
告书,gao'shu
搞水,gao'shui
搞死,gao'si
搞糖水恰,gao'tang'shui'qia
高望,gao'wang
个把里,ge'ba'li
个达个里,ge'da'ge'li
个打会死,ge'da'hui'si
个多,ge'duo
个个,ge'ge
割禾,ge'he
个及,ge'ji
个及拧,ge'ji'ning
各椒,ge'jiao
个老,ge'lao
个老多,ge'lao'duo
个里,ge'li
个拧,ge'ning
各拧,ge'ning
各拧行,ge'ning'xing
个是个,ge'shi'ge
格死,ge'si
格死里,ge'si'li
个只,ge'zhi
个只死老,ge'zhi'si'lao
个种,ge'zhong
跟起跟短,gen'qi'gen'duan
跟上跟下,gen'shang'gen'xia
跟我软样,gen'wo'ruan'yang
公婆,gong'po
巩田神,gong'tian'shen
狗戳,gou'chuo
狗戳个,gou'chuo'ge
狗打兰,gou'da'lan
狗姑软,gou'gu'ruan
狗骨头,gou'gu'tou
够恰够用,gou'qia'gou'yong
狗软,gou'ruan
狗软子冲射向,gou'ruan'zi'chong'she'xiang
狗射个,gou'she'ge
咕加子叫,gu'jia'zi'jiao
骨里老,gu'li'lao
咕绿,gu'lv
挂壁,gua'bi
挂壁胡子,gua'bi'hu'zi
挂钩,gua'gou
呱呱叫,gua'gua'jiao
瓜壳,gua'ke
剐裤,gua'ku
刮利,gua'li
剐皮,gua'pi
瓜皮,gua'pi
剐皮老鼠,gua'pi'lao'shu
瓜手瓜脚,gua'shou'gua'jiao
剐衣裳,gua'yi'shang
瓜仔秧,gua'zai'yang
剐嘴,gua'zui
怪不得,guai'bu'de
拐的,guai'de
怪鬼,guai'gui
怪赖个,guai'lai'ge
怪四加,guai'si'jia
乖崽,guai'zai
管不当,guan'bu'dang
管不住,guan'bu'zhu
关牛,guan'niu
关我软事,guan'wo'ruan'shi
光巴,guang'ba
光巴个,guang'ba'ge
光灿子,guang'can'zi
光棍,guang'gun
光老,guang'lao
光明经,guang'ming'jing
鬼宠你,gui'chong'ni
鬼门关,gui'men'guan
鬼恰,gui'qia
鬼无拾七,gui'wu'shi'qi
鬼晓得,gui'xiao'de
归仔,gui'zai
鬼作拖里,gui'zuo'tuo'li
滚棉花球,gun'mian'hua'qiu
滚水,gun'shui
锅巴,guo'ba
锅铲,guo'chan
果子,guo'zi
哈班,ha'ban
哈脆,ha'cui
哈公,ha'gong
哈楼,ha'lou
蛤蟆,ha'ma
哈批,ha'pi
哈亲,ha'qin
哈秋,ha'qiu
哈秋仔,ha'qiu'zai
哈婶,ha'shen
哈叔,ha'shu
哈子老,ha'zi'lao
海巴子,hai'ba'zi
嗨卜哈丢,hai'bu'ha'diu
嗨补夜,hai'bu'ye
害高,hai'gao
嗨个里,hai'ge'li
嗨赫里,hai'he'li
嗨机,hai'ji
孩里,hai'li
嗨脑,hai'nao
嗨拧,hai'ning
害拧,hai'ning
海恰里,hai'qia'li
嗨日里,hai'ri'li
害软高,hai'ruan'gao
嗨生嗨气,hai'sheng'hai'qi
憨巴子红,han'ba'zi'hong
憨鳖,han'bie
憨病,han'bing
憨肠,han'chang
憨肠跌气,han'chang'die'qi
憨憨勺勺,han'han'shao'shao
憨憨勺勺里,han'han'shao'shao'li
憨憨死死里,han'han'si'si'li
憨红,han'hong
寒梅老鼠,han'mei'lao'shu
憨拧,han'ning
汗劈劈,han'pi'pi
憨恰死做,han'qia'si'zuo
憨手吊瘸,han'shou'diao'que
憨崽,han'zai
憨仔冒拧懂,han'zai'mao'ning'dong
含仔嘴里,han'zai'zui'li
憨子,han'zi
憨嘴蠢面,han'zui'chun'mian
憨嘴蠢面里,han'zui'chun'mian'li
好歹,hao'dai
好里唔仔结壳,hao'li'wu'zai'jie'ke
好恰,hao'qia
荷包,he'bao
荷包蛋,he'bao'dan
呵背,he'bei
禾夫,he'fu
何何迹迹,he'he'ji'ji
河河落里,he'he'luo'li
何迹,he'ji
赫粟,he'su
横不岭,heng'bu'ling
横坑,heng'keng
红毛仔,hong'mao'zai
红毛仔剐,hong'mao'zai'gua
红毛仔凯,hong'mao'zai'kai
红卫桥,hong'wei'qiao
后生,hou'sheng
后生拧里,hou'sheng'ning'li
猴世造恶,hou'shi'zao'e
猴世做过里,hou'shi'zuo'guo'li
猴死里,hou'si'li
猴仔把戏,hou'zai'ba'xi
虎笔,hu'bi
胡夫,hu'fu
胡勺壳,hu'shao'ke
胡子,hu'zi
胡子落戳里,hu'zi'luo'chuo'li
画板,hua'ban
滑跌里,hua'die'li
花花绿绿,hua'hua'lv'lv
花花绿绿里,hua'hua'lv'lv'li
花啦古关,hua'la'gu'guan
花啦古关里,hua'la'gu'guan'li
划眯巴,hua'mi'ba
滑轻,hua'qing
滑雪衣,hua'xue'yi
还价,huan'jia
还钱,huan'qian
黄旗,huang'qi
黄下,huang'xia
黄下拧,huang'xia'ning
灰间,hui'jian
魂仔吓冒里,hun'zai'xia'mao'li
火笼,huo'long
火盆,huo'pen
火恰,huo'qia
火钳,huo'qian
火烧个,huo'shao'ge
火屎,huo'shi
火死里,huo'si'li
火涂,huo'tu
几多里,ji'duo'li
几贵,ji'gui
几好,ji'hao
鸡荷包,ji'he'bao
鸡荷包仔,ji'he'bao'zai
几几嘉嘉,ji'ji'jia'jia
几几嘉嘉里,ji'ji'jia'jia'li
及及糖,ji'ji'tang
几加,ji'jia
鸡架子,ji'jia'zi
几久里,ji'jiu'li
记窟个,ji'ku'ge
鸡老,ji'lao
纪念塔,ji'nian'ta
及拧,ji'ning
记丧个,ji'sang'ge
几时加,ji'shi'jia
几早里,ji'zao'li
夹不兰,jia'bu'lan
夹不心,jia'bu'xin
甲长,jia'chang
嫁出去个姑娘泼出去的水,jia'chu'qu'ge'gu'niang'po'chu'qu'de'shui
加达死装,jia'da'si'zhuang
加凳,jia'deng
家公,jia'gong
甲骨恰,jia'gu'qia
甲骨翘,jia'gu'qiao
加会死,jia'hui'si
架轿,jia'jiao
架马,jia'ma
加米,jia'mi
家娘,jia'niang
嫁女酒,jia'nv'jiu
加私,jia'si
加死装,jia'si'zhuang
加台来死,jia'tai'lai'si
甲眼钱,jia'yan'qian
架子冷神,jia'zi'leng'shen
架子能生,jia'zi'neng'sheng
间称,jian'cheng
煎嘎嘎,jian'ga'ga
见鬼,jian'gui
拣好恰,jian'hao'qia
捡魂,jian'hun
捡狂,jian'kuang
间里,jian'li
捡零事哇,jian'ling'shi'wa
间门口,jian'men'kou
捡轻你来,jian'qing'ni'lai
捡拾,jian'shi
捡田螺,jian'tian'luo
尖嘴,jian'zui
尖嘴日屁,jian'zui'ri'pi
尖嘴日屁里,jian'zui'ri'pi'li
姜钵,jiang'bo
姜钵仔,jiang'bo'zai
脚板底,jiao'ban'di
轿背肉,jiao'bei'rou
脚不懒胆,jiao'bu'lan'dan
轿夫,jiao'fu
脚姑老,jiao'gu'lao
娇娇女,jiao'jiao'nv
脚劲,jiao'jin
娇里娇气,jiao'li'jiao'qi
娇里娇气里,jiao'li'jiao'qi'li
娇冒牙齿,jiao'mao'ya'chi
娇冒牙体,jiao'mao'ya'ti
脚色,jiao'se
脚他仔,jiao'ta'zai
脚头老,jiao'tou'lao
脚鱼,jiao'yu
脚仔,jiao'zai
角仔脑,jiao'zai'nao
接春,jie'chun
姐夫,jie'fu
节节赖赖,jie'jie'lai'lai
芥里,jie'li
街心花园,jie'xin'hua'yuan
接新拧,jie'xin'ning
今刀,jin'dao
斤斤刮刮,jin'jin'gua'gua
斤斤刮刮里,jin'jin'gua'gua'li
斤死里个斤,jin'si'li'ge'jin
斤仔冒拧懂,jin'zai'mao'ning'dong
井边,jing'bian
颈根骨,jing'gen'gu
精棺材,jing'guan'cai
精几,jing'ji
精及,jing'ji
精交糖,jing'jiao'tang
精精刮刮,jing'jing'gua'gua
精精刮刮里,jing'jing'gua'gua'li
精青,jing'qing
精肉,jing'rou
精死里个精,jing'si'li'ge'jing
精仔冒拧懂,jing'zai'mao'ning'dong
酒饼,jiu'bing
酒兜,jiu'dou
酒鬼,jiu'gui
酒壶,jiu'hu
揪揪芡,jiu'jiu'qian
揪揪射,jiu'jiu'she
揪冒个脑,jiu'mao'ge'nao
就你哇个,jiu'ni'wa'ge
就你哇哇里,jiu'ni'wa'wa'li
酒酿,jiu'niang
揪青,jiu'qing
揪酸,jiu'suan
揪酸剐骨,jiu'suan'gua'gu
酒糟,jiu'zao
圈墙,juan'qiang
绝夫,jue'fu
绝告老,jue'gao'lao
绝害,jue'hai
绝害个,jue'hai'ge
绝火烟,jue'huo'yan
绝里事,jue'li'shi
绝灭,jue'mie
绝你个灭,jue'ni'ge'mie
绝拧,jue'ning
绝拧个,jue'ning'ge
绝拧象,jue'ning'xiang
绝事,jue'shi
绝种,jue'zhong
卡死里,ka'si'li
揩担,kai'dan
开饭,kai'fan
揩谷,kai'gu
开光,kai'guang
开荒,kai'huang
开墙角,kai'qiang'jiao
开声,kai'sheng
揩水,kai'shui
开丝米,kai'si'mi
开眼,kai'yan
凯仔,kai'zai
看把戏,kan'ba'xi
槛背,kan'bei
扛嫁妆,kang'jia'zhuang
抗起来,kang'qi'lai
靠衣裳,kao'yi'shang
科懂,ke'dong
瞌死,ke'si
瞌王中,ke'wang'zhong
瞌醒,ke'xing
瞌醒里,ke'xing'li
空拧,kong'ning
空手,kong'shou
空心萝卜,kong'xin'luo'bo
口干,kou'gan
口烂,kou'lan
抠门,kou'men
口水客,kou'shui'ke
口水哇哇,kou'shui'wa'wa
口燥,kou'zao
哭去死,ku'qu'si
哭死,ku'si
哭仔心寒,ku'zai'xin'han
苦珠豆腐,ku'zhu'dou'fu
挎挎糖,kua'kua'tang
夸痒,kua'yang
挎仔,kua'zai
挎子糖,kua'zi'tang
快活死,kuai'huo'si
快来,kuai'lai
快杀及,kuai'sha'ji
快行,kuai'xing
快追,kuai'zhui
快走,kuai'zou
亏老本,kui'lao'ben
困告,kun'gao
腊达,la'da
拉倒,la'dao
拉灯,la'deng
腊滴,la'di
辣椒末,la'jiao'mo
腊壳,la'ke
啦拧搞鬼,la'ning'gao'gui
啦拧搞死,la'ning'gao'si
腊肉,la'rou
腊塔里,la'ta'li
邋遢死里,la'ta'si'li
腊猪肉,la'zhu'rou
来得,lai'de
来的,lai'de
赖个,lai'ge
赖及拧,lai'ji'ning
来里,lai'li
来神,lai'shen
懒得跑,lan'de'pao
烂脚,lan'jiao
兰麻子,lan'ma'zi
烂冒里,lan'mao'li
烂泥,lan'ni
褴婆当,lan'po'dang
褴婆凯,lan'po'kai
篮仔,lan'zai
老表,lao'biao
老车站,lao'che'zhan
捞饭,lao'fan
老个,lao'ge
老骨头,lao'gu'tou
捞魂,lao'hun
捞见仔眼痛,lao'jian'zai'yan'tong
老拧里,lao'ning'li
老气,lao'qi
老杀鬼,lao'sha'gui
老鼠鬼,lao'shu'gui
捞痛眼,lao'tong'yan
老细,lao'xi
老爷,lao'ye
老爷打,lao'ye'da
老爷摸,lao'ye'mo
老爷摸个,lao'ye'mo'ge
老载鬼,lao'zai'gui
老贼,lao'zei
捞罩,lao'zhao
老只,lao'zhi
老只拧里,lao'zhi'ning'li
乐安,le'an
乐安长征医院,le'an'chang'zheng'yi'yuan
乐安大道,le'an'da'dao
乐安电视台,le'an'dian'shi'tai
乐安二中,le'an'er'zhong
乐安公安局,le'an'gong'an'ju
乐安教育局,le'an'jiao'yu'ju
乐安经贸商城,le'an'jing'mao'shang'cheng
乐安人民医院,le'an'ren'min'yi'yuan
乐安商贸城,le'an'shang'mao'cheng
乐安一小,le'an'yi'xiao
乐安一中,le'an'yi'zhong
乐安中医院,le'an'zhong'yi'yuan
雷公,lei'gong
雷公打,lei'gong'da
雷禾,lei'he
雷禾杀,lei'he'sha
里哈,li'ha
鲤妈,li'ma
笠仔,li'zai
镰花生,lian'hua'sheng
连扣子,lian'kou'zi
镰里镰钳,lian'li'lian'qian
镰钳,lian'qian
连衣裳,lian'yi'shang
两公婆,liang'gong'po
两老里,liang'lao'li
聊发里,liao'fa'li
聊法里,liao'fa'li
聊拧,liao'ning
聊仔里,liao'zai'li
裂脚,lie'jiao
猎落上猎落下,lie'luo'shang'lie'luo'xia
裂面,lie'mian
猎起猎短,lie'qi'lie'duan
猎上猎下,lie'shang'lie'xia
裂手,lie'shou
淋死里,lin'si'li
零冰,ling'bing
零迥,ling'jiong
岭上恰,ling'shang'qia
流坑,liu'keng
流里流气,liu'li'liu'qi
流流洛洛,liu'liu'luo'luo
溜溜钻,liu'liu'zuan
流球,liu'qiu
流子,liu'zi
隆度踏不,long'du'ta'bu
龙骨,long'gu
龙腾花园,long'teng'hua'yuan
楼细,lou'xi
鲁鲁杀杀,lu'lu'sha'sha
炉盆,lu'pen
炉盆火,lu'pen'huo
炉朽,lu'xiu
炉仔,lu'zai
乱巴,luan'ba
乱搞,luan'gao
乱哇,luan'wa
落背,luo'bei
裸菜,luo'cai
罗菜,luo'cai
裸草,luo'cao
洛窜,luo'cuan
罗高老上,luo'gao'lao'shang
啰里八嗦,luo'li'ba'suo
洛洛窜,luo'luo'cuan
罗衫板,luo'shan'ban
落水鬼,luo'shui'gui
落雪,luo'xue
罗衣裳,luo'yi'shang
落雨,luo'yu
麻饼,ma'bing
麻糍,ma'ci
蚂古蚂蚁,ma'gu'ma'yi
麻鸡,ma'ji
麻片,ma'pian
麻婆,ma'po
麻绳,ma'sheng
麻糖仔,ma'tang'zai
妈夜,ma'ye
麻竹笋仔,ma'zhu'sun'zai
麻子辣夹,ma'zi'la'jia
麻子辣夹里,ma'zi'la'jia'li
埋佳鬼,mai'jia'gui
卖懒,mai'lan
埋拧鬼,mai'ning'gui
蛮矮,man'ai
蛮百,man'bai
蛮长,man'chang
蛮聪明,man'cong'ming
蛮多,man'duo
蛮多拧,man'duo'ning
蛮贵,man'gui
蛮害拧,man'hai'ning
蛮憨,man'han
蛮好,man'hao
蛮会哇事,man'hui'wa'shi
蛮火,man'huo
蛮来得,man'lai'de
蛮来的,man'lai'de
蛮厉害,man'li'hai
蛮冒劲,man'mao'jin
蛮恰价,man'qia'jia
蛮杀青,man'sha'qing
蛮少,man'shao
蛮晓得,man'xiao'de
蛮新,man'xin
蛮要瞌,man'yao'ke
蛮野,man'ye
蛮有捡拾,man'you'jian'shi
蛮有味加,man'you'wei'jia
莽莽七七,mang'mang'qi'qi
莽莽七七里,mang'mang'qi'qi'li
莽莽贼,mang'mang'zei
莽莽贼呀样个,mang'mang'zei'ya'yang'ge
忙涂,mang'tu
毛比,mao'bi
毛比眼,mao'bi'yan
冒变,mao'bian
毛灿子,mao'can'zi
冒告老,mao'gao'lao
冒个多,mao'ge'duo
冒个几多里,mao'ge'ji'duo'li
冒猴脑,mao'hou'nao
猫鸡,mao'ji
冒几多里,mao'ji'duo'li
毛加恰,mao'jia'qia
毛家恰,mao'jia'qia
毛加恰个,mao'jia'qia'ge
毛家恰个,mao'jia'qia'ge
冒架子,mao'jia'zi
毛间脚仔,mao'jian'jiao'zai
冒劲,mao'jin
毛剌仔,mao'la'zai
冒赖个,mao'lai'ge
冒里,mao'li
毛栗,mao'li
毛毛雨,mao'mao'yu
冒面皮,mao'mian'pi
冒命,mao'ming
冒拧,mao'ning
冒恰,mao'qia
冒钱,mao'qian
毛神裤,mao'shen'ku
毛绳,mao'sheng
貌视,mao'shi
冒事,mao'shi
冒时间,mao'shi'jian
毛屎间,mao'shi'jian
冒习里,mao'xi'li
冒习里哇得,mao'xi'li'wa'de
冒行,mao'xing
冒淹脚,mao'yan'jiao
冒意思,mao'yi'si
冒做事,mao'zuo'shi
霉豆腐,mei'dou'fu
霉豆腐饼,mei'dou'fu'bing
霉姑隆冬,mei'gu'long'dong
霉鱼,mei'yu
妹崽,mei'zai
焖壶,men'hu
门同,men'tong
梦告里,meng'gao'li
眯巴,mi'ba
米包,mi'bao
米包粉,mi'bao'fen
米兰子,mi'lan'zi
眯眯瞌里,mi'mi'ke'li
咪咪摸摸,mi'mi'mo'mo
密密哇事,mi'mi'wa'shi
眯起个眼来乱哇,mi'qi'ge'yan'lai'luan'wa
米糖,mi'tang
眯眼,mi'yan
米猪仔,mi'zhu'zai
棉花球,mian'hua'qiu
面麻嘴乌,mian'ma'zui'wu
面皮,mian'pi
棉细橱,mian'xi'chu
庙门口,miao'men'kou
咩暗,mie'an
咩估死暗,mie'gu'si'an
咩咩拧里,mie'mie'ning'li
咩椅,mie'yi
民姑祠堂,min'gu'ci'tang
明刀,ming'dao
名都超市,ming'du'chao'shi
