半色调图案,ban'se'diao'tu'an
来自链接的图层组,lai'zi'lian'jie'de'tu'ceng'zu
历史纪录,li'shi'ji'lu
链接的图层,lian'jie'de'tu'ceng
链接图层,lian'jie'tu'ceng
联系表,lian'xi'biao
亮度对比度,liang'du'dui'bi'du
浏览,liu'lan
路径到,lu'jing'dao
滤镜,lv'jing
马赛克,ma'sai'ke
马赛克拼贴,ma'sai'ke'pin'tie
满画布显示,man'hua'bu'xian'shi
蒙尘与划痕,meng'chen'yu'hua'hen
描边,miao'bian
模糊,mo'hu
模拟墨黑,mo'ni'mo'hei
模拟纸白,mo'ni'zhi'bai
模式,mo'shi
目标路径,mu'biao'lu'jing
木刻,mu'ke
内存和图像高速缓存,nei'cun'he'tu'xiang'gao'su'huan'cun
内存与图像高速缓存,nei'cun'yu'tu'xiang'gao'su'huan'cun
内发光,nei'fa'guang
内阴影,nei'yin'ying
霓虹灯光,ni'hong'deng'guang
逆时针度,ni'shi'zhen'du
扭曲,niu'qu
排列,pai'lie
排列图标,pai'lie'tu'biao
喷笔,pen'bi
喷溅,pen'jian
喷色描边,pen'se'miao'bian
喷色线条,pen'se'xian'tiao
批处理,pi'chu'li
拼贴,pin'tie
拼缀图,pin'zhui'tu
平滑,ping'hua
平整图像,ping'zheng'tu'xiang
其它,qi'ta
启用矢量遮罩,qi'yong'shi'liang'zhe'zhao
启用图层剪切路径,qi'yong'tu'ceng'jian'qie'lu'jing
启用图层蒙板,qi'yong'tu'ceng'meng'ban
嵌入水印,qian'ru'shui'yin
前移一层,qian'yi'yi'ceng
强化的边缘,qiang'hua'de'bian'yuan
切变,qie'bian
切片,qie'pian
清除,qing'chu
清除参考线,qing'chu'can'kao'xian
清除内存数据,qing'chu'nei'cun'shu'ju
清除切片,qing'chu'qie'pian
清除图层样式,qing'chu'tu'ceng'yang'shi
球面化,qiu'mian'hua
去斑,qu'ban
去边,qu'bian
去色,qu'se
曲线,qu'xian
取消编组,qu'xiao'bian'zu
取消登出,qu'xiao'deng'chu
取消选择,qu'xiao'xuan'ze
全局光,quan'ju'guang
全选,quan'xuan
染色玻璃,ran'se'bo'li
任意角度,ren'yi'jiao'du
锐化,rui'hua
锐化边缘,rui'hua'bian'yuan
色彩,se'cai
色彩范围,se'cai'fan'wei
色彩均化,se'cai'jun'hua
色彩平衡,se'cai'ping'heng
色调分离,se'diao'fen'li
色调均化,se'diao'jun'hua
色阶,se'jie
色相饱和度,se'xiang'bao'he'du
色域警告,se'yu'jing'gao
删除,shan'chu
删除工作空间,shan'chu'gong'zuo'kong'jian
删除图层,shan'chu'tu'ceng
栅格化,shan'ge'hua
上次滤镜操作,shang'ci'lv'jing'cao'zuo
上载到服务器,shang'zai'dao'fu'wu'qi
设置图案,she'zhi'tu'an
深色线条,shen'se'xian'tiao
实际象素,shi'ji'xiang'su
矢量遮罩,shi'liang'zhe'zhao
视频,shi'pin
视图,shi'tu
失真,shi'zhen
收缩,shou'suo
输出,shu'chu
输入,shu'ru
数字标识,shu'zi'biao'zhi
双色调,shuang'se'diao
水波,shui'bo
水彩,shui'cai
水彩纸,shui'cai'zhi
水平,shui'ping
水平翻转,shui'ping'fan'zhuan
水平居中,shui'ping'ju'zhong
顺时针度,shun'shi'zhen'du
撕边,si'bian
塑料包装,su'liao'bao'zhuang
塑料效果,su'liao'xiao'guo
素描,su'miao
碎片,sui'pian
锁定参考线,suo'ding'can'kao'xian
锁定切片,suo'ding'qie'pian
锁定所有链接图层,suo'ding'suo'you'lian'jie'tu'ceng
缩放,suo'fang
缩放效果,suo'fang'xiao'guo
缩小,suo'xiao
索引色,suo'yin'se
索引颜色,suo'yin'yan'se
所有图层,suo'you'tu'ceng
炭笔,tan'bi
特殊模糊,te'shu'mo'hu
替换所以缺欠文字,ti'huan'suo'yi'que'qian'wen'zi
替换颜色,ti'huan'yan'se
填充,tian'chong
填充内容,tian'chong'nei'rong
添加到工作流程,tian'jia'dao'gong'zuo'liu'cheng
添加矢量遮罩,tian'jia'shi'liang'zhe'zhao
添加图层剪切路径,tian'jia'tu'ceng'jian'qie'lu'jing
添加图层蒙板,tian'jia'tu'ceng'meng'ban
条件模式更改,tiao'jian'mo'shi'geng'gai
调色刀,tiao'shai'dao
调整,tiao'zheng
跳转到,tiao'zhuan'dao
铜版雕刻,tong'ban'diao'ke
通道混合器,tong'dao'hun'he'qi
通过剪切的图层,tong'guo'jian'qie'de'tu'ceng
通过拷贝的图层,tong'guo'kao'bei'de'tu'ceng
透明区域与色域,tou'ming'qu'yu'yu'se'yu
透视,tou'shi
投影,tou'ying
图案,tu'an
图案叠加,tu'an'die'jia
图层,tu'ceng
图层剪贴路径,tu'ceng'jian'tie'lu'jing
图层内容选项,tu'ceng'nei'rong'xuan'xiang
图层属性,tu'ceng'shu'xing
图层样式,tu'ceng'yang'shi
图层组,tu'ceng'zu
图层组来自链接的,tu'ceng'zu'lai'zi'lian'jie'de
突出,tu'chu
涂抹棒,tu'mo'bang
图片包,tu'pian'bao
图像,tu'xiang
图像大小,tu'xiang'da'xiao
图章,tu'zhang
退出,tui'chu
外发光,wai'fa'guang
网格,wang'ge
网上图片库,wang'shang'tu'pian'ku
网状,wang'zhuang
位通道,wei'tong'dao
位图,wei'tu
位移,wei'yi
文档,wen'dang
文档边界,wen'dang'bian'jie
文件,wen'jian
文件处理,wen'jian'chu'li
文件简介,wen'jian'jian'jie
纹理,wen'li
纹理化,wen'li'hua
纹理填充,wen'li'tian'chong
文字,wen'zi
文字变形,wen'zi'bian'xing
无,wu
显示,xian'shi
显示标尺,xian'shi'biao'chi
显示额外的,xian'shi'e'wai'de
显示额外选项,xian'shi'e'wai'xuan'xiang
显示器,xian'shi'qi
显示全部,xian'shi'quan'bu
显示选区,xian'shi'xuan'qu
显示隐藏导航,xian'shi'yin'cang'dao'hang
显示隐藏动作,xian'shi'yin'cang'dong'zuo
显示隐藏段落,xian'shi'yin'cang'duan'luo
显示隐藏工具,xian'shi'yin'cang'gong'ju
显示隐藏历史记录,xian'shi'yin'cang'li'shi'ji'lu
显示隐藏路径,xian'shi'yin'cang'lu'jing
显示隐藏全部效果,xian'shi'yin'cang'quan'bu'xiao'guo
显示隐藏色板,xian'shi'yin'cang'se'ban
显示隐藏通道,xian'shi'yin'cang'tong'dao
显示隐藏图层,xian'shi'yin'cang'tu'ceng
显示隐藏信息,xian'shi'yin'cang'xin'xi
显示隐藏选项,xian'shi'yin'cang'xuan'xiang
显示隐藏颜色,xian'shi'yin'cang'yan'se
显示隐藏样式,xian'shi'yin'cang'yang'shi
显示隐藏状态栏,xian'shi'yin'cang'zhuang'tai'lan
显示隐藏字符,xian'shi'yin'cang'zi'fu
显示与光标,xian'shi'yu'guang'biao
陷印,xian'yin
限制图像,xian'zhi'tu'xiang
向前,xiang'qian
像素,xiang'su
像素化,xiang'su'hua
消除锯齿明晰,xiao'chu'ju'chi'ming'xi
消除锯齿平滑,xiao'chu'ju'chi'ping'hua
消除锯齿强,xiao'chu'ju'chi'qiang
消除锯齿无,xiao'chu'ju'chi'wu
消退,xiao'tui
斜面和浮雕,xie'mian'he'fu'diao
斜切,xie'qie
新参考线,xin'can'kao'xian
新窗口,xin'chuang'kou
新建,xin'jian
新视图,xin'shi'tu
新填充图层,xin'tian'chong'tu'ceng
新调整图层,xin'tiao'zheng'tu'ceng
形状,xing'zhuang
修边,xiu'bian
修改,xiu'gai
修整,xiu'zheng
选区边缘,xuan'qu'bian'yuan
选区相似,xuan'qu'xiang'si
渲染,xuan'ran
选项,xuan'xiang
选择,xuan'ze
旋转,xuan'zhuan
旋转画布,xuan'zhuan'hua'bu
旋转扭曲,xuan'zhuan'niu'qu
寻找并替换文字,xun'zhao'bing'ti'huan'wen'zi
烟灰墨,yan'hui'mo
颜色,yan'se
颜色表,yan'se'biao
颜色叠加,yan'se'die'jia
颜色设置,yan'se'she'zhi
液化,ye'hua
页面设置,ye'mian'she'zhi
移除白色杂边,yi'chu'bai'se'za'bian
移除黑色杂边,yi'chu'hei'se'za'bian
移去白色杂边,yi'qu'bai'se'za'bian
移去黑色杂边,yi'qu'hei'se'za'bian
艺术效果,yi'shu'xiao'guo
隐藏的图层,yin'cang'de'tu'ceng
隐藏全部,yin'cang'quan'bu
隐藏选区,yin'cang'xuan'qu
阴影线,yin'ying'xian
应用图像,ying'yong'tu'xiang
右边,you'bian
油墨概况,you'mo'gai'kuang
羽化,yu'hua
预览并打印,yu'lan'bing'da'yin
于前一图层编组,yu'qian'yi'tu'ceng'bian'zu
预设,yu'she
阈值,yu'zhi
预置管理器,yu'zhi'guan'li'qi
云彩,yun'cai
运算,yun'suan
杂色,za'se
再次,zai'ci
载入选区,zai'ru'xuan'qu
在线,zai'xian
增效工具与暂存盘,zeng'xiao'gong'ju'yu'zan'cun'pan
粘贴,zhan'tie
粘贴入,zhan'tie'ru
粘贴图层样式,zhan'tie'tu'ceng'yang'shi
粘贴图层样式到链接层,zhan'tie'tu'ceng'yang'shi'dao'lian'jie'ceng
照亮边缘,zhao'liang'bian'yuan
支持,zhi'chi
制定配置文件,zhi'ding'pei'zhi'wen'jian
直方图,zhi'fang'tu
置换,zhi'huan
置入,zhi'ru
置为底层,zhi'wei'di'ceng
置为顶层,zhi'wei'ding'ceng
制作图案,zhi'zuo'tu'an
中间值,zhong'jian'zhi
注释,zhu'shi
注销所有服务器,zhu'xiao'suo'you'fu'wu'qi
转变为形状,zhuan'bian'wei'xing'zhuang
转换为段落文字,zhuan'huan'wei'duan'luo'wen'zi
转换为配置文件,zhuan'huan'wei'pei'zhi'wen'jian
自定,zi'ding
自定义,zi'ding'yi
自动,zi'dong
自动对比度,zi'dong'dui'bi'du
自动色彩,zi'dong'se'cai
自动色阶,zi'dong'se'jie
自由变换,zi'you'bian'huan
自由变形,zi'you'bian'xing
最大值,zui'da'zhi
最近打开文件,zui'jin'da'kai'wen'jian
最小值,zui'xiao'zhi
左边,zuo'bian
