安济桥,an'ji'qiao
井冈山革命遗址,jing'gang'shan'ge'ming'yi'zhi
居庸关云台,ju'yong'guan'yun'tai
开封铁塔,kai'feng'tie'ta
克孜尔千佛洞,ke'zi'er'qian'fo'dong
孔林,kong'lin
库木吐喇千佛洞,ku'mu'tu'la'qian'fo'dong
料敌塔,liao'di'ta
辽上京遗址,liao'shang'jing'yi'zhi
辽阳壁画墓群,liao'yang'bi'hua'mu'qun
辽中京遗址,liao'zhong'jing'yi'zhi
临淄齐国故城,lin'zi'qi'guo'gu'cheng
六顶山古墓群,liu'ding'shan'gu'mu'qun
六和塔,liu'he'ta
留园,liu'yuan
龙门石窟,long'men'shi'ku
隆兴寺,long'xing'si
泸定桥,lu'ding'qiao
卢沟桥,lu'gou'qiao
鲁迅墓,lu'xun'mu
麦积山石窟,mai'ji'shan'shi'ku
茂陵,mao'ling
妙应寺白塔,miao'ying'si'bai'ta
明孝陵,ming'xiao'ling
莫高窟,mo'gao'ku
南禅寺大殿,nan'chan'si'da'dian
平型关战役遗址,ping'xing'guan'zhan'yi'yi'zhi
平阳府君阙,ping'yang'fu'jun'que
普乐寺,pu'le'si
普宁寺,pu'ning'si
普陀宗乘之庙,pu'tuo'zong'cheng'zhi'miao
启母阙,qi'mu'que
乾陵,qian'ling
秦始皇陵,qin'shi'huang'ling
清东陵,qing'dong'ling
清净寺,qing'jing'si
清西陵,qing'xi'ling
秋收起义文家市会师旧址,qiu'shou'qi'yi'wen'jia'shi'hui'shi'jiu'zhi
曲阜孔庙及孔府,qu'fu'kong'miao'ji'kong'fu
曲阜鲁国故城,qu'fu'lu'guo'gu'cheng
冉庄地道战遗址,ran'zhuang'di'dao'zhan'yi'zhi
人民英雄纪念碑,ren'min'ying'xiong'ji'nian'bei
瑞金革命遗址,rui'jin'ge'ming'yi'zhi
萨迦寺,sa'jia'si
三元里平英团遗址,san'yuan'li'ping'ying'tuan'yi'zhi
善化寺,shan'hua'si
上海中山故居,shang'hai'zhong'shan'gu'ju
韶山冲毛主席旧居,shao'shan'chong'mao'zhu'xi'jiu'ju
少室阙,shao'shi'que
沈府君阙,shen'fu'jun'que
沈阳故宫,shen'yang'gu'gong
石刻及其他,shi'ke'ji'qi'ta
石窟寺,shi'ku'si
十三陵,shi'san'ling
石钟山石窟,shi'zhong'shan'shi'ku
顺陵,shun'ling
四门塔,si'men'ta
嵩岳寺塔,song'yue'si'ta
苏州文庙内宋代石刻,su'zhou'wen'miao'nei'song'dai'shi'ke
苏州云岩寺塔,su'zhou'yun'yan'si'ta
塔尔寺,ta'er'si
太和城遗址,tai'he'cheng'yi'zhi
太平天国忠王府,tai'ping'tian'guo'zhong'wang'fu
太室阙,tai'shi'que
天安门,tian'an'men
天坛,tian'tan
万里长城八达岭,wan'li'chang'cheng'ba'da'ling
万里长城嘉峪关,wan'li'chang'cheng'jia'yu'guan
万里长城山海关,wan'li'chang'cheng'shan'hai'guan
王建墓,wang'jian'mu
武昌起义军政府旧址,wu'chang'qi'yi'jun'zheng'fu'jiu'zhi
武当山金殿,wu'dang'shan'jin'dian
武侯祠,wu'hou'ci
五塔寺塔,wu'ta'si'ta
西安碑林,xi'an'bei'lin
西安城墙,xi'an'cheng'qiang
西夏碑,xi'xia'bei
溪州铜柱,xi'zhou'tong'zhu
响堂山石窟,xiang'tang'shan'shi'ku
孝堂山郭氏墓石祠,xiao'tang'shan'guo'shi'mu'shi'ci
小雁塔,xiao'yan'ta
新四军军部旧址,xin'si'jun'jun'bu'jiu'zhi
兴教寺塔,xing'jiao'si'ta
须弥福寿之庙,xu'mi'fu'shou'zhi'miao
雅尔湖故城,ya'er'hu'gu'cheng
延安革命遗址,yan'an'ge'ming'yi'zhi
燕下都遗址,yan'xia'dou'yi'zhi
仰韶村遗址,yang'shao'cun'yi'zhi
药王山石刻,yao'wang'shan'shi'ke
义慈惠石柱,yi'ci'hui'shi'zhu
颐和园,yi'he'yuan
殷墟,yin'xu
应县木塔,ying'xian'mu'ta
雍和宫,yong'he'gong
永乐宫,yong'le'gong
永通桥,yong'tong'qiao
榆林窟,yu'lin'ku
岳飞墓,yue'fei'mu
云冈石窟,yun'gang'shi'ku
藏王墓,zang'wang'mu
扎什伦布寺,zha'shi'lun'bu'si
赵邯郸故城,zhao'han'dan'gu'cheng
昭陵,zhao'ling
赵州陀罗尼经幢,zhao'zhou'tuo'luo'ni'jing'chuang
真觉寺金刚宝座,zhen'jue'si'jin'gang'bao'zuo
郑韩故城,zheng'han'gu'cheng
郑州商代遗址,zheng'zhou'shang'dai'yi'zhi
智化寺,zhi'hua'si
中国共产党第一次全国代表大会会址,zhong'guo'gong'chan'dang'di'yi'ci'quan'guo'dai'biao'da'hui'hui'zhi
中国社会主义青年团中央机关旧址,zhong'guo'she'hui'zhu'yi'qing'nian'tuan'zhong'yang'ji'guan'jiu'zhi
中山陵,zhong'shan'ling
中苏友谊纪念塔,zhong'su'you'yi'ji'nian'ta
周口店遗址,zhou'kou'dian'yi'zhi
拙政园,zhuo'zheng'yuan
遵义会议会址,zun'yi'hui'yi'hui'zhi
