阿伏伽德罗定律,a'fu'jia'de'luo'ding'lv
电场,dian'chang
电池,dian'chi
电动势,dian'dong'shi
电镀,dian'du
淀粉,dian'fen
电分析,dian'fen'xi
电分析法,dian'fen'xi'fa
电荷,dian'he
电荷云,dian'he'yun
电化学,dian'hua'xue
电化学防腐法,dian'hua'xue'fang'fu'fa
电化学腐蚀,dian'hua'xue'fu'shi
点火,dian'huo
电极,dian'ji
电极反应,dian'ji'fan'ying
电极势,dian'ji'shi
电解,dian'jie
电解槽,dian'jie'cao
电解质,dian'jie'zhi
电离,dian'li
电离常数,dian'li'chang'shu
电离度,dian'li'du
电离理论,dian'li'li'lun
电离能,dian'li'neng
电离热,dian'li're
电离势,dian'li'shi
电流,dian'liu
电能,dian'neng
电势差,dian'shi'cha
电位,dian'wei
电性质,dian'xing'zhi
电压,dian'ya
电泳,dian'yong
电子,dian'zi
电子对,dian'zi'dui
电子构型,dian'zi'gou'xing
电子密度,dian'zi'mi'du
电子亲合势,dian'zi'qin'he'shi
电子云,dian'zi'yun
电子转移,dian'zi'zhuan'yi
丁烷,ding'wan
定性分析,ding'xing'fen'xi
动能,dong'neng
镀金,du'jin
镀锌,du'xin
煅烧,duan'shao
对称,dui'chen
对位,dui'wei
对映的,dui'ying'de
对映现象,dui'ying'xian'xiang
钝化,dun'hua
多晶体,duo'jing'ti
多肽,duo'tai
多糖,duo'tang
多烯,duo'xi
多相平衡,duo'xiang'ping'heng
惰性气体,duo'xing'qi'ti
多元酸,duo'yuan'suan
多原子,duo'yuan'zi
多原子分子,duo'yuan'zi'fen'zi
二氮杂菲,er'dan'za'fei
二价,er'jia
二价的,er'jia'de
二糖,er'tang
二氧化锰,er'yang'hua'meng
二氧化碳,er'yang'hua'tan
二元的,er'yuan'de
二元酸,er'yuan'suan
二原子分子,er'yuan'zi'fen'zi
发光,fa'guang
法拉第常数,fa'la'di'chang'shu
法码,fa'ma
发生炉,fa'sheng'lu
发生炉煤气,fa'sheng'lu'mei'qi
发烟硫酸,fa'yan'liu'suan
发烟硝酸,fa'yan'xiao'suan
反磁物质,fan'ci'wu'zhi
反磁性,fan'ci'xing
范德华力,fan'de'hua'li
范德华状态方程,fan'de'hua'zhuang'tai'fang'cheng
凡士林,fan'shi'lin
反应,fan'ying
反应产物,fan'ying'chan'wu
反应热,fan'ying're
反应速度,fan'ying'su'du
反应速度常数,fan'ying'su'du'chang'shu
反应速率理论,fan'ying'su'lv'li'lun
反应物,fan'ying'wu
放电,fang'dian
方解石,fang'jie'shi
方铅矿,fang'qian'kuang
放射性元素,fang'she'xing'yuan'su
芳香烃,fang'xiang'ting
方柱石,fang'zhu'shi
芳族化合物,fang'zu'hua'he'wu
沸点,fei'dian
沸点降低,fei'dian'jiang'di
非电解质,fei'dian'jie'zhi
沸点升高,fei'dian'sheng'gao
沸点升高常数,fei'dian'sheng'gao'chang'shu
非对映异构体,fei'dui'ying'yi'gou'ti
非对映异构性,fei'dui'ying'yi'gou'xing
非极性分子,fei'ji'xing'fen'zi
非极性化合物,fei'ji'xing'hua'he'wu
非极性键,fei'ji'xing'jian
非极性溶剂,fei'ji'xing'rong'ji
非极性液体,fei'ji'xing'ye'ti
非金属,fei'jin'shu
非均相催化剂,fei'jun'xiang'cui'hua'ji
非理想气体,fei'li'xiang'qi'ti
非理想溶液,fei'li'xiang'rong'ye
肥料,fei'liao
费林试剂,fei'lin'shi'ji
废弃物,fei'qi'wu
废水,fei'shui
非弹性,fei'tan'xing
沸腾,fei'teng
沸腾石,fei'teng'shi
非稳定态,fei'wen'ding'tai
废物,fei'wu
分光光度法,fen'guang'guang'du'fa
分光计,fen'guang'ji
分光镜,fen'guang'jing
分解,fen'jie
分解产物,fen'jie'chan'wu
分解反应,fen'jie'fan'ying
分解热,fen'jie're
分类,fen'lei
分离,fen'li
分馏,fen'liu
分馏头,fen'liu'tou
分配,fen'pei
分配定律,fen'pei'ding'lv
分配律,fen'pei'lv
酚酞,fen'tai
分析,fen'xi
分析纯,fen'xi'chun
分析化学,fen'xi'hua'xue
分析天平,fen'xi'tian'ping
分压,fen'ya
分液漏斗,fen'ye'lou'dou
分子,fen'zi
分子重排,fen'zi'chong'pai
分子缔合,fen'zi'di'he
分子反应,fen'zi'fan'ying
分子轨道,fen'zi'gui'dao
分子轨道法,fen'zi'gui'dao'fa
分子间力,fen'zi'jian'li
分子结构,fen'zi'jie'gou
分子晶体,fen'zi'jing'ti
分子量,fen'zi'liang
分子偶极子,fen'zi'ou'ji'zi
分子碰撞,fen'zi'peng'zhuang
分子取向,fen'zi'qu'xiang
分子设计,fen'zi'she'ji
分子式,fen'zi'shi
分子运动理论,fen'zi'yun'dong'li'lun
峰值,feng'zhi
负催化,fu'cui'hua
负催化剂,fu'cui'hua'ji
副反应,fu'fan'ying
复分解,fu'fen'jie
复分解反应,fu'fen'jie'fan'ying
氟利昂,fu'li'ang
呋喃,fu'nan
辐射,fu'she
腐蚀,fu'shi
负碳离子,fu'tan'li'zi
浮选法,fu'xuan'fa
复盐,fu'yan
副族,fu'zu
概率,gai'lv
概率分布,gai'lv'fen'bu
概率密度,gai'lv'mi'du
甘氨酸,gan'an'suan
干电池,gan'dian'chi
甘汞,gan'gong
甘汞半电池,gan'gong'ban'dian'chi
甘汞电极,gan'gong'dian'ji
坩埚,gan'guo
坩埚钳,gan'guo'qian
干涉,gan'she
甘油,gan'you
干燥,gan'zao
干燥剂,gan'zao'ji
干燥器,gan'zao'qi
干燥箱,gan'zao'xiang
甘蔗,gan'zhe
刚性球碰撞理论,gang'xing'qiu'peng'zhuang'li'lun
刚玉,gang'yu
高分子化合物,gao'fen'zi'hua'he'wu
高分子化学,gao'fen'zi'hua'xue
高分子聚合物,gao'fen'zi'ju'he'wu
高岭石,gao'ling'shi
高岭土,gao'ling'tu
高炉,gao'lu
高氯酸,gao'lv'suan
高氯酸盐,gao'lv'suan'yan
高性能材料,gao'xing'neng'cai'liao
铬铁矿,ge'tie'kuang
共轭,gong'e
共轭碱,gong'e'jian
共轭酸,gong'e'suan
共轭酸碱偶,gong'e'suan'jian'ou
共价,gong'jia
共价键,gong'jia'jian
共价键半径,gong'jia'jian'ban'jing
汞齐,gong'qi
工业化学,gong'ye'hua'xue
构成,gou'cheng
构象,gou'xiang
构型,gou'xing
固态,gu'tai
固体,gu'ti
固体二氧化碳,gu'ti'er'yang'hua'tan
固体化学,gu'ti'hua'xue
固相,gu'xiang
观测,guan'ce
观测误差,guan'ce'wu'cha
惯用名,guan'yong'ming
光化反应,guang'hua'fan'ying
光化学,guang'hua'xue
广口瓶,guang'kou'ping
光卤石,guang'lu'shi
光谱,guang'pu
光谱分析,guang'pu'fen'xi
光谱计,guang'pu'ji
光气,guang'qi
光子,guang'zi
轨道函数,gui'dao'han'shu
硅胶,gui'jiao
贵金属,gui'jin'shu
硅藻,gui'zao
硅藻土,gui'zao'tu
过饱和,guo'bao'he
过渡元素,guo'du'yuan'su
国际单位,guo'ji'dan'wei
国际命名法,guo'ji'ming'ming'fa
过滤,guo'lv
过氢化物,guo'qing'hua'wu
果糖,guo'tang
过氧化,guo'yang'hua
过氧化物,guo'yang'hua'wu
亥姆霍兹方程式,hai'mu'huo'zi'fang'cheng'shi
焊接,han'jie
含量,han'liang
含氧酸,han'yang'suan
合成,he'cheng
合成化学,he'cheng'hua'xue
合成气,he'cheng'qi
合成洗涤剂,he'cheng'xi'di'ji
核电荷,he'dian'he
核反应,he'fan'ying
核化学,he'hua'xue
合金,he'jin
核糖,he'tang
核子,he'zi
恒沸点混合物,heng'fei'dian'hun'he'wu
宏观结构,hong'guan'jie'gou
红磷,hong'lin
红外分光光度法,hong'wai'fen'guang'guang'du'fa
红外光谱,hong'wai'guang'pu
红外线,hong'wai'xian
红移,hong'yi
花岗岩,hua'gang'yan
化合,hua'he
化合水,hua'he'shui
化合物,hua'he'wu
化学,hua'xue
化学变化,hua'xue'bian'hua
化学纯,hua'xue'chun
化学反应,hua'xue'fan'ying
化学方程式,hua'xue'fang'cheng'shi
化学分析,hua'xue'fen'xi
化学符号,hua'xue'fu'hao
化学腐蚀,hua'xue'fu'shi
化学过程,hua'xue'guo'cheng
化学活性,hua'xue'huo'xing
化学机理,hua'xue'ji'li
化学家,hua'xue'jia
化学键,hua'xue'jian
化学结构,hua'xue'jie'gou
化学平衡,hua'xue'ping'heng
化学式,hua'xue'shi
化学天平,hua'xue'tian'ping
化学位移,hua'xue'wei'yi
化学药品,hua'xue'yao'pin
化学仪器,hua'xue'yi'qi
化学组成,hua'xue'zu'cheng
缓慢氧化,huan'man'yang'hua
环烷,huan'wan
还原,huan'yuan
还原电势,huan'yuan'dian'shi
还原剂,huan'yuan'ji
还原铁,huan'yuan'tie
还原焰,huan'yuan'yan
黄铜矿,huang'tong'kuang
挥发,hui'fa
挥发酸,hui'fa'suan
挥发物,hui'fa'wu
辉钼矿,hui'mu'kuang
回收,hui'shou
辉铜矿,hui'tong'kuang
回旋加速器,hui'xuan'jia'su'qi
混合物,hun'he'wu
活度,huo'du
活度系数,huo'du'xi'shu
活化分子,huo'hua'fen'zi
活化络合物,huo'hua'luo'he'wu
活化能,huo'hua'neng
活性炭,huo'xing'tan
基本粒子,ji'ben'li'zi
基尔霍夫定律,ji'er'huo'fu'ding'lv
极化,ji'hua
极化率,ji'hua'lv
己酸,ji'suan
机械能,ji'xie'neng
极性,ji'xing
极性分子,ji'xing'fen'zi
极性化合物,ji'xing'hua'he'wu
极性键,ji'xing'jian
极性溶剂,ji'xing'rong'ji
极性吸附,ji'xing'xi'fu
极值,ji'zhi
甲苯,jia'ben
加成反应,jia'cheng'fan'ying
甲醇,jia'chun
价电子,jia'dian'zi
加聚合反应,jia'ju'he'fan'ying
甲醛,jia'quan
加热,jia're
甲酸,jia'suan
价态,jia'tai
架台,jia'tai
甲烷,jia'wan
键长,jian'chang
键合,jian'he
键级,jian'ji
碱金属,jian'jin'shu
碱金属盐,jian'jin'shu'yan
键矩,jian'ju
键能,jian'neng
碱土金属,jian'tu'jin'shu
碱性氧化物,jian'xing'yang'hua'wu
降解,jiang'jie
搅拌,jiao'ban
角动量,jiao'dong'liang
焦耳,jiao'er
焦酚酞,jiao'fen'tai
角量子数,jiao'liang'zi'shu
焦炉煤气,jiao'lu'mei'qi
焦酸,jiao'suan
焦炭,jiao'tan
胶体,jiao'ti
焦油,jiao'you
节点,jie'dian
结构,jie'gou
结构化学,jie'gou'hua'xue
结构式,jie'gou'shi
结构异构体,jie'gou'yi'gou'ti
结合水,jie'he'shui
结晶水,jie'jing'shui
解离,jie'li
节平面,jie'ping'mian
介质,jie'zhi
金箔,jin'bo
金刚砂,jin'gang'sha
金刚石,jin'gang'shi
金刚烷,jin'gang'wan
浸润,jin'run
金属键,jin'shu'jian
金属间化合物,jin'shu'jian'hua'he'wu
近似计算,jin'si'ji'suan
近似值,jin'si'zhi
静电场,jing'dian'chang
精度,jing'du
晶格,jing'ge
晶格能,jing'ge'neng
精练,jing'lian
精馏,jing'liu
精密天平,jing'mi'tian'ping
精密仪器,jing'mi'yi'qi
净水器,jing'shui'qi
净水设备,jing'shui'she'bei
晶体,jing'ti
晶体场理论,jing'ti'chang'li'lun
晶体化学,jing'ti'hua'xue
晶形,jing'xing
精制,jing'zhi
晶种,jing'zhong
酒精,jiu'jing
酒精灯,jiu'jing'deng
酒石酸,jiu'shi'suan
巨大,ju'da
聚丁二烯,ju'ding'er'xi
聚丁二烯橡胶,ju'ding'er'xi'xiang'jiao
聚合,ju'he
聚乙二醇,ju'yi'er'chun
聚乙烯,ju'yi'xi
绝对零度,jue'dui'ling'du
绝对温度,jue'dui'wen'du
绝对误差,jue'dui'wu'cha
绝对值,jue'dui'zhi
绝热变化,jue're'bian'hua
绝热反应,jue're'fan'ying
绝热过程,jue're'guo'cheng
绝热膨胀,jue're'peng'zhang
开氏温度,kai'shi'wen'du
可见光线,ke'jian'guang'xian
可逆反应,ke'ni'fan'ying
可逆过程,ke'ni'guo'cheng
可燃气体,ke'ran'qi'ti
可燃物,ke'ran'wu
可燃性,ke'ran'xing
苛性碱,ke'xing'jian
苛性石灰,ke'xing'shi'hui
坑气,keng'qi
孔雀绿,kong'que'lv
孔雀石,kong'que'shi
库仑,ku'lun
苦味酸,ku'wei'suan
矿物,kuang'wu
扩散,kuo'san
扩散速度,kuo'san'su'du
蜡烛,la'zhu
镧系收缩,lan'xi'shou'suo
镧系元素,lan'xi'yuan'su
棱镜,leng'jing
冷凝热,leng'ning're
冷却,leng'que
离解常数,li'jie'chang'shu
离解度,li'jie'du
立体异构,li'ti'yi'gou
立体异构体,li'ti'yi'gou'ti
立体异构现象,li'ti'yi'gou'xian'xiang
理想气体定律,li'xiang'qi'ti'ding'lv
离心泵,li'xin'beng
离子,li'zi
粒子,li'zi
离子对,li'zi'dui
离子反应,li'zi'fan'ying
离子方程式,li'zi'fang'cheng'shi
离子氛,li'zi'fen
离子积,li'zi'ji
离子键,li'zi'jian
离子交换,li'zi'jiao'huan
离子晶体,li'zi'jing'ti
离子浓度,li'zi'nong'du
离子强度,li'zi'qiang'du
链锁反应,lian'suo'fan'ying
链增长反应,lian'zeng'zhang'fan'ying
链终止反应,lian'zhong'zhi'fan'ying
量杯,liang'bei
量纲,liang'gang
量瓶,liang'ping
量筒,liang'tong
两性的,liang'xing'de
两性化合物,liang'xing'hua'he'wu
两性氧化物,liang'xing'yang'hua'wu
量子,liang'zi
量子化学,liang'zi'hua'xue
量子数,liang'zi'shu
裂化气,lie'hua'qi
裂化汽油,lie'hua'qi'you
裂解产物,lie'jie'chan'wu
磷酸,lin'suan
磷酸盐,lin'suan'yan
磷酸一氢钙,lin'suan'yi'qing'gai
零级反应,ling'ji'fan'ying
菱铁矿,ling'tie'kuang
菱锌矿,ling'xin'kuang
零族,ling'zu
馏分,liu'fen
硫化,liu'hua
硫磺,liu'huang
硫酸,liu'suan
笼形包合,long'xing'bao'he
漏斗,lou'dou
漏斗架,lou'dou'jia
露点,lu'dian
露点降低,lu'dian'jiang'di
卤仿,lu'fang
卤化物,lu'hua'wu
卤素,lu'su
络合物,luo'he'wu
络化剂,luo'hua'ji
络离子,luo'li'zi
滤棒,lv'bang
滤斗,lv'dou
滤埚,lv'guo
氯化钙,lv'hua'gai
氯气,lv'qi
铝热法,lv're'fa
铝热剂,lv're'ji
吕萨克定律,lv'sa'ke'ding'lv
氯水,lv'shui
铝土矿,lv'tu'kuang
滤液,lv'ye
滤纸,lv'zhi
煤焦油,mei'jiao'you
煤焦油沥青,mei'jiao'you'li'qing
煤气,mei'qi
门捷列夫元素周期律,men'jie'lie'fu'yuan'su'zhou'qi'lv
密度,mi'du
密度计,mi'du'ji
密陀僧,mi'tuo'seng
面心立方晶格,mian'xin'li'fang'jing'ge
摩尔,mo'er
莫尔盐,mo'er'yan
目视法,mu'shi'fa
钼酸盐,mu'suan'yan
木炭,mu'tan
奈斯勒氏试剂,nai'si'le'shi'shi'ji
内络盐,nei'luo'yan
内能,nei'neng
内壳层电子,nei'qiao'ceng'dian'zi
内焰,nei'yan
内盐,nei'yan
能带,neng'dai
能级,neng'ji
能量守恒及能量转换定律,neng'liang'shou'heng'ji'neng'liang'zhuan'huan'ding'lv
能量守恒律,neng'liang'shou'heng'lv
能量子,neng'liang'zi
能隙,neng'xi
粘度,nian'du
粘土,nian'tu
尿素,niao'su
凝固,ning'gu
凝固点下降常数,ning'gu'dian'xia'jiang'chang'shu
凝固热,ning'gu're
凝胶,ning'jiao
柠檬酸,ning'meng'suan
浓差电池,nong'cha'dian'chi
浓差电势,nong'cha'dian'shi
浓差极化,nong'cha'ji'hua
浓度浓缩,nong'du'nong'suo
浓硫酸,nong'liu'suan
浓溶液,nong'rong'ye
浓酸,nong'suan
浓缩物,nong'suo'wu
浓硝酸,nong'xiao'suan
偶极子,ou'ji'zi
泡沸石,pao'fei'shi
配分系数,pei'fen'xi'shu
配位,pei'wei
配位场,pei'wei'chang
配位场理论,pei'wei'chang'li'lun
配位高聚物,pei'wei'gao'ju'wu
配位化合物,pei'wei'hua'he'wu
配位化学,pei'wei'hua'xue
配位键,pei'wei'jian
配位理论,pei'wei'li'lun
配位数,pei'wei'shu
配位水,pei'wei'shui
配位体,pei'wei'ti
配位体膜,pei'wei'ti'mo
配位异构,pei'wei'yi'gou
培养,pei'yang
硼砂,peng'sha
膨胀,peng'zhang
碰撞,peng'zhuang
砒霜,pi'shuang
偏差,pian'cha
漂白粉,piao'bai'fen
漂白剂,piao'bai'ji
平底烧瓶,ping'di'shao'ping
平衡,ping'heng
平衡常数,ping'heng'chang'shu
平衡浓度,ping'heng'nong'du
平衡状态,ping'heng'zhuang'tai
平均速度,ping'jun'su'du
平均值,ping'jun'zhi
普朗克常数,pu'lang'ke'chang'shu
葡糖,pu'tang
葡萄糖,pu'tao'tang
普通化学,pu'tong'hua'xue
歧化,qi'hua
七价,qi'jia
启普气发生器,qi'pu'qi'fa'sheng'qi
气体分子运动论,qi'ti'fen'zi'yun'dong'lun
气味,qi'wei
气相,qi'xiang
铅蓄电池,qian'xu'dian'chi
强电解质,qiang'dian'jie'zhi
强碱,qiang'jian
强酸,qiang'suan
侵蚀性,qin'shi'xing
氢化铝锂,qing'hua'lv'li
氰化物,qing'hua'wu
氰酸,qing'suan
氰酸盐,qing'suan'yan
倾析,qing'xi
轻稀土元素,qing'xi'tu'yuan'su
氢氧化钡,qing'yang'hua'bei
氢氧化钾,qing'yang'hua'jia
球形长颈瓶,qiu'xing'chang'jing'ping
球形冷凝器,qiu'xing'leng'ning'qi
取代反应,qu'dai'fan'ying
去垢剂,qu'gou'ji
去污剂,qu'wu'ji
取样,qu'yang
炔烃,que'ting
燃料,ran'liao
燃料电池,ran'liao'dian'chi
燃烧,ran'shao
燃烧产物,ran'shao'chan'wu
燃烧点,ran'shao'dian
燃烧反应,ran'shao'fan'ying
燃烧热,ran'shao're
热传递,re'chuan'di
热分解,re'fen'jie
热化学,re'hua'xue
热化学方程式,re'hua'xue'fang'cheng'shi
热力学,re'li'xue
热力学第一定律,re'li'xue'di'yi'ding'lv
人造沸石,ren'zao'fei'shi
人造金刚石,ren'zao'jin'gang'shi
人造纤维,ren'zao'xian'wei
日内瓦命名法,ri'nei'wa'ming'ming'fa
熔点,rong'dian
熔点降低,rong'dian'jiang'di
熔化,rong'hua
熔化热,rong'hua're
溶剂,rong'ji
容积百分数,rong'ji'bai'fen'shu
溶胶,rong'jiao
溶解,rong'jie
溶解度,rong'jie'du
溶解度积,rong'jie'du'ji
溶解热,rong'jie're
容器,rong'qi
容许误差,rong'xu'wu'cha
容许跃迁,rong'xu'yue'qian
溶液,rong'ye
溶质,rong'zhi
软化,ruan'hua
软锰矿,ruan'meng'kuang
软木塞,ruan'mu'sai
软水,ruan'shui
软水剂,ruan'shui'ji
润滑剂,run'hua'ji
弱电解质,ruo'dian'jie'zhi
弱碱,ruo'jian
弱酸,ruo'suan
三价,san'jia
三价元素,san'jia'yuan'su
三键,san'jian
三脚架,san'jiao'jia
三氯化磷,san'lv'hua'lin
三相点,san'xiang'dian
杀虫剂,sha'chong'ji
砂浴,sha'yu
砂纸,sha'zhi
闪锌矿,shan'xin'kuang
烧瓶,shao'ping
摄氏温标,she'shi'wen'biao
射线,she'xian
渗透,shen'tou
渗透性,shen'tou'xing
渗透压力,shen'tou'ya'li
生产,sheng'chan
生成热,sheng'cheng're
升华,sheng'hua
升华热,sheng'hua're
生理盐溶液,sheng'li'yan'rong'ye
生石灰,sheng'shi'hui
生物化学,sheng'wu'hua'xue
十八烷,shi'ba'wan
石膏,shi'gao
试管,shi'guan
试管夹,shi'guan'jia
试管架,shi'guan'jia
石灰,shi'hui
石灰浆,shi'hui'jiang
石灰乳,shi'hui'ru
石灰石,shi'hui'shi
石灰水,shi'hui'shui
试剂,shi'ji
石蜡,shi'la
式量,shi'liang
石棉,shi'mian
石墨,shi'mo
石墨化合物,shi'mo'hua'he'wu
石蕊,shi'rui
石蕊纸,shi'rui'zhi
石碳酸,shi'tan'suan
室温,shi'wen
蚀像,shi'xiang
实验,shi'yan
食盐,shi'yan
实验化学,shi'yan'hua'xue
实验设计,shi'yan'she'ji
实验室,shi'yan'shi
实验事实,shi'yan'shi'shi
实验误差,shi'yan'wu'cha
石英,shi'ying
石英玻璃,shi'ying'bo'li
石英砂,shi'ying'sha
石油,shi'you
石油醚,shi'you'mi
试纸,shi'zhi
示踪原子,shi'zong'yuan'zi
收得率,shou'de'lv
收缩,shou'suo
手性分子,shou'xing'fen'zi
疏水的,shu'shui'de
衰变,shuai'bian
双层,shuang'ceng
双重熔点,shuang'chong'rong'dian
双电层,shuang'dian'ceng
双键,shuang'jian
双晶,shuang'jing
水玻璃,shui'bo'li
水槽,shui'cao
水的净化,shui'de'jing'hua
水的软化,shui'de'ruan'hua
水的硬度,shui'de'ying'du
水电解槽,shui'dian'jie'cao
水合离子,shui'he'li'zi
水合氢离子,shui'he'qing'li'zi
水化热,shui'hua're
水解度,shui'jie'du
水煤气,shui'mei'qi
水泥,shui'ni
水溶性油,shui'rong'xing'you
水溶液,shui'rong'ye
水浴,shui'yu
水蒸汽,shui'zheng'qi
顺反异构,shun'fan'yi'gou
顺式,shun'shi
顺式异构,shun'shi'yi'gou
顺式异构体,shun'shi'yi'gou'ti
顺位,shun'wei
四价,si'jia
四氯化碳,si'lv'hua'tan
苏打,su'da
塑料,su'liao
酸度计,suan'du'ji
酸酐,suan'gan
酸根,suan'gen
酸碱滴定,suan'jian'di'ding
酸碱对,suan'jian'dui
酸碱平衡,suan'jian'ping'heng
酸碱指示剂,suan'jian'zhi'shi'ji
酸性氧化物,suan'xing'yang'hua'wu
缩合反应,suo'he'fan'ying
缩合物,suo'he'wu
缩聚,suo'ju
缩聚物,suo'ju'wu
钛白,tai'bai
肽键,tai'jian
炭黑,tan'hei
碳化,tan'hua
碳化钙,tan'hua'gai
弹簧夹,tan'huang'jia
碳水化合物,tan'shui'hua'he'wu
碳酸,tan'suan
碳酸氢盐,tan'suan'qing'yan
碳酸盐,tan'suan'yan
弹性,tan'xing
碳正离子,tan'zheng'li'zi
糖类,tang'lei
陶瓷,tao'ci
陶器,tao'qi
提纯,ti'chun
提取剂,ti'qu'ji
体心立方晶格,ti'xin'li'fang'jing'ge
条件稳定常数,tiao'jian'wen'ding'chang'shu
同分异构体,tong'fen'yi'gou'ti
同离子效应,tong'li'zi'xiao'ying
通式,tong'shi
同素异形,tong'su'yi'xing
同素异形体,tong'su'yi'xing'ti
同位素,tong'wei'su
同位素丰度,tong'wei'su'feng'du
图解法,tu'jie'fa
脱离子水,tuo'li'zi'shui
脱氢,tuo'qing
脱水,tuo'shui
脱水剂,tuo'shui'ji
外消旋,wai'xiao'xuan
