按规程要求,an'gui'cheng'yao'qiu
刨煤镐,bao'mei'gao
刨煤机,bao'mei'ji
刨煤机回采,bao'mei'ji'hui'cai
爆破材料发放硐室,bao'po'cai'liao'fa'fang'dong'shi
爆破材料库,bao'po'cai'liao'ku
爆破漏斗半径,bao'po'lou'dou'ban'jing
爆破漏斗试验,bao'po'lou'dou'shi'yan
爆破漏斗指数,bao'po'lou'dou'zhi'shu
爆破网路试验,bao'po'wang'lu'shi'yan
爆破震动,bao'po'zhen'dong
爆炸,bao'zha
爆炸三角形,bao'zha'san'jiao'xing
包装药卷,bao'zhuang'yao'juan
被保护层,bei'bao'hu'ceng
钡长石,bei'chang'shi
北京煤矿机械厂煤矿机械,bei'jing'mei'kuang'ji'xie'chang'mei'kuang'ji'xie
北码,bei'ma
北绕道,bei'rao'dao
北通道,bei'tong'dao
本标准,ben'biao'zhun
本科,ben'ke
本体灰分,ben'ti'hui'fen
泵矿用电气,beng'kuang'yong'dian'qi
崩落开采法,beng'luo'kai'cai'fa
崩落区,beng'luo'qu
闭合拱,bi'he'gong
壁龛,bi'kan
比例尺,bi'li'chi
闭路,bi'lu
闭路破碎,bi'lu'po'sui
避难硐室,bi'nan'dong'shi
疪山矿,bi'shan'kuang
避灾路线,bi'zai'lu'xian
变电所,bian'dian'suo
变流电隶感器,bian'liu'dian'li'gan'qi
变速器,bian'su'qi
便线,bian'xian
便携式红外线测温仪,bian'xie'shi'hong'wai'xian'ce'wen'yi
便携式甲烷检测报警仪,bian'xie'shi'jia'wan'jian'ce'bao'jing'yi
便携式矿井地质探测仪,bian'xie'shi'kuang'jing'di'zhi'tan'ce'yi
变形,bian'xing
变压器室,bian'ya'qi'shi
编制采掘工作面作业规程,bian'zhi'cai'jue'gong'zuo'mian'zuo'ye'gui'cheng
表层,biao'ceng
表面硬化,biao'mian'ying'hua
并行平巷,bing'xing'ping'xiang
剥离厚度,bo'li'hou'du
玻璃水,bo'li'shui
剥离系数,bo'li'xi'shu
薄煤层,bo'mei'ceng
不包括,bu'bao'kuo
布采空区,bu'cai'kong'qu
补偿部件,bu'chang'bu'jian
捕车器,bu'che'qi
不缴煤,bu'jiao'mei
布卷尺,bu'juan'chi
不可缺少,bu'ke'que'shao
捕收剂,bu'shou'ji
捕收剂薄膜,bu'shou'ji'bao'mo
不粘煤,bu'zhan'mei
捕捉器,bu'zhuo'qi
采场规划,cai'chang'gui'hua
采出率,cai'chu'lv
采购员,cai'gou'yuan
采空区,cai'kong'qu
采矿工程,cai'kuang'gong'cheng
采矿工程师,cai'kuang'gong'cheng'shi
材料车线,cai'liao'che'xian
材料发放员,cai'liao'fa'fang'yuan
材料线,cai'liao'xian
材料斜巷,cai'liao'xie'hang
采煤,cai'mei
采煤二队,cai'mei'er'dui
采煤法,cai'mei'fa
采煤方法,cai'mei'fang'fa
采煤方法和回采工艺,cai'mei'fang'fa'he'hui'cai'gong'yi
采煤工,cai'mei'gong
采煤工祖,cai'mei'gong'zu
采煤工作面,cai'mei'gong'zuo'mian
采煤机,cai'mei'ji
采煤机械化,cai'mei'ji'xie'hua
采煤掘进机,cai'mei'jue'jin'ji
采煤三队,cai'mei'san'dui
采煤四队,cai'mei'si'dui
采煤五队,cai'mei'wu'dui
采煤一队,cai'mei'yi'dui
采粘土场,cai'nian'tu'chang
采区,cai'qu
采区车场,cai'qu'che'chang
采区车场设计,cai'qu'che'chang'she'ji
采区巷道,cai'qu'hang'dao
采区巷道布置,cai'qu'hang'dao'bu'zhi
财务部,cai'wu'bu
财务处,cai'wu'chu
采油管,cai'you'guan
仓壁,cang'bi
槽形钢拱,cao'xing'gang'gong
操纵按钮,cao'zong'an'niu
操作,cao'zuo
测出,ce'chu
测定仪,ce'ding'yi
测风测尘工,ce'feng'ce'chen'gong
测距仪,ce'ju'yi
测量,ce'liang
测隙规,ce'xi'gui
查不到,cha'bu'dao
查处隐患,cha'chu'yin'huan
查询,cha'xun
铲煤机,chan'mei'ji
长安能源公司,chang'an'neng'yuan'gong'si
场地设施,chang'di'she'shi
长钢,chang'gang
常建新,chang'jian'xin
场内道路,chang'nei'dao'lu
长焰煤,chang'yan'mei
长治市东华机械有限公司,chang'zhi'shi'dong'hua'ji'xie'you'xian'gong'si
朝川矿,chao'chuan'kuang
超前支护,chao'qian'zhi'hu
车场,che'chang
车场设计,che'chang'she'ji
车钩,che'gou
撤架,che'jia
车库,che'ku
车辆复轨器,che'liang'fu'gui'qi
车列,che'lie
车身,che'shen
撤退信号,che'tui'xin'hao
沉陷治理,chen'xian'zhi'li
沉箱,chen'xiang
沉箱病,chen'xiang'bing
沉箱基础,chen'xiang'ji'chu
陈新明,chen'xin'ming
成本分析,cheng'ben'fen'xi
程长真,cheng'chang'zhen
澄清桶,cheng'qing'tong
澄水,cheng'shui
冲尘,chong'chen
冲尘工,chong'chen'gong
充电硐室,chong'dian'dong'shi
充电硐室进风瓦斯,chong'dian'dong'shi'jin'feng'wa'si
充电室,chong'dian'shi
充分发挥,chong'fen'fa'hui
充分发挥经济效益,chong'fen'fa'hui'jing'ji'xiao'yi
充分发挥生产能力,chong'fen'fa'hui'sheng'chan'neng'li
冲唤截煤机,chong'huan'jie'mei'ji
冲击地压,chong'ji'di'ya
冲积矿压,chong'ji'kuang'ya
充填开采,chong'tian'kai'cai
抽采量,chou'cai'liang
抽采率,chou'cai'lv
稠度计,chou'du'ji
稠度试验,chou'du'shi'yan
臭块,chou'kuai
除尘风机,chu'chen'feng'ji
出风筒,chu'feng'tong
处理矿井各种灾害事故,chu'li'kuang'jing'ge'zhong'zai'hai'shi'gu
储量计算,chu'liang'ji'suan
出煤量,chu'mei'liang
出水煤浆高压隔膜泵,chu'shui'mei'jiang'gao'ya'ge'mo'beng
褚庄,chu'zhuang
穿层钻,chuan'ceng'zuan
粗充填料,cu'chong'tian'liao
粗矿石,cu'kuang'shi
粗砾,cu'li
粗粒,cu'li
粗粒砂,cu'li'sha
粗滤器初滤器,cu'lv'qi'chu'lv'qi
粗磨,cu'mo
粗泥,cu'ni
粗砂,cu'sha
粗筛,cu'shai
粗碎,cu'sui
粗碎机,cu'sui'ji
粗钻屑收集筒,cu'zuan'xie'shou'ji'tong
催化剂,cui'hua'ji
催化酌,cui'hua'zhuo
错车道,cuo'che'dao
错口排放,cuo'kou'pai'fang
措施,cuo'shi
措施孔,cuo'shi'kong
大抽放泵,da'chou'fang'beng
大档,da'dang
大管径,da'guan'jing
大巷照明维护,da'hang'zhao'ming'wei'hu
打混凝土桩,da'hun'ning'tu'zhuang
打孔,da'kong
大块煤,da'kuai'mei
打捞工具,da'lao'gong'ju
打捞钩,da'lao'gou
大李庄,da'li'zhuang
大食堂,da'shi'tang
大同煤矿,da'tong'mei'kuang
大同煤业集团,da'tong'mei'ye'ji'tuan
大同市煤矿机械修造厂煤矿机械,da'tong'shi'mei'kuang'ji'xie'xiu'zao'chang'mei'kuang'ji'xie
大雁二矿,da'yan'er'kuang
大禹沟煤矿,da'yu'gou'mei'kuang
大庄矿,da'zhuang'kuang
大钻机,da'zuan'ji
大钻孔,da'zuan'kong
带式干燥机,dai'shi'gan'zao'ji
带式输送机,dai'shi'shu'song'ji
带式输送机自移机尾,dai'shi'shu'song'ji'zi'yi'ji'wei
带式运输机胶带,dai'shi'yun'shu'ji'jiao'dai
单级单吸水泵,dan'ji'dan'xi'shui'beng
单孔岩石钻孔,dan'kong'yan'shi'zuan'kong
单项平轮,dan'xiang'ping'lun
氮氧化合物,dan'yang'hua'he'wu
挡板,dang'ban
挡车器,dang'che'qi
当代矿工,dang'dai'kuang'gong
党委,dang'wei
党校,dang'xiao
导电法,dao'dian'fa
导电性尘末,dao'dian'xing'chen'mo
导火线,dao'huo'xian
道口清扫房,dao'kou'qing'sao'fang
捣矿机,dao'kuang'ji
道庄,dao'zhuang
得电脑,de'dian'nao
的心理,de'xin'li
等高线图,deng'gao'xian'tu
等候室,deng'hou'shi
灯浴联合建筑,deng'yu'lian'he'jian'zhu
第八章,di'ba'zhang
底板,di'ban
底板瓦斯巷抽采,di'ban'wa'si'xiang'chou'cai
地磅员,di'bang'yuan
低爆热炸药,di'bao're'zha'yao
地表沉陷,di'biao'chen'xian
低槽,di'cao
地测工,di'ce'gong
地层贮水系数,di'ceng'zhu'shui'xi'shu
底抽巷,di'chou'xiang
第二章,di'er'zhang
底臌,di'gu
碲金矿,di'jin'kuang
第九章,di'jiu'zhang
地理位置,di'li'wei'zhi
第六章,di'liu'zhang
地面工,di'mian'gong
地面火灾预防,di'mian'huo'zai'yu'fang
地面生产系统,di'mian'sheng'chan'xi'tong
地面生产系统控制,di'mian'sheng'chan'xi'tong'kong'zhi
地面瓦斯抽放站,di'mian'wa'si'chou'fang'zhan
地面主煤流系统,di'mian'zhu'mei'liu'xi'tong
低浓度瓦斯,di'nong'du'wa'si
第七章,di'qi'zhang
第三章,di'san'zhang
低渗透率,di'shen'tou'lv
第四章,di'si'zhang
第四中部车场,di'si'zhong'bu'che'chang
低温技术,di'wen'ji'shu
第五章,di'wu'zhang
地形特征,di'xing'te'zheng
低压智能馈电开关,di'ya'zhi'neng'kui'dian'kai'guan
第一章,di'yi'zhang
地应力,di'ying'li
地质灾害,di'zhi'zai'hai
电导率成像系统,dian'dao'lv'cheng'xiang'xi'tong
电动簸箕,dian'dong'bo'ji
电动装车闸门,dian'dong'zhuang'che'zha'men
电话班,dian'hua'ban
电缆敷设,dian'lan'fu'she
电缆故障,dian'lan'gu'zhang
电缆接线盒,dian'lan'jie'xian'he
电缆库,dian'lan'ku
电缆外壳,dian'lan'wai'ke
电缆芯线,dian'lan'xin'xian
电淋度,dian'lin'du
电路图,dian'lu'tu
电器,dian'qi
电器硐室,dian'qi'dong'shi
电视,dian'shi
电石灯,dian'shi'deng
电石化学,dian'shi'hua'xue
电线,dian'xian
电冶分公司,dian'ye'fen'gong'si
电子,dian'zi
电子书,dian'zi'shu
电阻应变仪,dian'zu'ying'bian'yi
掉安全出口标志,diao'an'quan'chu'kou'biao'zhi
调度,diao'du
调度楼,diao'du'lou
调度室,diao'du'shi
吊钩桥式起重机,diao'gou'qiao'shi'qi'zhong'ji
丁百元,ding'bai'yuan
顶板,ding'ban
顶板崩落,ding'ban'beng'luo
顶板炮眼,ding'ban'pao'yan
顶板事故,ding'ban'shi'gu
顶板岩石,ding'ban'yan'shi
顶部间隙,ding'bu'jian'xi
顶底板巷,ding'di'ban'xiang
丁沟,ding'gou
丁集,ding'ji
丁集矿,ding'ji'kuang
顶梁,ding'liang
顶煤,ding'mei
定向钻进,ding'xiang'zuan'jin
定中心,ding'zhong'xin
丁组煤,ding'zu'mei
东安路,dong'an'lu
懂得通风技术,dong'de'tong'feng'ji'shu
冻结法,dong'jie'fa
动力煤,dong'li'mei
硐室,dong'shi
董事会,dong'shi'hui
董事会防突七项决定,dong'shi'hui'fang'tu'qi'xiang'jue'ding
洞室装药,dong'shi'zhuang'yao
动压,dong'ya
堵缝,du'feng
杜工会,du'gong'hui
堵塞,du'se
独头巷道,du'tou'hang'dao
断层,duan'ceng
断路器,duan'lu'qi
断面够,duan'mian'gou
煅烧,duan'shao
煅烧炉,duan'shao'lu
对拉采煤面,dui'la'cai'mei'mian
对流,dui'liu
躲避硐,duo'bi'dong
多尘瓦斯矿,duo'chen'wa'si'kuang
多斗挖掘船,duo'dou'wa'jue'chuan
多斗挖掘机,duo'dou'wa'jue'ji
多环芳烃类,duo'huan'fang'ting'lei
多级压气机,duo'ji'ya'qi'ji
多经处,duo'jing'chu
多孔混凝土,duo'kong'hun'ning'tu
多空塑料,duo'kong'su'liao
多室式磨机,duo'shi'shi'mo'ji
垛式支架,duo'shi'zhi'jia
多爪抓斗,duo'zhao'zhua'dou
扼吝圈,e'lin'quan
鄂州市东方煤机厂煤矿机械,e'zhou'shi'dong'fang'mei'ji'chang'mei'kuang'ji'xie
而成为,er'cheng'wei
二矿,er'kuang
二氧化碳爆破筒,er'yang'hua'tan'bao'po'tong
发电用煤,fa'dian'yong'mei
帆布桶,fan'bu'tong
帆布通风管道,fan'bu'tong'feng'guan'dao
翻车机,fan'che'ji
翻车机硐室,fan'che'ji'dong'shi
凡是,fan'shi
反时针方向,fan'shi'zhen'fang'xiang
反时针旋转,fan'shi'zhen'xuan'zhuan
范围及要求,fan'wei'ji'yao'qiu
反向风门,fan'xiang'feng'men
反旋式通风机,fan'xuan'shi'tong'feng'ji
翻转箕斗装置,fan'zhuan'ji'dou'zhuang'zhi
防爆电动葫芦,fang'bao'dian'dong'hu'lu
防爆电液推杆,fang'bao'dian'ye'tui'gan
防爆对讲机,fang'bao'dui'jiang'ji
防爆潜水泵,fang'bao'qian'shui'beng
防爆全站仪,fang'bao'quan'zhan'yi
防爆真空馈电开关,fang'bao'zhen'kong'kui'dian'kai'guan
防爆指挥车,fang'bao'zhi'hui'che
放采工作面,fang'cai'gong'zuo'mian
防尘口罩,fang'chen'kou'zhao
放顶煤工作面,fang'ding'mei'gong'zuo'mian
放顶线,fang'ding'xian
防腐,fang'fu
防腐蚀,fang'fu'shi
防洪,fang'hong
防洪沟,fang'hong'gou
防火栅栏两用门,fang'huo'zha'lan'liang'yong'men
方解石,fang'jie'shi
方块道,fang'kuai'dao
放煤溜槽,fang'mei'liu'cao
防跑车器,fang'pao'che'qi
放炮电路试验器,fang'pao'dian'lu'shi'yan'qi
放炮队,fang'pao'dui
放炮员,fang'pao'yuan
防砂煤柱,fang'sha'mei'zhu
防蚀剂,fang'shi'ji
房式开采,fang'shi'kai'cai
防水煤柱,fang'shui'mei'zhu
防水闸门硐室,fang'shui'zha'men'dong'shi
防突,fang'tu
防突测试工,fang'tu'ce'shi'gong
防突抽采队,fang'tu'chou'cai'dui
防突措施,fang'tu'cuo'shi
防突措施落实关,fang'tu'cuo'shi'luo'shi'guan
防突打钻队,fang'tu'da'zuan'dui
防突督导,fang'tu'du'dao
防突队,fang'tu'dui
防突十二个字基本要求,fang'tu'shi'er'ge'zi'ji'ben'yao'qiu
方庄煤矿,fang'zhuang'mei'kuang
废碴堆,fei'cha'dui
非炼焦煤类,fei'lian'jiao'mei'lei
肥煤,fei'mei
分合管理,fen'he'guan'li
分级机溢流,fen'ji'ji'yi'liu
分级筛,fen'ji'shai
粉碎球,fen'sui'qiu
分选判据,fen'xuan'pan'ju
风泵,feng'beng
封闭结构,feng'bi'jie'gou
封闭式轴承,feng'bi'shi'zhou'cheng
风动发动机,feng'dong'fa'dong'ji
风动扇风机,feng'dong'shan'feng'ji
风动掏锤,feng'dong'tao'chui
峰峰集团,feng'feng'ji'tuan
风镐,feng'gao
凤凰公寓,feng'huang'gong'yu
风机,feng'ji
风井,feng'jing
风井道路,feng'jing'dao'lu
风井道路排水沟,feng'jing'dao'lu'pai'shui'gou
风井灌浆站,feng'jing'guan'jiang'zhan
风井山体滑坡治理工程,feng'jing'shan'ti'hua'po'zhi'li'gong'cheng
风井水源井,feng'jing'shui'yuan'jing
风井消防水泵房,feng'jing'xiao'fang'shui'beng'fang
风量,feng'liang
风量计算,feng'liang'ji'suan
风量足,feng'liang'zu
风门,feng'men
风水包,feng'shui'bao
风巷,feng'xiang
风巷抽放巷里段挡风墙,feng'xiang'chou'fang'xiang'li'duan'dang'feng'qiang
风巷打钻,feng'xiang'da'zuan
风巷高抽巷,feng'xiang'gao'chou'xiang
风巷高抽巷回风道,feng'xiang'gao'chou'xiang'hui'feng'dao
冯营电力公司,feng'ying'dian'li'gong'si
丰源公司,feng'yuan'gong'si
复成岩瘤,fu'cheng'yan'liu
副队长,fu'dui'zhang
复盖层厚度,fu'gai'ceng'hou'du
复盖岩层,fu'gai'yan'ceng
复盖岩石,fu'gai'yan'shi
复轨器,fu'gui'qi
复合材料,fu'he'cai'liao
复合顶板,fu'he'ding'ban
复合矿层,fu'he'kuang'ceng
复合矿床,fu'he'kuang'chuang
复合矿石,fu'he'kuang'shi
复合矿物,fu'he'kuang'wu
富华矿难,fu'hua'kuang'nan
福建省煤矿机械厂煤矿机械,fu'jian'sheng'mei'kuang'ji'xie'chang'mei'kuang'ji'xie
福建省永安永煤机械有限公司,fu'jian'sheng'yong'an'yong'mei'ji'xie'you'xian'gong'si
副井,fu'jing
副井空车线,fu'jing'kong'che'xian
付井温度,fu'jing'wen'du
副井重车线,fu'jing'zhong'che'xian
腐蚀酌,fu'shi'zhuo
抚顺煤科院,fu'shun'mei'ke'yuan
服务年限,fu'wu'nian'xian
副斜井,fu'xie'jing
浮选机,fu'xuan'ji
浮游选煤,fu'you'xuan'mei
辅运大巷,fu'yun'da'hang
辅运石门,fu'yun'shi'men
辅助厂房及库房,fu'zhu'chang'fang'ji'ku'fang
辅助罐笼,fu'zhu'guan'long
辅助竖井,fu'zhu'shu'jing
副总经理张兆锋,fu'zong'jing'li'zhang'zhao'feng
钙长石,gai'chang'shi
改大轴,gai'da'zhou
钙化,gai'hua
概算矿井通风费用,gai'suan'kuang'jing'tong'feng'fei'yong
钙质,gai'zhi
甘汞,gan'gong
甘汞电极,gan'gong'dian'ji
干馏,gan'liu
矸石仓,gan'shi'cang
矸石仓上硐室,gan'shi'cang'shang'dong'shi
矸石仓下硐室,gan'shi'cang'xia'dong'shi
矸石仓下漏斗,gan'shi'cang'xia'lou'dou
矸石排放,gan'shi'pai'fang
干燥无灰基挥发分,gan'zao'wu'hui'ji'hui'fa'fen
钢筋混凝土井架,gang'jin'hun'ning'tu'jing'jia
钢粒钻头,gang'li'zuan'tou
钢丝绳垂度,gang'si'sheng'chui'du
钢丝绳卷筒,gang'si'sheng'juan'tong
钢丝绳捻向,gang'si'sheng'nian'xiang
钢丝绳运输巷道,gang'si'sheng'yun'shu'hang'dao
钢丝绳钻机,gang'si'sheng'zuan'ji
钢丝绳钻进,gang'si'sheng'zuan'jin
钢丝绳钻眼法,gang'si'sheng'zuan'yan'fa
钢僳环头,gang'su'huan'tou
高标准,gao'biao'zhun
高产高效,gao'chan'gao'xiao
高抽巷,gao'chou'xiang
高档普采,gao'dang'pu'cai
高沟,gao'gou
高建中,gao'jian'zhong
高炉喷吹用无烟煤,gao'lu'pen'chui'yong'wu'yan'mei
高炉喷煤专用混合器,gao'lu'pen'mei'zhuan'yong'hun'he'qi
高渗透率,gao'shen'tou'lv
高唐县龙鑫机械制造有限公司,gao'tang'xian'long'xin'ji'xie'zhi'zao'you'xian'gong'si
膏体充填,gao'ti'chong'tian
膏体自流充填工艺,gao'ti'zi'liu'chong'tian'gong'yi
高位钻孔抽采,gao'wei'zuan'kong'chou'cai
高效刮板输送机,gao'xiao'gua'ban'shu'song'ji
高效治理煤矿瓦斯,gao'xiao'zhi'li'mei'kuang'wa'si
高压变频装置,gao'ya'bian'pin'zhuang'zhi
高值瓦斯超限,gao'zhi'wa'si'chao'xian
高庄,gao'zhuang
高庄矿,gao'zhuang'kuang
隔爆高压真空配电装置,ge'bao'gao'ya'zhen'kong'pei'dian'zhuang'zhi
隔爆水袋,ge'bao'shui'dai
隔爆型高压电抗器,ge'bao'xing'gao'ya'dian'kang'qi
隔爆型移动变电站,ge'bao'xing'yi'dong'bian'dian'zhan
隔爆照明变压器,ge'bao'zhao'ming'bian'ya'qi
割道尖,ge'dao'jian
蛤斗,ge'dou
蛤斗式挖掘机,ge'dou'shi'wa'jue'ji
割链,ge'lian
割煤机,ge'mei'ji
跟班,gen'ban
庚组煤,geng'zu'mei
工程塑料公司,gong'cheng'su'liao'gong'si
供电系统,gong'dian'xi'tong
公共厕所,gong'gong'ce'suo
工会,gong'hui
工具器具,gong'ju'qi'ju
工具室,gong'ju'shi
工农业发展,gong'nong'ye'fa'zhan
供热系统,gong're'xi'tong
工人职业病,gong'ren'zhi'ye'bing
工业场地室,gong'ye'chang'di'shi
工业储量,gong'ye'chu'liang
工业矿石,gong'ye'kuang'shi
工业炸药,gong'ye'zha'yao
供应部,gong'ying'bu
共用平巷,gong'yong'ping'xiang
公寓楼,gong'yu'lou
工祖链板输送机,gong'zu'lian'ban'shu'song'ji
工作,gong'zuo
工作面,gong'zuo'mian
工作面防突措施,gong'zuo'mian'fang'tu'cuo'shi
工作面风巷,gong'zuo'mian'feng'xiang
工作面回风巷,gong'zuo'mian'hui'feng'xiang
工作面输送机,gong'zuo'mian'shu'song'ji
工作面运输巷,gong'zuo'mian'yun'shu'xiang
工作制度,gong'zuo'zhi'du
沟李封断层,gou'li'feng'duan'ceng
顾北,gu'bei
顾北矿,gu'bei'kuang
钴毕,gu'bi
古汉山矿,gu'han'shan'kuang
骨架,gu'jia
顾桥,gu'qiao
顾桥矿,gu'qiao'kuang
刮板机,gua'ban'ji
刮板架工,gua'ban'jia'gong
刮板输送机机,gua'ban'shu'song'ji'ji
刮板运输机,gua'ban'yun'shu'ji
关闭阀,guan'bi'fa
关闭矿山,guan'bi'kuang'shan
关闭装置,guan'bi'zhuang'zhi
管道,guan'dao
罐道,guan'dao
灌混凝土,guan'hun'ning'tu
灌浆站,guan'jiang'zhan
灌浆站人员,guan'jiang'zhan'ren'yuan
管井取水泵房,guan'jing'qu'shui'beng'fang
管理,guan'li
管理要创新,guan'li'yao'chuang'xin
管理用房,guan'li'yong'fang
罐笼,guan'long
罐笼层,guan'long'ceng
罐笼电话,guan'long'dian'hua
罐笼断绳保险器,guan'long'duan'sheng'bao'xian'qi
罐笼隔间,guan'long'ge'jian
罐笼门,guan'long'men
罐笼平衡锤,guan'long'ping'heng'chui
罐笼设备,guan'long'she'bei
罐笼提升,guan'long'ti'sheng
罐笼提升机,guan'long'ti'sheng'ji
罐笼提升井,guan'long'ti'sheng'jing
罐笼悬挂装置,guan'long'xuan'gua'zhuang'zhi
罐笼装卸处,guan'long'zhuang'xie'chu
罐笼座,guan'long'zuo
罐托,guan'tuo
关庄,guan'zhuang
管子道,guan'zi'dao
光卤石,guang'lu'shi
光纤熔接机,guang'xian'rong'jie'ji
光学经纬仪,guang'xue'jing'wei'yi
轨道,gui'dao
轨道上车场,gui'dao'shang'che'chang
轨道上山,gui'dao'shang'shan
轨道下山,gui'dao'xia'shan
轨道下山绞车房,gui'dao'xia'shan'jiao'che'fang
轨道运输,gui'dao'yun'shu
规定了,gui'ding'le
规范性,gui'fan'xing
硅质石灰岩,gui'zhi'shi'hui'yan
辊碎机,gun'sui'ji
国家安全生产监督管理总局,guo'jia'an'quan'sheng'chan'jian'du'guan'li'zong'ju
郭建周,guo'jian'zhou
锅炉,guo'lu
锅炉房系统,guo'lu'fang'xi'tong
过煤措施孔,guo'mei'cuo'shi'kong
哈密煤田,ha'mi'mei'tian
海孜煤矿,hai'zi'mei'kuang
含气量,han'qi'liang
含水层,han'shui'ceng
含碳矿物,han'tan'kuang'wu
含碳量,han'tan'liang
焊套头,han'tao'tou
焊条芯,han'tiao'xin
寒武纪,han'wu'ji
巷道,hang'dao
巷道煤柱,hang'dao'mei'zhu
行业安全,hang'ye'an'quan
好人谢延信,hao'ren'xie'yan'xin
合成应力,he'cheng'ying'li
河东路,he'dong'lu
合理性,he'li'xing
河流湖泊,he'liu'hu'po
褐煤,he'mei
鹤煤,he'mei
河南焦煤集团,he'nan'jiao'mei'ji'tuan
河南平宝煤业有限公司,he'nan'ping'bao'mei'ye'you'xian'gong'si
河南省荥阳煤矿机械厂煤矿机械,he'nan'sheng'xing'yang'mei'kuang'ji'xie'chang'mei'kuang'ji'xie
何庄,he'zhuang
黑金刚石,hei'jin'gang'shi
黑硫银锡矿,hei'liu'yin'xi'kuang
黑龙江省牡丹江煤矿机械厂,hei'long'jiang'sheng'mu'dan'jiang'mei'kuang'ji'xie'chang
黑煤,hei'mei
黑烟,hei'yan
横挡,heng'dang
横断面视图,heng'duan'mian'shi'tu
横梁,heng'liang
横木,heng'mu
亨南煤矿,heng'nan'mei'kuang
横切面,heng'qie'mian
横巷,heng'xiang
横向摆动,heng'xiang'bai'dong
横巷采矿法,heng'xiang'cai'kuang'fa
横向输送机,heng'xiang'shu'song'ji
宏程工程建设有限公司,hong'cheng'gong'cheng'jian'she'you'xian'gong'si
红砷镍矿,hong'shen'nie'kuang
红玉,hong'yu
猴车,hou'che
候车室,hou'che'shi
厚冲积层,hou'chong'ji'ceng
后角,hou'jiao
后马路,hou'ma'lu
厚煤层,hou'mei'ceng
后勤服务公司,hou'qin'fu'wu'gong'si
后退式工作面,hou'tui'shi'gong'zuo'mian
湖南省煤矿机械厂煤矿机械,hu'nan'sheng'mei'kuang'ji'xie'chang'mei'kuang'ji'xie
湖南远杨煤矿机械厂煤矿机械,hu'nan'yuan'yang'mei'kuang'ji'xie'chang'mei'kuang'ji'xie
华宝商场,hua'bao'shang'chang
华丰,hua'feng
化工产业,hua'gong'chan'ye
化合水,hua'he'shui
化合物,hua'he'wu
滑环,hua'huan
滑落,hua'luo
化学变化,hua'xue'bian'hua
化学反应,hua'xue'fan'ying
化学分析,hua'xue'fen'xi
化学腐蚀,hua'xue'fu'shi
化学过程,hua'xue'guo'cheng
化学亲和能,hua'xue'qin'he'neng
化学性质,hua'xue'xing'zhi
化学酌,hua'xue'zhuo
化学组成,hua'xue'zu'cheng
花园式矿山,hua'yuan'shi'kuang'shan
淮沪煤电公司,huai'hu'mei'dian'gong'si
淮化集团,huai'hua'ji'tuan
淮南矿业集团,huai'nan'kuang'ye'ji'tuan
淮南煤矿,huai'nan'mei'kuang
淮南煤矿机械厂煤矿机械,huai'nan'mei'kuang'ji'xie'chang'mei'kuang'ji'xie
淮浙煤电公司,huai'zhe'mei'dian'gong'si
换车,huan'che
