安抚制置使,an'fu'zhi'zhi'shi
河北兵马大帅府,he'bei'bing'ma'da'shuai'fu
河北兵马大元帅府,he'bei'bing'ma'da'yuan'shuai'fu
河北兵马大元帅府参议官,he'bei'bing'ma'da'yuan'shuai'fu'can'yi'guan
河北兵马大元帅府随军应副,he'bei'bing'ma'da'yuan'shuai'fu'sui'jun'ying'fu
河北兵马大元帅府统制,he'bei'bing'ma'da'yuan'shuai'fu'tong'zhi
河北兵马副元帅,he'bei'bing'ma'fu'yuan'shuai
河北兵马元帅,he'bei'bing'ma'yuan'shuai
河东路经略安抚都总管司,he'dong'lu'jing'lue'an'fu'dou'zong'guan'si
湖北总领所,hu'bei'zong'ling'suo
湖广总领,hu'guang'zong'ling
湖广总领所,hu'guang'zong'ling'suo
湖广总司,hu'guang'zong'si
淮东总领,huai'dong'zong'ling
淮东总领财赋,huai'dong'zong'ling'cai'fu
淮东总领司,huai'dong'zong'ling'si
淮东总领所,huai'dong'zong'ling'suo
淮西江东总领,huai'xi'jiang'dong'zong'ling
淮西总领,huai'xi'zong'ling
淮西总领司,huai'xi'zong'ling'si
淮西总领所,huai'xi'zong'ling'suo
淮西总司,huai'xi'zong'si
环庆路都总管经略安抚司,huan'qing'lu'dou'zong'guan'jing'lue'an'fu'si
机密,ji'mi
计司,ji'si
计台,ji'tai
机宜,ji'yi
机宜文字,ji'yi'wen'zi
监兵马监押,jian'bing'ma'jian'ya
监军,jian'jun
建康府驻扎御前诸军都统制,jian'kang'fu'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi
建康总领,jian'kang'zong'ling
监库,jian'ku
监押,jian'ya
江东总领所,jiang'dong'zong'ling'suo
将副,jiang'fu
将官,jiang'guan
江淮都督府,jiang'huai'du'du'fu
江淮荆浙都督府,jiang'huai'jing'zhe'du'du'fu
将领,jiang'ling
江陵府都统,jiang'ling'fu'du'tong
江上诸军,jiang'shang'zhu'jun
将帅,jiang'shuai
将司,jiang'si
江西京西湖北总司,jiang'xi'jing'xi'hu'bei'zong'si
江州驻扎御前诸军都统制,jiang'zhou'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi
将佐,jiang'zuo
节帅,jie'shuai
金州驻扎御前诸军都统制,jin'zhou'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi
经抚,jing'fu
经抚司,jing'fu'si
经干,jing'gan
经略,jing'lue
经略安抚,jing'lue'an'fu
经略安抚都总管司,jing'lue'an'fu'dou'zong'guan'si
经略安抚都总管司管勾机宜文字,jing'lue'an'fu'dou'zong'guan'si'guan'gou'ji'yi'wen'zi
经略安抚都总管司书写机宜文字,jing'lue'an'fu'dou'zong'guan'si'shu'xie'ji'yi'wen'zi
经略安抚副使,jing'lue'an'fu'fu'shi
经略安抚使,jing'lue'an'fu'shi
经略安抚使兼马步都总管,jing'lue'an'fu'shi'jian'ma'bu'dou'zong'guan
经略安抚使兼马步军都部署,jing'lue'an'fu'shi'jian'ma'bu'jun'dou'bu'shu
经略安抚使兼马步军都总管,jing'lue'an'fu'shi'jian'ma'bu'jun'dou'zong'guan
经略安抚使司,jing'lue'an'fu'shi'si
经略安抚使司管勾机宜文字,jing'lue'an'fu'shi'si'guan'gou'ji'yi'wen'zi
经略安抚使司判官,jing'lue'an'fu'shi'si'pan'guan
经略安抚使司准备差使,jing'lue'an'fu'shi'si'zhun'bei'chai'shi
经略安抚使司准备指使,jing'lue'an'fu'shi'si'zhun'bei'zhi'shi
经略安抚司,jing'lue'an'fu'si
经略安抚司参议官,jing'lue'an'fu'si'can'yi'guan
经略安抚司勾当公事,jing'lue'an'fu'si'gou'dang'gong'shi
经略安抚沿边招讨使,jing'lue'an'fu'yan'bian'zhao'tao'shi
经略安抚招讨使,jing'lue'an'fu'zhao'tao'shi
经略安抚制置使,jing'lue'an'fu'zhi'zhi'shi
经略安抚制置使司,jing'lue'an'fu'zhi'zhi'shi'si
经略副使,jing'lue'fu'shi
经略判官,jing'lue'pan'guan
经略使,jing'lue'shi
经略使司,jing'lue'shi'si
经略司,jing'lue'si
经略司指使,jing'lue'si'zhi'shi
经略招讨司,jing'lue'zhao'tao'si
经略制置使,jing'lue'zhi'zhi'shi
经略制置司,jing'lue'zhi'zhi'si
荆南府驻扎御前诸军副都统制,jing'nan'fu'zhu'zha'yu'qian'zhu'jun'fu'du'tong'zhi
经帅,jing'shuai
经司,jing'si
泾原路都总管经略安抚司,jing'yuan'lu'dou'zong'guan'jing'lue'an'fu'si
经制,jing'zhi
经制副使,jing'zhi'fu'shi
经制使,jing'zhi'shi
经制司,jing'zhi'si
经制司干办公事,jing'zhi'si'gan'ban'gong'shi
军兵马监押,jun'bing'ma'jian'ya
军监押,jun'jian'ya
军将,jun'jiang
郡总管,jun'zong'guan
利州驻扎御前诸军副都统制,li'zhou'zhu'zha'yu'qian'zhu'jun'fu'du'tong'zhi
廉访,lian'fang
廉访使,lian'fang'shi
廉访使者,lian'fang'shi'zhe
廉访所,lian'fang'suo
领御前诸军都统制事,ling'yu'qian'zhu'jun'dou'tong'zhi'shi
陇右都护,long'you'du'hu
路兵马都钤辖司,lu'bing'ma'dou'qian'xia'si
路都监,lu'dou'jian
路分,lu'fen
路分兵马都监,lu'fen'bing'ma'dou'jian
路分兵马副都监,lu'fen'bing'ma'fu'dou'jian
路分兵马钤辖,lu'fen'bing'ma'qian'xia
路分都监,lu'fen'dou'jian
路分都钤辖司,lu'fen'dou'qian'xia'si
路分军步军总管,lu'fen'jun'bu'jun'zong'guan
路分马步军部署,lu'fen'ma'bu'jun'bu'shu
路分钤辖,lu'fen'qian'xia
路钤,lu'qian
路钤辖,lu'qian'xia
鄜延路都总管经略安抚司,lu'yan'lu'dou'zong'guan'jing'lue'an'fu'si
路驻泊兵马都监,lu'zhu'bo'bing'ma'dou'jian
马步军都部署,ma'bu'jun'dou'bu'shu
马步军都总管,ma'bu'jun'dou'zong'guan
马步军副部署,ma'bu'jun'fu'bu'shu
马步军副都部署,ma'bu'jun'fu'dou'bu'shu
马步军副都总管,ma'bu'jun'fu'dou'zong'guan
马步军副总管,ma'bu'jun'fu'zong'guan
沔州驻扎御前诸军都统制,mian'zhou'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi
某军第某正将,mou'jun'di'mou'zheng'jiang
某路某司走马承受公事,mou'lu'mou'si'zou'ma'cheng'shou'gong'shi
谋议官,mou'yi'guan
南都,nan'du
南都都总管,nan'du'dou'zong'guan
南都总管,nan'du'zong'guan
排阵使,pai'zhen'shi
判官,pan'guan
裨将,pi'jiang
偏裨,pian'bi
钤辖,qian'xia
钤辖兵马,qian'xia'bing'ma
钤辖司,qian'xia'si
秦凤路经略安抚都总管司,qin'feng'lu'jing'lue'an'fu'dou'zong'guan'si
权签书经略安抚判官公事,quan'qian'shu'jing'lue'an'fu'pan'guan'gong'shi
戎司,rong'si
儒将,ru'jiang
陕西都大管勾走马承受公事,shan'xi'dou'da'guan'gou'zou'ma'cheng'shou'gong'shi
陕西经略安抚诏讨,shan'xi'jing'lue'an'fu'zhao'tao
陕西同经略安抚招讨使,shan'xi'tong'jing'lue'an'fu'zhao'tao'shi
陕西沿边经略安抚招讨司,shan'xi'yan'bian'jing'lue'an'fu'zhao'tao'si
陕西诏讨,shan'xi'zhao'tao
十都统制,shi'dou'tong'zhi
使司,shi'si
事务官,shi'wu'guan
使者,shi'zhe
书写文字,shu'xie'wen'zi
书写宣抚司机密文字,shu'xie'xuan'fu'si'ji'mi'wen'zi
帅臣,shuai'chen
帅府,shuai'fu
帅司,shuai'si
四川宣制司,si'chuan'xuan'zhi'si
四川宣总司,si'chuan'xuan'zong'si
四川诸军,si'chuan'zhu'jun
四川总领,si'chuan'zong'ling
四川总领所,si'chuan'zong'ling'suo
四川总领所鱼关签厅,si'chuan'zong'ling'suo'yu'guan'qian'ting
四川总制司,si'chuan'zong'zhi'si
四道都总管,si'dao'dou'zong'guan
四道都总管府,si'dao'dou'zong'guan'fu
四道副总管,si'dao'fu'zong'guan
四辅郡都总管,si'fu'jun'dou'zong'guan
四路招讨使,si'lu'zhao'tao'shi
四屯驻大军,si'tun'zhu'da'jun
四总,si'zong
四总管,si'zong'guan
四总领,si'zong'ling
四总领所,si'zong'ling'suo
随军漕臣,sui'jun'cao'chen
随军转运,sui'jun'zhuan'yun
提举一行事务,ti'ju'yi'hang'shi'wu
天下兵马大元帅府,tian'xia'bing'ma'da'yuan'shuai'fu
同都巡检使,tong'dou'xun'jian'shi
同都督,tong'du'du
统领,tong'ling
同陇右都护,tong'long'you'du'hu
统帅,tong'shuai
统帅府,tong'shuai'fu
同巡检,tong'xun'jian
同巡检使,tong'xun'jian'shi
同巡检司,tong'xun'jian'si
同巡司,tong'xun'si
统制官,tong'zhi'guan
同总领,tong'zong'ling
头领,tou'ling
五司厅,wu'si'ting
西道,xi'dao
西道都总管,xi'dao'dou'zong'guan
西道都统,xi'dao'du'tong
西道副总管,xi'dao'fu'zong'guan
西道总管,xi'dao'zong'guan
县兵马都监,xian'bing'ma'dou'jian
县兵马监押,xian'bing'ma'jian'ya
行府,xing'fu
行营兵马都监,xing'ying'bing'ma'dou'jian
行营都部署,xing'ying'dou'bu'shu
行营都监,xing'ying'dou'jian
行营马步军都监,xing'ying'ma'bu'jun'dou'jian
行营马步军战棹都部署,xing'ying'ma'bu'jun'zhan'zhao'dou'bu'shu
兴元府驻扎御前诸军都统制,xing'yuan'fu'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi
许浦驻扎御前水军都统制,xu'pu'zhu'zha'yu'qian'shui'jun'dou'tong'zhi
宣参,xuan'can
宣副,xuan'fu
宣抚,xuan'fu
宣抚处置副使,xuan'fu'chu'zhi'fu'shi
宣抚处置使,xuan'fu'chu'zhi'shi
宣抚处置使司,xuan'fu'chu'zhi'shi'si
宣抚处置使司参谋官,xuan'fu'chu'zhi'shi'si'can'mou'guan
宣抚处置使司参议官,xuan'fu'chu'zhi'shi'si'can'yi'guan
宣抚处置使司都统制,xuan'fu'chu'zhi'shi'si'dou'tong'zhi
宣抚处置使司干办公事,xuan'fu'chu'zhi'shi'si'gan'ban'gong'shi
宣抚处置使司随军转运使,xuan'fu'chu'zhi'shi'si'sui'jun'zhuan'yun'shi
宣抚处置使司主管机宜文字,xuan'fu'chu'zhi'shi'si'zhu'guan'ji'yi'wen'zi
宣抚大使,xuan'fu'da'shi
宣抚副使,xuan'fu'fu'shi
宣抚副使司,xuan'fu'fu'shi'si
宣抚副使司参赞军事,xuan'fu'fu'shi'si'can'zan'jun'shi
宣抚判官,xuan'fu'pan'guan
宣抚使,xuan'fu'shi
宣抚使司,xuan'fu'shi'si
宣抚使司参谋官,xuan'fu'shi'si'can'mou'guan
宣抚使司参议官,xuan'fu'shi'si'can'yi'guan
宣抚使司干办公事,xuan'fu'shi'si'gan'ban'gong'shi
宣抚使司勾当公事,xuan'fu'shi'si'gou'dang'gong'shi
宣抚使司书写机宜文字,xuan'fu'shi'si'shu'xie'ji'yi'wen'zi
宣抚使司提举一行事务,xuan'fu'shi'si'ti'ju'yi'hang'shi'wu
宣抚使司同提举一行事务,xuan'fu'shi'si'tong'ti'ju'yi'hang'shi'wu
宣抚使司主管机宜文字,xuan'fu'shi'si'zhu'guan'ji'yi'wen'zi
宣抚司,xuan'fu'si
宣机,xuan'ji
宣判,xuan'pan
宣使,xuan'shi
宣司,xuan'si
宣台,xuan'tai
宣相,xuan'xiang
宣谕官,xuan'yu'guan
宣谕使,xuan'yu'shi
宣谕使司,xuan'yu'shi'si
宣谕司,xuan'yu'si
宣总司,xuan'zong'si
巡捕官,xun'bu'guan
巡检,xun'jian
巡检使,xun'jian'shi
巡检使臣,xun'jian'shi'chen
巡检司,xun'jian'si
巡警,xun'jing
训练官,xun'lian'guan
巡司,xun'si
巡捉私茶盐贼盗,xun'zhuo'si'cha'yan'zei'dao
巡捉私茶贼,xun'zhuo'si'cha'zei
押队,ya'dui
押队使臣,ya'dui'shi'chen
沿边招讨使,yan'bian'zhao'tao'shi
沿海制置使,yan'hai'zhi'zhi'shi
沿海制置使司,yan'hai'zhi'zhi'shi'si
沿海制置司,yan'hai'zhi'zhi'si
沿江副司,yan'jiang'fu'si
沿江水军制置副使司,yan'jiang'shui'jun'zhi'zhi'fu'shi'si
沿江水军制置使,yan'jiang'shui'jun'zhi'zhi'shi
沿江水军制置使司,yan'jiang'shui'jun'zhi'zhi'shi'si
沿江制副,yan'jiang'zhi'fu
沿江制阃,yan'jiang'zhi'kun
沿江制司,yan'jiang'zhi'si
沿江制置使,yan'jiang'zhi'zhi'shi
议官,yi'guan
御前都统制,yu'qian'dou'tong'zhi
御前都统司军级以下九等统兵官,yu'qian'du'tong'si'jun'ji'yi'xia'jiu'deng'tong'bing'guan
御前都统司幕僚,yu'qian'du'tong'si'mu'liao
御前某军第某将,yu'qian'mou'jun'di'mou'jiang
御前某军第某将副将,yu'qian'mou'jun'di'mou'jiang'fu'jiang
御前某军第某将正将,yu'qian'mou'jun'di'mou'jiang'zheng'jiang
御前某军都统制,yu'qian'mou'jun'dou'tong'zhi
御前某军副统领,yu'qian'mou'jun'fu'tong'ling
御前某军副统制,yu'qian'mou'jun'fu'tong'zhi
御前某军某将准备将,yu'qian'mou'jun'mou'jiang'zhun'bei'jiang
御前某军同副统制,yu'qian'mou'jun'tong'fu'tong'zhi
御前某军统领,yu'qian'mou'jun'tong'ling
御前某军同统领,yu'qian'mou'jun'tong'tong'ling
御前某军同统制,yu'qian'mou'jun'tong'tong'zhi
御前某军统制,yu'qian'mou'jun'tong'zhi
御前诸军副都统制,yu'qian'zhu'jun'fu'du'tong'zhi
御前诸军副都统制司,yu'qian'zhu'jun'fu'du'tong'zhi'si
元帅,yuan'shuai
元帅府,yuan'shuai'fu
在城兵马钤辖,zai'cheng'bing'ma'qian'xia
寨兵马监押,zhai'bing'ma'jian'ya
诏安使,zhao'an'shi
招抚,zhao'fu
招抚副使,zhao'fu'fu'shi
招抚判官,zhao'fu'pan'guan
招抚使,zhao'fu'shi
招抚使司,zhao'fu'shi'si
招抚使司参谋官,zhao'fu'shi'si'can'mou'guan
招抚使司都统制,zhao'fu'shi'si'dou'tong'zhi
招抚使司统领,zhao'fu'shi'si'tong'ling
招抚使司统制,zhao'fu'shi'si'tong'zhi
招抚使司准备将领,zhao'fu'shi'si'zhun'bei'jiang'ling
招抚司,zhao'fu'si
招讨,zhao'tao
诏讨,zhao'tao
招讨使,zhao'tao'shi
招讨使司,zhao'tao'shi'si
镇兵马监押,zhen'bing'ma'jian'ya
镇抚,zhen'fu
镇抚使,zhen'fu'shi
镇抚使司,zhen'fu'shi'si
镇抚使司参议官,zhen'fu'shi'si'can'yi'guan
镇抚使司措置营田官,zhen'fu'shi'si'cuo'zhi'ying'tian'guan
镇抚使司干办公事,zhen'fu'shi'si'gan'ban'gong'shi
镇抚使司书写机宜文字,zhen'fu'shi'si'shu'xie'ji'yi'wen'zi
镇抚使司统领官,zhen'fu'shi'si'tong'ling'guan
镇抚使司统制官,zhen'fu'shi'si'tong'zhi'guan
镇抚使司主管机宜文字,zhen'fu'shi'si'zhu'guan'ji'yi'wen'zi
镇抚司,zhen'fu'si
镇江府驻扎御前诸军都统制,zhen'jiang'fu'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi
镇江总领,zhen'jiang'zong'ling
正将,zheng'jiang
正任总管,zheng'ren'zong'guan
制副,zhi'fu
制府,zhi'fu
制干,zhi'gan
制机,zhi'ji
制阃,zhi'kun
制使,zhi'shi
置使,zhi'shi
制帅,zhi'shuai
制司,zhi'si
置司,zhi'si
制垣,zhi'yuan
制置,zhi'zhi
制置大使,zhi'zhi'da'shi
制置大使司,zhi'zhi'da'shi'si
制置副使,zhi'zhi'fu'shi
制置副使司,zhi'zhi'fu'shi'si
制置使,zhi'zhi'shi
制置使司,zhi'zhi'shi'si
制置司,zhi'zhi'si
中军将,zhong'jun'jiang
州兵马部署,zhou'bing'ma'bu'shu
州兵马都监,zhou'bing'ma'dou'jian
州兵马监押,zhou'bing'ma'jian'ya
州兵马钤辖,zhou'bing'ma'qian'xia
州兵马总管,zhou'bing'ma'zong'guan
州都监,zhou'dou'jian
州钤,zhou'qian
州钤厅,zhou'qian'ting
州钤辖,zhou'qian'xia
州驻泊兵马都监,zhou'zhu'bo'bing'ma'dou'jian
州驻泊都监,zhou'zhu'bo'dou'jian
州驻扎御前某军,zhou'zhu'zha'yu'qian'mou'jun
州驻扎御前诸军都统制,zhou'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi
州驻扎御前诸军都统制司,zhou'zhu'zha'yu'qian'zhu'jun'dou'tong'zhi'si
驻泊兵马钤辖,zhu'bo'bing'ma'qian'xia
驻泊都部署,zhu'bo'dou'bu'shu
驻泊都监,zhu'bo'dou'jian
驻泊钤辖,zhu'bo'qian'xia
驻泊巡检,zhu'bo'xun'jian
主管机密,zhu'guan'ji'mi
主管经略安抚司公事,zhu'guan'jing'lue'an'fu'si'gong'shi
主管镇抚司公事,zhu'guan'zhen'fu'si'gong'shi
主管梓夔两路兵马司事,zhu'guan'zi'kui'liang'lu'bing'ma'si'shi
诸军都统制,zhu'jun'dou'tong'zhi
诸路军马都督府,zhu'lu'jun'ma'du'du'fu
诸路军事都督府,zhu'lu'jun'shi'du'du'fu
诸路军事都督行府,zhu'lu'jun'shi'du'du'xing'fu
主帅,zhu'shuai
转运司承受公事,zhuan'yun'si'cheng'shou'gong'shi
谘议,zi'yi
谘议军事,zi'yi'jun'shi
总赋,zong'fu
总干,zong'gan
总管司,zong'guan'si
总计,zong'ji
总领,zong'ling
总领官,zong'ling'guan
总领海船所,zong'ling'hai'chuan'suo
总领湖北,zong'ling'hu'bei
总领淮西,zong'ling'huai'xi
总领淮西江东军马钱粮所,zong'ling'huai'xi'jiang'dong'jun'ma'qian'liang'suo
总领司,zong'ling'si
总领四川财赋军马钱粮所,zong'ling'si'chuan'cai'fu'jun'ma'qian'liang'suo
总领所,zong'ling'suo
总卿,zong'qing
总属,zong'shu
总司,zong'si
总所,zong'suo
总辖,zong'xia
总饷,zong'xiang
总庾,zong'yu
走马,zou'ma
走马承受,zou'ma'cheng'shou
走马承受公事,zou'ma'cheng'shou'gong'shi
走马承受公事内臣,zou'ma'cheng'shou'gong'shi'nei'chen
走马承受公事使臣,zou'ma'cheng'shou'gong'shi'shi'chen
遵义寨兵马监押,zun'yi'zhai'bing'ma'jian'ya
