氨基乙酸又名甘氨酸,an'ji'yi'suan'you'ming'gan'an'suan
聚氧乙烯山梨醇酐单月桂酸酯又名吐温聚氧乙烯山梨醇酐单棕榈酸酯又名吐温聚氧乙烯山梨醇酐单硬,ju'yang'yi'xi'shan'li'chun'gan'dan'yue'gui'suan'zhi'you'ming'tu'wen'ju'yang'yi'xi'shan'li'chun'gan'dan'zong'lv'suan'zhi'you'ming'tu'wen'ju'yang'yi'xi'shan'li'chun'gan'dan'ying
聚乙二醇,ju'yi'er'chun
聚乙烯醇,ju'yi'xi'chun
咖啡因,ka'fei'yin
卡拉胶,ka'la'jiao
抗坏血酸又名维生素山梨醇,kang'huai'xue'suan'you'ming'wei'sheng'su'shan'li'chun
抗坏血酸棕榈酸酯,kang'huai'xue'suan'zong'lv'suan'zhi
可得然胶,ke'de'ran'jiao
可可壳色,ke'ke'ke'se
喹啉黄,kui'lin'huang
辣椒橙,la'jiao'cheng
辣椒红,la'jiao'hong
辣椒油树脂,la'jiao'you'shu'zhi
蓝锭果红,lan'ding'guo'hong
酪蛋白钙肽,lao'dan'bai'gai'tai
酪蛋白磷酸肽,lao'dan'bai'lin'suan'tai
联苯醚又名二苯醚,lian'ben'mi'you'ming'er'ben'mi
亮蓝及其铝色淀,liang'lan'ji'qi'lv'se'dian
磷酸,lin'suan
磷酸二氢钙,lin'suan'er'qing'gai
磷酸二氢钾,lin'suan'er'qing'jia
磷酸二氢钠,lin'suan'er'qing'na
磷酸化二淀粉磷酸酯,lin'suan'hua'er'dian'fen'lin'suan'zhi
磷酸氢二钾,lin'suan'qing'er'jia
磷酸氢钙,lin'suan'qing'gai
磷酸三钙,lin'suan'san'gai
磷酸三钾,lin'suan'san'jia
磷酸三钠,lin'suan'san'na
磷脂,lin'zhi
硫代二丙酸二月桂酯,liu'dai'er'bing'suan'er'yue'gui'zhi
硫磺,liu'huang
六偏磷酸钠,liu'pian'lin'suan'na
硫酸钙又名石膏,liu'suan'gai'you'ming'shi'gao
硫酸铝钾又名钾明矾硫酸铝铵又名铵明矾,liu'suan'lv'jia'you'ming'jia'ming'fan'liu'suan'lv'an'you'ming'an'ming'fan
硫酸锌,liu'suan'xin
萝卜红,luo'bo'hong
落葵红,luo'kui'hong
罗望子多糖胶,luo'wang'zi'duo'tang'jiao
氯化钙,lv'hua'gai
氯化钾,lv'hua'jia
氯化镁,lv'hua'mei
吗啉脂肪酸盐果蜡,ma'lin'zhi'fang'suan'yan'guo'la
麦芽糖醇,mai'ya'tang'chun
玫瑰茄红,mei'gui'qie'hong
没食子酸丙酯,mei'shi'zi'suan'bing'zhi
迷迭香提取物,mi'die'xiang'ti'qu'wu
密蒙黄,mi'meng'huang
木糖醇酐单硬脂酸酯,mu'tang'chun'gan'dan'ying'zhi'suan'zhi
那他霉素,na'ta'mei'su
柠檬黄及其铝色淀,ning'meng'huang'ji'qi'lv'se'dian
柠檬酸及其钠盐钾盐,ning'meng'suan'ji'qi'na'yan'jia'yan
柠檬酸亚锡二钠,ning'meng'suan'ya'xi'er'na
偶氮甲酰胺,ou'dan'jia'xian'an
偏酒石酸,pian'jiu'shi'suan
普鲁红糖,pu'lu'hong'tang
葡萄皮红,pu'tao'pi'hong
羟丙基淀粉,qiang'bing'ji'dian'fen
羟基硬脂精又名氧化硬脂精,qiang'ji'ying'zhi'jing'you'ming'yang'hua'ying'zhi'jing
羟甲基淀粉钠,qiang'jia'ji'dian'fen'na
氢化松香甘油酯,qing'hua'song'xiang'gan'you'zhi
氢氧化钙,qing'yang'hua'gai
氢氧化钾,qing'yang'hua'jia
日落黄及其铝色淀,ri'luo'huang'ji'qi'lv'se'dian
乳化硅油,ru'hua'gui'you
乳酸钙,ru'suan'gai
乳酸链球菌素,ru'suan'lian'qiu'jun'su
乳酸钠,ru'suan'na
乳糖醇,ru'tang'chun
乳铁蛋白,ru'tie'dan'bai
噻苯咪唑,sai'ben'mi'zuo
三聚甘油单硬脂酸酯,san'ju'gan'you'dan'ying'zhi'suan'zhi
三聚磷酸钠,san'ju'lin'suan'na
三氯蔗糖又名蔗糖素,san'lv'zhe'tang'you'ming'zhe'tang'su
桑椹红,sang'shen'hong
沙蒿胶,sha'hao'jiao
沙棘黄,sha'ji'huang
山梨醇酐单月桂酸酯又名司盘山梨醇酐单棕榈酸酯又名司盘山梨醇酐单硬脂酸酯又名司盘山梨醇酐三,shan'li'chun'gan'dan'yue'gui'suan'zhi'you'ming'si'pan'shan'li'chun'gan'dan'zong'lv'suan'zhi'you'ming'si'pan'shan'li'chun'gan'dan'ying'zhi'suan'zhi'you'ming'si'pan'shan'li'chun'gan'san
山梨酸及其钾盐,shan'li'suan'ji'qi'jia'yan
山梨糖醇液,shan'li'tang'chun'ye
双乙酸钠,shuang'yi'suan'na
双乙酰酒石酸单双甘油酯,shuang'yi'xian'jiu'shi'suan'dan'shuang'gan'you'zhi
松香季戊四醇酯,song'xiang'ji'wu'si'chun'zhi
酸性红又名偶氮玉红,suan'xing'hong'you'ming'ou'dan'yu'hong
酸枣色,suan'zao'se
碳酸钙,tan'suan'gai
碳酸钾,tan'suan'jia
碳酸镁,tan'suan'mei
碳酸钠,tan'suan'na
碳酸氢钾,tan'suan'qing'jia
碳酸氢三钠又名倍半碳酸钠,tan'suan'qing'san'na'you'ming'bei'ban'tan'suan'na
糖精钠,tang'jing'na
特丁基对苯二酚,te'ding'ji'dui'ben'er'fen
田菁胶,tian'jing'jiao
甜菊糖苷,tian'ju'tang'gan
天然苋菜红,tian'ran'xian'cai'hong
脱氢乙酸及其钠盐,tuo'qing'yi'suan'ji'qi'na'yan
脱乙酰甲壳素又名壳聚糖,tuo'yi'xian'jia'qiao'su'you'ming'ke'ju'tang
维生素乙酰生育酚,wei'sheng'su'yi'xian'sheng'yu'fen
稳定态二氧化氯,wen'ding'tai'er'yang'hua'lv
苋菜红及其铝色淀,xian'cai'hong'ji'qi'lv'se'dian
橡子壳棕,xiang'zi'ke'zong
硝酸钠硝酸钾,xiao'suan'na'xiao'suan'jia
薪草提取物,xin'cao'ti'qu'wu
辛癸酸甘油酯,xin'gui'suan'gan'you'zhi
新红及其铝色淀,xin'hong'ji'qi'lv'se'dian
辛基苯氧聚乙烯氧基,xin'ji'ben'yang'ju'yi'xi'yang'ji
辛烯基琥珀酸铝淀粉,xin'xi'ji'hu'po'suan'lv'dian'fen
亚麻籽胶又名铝胶,ya'ma'zi'jiao'you'ming'lv'jiao
亚铁氰化钾亚铁氰化钠,ya'tie'qing'hua'jia'ya'tie'qing'hua'na
亚硝酸钠亚硝酸钾,ya'xiao'suan'na'ya'xiao'suan'jia
盐酸,yan'suan
胭脂虫红,yan'zhi'chong'hong
胭脂红及其铝色淀,yan'zhi'hong'ji'qi'lv'se'dian
胭脂树橙红木素降红木素,yan'zhi'shu'cheng'hong'mu'su'jiang'hong'mu'su
氧化铁黑氧化铁红,yang'hua'tie'hei'yang'hua'tie'hong
叶绿素铜钠盐叶绿素铜钾盐,ye'lv'su'tong'na'yan'ye'lv'su'tong'jia'yan
乙二胺四乙酸二钠,yi'er'an'si'yi'suan'er'na
异构化乳糖液,yi'gou'hua'ru'tang'ye
异抗坏血酸及其钠盐,yi'kang'huai'xue'suan'ji'qi'na'yan
异麦芽酮糖,yi'mai'ya'tong'tang
乙萘酚,yi'nai'fen
乙酸钠,yi'suan'na
乙酰磺胺酸钠又名安赛蜜,yi'xian'huang'an'suan'na'you'ming'an'sai'mi
乙氧基喹,yi'yang'ji'kui
硬脂酸钙,ying'zhi'suan'gai
硬脂酸钾,ying'zhi'suan'jia
硬脂酸镁,ying'zhi'suan'mei
硬脂酸又名十八烷酸,ying'zhi'suan'you'ming'shi'ba'wan'suan
硬脂酰乳酸钠硬脂酰乳酸钙,ying'zhi'xian'ru'suan'na'ying'zhi'xian'ru'suan'gai
诱惑红及其铝色淀,you'huo'hong'ji'qi'lv'se'dian
玉米黄,yu'mi'huang
月桂酸,yue'gui'suan
越橘红,yue'ju'hong
皂荚糖胶,zao'jia'tang'jiao
藻蓝淡海水,zao'lan'dan'hai'shui
蔗糖脂肪酸酯,zhe'tang'zhi'fang'suan'zhi
植酸又名肌醇六磷酸植酸钠,zhi'suan'you'ming'ji'chun'liu'lin'suan'zhi'suan'na
植物炭黑,zhi'wu'tan'hei
栀子黄,zhi'zi'huang
栀子蓝,zhi'zi'lan
仲丁胺,zhong'ding'an
竹叶抗氧化物,zhu'ye'kang'yang'hua'wu
紫草红,zi'cao'hong
紫胶红又名虫胶红,zi'jiao'hong'you'ming'chong'jiao'hong
紫胶又名虫胶,zi'jiao'you'ming'chong'jiao
