阿比可糖,a'bi'ke'tang
氨甲酰胆碱,an'jia'xian'dan'jian
氨甲酰谷氨酸,an'jia'xian'gu'an'suan
氨甲酰基,an'jia'xian'ji
氨甲酰基咪唑核苷酸,an'jia'xian'ji'mi'zuo'he'gan'suan
氨甲酰基转移酶,an'jia'xian'ji'zhuan'yi'mei
氨甲酰磷酸,an'jia'xian'lin'suan
氨甲酰磷酸合成酶,an'jia'xian'lin'suan'he'cheng'mei
氨甲酰咪唑,an'jia'xian'mi'zuo
氨甲酰鸟氨酸,an'jia'xian'niao'an'suan
氨甲酰牛磺酶,an'jia'xian'niu'huang'mei
氨甲酰牛磺酸,an'jia'xian'niu'huang'suan
氨甲酰天冬氨酸,an'jia'xian'tian'dong'an'suan
氨甲酰天冬氨酸脱水酶,an'jia'xian'tian'dong'an'suan'tuo'shui'mei
氨甲酰血红蛋白,an'jia'xian'xue'hong'dan'bai
氨解作用,an'jie'zuo'yong
暗视蛋白,an'shi'dan'bai
暗视野,an'shi'ye
暗适应,an'shi'ying
桉树脑,an'shu'nao
氨肽酶,an'tai'mei
安慰诱导,an'wei'you'dao
氨酰,an'xian
氨酰基部位,an'xian'ji'bu'wei
氨酰基脯氨酸二肽酶,an'xian'ji'fu'an'suan'er'tai'mei
氨酰肼,an'xian'jing
氨酰腺苷酸,an'xian'xian'gan'suan
暗修复,an'xiu'fu
胺氧化酶,an'yang'hua'mei
氨乙基半胱氨酸,an'yi'ji'ban'guang'an'suan
氨乙基硫醇,an'yi'ji'liu'chun
氨乙基亚磺酸,an'yi'ji'ya'huang'suan
澳大利亚抗原,ao'da'li'ya'kang'yuan
奥福二氏粘度计,ao'fu'er'shi'nian'du'ji
螯合,ao'he
螯合酶,ao'he'mei
螯合物,ao'he'wu
澳洲蛙皮肽,ao'zhou'wa'pi'tai
巴比妥,ba'bi'tuo
巴比妥的商品名,ba'bi'tuo'de'shang'pin'ming
巴比妥酸盐,ba'bi'tuo'suan'yan
巴豆毒蛋白,ba'dou'du'dan'bai
巴豆酸,ba'dou'suan
巴豆酸酶,ba'dou'suan'mei
巴豆酰,ba'dou'xian
巴豆酰辅酶,ba'dou'xian'fu'mei
巴基因,ba'ji'yin
八甲基焦磷酰胺,ba'jia'ji'jiao'lin'xian'an
巴龙霉素,ba'long'mei'su
八面体,ba'mian'ti
八氢雌甾酮,ba'qing'ci'zai'tong
八氢番茄红素,ba'qing'fan'qie'hong'su
巴斯德灭菌法,ba'si'de'mie'jun'fa
巴他酸,ba'ta'suan
靶细胞,ba'xi'bao
巴西果蛋白,ba'xi'guo'dan'bai
白氨酸,bai'an'suan
白斑病,bai'ban'bing
白痴,bai'chi
白蛋白,bai'dan'bai
白地霉,bai'de'mei
白癜风,bai'dian'feng
摆动假说,bai'dong'jia'shuo
摆动配对,bai'dong'pei'dui
白发突变,bai'fa'tu'bian
白放线菌素,bai'fang'xian'jun'su
白鲑精蛋白,bai'gui'jing'dan'bai
白喉毒素,bai'hou'du'su
白喉类毒素,bai'hou'lei'du'su
白化病,bai'hua'bing
白坚木醇,bai'jian'mu'chun
白芥子硫苷,bai'jie'zi'liu'gan
白藜芦醇,bai'li'lu'chun
百里香醌,bai'li'xiang'kun
百里香素,bai'li'xiang'su
白毛茛碱,bai'mao'gen'jian
白内障,bai'nei'zhang
白千层萜,bai'qian'ceng'tie
白千层油,bai'qian'ceng'you
白屈菜碱,bai'qu'cai'jian
白曲菌素,bai'qu'jun'su
白色质体,bai'se'zhi'ti
白陶土部分凝血酶原时间,bai'tao'tu'bu'fen'ning'xue'mei'yuan'shi'jian
白细胞,bai'xi'bao
白细胞和血小板的总称,bai'xi'bao'he'xue'xiao'ban'de'zong'cheng
白细胞激酶,bai'xi'bao'ji'mei
白细胞激肽,bai'xi'bao'ji'tai
白细胞减少症,bai'xi'bao'jian'shao'zheng
白细胞介素,bai'xi'bao'jie'su
白细胞解体,bai'xi'bao'jie'ti
白细胞解体作用,bai'xi'bao'jie'ti'zuo'yong
白细胞瘤,bai'xi'bao'liu
白细胞尿,bai'xi'bao'niao
白细胞凝集作用,bai'xi'bao'ning'ji'zuo'yong
白细胞溶素,bai'xi'bao'rong'su
白细胞三烯,bai'xi'bao'san'xi
白细胞杀菌素,bai'xi'bao'sha'jun'su
白细胞生成,bai'xi'bao'sheng'cheng
白细胞调节素,bai'xi'bao'tiao'jie'su
白细胞形成,bai'xi'bao'xing'cheng
白细胞血管收缩素,bai'xi'bao'xue'guan'shou'suo'su
败血病,bai'xue'bing
白血病,bai'xue'bing
白血病病毒,bai'xue'bing'bing'du
白血球,bai'xue'qiu
白液相色谱法,bai'ye'xiang'se'pu'fa
白珠木苷,bai'zhu'mu'gan
半保留复制,ban'bao'liu'fu'zhi
半胆红素,ban'dan'hong'su
伴刀豆球蛋白,ban'dao'dou'qiu'dan'bai
半导体,ban'dao'ti
斑点,ban'dian
斑点印迹,ban'dian'yin'ji
板电泳,ban'dian'yong
半个,ban'ge
半胱胺,ban'guang'an
半胱氨酸,ban'guang'an'suan
半胱氨酸蛋白酶,ban'guang'an'suan'dan'bai'mei
半胱氨酸脱巯基酶,ban'guang'an'suan'tuo'qiu'ji'mei
半胱氨酰基,ban'guang'an'xian'ji
半胱次磺酸,ban'guang'ci'huang'suan
半胱亚磺酸,ban'guang'ya'huang'suan
半合成的,ban'he'cheng'de
半合成物,ban'he'cheng'wu
半合子,ban'he'zi
半合子的,ban'he'zi'de
伴花生球蛋白,ban'hua'sheng'qiu'dan'bai
半极性键,ban'ji'xing'jian
斑鸠菊酸,ban'jiu'ju'suan
半抗原,ban'kang'yuan
半抗原放射免疫测定法,ban'kang'yuan'fang'she'mian'yi'ce'ding'fa
坂口反应,ban'kou'fan'ying
半醌,ban'kun
斑蝥素,ban'mao'su
伴清蛋白,ban'qing'dan'bai
半醛,ban'quan
半乳多糖,ban'ru'duo'tang
半乳二,ban'ru'er
半乳二糖,ban'ru'er'tang
半乳二糖苷,ban'ru'er'tang'gan
半乳二糖苷神经酰胺,ban'ru'er'tang'gan'shen'jing'xian'an
半乳二糖神经酰胺,ban'ru'er'tang'shen'jing'xian'an
半乳甘露聚糖,ban'ru'gan'lu'ju'tang
半乳聚糖,ban'ru'ju'tang
半乳三糖基蔗糖,ban'ru'san'tang'ji'zhe'tang
半乳糖,ban'ru'tang
半乳糖胺,ban'ru'tang'an
半乳糖胺醛酸,ban'ru'tang'an'quan'suan
半乳糖醇,ban'ru'tang'chun
半乳糖醇脱氢酶,ban'ru'tang'chun'tuo'qing'mei
半乳糖二酸,ban'ru'tang'er'suan
半乳糖苷,ban'ru'tang'gan
半乳糖苷基,ban'ru'tang'gan'ji
半乳糖苷基二脂酰基甘油,ban'ru'tang'gan'ji'er'zhi'xian'ji'gan'you
半乳糖苷基甘油脂,ban'ru'tang'gan'ji'gan'you'zhi
半乳糖苷基鞘氨醇,ban'ru'tang'gan'ji'qiao'an'chun
半乳糖苷基乳糖,ban'ru'tang'gan'ji'ru'tang
半乳糖苷基神经酰胺,ban'ru'tang'gan'ji'shen'jing'xian'an
半乳糖苷基转移酶,ban'ru'tang'gan'ji'zhuan'yi'mei
半乳糖苷酶,ban'ru'tang'gan'mei
半乳糖黄素,ban'ru'tang'huang'su
半乳糖基,ban'ru'tang'ji
半乳糖基果糖,ban'ru'tang'ji'guo'tang
半乳糖激酶,ban'ru'tang'ji'mei
半乳糖基脑苷脂酶,ban'ru'tang'ji'nao'gan'zhi'mei
半乳糖基唾液酸储积症,ban'ru'tang'ji'tuo'ye'suan'chu'ji'zheng
半乳糖酶系,ban'ru'tang'mei'xi
半乳糖脑苷脂,ban'ru'tang'nao'gan'zhi
半乳糖脑苷脂积累症,ban'ru'tang'nao'gan'zhi'ji'lei'zheng
半乳糖尿,ban'ru'tang'niao
半乳糖醛酸,ban'ru'tang'quan'suan
半乳糖醛酸酯还原酶,ban'ru'tang'quan'suan'zhi'huan'yuan'mei
半乳糖酸内酯,ban'ru'tang'suan'nei'zhi
半乳糖酸内酯脱氢酶,ban'ru'tang'suan'nei'zhi'tuo'qing'mei
半乳糖瓦尔登转化酶,ban'ru'tang'wa'er'deng'zhuan'hua'mei
半乳糖系列,ban'ru'tang'xi'lie
半乳糖血,ban'ru'tang'xue
半乳糖氧化酶,ban'ru'tang'yang'hua'mei
半乳糖脂,ban'ru'tang'zhi
半渗透性的,ban'shen'tou'xing'de
半衰期,ban'shuai'qi
半缩醛,ban'suo'quan
半缩酮,ban'suo'tong
半透明的,ban'tou'ming'de
半透明噬菌斑突变型,ban'tou'ming'shi'jun'ban'tu'bian'xing
半透膜,ban'tou'mo
半微量分析,ban'wei'liang'fen'xi
半夏蛋白,ban'xia'dan'bai
半纤维素,ban'xian'wei'su
半显性,ban'xian'xing
伴性的,ban'xing'de
伴性性状,ban'xing'xing'zhuang
半月板,ban'yue'ban
半致死剂量,ban'zhi'si'ji'liang
半致死突变,ban'zhi'si'tu'bian
半组成型突变型,ban'zu'cheng'xing'tu'bian'xing
棒曲霉素,bang'qu'mei'su
包被,bao'bei
胞壁酸,bao'bi'suan
胞壁酸酰肽,bao'bi'suan'xian'tai
薄壁细胞,bao'bi'xi'bao
胞壁酰基,bao'bi'xian'ji
胞壁质,bao'bi'zhi
胞壁质酶,bao'bi'zhi'mei
薄壁组织,bao'bi'zu'zhi
薄层,bao'ceng
薄层层析,bao'ceng'ceng'xi
薄层色谱法,bao'ceng'se'pu'fa
报春色素,bao'chun'se'su
报春色素苷,bao'chun'se'su'gan
报道基团,bao'dao'ji'tuan
报道基因,bao'dao'ji'yin
胞毒抗体,bao'du'kang'ti
胞苷二磷酸,bao'gan'er'lin'suan
胞苷二磷酸胆碱,bao'gan'er'lin'suan'dan'jian
胞苷二磷酸乙醇胺,bao'gan'er'lin'suan'yi'chun'an
胞苷三磷酸,bao'gan'san'lin'suan
胞苷酸,bao'gan'suan
胞苷一磷酸,bao'gan'yi'lin'suan
包含体,bao'han'ti
包含物,bao'han'wu
饱和,bao'he
饱和反散射,bao'he'fan'san'she
保护基团,bao'hu'ji'tuan
保护性抗原,bao'hu'xing'kang'yuan
保护株,bao'hu'zhu
保加利亚乳酸杆菌因子,bao'jia'li'ya'ru'suan'gan'jun'yin'zi
胞间连丝,bao'jian'lian'si
胞浆素,bao'jiang'su
暴露,bao'lu
包埋,bao'mai
胞霉素,bao'mei'su
胞嘧啶,bao'mi'ding
胞嘧啶核苷,bao'mi'ding'he'gan
胞嘧啶核苷酸,bao'mi'ding'he'gan'suan
胞泌作用,bao'mi'zuo'yong
薄膜电泳,bao'mo'dian'yong
薄膜树脂,bao'mo'shu'zhi
孢母细胞,bao'mu'xi'bao
包囊作用,bao'nang'zuo'yong
胞内的,bao'nei'de
胞内酶,bao'nei'mei
爆破,bao'po
胞桥,bao'qiao
保守序列的核心,bao'shou'xu'lie'de'he'xin
保守置换,bao'shou'zhi'huan
胞吞作用,bao'tun'zuo'yong
豹蛙,bao'wa
豹蛙肽,bao'wa'tai
胞外酶,bao'wai'mei
胞外脂酶,bao'wai'zhi'mei
保温,bao'wen
胞液,bao'ye
胞饮泡,bao'yin'pao
胞饮作用,bao'yin'zuo'yong
保幼激素,bao'you'ji'su
胞质分裂,bao'zhi'fen'lie
胞质鞘,bao'zhi'qiao
胞质体,bao'zhi'ti
胞质团,bao'zhi'tuan
包装,bao'zhuang
孢子,bao'zi
孢子囊,bao'zi'nang
孢子皮层,bao'zi'pi'ceng
孢子周壁,bao'zi'zhou'bi
倍半萜,bei'ban'tie
贝卟啉,bei'bu'lin
棓丹宁,bei'dan'ning
被动扩散,bei'dong'kuo'san
被动免疫,bei'dong'mian'yi
被动免疫性,bei'dong'mian'yi'xing
被动敏化,bei'dong'min'hua
被动输运,bei'dong'shu'yun
被动吸收,bei'dong'xi'shou
被动运转,bei'dong'yun'zhuan
蓓豆碱,bei'dou'jian
备解素,bei'jie'su
贝壳杉烯,bei'ke'shan'xi
贝壳杉烯酸,bei'ke'shan'xi'suan
贝壳硬蛋白,bei'ke'ying'dan'bai
被膜,bei'mo
被膜小窝,bei'mo'xiao'wo
棓酸,bei'suan
被吸收物,bei'xi'shou'wu
倍性,bei'xing
贝友菌素,bei'you'jun'su
被阻扩散层析,bei'zu'kuo'san'ceng'xi
被阻扩散色谱法,bei'zu'kuo'san'se'pu'fa
苯氨基硫甲酰基,ben'an'ji'liu'jia'xian'ji
苯胺紫,ben'an'zi
苯丙氨酸,ben'bing'an'suan
苯丙氨酸氮芥,ben'bing'an'suan'dan'jie
苯丙氨酸酶,ben'bing'an'suan'mei
苯丙氨酰基,ben'bing'an'xian'ji
苯并吡喃酮,ben'bing'bi'nan'tong
苯并蒽,ben'bing'en
苯并二氮杂卓,ben'bing'er'dan'za'zhuo
苯丙氯酸,ben'bing'lv'suan
苯并咪唑,ben'bing'mi'zuo
苯并芘,ben'bing'pi
苯并色酮,ben'bing'se'tong
苯丙酸睾酮,ben'bing'suan'gao'tong
苯丙酸睾甾酮,ben'bing'suan'gao'zai'tong
苯丙酸诺龙,ben'bing'suan'nuo'long
苯丙酮酸,ben'bing'tong'suan
苯丙酮酸尿性智力发育不全,ben'bing'tong'suan'niao'xing'zhi'li'fa'yu'bu'quan
苯丙酮酸尿症,ben'bing'tong'suan'niao'zheng
苯丙烯酸,ben'bing'xi'suan
本卟啉,ben'bu'lin
苯雌酚,ben'ci'fen
本胆烷,ben'dan'wan
本胆烷醇酮,ben'dan'wan'chun'tong
本胆烷醇酮热,ben'dan'wan'chun'tong're
本胆烷二酮,ben'dan'wan'er'tong
苯丁酸,ben'ding'suan
苯丁酸氮芥,ben'ding'suan'dan'jie
苯二胺,ben'er'an
苯酚,ben'fen
苯磺酰氯,ben'huang'xian'lv
苯基,ben'ji
苯基巴比妥酸,ben'ji'ba'bi'tuo'suan
苯基苯并吡喃羊,ben'ji'ben'bing'bi'nan'yang
苯基苯乙烯酮,ben'ji'ben'yi'xi'tong
苯基吡喃酮,ben'ji'bi'nan'tong
苯甲川基苯并呋喃酮,ben'jia'chuan'ji'ben'bing'fu'nan'tong
苯甲二氮卓,ben'jia'er'dan'zhuo
苯甲基,ben'jia'ji
苯甲醛,ben'jia'quan
苯甲酸,ben'jia'suan
苯甲酰,ben'jia'xian
苯甲酰胆碱,ben'jia'xian'dan'jian
苯甲酰甘氨酸,ben'jia'xian'gan'an'suan
苯甲酰化作用,ben'jia'xian'hua'zuo'yong
苯甲酰基,ben'jia'xian'ji
苯甲酰精氨酸乙酯,ben'jia'xian'jing'an'suan'yi'zhi
苯甲酰精氨酰,ben'jia'xian'jing'an'xian
苯甲酰精氨酰胺,ben'jia'xian'jing'an'xian'an
苯甲酰硫激酶,ben'jia'xian'liu'ji'mei
苯甲酰葡糖,ben'jia'xian'pu'tang
本胶原蛋白,ben'jiao'yuan'dan'bai
本胶原脯氨酸羟化酶,ben'jiao'yuan'fu'an'suan'qiang'hua'mei
苯肼,ben'jing
苯醌,ben'kun
苯硫酸,ben'liu'suan
苯硫酸酯酶,ben'liu'suan'zhi'mei
本氯血红素,ben'lv'xue'hong'su
本琼氏蛋白,ben'qiong'shi'dan'bai
苯乳酸,ben'ru'suan
苯戊酸,ben'wu'suan
苯香豆素,ben'xiang'dou'su
苯氧苄胺,ben'yang'bian'an
苯乙胺,ben'yi'an
苯异丙胺,ben'yi'bing'an
苯乙醇胺甲基转移酶,ben'yi'chun'an'jia'ji'zhuan'yi'mei
苯乙醇酸,ben'yi'chun'suan
苯乙肼,ben'yi'jing
苯乙腈葡糖苷,ben'yi'jing'pu'tang'gan
苯异硫氰酸,ben'yi'liu'qing'suan
苯乙尿酸,ben'yi'niao'suan
苯乙酸,ben'yi'suan
苯乙酮,ben'yi'tong
苯乙酰甘氨酸,ben'yi'xian'gan'an'suan
苯乙酰谷氨酰胺,ben'yi'xian'gu'an'xian'an
苯腙,ben'zong
比保留容积,bi'bao'liu'rong'ji
鼻病毒,bi'bing'du
荜澄茄苦素,bi'cheng'jia'ku'su
吡啶,bi'ding
吡啶丙氨酸,bi'ding'bing'an'suan
吡啶代噻唑硫胺,bi'ding'dai'sai'zuo'liu'an
吡啶二羧酸,bi'ding'er'suo'suan
吡啶核苷酸,bi'ding'he'gan'suan
吡啶核苷酸脱氢酶,bi'ding'he'gan'suan'tuo'qing'mei
吡啶基氨基寡糖,bi'ding'ji'an'ji'gua'tang
吡啶甲醛,bi'ding'jia'quan
吡啶羧酸,bi'ding'suo'suan
吡啶酮,bi'ding'tong
吡啶亚铁血红素,bi'ding'ya'tie'xue'hong'su
吡哆胺,bi'duo'an
吡哆醇,bi'duo'chun
吡哆醛,bi'duo'quan
吡哆醛及吡哆胺的总称,bi'duo'quan'ji'bi'duo'an'de'zong'cheng
吡哆酸,bi'duo'suan
比尔定律,bi'er'ding'lv
比活性,bi'huo'xing
吡咯,bi'luo
吡咯甲酸,bi'luo'jia'suan
吡咯烷酮,bi'luo'wan'tong
吡咯烷酮羧酸,bi'luo'wan'tong'suo'suan
比率,bi'lv
蓖麻毒蛋白,bi'ma'du'dan'bai
蓖麻碱,bi'ma'jian
蓖麻油酸,bi'ma'you'suan
吡喃,bi'nan
吡喃半乳糖,bi'nan'ban'ru'tang
吡喃果糖,bi'nan'guo'tang
吡喃核糖,bi'nan'he'tang
吡喃己糖,bi'nan'ji'tang
吡喃木糖,bi'nan'mu'tang
吡喃葡糖,bi'nan'pu'tang
吡喃葡糖苷基,bi'nan'pu'tang'gan'ji
吡喃醛糖,bi'nan'quan'tang
吡喃糖,bi'nan'tang
吡喃糖苷,bi'nan'tang'gan
吡喃酮,bi'nan'tong
吡喃酮丙氨酸,bi'nan'tong'bing'an'suan
吡喃酮糖,bi'nan'tong'tang
吡喃戊糖,bi'nan'wu'tang
吡喃型半乳糖,bi'nan'xing'ban'ru'tang
吡喃型葡糖,bi'nan'xing'pu'tang
吡喃羊,bi'nan'yang
吡喃已糖,bi'nan'yi'tang
荸荠素,bi'qi'su
吡嗪,bi'qin
比容,bi'rong
吡噻胺,bi'sai'an
比色法,bi'se'fa
比色计,bi'se'ji
比色器,bi'se'qi
比速常数,bi'su'chang'shu
比消光系数,bi'xiao'guang'xi'shu
必需氨基酸,bi'xu'an'ji'suan
必需基团,bi'xu'ji'tuan
必需基因,bi'xu'ji'yin
必需脂肪酸,bi'xu'zhi'fang'suan
比旋,bi'xuan
比移值,bi'yi'zhi
避孕药,bi'yun'yao
比粘,bi'zhan
比重,bi'zhong
比重表,bi'zhong'biao
比重瓶,bi'zhong'ping
比浊法,bi'zhuo'fa
比浊计,bi'zhuo'ji
吡唑丙氨酸,bi'zuo'bing'an'suan
吡唑霉素,bi'zuo'mei'su
变白蛋白,bian'bai'dan'bai
遍多酸,bian'duo'suan
变儿茶酚酶,bian'er'cha'fen'mei
变构激活剂,bian'gou'ji'huo'ji
变构象部位,bian'gou'xiang'bu'wei
变构象的,bian'gou'xiang'de
变构象酶,bian'gou'xiang'mei
变构象效应,bian'gou'xiang'xiao'ying
变构抑制剂,bian'gou'yi'zhi'ji
变红菌素,bian'hong'jun'su
苄基,bian'ji
苄基腺嘌呤,bian'ji'xian'piao'ling
苄基紫精,bian'ji'zi'jing
编码,bian'ma
编码酶,bian'ma'mei
鞭毛,bian'mao
鞭毛蛋白,bian'mao'dan'bai
鞭毛抗原,bian'mao'kang'yuan
变清蛋白,bian'qing'dan'bai
苄青霉素,bian'qing'mei'su
变色现象,bian'se'xian'xiang
变肾上腺素,bian'shen'shang'xian'su
变视紫质,bian'shi'zi'zhi
变态,bian'tai
变态反应,bian'tai'fan'ying
变态反应素,bian'tai'fan'ying'su
变态激素,bian'tai'ji'su
变态抗原,bian'tai'kang'yuan
扁桃腈葡糖苷,bian'tao'jing'pu'tang'gan
扁桃酸,bian'tao'suan
变味蛋白,bian'wei'dan'bai
变位酶,bian'wei'mei
变温,bian'wen
变形,bian'xing
变形虫,bian'xing'chong
变性蛋白,bian'xing'dan'bai
变性蛋白质,bian'xing'dan'bai'zhi
变性毒素,bian'xing'du'su
变形杆菌属,bian'xing'gan'jun'shu
变性高铁血红蛋白,bian'xing'gao'tie'xue'hong'dan'bai
变性剂,bian'xing'ji
变性作用,bian'xing'zuo'yong
变旋酶,bian'xuan'mei
变旋现象,bian'xuan'xian'xiang
苄氧羰基,bian'yang'tang'ji
苄氧羰基甘氨酸,bian'yang'tang'ji'gan'an'suan
变异株,bian'yi'zhu
变因子原,bian'yin'zi'yuan
变应原,bian'ying'yuan
变种,bian'zhong
标本,biao'ben
表达,biao'da
表胆固醇,biao'dan'gu'chun
表胆甾醇,biao'dan'zai'chun
表胆甾烷醇,biao'dan'zai'wan'chun
表儿茶酸,biao'er'cha'suan
表二氢胆固醇,biao'er'qing'dan'gu'chun
表二氢胆甾醇,biao'er'qing'dan'zai'chun
表睾甾酮,biao'gao'zai'tong
标记,biao'ji
标记获救,biao'ji'huo'jiu
标记原子,biao'ji'yuan'zi
表类固醇,biao'lei'gu'chun
标量,biao'liang
标量的,biao'liang'de
表面活性,biao'mian'huo'xing
表面活性剂,biao'mian'huo'xing'ji
表面张力滴重计,biao'mian'zhang'li'di'zhong'ji
表皮,biao'pi
表皮细胞生长因子,biao'pi'xi'bao'sheng'zhang'yin'zi
表示,biao'shi
表示胞,biao'shi'bao
表糖癌蛋白,biao'tang'ai'dan'bai
表现型,biao'xian'xing
表现性状,biao'xian'xing'zhuang
表型,biao'xing
表型表达,biao'xing'biao'da
表型迟延现象,biao'xing'chi'yan'xian'xiang
表型校正,biao'xing'jiao'zheng
表型遗传学,biao'xing'yi'chuan'xue
表型抑制,biao'xing'yi'zhi
表型组,biao'xing'zu
表雄甾酮,biao'xiong'zai'tong
表异构化作用,biao'yi'gou'hua'zuo'yong
表异构物,biao'yi'gou'wu
表甾类,biao'zai'lei
标志酶,biao'zhi'mei
标准的,biao'zhun'de
别赤霉低酸,bie'chi'mei'di'suan
别胆甾烷酮,bie'dan'zai'wan'tong
