艾撒,ai'sa
武辅,wu'fu
武和,wu'he
乌萩,wu'qiu
武贤,wu'xian
西杰,xi'jie
西团,xi'tuan
西伊,xi'yi
仙流,xian'liu
香索,xiang'suo
萧伊,xiao'yi
蝎迪,xie'di
邪昭,xie'zhao
新八几,xin'ba'ji
星柳,xing'liu
修迪,xiu'di
修弓,xiu'gong
修夜,xiu'ye
徐庆,xu'qing
徐三爷,xu'san'ye
玄亮,xuan'liang
焰钢,yan'gang
耀菊,yao'ju
叶好,ye'hao
叶莲,ye'lian
夜碎,ye'sui
伊耳谜,yi'er'mi
伊耳迷,yi'er'mi
一弓,yi'gong
伊桂,yi'gui
伊角,yi'jiao
一恋,yi'lian
伊路谜,yi'lu'mi
伊路迷,yi'lu'mi
一雨,yi'yu
翼枣,yi'zao
银白,yin'bai
阴刀,yin'dao
银高,yin'gao
银桂,yin'gui
银吉,yin'ji
银蛮,yin'man
阴杀,yin'sha
银土,yin'tu
有保,you'bao
鼬鸣,you'ming
鼬佐,you'zuo
狱纲,yu'gang
雨花,yu'hua
瑜亮,yu'liang
玉杨,yu'yang
越不二,yue'bu'er
越菊,yue'ju
越前龙雅,yue'qian'long'ya
越前南次郎,yue'qian'nan'ci'lang
越冢,yue'zhong
越塚,yue'zhong
云纲,yun'gang
云骸,yun'hai
云亮,yun'liang
再白,zai'bai
枣流,zao'liu
扎伊,zha'yi
昭白,zhao'bai
智茂,zhi'mao
冢不二,zhong'bu'er
塚不二,zhong'bu'er
冢迹,zhong'ji
塚迹,zhong'ji
冢越,zhong'yue
塚越,zhong'yue
助怜,zhu'lian
朱修,zhu'xiu
揍敌客,zou'di'ke
钻天鼠,zuan'tian'shu
佐光,zuo'guang
佐鸣,zuo'ming
佐鼬,zuo'you
