矮毛蕨,ai'mao'jue
刺头复叶耳蕨,ci'tou'fu'ye'er'jue
粗齿阔羽贯众,cu'chi'kuo'yu'guan'zhong
粗齿桫椤,cu'chi'suo'luo
粗齿紫萁,cu'chi'zi'qi
粗榧,cu'fei
粗毛鳞盖蕨,cu'mao'lin'gai'jue
粗枝云杉,cu'zhi'yun'shan
翠绿针毛蕨,cui'lv'zhen'mao'jue
翠云草,cui'yun'cao
大阪松,da'ban'song
大毛蕨,da'mao'jue
大囊岩蕨,da'nang'yan'jue
大瓦韦,da'wa'wei
大王松,da'wang'song
大叶香柏,da'ye'xiang'bai
蛋榧,dan'fei
单盖铁线蕨,dan'gai'tie'xian'jue
淡绿短肠蕨,dan'lv'duan'chang'jue
倒挂铁角蕨,dao'gua'tie'jiao'jue
倒鳞耳蕨,dao'lin'er'jue
倒向鳞毛蕨,dao'xiang'lin'mao'jue
倒叶瘤足蕨,dao'ye'liu'zu'jue
德化鳞毛蕨,de'hua'lin'mao'jue
德化毛蕨,de'hua'mao'jue
灯笼草,deng'long'cao
灯笼草属,deng'long'cao'shu
滇柏,dian'bai
顶果膜蕨,ding'guo'mo'jue
定心观音座莲,ding'xin'guan'yin'zuo'lian
顶羽鳞毛蕨,ding'yu'lin'mao'jue
东方荚果蕨,dong'fang'jia'guo'jue
东京鳞毛蕨,dong'jing'lin'mao'jue
东南铁角蕨,dong'nan'tie'jiao'jue
东亚羽节蕨,dong'ya'yu'jie'jue
短柄鳞果星蕨,duan'bing'lin'guo'xing'jue
短肠蕨属,duan'chang'jue'shu
短果短肠蕨,duan'guo'duan'chang'jue
短尖毛蕨,duan'jian'mao'jue
断线蕨,duan'xian'jue
短叶罗汉松,duan'ye'luo'han'song
短叶松,duan'ye'song
对马耳蕨,dui'ma'er'jue
对生耳蕨,dui'sheng'er'jue
钝齿假蹄盖蕨,dun'chi'jia'ti'gai'jue
钝齿鳞毛蕨,dun'chi'lin'mao'jue
钝齿铁角蕨,dun'chi'tie'jiao'jue
钝角金星蕨,dun'jiao'jin'xing'jue
盾蕨,dun'jue
盾蕨属,dun'jue'shu
多鳞粉背蕨,duo'lin'fen'bei'jue
多脉假膜蕨,duo'mai'jia'mo'jue
多芒复叶耳蕨,duo'mang'fu'ye'er'jue
多翼耳蕨,duo'yi'er'jue
峨眉凤丫蕨,e'mei'feng'ya'jue
峨眉茯蕨,e'mei'fu'jue
峨眉介蕨,e'mei'jie'jue
蛾眉蕨属,e'mei'jue'shu
恩氏假瘤蕨,en'shi'jia'liu'jue
二回鳞盖蕨,er'hui'lin'gai'jue
耳蕨属,er'jue'shu
二型叶假蹄盖蕨,er'xing'ye'jia'ti'gai'jue
耳羽短肠蕨,er'yu'duan'chang'jue
耳羽岩蕨,er'yu'yan'jue
耳状紫柄蕨,er'zhuang'zi'bing'jue
梵净山盾蕨,fan'jing'shan'dun'jue
榧树,fei'shu
榧树属,fei'shu'shu
粉柏,fen'bai
粉背蕨,fen'bei'jue
粉背蕨属,fen'bei'jue'shu
凤尾柏,feng'wei'bai
凤尾草,feng'wei'cao
凤尾蕨,feng'wei'jue
凤尾蕨科,feng'wei'jue'ke
凤尾蕨属,feng'wei'jue'shu
凤丫蕨,feng'ya'jue
凤丫蕨属,feng'ya'jue'shu
凤阳山鳞毛蕨,feng'yang'shan'lin'mao'jue
凤阳山铁角蕨,feng'yang'shan'tie'jiao'jue
佛手银杏,fo'shou'yin'xing
佛指甲,fo'zhi'jia
伏地卷柏,fu'di'juan'bai
福建柏,fu'jian'bai
福建柏属,fu'jian'bai'shu
福建观音座莲,fu'jian'guan'yin'zuo'lian
福建假瘤蕨,fu'jian'jia'liu'jue
福建毛蕨,fu'jian'mao'jue
福建蹄盖蕨,fu'jian'ti'gai'jue
福建紫萁,fu'jian'zi'qi
茯蕨属,fu'jue'shu
傅氏凤尾蕨,fu'shi'feng'wei'jue
伏石蕨,fu'shi'jue
伏石蕨属,fu'shi'jue'shu
伏贴石杉,fu'tie'shi'shan
富阳鳞毛蕨,fu'yang'lin'mao'jue
复叶耳蕨属,fu'ye'er'jue'shu
干旱毛蕨,gan'han'mao'jue
高大毛蕨,gao'da'mao'jue
高鳞毛蕨,gao'lin'mao'jue
高山柏,gao'shan'bai
狗脊,gou'ji
狗脊属,gou'ji'shu
钩毛蕨属,gou'mao'jue'shu
狗尾树,gou'wei'shu
牯岭毛蕨,gu'ling'mao'jue
骨牌蕨,gu'pai'jue
骨牌蕨属,gu'pai'jue'shu
骨碎补,gu'sui'bu
骨碎补科,gu'sui'bu'ke
骨碎补属,gu'sui'bu'shu
骨碎补铁角蕨,gu'sui'bu'tie'jiao'jue
古田山鳞毛蕨,gu'tian'shan'lin'mao'jue
观光鳞毛蕨,guan'guang'lin'mao'jue
祼叶鳞毛蕨,guan'ye'lin'mao'jue
观音座莲科,guan'yin'zuo'lian'ke
观音座莲属,guan'yin'zuo'lian'shu
贯众,guan'zhong
贯众属,guan'zhong'shu
祼子蕨科,guan'zi'jue'ke
光柄鳞毛蕨,guang'bing'lin'mao'jue
光脚短肠蕨,guang'jiao'duan'chang'jue
光里白,guang'li'bai
光鳞毛蕨,guang'lin'mao'jue
光石韦,guang'shi'wei
光蹄盖蕨,guang'ti'gai'jue
光叶凤丫蕨,guang'ye'feng'ya'jue
光叶华中蹄盖蕨,guang'ye'hua'zhong'ti'gai'jue
光叶鳞盖蕨,guang'ye'lin'gai'jue
广叶书带蕨,guang'ye'shu'dai'jue
光叶凸轴蕨,guang'ye'tu'zhou'jue
光叶碗蕨,guang'ye'wan'jue
光叶小黑桫椤,guang'ye'xiao'hei'suo'luo
桧柏,gui'bai
贵州凤尾蕨,gui'zhou'feng'wei'jue
贵州复叶耳蕨,gui'zhou'fu'ye'er'jue
锅兰假双盖蕨,guo'lan'jia'shuang'gai'jue
海岸红松,hai'an'hong'song
海岛禾叶蕨,hai'dao'he'ye'jue
海金沙,hai'jin'sha
海金沙科,hai'jin'sha'ke
海金沙属,hai'jin'sha'shu
海南毛蕨,hai'nan'mao'jue
海鸟鳞始蕨,hai'niao'lin'shi'jue
旱蕨,han'jue
旱蕨属,han'jue'shu
杭州鳞毛蕨,hang'zhou'lin'mao'jue
杭州铁角蕨,hang'zhou'tie'jiao'jue
褐柄剑蕨,he'bing'jian'jue
禾秆蹄盖蕨,he'gan'ti'gai'jue
禾叶蕨科,he'ye'jue'ke
禾叶蕨属,he'ye'jue'shu
褐叶线蕨,he'ye'xian'jue
黑鳞耳蕨,hei'lin'er'jue
黑鳞远轴鳞毛蕨,hei'lin'yuan'zhou'lin'mao'jue
黑松,hei'song
黑足鳞毛蕨,hei'zu'lin'mao'jue
红豆杉,hong'dou'shan
红豆杉科,hong'dou'shan'ke
红豆杉属,hong'dou'shan'shu
红盖鳞毛蕨,hong'gai'lin'mao'jue
红鳞鳞毛蕨,hong'lin'lin'mao'jue
红毛禾叶蕨,hong'mao'he'ye'jue
红频,hong'pin
红杉,hong'shan
红线蕨,hong'xian'jue
红线蕨属,hong'xian'jue'shu
后生黑足鳞毛蕨,hou'sheng'hei'zu'lin'mao'jue
厚叶双盖蕨,hou'ye'shuang'gai'jue
槲蕨,hu'jue
槲蕨科,hu'jue'ke
槲蕨属,hu'jue'shu
虎克鳞盖蕨,hu'ke'lin'gai'jue
湖南鳞毛蕨,hu'nan'lin'mao'jue
虎尾铁角蕨,hu'wei'tie'jiao'jue
华北落叶松,hua'bei'luo'ye'song
华东安蕨,hua'dong'an'jue
华东复叶耳蕨,hua'dong'fu'ye'er'jue
华东黄杉,hua'dong'huang'shan
华东瘤足蕨,hua'dong'liu'zu'jue
华东膜蕨,hua'dong'mo'jue
华东瓶蕨,hua'dong'ping'jue
华东蹄盖蕨,hua'dong'ti'gai'jue
华东阴地蕨,hua'dong'yin'di'jue
华南鳞盖蕨,hua'nan'lin'gai'jue
华南鳞毛蕨,hua'nan'lin'mao'jue
华南马尾杉,hua'nan'ma'wei'shan
华南毛蕨,hua'nan'mao'jue
华南膜蕨,hua'nan'mo'jue
华南舌蕨,hua'nan'she'jue
华南实蕨,hua'nan'shi'jue
华南铁角蕨,hua'nan'tie'jiao'jue
华南紫萁,hua'nan'zi'qi
华山松,hua'shan'song
华稀羽鳞毛蕨,hua'xi'yu'lin'mao'jue
华夏复叶耳蕨,hua'xia'fu'ye'er'jue
华中蛾眉蕨,hua'zhong'e'mei'jue
华中介蕨,hua'zhong'jie'jue
华中瘤足蕨,hua'zhong'liu'zu'jue
华中蹄盖蕨,hua'zhong'ti'gai'jue
华中铁角蕨,hua'zhong'tie'jiao'jue
华中稀子蕨,hua'zhong'xi'zi'jue
槐叶频,huai'ye'pin
槐叶频科,huai'ye'pin'ke
槐叶频属,huai'ye'pin'shu
黄岗山鳞毛蕨,huang'gang'shan'lin'mao'jue
黄花落叶松,huang'hua'luo'ye'song
黄山鳞毛蕨,huang'shan'lin'mao'jue
黄山膜蕨,huang'shan'mo'jue
黄杉属,huang'shan'shu
黄山松,huang'shan'song
黄瓦韦,huang'wa'wei
黄志鳞毛蕨,huang'zhi'lin'mao'jue
灰背铁线蕨,hui'bei'tie'xian'jue
灰绿耳蕨,hui'lv'er'jue
灰枝杉,hui'zhi'shan
火炬松,huo'ju'song
姬蕨,ji'jue
姬蕨科,ji'jue'ke
姬蕨属,ji'jue'shu
奇数鳞毛蕨,ji'shu'lin'mao'jue
假长尾复叶耳蕨,jia'chang'wei'fu'ye'er'jue
荚果蕨属,jia'guo'jue'shu
假黑鳞耳蕨,jia'hei'lin'er'jue
假红盖鳞毛蕨,jia'hong'gai'lin'mao'jue
假瘤蕨属,jia'liu'jue'shu
假毛蕨属,jia'mao'jue'shu
假闽浙铁角蕨,jia'min'zhe'tie'jiao'jue
假膜蕨属,jia'mo'jue'shu
假双盖蕨,jia'shuang'gai'jue
假双盖蕨属,jia'shuang'gai'jue'shu
假蹄盖蕨,jia'ti'gai'jue
假蹄盖蕨属,jia'ti'gai'jue'shu
假异鳞毛蕨,jia'yi'lin'mao'jue
假阴地蕨属,jia'yin'di'jue'shu
尖齿耳蕨,jian'chi'er'jue
渐尖复叶耳蕨,jian'jian'fu'ye'er'jue
渐尖毛蕨,jian'jian'mao'jue
剑蕨科,jian'jue'ke
剑蕨属,jian'jue'shu
尖裂短肠蕨,jian'lie'duan'chang'jue
尖头蹄盖蕨,jian'tou'ti'gai'jue
剑叶盾蕨,jian'ye'dun'jue
剑叶凤尾蕨,jian'ye'feng'wei'jue
剑叶铁角蕨,jian'ye'tie'jiao'jue
尖羽角蕨,jian'yu'jiao'jue
江南短肠蕨,jiang'nan'duan'chang'jue
江南星蕨,jiang'nan'xing'jue
江南油杉,jiang'nan'you'shan
江山鳞毛蕨,jiang'shan'lin'mao'jue
江西凤尾蕨,jiang'xi'feng'wei'jue
角蕨,jiao'jue
角蕨属,jiao'jue'shu
节节草,jie'jie'cao
介蕨,jie'jue
介蕨属,jie'jue'shu
节肢蕨,jie'zhi'jue
节肢蕨属,jie'zhi'jue'shu
金粉蕨属,jin'fen'jue'shu
金鹤鳞毛蕨,jin'he'lin'mao'jue
金鸡脚,jin'ji'jiao
金毛狗,jin'mao'gou
金毛狗属,jin'mao'gou'shu
金钱松,jin'qian'song
金钱松属,jin'qian'song'shu
金球柏,jin'qiu'bai
金松,jin'song
金腺毛蕨,jin'xian'mao'jue
金星蕨,jin'xing'jue
金星蕨科,jin'xing'jue'ke
金星蕨属,jin'xing'jue'shu
缙云山狗脊,jin'yun'shan'gou'ji
金枝侧柏,jin'zhi'ce'bai
井冈山凤丫蕨,jing'gang'shan'feng'ya'jue
京畿鳞毛蕨,jing'ji'lin'mao'jue
井栏边草,jing'lan'bian'cao
景裂假毛蕨,jing'lie'jia'mao'jue
九龙蛾眉蕨,jiu'long'e'mei'jue
九龙山短肠蕨,jiu'long'shan'duan'chang'jue
九龙山肋毛蕨,jiu'long'shan'lei'mao'jue
九龙山鳞毛蕨,jiu'long'shan'lin'mao'jue
九龙山毛蕨,jiu'long'shan'mao'jue
九龙山蹄盖蕨,jiu'long'shan'ti'gai'jue
具边卷柏,ju'bian'juan'bai
具盖鳞毛蕨,ju'gai'lin'mao'jue
锯蕨,ju'jue
矩圆线蕨,ju'yuan'xian'jue
卷柏,juan'bai
卷柏科,juan'bai'ke
卷柏属,juan'bai'shu
蕨科,jue'ke
蕨萁,jue'qi
蕨属,jue'shu
蕨状满江红,jue'zhuang'man'jiang'hong
开化鳞毛蕨,kai'hua'lin'mao'jue
糠杉,kang'shan
孔雀柏,kong'que'bai
宽剑叶盾蕨,kuan'jian'ye'dun'jue
宽鳞耳蕨,kuan'lin'er'jue
宽羽贯众,kuan'yu'guan'zhong
宽羽毛蕨,kuan'yu'mao'jue
宽羽线蕨,kuan'yu'xian'jue
阔带凤丫蕨,kuo'dai'feng'ya'jue
阔镰鞭叶蕨,kuo'lian'bian'ye'jue
阔鳞肋毛蕨,kuo'lin'lei'mao'jue
阔鳞鳞毛蕨,kuo'lin'lin'mao'jue
阔片复叶耳蕨,kuo'pian'fu'ye'er'jue
阔片乌蕨,kuo'pian'wu'jue
阔羽贯众,kuo'yu'guan'zhong
老殿鳞毛蕨,lao'dian'lin'mao'jue
肋毛蕨属,lei'mao'jue'shu
冷杉属,leng'shan'shu
里白,li'bai
里白科,li'bai'ke
里白属,li'bai'shu
栗柄凤尾蕨,li'bing'feng'wei'jue
栗柄金粉蕨,li'bing'jin'fen'jue
栗蕨,li'jue
栗蕨属,li'jue'shu
溧阳复叶耳蕨,li'yang'fu'ye'er'jue
溧阳鳞毛蕨,li'yang'lin'mao'jue
梨叶骨牌蕨,li'ye'gu'pai'jue
镰形假毛蕨,lian'xing'jia'mao'jue
镰叶瘤足蕨,lian'ye'liu'zu'jue
镰羽凤丫蕨,lian'yu'feng'ya'jue
镰羽贯众,lian'yu'guan'zhong
两广凤尾蕨,liang'guang'feng'wei'jue
亮鳞肋毛蕨,liang'lin'lei'mao'jue
亮毛蕨,liang'mao'jue
亮毛蕨属,liang'mao'jue'shu
两色鳞毛蕨,liang'se'lin'mao'jue
裂叶假双盖蕨,lie'ye'jia'shuang'gai'jue
临安鳞毛蕨,lin'an'lin'mao'jue
鳞盖蕨属,lin'gai'jue'shu
鳞果星蕨,lin'guo'xing'jue
鳞果星蕨属,lin'guo'xing'jue'shu
鳞毛蕨科,lin'mao'jue'ke
鳞毛蕨属,lin'mao'jue'shu
鳞毛肿足蕨,lin'mao'zhong'zu'jue
林氏观音座莲,lin'shi'guan'yin'zuo'lian
鳞始蕨,lin'shi'jue
鳞始蕨科,lin'shi'jue'ke
鳞始蕨属,lin'shi'jue'shu
林氏鳞毛蕨,lin'shi'lin'mao'jue
鳞瓦韦,lin'wa'wei
林下凸轴蕨,lin'xia'tu'zhou'jue
鳞轴小膜盖蕨,lin'zhou'xiao'mo'gai'jue
灵隐鳞毛蕨,ling'yin'lin'mao'jue
柳杉,liu'shan
柳杉属,liu'shan'shu
柳杉叶马尾杉,liu'shan'ye'ma'wei'shan
柳叶剑蕨,liu'ye'jian'jue
瘤足蕨,liu'zu'jue
瘤足蕨科,liu'zu'jue'ke
瘤足蕨属,liu'zu'jue'shu
龙柏,long'bai
龙泉凤尾蕨,long'quan'feng'wei'jue
龙泉鳞毛蕨,long'quan'lin'mao'jue
龙山鳞毛蕨,long'shan'lin'mao'jue
龙头节肢蕨,long'tou'jie'zhi'jue
龙王山耳蕨,long'wang'shan'er'jue
漏斗瓶蕨,lou'dou'ping'jue
蕗蕨,lu'jue
蕗蕨属,lu'jue'shu
庐山蕗蕨,lu'shan'lu'jue
庐山石韦,lu'shan'shi'wei
庐山瓦韦,lu'shan'wa'wei
卵果蕨属,luan'guo'jue'shu
卵鳞耳蕨,luan'lin'er'jue
栾泡榧,luan'pao'fei
卵形鞭叶蕨,luan'xing'bian'ye'jue
卵叶鳞始蕨,luan'ye'lin'shi'jue
卵叶双唇蕨,luan'ye'shuang'chun'jue
罗浮蕗蕨,luo'fu'lu'jue
罗汉柏,luo'han'bai
罗汉柏属,luo'han'bai'shu
罗汉松,luo'han'song
罗汉松科,luo'han'song'ke
罗汉松属,luo'han'song'shu
罗松,luo'song
落叶松属,luo'ye'song'shu
落羽杉,luo'yu'shan
落羽杉属,luo'yu'shan'shu
落羽松,luo'yu'song
裸子植物门,luo'zi'zhi'wu'men
绿频,lv'pin
绿色稀羽鳞毛蕨,lv'se'xi'yu'lin'mao'jue
绿叶介蕨,lv'ye'jie'jue
马铃银杏,ma'ling'yin'xing
马尾杉属,ma'wei'shan'shu
马尾松,ma'wei'song
脉叶罗汉松,mai'ye'luo'han'song
蔓出卷柏,man'chu'juan'bai
满江红,man'jiang'hong
满江红科,man'jiang'hong'ke
满江红属,man'jiang'hong'shu
芒萁,mang'qi
芒萁属,mang'qi'shu
毛蕨,mao'jue
毛蕨属,mao'jue'shu
昴山复叶耳蕨,mao'shan'fu'ye'er'jue
毛叶边缘鳞盖蕨,mao'ye'bian'yuan'lin'gai'jue
毛叶角蕨,mao'ye'jiao'jue
毛叶沼泽蕨,mao'ye'zhao'ze'jue
毛叶轴脉蕨,mao'ye'zhou'mai'jue
矛叶紫萁,mao'ye'zi'qi
毛枝卷柏,mao'zhi'juan'bai
毛枝蕨,mao'zhi'jue
毛枝蕨属,mao'zhi'jue'shu
毛轴假蹄盖蕨,mao'zhou'jia'ti'gai'jue
毛轴碎米蕨,mao'zhou'sui'mi'jue
毛轴铁角蕨,mao'zhou'tie'jiao'jue
毛子蕨,mao'zi'jue
毛子蕨属,mao'zi'jue'shu
梅核银杏,mei'he'yin'xing
美丽复叶耳蕨,mei'li'fu'ye'er'jue
萌芽松,meng'ya'song
密果瓦韦,mi'guo'wa'wei
密毛蕨,mi'mao'jue
密叶石松,mi'ye'shi'song
密羽狗脊,mi'yu'gou'ji
密羽贯众,mi'yu'guan'zhong
闽台毛蕨,min'tai'mao'jue
闽浙马尾杉,min'zhe'ma'wei'shan
闽浙圣蕨,min'zhe'sheng'jue
闽浙铁角蕨,min'zhe'tie'jiao'jue
膜蕨科,mo'jue'ke
膜蕨属,mo'jue'shu
墨西哥柏,mo'xi'ge'bai
墨西哥落羽杉,mo'xi'ge'luo'yu'shan
膜叶肋毛蕨,mo'ye'lei'mao'jue
木桫椤属,mu'suo'luo'shu
木贼科,mu'zei'ke
木贼属,mu'zei'shu
南方红豆杉,nan'fang'hong'dou'shan
南方铁杉,nan'fang'tie'shan
南洋杉,nan'yang'sha
南洋杉科,nan'yang'sha'ke
南洋杉属,nan'yang'sha'shu
南岳凤丫蕨,nan'yue'feng'ya'jue
拟倒向鳞毛蕨,ni'dao'xiang'lin'mao'jue
拟瓦韦,ni'wa'wei
扭瓦韦,niu'wa'wei
盘松,pan'song
攀援星蕨,pan'yuan'xing'jue
膀胱蕨,pang'guang'jue
膀胱蕨属,pang'guang'jue'shu
泡鳞肋毛蕨,pao'lin'lei'mao'jue
膨大短肠蕨,peng'da'duan'chang'jue
披针骨牌蕨,pi'zhen'gu'pai'jue
披针贯众,pi'zhen'guan'zhong
披针新叶蕨,pi'zhen'xin'ye'jue
频科,pin'ke
频属,pin'shu
瓶尔小草,ping'er'xiao'cao
瓶尔小草科,ping'er'xiao'cao'ke
瓶尔小草属,ping'er'xiao'cao'shu
瓶蕨,ping'jue
瓶蕨属,ping'jue'shu
平肋书带蕨,ping'lei'shu'dai'jue
铺地柏,pu'di'bai
匍地龙柏,pu'di'long'bai
普通凤丫蕨,pu'tong'feng'ya'jue
普通假毛蕨,pu'tong'jia'mao'jue
普通针毛蕨,pu'tong'zhen'mao'jue
普陀鞭叶蕨,pu'tuo'bian'ye'jue
铅笔柏,qian'bi'bai
钱氏鳞始蕨,qian'shi'lin'shi'jue
钱氏陵齿蕨,qian'shi'ling'chi'jue
千头柏,qian'tou'bai
千香柏,qian'xiang'bai
前原耳蕨,qian'yuan'er'jue
强壮鳞毛蕨,qiang'zhuang'lin'mao'jue
切边铁角蕨,qie'bian'tie'jiao'jue
茄榧,qie'fei
庆元复叶耳蕨,qing'yuan'fu'ye'er'jue
球柏,qiu'bai
球子蕨科,qiu'zi'jue'ke
全缘凤尾蕨,quan'yuan'feng'wei'jue
全缘贯众,quan'yuan'guan'zhong
日本扁柏,ri'ben'bian'bai
日本花柏,ri'ben'hua'bai
日本金粉蕨,ri'ben'jin'fen'jue
日本金星蕨,ri'ben'jin'xing'jue
日本冷杉,ri'ben'leng'shan
日本鳞毛蕨,ri'ben'lin'mao'jue
日本柳杉,ri'ben'liu'shan
日本落叶松,ri'ben'luo'ye'song
日本五针松,ri'ben'wu'zhen'song
日本香柏,ri'ben'xiang'bai
绒柏,rong'bai
柔毛水龙骨,rou'mao'shui'long'gu
柔软石韦,rou'ruan'shi'wei
三叉耳蕨,san'cha'er'jue
三叉蕨科,san'cha'jue'ke
三翅铁角蕨,san'chi'tie'jiao'jue
三尖杉,san'jian'shan
三尖杉科,san'jian'shan'ke
三尖杉属,san'jian'shan'shu
三角鳞毛蕨,san'jiao'lin'mao'jue
三相蕨,san'xiang'jue
三相蕨属,san'xiang'jue'shu
杉木,sha'mu
杉木属,sha'mu'shu
杉科,shan'ke
扇叶铁线蕨,shan'ye'tie'xian'jue
舌蕨,she'jue
舌蕨科,she'jue'ke
舌蕨属,she'jue'shu
舌状铁角蕨,she'zhuang'tie'jiao'jue
蛇足石杉,she'zu'shi'shan
肾蕨,shen'jue
肾蕨科,shen'jue'ke
肾蕨属,shen'jue'shu
深裂鳞毛蕨,shen'lie'lin'mao'jue
深绿卷柏,shen'lv'juan'bai
圣蕨属,sheng'jue'shu
湿地松,shi'di'song
石榧,shi'fei
石蕨,shi'jue
实蕨科,shi'jue'ke
实蕨属,shi'jue'shu
石蕨属,shi'jue'shu
石杉科,shi'shan'ke
石杉属,shi'shan'shu
湿生蹄盖蕨,shi'sheng'ti'gai'jue
石松,shi'song
石松科,shi'song'ke
石松属,shi'song'shu
石韦,shi'wei
世纬盾蕨,shi'wei'dun'jue
石韦属,shi'wei'shu
瘦足盾蕨,shou'zu'dun'jue
书带蕨,shu'dai'jue
书带蕨科,shu'dai'jue'ke
书带蕨属,shu'dai'jue'shu
疏网凤丫蕨,shu'wang'feng'ya'jue
疏叶卷柏,shu'ye'juan'bai
疏羽凸轴蕨,shu'yu'tu'zhou'jue
双柏复叶耳蕨,shuang'bai'fu'ye'er'jue
双盖蕨属,shuang'gai'jue'shu
水韭科,shui'jiu'ke
水韭属,shui'jiu'shu
水蕨,shui'jue
水蕨科,shui'jue'ke
水蕨属,shui'jue'shu
水龙骨,shui'long'gu
水龙骨科,shui'long'gu'ke
水龙骨属,shui'long'gu'shu
水杉,shui'shan
水杉属,shui'shan'shu
水松,shui'song
水松属,shui'song'shu
四川石杉,si'chuan'shi'shan
丝带蕨,si'dai'jue
丝带蕨属,si'dai'jue'shu
四国铁角蕨,si'guo'tie'jiao'jue
四叶频,si'ye'pin
松谷蹄盖蕨,song'gu'ti'gai'jue
松科,song'ke
松属,song'shu
松叶蕨,song'ye'jue
松叶蕨科,song'ye'jue'ke
松叶蕨属,song'ye'jue'shu
松叶兰,song'ye'lan
速生柏,su'sheng'bai
苏铁,su'tie
苏铁科,su'tie'ke
苏铁属,su'tie'shu
遂昌鳞毛蕨,sui'chang'lin'mao'jue
穗花杉,sui'hua'shan
穗花杉属,sui'hua'shan'shu
碎米蕨属,sui'mi'jue'shu
桫椤科,suo'luo'ke
梭椤树,suo'luo'shu
缩羽复叶耳蕨,suo'yu'fu'ye'er'jue
缩羽毛蕨,suo'yu'mao'jue
塔柏,ta'bai
太平鳞毛蕨,tai'ping'lin'mao'jue
胎生狗脊,tai'sheng'gou'ji
胎生铁角蕨,tai'sheng'tie'jiao'jue
泰顺凤尾蕨,tai'shun'feng'wei'jue
台湾狗脊,tai'wan'gou'ji
台湾鳞毛蕨,tai'wan'lin'mao'jue
