癌细胞,ai'xi'bao
异养生物,yi'yang'sheng'wu
吲哚乙酸,yin'duo'yi'suan
隐性基因,yin'xing'ji'yin
隐性性状,yin'xing'xing'zhuang
营养级,ying'yang'ji
诱变育种,you'bian'yu'zhong
有丝分裂,you'si'fen'lie
有氧呼吸,you'yang'hu'xi
原核细胞,yuan'he'xi'bao
原生质层,yuan'sheng'zhi'ceng
运载体,yun'zai'ti
杂合子,za'he'zi
杂交,za'jiao
杂交育种,za'jiao'yu'zhong
蔗糖,zhe'tang
真核细胞,zhen'he'xi'bao
正交,zheng'jiao
致癌因子,zhi'ai'yin'zi
质壁分离,zhi'bi'fen'li
质壁分离复原,zhi'bi'fen'li'fu'yuan
脂肪,zhi'fang
直接价值,zhi'jie'jia'zhi
质粒,zhi'li
植物激素,zhi'wu'ji'su
脂质,zhi'zhi
种群,zhong'qun
种群密度,zhong'qun'mi'du
中心法则,zhong'xin'fa'ze
中心体,zhong'xin'ti
终止密码,zhong'zhi'mi'ma
主动运输,zhu'dong'yun'shu
主要元素,zhu'yao'yuan'su
转录,zhuan'lu
专一性,zhuan'yi'xing
着丝点,zhuo'si'dian
子二代,zi'er'dai
自花传粉,zi'hua'chuan'fen
自交,zi'jiao
自然保护区,zi'ran'bao'hu'qu
自然选择学说,zi'ran'xuan'ze'xue'shuo
自养生物,zi'yang'sheng'wu
子一代,zi'yi'dai
自由扩散,zi'you'kuo'san
自由水,zi'you'shui
自由组合定律,zi'you'zu'he'ding'lv
组织液,zu'zhi'ye
最基本元素,zui'ji'ben'yuan'su
