安定里,an'ding'li
园林宾馆,yuan'lin'bin'guan
远通加油站,yuan'tong'jia'you'zhan
赵家沟,zhao'jia'gou
镇政府,zhen'zheng'fu
中居宅,zhong'ju'zhai
中心小学,zhong'xin'xiao'xue
中医院,zhong'yi'yuan
中营子,zhong'ying'zi
砖瓦窑村东,zhuan'wa'yao'cun'dong
砖瓦窑村西,zhuan'wa'yao'cun'xi
庄头营,zhuang'tou'ying
左家沟,zuo'jia'gou
