阿富汗,a'fu'han
北京猿人,bei'jing'yuan'ren
北美,bei'mei
背叛,bei'pan
杯盘狼藉,bei'pan'lang'ji
背叛者,bei'pan'zhe
被人家牵着鼻子耍,bei'ren'jia'qian'zhe'bi'zi'shua
被人杀了,bei'ren'sha'le
被褥,bei'ru
悲痛怒火,bei'tong'nu'huo
碑文,bei'wen
被窝,bei'wo
背影,bei'ying
备用的带货人,bei'yong'de'dai'huo'ren
奔波,ben'bo
本意,ben'yi
崩塌,beng'ta
彼此有个照应,bi'ci'you'ge'zhao'ying
笔杆子,bi'gan'zi
毕恭毕敬,bi'gong'bi'jing
比画,bi'hua
避讳,bi'hui
笔记本,bi'ji'ben
必经之地,bi'jing'zhi'di
壁垒,bi'lei
鼻梁上的眼镜,bi'liang'shang'de'yan'jing
笔录,bi'lu
匕首,bi'shou
必死无疑,bi'si'wu'yi
笔筒,bi'tong
臂弯,bi'wan
比武,bi'wu
鄙夷,bi'yi
鼻子,bi'zi
变本加厉,bian'ben'jia'li
匾额,bian'e
边防单位,bian'fang'dan'wei
边防官兵,bian'fang'guan'bing
边防军警,bian'fang'jun'jing
边防哨所,bian'fang'shao'suo
边防武警,bian'fang'wu'jing
边防战士,bian'fang'zhan'shi
变故,bian'gu
变卦,bian'gua
编号,bian'hao
边际,bian'ji
边检站,bian'jian'zhan
边疆,bian'jiang
变节,bian'jie
边界,bian'jie
边界线,bian'jie'xian
变节者,bian'jie'zhe
边境,bian'jing
边境检查站,bian'jing'jian'cha'zhan
边境线,bian'jing'xian
边境巡逻队,bian'jing'xun'luo'dui
变速杆,bian'su'gan
便衣,bian'yi
便衣缉毒警,bian'yi'ji'du'jing
便衣特警,bian'yi'te'jing
编制,bian'zhi
便装,bian'zhuang
表明身份,biao'ming'shen'fen
标签,biao'qian
表象,biao'xiang
彪形大汉,biao'xing'da'han
标准的军礼,biao'zhun'de'jun'li
标准的徒步旅行者,biao'zhun'de'tu'bu'lv'xing'zhe
标准的向后转,biao'zhun'de'xiang'hou'zhuan
标准间距,biao'zhun'jian'ju
标准立正向后转,biao'zhun'li'zheng'xiang'hou'zhuan
憋得脸红脖子粗,bie'de'lian'hong'bo'zi'cu
别多事,bie'duo'shi
别跟我谈感情,bie'gen'wo'tan'gan'qing
别管那么多闲事,bie'guan'na'me'duo'xian'shi
别过,bie'guo
憋屈,bie'qu
别人的枪不走火,bie'ren'de'qiang'bu'zou'huo
鬓角,bin'jiao
冰厂,bing'chang
冰点,bing'dian
冰毒,bing'du
兵分两路,bing'fen'liang'lu
冰河,bing'he
冰激凌,bing'ji'ling
病急乱投医,bing'ji'luan'tou'yi
并肩作战,bing'jian'zuo'zhan
病历,bing'li
冰啤酒,bing'pi'jiu
兵强马壮,bing'qiang'ma'zhuang
病区,bing'qu
冰镇啤酒,bing'zhen'pi'jiu
冰镇饮料,bing'zhen'yin'liao
播放器,bo'fang'qi
拨号,bo'hao
拨拉,bo'la
玻璃,bo'li
薄礼,bo'li
玻璃杯,bo'li'bei
玻璃碴儿,bo'li'cha'er
玻璃量杯,bo'li'liang'bei
脖领子,bo'ling'zi
搏一把,bo'yi'ba
脖子朝后一挺,bo'zi'chao'hou'yi'ting
不安的情绪,bu'an'de'qing'xu
不安感,bu'an'gan
不必要的误会,bu'bi'yao'de'wu'hui
步兵师,bu'bing'shi
不测,bu'ce
不曾被人掩盖,bu'ceng'bei'ren'yan'gai
不成文的规矩,bu'cheng'wen'de'gui'ju
不吃麦子的驴,bu'chi'mai'zi'de'lv
不定时的炸弹,bu'ding'shi'de'zha'dan
不懂规矩,bu'dong'gui'ju
不动声色,bu'dong'sheng'se
步伐稳健的背影,bu'fa'wen'jian'de'bei'ying
不分国家种族,bu'fen'guo'jia'zhong'zu
不分轻重缓急,bu'fen'qing'zhong'huan'ji
不分昼夜,bu'fen'zhou'ye
不该问的不问,bu'gai'wen'de'bu'wen
不敢不敢,bu'gan'bu'gan
补给车,bu'gei'che
不共戴天,bu'gong'dai'tian
不够用,bu'gou'yong
不寒而栗,bu'han'er'li
不好过,bu'hao'guo
不和,bu'he
不合规矩,bu'he'gui'ju
不和谐,bu'he'xie
不会不管,bu'hui'bu'guan
不吉利,bu'ji'li
不见不散,bu'jian'bu'san
不紧不慢,bu'jin'bu'man
布局,bu'ju
不可轻敌大意,bu'ke'qing'di'da'yi
不可替代的人,bu'ke'ti'dai'de'ren
不可一世,bu'ke'yi'shi
不肯赏我这脸,bu'ken'shang'wo'zhe'lian
不乐意,bu'le'yi
不理智的行为,bu'li'zhi'de'xing'wei
不留活口,bu'liu'huo'kou
布满伤痕的胸口,bu'man'shang'hen'de'xiong'kou
不明真相,bu'ming'zhen'xiang
不拿群众一针一线,bu'na'qun'zhong'yi'zhen'yi'xian
不能掌控的武器,bu'neng'zhang'kong'de'wu'qi
不怕牺牲,bu'pa'xi'sheng
不配,bu'pei
不起眼的树桩,bu'qi'yan'de'shu'zhuang
不清不楚,bu'qing'bu'chu
不求同年同月生,bu'qiu'tong'nian'tong'yue'sheng
不然呢,bu'ran'ne
不容置疑的事实,bu'rong'zhi'yi'de'shi'shi
不适,bu'shi
不是吃素的,bu'shi'chi'su'de
不识好歹,bu'shi'hao'dai
不是人待的地方,bu'shi'ren'dai'de'di'fang
不是虚的,bu'shi'xu'de
不守法,bu'shou'fa
不受控制,bu'shou'kong'zhi
部署,bu'shu
不死不休,bu'si'bu'xiu
不踏实,bu'ta'shi
不听话爱捣乱的儿子,bu'ting'hua'ai'dao'luan'de'er'zi
不稀罕,bu'xi'han
不惜一切代价,bu'xi'yi'qie'dai'jia
不屑,bu'xie
布鞋,bu'xie
不信邪,bu'xin'xie
不义之财,bu'yi'zhi'cai
不愿自拔,bu'yuan'zi'ba
不允许正式上市,bu'yun'xu'zheng'shi'shang'shi
不在乎你的死活,bu'zai'hu'ni'de'si'huo
不择手段,bu'ze'shou'duan
不占理,bu'zhan'li
不仗义,bu'zhang'yi
不争气的侄子,bu'zheng'qi'de'zhi'zi
不置可否,bu'zhi'ke'fou
布置任务,bu'zhi'ren'wu
不知者无过,bu'zhi'zhe'wu'guo
擦枪,ca'qiang
擦枪布,ca'qiang'bu
菜墩,cai'dun
财路,cai'lu
菜鸟,cai'niao
残疾,can'ji
惨叫的司机,can'jiao'de'si'ji
餐具厂,can'ju'chang
参军,can'jun
残酷,can'ku
残酷的战线,can'ku'de'zhan'xian
残留的血渍,can'liu'de'xue'zi
残忍的无助感,can'ren'de'wu'zhu'gan
餐厅,can'ting
餐厅管理员,can'ting'guan'li'yuan
餐厅里的幽暗光线,can'ting'li'de'you'an'guang'xian
惨痛教训,can'tong'jiao'xun
惨样,can'yang
残指,can'zhi
舱壁,cang'bi
苍翠的群山,cang'cui'de'qun'shan
苍老的声音,cang'lao'de'sheng'yin
舱门,cang'men
藏身点,cang'shen'dian
草草,cao'cao
草草掩埋,cao'cao'yan'mai
操场,cao'chang
操场中央,cao'chang'zhong'yang
草甸子,cao'dian'zi
草垛子,cao'duo'zi
操控,cao'kong
操控台,cao'kong'tai
操你妈的,cao'ni'ma'de
操他妈,cao'ta'ma
草头军,cao'tou'jun
嘈杂声,cao'za'sheng
策划,ce'hua
侧门,ce'men
茶杯,cha'bei
差不多就行了,cha'bu'duo'jiu'xing'le
查毒,cha'du
查房,cha'fang
茶缸,cha'gang
茶缸子,cha'gang'zi
茶海,cha'hai
茶壶,cha'hu
茶几,cha'ji
岔路口,cha'lu'kou
插满管子,cha'man'guan'zi
茶满送客,cha'man'song'ke
茶叶,cha'ye
茶叶末,cha'ye'mo
诧异,cha'yi
岔子,cha'zi
拆穿,chai'chuan
差事,chai'shi
柴油机,chai'you'ji
颤颤巍巍,chan'chan'wei'wei
颤抖的红点,chan'dou'de'hong'dian
搀扶,chan'fu
掺和,chan'huo
缠满纱布,chan'man'sha'bu
谄媚,chan'mei
缠绵的蛛丝,chan'mian'de'zhu'si
产品要多样化,chan'pin'yao'duo'yang'hua
缠着我,chan'zhe'wo
长安街,chang'an'jie
长长的笛声,chang'chang'de'di'sheng
长发男,chang'fa'nan
长发青年,chang'fa'qing'nian
厂房,chang'fang
长江后浪推前浪,chang'jiang'hou'lang'tui'qian'lang
长裤短靴,chang'ku'duan'xue
常例,chang'li
敞亮人,chang'liang'ren
常绿的针叶树木,chang'lv'de'zhen'ye'shu'mu
长命百岁的相,chang'ming'bai'sui'de'xiang
长木匣子,chang'mu'xia'zi
长枪,chang'qiang
常人不能背负的悲伤,chang'ren'bu'neng'bei'fu'de'bei'shang
畅所欲言,chang'suo'yu'yan
长条凳,chang'tiao'deng
长途班车,chang'tu'ban'che
长途汽车站,chang'tu'qi'che'zhan
长线,chang'xian
长远的事,chang'yuan'de'shi
肠子都悔青了,chang'zi'dou'hui'qing'le
炒菜米饭馒头包子面条,chao'cai'mi'fan'man'tou'bao'zi'mian'tiao
超度,chao'du
超级贩毒集团,chao'ji'fan'du'ji'tuan
抄近路,chao'jin'lu
潮热,chao're
潮湿闷热的地方,chao'shi'men're'de'di'fang
超越国界和种族,chao'yue'guo'jie'he'zhong'zu
车臣,che'chen
车臣的恐怖分子,che'chen'de'kong'bu'fen'zi
车窗,che'chuang
扯得太远,che'de'tai'yuan
彻底绝望,che'di'jue'wang
车顶,che'ding
车斗,che'dou
车后座,che'hou'zuo
车毁人亡,che'hui'ren'wang
车间主任,che'jian'zhu'ren
车库,che'ku
车筐,che'kuang
车铃,che'ling
车流,che'liu
车轮边,che'lun'bian
车马费,che'ma'fei
车门,che'men
车门框,che'men'kuang
车内地板,che'nei'di'ban
车票,che'piao
彻头彻尾,che'tou'che'wei
车尾的备胎,che'wei'de'bei'tai
车钥匙,che'yao'shi
扯义气讲血性,che'yi'qi'jiang'xue'xing
车辙,che'zhe
沉不住气,chen'bu'zhu'qi
陈大嘴,chen'da'zui
衬衣口袋,chen'yi'kou'dai
抻着脖子使足了劲儿,chen'zhe'bo'zi'shi'zu'le'jin'er
承包,cheng'bao
成本,cheng'ben
城府,cheng'fu
成功的快感,cheng'gong'de'kuai'gan
成家,cheng'jia
程建邦,cheng'jian'bang
成交额,cheng'jiao'e
乘警,cheng'jing
撑局面,cheng'ju'mian
乘客,cheng'ke
乘凉,cheng'liang
瞠目结舌,cheng'mu'jie'she
承诺,cheng'nuo
成排的木屋,cheng'pai'de'mu'wu
成全,cheng'quan
乘人之危,cheng'ren'zhi'wei
乘人之危杀人抢货,cheng'ren'zhi'wei'sha'ren'qiang'huo
城市的中心区,cheng'shi'de'zhong'xin'qu
承受能力,cheng'shou'neng'li
称兄道弟,cheng'xiong'dao'di
程序,cheng'xu
撑腰,cheng'yao
程咬金,cheng'yao'jin
城镇中心,cheng'zhen'zhong'xin
翅膀硬了,chi'bang'ying'le
吃大亏,chi'da'kui
持刀胁迫的戏,chi'dao'xie'po'de'xi
吃饭的招牌,chi'fan'de'zhao'pai
吃过大亏,chi'guo'da'kui
持怀疑态度,chi'huai'yi'tai'du
吃力,chi'li
赤裸裸,chi'luo'luo
赤裸裸的恐吓,chi'luo'luo'de'kong'he
持枪的歹徒,chi'qiang'de'dai'tu
持枪抢劫未遂罪,chi'qiang'qiang'jie'wei'sui'zui
持枪守卫,chi'qiang'shou'wei
吃枪子儿,chi'qiang'zi'er
痴情小女生,chi'qing'xiao'nv'sheng
痴人说梦,chi'ren'shuo'meng
耻辱,chi'ru
赤手空拳,chi'shou'kong'quan
吃素,chi'su
吃闲饭的,chi'xian'fan'de
吃相太难看,chi'xiang'tai'nan'kan
叱咤风云,chi'zha'feng'yun
叱咤金三角,chi'zha'jin'san'jiao
嗤之以鼻,chi'zhi'yi'bi
重编,chong'bian
虫叮蛇咬,chong'ding'she'yao
冲动,chong'dong
重返金三角,chong'fan'jin'san'jiao
冲锋枪,chong'feng'qiang
冲击力,chong'ji'li
充老大,chong'lao'da
崇山峻岭,chong'shan'jun'ling
重新归队,chong'xin'gui'dui
惆怅,chou'chang
仇敌,chou'di
仇家,chou'jia
酬劳,chou'lao
抽了一个大嘴巴,chou'le'yi'ge'da'zui'ba
筹码,chou'ma
臭骂,chou'ma
抽水机,chou'shui'ji
抽水马桶,chou'shui'ma'tong
抽屉,chou'ti
除暴安良,chu'bao'an'liang
出操,chu'cao
出差,chu'chai
出城,chu'cheng
初次见面,chu'ci'jian'mian
出此下策,chu'ci'xia'ce
出道,chu'dao
触电一般,chu'dian'yi'ban
厨房,chu'fang
出海,chu'hai
出海游玩,chu'hai'you'wan
出货速度,chu'huo'su'du
触及,chu'ji
初级阶段,chu'ji'jie'duan
出境办案,chu'jing'ban'an
出境旅游,chu'jing'lv'you
出局,chu'ju
初来乍到拜码头,chu'lai'zha'dao'bai'ma'tou
出了人命,chu'le'ren'ming
出山,chu'shan
初生牛犊,chu'sheng'niu'du
出生入死,chu'sheng'ru'si
厨师,chu'shi
处事谨慎,chu'shi'jin'shen
出手大方,chu'shou'da'fang
触手可及,chu'shou'ke'ji
出头,chu'tou
出头鸟,chu'tou'niao
储物箱,chu'wu'xiang
出息,chu'xi
出息了,chu'xi'le
初选的学员,chu'xuan'de'xue'yuan
出站口,chu'zhan'kou
出征,chu'zheng
处置,chu'zhi
出租车,chu'zu'che
踹进深沟,chuai'jin'shen'gou
踹了一个窝心脚,chuai'le'yi'ge'wo'xin'jiao
揣着明白装糊涂,chuai'zhe'ming'bai'zhuang'hu'tu
船舱,chuan'cang
串岗,chuan'gang
串供,chuan'gong
传说终究是言过其实,chuan'shuo'zhong'jiu'shi'yan'guo'qi'shi
传送缆绳,chuan'song'lan'sheng
船体,chuan'ti
船体左侧下方,chuan'ti'zuo'ce'xia'fang
船头,chuan'tou
船舷,chuan'xian
传销,chuan'xiao
喘着粗气,chuan'zhe'cu'qi
窗边的沙发,chuang'bian'de'sha'fa
闯祸,chuang'huo
窗帘,chuang'lian
窗帘的缝隙,chuang'lian'de'feng'xi
床头柜的抽屉,chuang'tou'gui'de'chou'ti
窗外的万家灯火就是我的军衔,chuang'wai'de'wan'jia'deng'huo'jiu'shi'wo'de'jun'xian
吹吹风,chui'chui'feng
垂头丧气,chui'tou'sang'qi
春节,chun'jie
春节打折,chun'jie'da'zhe
纯洁无私奉献,chun'jie'wu'si'feng'xian
纯金,chun'jin
纯净水,chun'jing'shui
春游,chun'you
刺鼻的硝烟,ci'bi'de'xiao'yan
瓷茶杯,ci'cha'bei
刺啦一声拉开拉链,ci'la'yi'sheng'la'kai'la'lian
瓷器,ci'qi
刺青,ci'qing
从此就是陌路人,cong'ci'jiu'shi'mo'lu'ren
丛林,cong'lin
从麻木中唤醒,cong'ma'mu'zhong'huan'xing
聪明,cong'ming
从小替他扛事,cong'xiao'ti'ta'kang'shi
从一个极端走向了另一个极端,cong'yi'ge'ji'duan'zou'xiang'le'ling'yi'ge'ji'duan
粗布包装,cu'bu'bao'zhuang
粗糙的水泥地,cu'cao'de'shui'ni'di
簇拥,cu'yong
攒足,cuan'zu
催泪瓦斯弹,cui'lei'wa'si'dan
催命,cui'ming
寸步不离,cun'bu'bu'li
村大队,cun'da'dui
挫败感,cuo'bai'gan
错误,cuo'wu
错误的答案,cuo'wu'de'da'an
错误的方式,cuo'wu'de'fang'shi
锉子,cuo'zi
错综复杂,cuo'zong'fu'za
答案,da'an
大巴,da'ba
打爆,da'bao
打包的铺盖,da'bao'de'pu'gai
大步流星,da'bu'liu'xing
打草惊蛇,da'cao'jing'she
大车司机,da'che'si'ji
达成意向,da'cheng'yi'xiang
大打折扣,da'da'zhe'kou
大单,da'dan
搭档,da'dang
大灯,da'deng
大地上睡眼惺忪的生灵,da'di'shang'shui'yan'xing'song'de'sheng'ling
大地图,da'di'tu
打电话的机会,da'dian'hua'de'ji'hui
大动作,da'dong'zuo
大毒贩,da'du'fan
大毒枭,da'du'xiao
打断,da'duan
大段子,da'duan'zi
打盹儿,da'dun'er
大多数人,da'duo'shu'ren
大恩不言谢,da'en'bu'yan'xie
大恩大德,da'en'da'de
大风大浪,da'feng'da'lang
大佛珠,da'fo'zhu
大幅上涨,da'fu'shang'zhang
大哥,da'ge
大哥别打,da'ge'bie'da
打个下手,da'ge'xia'shou
打工,da'gong
大功告成,da'gong'gao'cheng
打过交道,da'guo'jiao'dao
大过年的,da'guo'nian'de
打哈哈,da'ha'ha
大海,da'hai
打鼾,da'han
大悍马,da'han'ma
打滑,da'hua
打火机,da'huo'ji
大活人,da'huo'ren
打火石,da'huo'shi
大忌,da'ji
打击力度,da'ji'li'du
打击走私,da'ji'zou'si
打架打输,da'jia'da'shu
大将,da'jiang
打交道,da'jiao'dao
搭进去,da'jin'qu
大军,da'jun
大卡车,da'ka'che
大靠山,da'kao'shan
大口径手枪,da'kou'jing'shou'qiang
大浪,da'lang
大老爷们儿,da'lao'ye'men'er
搭理,da'li
大理石墓碑,da'li'shi'mu'bei
打脸,da'lian
大领导,da'ling'dao
大路,da'lu
大陆,da'lu
大乱子,da'luan'zi
大落地玻璃,da'luo'di'bo'li
打洛镇,da'luo'zhen
大买卖,da'mai'mai
大名鼎鼎,da'ming'ding'ding
大模大样,da'mo'da'yang
大墨镜,da'mo'jing
大闹天宫,da'nao'tian'gong
大脑停转,da'nao'ting'zhuan
大排量,da'pai'liang
大炮,da'pao
大钱,da'qian
打情骂俏,da'qing'ma'qiao
大人有大量,da'ren'you'da'liang
大牲口,da'sheng'kou
打手,da'shou
大手笔,da'shou'bi
打手混混儿,da'shou'hun'hun'er
大双肩背,da'shuang'jian'bei
大水泡子,da'shui'pao'zi
大堂,da'tang
大铁锅,da'tie'guo
大厅,da'ting
大头兵,da'tou'bing
大腕,da'wan
大碗吃面,da'wan'chi'mian
大洗牌,da'xi'pai
大蜥蜴,da'xi'yi
大校,da'xiao
大卸八块,da'xie'ba'kuai
大卸九块,da'xie'jiu'kuai
大血管,da'xue'guan
大言不惭,da'yan'bu'can
大爷大妈,da'ye'da'ma
大意,da'yi
大衣,da'yi
大隐隐于市,da'yin'yin'yu'shi
大圆饭桌,da'yuan'fan'zhuo
大圆桌,da'yuan'zhuo
大杂院,da'za'yuan
打造,da'zao
大张旗鼓,da'zhang'qi'gu
大阵势,da'zhen'shi
大侄子,da'zhi'zi
打肿脸充胖子,da'zhong'lian'chong'pang'zi
大资本家,da'zi'ben'jia
大罪过,da'zui'guo
带回来,dai'hui'lai
带货,dai'huo
带货出境,dai'huo'chu'jing
呆愣,dai'leng
怠慢,dai'man
待命,dai'ming
带枪入境,dai'qiang'ru'jing
歹徒,dai'tu
带血的石头,dai'xue'de'shi'tou
带着罂粟花香的空气,dai'zhe'ying'su'hua'xiang'de'kong'qi
带着种,dai'zhe'zhong
担保,dan'bao
单词,dan'ci
淡淡的白印,dan'dan'de'bai'yin
丹的爸爸,dan'de'ba'ba
丹的父亲,dan'de'fu'qin
丹的老婆,dan'de'lao'po
担得起这担子,dan'de'qi'zhe'dan'zi
丹的全家,dan'de'quan'jia
单独的卫生间,dan'du'de'wei'sheng'jian
弹弓,dan'gong
胆固醇,dan'gu'chun
弹夹,dan'jia
担架,dan'jia
弹夹扣,dan'jia'kou
单间,dan'jian
担惊受怕,dan'jing'shou'pa
丹雷,dan'lei
单枪匹马,dan'qiang'pi'ma
单人床,dan'ren'chuang
胆色,dan'se
淡色薄毛衣,dan'se'bo'mao'yi
单身的旅客,dan'shen'de'lv'ke
单身宿舍,dan'shen'su'she
单位,dan'wei
耽误,dan'wu
耽误任务,dan'wu'ren'wu
丹一家,dan'yi'jia
单元门口,dan'yuan'men'kou
但愿同年同月死,dan'yuan'tong'nian'tong'yue'si
担责任,dan'ze'ren
档案袋,dang'an'dai
档案堆,dang'an'dui
档案柜,dang'an'gui
档案室,dang'an'shi
当兵,dang'bing
当兵的,dang'bing'de
当地的村民,dang'di'de'cun'min
当地的手下,dang'di'de'shou'xia
当地人的摩托车,dang'di'ren'de'mo'tuo'che
当地语言,dang'di'yu'yan
挡风玻璃,dang'feng'bo'li
当家,dang'jia
当口,dang'kou
党旗,dang'qi
当天的货量,dang'tian'de'huo'liang
挡位,dang'wei
党委书记,dang'wei'shu'ji
当之有愧,dang'zhi'you'kui
刀疤,dao'ba
刀柄,dao'bing
倒茶认罪,dao'cha'ren'zui
导弹,dao'dan
导弹发射架,dao'dan'fa'she'jia
导购,dao'gou
导航,dao'hang
导航屏幕,dao'hang'ping'mu
导航指挥,dao'hang'zhi'hui
捣毁胡经的贩毒网络,dao'hui'hu'jing'de'fan'du'wang'luo
刀尖,dao'jian
刀尖上舔血,dao'jian'shang'tian'xue
道具,dao'ju
刀口,dao'kou
刀口舔血,dao'kou'tian'xue
捣乱,dao'luan
倒卖文物,dao'mai'wen'wu
导盲犬,dao'mang'quan
道貌岸然,dao'mao'an'ran
悼念,dao'nian
刀鞘,dao'qiao
刀刃,dao'ren
刀山火海,dao'shan'huo'hai
倒水,dao'shui
刀头上舔血的日子,dao'tou'shang'tian'xue'de'ri'zi
刀剜一样,dao'wan'yi'yang
倒吸了一口凉气,dao'xi'le'yi'kou'liang'qi
刀下鬼,dao'xia'gui
导演,dao'yan
道义,dao'yi
刀子一样锋利,dao'zi'yi'yang'feng'li
得逞,de'cheng
德国,de'guo
得力的人,de'li'de'ren
德行,de'xing
得意忘形,de'yi'wang'xing
等待面谈,deng'dai'mian'tan
等候谈话的人,deng'hou'tan'hua'de'ren
灯火通明,deng'huo'tong'ming
灯火绚丽的城市,deng'huo'xuan'li'de'cheng'shi
灯绳,deng'sheng
灯塔,deng'ta
蹬着我的鼻子上脸,deng'zhe'wo'de'bi'zi'shang'lian
低矮的茅屋,di'ai'de'mao'wu
地标,di'biao
底层,di'ceng
底朝天,di'chao'tian
低沉的声音,di'chen'de'sheng'yin
抵达三号,di'da'san'hao
弟弟,di'di
嘀嘀嗒嗒,di'di'da'da
第二次,di'er'ci
敌方,di'fang
迪哥,di'ge
嘀咕,di'gu
低价出售,di'jia'chu'shou
地利之便,di'li'zhi'bian
地盘,di'pan
底盘,di'pan
地平线,di'ping'xian
地铺,di'pu
底气十足,di'qi'shi'zu
敌人,di'ren
第十六次实验,di'shi'liu'ci'shi'yan
滴水之恩当涌泉相报,di'shui'zhi'en'dang'yong'quan'xiang'bao
迪斯科舞厅,di'si'ke'wu'ting
低头不见抬头见,di'tou'bu'jian'tai'tou'jian
地头蛇,di'tou'she
低头致哀,di'tou'zhi'ai
地图,di'tu
地位,di'wei
敌我不分,di'wo'bu'fen
底细,di'xi
底下的人,di'xia'de'ren
地下室,di'xia'shi
地下四层,di'xia'si'ceng
地下通道入口,di'xia'tong'dao'ru'kou
地形沙盘,di'xing'sha'pan
弟兄,di'xiong
第一把交椅,di'yi'ba'jiao'yi
第一个目标,di'yi'ge'mu'biao
第一枪的目标,di'yi'qiang'de'mu'biao
第一圈绳索,di'yi'quan'sheng'suo
第一时间,di'yi'shi'jian
抵账,di'zhang
