阿堵物,a'du'wu
戴高帽,dai'gao'mao
单相思,dan'xiang'si
胆小鬼,dan'xiao'gui
挡箭牌,dang'jian'pai
刀笔吏,dao'bi'li
稻粱谋,dao'liang'mou
刀头蜜,dao'tou'mi
倒栽葱,dao'zai'cong
登龙门,deng'long'men
地头蛇,di'tou'she
垫脚石,dian'jiao'shi
钓鳌客,diao'ao'ke
掉书袋,diao'shu'dai
掉文袋,diao'wen'dai
顶梁柱,ding'liang'zhu
顶头风,ding'tou'feng
定心丸,ding'xin'wan
东窗计,dong'chuang'ji
东道交,dong'dao'jiao
东道主,dong'dao'zhu
东方骑,dong'fang'qi
东家丘,dong'jia'qiu
斗婵娟,dou'chan'juan
斗心眼,dou'xin'yan
牍三千,du'san'qian
蠹书虫,du'shu'chong
断金交,duan'jin'jiao
短平快,duan'ping'kuai
对不起,dui'bu'qi
对症药,dui'zheng'yao
夺锦才,duo'jin'cai
多面手,duo'mian'shou
额手庆,e'shou'qing
恶作剧,e'zuo'ju
二把刀,er'ba'dao
二百五,er'bai'wu
耳报神,er'bao'shen
耳边风,er'bian'feng
二而一,er'er'yi
二杆子,er'gan'zi
儿皇帝,er'huang'di
二流子,er'liu'zi
儿女情,er'nv'qing
儿女仁,er'nv'ren
儿女态,er'nv'tai
儿女债,er'nv'zhai
耳旁风,er'pang'feng
尔汝交,er'ru'jiao
二五耦,er'wu'ou
发冲冠,fa'chong'guan
伐柯人,fa'ke'ren
发人业,fa'ren'ye
发天葩,fa'tian'pa
反覆手,fan'fu'shou
反间计,fan'jian'ji
反将计,fan'jiang'ji
方便门,fang'bian'men
方寸地,fang'cun'di
放空炮,fang'kong'pao
放空气,fang'kong'qi
放冷箭,fang'leng'jian
方外人,fang'wai'ren
非非想,fei'fei'xiang
非熊卜,fei'xiong'bu
非熊梦,fei'xiong'meng
非熊兆,fei'xiong'zhao
肥皂泡,fei'zao'pao
分杯羹,fen'bei'geng
风凉话,feng'liang'hua
风马牛,feng'ma'niu
风木叹,feng'mu'tan
凤求凰,feng'qiu'huang
风树悲,feng'shu'bei
风月场,feng'yue'chang
付东流,fu'dong'liu
夫己氏,fu'ji'shi
附骥尾,fu'ji'wei
父母官,fu'mu'guan
父母国,fu'mu'guo
夫妻店,fu'qi'dian
釜生鱼,fu'sheng'yu
腹心蠹,fu'xin'du
斧凿痕,fu'zao'hen
釜中鱼,fu'zhong'yu
父子兵,fu'zi'bing
赶潮流,gan'chao'liu
干瞪眼,gan'deng'yan
赶浪头,gan'lang'tou
赶时髦,gan'shi'mao
个中人,ge'zhong'ren
狗吃屎,gou'chi'shi
狗腿子,gou'tui'zi
狗咬狗,gou'yao'gou
沟中瘠,gou'zhong'ji
古都都,gu'du'dou
骨律锥,gu'lv'zhui
故纸堆,gu'zhi'dui
挂壁鱼,gua'bi'yu
刮地皮,gua'di'pi
挂树瓢,gua'shu'piao
瓜蔓抄,gua'wan'chao
管城子,guan'cheng'zi
灌米汤,guan'mi'tang
鬼打钹,gui'da'bo
鬼画符,gui'hua'fu
鬼瞰家,gui'kan'jia
鬼瞰室,gui'kan'shi
鬼伶精,gui'ling'jing
鬼门关,gui'men'guan
鬼头风,gui'tou'feng
鬼夜哭,gui'ye'ku
鬼主意,gui'zhu'yi
滚雪球,gun'xue'qiu
过耳风,guo'er'feng
过墙梯,guo'qiang'ti
过时货,guo'shi'huo
海底眼,hai'di'yan
邯郸梦,han'dan'meng
旱鸭子,han'ya'zi
鹤乘轩,he'cheng'xuan
喝倒彩,he'dao'cai
合家欢,he'jia'huan
禾生耳,he'sheng'er
和事佬,he'shi'lao
鸿门宴,hong'men'yan
后悔药,hou'hui'yao
猴崽子,hou'zai'zi
虎而冠,hu'er'guan
狐狸精,hu'li'jing
扈苗征,hu'miao'zheng
护身符,hu'shen'fu
糊涂虫,hu'tu'chong
糊涂账,hu'tu'zhang
花脚猫,hua'jiao'mao
黄粱梦,huang'liang'meng
火伞张,huo'san'zhang
火生莲,huo'sheng'lian
和稀泥,huo'xi'ni
活现眼,huo'xian'yan
火中莲,huo'zhong'lian
集大成,ji'da'cheng
激将法,ji'jiang'fa
急就篇,ji'jiu'pian
急就章,ji'jiu'zhang
寄生虫,ji'sheng'chong
及时雨,ji'shi'yu
急先锋,ji'xian'feng
挤牙膏,ji'ya'gao
鸡一嘴,ji'yi'zui
假慈悲,jia'ci'bei
佳弟子,jia'di'zi
家天下,jia'tian'xia
假惺惺,jia'xing'xing
贱骨头,jian'gu'tou
江海士,jiang'hai'shi
将无同,jiang'wu'tong
脚边路,jiao'bian'lu
叫化子,jiao'hua'zi
交际花,jiao'ji'hua
佼佼者,jiao'jiao'zhe
嚼舌根,jiao'she'gen
嚼舌头,jiao'she'tou
揭盖子,jie'gai'zi
节骨眼,jie'gu'yan
街溜子,jie'liu'zi
解人颐,jie'ren'yi
阶下囚,jie'xia'qiu
解语花,jie'yu'hua
金不换,jin'bu'huan
金饭碗,jin'fan'wan
紧箍咒,jin'gu'zhou
金石交,jin'shi'jiao
金石声,jin'shi'sheng
近新来,jin'xin'lai
镜里花,jing'li'hua
揪辫子,jiu'bian'zi
九回肠,jiu'hui'chang
救世主,jiu'shi'zhu
九折臂,jiu'zhe'bi
卷地皮,juan'di'pi
卷铺盖,juan'pu'gai
掘墓人,jue'mu'ren
军令状,jun'ling'zhuang
开后门,kai'hou'men
开山祖,kai'shan'zu
开小差,kai'xiao'chai
扛大梁,kang'da'liang
空城计,kong'cheng'ji
空对空,kong'dui'kong
孔方兄,kong'fang'xiong
扣帽子,kou'mao'zi
口头禅,kou'tou'chan
苦肉计,ku'rou'ji
苦行僧,ku'xing'seng
宽心丸,kuan'xin'wan
拉长线,la'chang'xian
拉皮条,la'pi'tiao
癞蛤蟆,lai'ha'ma
拦路虎,lan'lu'hu
烂羊头,lan'yang'tou
狼卜食,lang'bu'shi
捞稻草,lao'dao'cao
老掉牙,lao'diao'ya
老古板,lao'gu'ban
老古董,lao'gu'dong
老皇历,lao'huang'li
老黄历,lao'huang'li
老黄牛,lao'huang'niu
老江湖,lao'jiang'hu
老来俏,lao'lai'qiao
劳什子,lao'shi'zi
老学究,lao'xue'jiu
捞一把,lao'yi'ba
老油条,lao'you'tiao
老油子,lao'you'zi
冷板凳,leng'ban'deng
冷热病,leng're'bing
楞头葱,leng'tou'cong
楞头货,leng'tou'huo
愣头青,leng'tou'qing
里程碑,li'cheng'bei
立仗马,li'zhang'ma
连锅端,lian'guo'duan
连理枝,lian'li'zhi
脸皮厚,lian'pi'hou
连珠炮,lian'zhu'pao
凉拌觉,liang'ban'jue
两边倒,liang'bian'dao
良家子,liang'jia'zi
两面光,liang'mian'guang
了不起,liao'bu'qi
辽东鹤,liao'dong'he
辽东豕,liao'dong'shi
撩虎须,liao'hu'xu
撂挑子,liao'tiao'zi
吝啬鬼,lin'se'gui
六出公,liu'chu'gong
六出计,liu'chu'ji
留后路,liu'hou'lu
六六鳞,liu'liu'lin
留尾巴,liu'wei'ba
六先生,liu'xian'sheng
留一手,liu'yi'shou
留余地,liu'yu'di
六月霜,liu'yue'shuang
龙虎榜,long'hu'bang
露马脚,lou'ma'jiao
露一手,lou'yi'shou
路程碑,lu'cheng'bei
鹿门人,lu'men'ren
鹿为马,lu'wei'ma
乱弹琴,luan'tan'qin
捋虎须,luo'hu'xu
落水狗,luo'shui'gou
落汤鸡,luo'tang'ji
驴肝肺,lv'gan'fei
马大哈,ma'da'ha
马耳风,ma'er'feng
马后炮,ma'hou'pao
马屁精,ma'pi'jing
马前卒,ma'qian'zu
马生角,ma'sheng'jiao
卖关子,mai'guan'zi
卖人情,mai'ren'qing
满堂灌,man'tang'guan
满堂红,man'tang'hong
满天飞,man'tian'fei
满招损,man'zhao'sun
莽大夫,mang'dai'fu
冒牌货,mao'pai'huo
冒失鬼,mao'shi'gui
眉间锁,mei'jian'suo
美人计,mei'ren'ji
每事问,mei'shi'wen
闷葫芦,men'hu'lu
门外汉,men'wai'han
门下士,men'xia'shi
迷魂汤,mi'hun'tang
迷魂阵,mi'hun'zhen
绵里针,mian'li'zhen
面团团,mian'tuan'tuan
绵中针,mian'zhong'zhen
末路人,mo'lu'ren
莫逆交,mo'ni'jiao
抹稀泥,mo'xi'ni
莫须有,mo'xu'you
磨洋工,mo'yang'gong
母大虫,mu'da'chong
母老虎,mu'lao'hu
木上座,mu'shang'zuo
木头人,mu'tou'ren
母夜叉,mu'ye'cha
拿一手,na'yi'shou
南北人,nan'bei'ren
囊底智,nang'di'zhi
泥饭碗,ni'fan'wan
娘子军,niang'zi'jun
鸟兽散,niao'shou'san
鸟兽行,niao'shou'xing
宁馨儿,ning'xin'er
牛马走,niu'ma'zou
牛眠地,niu'mian'di
女娲石,nv'wa'shi
女相如,nv'xiang'ru
女丈夫,nv'zhang'fu
怕死鬼,pa'si'gui
拍马屁,pai'ma'pi
拍胸脯,pai'xiong'pu
泡病号,pao'bing'hao
跑单帮,pao'dan'bang
跑江湖,pao'jiang'hu
跑龙套,pao'long'tao
泡蘑菇,pao'mo'gu
炮筒子,pao'tong'zi
碰钉子,peng'ding'zi
蓬间雀,peng'jian'que
霹雳手,pi'li'shou
批逆鳞,pi'ni'lin
飘飘然,piao'piao'ran
破烂货,po'lan'huo
泼冷水,po'leng'shui
破落户,po'luo'hu
破题儿,po'ti'er
破天荒,po'tian'huang
七返丹,qi'fan'dan
泣鬼神,qi'gui'shen
乞骸骨,qi'hai'gu
麒麟阁,qi'lin'ge
麒麟楦,qi'lin'xuan
麒麒楦,qi'qi'xuan
千里驹,qian'li'ju
千里眼,qian'li'yan
千顷陂,qian'qing'bei
千日酒,qian'ri'jiu
谦受益,qian'shou'yi
潜台词,qian'tai'ci
墙头草,qiang'tou'cao
墙外汉,qiang'wai'han
墙有耳,qiang'you'er
敲边鼓,qiao'bian'gu
翘辫子,qiao'bian'zi
敲门砖,qiao'men'zhuan
悄悄话,qiao'qiao'hua
巧舌头,qiao'she'tou
翘尾巴,qiao'wei'ba
敲竹杠,qiao'zhu'gang
青白眼,qing'bai'yan
请长缨,qing'chang'ying
清道夫,qing'dao'fu
请骸骨,qing'hai'gu
清君侧,qing'jun'ce
擎天柱,qing'tian'zhu
清一色,qing'yi'se
穷措大,qiong'cuo'da
穷光蛋,qiong'guang'dan
穷折腾,qiong'zhe'teng
取以来,qu'yi'lai
全家福,quan'jia'fu
裙带官,qun'dai'guan
群言堂,qun'yan'tang
群英会,qun'ying'hui
绕脖子,rao'bo'zi
热门货,re'men'huo
热心肠,re'xin'chang
人生观,ren'sheng'guan
人中龙,ren'zhong'long
日裏鬼,ri'li'gui
日三竿,ri'san'gan
容足地,rong'zu'di
肉搏战,rou'bo'zhan
肉腰刀,rou'yao'dao
肉中刺,rou'zhong'ci
入幕宾,ru'mu'bin
孺子牛,ru'zi'niu
软刀子,ruan'dao'zi
洒狗血,sa'gou'xie
撒手锏,sa'shou'jian
撒丫子,sa'ya'zi
撒鸭子,sa'ya'zi
塞狗洞,sai'gou'dong
三不惑,san'bu'huo
三不开,san'bu'kai
三不朽,san'bu'xiu
三不知,san'bu'zhi
三家村,san'jia'cun
三脚猫,san'jiao'mao
三角猫,san'jiao'mao
散摊子,san'tan'zi
三语掾,san'yu'yuan
三只手,san'zhi'shou
丧门神,sang'men'shen
丧门星,sang'men'xing
丧气鬼,sang'qi'gui
扫帚星,sao'zhou'xing
杀风景,sha'feng'jing
煞风景,sha'feng'jing
沙画锥,sha'hua'zhui
杀威棒,sha'wei'bang
傻心眼,sha'xin'yan
山陵崩,shan'ling'beng
山水弄,shan'shui'nong
山阳泪,shan'yang'lei
山中相,shan'zhong'xiang
上水船,shang'shui'chuan
上下床,shang'xia'chuang
烧高香,shao'gao'xiang
烧冷灶,shao'leng'zao
少壮派,shao'zhuang'pai
蛇添足,she'tian'zu
蛇吞象,she'tun'xiang
神枪手,shen'qiang'shou
生力军,sheng'li'jun
省油灯,sheng'you'deng
是百的,shi'bai'de
使绊儿,shi'ban'er
使绊子,shi'ban'zi
实打实,shi'da'shi
是非场,shi'fei'chang
是非堆,shi'fei'dui
是非窝,shi'fei'wo
石敢当,shi'gan'dang
试金石,shi'jin'shi
势利眼,shi'li'yan
屎盆子,shi'pen'zi
十日饮,shi'ri'yin
实心眼,shi'xin'yan
诗言志,shi'yan'zhi
石尤风,shi'you'feng
狮子吼,shi'zi'hou
首尾吟,shou'wei'yin
书呆子,shu'dai'zi
鼠狗辈,shu'gou'bei
书生气,shu'sheng'qi
鼠无牙,shu'wu'ya
熟羊胛,shu'yang'jia
耍花枪,shua'hua'qiang
耍花腔,shua'hua'qiang
耍滑头,shua'hua'tou
耍花招,shua'hua'zhao
耍贫嘴,shua'pin'zui
耍手腕,shua'shou'wan
耍心眼,shua'xin'yan
水底鱼,shui'di'yu
水火中,shui'huo'zhong
水云身,shui'yun'shen
水云乡,shui'yun'xiang
水中龙,shui'zhong'long
水中沤,shui'zhong'ou
水中月,shui'zhong'yue
顺风耳,shun'feng'er
顺口溜,shun'kou'liu
说大话,shuo'da'hua
四不像,si'bu'xiang
死对头,si'dui'tou
私房话,si'fang'hua
死胡同,si'hu'tong
死脑筋,si'nao'jin
死心眼,si'xin'yan
松心契,song'xin'qi
随大流,sui'da'liu
孙生户,sun'sheng'hu
太上皇,tai'shang'huang
台柱子,tai'zhu'zi
贪口腹,tan'kou'fu
探玄珠,tan'xuan'zhu
桃花源,tao'hua'yuan
桃花运,tao'hua'yun
套近乎,tao'jin'hu
桃李年,tao'li'nian
掏心窝,tao'xin'wo
替罪羊,ti'zui'yang
天尺五,tian'chi'wu
天六六,tian'liu'liu
天之天,tian'zhi'tian
铁饭碗,tie'fan'wan
铁公鸡,tie'gong'ji
铁算盘,tie'suan'pan
听壁脚,ting'bi'jiao
捅娄子,tong'lou'zi
同心结,tong'xin'jie
头朝下,tou'chao'xia
头厅相,tou'ting'xiang
透心凉,tou'xin'liang
土八路,tu'ba'lu
土包子,tu'bao'zi
土皇帝,tu'huang'di
兔园册,tu'yuan'ce
团团转,tuan'tuan'zhuan
拖后腿,tuo'hou'tui
拖油瓶,tuo'you'ping
挖墙脚,wa'qiang'jiao
挖墙角,wa'qiang'jiao
瓦上霜,wa'shang'shuang
万金油,wan'jin'you
万人敌,wan'ren'di
亡国奴,wang'guo'nu
忘年交,wang'nian'jiao
亡是公,wang'shi'gong
忘形交,wang'xing'jiao
忘忧物,wang'you'wu
文抄公,wen'chao'gong
刎颈交,wen'jing'jiao
温柔乡,wen'rou'xiang
窝里反,wo'li'fan
窝囊废,wo'nang'fei
窝囊气,wo'nang'qi
无长物,wu'chang'wu
五车书,wu'che'shu
无底洞,wu'di'dong
无底止,wu'di'zhi
无噍类,wu'jiao'lei
五经库,wu'jing'ku
五经笥,wu'jing'si
五里雾,wu'li'wu
无聊赖,wu'liao'lai
无明火,wu'ming'huo
屋上乌,wu'shang'wu
无事忙,wu'shi'mang
无形中,wu'xing'zhong
乌鸦嘴,wu'ya'zui
无一可,wu'yi'ke
无有乡,wu'you'xiang
惜分阴,xi'fen'yin
西夕年,xi'xi'nian
吸血鬼,xi'xue'gui
下马威,xia'ma'wei
下水船,xia'shui'chuan
现成饭,xian'cheng'fan
闲磕牙,xian'ke'ya
现世报,xian'shi'bao
现时报,xian'shi'bao
弦外音,xian'wai'yin
乡巴佬,xiang'ba'lao
想当然,xiang'dang'ran
小朝廷,xiao'chao'ting
小广播,xiao'guang'bo
笑面虎,xiao'mian'hu
小气鬼,xiao'qi'gui
小心眼,xiao'xin'yan
心上秋,xin'shang'qiu
新亭泪,xin'ting'lei
行书厨,xing'shu'chu
凶短折,xiong'duan'zhe
轩轾戏,xuan'zhi'xi
轩中鹤,xuan'zhong'he
谑而虐,xue'er'nue
寻短见,xun'duan'jian
哑巴亏,ya'ba'kui
压岁钱,ya'sui'qian
哑羊僧,ya'yang'seng
鸭一嘴,ya'yi'zui
烟幕弹,yan'mu'dan
烟霞癖,yan'xia'pi
眼中刺,yan'zhong'ci
眼中钉,yan'zhong'ding
羊公鹤,yang'gong'he
扬州鹤,yang'zhou'he
羊左交,yang'zuo'jiao
咬菜根,yao'cai'gen
药店龙,yao'dian'long
摇钱树,yao'qian'shu
夜半客,ye'ban'ke
一刹那,yi'cha'na
一场空,yi'chang'kong
一刀切,yi'dao'qie
一而光,yi'er'guang
一风吹,yi'feng'chui
一锅粥,yi'guo'zhou
一锅煮,yi'guo'zhu
一夔足,yi'kui'zu
一犁雨,yi'li'yu
一溜风,yi'liu'feng
一溜烟,yi'liu'yan
一路哭,yi'lu'ku
一抹黑,yi'mo'hei
一牛鸣,yi'niu'ming
一盘棋,yi'pan'qi
一瓢香,yi'piao'xiang
一抔土,yi'pou'tu
一丘貉,yi'qiu'hao
一人敌,yi'ren'di
一水隔,yi'shui'ge
一条龙,yi'tiao'long
一团糟,yi'tuan'zao
一微尘,yi'wei'chen
一洗空,yi'xi'kong
一小撮,yi'xiao'cuo
蚁旋磨,yi'xuan'mo
一言堂,yi'yan'tang
一指禅,yi'zhi'chan
一枝春,yi'zhi'chun
一至此,yi'zhi'ci
意中人,yi'zhong'ren
一字师,yi'zi'shi
印巴子,yin'ba'zi
应声虫,ying'sheng'chong
拥鼻吟,yong'bi'yin
有心人,you'xin'ren
有一手,you'yi'shou
迂夫子,yu'fu'zi
鱼米乡,yu'mi'xiang
与众殊,yu'zhong'shu
远山黛,yuan'shan'dai
远山眉,yuan'shan'mei
远山色,yuan'shan'se
月旦评,yue'dan'ping
月下老,yue'xia'lao
云中鹤,yun'zhong'he
泽畔吟,ze'pan'yin
甑生尘,zeng'sheng'chen
窄弓弓,zhai'gong'gong
战兢兢,zhan'jing'jing
沾泥絮,zhan'ni'xu
遮羞布,zhe'xiu'bu
正当年,zheng'dang'nian
正法眼,zheng'fa'yan
正丘首,zheng'qiu'shou
睁眼瞎,zheng'yan'xia
咫尺颜,zhi'chi'yan
执箕帚,zhi'ji'zhou
纸老虎,zhi'lao'hu
执牛耳,zhi'niu'er
直如弦,zhi'ru'xian
中山狼,zhong'shan'lang
中书君,zhong'shu'jun
逐客令,zhu'ke'ling
猪头三,zhu'tou'san
猪觜关,zhu'zui'guan
转轮王,zhuan'lun'wang
转蓬身,zhuan'peng'shen
转弯子,zhuan'wan'zi
装门面,zhuang'men'mian
装孙子,zhuang'sun'zi
庄舄吟,zhuang'xi'yin
装洋蒜,zhuang'yang'suan
捉刀人,zhuo'dao'ren
自己人,zi'ji'ren
自留地,zi'liu'di
走过场,zou'guo'chang
走后门,zou'hou'men
走马灯,zou'ma'deng
走着瞧,zou'zhe'qiao
祖生鞭,zu'sheng'bian
钻空子,zuan'kong'zi
嘴道儿,zui'dao'er
嘴卢都,zui'lu'dou
座上宾,zuo'shang'bin
座上客,zuo'shang'ke
座右铭,zuo'you'ming
左右手,zuo'you'shou
左右袒,zuo'you'tan
