挨挫,ai'cuo
麻利拾翻,ma'li'shi'fan
麻眼事,ma'yan'shi
蛮势,man'shi
茅房,mao'fang
毛鬼神,mao'gui'shen
么蓝,me'lan
么麻达,me'ma'da
么门,me'men
么念塞,me'nian'sai
么求意思,me'qiu'yi'si
么怂相,me'song'xiang
没求意思,mei'qiu'yi'si
闷松,men'song
猛好蓝,meng'hao'lan
梦胡,meng'hu
米汤,mi'tang
莫麻达,mo'ma'da
莫相,mo'xiang
莫熊相,mo'xiong'xiang
木犊,mu'du
木犊娃,mu'du'wa
木囊,mu'nang
哪可也,na'ke'ye
难场,nan'chang
难畅,nan'chang
难活,nan'huo
闹一瓶,nao'yi'ping
能行,neng'xing
你甘没事么,ni'gan'mei'shi'me
你说什嘛,ni'shuo'shen'ma
腻子,ni'zi
捻不处处,nian'bu'chu'chu
蔫人,nian'ren
年似,nian'si
爬远远,pa'yuan'yuan
匹比害菜,pi'bi'hai'cai
皮实,pi'shi
谝闲传,pian'xian'chuan
品麻,pin'ma
泼烦,po'fan
婆姨,po'yi
悄班子些,qiao'ban'zi'xie
悄悄的,qiao'qiao'de
怯火,qie'huo
挈子,qie'zi
清凉山,qing'liang'shan
球不顶,qiu'bu'ding
球蹲脸,qiu'dun'lian
求眉鼠眼,qiu'mei'shu'yan
求脑蛋子,qiu'nao'dan'zi
球势架子,qiu'shi'jia'zi
求势蓝,qiu'shi'lan
求势子,qiu'shi'zi
球炸二五,qiu'zha'er'wu
然杆子,ran'gan'zi
瓤人,rang'ren
人风理至,ren'feng'li'zhi
日把川,ri'ba'chuan
日毛个喘,ri'mao'ge'chuan
日塌,ri'ta
日眼,ri'yan
塞黑拐,sai'hei'guai
搡眼,sang'yan
骚亲,sao'qin
骚情,sao'qing
涩皮,se'pi
森人,sen'ren
杀革,sha'ge
上杆子,shang'gan'zi
拾掇,shi'duo
失笑,shi'xiao
拴整,shuan'zheng
栓整,shuan'zheng
似达,si'da
怂人,song'ren
怂相,song'xiang
酸眉流眼,suan'mei'liu'yan
碎猴,sui'hou
碎怂,sui'song
碎娃,sui'wa
碎子,sui'zi
碎揍儿,sui'zou'er
孙子差,sun'zi'cha
太熬蓝,tai'ao'lan
太猛蓝,tai'meng'lan
秃舌蛋流,tu'she'dan'liu
歪人,wai'ren
腕托,wan'tuo
窝窝,wo'wo
细发,xi'fa
惜惶,xi'huang
瞎了,xia'le
瞎熊,xia'xiong
闲传,xian'chuan
显花,xian'hua
献餮,xian'tie
学谎,xue'huang
亚来黑老,ya'lai'hei'lao
亚圣,ya'sheng
佯打各思,yang'da'ge'si
洋火,yang'huo
洋碱,yang'jian
洋柿子,yang'shi'zi
洋洋务务,yang'yang'wu'wu
洋芋擦擦,yang'yu'ca'ca
洋芋叉叉,yang'yu'cha'cha
夜天,ye'tian
油馍馍,you'mo'mo
油旋,you'xuan
咋个相,za'ge'xiang
杂了,za'le
咂咧,za'lie
贼怂,zei'song
贼娃子,zei'wa'zi
沾布,zhan'bu
展趟,zhan'tang
招识,zhao'shi
折夺,zhe'duo
挣人,zheng'ren
肿货,zhong'huo
中心街,zhong'xin'jie
猪唠唠,zhu'lao'lao
子长煎饼,zi'chang'jian'bing
奏是,zou'shi
奏四,zou'si
做甚了,zuo'shen'le
做甚者了,zuo'shen'zhe'le
