安崇阮,an'chong'ruan
临春,lin'chun
林罕,lin'han
林思谔,lin'si'e
林思锷,lin'si'e
令狐峤,ling'hu'qiao
刘保乂,liu'bao'yi
刘澄,liu'cheng
刘承钧,liu'cheng'jun
刘崇,liu'chong
刘崇望,liu'chong'wang
刘福,liu'fu
刘宫人,liu'gong'ren
刘光义,liu'guang'yi
刘皓,liu'hao
刘继恩,liu'ji'en
刘继元,liu'ji'yuan
刘潜,liu'qian
刘仁恭,liu'ren'gong
六十一,liu'shi'yi
刘守光,liu'shou'guang
刘檀,liu'tan
刘廷让,liu'ting'rang
柳修业,liu'xiu'ye
刘隐,liu'yin
刘隐辞,liu'yin'ci
刘玙,liu'yu
刘赞,liu'zan
刘泽,liu'ze
刘知俊,liu'zhi'jun
刘铢,liu'zhu
刘纂,liu'zuan
龙景昭,long'jing'zhao
龙尾道,long'wei'dao
龙武军,long'wu'jun
鹿弁,lu'bian
鹿虔扆,lu'qian'yi
鲁王,lu'wang
卢文纪,lu'wen'ji
鹿晏弘,lu'yan'hong
卢延让,lu'yan'rang
銮国公主,luan'guo'gong'zhu
骆保,luo'bao
罗川路,luo'chuan'lu
罗济,luo'ji
罗隐,luo'yin
罗元杲,luo'yuan'gao
吕翰,lv'han
吕琦,lv'qi
吕尧,lv'yao
吕余庆,lv'yu'qing
吕知柔,lv'zhi'rou
马处谦,ma'chu'qian
马敬儒,ma'jing'ru
马全,ma'quan
马绍宏,ma'shao'hong
马殷,ma'yin
毛文锡,mao'wen'xi
毛文晏,mao'wen'yan
毛湘,mao'xiang
毛询,mao'xun
毛璋,mao'zhang
毛重威,mao'zhong'wei
茂州,mao'zhou
眉州,mei'zhou
孟汉琼,meng'han'qiong
孟仁操,meng'ren'cao
孟仁裕,meng'ren'yu
孟仁贽,meng'ren'zhi
孟思恭,meng'si'gong
孟玄宝,meng'xuan'bao
孟玄珏,meng'xuan'jue
孟玄喆,meng'xuan'zhe
孟知祥,meng'zhi'xiang
绵阳,mian'yang
摩诃池,mo'he'chi
牛峤,niu'qiao
牛希济,niu'xi'ji
牛勖,niu'xu
欧阳彬,ou'yang'bin
欧阳晃,ou'yang'huang
欧阳回,ou'yang'hui
欧阳炯,ou'yang'jiong
潘稠,pan'chou
潘福超,pan'fu'chao
潘炕,pan'kang
潘峤,pan'qiao
潘峭,pan'qiao
潘仁嗣,pan'ren'si
潘岏,pan'wan
潘在迎,pan'zai'ying
庞福诚,pang'fu'cheng
彭王,peng'wang
彭晓,peng'xiao
彭州,peng'zhou
破柴都,po'chai'dou
普宁公主,pu'ning'gong'zhu
蒲虔轨,pu'qian'gui
蒲师训,pu'shi'xun
蒲禹卿,pu'yu'qing
七宝溺器,qi'bao'ni'qi
綦毋谏,qi'wu'jian
齐彦温,qi'yan'wen
乾德,qian'de
钱贵妃,qian'gui'fei
钱鏐,qian'liu
前蜀,qian'shu
虔嵩,qian'song
黔州,qian'zhou
秦承厚,qin'cheng'hou
秦国公,qin'guo'gong
覃王李嗣周,qin'wang'li'si'zhou
秦州,qin'zhou
青城道士,qing'cheng'dao'shi
青城山巨人脚印,qing'cheng'shan'ju'ren'jiao'yin
清风楼,qing'feng'lou
清远桥,qing'yuan'qiao
琼华公主,qiong'hua'gong'zhu
邛州,qiong'zhou
屈突无为,qu'tu'wu'wei
全师雄,quan'shi'xiong
任从海,ren'cong'hai
任圜,ren'huan
任可知,ren'ke'zhi
蓉城,rong'cheng
戎州文武坚,rong'zhou'wen'wu'jian
入草物,ru'cao'wu
阮知诲,ruan'zhi'hui
三阁图,san'ge'tu
三司,san'si
桑弘志,sang'hong'zhi
扫地和尚,sao'di'he'shang
僧贯休,seng'guan'xiu
僧可朋,seng'ke'peng
僧仁显,seng'ren'xian
僧昙城,seng'tan'cheng
僧晓峦,seng'xiao'luan
僧晓微,seng'xiao'wei
僧志广,seng'zhi'guang
僧子朗,seng'zi'lang
沙延祚,sha'yan'zuo
山南西道,shan'nan'xi'dao
山行章,shan'xing'zhang
上官进,shang'guan'jin
申天师,shen'tian'shi
石奉頵,shi'feng'yun
石敬瑭,shi'jing'tang
石恪昌,shi'ke'chang
时来天地皆同力,shi'lai'tian'di'jie'tong'li
舐伤口,shi'shang'kou
十四万人齐解甲,shi'si'wan'ren'qi'jie'jia
世修降表李家,shi'xiu'xiang'biao'li'jia
史延德,shi'yan'de
石頵,shi'yun
石潀,shi'zong
蜀王,shu'wang
蜀州,shu'zhou
蜀州周德权,shu'zhou'zhou'de'quan
司马卿,si'ma'qing
四十九,si'shi'jiu
宋承蕴,song'cheng'yun
宋从会,song'cong'hui
宋道弼,song'dao'bi
宋光葆,song'guang'bao
宋光浦,song'guang'pu
宋光嗣,song'guang'si
宋王,song'wang
宋行能,song'xing'neng
宋艺,song'yi
苏顺妃,su'shun'fei
苏愿,su'yuan
随驾五都,sui'jia'wu'dou
遂王,sui'wang
遂州,sui'zhou
孙逢吉,sun'feng'ji
孙汉韶,sun'han'shao
孙降衷,sun'jiang'zhong
孙钦,sun'qin
孙遇,sun'yu
唐道袭,tang'dao'xi
唐景思,tang'jing'si
唐文扆,tang'wen'yi
唐文裔,tang'wen'yi
唐友通,tang'you'tong
滕昌祐,teng'chang'you
天策府,tian'ce'fu
田淳,tian'chun
田昉,tian'fang
天汉,tian'han
田令孜,tian'ling'zi
田绍斌,tian'shao'bin
田师侃,tian'shi'kan
通正,tong'zheng
万岁县凤凰,wan'sui'xian'feng'huang
万州,wan'zhou
王保晦,wang'bao'hui
王贲,wang'ben
王承纲,wang'cheng'gang
王承检,wang'cheng'jian
王承鉴,wang'cheng'jian
王承捷,wang'cheng'jie
王承朴,wang'cheng'pu
王承骞,wang'cheng'qian
王承祀,wang'cheng'si
王承祧,wang'cheng'tiao
王承休,wang'cheng'xiu
王承勋,wang'cheng'xun
王承肇,wang'cheng'zhao
王处回,wang'chu'hui
王鄂,wang'e
王归,wang'gui
王行本,wang'hang'ben
王弘贽,wang'hong'zhi
王环,wang'huan
王晖,wang'hui
王建,wang'jian
王建肇,wang'jian'zhao
王景崇,wang'jing'chong
王锴,wang'kai
王茂权,wang'mao'quan
王帽仙,wang'mao'xian
王扑,wang'pu
王虔裕,wang'qian'yu
王全斌,wang'quan'bin
王仁赡,wang'ren'shan
王仁裕,wang'ren'yu
王思同,wang'si'tong
王万弘,wang'wan'hong
望仙,wang'xian
王先成,wang'xian'cheng
王衍,wang'yan
王延羲,wang'yan'xi
王彦铢,wang'yan'zhu
王鹞,wang'yao
王殷,wang'yin
王元膺,wang'yuan'ying
王藻,wang'zao
王钊,wang'zhao
王昭远,wang'zhao'yuan
王中孚,wang'zhong'fu
王宗黯,wang'zong'an
王宗本,wang'zong'ben
王宗弼,wang'zong'bi
王宗弁,wang'zong'bian
王宗播,wang'zong'bo
王宗俦,wang'zong'chou
王宗涤,wang'zong'di
王宗鼎,wang'zong'ding
王宗铎,wang'zong'duo
王宗锷,wang'zong'e
王宗范,wang'zong'fan
王宗汾,wang'zong'fen
王宗翰,wang'zong'han
王宗浩,wang'zong'hao
王宗贺,wang'zong'he
王宗宏,wang'zong'hong
王宗鐬,wang'zong'hui
王宗佶,wang'zong'ji
王宗纪,wang'zong'ji
王宗杰,wang'zong'jie
王宗谨,wang'zong'jin
王宗矩,wang'zong'ju
王宗侃,wang'zong'kan
王宗夔,wang'zong'kui
王宗朗,wang'zong'lang
王宗辂,wang'zong'lu
王宗鲁,wang'zong'lu
王宗勉,wang'zong'mian
王宗平,wang'zong'ping
王宗仁,wang'zong'ren
王宗儒,wang'zong'ru
王宗阮,wang'zong'ruan
王宗汭,wang'zong'rui
王宗绍,wang'zong'shao
王宗寿,wang'zong'shou
王宗特,wang'zong'te
王宗绾,wang'zong'wan
王宗伟,wang'zong'wei
王宗威,wang'zong'wei
王宗渥,wang'zong'wo
王宗宪,wang'zong'xian
王宗信,wang'zong'xin
王宗勋,wang'zong'xun
王宗训,wang'zong'xun
王宗俨,wang'zong'yan
王宗晏,wang'zong'yan
王宗衍,wang'zong'yan
王宗瑶,wang'zong'yao
王宗懿,wang'zong'yi
王宗裔,wang'zong'yi
王宗膺,wang'zong'ying
王宗佑,wang'zong'you
王宗祐,wang'zong'you
王宗昱,wang'zong'yu
王宗裕,wang'zong'yu
王宗泽,wang'zong'ze
王宗智,wang'zong'zhi
魏承班,wei'cheng'ban
韦昉,wei'fang
韦妃,wei'fei
韦嘏,wei'gu
韦谷,wei'gu
魏弘夫,wei'hong'fu
韦见素,wei'jian'su
危脑帽,wei'nao'mao
卫王,wei'wang
慰问军民诏书,wei'wen'jun'min'zhao'shu
韦巽,wei'xun
韦元妃,wei'yuan'fei
韦昭度,wei'zhao'du
维州,wei'zhou
韦庄,wei'zhuang
文谷,wen'gu
文景琛,wen'jing'chen
温顗,wen'yi
文州,wen'zhou
武成,wu'cheng
武弘礼,wu'hong'li
武侯庙,wu'hou'miao
武虔裕,wu'qian'yu
武守谦,wu'shou'qian
毋守素,wu'shou'su
武信军,wu'xin'jun
武漳,wu'zhang
武璋,wu'zhang
毋昭裔,wu'zhao'yi
夏侯延祐,xia'hou'yan'you
夏鲁奇,xia'lu'qi
咸康,xian'kang
向训,xiang'xun
向延嗣,xiang'yan'si
向瓒,xiang'zan
萧夫人,xiao'fu'ren
萧怀武,xiao'huai'wu
谢承恩,xie'cheng'en
谢从本,xie'cong'ben
谢鍠,xie'huang
写生珍禽图,xie'sheng'zhen'qin'tu
新年纳余庆嘉节号长春,xin'nian'na'yu'qing'jia'jie'hao'chang'chun
信王,xin'wang
行台,xing'tai
星宿山,xing'xiu'shan
幸寅逊,xing'yin'xun
许存,xu'cun
徐德昌,xu'de'chang
徐耕,xu'geng
徐公鉥,xu'gong'shu
徐光溥,xu'guang'pu
徐慧妃,xu'hui'fei
许寂,xu'ji
徐简夫,xu'jian'fu
徐淑妃,xu'shu'fei
徐太后,xu'tai'hou
徐贤妃,xu'xian'fei
徐延琼,xu'yan'qiong
徐瑶,xu'yao
薛王,xue'wang
荀咸乂,xun'xian'yi
雅王,ya'wang
严璘,yan'lin
严氏,yan'shi
严旭,yan'xu
阎选,yan'xuan
严遵美,yan'zun'mei
杨玢,yang'fen
杨复恭,yang'fu'gong
杨复光,yang'fu'guang
杨汉宾,yang'han'bin
杨九龄,yang'jiu'ling
杨蠲,yang'juan
杨令芝,yang'ling'zhi
杨茂实,yang'mao'shi
杨千度,yang'qian'du
杨儒,yang'ru
杨晟,yang'sheng
杨师立,yang'shi'li
杨守厚,yang'shou'hou
杨守亮,yang'shou'liang
杨守信,yang'shou'xin
杨守贞,yang'shou'zhen
杨守忠,yang'shou'zhong
杨仙公,yang'xian'gong
杨勋,yang'xun
杨义方,yang'yi'fang
杨子迁,yang'zi'qian
杨子实,yang'zi'shi
杨子钊,yang'zi'zhao
姚洪,yao'hong
伊审征,yi'shen'zheng
义兴门,yi'xing'men
尹鹗,yin'e
永平,yong'ping
庾冰,yu'bing
庾传昌,yu'chuan'chang
庾传素,yu'chuan'su
庾亮,yu'liang
玉楼春,yu'lou'chun
庾凝绩,yu'ning'ji
虞洮,yu'tao
庾翼,yu'yi
元璝,yuan'gui
元瓌,yuan'gui
袁彦超,yuan'yan'chao
运去英雄不自由,yun'qu'ying'xiong'bu'zi'you
皂荚,zao'jia
张承简,zhang'cheng'jian
张打胸,zhang'da'xiong
张道古,zhang'dao'gu
张扶,zhang'fu
张格,zhang'ge
张公铎,zhang'gong'duo
张贵妃,zhang'gui'fei
张环,zhang'huan
张劼,zhang'jie
章九龄,zhang'jiu'ling
张居翰,zhang'ju'han
张筠,zhang'jun
张立,zhang'li
张琳,zhang'lin
张蠙,zhang'pin
张虔裕,zhang'qian'yu
张虔钊,zhang'qian'zhao
张勍,zhang'qing
张士乔,zhang'shi'qiao
张守进,zhang'shou'jin
张太华,zhang'tai'hua
张廷翰,zhang'ting'han
张廷伟,zhang'ting'wei
张玟,zhang'wen
张武,zhang'wu
张业,zhang'ye
掌聿脩,zhang'yu'xiu
张元,zhang'yuan
张云,zhang'yun
张造,zhang'zao
赵崇浦,zhao'chong'pu
赵崇韬,zhao'chong'tao
赵崇祚,zhao'chong'zuo
赵鍠,zhao'huang
赵季良,zhao'ji'liang
赵匡赞,zhao'kuang'zan
赵玭,zhao'pin
赵甤,zhao'rui
赵廷隐,zhao'ting'yin
赵王,zhao'wang
赵文拱,zhao'wen'gong
赵温圭,zhao'wen'gui
赵武,zhao'wu
赵雄武,zhao'xiong'wu
赵彦韬,zhao'yan'tao
赵延乂,zhao'yan'yi
赵在礼,zhao'zai'li
赵章,zhao'zhang
赵忠义,zhao'zhong'yi
郑畋,zheng'tian
郑渥,zheng'wo
郑顼,zheng'xu
郑艺,zheng'yi
仲廷预,zhong'ting'yu
忠州,zhong'zhou
周德权,zhou'de'quan
周皇后,zhou'huang'hou
周庠,zhou'xiang
周雄,zhou'xiong
周彦禋,zhou'yan'yin
周彦章,zhou'yan'zhang
周仲明,zhou'zhong'ming
朱弘昭,zhu'hong'zhao
朱偓,zhu'wo
朱先生,zhu'xian'sheng
朱友恭,zhu'you'gong
朱友谦,zhu'you'qian
