阿巴泰,a'ba'tai
佟国维,tong'guo'wei
童容海,tong'rong'hai
佟养甲,tong'yang'jia
佟养性,tong'yang'xing
佟养真,tong'yang'zhen
同治,tong'zhi
土城子,tu'cheng'zi
图海,tu'hai
土谢图汗,tu'xie'tu'han
涂镇兴,tu'zhen'xing
托津,tuo'jin
瓦尔喀,wa'er'ka
万正色,wan'zheng'se
汪安钧,wang'an'jun
王亶望,wang'dan'wang
王德榜,wang'de'bang
王登联,wang'deng'lian
王鼎,wang'ding
王辅臣,wang'fu'chen
王国栋,wang'guo'dong
汪海洋,wang'hai'yang
王鸿绪,wang'hong'xu
王化贞,wang'hua'zhen
王继贞,wang'ji'zhen
王杰,wang'jie
王进宝,wang'jin'bao
王伦,wang'lun
王屏藩,wang'ping'fan
王士俊,wang'shi'jun
王锡朋,wang'xi'peng
王新民,wang'xin'min
王宣,wang'xuan
王延赞,wang'yan'zan
王懿德,wang'yi'de
汪由敦,wang'you'dun
王有龄,wang'you'ling
王錱,wang'zhen
韦昌辉,wei'chang'hui
魏光焘,wei'guang'tao
韦俊,wei'jun
卫汝成,wei'ru'cheng
卫汝贵,wei'ru'gui
韦以德,wei'yi'de
威远,wei'yuan
温福,wen'fu
文俊,wen'jun
文庆,wen'qing
文绶,wen'shou
文祥,wen'xiang
翁同龢,weng'tong'he
翁同爵,weng'tong'jue
渥巴锡,wo'ba'xi
吴半生,wu'ban'sheng
吴长庆,wu'chang'qing
乌尔古岱,wu'er'gu'dai
吴国贵,wu'guo'gui
乌碣岩,wu'jie'yan
乌碣岩大战,wu'jie'yan'da'zhan
吴敬荣,wu'jing'rong
伍拉纳,wu'la'na
乌兰巴雅尔,wu'lan'ba'ya'er
武明良,wu'ming'liang
武纳格,wu'na'ge
吴彭年,wu'peng'nian
吴如孝,wu'ru'xiao
吴三桂,wu'san'gui
吴尚贤,wu'shang'xian
吴世琮,wu'shi'cong
吴文镕,wu'wen'rong
吴兴祚,wu'xing'zuo
吴熊光,wu'xiong'guang
伍延芳,wu'yan'fang
武毅军,wu'yi'jun
吴应期,wu'ying'qi
吴毓芬,wu'yu'fen
吴毓兰,wu'yu'lan
吴育仁,wu'yu'ren
乌扎拉村,wu'zha'la'cun
吴之茂,wu'zhi'mao
席宝田,xi'bao'tian
夏国相,xia'guo'xiang
咸丰,xian'feng
祥厚,xiang'hou
萧朝贵,xiao'chao'gui
孝诚仁,xiao'cheng'ren
孝慈高,xiao'ci'gao
孝德显,xiao'de'xian
孝端文,xiao'duan'wen
萧孚泗,xiao'fu'si
孝恭仁,xiao'gong'ren
孝和睿,xiao'he'rui
孝惠章,xiao'hui'zhang
孝静成,xiao'jing'cheng
孝敬宪,xiao'jing'xian
孝康章,xiao'kang'zhang
孝烈武,xiao'lie'wu
孝穆成,xiao'mu'cheng
萧启江,xiao'qi'jiang
孝钦显,xiao'qin'xian
萧庆高,xiao'qing'gao
萧庆衍,xiao'qing'yan
孝全成,xiao'quan'cheng
孝慎成,xiao'shen'cheng
孝圣宪,xiao'sheng'xian
孝淑睿,xiao'shu'rui
孝献,xiao'xian
孝贤纯,xiao'xian'chun
孝仪纯,xiao'yi'chun
孝懿仁,xiao'yi'ren
孝昭仁,xiao'zhao'ren
孝哲毅,xiao'zhe'yi
孝贞显,xiao'zhen'xian
孝庄文,xiao'zhuang'wen
谢朝恩,xie'chao'en
谢济世,xie'ji'shi
熊赐履,xiong'ci'lv
熊廷弼,xiong'ting'bi
徐邦道,xu'bang'dao
徐本,xu'ben
