阿味,a'wei
豆蔻白,dou'kou'bai
独一味,du'yi'wei
杜仲,du'zhong
杜仲丝生杜仲,du'zhong'si'sheng'du'zhong
杜仲炭,du'zhong'tan
杜仲叶,du'zhong'ye
煅磁石,duan'ci'shi
煅浮海石,duan'fu'hai'shi
煅蛤壳,duan'ge'ke
煅龙齿,duan'long'chi
煅龙骨,duan'long'gu
煅牡蛎,duan'mu'li
煅青礞石,duan'qing'meng'shi
煅石膏,duan'shi'gao
煅石决明,duan'shi'jue'ming
煅瓦楞子,duan'wa'leng'zi
煅赭石,duan'zhe'shi
煅自然铜,duan'zi'ran'tong
鹅不食草,e'bu'shi'cao
鹅管石,e'guan'shi
阿胶,e'jiao
阿胶丁,e'jiao'ding
阿胶珠,e'jiao'zhu
莪术,e'zhu
儿茶,er'cha
耳环石斛,er'huan'shi'hu
法半夏,fa'ban'xia
翻白草,fan'bai'cao
防风,fang'feng
防风炭,fang'feng'tan
防己,fang'ji
粉葛根,fen'ge'gen
分心木,fen'xin'mu
蜂房块,feng'fang'kuai
凤凰衣,feng'huang'yi
凤尾草,feng'wei'cao
凤仙花,feng'xian'hua
凤眼草,feng'yan'cao
佛手,fo'shou
佛手花,fo'shou'hua
麸炒山药,fu'chao'shan'yao
浮海石,fu'hai'shi
茯苓,fu'ling
茯苓粉,fu'ling'fen
茯苓皮,fu'ling'pi
伏龙肝,fu'long'gan
覆盆子,fu'pen'zi
浮萍草,fu'ping'cao
芙蓉叶,fu'rong'ye
茯神,fu'shen
茯神木,fu'shen'mu
富硒灵芝破壁孢子粉,fu'xi'ling'zhi'po'bi'bao'zi'fen
浮小麦,fu'xiao'mai
甘草,gan'cao
干蟾,gan'chan
干姜,gan'jiang
干姜炒,gan'jiang'chao
干漆,gan'qi
干漆炭,gan'qi'tan
甘松,gan'song
藁本,gao'ben
高丽红参,gao'li'hong'shen
葛根,ge'gen
葛根粉,ge'gen'fen
葛花,ge'hua
蛤蚧,ge'jie
蛤蚧大,ge'jie'da
蛤蚧小,ge'jie'xiao
蛤壳,ge'ke
公丁香,gong'ding'xiang
貢菊,gong'ju
贡菊,gong'ju
贡菊花,gong'ju'hua
功劳叶,gong'lao'ye
枸骨叶,gou'gu'ye
枸杞子,gou'qi'zi
狗肾,gou'shen
钩藤,gou'teng
谷精草,gu'jing'cao
谷精珠,gu'jing'zhu
骨碎补,gu'sui'bu
骨碎补烫,gu'sui'bu'tang
谷芽,gu'ya
瓜蒌皮,gua'lou'pi
瓜蒌丝,gua'lou'si
瓜蒌子,gua'lou'zi
官桂,guan'gui
关黄柏,guan'huang'bai
关黄柏炭,guan'huang'bai'tan
贯众,guan'zhong
广金钱草,guang'jin'qian'cao
光枝红参,guang'zhi'hong'shen
桂花,gui'hua
桂花作废,gui'hua'zuo'fei
龟甲,gui'jia
龟甲胶,gui'jia'jiao
鬼见愁,gui'jian'chou
鬼箭羽,gui'jian'yu
桂圆暖茶,gui'yuan'nuan'cha
鬼针草,gui'zhen'cao
桂枝,gui'zhi
蛤蟆草,ha'ma'cao
蛤蟆油,ha'ma'you
海风藤,hai'feng'teng
海浮石,hai'fu'shi
海狗,hai'gou
海狗肾,hai'gou'shen
海狗肾鞭,hai'gou'shen'bian
海龙,hai'long
海螵蛸,hai'piao'xiao
海桐皮,hai'tong'pi
海藻,hai'zao
旱莲草,han'lian'cao
寒水石,han'shui'shi
杭菊,hang'ju
杭菊花,hang'ju'hua
荷梗,he'geng
合欢花,he'huan'hua
合欢皮,he'huan'pi
鹤虱,he'shi
核桃,he'tao
荷叶,he'ye
荷叶炭,he'ye'tan
诃子肉,he'zi'rou
黑豆,hei'dou
黑豆皮,hei'dou'pi
黑胡椒,hei'hu'jiao
黑蚂蚁,hei'ma'yi
黑芝,hei'zhi
黑芝麻,hei'zhi'ma
红豆蔻,hong'dou'kou
红花,hong'hua
红景天,hong'jing'tian
红蚂蚁,hong'ma'yi
红芪,hong'qi
红参,hong'shen
红参片,hong'shen'pian
红参小,hong'shen'xiao
红藤,hong'teng
红雪茶,hong'xue'cha
红药子,hong'yao'zi
厚朴,hou'pu
厚朴花,hou'pu'hua
虎耳草,hu'er'cao
胡黄连,hu'huang'lian
槲寄生,hu'ji'sheng
琥珀,hu'po
琥珀粉,hu'po'fen
琥珀块,hu'po'kuai
虎牙草,hu'ya'cao
虎仗,hu'zhang
虎杖,hu'zhang
桦褐孔菌片,hua'he'kong'jun'pian
花椒,hua'jiao
花椒目,hua'jiao'mu
化橘红,hua'ju'hong
花蕊石,hua'rui'shi
花生衣,hua'sheng'yi
滑石粉,hua'shi'fen
滑石块,hua'shi'kuai
槐花,huai'hua
槐花炭,huai'hua'tan
槐角,huai'jiao
槐角蜜,huai'jiao'mi
槐米,huai'mi
怀牛膝,huai'niu'xi
黄瓜子,huang'gua'zi
黄精,huang'jing
黄精酒,huang'jing'jiu
黄连,huang'lian
黄芪,huang'qi
黄芪粉,huang'qi'fen
黄芩片,huang'qin'pian
黄药子,huang'yao'zi
火麻仁,huo'ma'ren
藿香,huo'xiang
藿香广,huo'xiang'guang
荠菜花,ji'cai'hua
鸡骨草,ji'gu'cao
鸡冠花,ji'guan'hua
鸡冠花子,ji'guan'hua'zi
蒺藜炒,ji'li'chao
鸡内金,ji'nei'jin
鸡肉料,ji'rou'liao
急性子,ji'xing'zi
积雪草,ji'xue'cao
鸡血藤,ji'xue'teng
鸡血藤片,ji'xue'teng'pian
健曲,jian'qu
建曲,jian'qu
姜半夏,jiang'ban'xia
僵蚕,jiang'can
姜厚朴,jiang'hou'pu
姜黄,jiang'huang
姜黄片,jiang'huang'pian
降香,jiang'xiang
焦白芍,jiao'bai'shao
焦白术,jiao'bai'zhu
焦槟榔,jiao'bing'lang
焦苍术,jiao'cang'zhu
焦当归,jiao'dang'gui
焦稻芽,jiao'dao'ya
绞股蓝,jiao'gu'lan
焦谷芽,jiao'gu'ya
焦建曲,jiao'jian'qu
焦麦芽,jiao'mai'ya
焦山药,jiao'shan'yao
焦山楂炒,jiao'shan'zha'chao
焦神曲,jiao'shen'qu
焦酸枣仁,jiao'suan'zao'ren
焦桅子,jiao'wei'zi
焦栀子,jiao'zhi'zi
桔梗片,jie'geng'pian
锦灯笼,jin'deng'long
金佛草,jin'fo'cao
金果榄,jin'guo'lan
金菊花,jin'ju'hua
金莲花,jin'lian'hua
金礞石,jin'meng'shi
金牛草,jin'niu'cao
金钱小白花蛇,jin'qian'xiao'bai'hua'she
金荞麦,jin'qiao'mai
金银花,jin'yin'hua
金银花炭,jin'yin'hua'tan
金银藤,jin'yin'teng
金樱子,jin'ying'zi
荆芥,jing'jie
荆芥穗,jing'jie'sui
荆芥穗炭,jing'jie'sui'tan
荆芥炭,jing'jie'tan
京香墨,jing'xiang'mo
酒白芍,jiu'bai'shao
酒白芍片,jiu'bai'shao'pian
救必应,jiu'bi'ying
韭菜子,jiu'cai'zi
酒苁蓉,jiu'cong'rong
酒大黄,jiu'da'huang
酒当归,jiu'dang'gui
酒黄芩,jiu'huang'qin
九节菖蒲,jiu'jie'chang'pu
酒山萸肉,jiu'shan'yu'rou
酒乌梢蛇,jiu'wu'shao'she
九香虫,jiu'xiang'chong
桔核,ju'he
桔红化橘红,ju'hong'hua'ju'hong
菊花,ju'hua
桔络,ju'luo
橘络,ju'luo
菊米,ju'mi
巨胜子,ju'sheng'zi
桔叶,ju'ye
卷柏,juan'bai
决明子,jue'ming'zi
康乃馨,kang'nai'xin
壳砂仁,ke'sha'ren
苦丁茶,ku'ding'cha
苦丁香,ku'ding'xiang
枯矾,ku'fan
枯矾煅,ku'fan'duan
苦瓜片,ku'gua'pian
苦楝皮,ku'lian'pi
苦楝子,ku'lian'zi
苦参,ku'shen
苦石莲,ku'shi'lian
葵树子,kui'shu'zi
昆布,kun'bu
老鹳草,lao'guan'cao
雷公藤,lei'gong'teng
雷丸,lei'wan
荔枝核,li'zhi'he
莲房,lian'fang
连房,lian'fang
莲房炭,lian'fang'tan
连翘,lian'qiao
莲须,lian'xu
莲子,lian'zi
莲子肉,lian'zi'rou
莲子心,lian'zi'xin
廖大青叶,liao'da'qing'ye
零陵香,ling'ling'xiang
凌霄花,ling'xiao'hua
羚羊粉,ling'yang'fen
羚羊角粉,ling'yang'jiao'fen
羚羊角丝,ling'yang'jiao'si
灵芝,ling'zhi
灵芝孢子粉,ling'zhi'bao'zi'fen
灵芝顶级,ling'zhi'ding'ji
灵芝个,ling'zhi'ge
灵芝片,ling'zhi'pian
灵芝破壁孢子粉,ling'zhi'po'bi'bao'zi'fen
硫磺,liu'huang
刘寄奴,liu'ji'nu
六一散,liu'yi'san
六月雪,liu'yue'xue
龙胆草,long'dan'cao
龙葵,long'kui
龙利叶,long'li'ye
龙血竭,long'xue'jie
龙眼肉,long'yan'rou
龙眼肉桂圆肉,long'yan'rou'gui'yuan'rou
龙眼肉核,long'yan'rou'he
蝼蛄,lou'gu
芦巴子,lu'ba'zi
鹿鞭,lu'bian
炉甘石,lu'gan'shi
芦根,lu'gen
鹿含草,lu'han'cao
芦荟,lu'hui
鹿角镑,lu'jiao'bang
鹿角胶,lu'jiao'jiao
鹿角片,lu'jiao'pian
鹿角霜,lu'jiao'shuang
鹿筋,lu'jin
路路通,lu'lu'tong
鹿茸,lu'rong
鹿茸粉,lu'rong'fen
鹿茸粉片,lu'rong'fen'pian
鹿茸片,lu'rong'pian
鹿茸片白沙片,lu'rong'pian'bai'sha'pian
鹿茸片蜡片,lu'rong'pian'la'pian
鹿茸三合一鹿鞭片不老草鹿茸片,lu'rong'san'he'yi'lu'bian'pian'bu'lao'cao'lu'rong'pian
鹿茸血片,lu'rong'xue'pian
鹿胎,lu'tai
鹿尾,lu'wei
鹿衔草,lu'xian'cao
鹿血,lu'xue
罗布麻叶,luo'bu'ma'ye
罗汉果,luo'han'guo
络石藤,luo'shi'teng
律草,lv'cao
绿矾,lv'fan
马鞭草,ma'bian'cao
马勃,ma'bo
马齿苋,ma'chi'xian
马兜铃,ma'dou'ling
马兜铃炙,ma'dou'ling'zhi
麻黄,ma'huang
麻黄根,ma'huang'gen
麻黄蜜,ma'huang'mi
马舌子,ma'she'zi
马尾莲,ma'wei'lian
蚂蚁黑,ma'yi'hei
蚂蚁红,ma'yi'hong
麦冬,mai'dong
蔓荆子生,man'jing'zi'sheng
满山红,man'shan'hong
芒硝,mang'xiao
毛冬青,mao'dong'qing
猫须草,mao'xu'cao
猫眼草,mao'yan'cao
猫爪草,mao'zhao'cao
玫瑰花,mei'gui'hua
玫瑰花粉,mei'gui'hua'fen
玫瑰茄,mei'gui'qie
玫瑰清茶,mei'gui'qing'cha
梅花,mei'hua
梅花鹿鞭片,mei'hua'lu'bian'pian
梅花鹿茸,mei'hua'lu'rong
梅花鹿茸红粉片,mei'hua'lu'rong'hong'fen'pian
梅花鹿茸片,mei'hua'lu'rong'pian
梅花鹿茸血片,mei'hua'lu'rong'xue'pian
没食子,mei'shi'zi
没药,mei'yao
虻虫,meng'chong
蜜款冬花,mi'kuan'dong'hua
蜜蒙花,mi'meng'hua
蜜枇杷叶,mi'pi'pa'ye
蜜桑白皮,mi'sang'bai'pi
蜜旋覆花,mi'xuan'fu'hua
蜜紫苑,mi'zi'yuan
绵萆薢,mian'bi'xie
绵马贯众,mian'ma'guan'zhong
明天麻,ming'tian'ma
墨旱莲,mo'han'lian
茉莉花,mo'li'hua
木鳖子,mu'bie'zi
牡丹花,mu'dan'hua
牡丹皮,mu'dan'pi
牡丹皮炭,mu'dan'pi'tan
母丁香,mu'ding'xiang
木瓜,mu'gua
木蝴蝶,mu'hu'die
木槿皮,mu'jin'pi
木蹄层孔菌,mu'ti'ceng'kong'jun
木通,mu'tong
木香,mu'xiang
木腰子,mu'yao'zi
木贼,mu'zei
南瓜子,nan'gua'zi
南沙参,nan'sha'shen
南五味子炙,nan'wu'wei'zi'zhi
嫩小草,nen'xiao'cao
柠檬,ning'meng
牛蒡子,niu'bang'zi
牛蒡子炒,niu'bang'zi'chao
牛黄天然,niu'huang'tian'ran
牛黄整天然,niu'huang'zheng'tian'ran
牛角块,niu'jiao'kuai
牛肉料,niu'rou'liao
牛膝,niu'xi
女贞子酒,nv'zhen'zi'jiu
藕节,ou'jie
藕节炭,ou'jie'tan
胖大海,pang'da'hai
炮姜,pao'jiang
佩兰,pei'lan
硼砂,peng'sha
枇杷叶,pi'pa'ye
片姜黄,pian'jiang'huang
平盖灵芝,ping'gai'ling'zhi
平盖灵芝片,ping'gai'ling'zhi'pian
蒲公英,pu'gong'ying
蒲黄,pu'huang
蒲黄炭,pu'huang'tan
杞菊花茶,qi'ju'hua'cha
祁蛇,qi'she
蕲蛇,qi'she
七叶草,qi'ye'cao
茜草,qian'cao
前胡,qian'hu
千里光,qian'li'guang
千年健,qian'nian'jian
千日红,qian'ri'hong
芡实,qian'shi
芡实粉,qian'shi'fen
茄根,qie'gen
秦艽,qin'jiao
秦皮,qin'pi
清半夏,qing'ban'xia
青黛,qing'dai
青风藤,qing'feng'teng
青果,qing'guo
青蒿,qing'hao
青礞石,qing'meng'shi
青蒙石,qing'meng'shi
青皮,qing'pi
青箱子,qing'xiang'zi
青葙子,qing'xiang'zi
秋石,qiu'shi
秋石块,qiu'shi'kuai
瞿麦,qu'mai
拳参,quan'can
拳参草河车,quan'can'cao'he'che
全虫全蝎,quan'chong'quan'xie
全蝎,quan'xie
全蝎粉,quan'xie'fen
忍冬藤,ren'dong'teng
人工牛黄,ren'gong'niu'huang
人参花,ren'shen'hua
人参花蕾,ren'shen'hua'lei
人参叶,ren'shen'ye
肉苁蓉炙大云,rou'cong'rong'zhi'da'yun
肉豆蔻肉蔻,rou'dou'kou'rou'kou
肉桂,rou'gui
肉桂子,rou'gui'zi
蕤仁,rui'ren
三棵针,san'ke'zhen
三棱醋,san'leng'cu
三七粉,san'qi'fen
三七个,san'qi'ge
三七花,san'qi'hua
三七片,san'qi'pian
桑白皮,sang'bai'pi
桑寄生,sang'ji'sheng
桑螵蛸,sang'piao'xiao
桑椹,sang'shen
桑叶,sang'ye
桑枝,sang'zhi
砂仁,sha'ren
沙苑子,sha'yuan'zi
山慈姑毛慈菇,shan'ci'gu'mao'ci'gu
山慈菇毛慈茹,shan'ci'gu'mao'ci'ru
山棍草,shan'gun'cao
山甲珠,shan'jia'zhu
山奈,shan'nai
山香圆叶,shan'xiang'yuan'ye
山药,shan'yao
山药粉,shan'yao'fen
山药光,shan'yao'guang
山芋肉,shan'yu'rou
山萸肉,shan'yu'rou
山楂,shan'zha
山楂茶,shan'zha'cha
山楂粉,shan'zha'fen
山楂焦,shan'zha'jiao
山楂片,shan'zha'pian
山楂片炒,shan'zha'pian'chao
山楂生,shan'zha'sheng
蛇床子,she'chuang'zi
射干,she'gan
蛇莓,she'mei
蛇肾,she'shen
蛇蜕,she'tui
麝香,she'xiang
肾茶,shen'cha
伸筋草,shen'jin'cao
生白附子,sheng'bai'fu'zi
生白术,sheng'bai'zhu
生磁石,sheng'ci'shi
生地炭,sheng'di'tan
生冬花,sheng'dong'hua
生杜仲,sheng'du'zhong
生蛤粉,sheng'ge'fen
生槐米,sheng'huai'mi
生黄芪片,sheng'huang'qi'pian
生姜皮,sheng'jiang'pi
生决明子,sheng'jue'ming'zi
生龙齿,sheng'long'chi
生龙骨,sheng'long'gu
升麻,sheng'ma
生麦芽,sheng'mai'ya
生牡蛎,sheng'mu'li
生蒲黄,sheng'pu'huang
生晒参,sheng'shai'shen
生晒参片,sheng'shai'shen'pian
生山楂,sheng'shan'zha
生神曲,sheng'shen'qu
生石膏,sheng'shi'gao
生石决明,sheng'shi'jue'ming
生首乌,sheng'shou'wu
生瓦楞,sheng'wa'leng
生赭石,sheng'zhe'shi
生栀子,sheng'zhi'zi
生紫石英,sheng'zi'shi'ying
石菖蒲,shi'chang'pu
柿蒂,shi'di
石斛,shi'hu
石见穿,shi'jian'chuan
石决明,shi'jue'ming
使君子,shi'jun'zi
石莲子,shi'lian'zi
石榴皮,shi'liu'pi
石楠藤,shi'nan'teng
石楠叶,shi'nan'ye
石上柏,shi'shang'bai
柿霜,shi'shuang
石韦,shi'wei
首乌藤,shou'wu'teng
熟大黄,shu'da'huang
熟地黄,shu'di'huang
熟地黄炭,shu'di'huang'tan
鼠妇虫,shu'fu'chong
舒筋草,shu'jin'cao
水半夏,shui'ban'xia
水飞蓟,shui'fei'ji
水红花子,shui'hong'hua'zi
水牛角,shui'niu'jiao
水牛角粉,shui'niu'jiao'fen
水牛角丝,shui'niu'jiao'si
丝瓜络,si'gua'luo
四季青,si'ji'qing
松贝,song'bei
松花粉,song'hua'fen
松节,song'jie
松香,song'xiang
松针层孔菌,song'zhen'ceng'kong'jun
松针层孔菌片,song'zhen'ceng'kong'jun'pian
苏梗,su'geng
苏木,su'mu
苏馨花,su'xin'hua
酸枣仁,suan'zao'ren
酸枣仁炒,suan'zao'ren'chao
酸枣仁生,suan'zao'ren'sheng
娑罗子,suo'luo'zi
锁阳,suo'yang
锁阳炙,suo'yang'zhi
太子参,tai'zi'shen
檀香,tan'xiang
烫狗脊,tang'gou'ji
烫水蛭,tang'shui'zhi
桃花,tao'hua
桃仁,tao'ren
藤梨根,teng'li'gen
天冬,tian'dong
甜瓜子,tian'gua'zi
天花粉,tian'hua'fen
田基黄,tian'ji'huang
甜菊叶,tian'ju'ye
天葵子,tian'kui'zi
天龙,tian'long
天龙壁虎,tian'long'bi'hu
天麻,tian'ma
天麻个,tian'ma'ge
天麻片,tian'ma'pian
天南星,tian'nan'xing
天山雪菊,tian'shan'xue'ju
天山雪莲,tian'shan'xue'lian
天仙藤,tian'xian'teng
天仙子,tian'xian'zi
天竺黄人工合成,tian'zhu'huang'ren'gong'he'cheng
铁落,tie'luo
铁落花,tie'luo'hua
铁树叶,tie'shu'ye
葶苈子,ting'li'zi
铜绿,tong'lv
通天草水葱,tong'tian'cao'shui'cong
透骨草,tou'gu'cao
土贝母,tu'bei'mu
土鳖虫,tu'bie'chong
土大黄,tu'dai'huang
土茯苓,tu'fu'ling
土荆皮,tu'jing'pi
土元土鳖虫,tu'yuan'tu'bie'chong
土子,tu'zi
瓦楞子,wa'leng'zi
瓦松,wa'song
万年青卷柏,wan'nian'qing'juan'bai
王不留行,wang'bu'liu'xing
王不留行炒,wang'bu'liu'xing'chao
王不留行生,wang'bu'liu'xing'sheng
望江南籽,wang'jiang'nan'zi
望月砂,wang'yue'sha
委陵菜,wei'ling'cai
威灵仙,wei'ling'xian
煨肉豆蔻,wei'rou'dou'kou
温灸纯艾条,wen'jiu'chun'ai'tiao
五倍子,wu'bei'zi
无柄赤芝,wu'bing'chi'zhi
无柄赤芝大青山灵芝,wu'bing'chi'zhi'da'qing'shan'ling'zhi
无柄赤芝片大青山灵芝片,wu'bing'chi'zhi'pian'da'qing'shan'ling'zhi'pian
蜈蚣,wu'gong
乌骨藤,wu'gu'teng
无核金丝枣,wu'he'jin'si'zao
无核金丝枣特惠,wu'he'jin'si'zao'te'hui
五加皮,wu'jia'pi
五灵脂炒,wu'ling'zhi'chao
五灵脂生,wu'ling'zhi'sheng
乌梅,wu'mei
乌梅炭,wu'mei'tan
无名义,wu'ming'yi
梧桐子,wu'tong'zi
勿忘我,wu'wang'wo
五味子,wu'wei'zi
五味子醋,wu'wei'zi'cu
五味子生,wu'wei'zi'sheng
乌药,wu'yao
五指毛桃,wu'zhi'mao'tao
吴茱萸,wu'zhu'yu
吴茱萸炙,wu'zhu'yu'zhi
西瓜皮,xi'gua'pi
西瓜子,xi'gua'zi
西红花,xi'hong'hua
西红花藏,xi'hong'hua'cang
稀签草,xi'qian'cao
西青果,xi'qing'guo
喜树果,xi'shu'guo
细辛,xi'xin
西洋参,xi'yang'shen
西洋参粉,xi'yang'shen'fen
西洋参个,xi'yang'shen'ge
西洋参灵芝片,xi'yang'shen'ling'zhi'pian
西洋参鹿茸粉片组合,xi'yang'shen'lu'rong'fen'pian'zu'he
西洋参片,xi'yang'shen'pian
西洋参片红参片,xi'yang'shen'pian'hong'shen'pian
西洋参片纸盒,xi'yang'shen'pian'zhi'he
西洋参整支,xi'yang'shen'zheng'zhi
西洋参中短支,xi'yang'shen'zhong'duan'zhi
夏枯草,xia'ku'cao
夏天无,xia'tian'wu
鲜白人参,xian'bai'ren'shen
仙鹤草,xian'he'cao
仙茅,xian'mao
纤秀茶,xian'xiu'cha
香椿籽,xiang'chun'zi
香附醋,xiang'fu'cu
香加皮,xiang'jia'pi
香排草,xiang'pai'cao
香薷,xiang'ru
相思豆,xiang'si'dou
象牙屑,xiang'ya'xie
香橼,xiang'yuan
橡子,xiang'zi
小白花蛇,xiao'bai'hua'she
小海马,xiao'hai'ma
小茴香,xiao'hui'xiang
小蓟,xiao'ji
小蓟炭,xiao'ji'tan
小通草,xiao'tong'cao
小叶金钱草金钱草,xiao'ye'jin'qian'cao'jin'qian'cao
薤白,xie'bai
泻叶,xie'ye
辛夷花,xin'yi'hua
雄蚕蛾,xiong'can'e
熊胆粉,xiong'dan'fen
雄黑豆,xiong'hei'dou
徐长卿,xu'chang'qing
续断川断,xu'duan'chuan'duan
玄明粉,xuan'ming'fen
玄参,xuan'shen
血见愁,xue'jian'chou
血竭,xue'jie
血竭粉,xue'jie'fen
雪菊,xue'ju
