百货大楼,bai'huo'da'lou
任圩,ren'xu
三堤口,san'di'kou
三矿,san'kuang
三矿镇政府,san'kuang'zhen'zheng'fu
山河矿装,shan'he'kuang'zhuang
盛世商贸城,sheng'shi'shang'mao'cheng
世东医院,shi'dong'yi'yuan
市二幼,shi'er'you
十二中,shi'er'zhong
世纪广场,shi'ji'guang'chang
市教委,shi'jiao'wei
市农委,shi'nong'wei
食品科创大厦,shi'pin'ke'chuang'da'sha
市三小,shi'san'xiao
市五中,shi'wu'zhong
实验四小,shi'yan'si'xiao
市一中,shi'yi'zhong
市政府,shi'zheng'fu
双桥,shuang'qiao
水泥厂,shui'ni'chang
水泥厂学校,shui'ni'chang'xue'xiao
税务分局,shui'wu'fen'ju
孙谢庄,sun'xie'zhuang
特凿公司,te'zao'gong'si
体育馆,ti'yu'guan
天地人集团,tian'di'ren'ji'tuan
天宏集团,tian'hong'ji'tuan
天一中学,tian'yi'zhong'xue
土楼,tu'lou
万马相山庭院,wan'ma'xiang'shan'ting'yuan
温哥华城,wen'ge'hua'cheng
物价局,wu'jia'ju
物流中心,wu'liu'zhong'xin
污水处理厂,wu'shui'chu'li'chang
五星电器,wu'xing'dian'qi
西城村,xi'cheng'cun
曦强乳业,xi'qiang'ru'ye
西园中学,xi'yuan'zhong'xue
现代花园,xian'dai'hua'yuan
县加油站,xian'jia'you'zhan
县农贸,xian'nong'mao
县医院,xian'yi'yuan
相山公园,xiang'shan'gong'yuan
相山公园南门,xiang'shan'gong'yuan'nan'men
相山路菜市场,xiang'shan'lu'cai'shi'chang
相山区政府,xiang'shan'qu'zheng'fu
向阳锅炉厂,xiang'yang'guo'lu'chang
新立机电,xin'li'ji'dian
新兴实业公司,xin'xing'shi'ye'gong'si
行政服务中心,xing'zheng'fu'wu'zhong'xin
徐庄,xu'zhuang
烟草公司,yan'cao'gong'si
液化气站,ye'hua'qi'zhan
一环矿机,yi'huan'kuang'ji
印染厂,yin'ran'chang
鹰山路,ying'shan'lu
鹰山南路,ying'shan'nan'lu
余庄,yu'zhuang
张程庄,zhang'cheng'zhuang
张院,zhang'yuan
兆基家居城,zhao'ji'jia'ju'cheng
镇派出所,zhen'pai'chu'suo
郑岗孜,zheng'gang'zi
职防院,zhi'fang'yuan
职业技术学院,zhi'ye'ji'shu'xue'yuan
中北巴士公司,zhong'bei'ba'shi'gong'si
中城村,zhong'cheng'cun
中瑞批发市场,zhong'rui'pi'fa'shi'chang
中医院,zhong'yi'yuan
朱寨,zhu'zhai
总仓库,zong'cang'ku
总工会,zong'gong'hui
综合市场,zong'he'shi'chang
纵楼,zong'lou
