巴不留得,ba'bu'liu'de
洗衣板子,xi'yi'ban'zi
橡皮脸,xiang'pi'lian
小半拉橛儿,xiao'ban'la'jue'er
小虫一儿,xiao'chong'yi'er
小闺女,xiao'gui'nv
小毛孩,xiao'mao'hai
小毛毛,xiao'mao'mao
小毛头,xiao'mao'tou
小妮儿,xiao'ni'er
小妮子,xiao'ni'zi
小小虫,xiao'xiao'chong
鞋呱搭子,xie'gua'da'zi
蝎虎子,xie'hu'zi
写酒,xie'jiu
泻酒,xie'jiu
鞋靸子,xie'sa'zi
囟门子,xin'men'zi
牙狗,ya'gou
犽狗,ya'gou
牙子碱,ya'zi'jian
眼帘子,yan'lian'zi
眼檩子,yan'lin'zi
眼眉毛,yan'mei'mao
眼屎,yan'shi
洋碱,yang'jian
药芹,yao'qin
夜蝙蝠子,ye'bian'fu'zi
夜儿个,ye'er'ge
叶子,ye'zi
衣胞,yi'bao
衣等,yi'deng
胰子,yi'zi
油递子,you'di'zi
油舀子,you'yao'zi
油子,you'zi
玉榴,yu'liu
雨头里,yu'tou'li
圆坟,yuan'fen
愿月儿,yuan'yue'er
月白,yue'bai
匀和,yun'huo
匀溜,yun'liu
粘牙,zhan'ya
枕褡布子,zhen'da'bu'zi
真管,zhen'guan
真管弹,zhen'guan'tan
枕头胆,zhen'tou'dan
枕头馍,zhen'tou'mo
枕头瓤子,zhen'tou'rang'zi
真沾,zhen'zhan
猪尿脬,zhu'sui'pao
猪旺子,zhu'wang'zi
走了,zou'le
昨儿个,zuo'er'ge
作假,zuo'jia
作心,zuo'xin
咗心,zuo'xin
