爱士卒,ai'shi'zu
臣本布衣,chen'ben'bu'yi
臣不胜受恩感激,chen'bu'sheng'shou'en'gan'ji
臣见大王之必伤义而不得,chen'jian'da'wang'zhi'bi'shang'yi'er'bu'de
晨起动征铎,chen'qi'dong'zheng'duo
陈涉少时,chen'she'shao'shi
陈涉世家,chen'she'shi'jia
陈涉太息曰,chen'she'tai'xi'yue
陈胜乃立为王,chen'sheng'nai'li'wei'wang
陈胜王,chen'sheng'wang
陈胜吴广皆次当行,chen'sheng'wu'guang'jie'ci'dang'xing
陈胜吴广乃谋曰,chen'sheng'wu'guang'nai'mou'yue
陈胜吴广喜,chen'sheng'wu'guang'xi
陈胜曰,chen'sheng'yue
陈胜者,chen'sheng'zhe
陈胜自立为将军,chen'sheng'zi'li'wei'jiang'jun
陈胜佐之,chen'sheng'zuo'zhi
臣是以无请也,chen'shi'yi'wu'qing'ye
陈守令皆不在独守丞与战谯门中,chen'shou'ling'jie'bu'zai'du'shou'cheng'yu'zhan'qiao'men'zhong
臣未尝闻也,chen'wei'chang'wen'ye
臣以王之攻宋也,chen'yi'wang'zhi'gong'song'ye
沉舟侧畔千帆过,chen'zhou'ce'pan'qian'fan'guo
成,cheng
称大楚,cheng'da'chu
城非不高也,cheng'fei'bu'gao'ye
诚如是,cheng'ru'shi
诚宜开张圣听,cheng'yi'kai'zhang'sheng'ting
赤壁,chi'bi
池非不深也,chi'fei'bu'shen'ye
持节云中,chi'jie'yun'zhong
祇辱于奴隶之手,chi'ru'yu'nu'li'zhi'shou
池上碧苔三四点,chi'shang'bi'tai'san'si'dian
宠辱偕忘,chong'ru'xie'wang
虫声新透绿窗纱,chong'sheng'xin'tou'lv'chuang'sha
酬乐天扬州初逢席上见赠,chou'le'tian'yang'zhou'chu'feng'xi'shang'jian'zeng
愁云惨淡万里凝,chou'yun'can'dan'wan'li'ning
俶尔远逝,chu'er'yuan'shi
处江湖之远则忧其君,chu'jiang'hu'zhi'yuan'ze'you'qi'jun
楚人怜之,chu'ren'lian'zhi
滁人游也,chu'ren'you'ye
出师表,chu'shi'biao
楚王问其故,chu'wang'wen'qi'gu
楚王曰,chu'wang'yue
出则无敌国外患者,chu'ze'wu'di'guo'wai'huan'zhe
初中语文第册,chu'zhong'yu'wen'di'ce
床头屋漏无干处,chuang'tou'wu'lou'wu'gan'chu
唇焦口燥呼不得,chun'jiao'kou'zao'hu'bu'de
辍耕上垄上,chuo'geng'shang'long'shang
此臣所以报先帝而忠陛下之职分也,ci'chen'suo'yi'bao'xian'di'er'zhong'bi'xia'zhi'zhi'fen'ye
此诚不可与争锋,ci'cheng'bu'ke'yu'zheng'feng
此诚危急存亡之秋也,ci'cheng'wei'ji'cun'wang'zhi'qiu'ye
此殆天所以资将军,ci'dai'tian'suo'yi'zi'jiang'jun
此后汉所以倾颓也,ci'hou'han'suo'yi'qing'tui'ye
此教我先威众耳,ci'jiao'wo'xian'wei'zhong'er
此皆良实,ci'jie'liang'shi
此可以为援而不可图也,ci'ke'yi'wei'yuan'er'bu'ke'tu'ye
此乐何极,ci'le'he'ji
此人可就见,ci'ren'ke'jiu'jian
此三子者,ci'san'zi'zhe
辞甚畅达,ci'shen'chang'da
此事古难全,ci'shi'gu'nan'quan
词首,ci'shou
此为何若人,ci'wei'he'ruo'ren
词五首,ci'wu'shou
此悉贞良死节之臣,ci'xi'zhen'liang'si'jie'zhi'chen
此先汉所以兴隆也,ci'xian'han'suo'yi'xing'long'ye
此庸夫之怒也,ci'yong'fu'zhi'nu'ye
此用武之国,ci'yong'wu'zhi'guo
此犹锦绣之与短褐也,ci'you'jin'xiu'zhi'yu'duan'he'ye
此犹粱肉之与糠糟也,ci'you'liang'rou'zhi'yu'kang'zao'ye
此犹文轩之与敝舆也,ci'you'wen'xuan'zhi'yu'bi'yu'ye
此则岳阳楼之大观也,ci'ze'yue'yang'lou'zhi'da'guan'ye
此之谓失其本心,ci'zhi'wei'shi'qi'ben'xin
此中有真意,ci'zhong'you'zhen'yi
从流飘荡,cong'liu'piao'dang
从民欲也,cong'min'yu'ye
从小丘西行百二十步,cong'xiao'qiu'xi'xing'bai'er'shi'bu
蹴尔而与之,cu'er'er'yu'zhi
卒中往往语,cu'zhong'wang'wang'yu
崔氏二小生,cui'shi'er'xiao'sheng
村南村北响缲车,cun'nan'cun'bei'xiang'qiao'che
大庇天下寒士俱欢颜,da'bi'tian'xia'han'shi'ju'huan'yan
大王尝闻布衣之怒乎,da'wang'chang'wen'bu'yi'zhi'nu'hu
大雪深数尺,da'xue'shen'shu'chi
大醉,da'zui
戴朱缨宝饰之帽,dai'zhu'ying'bao'shi'zhi'mao
旦日,dan'ri
但惜夏日长,dan'xi'xia'ri'chang
但愿人长久,dan'yuan'ren'chang'jiu
当此时,dang'ci'shi
当奖率三军,dang'jiang'lv'san'jun
当立者乃公子扶苏,dang'li'zhe'nai'gong'zi'fu'su
当余之从师也,dang'yu'zhi'cong'shi'ye
道不通,dao'bu'tong
道路阻且长,dao'lu'zu'qie'chang
到乡翻似烂柯人,dao'xiang'fan'si'lan'ke'ren
得道多助,de'dao'duo'zhu
得道者多助,de'dao'zhe'duo'zhu
得无异乎,de'wu'yi'hu
德有不成者,de'you'bu'cheng'zhe
得鱼腹中书,de'yu'fu'zhong'shu
得之心而寓之酒也,de'zhi'xin'er'yu'zhi'jiu'ye
得之则生,de'zhi'ze'sheng
登楼,deng'lou
等死,deng'si
登斯楼也,deng'si'lou'ye
地利不如人和,di'li'bu'ru'ren'he
低绮户,di'qi'hu
第四单元,di'si'dan'yuan
第五单元,di'wu'dan'yuan
簟瓢屡空,dian'piao'lv'kong
丁壮在南冈,ding'zhuang'zai'nan'gang
东风不与周郎便,dong'feng'bu'yu'zhou'lang'bian
冻风时作,dong'feng'shi'zuo
东篱把酒黄昏后,dong'li'ba'jiu'huang'hun'hou
东连吴会,dong'lian'wu'hui
东阳马生君则在太学已二年,dong'yang'ma'sheng'jun'ze'zai'tai'xue'yi'er'nian
斗折蛇行,dou'zhe'she'xing
杜甫,du'fu
都护铁衣冷难着,du'hu'tie'yi'leng'nan'zhe
杜牧,du'mu
度已失期,du'yi'shi'qi
独倚望江楼,du'yi'wang'jiang'lou
独酌无相亲,du'zhuo'wu'xiang'qin
短褐穿结,duan'he'chuan'jie
对影成三人,dui'ying'cheng'san'ren
夺而杀尉,duo'er'sha'wei
多会于此,duo'hui'yu'ci
多歧路,duo'qi'lu
多助之至,duo'zhu'zhi'zhi
饿其体肤,e'qi'ti'fu
俄顷风定云墨色,e'qing'feng'ding'yun'mo'se
而安陵以五十里之地存者,er'an'ling'yi'wu'shi'li'zhi'di'cun'zhe
而伯乐不常有,er'bo'le'bu'chang'you
而不知人之乐,er'bu'zhi'ren'zhi'le
而不知太守之乐其乐也,er'bu'zhi'tai'shou'zhi'le'qi'le'ye
而不足于民,er'bu'zu'yu'min
而城居者未之知也,er'cheng'ju'zhe'wei'zhi'zhi'ye
而飞于北海,er'fei'yu'bei'hai
而后喻,er'hou'yu
而后作,er'hou'zuo
而或长烟一空,er'huo'chang'yan'yi'kong
而君逆寡人者,er'jun'ni'gua'ren'zhe
而君以五十里之地存者,er'jun'yi'wu'shi'li'zhi'di'cun'zhe
尔来二十有一年矣,er'lai'er'shi'you'yi'nian'yi
而乐亦无穷也,er'le'yi'wu'qiong'ye
而年又最高,er'nian'you'zui'gao
而其主不能守,er'qi'zhu'bu'neng'shou
二十三年弃置身,er'shi'san'nian'qi'zhi'shen
二世杀之,er'shi'sha'zhi
二世元年七月,er'shi'yuan'nian'qi'yue
而戍死者固十六七,er'shu'si'zhe'gu'shi'liu'qi
而死于安乐也,er'si'yu'an'le'ye
儿童尽东征,er'tong'jin'dong'zheng
而问我,er'wen'wo
而无车马喧,er'wu'che'ma'xuan
而吓我邪,er'xia'wo'xie
而泄出于两峰之间者,er'xie'chu'yu'liang'feng'zhi'jian'zhe
而欲窃之,er'yu'qie'zhi
而曰,er'yue
二者不可得兼,er'zhe'bu'ke'de'jian
而争所有余,er'zheng'suo'you'yu
而智术短浅,er'zhi'shu'duan'qian
法皆斩,fa'jie'zhan
发闾左适戍渔阳九百人,fa'lv'zuo'shi'shu'yu'yang'jiu'bai'ren
伐无道,fa'wu'dao
发于声,fa'yu'sheng
伐竹取道,fa'zhu'qu'dao
凡曝沙之鸟,fan'bao'sha'zhi'niao
凡三往,fan'san'wang
凡所宜有之书皆集于此,fan'suo'yi'you'zhi'shu'jie'ji'yu'ci
范仲淹,fan'zhong'yan
方五百里,fang'wu'bai'li
方五千里,fang'wu'qian'li
非独贤者有是心也,fei'du'xian'zhe'you'shi'xin'ye
非醴泉不饮,fei'li'quan'bu'yin
非练实不食,fei'lian'shi'bu'shi
飞鸟相与还,fei'niao'xiang'yu'hai
非若是也,fei'ruo'shi'ye
非士之怒也,fei'shi'zhi'nu'ye
非丝非竹,fei'si'fei'zhu
非天质之卑,fei'tian'zhi'zhi'bei
非惟天时,fei'wei'tian'shi
非梧桐不止,fei'wu'tong'bu'zhi
纷纷暮雪下辕门,fen'fen'mu'xue'xia'yuan'men
忿恚尉,fen'hui'wei
风掣红旗冻不翻,feng'che'hong'qi'dong'bu'fan
峰回路转,feng'hui'lu'zhuan
风力虽尚劲,feng'li'sui'shang'jing
峰峦如聚,feng'luan'ru'ju
奉命于危难之间,feng'ming'yu'wei'nan'zhi'jian
风霜高洁,feng'shuang'gao'jie
风烟俱净,feng'yan'ju'jing
风雨不动安如山,feng'yu'bu'dong'an'ru'shan
风住尘香花已尽,feng'zhu'chen'xiang'hua'yi'jin
否,fou
弗得则死,fu'de'ze'si
弗敢易,fu'gan'yi
妇姑荷箪食,fu'gu'he'dan'si
浮光跃金,fu'guang'yue'jin
夫韩魏灭亡,fu'han'wei'mie'wang
夫环而攻之,fu'huan'er'gong'zhi
父老四五人,fu'lao'si'wu'ren
复立楚国之社稷,fu'li'chu'guo'zhi'she'ji
父母岁有裘葛之遗,fu'mu'sui'you'qiu'ge'zhi'yi
负箧曳屣,fu'qie'ye'xi
俯身倾耳以请,fu'shen'qing'er'yi'qing
弗胜,fu'sheng
伏尸百万,fu'shi'bai'wan
伏尸二人,fu'shi'er'ren
负势竞上,fu'shi'jing'shang
傅说举于版筑之间,fu'shuo'ju'yu'ban'zhu'zhi'jian
扶苏以数谏故,fu'su'yi'shu'jian'gu
凫雁满回塘,fu'yan'man'hui'tang
复有贫妇人,fu'you'pin'fu'ren
夫鹓雏发于南海,fu'yuan'chu'fa'yu'nan'hai
浮云蔽白日,fu'yun'bi'bai'ri
弗之怠,fu'zhi'dai
夫专诸之刺王僚也,fu'zhuan'zhu'zhi'ci'wang'liao'ye
夫子何命焉为,fu'zi'he'ming'yan'wei
呷浪之鳞,ga'lang'zhi'lin
盖余之勤且艰苦此,gai'yu'zhi'qin'qie'jian'ku'ci
盖追先帝之殊遇,gai'zhui'xian'di'zhi'shu'yu
干戈寥落四周星,gan'ge'liao'luo'si'zhou'xing
感极而悲者矣,gan'ji'er'bei'zhe'yi
高处不胜寒,gao'chu'bu'sheng'han
高柳夹提,gao'liu'jia'ti
高者挂罥长林梢,gao'zhe'gua'juan'chang'lin'shao
高祖因之以成帝业,gao'zu'yin'zhi'yi'cheng'di'ye
歌罢仰天叹,ge'ba'yang'tian'tan
隔篁竹,ge'huang'zhu
葛天氏之民欤,ge'tian'shi'zhi'min'yu
各在天一涯,ge'zai'tian'yi'ya
更深月色半人家,geng'shen'yue'se'ban'ren'jia
更著风和雨,geng'zhu'feng'he'yu
攻陈,gong'chen
觥筹交错,gong'chou'jiao'cuo
攻大泽乡,gong'da'ze'xiang
公等遇雨,gong'deng'yu'yu
躬耕于南阳,gong'geng'yu'nan'yang
龚古,gong'gu
攻亲戚之所畔,gong'qin'qi'zhi'suo'pan
宫阙万间都做了土,gong'que'wan'jian'dou'zuo'le'tu
公然抱茅入竹去,gong'ran'bao'mao'ru'zhu'qu
弓如霹雳弦惊,gong'ru'pi'li'xian'jing
公输,gong'shu
公输盘不悦,gong'shu'pan'bu'yue
公输盘服子,gong'shu'pan'fu'zi
公输盘九设攻城之机变,gong'shu'pan'jiu'she'gong'cheng'zhi'ji'bian
公输盘诎,gong'shu'pan'qu
公输盘为楚造云梯之械,gong'shu'pan'wei'chu'zao'yun'ti'zhi'xie
公输盘为我为云梯,gong'shu'pan'wei'wo'wei'yun'ti
公输盘曰,gong'shu'pan'yue
公输盘曰不可,gong'shu'pan'yue'bu'ke
公输盘之攻械尽,gong'shu'pan'zhi'gong'xie'jin
公输子之意,gong'shu'zi'zhi'yi
公亦尝闻天子之怒乎,gong'yi'chang'wen'tian'zi'zhi'nu'hu
功宜为王,gong'yi'wei'wang
攻铚酂苦柘谯,gong'zhi'zan'ku'zhe'qiao
宫中府中,gong'zhong'fu'zhong
龚自珍,gong'zi'zhen
苟富贵,gou'fu'gui
苟全性命于乱世,gou'quan'xing'ming'yu'luan'shi
故不错意也,gu'bu'cuo'yi'ye
孤不度德量力,gu'bu'duo'de'liang'li
故不为苟得也,gu'bu'wei'gou'de'ye
固不知子矣,gu'bu'zhi'zi'yi
固国不以山溪之险,gu'guo'bu'yi'shan'xi'zhi'xian
故患有所不避也,gu'huan'you'suo'bu'bi'ye
故君子有不战,gu'jun'zi'you'bu'zhan
故临崩寄臣以大事也,gu'lin'beng'ji'chen'yi'da'shi'ye
故虽有名马,gu'sui'you'ming'ma
故天将降大任于是人也,gu'tian'jiang'jiang'da'ren'yu'shi'ren'ye
故五月渡沪,gu'wu'yue'du'hu
固以怪之矣,gu'yi'guai'zhi'yi
故余虽愚,gu'yu'sui'yu
故曰,gu'yue
孤之有孔明,gu'zhi'you'kong'ming
故自号曰醉翁也,gu'zi'hao'yue'zui'weng'ye
寡人无疾,gua'ren'wu'ji
寡人以五百里之地易安陵,gua'ren'yi'wu'bai'li'zhi'di'yi'an'ling
寡人谕矣,gua'ren'yu'yi
寡人欲以五百里之地易安陵,gua'ren'yu'yi'wu'bai'li'zhi'di'yi'an'ling
寡助之至,gua'zhu'zhi'zhi
观冰坚,guan'bing'jian
观刈麦,guan'yi'mai
管夷吾举于士,guan'yi'wu'ju'yu'shi
关羽张飞等不悦,guan'yu'zhang'fei'deng'bu'yue
广故数言欲亡,guang'gu'shu'yan'yu'wang
广起,guang'qi
归来倚杖自叹息,gui'lai'yi'zhang'zi'tan'xi
国恒亡,guo'heng'wang
过尽千帆皆不是,guo'jin'qian'fan'jie'bu'shi
过零丁洋,guo'ling'ding'yang
国险而民附,guo'xian'er'min'fu
还于旧都,hai'yu'jiu'du
瀚海阑干百丈冰,han'hai'lan'gan'bai'zhang'bing
汉室顾颓,han'shi'gu'tui
汉室可兴矣,han'shi'ke'xing'yi
韩愈,han'yu
行行重行行,hang'hang'zhong'hang'hang
行行重行行无名氏,hang'hang'zhong'hang'hang'wu'ming'shi
浩荡离愁白日斜,hao'dang'li'chou'bai'ri'xie
好读书,hao'du'shu
浩浩汤汤,hao'hao'shang'shang
豪杰并起,hao'jie'bing'qi
号令召三老豪杰与皆来会计事,hao'ling'zhao'san'lao'hao'jie'yu'jie'lai'kuai'ji'shi
好鸟相鸣,hao'niao'xiang'ming
好为梁父吟,hao'wei'liang'fu'yin
号为张楚,hao'wei'zhang'chu
皓月千里,hao'yue'qian'li
何处望神州,he'chu'wang'shen'zhou
何富贵也,he'fu'gui'ye
何日遣冯唐,he'ri'qian'feng'tang
何事长向别时圆,he'shi'chang'xiang'bie'shi'yuan
何时眼前突兀见此屋,he'shi'yan'qian'tu'wu'jian'ci'wu
何似在人间,he'si'zai'ren'jian
何也,he'ye
何哉,he'zai
何至于此,he'zhi'yu'ci
横柯上蔽,heng'ke'shang'bi
横无际涯,heng'wu'ji'ya
衡阳雁去无留意,heng'yang'yan'qu'wu'liu'yi
衡于虑,heng'yu'lv
红装而蹇者,hong'zhuang'er'jian'zhe
后天下之乐而乐乎,hou'tian'xia'zhi'le'er'le'hu
后者应,hou'zhe'ying
后值倾覆,hou'zhi'qing'fu
胡不见我于王,hu'bu'jian'wo'yu'wang
胡不已乎,hu'bu'yi'hu
呼尔而与之,hu'er'er'yu'zhi
忽复乘舟梦日边,hu'fu'cheng'zhou'meng'ri'bian
胡马依北风,hu'ma'yi'bei'feng
狐鸣呼曰大楚兴,hu'ming'hu'yue'da'chu'xing
胡琴琵琶与羌笛,hu'qin'pi'pa'yu'qiang'di
狐裘不暖锦衾薄,hu'qiu'bu'nuan'jin'qin'bao
忽如一夜春风来,hu'ru'yi'ye'chun'feng'lai
胡天八月即飞雪,hu'tian'ba'yue'ji'fei'xue
互相轩邈,hu'xiang'xuan'miao
虎啸猿啼,hu'xiao'yuan'ti
槲叶落山路,hu'ye'luo'shan'lu
花间一壶酒,hua'jian'yi'hu'jiu
花朝节后,hua'zhao'jie'hou
化作春泥更护花,hua'zuo'chun'ni'geng'hu'hua
怀旧空吟闻笛赋,huai'jiu'kong'yin'wen'di'fu
怀怒未发,huai'nu'wei'fa
环滁皆山也,huan'chu'jie'shan'ye
环堵萧然,huan'du'xiao'ran
环而攻之而不胜,huan'er'gong'zhi'er'bu'sheng
桓侯不应,huan'hou'bu'ying
桓侯故使人问之,huan'hou'gu'shi'ren'wen'zhi
桓侯遂死,huan'hou'sui'si
桓侯体痛,huan'hou'ti'tong
桓侯又不应,huan'hou'you'bu'ying
桓侯又不悦,huan'hou'you'bu'yue
桓侯曰,huan'hou'yue
浣溪沙,huan'xi'sha
欢饮达旦,huan'yin'da'dan
惶恐滩头说惶恐,huang'kong'tan'tou'shuo'huang'kong
恢弘志士之气,hui'hong'zhi'shi'zhi'qi
会面安可知,hui'mian'an'ke'zhi
晦明变化者,hui'ming'bian'hua'zhe
会天大雨,hui'tian'da'yu
会挽雕弓如满月,hui'wan'diao'gong'ru'man'yue
彗星袭月,hui'xing'xi'yue
惠子恐,hui'zi'kong
惠子相梁,hui'zi'xiang'liang
惠子曰,hui'zi'yue
火齐之所及也,huo'ji'zhi'suo'ji'ye
或谓惠子曰,huo'wei'hui'zi'yue
或异二者之为,huo'yi'er'zhe'zhi'wei
或以为死,huo'yi'wei'si
或以为亡,huo'yi'wei'wang
或遇其叱咄,huo'yu'qi'chi'duo
或置酒而招之,huo'zhi'jiu'er'zhao'zhi
己亥杂诗,ji'hai'za'shi
既加冠,ji'jia'guan
寂寥无人,ji'liao'wu'ren
寂寞开无主,ji'mo'kai'wu'zhu
计日以还,ji'ri'yi'huan
鸡声茅店月,ji'sheng'mao'dian'yue
急湍甚箭,ji'tuan'shen'jian
祭以尉首,ji'yi'wei'shou
既已知吾知之,ji'yi'zhi'wu'zhi'zhi
既醉而退,ji'zui'er'tui
夹岸高山,jia'an'gao'shan
佳节又重阳,jia'jie'you'chong'yang
佳木秀而繁阴,jia'mu'xiu'er'fan'yin
家贫,jia'pin
家田输税尽,jia'tian'shu'shui'jin
假诸人而后见也,jia'zhu'ren'er'hou'jian'ye
奸臣窃命,jian'chen'qie'ming
见公输盘,jian'gong'shu'pan
兼怀子由,jian'huai'zi'you
艰难愧深情,jian'nan'kui'shen'qing
渐闻水声潺潺,jian'wen'shui'sheng'chan'chan
江城子密州出猎,jiang'cheng'zi'mi'zhou'chu'lie
将登太行雪满山,jiang'deng'tai'hang'xue'man'shan
江汉之鱼鳖鼋鼍为天下富,jiang'han'zhi'yu'bie'yuan'tuo'wei'tian'xia'fu
将军白发征夫泪,jiang'jun'bai'fa'zheng'fu'lei
将军既帝室之胄,jiang'jun'ji'di'shi'zhi'zhou
将军角弓不得控,jiang'jun'jiao'gong'bu'de'kong
将军岂有意乎,jiang'jun'qi'you'yi'hu
将军岂愿见之乎先主,jiang'jun'qi'yuan'jian'zhi'hu'xian'zhu
将军身率益州之众出于秦川,jiang'jun'shen'lv'yi'zhou'zhi'zhong'chu'yu'qin'chuan
将军身被坚执锐,jiang'jun'shen'pi'jian'zhi'rui
将军向宠,jiang'jun'xiang'chong
将军直枉驾顾之,jiang'jun'zhi'wang'jia'gu'zhi
将尉醉,jiang'wei'zui
将以攻宋,jiang'yi'gong'song
娇儿恶卧踏里裂,jiao'er'e'wo'ta'li'lie
胶鬲举于鱼盐之中,jiao'ge'ju'yu'yu'yan'zhi'zhong
皆布衣之士也,jie'bu'yi'zhi'shi'ye
借第令毋斩,jie'di'ling'wu'zhan
嗟夫,jie'fu
嗟乎,jie'hu
结庐在人境,jie'lu'zai'ren'jing
皆若空游无所依,jie'ruo'kong'you'wu'suo'yi
皆生寒树,jie'sheng'han'shu
皆下之,jie'xia'zhi
皆刑其长吏,jie'xing'qi'zhang'li
皆已失期,jie'yi'shi'qi
皆有喜气,jie'you'xi'qi
皆指目陈胜,jie'zhi'mu'chen'sheng
近岸,jin'an
今安在,jin'an'zai
今操已拥百万之众,jin'cao'yi'yong'bai'wan'zhi'zhong
今诚以吾众诈自称公子扶苏项燕,jin'cheng'yi'wu'zhong'zha'zi'cheng'gong'zi'fu'su'xiang'yan
今当远离,jin'dang'yuan'li
今或闻无罪,jin'huo'wen'wu'zui
进尽忠言,jin'jin'zhong'yan
锦鳞游泳,jin'lin'you'yong
锦帽貂裘,jin'mao'diao'qiu
今南方已定,jin'nan'fang'yi'ding
尽日不能忘,jin'ri'bu'neng'wang
今日是也,jin'ri'shi'ye
今日听君歌一曲,jin'ri'ting'jun'ge'yi'qu
今天下三分,jin'tian'xia'san'fen
今亡亦死,jin'wang'yi'si
今为宫室之美为之,jin'wei'gong'shi'zhi'mei'wei'zhi
