按需印刷,an'xu'yin'shua
彗星条痕,hui'xing'tiao'hen
活腔背,huo'qiang'bei
活套,huo'tao
活页裱头装,huo'ye'biao'tou'zhuang
活页装,huo'ye'zhuang
活字,huo'zi
活字版,huo'zi'ban
基本色,ji'ben'se
极高光,ji'gao'guang
激光雕刻凹版,ji'guang'diao'ke'ao'ban
集合滚筒,ji'he'gun'tong
计算机照相排版软件,ji'suan'ji'zhao'xiang'pai'ban'ruan'jian
计算机照相排版系统,ji'suan'ji'zhao'xiang'pai'ban'xi'tong
计算机直接制版,ji'suan'ji'zhi'jie'zhi'ban
即涂感光版,ji'tu'gan'guang'ban
机械打样,ji'xie'da'yang
机械装订,ji'xie'zhuang'ding
假脊,jia'ji
加色法,jia'se'fa
加网,jia'wang
简策装,jian'ce'zhuang
间接凹印,jian'jie'ao'yin
间接凸印,jian'jie'tu'yin
间接印刷,jian'jie'yin'shua
减色法,jian'se'fa
减色原色,jian'se'yuan'se
拣字,jian'zi
浆背,jiang'bei
交叉锁,jiao'cha'suo
校对,jiao'dui
胶印,jiao'yin
胶印版材,jiao'yin'ban'cai
胶印故障,jiao'yin'gu'zhang
胶印机,jiao'yin'ji
胶粘装订,jiao'zhan'zhuang'ding
胶粘装订联动线,jiao'zhan'zhuang'ding'lian'dong'xian
接版,jie'ban
接触曝光,jie'chu'bao'guang
接触加网,jie'chu'jia'wang
接触网屏,jie'chu'wang'ping
阶调值,jie'diao'zhi
接面,jie'mian
阶调,jie'tiao
金属箔,jin'shu'bo
经折装,jing'zhe'zhuang
精装,jing'zhuang
酒精湿润,jiu'jing'shi'run
锯口,ju'kou
卷筒印刷,juan'tong'yin'shua
卷筒纸凹印机,juan'tong'zhi'ao'yin'ji
卷筒纸给纸系统,juan'tong'zhi'gei'zhi'xi'tong
卷轴装,juan'zhou'zhuang
开本,kai'ben
开料,kai'liao
拷贝,kao'bei
珂罗版印刷,ke'luo'ban'yin'shua
可移植文档格式,ke'yi'zhi'wen'dang'ge'shi
空套,kong'tao
空张控制器,kong'zhang'kong'zhi'qi
空针,kong'zhen
捆扎机,kun'za'ji
勒口,le'kou
冷胶,leng'jiao
离合压机构,li'he'ya'ji'gou
里子纸,li'zi'zhi
联接边,lian'jie'bian
连晒,lian'shai
连晒机,lian'shai'ji
连续调,lian'xu'tiao
连续调原稿,lian'xu'tiao'yuan'gao
晾纸,liang'zhi
露白漏白,lou'bai'lou'bai
露底布,lou'di'bu
漏帖,lou'tie
漏张,lou'zhang
漏针,lou'zhen
乱车,luan'che
螺旋装,luo'xuan'zhuang
滤色片,lv'se'pian
毛本,mao'ben
毛装,mao'zhuang
蒙版,meng'ban
蒙片,meng'pian
密度,mi'du
密度计,mi'du'ji
磨版,mo'ban
墨斗,mo'dou
墨斗辊,mo'dou'gun
模切,mo'qie
模切刀,mo'qie'dao
墨台,mo'tai
模压,mo'ya
木版水印,mu'ban'shui'yin
配帖,pei'tie
配页,pei'ye
配页机,pei'ye'ji
飘口,piao'kou
拼版,pin'ban
品红色,pin'hong'se
平凹版,ping'ao'ban
平版,ping'ban
平板扫描仪,ping'ban'sao'miao'yi
平版印刷,ping'ban'yin'shua
平订,ping'ding
平锁,ping'suo
平压平型印刷机,ping'ya'ping'xing'yin'shua'ji
平装,ping'zhuang
破口,po'kou
漆布,qi'bu
起脊,qi'ji
骑马订,qi'ma'ding
齐头,qi'tou
铅版,qian'ban
前规,qian'gui
前口,qian'kou
切纸机,qie'zhi'ji
青色,qing'se
去网,qu'wang
热敏按需喷墨方法,re'min'an'xu'pen'mo'fang'fa
热熔胶,re'rong'jiao
热转印,re'zhuan'yin
柔性版,rou'xing'ban
柔性版印刷,rou'xing'ban'yin'shua
柔性版印刷机,rou'xing'ban'yin'shua'ji
软背,ruan'bei
软衬,ruan'chen
软打样,ruan'da'yang
软片,ruan'pian
润版,run'ban
润湿液,run'shi'ye
润湿装置,run'shi'zhuang'zhi
塞折,sai'zhe
三面切书机,san'mian'qie'shu'ji
散尾,san'wei
三眼订,san'yan'ding
三折帖,san'zhe'tie
扫描,sao'miao
扫描分辨率,sao'miao'fen'bian'lv
扫描仪,sao'miao'yi
色标,se'biao
色箔,se'bo
色彩管理,se'cai'guan'li
色彩管理系统,se'cai'guan'li'xi'tong
色彩还原,se'cai'huan'yuan
色口,se'kou
色密度,se'mi'du
色片,se'pian
色平衡,se'ping'heng
色谱,se'pu
晒版,shai'ban
晒版机,shai'ban'ji
晒版原版,shai'ban'yuan'ban
上光,shang'guang
上光机,shang'guang'ji
上光涂布机,shang'guang'tu'bu'ji
上蜡,shang'la
上料,shang'liao
上书壳,shang'shu'ke
实地,shi'di
矢量图象,shi'liang'tu'xiang
实物原稿,shi'wu'yuan'gao
石印,shi'yin
收帖,shou'tie
收帖装置,shou'tie'zhuang'zhi
收纸装置,shou'zhi'zhuang'zhi
书背,shu'bei
书背纸,shu'bei'zhi
书槽,shu'cao
书脊,shu'ji
书刊印刷,shu'kan'yin'shua
书壳,shu'ke
书捆,shu'kun
输墨装置,shu'mo'zhuang'zhi
竖排,shu'pai
书签丝带,shu'qian'si'dai
书帖,shu'tie
书芯,shu'xin
书芯加工,shu'xin'jia'gong
书芯压平机,shu'xin'ya'ping'ji
书腰,shu'yao
书糟,shu'zao
输纸板,shu'zhi'ban
输纸装置,shu'zhi'zhuang'zhi
刷胶,shua'jiao
双联装订,shuang'lian'zhuang'ding
双面单色印刷机,shuang'mian'dan'se'yin'shua'ji
双面多色印刷机,shuang'mian'duo'se'yin'shua'ji
双色版胶印,shuang'se'ban'jiao'yin
双色印刷,shuang'se'yin'shua
双帖,shuang'tie
水斗辊,shui'dou'gun
水墨平衡,shui'mo'ping'heng
四色胶印,si'se'jiao'yin
死套,si'tao
死折,si'zhe
四折帖,si'zhe'tie
送纸装置,song'zhi'zhuang'zhi
塑料版,su'liao'ban
塑料线烫订,su'liao'xian'tang'ding
缩帖,suo'tie
锁线订,suo'xian'ding
拓印,ta'yin
烫背,tang'bei
烫箔,tang'bo
烫金机,tang'jin'ji
烫料,tang'liao
烫印,tang'yin
套色顺序,tao'se'shun'xu
套烫,tao'tang
套帖,tao'tie
天头,tian'tou
条痕,tiao'hen
贴背,tie'bei
铁皮印刷,tie'pi'yin'shua
铁丝平订,tie'si'ping'ding
停回转印刷机,ting'hui'zhuan'yin'shua'ji
铜版,tong'ban
筒子纸,tong'zi'zhi
透射度,tou'she'du
透射原稿,tou'she'yuan'gao
透印,tou'yin
凸版,tu'ban
凸版印刷,tu'ban'yin'shua
凸版印刷机,tu'ban'yin'shua'ji
涂布,tu'bu
图像分解,tu'xiang'fen'jie
图像锐化,tu'xiang'rui'hua
图像原稿,tu'xiang'yuan'gao
图像制版,tu'xiang'zhi'ban
图形交换格式,tu'xing'jiao'huan'ge'shi
凸印上版,tu'yin'shang'ban
网点,wang'dian
网点覆盖率,wang'dian'fu'gai'lv
网点覆盖面积,wang'dian'fu'gai'mian'ji
网点腐蚀,wang'dian'fu'shi
网点形状,wang'dian'xing'zhuang
网点阳图,wang'dian'yang'tu
网点阴图,wang'dian'yin'tu
往复转印刷机,wang'fu'zhuan'yin'shua'ji
网目调,wang'mu'tiao
网屏,wang'ping
网纹传墨辊,wang'wen'chuan'mo'gun
网线角度,wang'xian'jiao'du
微机排版终端,wei'ji'pai'ban'zhong'duan
尾数,wei'shu
文字排版,wen'zi'pai'ban
无粉腐蚀法,wu'fen'fu'shi'fa
无水胶印,wu'shui'jiao'yin
无线胶订,wu'xian'jiao'ding
无压印刷,wu'ya'yin'shua
铣背,xi'bei
细微还原,xi'wei'huan'yuan
线圈,xian'quan
线条腐蚀,xian'tiao'fu'shi
线条原稿,xian'tiao'yuan'gao
陷印,xian'yin
显影,xian'ying
线装,xian'zhuang
橡皮布,xiang'pi'bu
橡皮布滚筒,xiang'pi'bu'gun'tong
橡皮凸版,xiang'pi'tu'ban
象素,xiang'su
小胶印,xiao'jiao'yin
校色,xiao'se
小页,xiao'ye
锌版,xin'ban
行空,xing'kong
修版,xiu'ban
压槽,ya'cao
压槽成型,ya'cao'cheng'xing
压光,ya'guang
压光机,ya'guang'ji
压痕,ya'hen
压花,ya'hua
压平,ya'ping
压印滚筒,ya'yin'gun'tong
压印机构,ya'yin'ji'gou
压印平板,ya'yin'ping'ban
压印线,ya'yin'xian
阳图型胶印版材,yang'tu'xing'jiao'yin'ban'cai
咬纸牙,yao'zhi'ya
一回转印刷机,yi'hui'zhuan'yin'shua'ji
印版,yin'ban
印版长度,yin'ban'chang'du
印版分辨力,yin'ban'fen'bian'li
印版滚筒,yin'ban'gun'tong
印版厚度,yin'ban'hou'du
印版宽度,yin'ban'kuan'du
印版支承体,yin'ban'zhi'cheng'ti
印版制作,yin'ban'zhi'zuo
印版制作层次,yin'ban'zhi'zuo'ceng'ci
印后加工,yin'hou'jia'gong
印后加工机械,yin'hou'jia'gong'ji'xie
阴极射线管式计算机排版,yin'ji'she'xian'guan'shi'ji'suan'ji'pai'ban
印刷,yin'shua
印刷材料,yin'shua'cai'liao
印刷复制特性曲线,yin'shua'fu'zhi'te'xing'qu'xian
印刷工业,yin'shua'gong'ye
印刷工艺,yin'shua'gong'yi
印刷故障,yin'shua'gu'zhang
印刷过程,yin'shua'guo'cheng
印刷技术,yin'shua'ji'shu
印刷机械,yin'shua'ji'xie
印刷科学,yin'shua'ke'xue
印刷品,yin'shua'pin
印刷适性,yin'shua'shi'xing
印刷速度,yin'shua'su'du
印刷图文载体,yin'shua'tu'wen'zai'ti
印刷压力,yin'shua'ya'li
印刷油墨,yin'shua'you'mo
印刷装置,yin'shua'zhuang'zhi
印刷字体,yin'shua'zi'ti
阴图型胶印版材,yin'tu'xing'jiao'yin'ban'cai
硬衬,ying'chen
预打样,yu'da'yang
预涂感光平版,yu'tu'gan'guang'ping'ban
预涂感光凸版,yu'tu'gan'guang'tu'ban
圆背,yuan'bei
原稿,yuan'gao
圆角,yuan'jiao
原色,yuan'se
圆势,yuan'shi
圆压平型印刷机,yuan'ya'ping'xing'yin'shua'ji
圆压圆型印刷机,yuan'ya'yuan'xing'yin'shua'ji
圆压圆印刷机,yuan'ya'yuan'yin'shua'ji
匀墨辊,yun'mo'gun
脏版,zang'ban
扎结订,zha'jie'ding
扎捆,zha'kun
蘸花口,zhan'hua'kou
粘口,zhan'kou
粘页机,zhan'ye'ji
张力控制装置,zhang'li'kong'zhi'zhuang'zhi
照排机,zhao'pai'ji
照排主机,zhao'pai'zhu'ji
着水辊,zhao'shui'gun
照相分色,zhao'xiang'fen'se
折叠式插页,zhe'die'shi'cha'ye
折缝线,zhe'feng'xian
折页,zhe'ye
折页滚筒,zhe'ye'gun'tong
折页机,zhe'ye'ji
折页三角板,zhe'ye'san'jiao'ban
折页装置,zhe'ye'zhuang'zhi
针距,zhen'ju
针数,zhen'shu
整面,zheng'mian
证券印刷,zheng'quan'yin'shua
正位装置,zheng'wei'zhuang'zhi
制版,zhi'ban
制版照相机,zhi'ban'zhao'xiang'ji
制袋,zhi'dai
直接加网,zhi'jie'jia'wang
直接平印,zhi'jie'ping'yin
直接数字彩色打样,zhi'jie'shu'zi'cai'se'da'yang
直接印刷,zhi'jie'yin'shua
制书壳机,zhi'shu'ke'ji
纸型,zhi'xing
纸张分离机构,zhi'zhang'fen'li'ji'gou
中缝切口,zhong'feng'qie'kou
中间调,zhong'jian'tiao
中径,zhong'jing
中性滤色片,zhong'xing'lv'se'pian
转印滚筒,zhuan'yin'gun'tong
装订,zhuang'ding
装订胶粘剂,zhuang'ding'jiao'zhan'ji
装订线,zhuang'ding'xian
撞网,zhuang'wang
撞页,zhuang'ye
着墨辊,zhuo'mo'gun
自动给纸机,zi'dong'gei'zhi'ji
自动照相排版,zi'dong'zhao'xiang'pai'ban
字号,zi'hao
字节,zi'jie
走版,zou'ban
