安徽建材,an'hui'jian'cai
武汉城市建筑学院学报,wu'han'cheng'shi'jian'zhu'xue'yuan'xue'bao
武汉市政,wu'han'shi'zheng
西安建大科技,xi'an'jian'da'ke'ji
西安建筑科技大学学报,xi'an'jian'zhu'ke'ji'da'xue'xue'bao
西北建筑工程学院学报,xi'bei'jian'zhu'gong'cheng'xue'yuan'xue'bao
西南给排水,xi'nan'ji'pai'shui
西宁城建,xi'ning'cheng'jian
新建筑,xin'jian'zhu
新型建筑材料,xin'xing'jian'zhu'cai'liao
岩士力学,yan'shi'li'xue
岩石力学与工程学报,yan'shi'li'xue'yu'gong'cheng'xue'bao
岩土工程学报,yan'tu'gong'cheng'xue'bao
应用基础与工程科学学报,ying'yong'ji'chu'yu'gong'cheng'ke'xue'xue'bao
园林,yuan'lin
云南建材,yun'nan'jian'cai
云南建工,yun'nan'jian'gong
云南建筑,yun'nan'jian'zhu
浙江建筑,zhe'jiang'jian'zhu
中国电梯,zhong'guo'dian'ti
中国环境科学,zhong'guo'huan'jing'ke'xue
中国给水排水,zhong'guo'ji'shui'pai'shui
中国建材,zhong'guo'jian'cai
中国建材科技,zhong'guo'jian'cai'ke'ji
中国建材装备,zhong'guo'jian'cai'zhuang'bei
中国建筑防水材料,zhong'guo'jian'zhu'fang'shui'cai'liao
中国市政工程,zhong'guo'shi'zheng'gong'cheng
中国土木水利工程学刊,zhong'guo'tu'mu'shui'li'gong'cheng'xue'kan
中国园林,zhong'guo'yuan'lin
中南给水排水,zhong'nan'ji'shui'pai'shui
中南勘察,zhong'nan'kan'cha
中州建筑,zhong'zhou'jian'zhu
筑路机械与施工机械化,zhu'lu'ji'xie'yu'shi'gong'ji'xie'hua
住宅建设,zhu'zhai'jian'she
住宅科技,zhu'zhai'ke'ji
砖瓦,zhuan'wa
装饰装修天地,zhuang'shi'zhuang'xiu'tian'di
