按红色钮,an'hong'se'niu
锤击扳手,chui'ji'ban'shou
垂深,chui'shen
炊事员,chui'shi'yuan
垂直的,chui'zhi'de
纯碱,chun'jian
磁力打捞工具,ci'li'da'lao'gong'ju
从动轴,cong'dong'zhou
丛式井,cong'shi'jing
丛式钻井,cong'shi'zuan'jing
葱头,cong'tou
粗糙,cu'cao
促凝剂,cu'ning'ji
淬火,cui'huo
大齿轮,da'chi'lun
大端,da'duan
大幅度活动钻具,da'fu'du'huo'dong'zuan'ju
大钩,da'gou
大钩负荷,da'gou'fu'he
大钩锁紧装置,da'gou'suo'jin'zhuang'zhi
大钩弹簧,da'gou'tan'huang
大钩销子,da'gou'xiao'zi
大钩悬挂高度,da'gou'xuan'gua'gao'du
搭接,da'jie
打开,da'kai
打捞,da'lao
打捞杯,da'lao'bei
打捞工具,da'lao'gong'ju
打捞公锥,da'lao'gong'zhui
打捞工作,da'lao'gong'zuo
打捞钩,da'lao'gou
打捞颈,da'lao'jing
打捞篮,da'lao'lan
打捞矛,da'lao'mao
打捞母锥,da'lao'mu'zhui
打捞作业,da'lao'zuo'ye
大排,da'pai
大气压,da'qi'ya
大钳锁销,da'qian'suo'xiao
大钳悬臂,da'qian'xuan'bi
大鼠洞,da'shu'dong
大位移井,da'wei'yi'jing
打一下,da'yi'xia
带把板手来,dai'ba'ban'shou'lai
带班队长,dai'ban'dui'zhang
带点密封剂,dai'dian'mi'feng'ji
待工日费,dai'gong'ri'fei
袋子,dai'zi
蛋糕,dan'gao
单根,dan'gen
单流阀,dan'liu'fa
单宁,dan'ning
淡水,dan'shui
单向阀,dan'xiang'fa
单闸板防喷器,dan'zha'ban'fang'pen'qi
倒档齿轮,dao'dang'chi'lun
导管,dao'guan
倒划眼,dao'hua'yan
刀口,dao'kou
倒扣工具,dao'kou'gong'ju
倒泥浆,dao'ni'jiang
地板,di'ban
地层,di'ceng
地层评价,di'ceng'ping'jia
地层圈闭,di'ceng'quan'bi
地层损害,di'ceng'sun'hai
地层压力,di'ceng'ya'li
地层压力预测,di'ceng'ya'li'yu'ce
低密度水泥浆,di'mi'du'shui'ni'jiang
地面集输,di'mian'ji'shu
地球物理勘探,di'qiu'wu'li'kan'tan
低压低渗透油田,di'ya'di'shen'tou'you'tian
低压管线,di'ya'guan'xian
地质,di'zhi
地质参数,di'zhi'can'shu
地质断块,di'zhi'duan'kuai
地质监督,di'zhi'jian'du
地质专业人员,di'zhi'zhuan'ye'ren'yuan
底座,di'zuo
底座大梁,di'zuo'da'liang
电测,dian'ce
电测井作业,dian'ce'jing'zuo'ye
电插座,dian'cha'zuo
电动潜水泵,dian'dong'qian'shui'beng
垫高一些,dian'gao'yi'xie
电工,dian'gong
电焊,dian'han
电焊工,dian'han'gong
电焊条,dian'han'tiao
电话,dian'hua
电解质,dian'jie'zhi
电木,dian'mu
垫片,dian'pian
电线,dian'xian
点心,dian'xin
电压正常,dian'ya'zheng'chang
吊车,diao'che
吊车司机,diao'che'si'ji
吊带,diao'dai
吊耳,diao'er
吊环,diao'huan
吊卡,diao'ka
吊蓝,diao'lan
吊钳钳臂,diao'qian'qian'bi
吊钳钳头,diao'qian'qian'tou
掉水眼,diao'shui'yan
吊装工具,diao'zhuang'gong'ju
顶驱,ding'qu
定向井,ding'xiang'jing
定向斜井,ding'xiang'xie'jing
定子,ding'zi
钉子,ding'zi
动力扳手,dong'li'ban'shou
动脉,dong'mai
动态模型,dong'tai'mo'xing
豆角,dou'jiao
兜绳,dou'sheng
堵漏剂,du'lou'ji
堵水,du'shui
堵水眼,du'shui'yan
短路,duan'lu
端面,duan'mian
短起下钻,duan'qi'xia'zuan
短袜,duan'wa
锻造,duan'zao
短钻杆,duan'zuan'gan
对讲机,dui'jiang'ji
对虾,dui'xia
对压裂参数的监控,dui'ya'lie'can'shu'de'jian'kong
对准,dui'zhun
顿钻钻井,dun'zuan'zuan'jing
多角螺丝起子,duo'jiao'luo'si'qi'zi
躲开,duo'kai
多孔性,duo'kong'xing
多雾,duo'wu
多云,duo'yun
鹅颈管,e'jing'guan
二层台,er'ceng'tai
耳朵,er'duo
二十,er'shi
二十一,er'shi'yi
二氧化钙,er'yang'hua'gai
二月,er'yue
发电机,fa'dian'ji
发动机工,fa'dong'ji'gong
阀杆,fa'gan
阀帽,fa'mao
阀面,fa'mian
发生故障,fa'sheng'gu'zhang
阀弹簧,fa'tan'huang
凡尔体,fan'er'ti
凡尔箱,fan'er'xiang
凡尔座,fan'er'zuo
返回太少,fan'hui'tai'shao
反扭矩,fan'niu'ju
番薯片,fan'shu'pian
翻译,fan'yi
方补心,fang'bu'xin
方补心取出装置,fang'bu'xin'qu'chu'zhuang'zhi
防风衣,fang'feng'yi
防护眼镜,fang'hu'yan'jing
放卡瓦,fang'ka'wa
方孔,fang'kong
防喷盒,fang'pen'he
防喷演习,fang'pen'yan'xi
防碰天车,fang'peng'tian'che
防膨胀,fang'peng'zhang
防膨胀剂,fang'peng'zhang'ji
方入,fang'ru
防砂,fang'sha
放射性测井,fang'she'xing'ce'jing
放松,fang'song
方位角,fang'wei'jiao
防污染,fang'wu'ran
放压管线,fang'ya'guan'xian
方余,fang'yu
方钻杆,fang'zuan'gan
方钻杆旋扣器,fang'zuan'gan'xuan'kou'qi
方钻杆旋塞,fang'zuan'gan'xuan'sai
飞轮,fei'lun
分段下钻,fen'duan'xia'zuan
分级箍,fen'ji'gu
分级注水泥,fen'ji'zhu'shui'ni
粉末,fen'mo
分散,fen'san
分析和解释,fen'xi'he'jie'shi
封堵剂,feng'du'ji
封隔器,feng'ge'qi
风化地层,feng'hua'di'ceng
封井,feng'jing
风扇,feng'shan
负的,fu'de
副司钻,fu'si'zuan
斧头,fu'tou
扶正器,fu'zheng'qi
浮子,fu'zi
咖喱,ga'li
干杯,gan'bei
干净,gan'jing
感应电测井,gan'ying'dian'ce'jing
干燥,gan'zao
钢挫,gang'cuo
钢锯,gang'ju
钢木基础,gang'mu'ji'chu
钢丝绳股,gang'si'sheng'gu
缸套,gang'tao
高电压,gao'dian'ya
高岭土粉,gao'ling'tu'fen
高粘度泥浆,gao'nian'du'ni'jiang
高凝高粘度,gao'ning'gao'nian'du
高渗透性,gao'shen'tou'xing
高温,gao'wen
高压,gao'ya
高压管线,gao'ya'guan'xian
隔离液,ge'li'ye
公差,gong'cha
工具箱,gong'ju'xiang
公扣,gong'kou
功率不足,gong'lv'bu'zu
功能测试,gong'neng'ce'shi
公事包,gong'shi'bao
工衣,gong'yi
公锥,gong'zhui
工作台,gong'zuo'tai
工作靴,gong'zuo'xue
钩子,gou'zi
固化,gu'hua
固井,gu'jing
固井段,gu'jing'duan
固井工程师,gu'jing'gong'cheng'shi
固井管线,gu'jing'guan'xian
固井失败,gu'jing'shi'bai
固体,gu'ti
固体和液体添加泵,gu'ti'he'ye'ti'tian'jia'beng
刮刀钻头,gua'dao'zuan'tou
刮风,gua'feng
挂合摘开绞车,gua'he'zhai'kai'jiao'che
关闭,guan'bi
观察返浆情况,guan'cha'fan'jiang'qing'kuang
管钳,guan'qian
贯眼接头,guan'yan'jie'tou
贯眼式连接,guan'yan'shi'lian'jie
灌注泵,guan'zhu'beng
罐装食品,guan'zhuang'shi'pin
光滑,guang'hua
滚动摩擦,gun'dong'mo'ca
滚筒,gun'tong
滚筒低速气离合器,gun'tong'di'su'qi'li'he'qi
滚筒高速气离合器,gun'tong'gao'su'qi'li'he'qi
国际标准化组织,guo'ji'biao'zhun'hua'zu'zhi
国际钻井承包商协会,guo'ji'zuan'jing'cheng'bao'shang'xie'hui
果酱,guo'jiang
锅炉,guo'lu
过载,guo'zai
海带,hai'dai
海底电缆铺设,hai'di'dian'lan'pu'she
海底管线,hai'di'guan'xian
海螺,hai'luo
海上钻井,hai'shang'zuan'jing
海滩,hai'tan
海鲜,hai'xian
汉堡,han'bao
寒冷,han'leng
含砂量,han'sha'liang
含水,han'shui
含水的,han'shui'de
含水地层,han'shui'di'ceng
喝多醉,he'duo'zui
盒盆,he'pen
核桃,he'tao
很快就好了,hen'kuai'jiu'hao'le
厚度,hou'du
候凝,hou'ning
胡椒,hu'jiao
胡萝卜,hu'luo'bo
护丝,hu'si
胡子,hu'zi
滑车,hua'che
滑动摩擦,hua'dong'mo'ca
花岗岩,hua'gang'yan
滑割大绳,hua'ge'da'sheng
花键,hua'jian
滑轮组,hua'lun'zu
花生,hua'sheng
化学吞吐,hua'xue'tun'tu
划眼,hua'yan
换班,huan'ban
缓冲器,huan'chong'qi
环空注水泥作业,huan'kong'zhu'shui'ni'zuo'ye
缓慢开泵并仔细,huan'man'kai'beng'bing'zi'xi
缓凝剂,huan'ning'ji
换钻头,huan'zuan'tou
黄瓜,huang'gua
黄油枪,huang'you'qiang
灰罐,hui'guan
回火,hui'huo
回压,hui'ya
混合,hun'he
混合泵,hun'he'beng
混合漏斗,hun'he'lou'dou
火成岩,huo'cheng'yan
活动板手,huo'dong'ban'shou
活动钻具以避免卡钻,huo'dong'zuan'ju'yi'bi'mian'ka'zuan
活塞,huo'sai
活塞杆,huo'sai'gan
活塞皮碗,huo'sai'pi'wan
火腿,huo'tui
货物验收,huo'wu'yan'shou
货已送抵,huo'yi'song'di
挤出,ji'chu
鸡蛋,ji'dan
几何学,ji'he'xue
急救演习,ji'jiu'yan'xi
棘轮机构,ji'lun'ji'gou
肌肉,ji'rou
鸡肉,ji'rou
技术规范,ji'shu'gui'fan
技术套管,ji'shu'tao'guan
挤水泥,ji'shui'ni
机械工程师,ji'xie'gong'cheng'shi
机械师,ji'xie'shi
机械手,ji'xie'shou
挤压成形,ji'ya'cheng'xing
机油,ji'you
脊椎,ji'zhui
加长撬杠,jia'chang'qiao'gang
甲方,jia'fang
加工,jia'gong
加厚,jia'hou
加化学药品,jia'hua'xue'yao'pin
夹具,jia'ju
加仑分,jia'lun'fen
加重钻杆,jia'zhong'zuan'gan
肩膀,jian'bang
键槽,jian'cao
键槽破坏器,jian'cao'po'huai'qi
剪刀,jian'dao
监督,jian'du
尖灭,jian'mie
减摩短节,jian'mo'duan'jie
剪切防喷器,jian'qie'fang'pen'qi
剪切强度,jian'qie'qiang'du
剪切速率,jian'qie'su'lv
剪切稀释,jian'qie'xi'shi
剪切应力,jian'qie'ying'li
兼容,jian'rong
间隙,jian'xi
间歇的,jian'xie'de
简易除气器,jian'yi'chu'qi'qi
减震器,jian'zhen'qi
降失水剂,jiang'shi'shui'ji
降斜段,jiang'xie'duan
搅拌器,jiao'ban'qi
胶棒,jiao'bang
绞车,jiao'che
脚跟,jiao'gen
脚轰油门,jiao'hong'you'men
铰链,jiao'lian
交联剂,jiao'lian'ji
交流电,jiao'liu'dian
胶水,jiao'shui
校正,jiao'zheng
脚趾,jiao'zhi
饺子,jiao'zi
接单根,jie'dan'gen
接地,jie'di
解堵剂,jie'du'ji
截断,jie'duan
结垢,jie'gou
睫毛,jie'mao
界面,jie'mian
芥茉,jie'mo
接头,jie'tou
接住,jie'zhu
金刚砂,jin'gang'sha
金刚石钻头,jin'gang'shi'zuan'tou
金钢石钻头,jin'gang'shi'zuan'tou
紧身衣,jin'shen'yi
金属线,jin'shu'xian
今天零日费,jin'tian'ling'ri'fei
近钻头扶正器,jin'zuan'tou'fu'zheng'qi
井壁取心,jing'bi'qu'xin
井壁取心枪,jing'bi'qu'xin'qiang
井队活动房,jing'dui'huo'dong'fang
井架,jing'jia
井架工,jing'jia'gong
精加工,jing'jia'gong
井径扩大率,jing'jing'kuo'da'lv
井口,jing'kou
井口盖子,jing'kou'gai'zi
井口回压,jing'kou'hui'ya
井口压力,jing'kou'ya'li
井漏,jing'lou
静脉,jing'mai
井喷,jing'pen
井深,jing'shen
井身结构,jing'shen'jie'gou
井下,jing'xia
井下操作,jing'xia'cao'zuo
井下落物,jing'xia'luo'wu
井下马达,jing'xia'ma'da
井下情况,jing'xia'qing'kuang
井下作业,jing'xia'zuo'ye
井斜角,jing'xie'jiao
井斜角测量点,jing'xie'jiao'ce'liang'dian
井眼,jing'yan
井眼尺寸,jing'yan'chi'cun
井眼轨迹,jing'yan'gui'ji
井眼环空,jing'yan'huan'kong
静液柱压力,jing'ye'zhu'ya'li
井涌,jing'yong
静载,jing'zai
镜子,jing'zi
酒杯,jiu'bei
救护车,jiu'hu'che
救生衣,jiu'sheng'yi
九十,jiu'shi
九月,jiu'yue
锯齿,ju'chi
桔汁,ju'zhi
桔子,ju'zi
绝缘不好,jue'yuan'bu'hao
绝缘胶布,jue'yuan'jiao'bu
咖啡,ka'fei
卡瓦,ka'wa
卡瓦打捞筒,ka'wa'da'lao'tong
卡钻,ka'zuan
开槽,kai'cao
开窗铣锥,kai'chuang'xi'zhui
开窗斜向器,kai'chuang'xie'xiang'qi
开关,kai'guan
开钻,kai'zuan
抗热,kang're
烤的,kao'de
刻线,ke'xian
空化作用,kong'hua'zuo'yong
空气包,kong'qi'bao
空气压缩机,kong'qi'ya'suo'ji
空调机,kong'tiao'ji
控制速度,kong'zhi'su'du
口袋,kou'dai
口罩,kou'zhao
苦味,ku'wei
会计,kuai'ji
快速护丝,kuai'su'hu'si
矿泉水,kuang'quan'shui
矿物,kuang'wu
扩散,kuo'san
扩眼器,kuo'yan'qi
喇叭口,la'ba'kou
拉床,la'chuang
拉杆,la'gan
垃圾,la'ji
辣椒,la'jiao
拉伸,la'shen
拉伸强度,la'shen'qiang'du
辣味,la'wei
拉削,la'xue
栏杆,lan'gan
榔头,lang'tou
老井,lao'jing
冷藏室,leng'cang'shi
冷冻柜台,leng'dong'gui'tai
冷却,leng'que
冷却水泵,leng'que'shui'beng
立方米,li'fang'mi
立根,li'gen
立根盒,li'gen'he
立管,li'guan
立管管汇,li'guan'guan'hui
离合器,li'he'qi
沥青,li'qing
砾石,li'shi
离心泵,li'xin'beng
离心机,li'xin'ji
离子,li'zi
联顶节,lian'ding'jie
脸颊,lian'jia
联接法兰,lian'jie'fa'lan
链轮,lian'lun
链钳,lian'qian
链条,lian'tiao
链条驱动,lian'tiao'qu'dong
凉爽,liang'shuang
凉鞋,liang'xie
领带,ling'dai
领子,ling'zi
六百二十一,liu'bai'er'shi'yi
流变性,liu'bian'xing
流程图,liu'cheng'tu
流动性,liu'dong'xing
六角形,liu'jiao'xing
六十,liu'shi
六月,liu'yue
龙虾,long'xia
陆地钻井,lu'di'zuan'jing
裸井段,luo'jing'duan
螺帽,luo'mao
罗盘,luo'pan
螺栓,luo'shuan
螺丝起子,luo'si'qi'zi
螺旋齿轮,luo'xuan'chi'lun
螺旋形的,luo'xuan'xing'de
螺旋钻铤,luo'xuan'zuan'ting
裸眼,luo'yan
裸眼砾石填充完井,luo'yan'li'shi'tian'chong'wan'jing
氯化钙,lv'hua'gai
抹布,ma'bu
马上去,ma'shang'qu
盲钻,mang'zuan
猫道,mao'dao
铆钉,mao'ding
铆接,mao'jie
锚头,mao'tou
猫头绳,mao'tou'sheng
猫头轴,mao'tou'zhou
毛细管,mao'xi'guan
毛衣,mao'yi
帽子,mao'zi
煤层气,mei'ceng'qi
煤层气井,mei'ceng'qi'jing
眉毛,mei'mao
没情况,mei'qing'kuang
没有压力,mei'you'ya'li
没作记录,mei'zuo'ji'lu
密度,mi'du
米饭,mi'fan
棉袄,mian'ao
面包,mian'bao
面积,mian'ji
面条,mian'tiao
灭火机,mie'huo'ji
灭火器,mie'huo'qi
模锻,mo'duan
末端水泥浆,mo'duan'shui'ni'jiang
蘑菇,mo'gu
模糊,mo'hu
磨碎,mo'sui
模具,mu'ju
母扣,mu'kou
目数,mu'shu
木纤维,mu'xian'wei
拇指,mu'zhi
母锥,mu'zhui
拿稳,na'wen
南瓜,nan'gua
闹钟,nao'zhong
内加厚,nei'jia'hou
内孔加工,nei'kong'jia'gong
内六角扳手,nei'liu'jiao'ban'shou
内平接头,nei'ping'jie'tou
内平式连接,nei'ping'shi'lian'jie
内钳,nei'qian
内腔,nei'qiang
内外加厚,nei'wai'jia'hou
内岩心筒,nei'yan'xin'tong
内衣,nei'yi
内在的,nei'zai'de
泥饼,ni'bing
逆风,ni'feng
泥浆,ni'jiang
泥浆泵,ni'jiang'beng
泥浆泵安全阀,ni'jiang'beng'an'quan'fa
泥浆测井,ni'jiang'ce'jing
泥浆处理,ni'jiang'chu'li
泥浆处理设备,ni'jiang'chu'li'she'bei
泥浆动力钻具,ni'jiang'dong'li'zuan'ju
泥浆分配槽,ni'jiang'fen'pei'cao
泥浆工,ni'jiang'gong
泥浆工程师,ni'jiang'gong'cheng'shi
泥浆罐,ni'jiang'guan
泥浆录井工,ni'jiang'lu'jing'gong
泥浆抢,ni'jiang'qiang
泥浆天平,ni'jiang'tian'ping
泥浆柱,ni'jiang'zhu
泥岩,ni'yan
粘度,nian'du
粘度计,nian'du'ji
粘土,nian'tu
粘土稳定剂,nian'tu'wen'ding'ji
凝固强度,ning'gu'qiang'du
柠檬,ning'meng
凝析气体,ning'xi'qi'ti
凝析油,ning'xi'you
扭矩,niu'ju
纽扣,niu'kou
牛奶,niu'nai
牛排,niu'pai
牛肉,niu'rou
牛仔裤,niu'zai'ku
偶合器,ou'he'qi
爬上去,pa'shang'qu
排出,pai'chu
排出阀,pai'chu'fa
排量,pai'liang
盘根盒,pan'gen'he
盘式刹车,pan'shi'sha'che
盘子,pan'zi
膀胱,pang'guang
抛光,pao'guang
抛锚,pao'mao
配电间,pei'dian'jian
配合接头,pei'he'jie'tou
喷射钻头,pen'she'zuan'tou
喷嘴,pen'zui
膨润土,peng'run'tu
碰压,peng'ya
膨胀率,peng'zhang'lv
膨胀水泥浆,peng'zhang'shui'ni'jiang
碰撞,peng'zhuang
皮带,pi'dai
皮带驱动,pi'dai'qu'dong
皮夹,pi'jia
啤酒,pi'jiu
批量生产,pi'liang'sheng'chan
坯料,pi'liao
皮鞋,pi'xie
平底铣鞋,ping'di'xi'xie
平方米,ping'fang'mi
苹果,ping'guo
平衡点,ping'heng'dian
平衡重,ping'heng'zhong
评价,ping'jia
瓶颈,ping'jing
平面,ping'mian
平面加工,ping'mian'jia'gong
平台安装,ping'tai'an'zhuang
平台经理,ping'tai'jing'li
坡道,po'dao
破裂压力,po'lie'ya'li
破乳剂,po'ru'ji
葡萄,pu'tao
葡萄干,pu'tao'gan
葡萄汁,pu'tao'zhi
普通水泥浆,pu'tong'shui'ni'jiang
气动的,qi'dong'de
气动工具,qi'dong'gong'ju
气动绞车,qi'dong'jiao'che
起伏,qi'fu
气割,qi'ge
气罐,qi'guan
气焊,qi'han
起井架,qi'jing'jia
启锚,qi'mao
气泡,qi'pao
气侵,qi'qin
七十,qi'shi
气体,qi'ti
起下钻罐,qi'xia'zuan'guan
气压不足,qi'ya'bu'zu
汽油,qi'you
七月,qi'yue
起钻,qi'zuan
起钻错扣,qi'zuan'cuo'kou
起钻倒返泥浆,qi'zuan'dao'fan'ni'jiang
起钻遇卡,qi'zuan'yu'ka
铅锤,qian'chui
浅海,qian'hai
千斤顶,qian'jin'ding
浅井,qian'jing
欠平衡钻井,qian'ping'heng'zuan'jing
潜水泵,qian'shui'beng
钳牙,qian'ya
牵引绳,qian'yin'sheng
铅油,qian'you
铅油刷,qian'you'shua
潜在储量研究,qian'zai'chu'liang'yan'jiu
钳子,qian'zi
抢修,qiang'xiu
撬杠,qiao'gang
茄克,qie'ke
茄子,qie'zi
芹菜,qin'cai
侵蚀,qin'shi
请打手势,qing'da'shou'shi
请翻译来,qing'fan'yi'lai
请看记录,qing'kan'ji'lu
请上来,qing'shang'lai
请下去,qing'xia'qu
球阀,qiu'fa
曲柄,qu'bing
屈服,qu'fu
屈服点,qu'fu'dian
屈服强度,qu'fu'qiang'du
去毛刺,qu'mao'ci
取心工具,qu'xin'gong'ju
取芯失败,qu'xin'shi'bai
取心收获率,qu'xin'shou'huo'lv
取心筒,qu'xin'tong
取心钻头,qu'xin'zuan'tou
取样工,qu'yang'gong
取样盒,qu'yang'he
取样间隔,qu'yang'jian'ge
取样器,qu'yang'qi
曲轴,qu'zhou
圈闭研究,quan'bi'yan'jiu
全部漏失,quan'bu'lou'shi
全封式防喷器,quan'feng'shi'fang'pen'qi
裙子,qun'zi
染色,ran'se
热狗,re'gou
人工压裂,ren'gong'ya'lie
溶解,rong'jie
柔性的,rou'xing'de
柔性短节,rou'xing'duan'jie
蠕动,ru'dong
乳化剂,ru'hua'ji
乳化降粘,ru'hua'jiang'zhan
入口,ru'kou
软地层,ruan'di'ceng
软管,ruan'guan
软盘,ruan'pan
润滑,run'hua
润滑剂,run'hua'ji
润滑油脂,run'hua'you'zhi
润滑脂,run'hua'zhi
润湿剂,run'shi'ji
三根钻杆组合,san'gen'zuan'gan'zu'he
三明治,san'ming'zhi
三十,san'shi
三通,san'tong
三维压裂,san'wei'ya'lie
三项交流电,san'xiang'jiao'liu'dian
三月,san'yue
散装水泥,san'zhuang'shui'ni
刹车带,sha'che'dai
刹车片,sha'che'pian
刹车轴,sha'che'zhou
刹车总成,sha'che'zong'cheng
沙发,sha'fa
砂桥,sha'qiao
砂岩,sha'yan
砂纸,sha'zhi
筛布,shai'bu
筛出,shai'chu
筛管,shai'guan
上吊茏,shang'diao'long
上紧,shang'jin
上扣,shang'kou
上扣猫头,shang'kou'mao'tou
上扭矩,shang'niu'ju
上水滤子,shang'shui'lv'zi
烧碱,shao'jian
烧结,shao'jie
射孔液,she'kong'ye
摄氏,she'shi
深井,shen'jing
渗透性,shen'tou'xing
声波技术,sheng'bo'ji'shu
生菜,sheng'cai
生产井,sheng'chan'jing
绳卡,sheng'ka
绳套,sheng'tao
十八,shi'ba
使成波状,shi'cheng'bo'zhuang
十二,shi'er
十二月,shi'er'yue
石灰,shi'hui
石灰岩,shi'hui'yan
试井,shi'jing
十九,shi'jiu
蚀刻,shi'ke
石蜡,shi'la
十六,shi'liu
石棉,shi'mian
石墨,shi'mo
十七,shi'qi
十三,shi'san
失水率,shi'shui'lv
十四,shi'si
试图解卡,shi'tu'jie'ka
十五,shi'wu
试压,shi'ya
试压杯,shi'ya'bei
十一,shi'yi
十一月,shi'yi'yue
石英,shi'ying
石英岩,shi'ying'yan
适用温度,shi'yong'wen'du
石油,shi'you
十月,shi'yue
食指,shi'zhi
手臂,shou'bi
手电钻,shou'dian'zuan
手动阀,shou'dong'fa
收据,shou'ju
手拉葫芦,shou'la'hu'lu
手轮,shou'lun
手砂轮,shou'sha'lun
手势,shou'shi
收缩,shou'suo
手套,shou'tao
手腕,shou'wan
收银员,shou'yin'yuan
手掌,shou'zhang
熟食柜台,shu'shi'gui'tai
熟铁,shu'tie
数值模拟,shu'zhi'mo'ni
枢轴,shu'zhou
梳子,shu'zi
数字记录,shu'zi'ji'lu
甩钻具,shuai'zuan'ju
双方独自检查,shuang'fang'du'zi'jian'cha
双感应测井,shuang'gan'ying'ce'jing
双头螺栓,shuang'tou'luo'shuan
双闸板防喷器,shuang'zha'ban'fang'pen'qi
水管,shui'guan
水龙头,shui'long'tou
水龙头盘根,shui'long'tou'pan'gen
水龙头提环,shui'long'tou'ti'huan
水敏,shui'min
水敏地层,shui'min'di'ceng
水泥,shui'ni
水泥窜槽,shui'ni'cuan'cao
水泥浆,shui'ni'jiang
水泥浆水化期间,shui'ni'jiang'shui'hua'qi'jian
水泥胶结质量,shui'ni'jiao'jie'zhi'liang
水泥面,shui'ni'mian
水泥塞,shui'ni'sai
水泥体积收缩,shui'ni'ti'ji'shou'suo
水平的,shui'ping'de
水平段,shui'ping'duan
水平井,shui'ping'jing
水平位移,shui'ping'wei'yi
水平仪,shui'ping'yi
水太少,shui'tai'shao
水眼尺寸,shui'yan'chi'cun
水眼效率,shui'yan'xiao'lv
睡衣,shui'yi
顺风,shun'feng
司机,si'ji
丝扣,si'kou
丝扣坏了,si'kou'huai'le
死绳,si'sheng
死绳固定器,si'sheng'gu'ding'qi
