啊哒,a'da
八面讨好儿,ba'mian'tao'hao'er
八模儿,ba'mo'er
拔脯儿,ba'pu'er
拔脯子,ba'pu'zi
拔旗儿,ba'qi'er
把软统,ba'ruan'tong
把上弦,ba'shang'xian
把式,ba'shi
把手儿,ba'shou'er
巴头儿,ba'tou'er
扒头儿,ba'tou'er
拔头份儿,ba'tou'fen'er
巴头探脑,ba'tou'tan'nao
拔腿,ba'tui
巴望,ba'wang
八下里,ba'xia'li
把弦儿,ba'xian'er
八仙桌儿,ba'xian'zhuo'er
吧则,ba'ze
巴掌,ba'zhang
巴子,ba'zi
把子,ba'zi
八字儿还没一撇儿,ba'zi'er'hai'mei'yi'pie'er
八宗,ba'zong
拔尊,ba'zun
把作,ba'zuo
白案儿,bai'an'er
白白净净儿,bai'bai'jing'jing'er
白班儿,bai'ban'er
白不呲咧,bai'bu'ci'lie
白不搭,bai'bu'da
白醭儿,bai'bu'er
掰不开镊子,bai'bu'kai'nie'zi
摆不平,bai'bu'ping
白碴儿,bai'cha'er
掰扯,bai'che
白扯,bai'che
白扯白,bai'che'bai
白吃饱儿,bai'chi'bao'er
白吃猴儿,bai'chi'hou'er
白搭,bai'da
白瞪,bai'deng
摆地,bai'di
白垫,bai'dian
白丁,bai'ding
白丁儿,bai'ding'er
摆动儿,bai'dong'er
白费蜡,bai'fei'la
拜杆儿,bai'gan'er
白干儿,bai'gan'er
白干儿酒,bai'gan'er'jiu
白搁张,bai'ge'zhang
白果儿,bai'guo'er
白果眼儿,bai'guo'yan'er
摆划,bai'hua
白话儿,bai'hua'er
白话舌儿,bai'hua'she'er
败火,bai'huo
白货,bai'huo
白唧唧,bai'ji'ji
败家,bai'jia
败家子儿,bai'jia'zi'er
摆件儿,bai'jian'er
掰交情,bai'jiao'qing
白开,bai'kai
掰开揉碎,bai'kai'rou'sui
白坎肩儿,bai'kan'jian'er
摆浪子,bai'lang'zi
白老婆儿,bai'lao'po'er
白老头儿,bai'lao'tou'er
白睖,bai'leng
百里挑一,bai'li'tiao'yi
白脸包,bai'lian'bao
摆露,bai'lu
白炉子,bai'lu'zi
百嘛儿似的,bai'ma'er'shi'de
摆忙,bai'mang
白忙,bai'mang
白毛儿汗,bai'mao'er'han
白帽子,bai'mao'zi
白么搁张,bai'me'ge'zhang
摆门子,bai'men'zi
掰面子,bai'mian'zi
摆魔,bai'mo
掰弄,bai'nong
摆弄,bai'nong
摆派,bai'pai
白泡儿,bai'pao'er
白坯儿,bai'pi'er
摆谱儿,bai'pu'er
白脐儿,bai'qi'er
白钱儿,bai'qian'er
白饶,bai'rao
白扔,bai'reng
白生生,bai'sheng'sheng
百十来,bai'shi'lai
百十来个,bai'shi'lai'ge
白薯,bai'shu
白头儿老,bai'tou'er'lao
白头绳儿,bai'tou'sheng'er
白头字儿,bai'tou'zi'er
白玩儿,bai'wan'er
掰文儿,bai'wen'er
白瞎,bai'xia
摆闲白儿,bai'xian'bai'er
摆闲盘儿,bai'xian'pan'er
摆闲篇儿,bai'xian'pian'er
摆闲撇儿,bai'xian'pie'er
摆邪,bai'xie
白眼儿狼,bai'yan'er'lang
白羊,bai'yang
百叶,bai'ye
拜月儿,bai'yue'er
摆云锣儿,bai'yun'luo'er
白斋,bai'zhai
掰着疼,bai'zhe'teng
摆轴,bai'zhou
白嘴儿,bai'zui'er
半半道儿,ban'ban'dao'er
扳扳倒儿,ban'ban'dao'er
半半截儿,ban'ban'jie'er
半半拉拉,ban'ban'la'la
半半落落,ban'ban'luo'luo
半彪子,ban'biao'zi
半不道儿,ban'bu'dao'er
扳不倒儿,ban'bu'dao'er
扳蹭儿,ban'ceng'er
扳岔子,ban'cha'zi
半大小伙子,ban'da'xiao'huo'zi
半大小子,ban'da'xiao'zi
搬登,ban'deng
板凳队,ban'deng'dui
板凳狗,ban'deng'gou
半点儿,ban'dian'er
半吊子,ban'diao'zi
伴儿,ban'er
板儿,ban'er
绊儿,ban'er
板儿车,ban'er'che
半儿拉多月,ban'er'la'duo'yue
半儿拉儿,ban'er'la'er
半儿拉去,ban'er'la'qu
半儿拉钟头,ban'er'la'zhong'tou
半儿劈,ban'er'pi
板儿平,ban'er'ping
板儿锹,ban'er'qiao
板儿石,ban'er'shi
板儿条,ban'er'tiao
板儿锨,ban'er'xian
板儿牙,ban'er'ya
板儿爷,ban'er'ye
板儿直,ban'er'zhi
板儿砖,ban'er'zhuan
半疯儿,ban'feng'er
半疯子,ban'feng'zi
扳杠,ban'gang
扳汗,ban'han
半憨子,ban'han'zi
扳壶,ban'hu
搬尖儿,ban'jian'er
半截儿,ban'jie'er
半截儿美,ban'jie'er'mei
半截缸,ban'jie'gang
半截腰儿,ban'jie'yao'er
半开眼,ban'kai'yan
半空儿,ban'kong'er
半剌瓜,ban'la'gua
半剌架儿,ban'la'jia'er
半路途中,ban'lu'tu'zhong
般配,ban'pei
半瓶醋,ban'ping'cu
半破儿,ban'po'er
半铺炕儿,ban'pu'kang'er
半晌,ban'shang
半生不熟,ban'sheng'bu'shu
办事的衙役,ban'shi'de'ya'yi
板手,ban'shou
半死不活,ban'si'bu'huo
半死不拉活,ban'si'bu'la'huo
扳死杠,ban'si'gang
拌蒜,ban'suan
半瘫儿,ban'tan'er
板条儿,ban'tiao'er
半新不旧,ban'xin'bu'jiu
板眼,ban'yan
半掩门儿,ban'yan'men'er
半腰,ban'yao
半语子,ban'yu'zi
扳钟儿,ban'zhong'er
半中间,ban'zhong'jian
半中腰,ban'zhong'yao
柈子,ban'zi
绊子,ban'zi
拌嘴,ban'zui
帮衬,bang'chen
帮喘,bang'chuan
棒槌,bang'chui
傍大款,bang'da'kuan
绑大款,bang'da'kuan
棒儿芹,bang'er'qin
傍黑儿,bang'hei'er
傍肩儿,bang'jian'er
梆朗老硬,bang'lang'lao'ying
梆朗硬,bang'lang'ying
傍亮,bang'liang
帮乱,bang'luan
傍晌,bang'shang
傍晌午,bang'shang'wu
棒势,bang'shi
帮套,bang'tao
膀条,bang'tiao
梆硬,bang'ying
傍着,bang'zhe
棒子,bang'zi
棒子馆儿,bang'zi'guan'er
棒子粒儿,bang'zi'li'er
棒子面儿,bang'zi'mian'er
梆子头,bang'zi'tou
帮嘴儿,bang'zui'er
抱板儿,bao'ban'er
饱饱儿的,bao'bao'er'de
宝贝疙瘩,bao'bei'ge'da
褒贬是买主儿,bao'bian'shi'mai'zhu'er
抱不平,bao'bu'ping
保不起,bao'bu'qi
保不齐,bao'bu'qi
保不齐严儿,bao'bu'qi'yan'er
保不住,bao'bu'zhu
抱粗腿,bao'cu'tui
抱定,bao'ding
薄儿脆,bao'er'cui
包袱,bao'fu
包袱皮儿,bao'fu'pi'er
保管,bao'guan
包管,bao'guan
包锅,bao'guo
抱锅,bao'guo
包涵,bao'han
宝盒子,bao'he'zi
包葫芦头儿,bao'hu'lu'tou'er
抱火盆儿,bao'huo'pen'er
抱脚儿,bao'jiao'er
报君知,bao'jun'zhi
抱空窝,bao'kong'wo
报苦穷儿,bao'ku'qiong'er
保媒拉纤儿,bao'mei'la'qian'er
宝魔,bao'mo
抱盆儿掷,bao'pen'er'zhi
抱篇儿,bao'pian'er
薄片儿蛤蜊张,bao'pian'er'ge'li'zhang
薄片子嘴,bao'pian'zi'zui
抱裙儿,bao'qun'er
报丧头,bao'sang'tou
抱沙锅,bao'sha'guo
抱身儿,bao'shen'er
抱馊腿,bao'sou'tui
包弹儿,bao'tan'er
暴腾,bao'teng
孢头,bao'tou
暴土,bao'tu
暴土狼烟,bao'tu'lang'yan
暴土扬场,bao'tu'yang'chang
暴土扬烟儿,bao'tu'yang'yan'er
抱团儿,bao'tuan'er
抱腿儿,bao'tui'er
抱窝,bao'wo
暴腌儿,bao'yan'er
包圆儿,bao'yuan'er
报元儿,bao'yuan'er
抱怨星儿,bao'yuan'xing'er
暴燥,bao'zao
暴抓儿,bao'zhua'er
饱壮,bao'zhuang
保准儿,bao'zhun'er
包准儿,bao'zhun'er
辈辈儿,bei'bei'er
备不住,bei'bu'zhu
背灯影儿,bei'deng'ying'er
倍儿,bei'er
倍儿磁,bei'er'ci
倍儿清,bei'er'qing
倍儿铁,bei'er'tie
背旮旯儿,bei'ga'la'er
背旮旯子,bei'ga'la'zi
背蛤蜊,bei'ge'li
背过气去,bei'guo'qi'qu
背过去,bei'guo'qu
背黑锅,bei'hei'guo
被货,bei'huo
背扣儿,bei'kou'er
背拉,bei'la
背累,bei'lei
背气,bei'qi
背头,bei'tou
被卧,bei'wo
背兴,bei'xing
背影儿,bei'ying'er
背字儿,bei'zi'er
笨笨拉拉,ben'ben'la'la
奔驰,ben'chi
锛得儿木,ben'de'er'mu
锛儿,ben'er
喯儿,ben'er
奔儿,ben'er
本儿,ben'er
锛儿拉,ben'er'la
锛儿拉头,ben'er'la'tou
奔儿了头,ben'er'le'tou
奔儿头,ben'er'tou
笨狗,ben'gou
锛瓜,ben'gua
笨货,ben'huo
本家儿,ben'jia'er
奔命,ben'ming
本命年,ben'ming'nian
笨手八脚,ben'shou'ba'jiao
本乡本土儿,ben'xiang'ben'tu'er
笨嘴巴舌,ben'zui'ba'she
蹦蹦儿,beng'beng'er
绷绷儿,beng'beng'er
蹦蹦儿车,beng'beng'er'che
蹦蹦儿利,beng'beng'er'li
蹦蹦儿戏,beng'beng'er'xi
绷不住,beng'bu'zhu
绷出去,beng'chu'qu
迸瓷儿,beng'ci'er
蹦跶,beng'da
甭顶,beng'ding
迸豆儿,beng'dou'er
蹦儿,beng'er
镚儿,beng'er
甭儿,beng'er
迸儿焦,beng'er'jiao
镚儿亮,beng'er'liang
迸干,beng'gan
绷弓儿,beng'gong'er
绷簧,beng'huang
甭价,beng'jie
绷劲儿,beng'jin'er
甭提,beng'ti
甭玩儿这套,beng'wan'er'zhe'tao
甭用,beng'yong
绷着价儿,beng'zhe'jia'er
绷着脸儿,beng'zhe'lian'er
绷着脸子,beng'zhe'lian'zi
绷住劲儿,beng'zhu'jin'er
镚子,beng'zi
镚子儿,beng'zi'er
鼻丁,bi'ding
鼻丁痂巴儿,bi'ding'jia'ba'er
鼻丁痂儿,bi'ding'jia'er
鼻丁枯蚩,bi'ding'ku'chi
鼻丁牛儿,bi'ding'niu'er
鼻锔子,bi'ju'zi
逼掯,bi'ken
哔啦卜碌,bi'la'bo'lu
哔楞卜楞,bi'leng'bo'leng
鼻梁洼儿,bi'liang'wa'er
鼻牛儿,bi'niu'er
荸荠果儿,bi'qi'guo'er
逼清,bi'qing
伯伯,bo'bo
恶觉,e'jue
恶睡,e'shui
恶盈,e'ying
拗甜,niu'tian
噢喉,o'hou
弸子,peng'zi
皮儿,pi'er
僻角儿,pi'jue'er
腌剌巴臜,yan'la'ba'za
腌里巴臜,yan'li'ba'za
腌臜,yan'za
一巴,yi'ba
