艾丽莎病毒,ai'li'sha'bing'du
上网安全助手,shang'wang'an'quan'zhu'shou
上网防护,shang'wang'fang'hu
释放器,shi'fang'qi
手动查杀,shou'dong'cha'sha
所有帐户,suo'you'zhang'hu
特征库,te'zheng'ku
特征码,te'zheng'ma
天龙八部木马,tian'long'ba'bu'mu'ma
跳转,tiao'zhuan
通行证,tong'xing'zheng
投票脚本,tou'piao'jiao'ben
网络安全工程师,wang'luo'an'quan'gong'cheng'shi
网络游戏窃贼木马,wang'luo'you'xi'qie'zei'mu'ma
网马,wang'ma
网页病毒下载器病毒,wang'ye'bing'du'xia'zai'qi'bing'du
网页感染器,wang'ye'gan'ran'qi
网银大盗后门,wang'yin'da'dao'hou'men
网游木马,wang'you'mu'ma
微点,wei'dian
微点主动防御软件,wei'dian'zhu'dong'fang'yu'ruan'jian
威尔佐夫蠕虫,wei'er'zuo'fu'ru'chong
威金蠕虫,wei'jin'ru'chong
微软漏洞,wei'ruan'lou'dong
威胁,wei'xie
问道木马,wen'dao'mu'ma
武装窃贼木马,wu'zhuang'qie'zei'mu'ma
西游木马,xi'you'mu'ma
下载版,xia'zai'ban
下载器,xia'zai'qi
线上游戏窃取者木马,xian'shang'you'xi'qie'qu'zhe'mu'ma
小红伞,xiao'hong'san
小红伞杀毒软件,xiao'hong'san'sha'du'ruan'jian
小木马,xiao'mu'ma
小蠕虫,xiao'ru'chong
新动力防病毒软件,xin'dong'li'fang'bing'du'ruan'jian
信息加密,xin'xi'jia'mi
信息摘要算法,xin'xi'zhai'yao'suan'fa
性感鸡病毒,xing'gan'ji'bing'du
性感相册蠕虫,xing'gan'xiang'ce'ru'chong
熊猫烧香蠕虫,xiong'mao'shao'xiang'ru'chong
熊猫卫士,xiong'mao'wei'shi
熊猫卫士杀毒软件,xiong'mao'wei'shi'sha'du'ruan'jian
寻仙木马,xun'xian'mu'ma
疫情监测,yi'qing'jian'ce
银河安全卫士,yin'he'an'quan'wei'shi
引擎,yin'qing
萤火虫木马,ying'huo'chong'mu'ma
游戏盗号王木马,you'xi'dao'hao'wang'mu'ma
云安全,yun'an'quan
在线查毒,zai'xian'cha'du
在线求助,zai'xian'qiu'zhu
在线杀毒,zai'xian'sha'du
摘要算法,zhai'yao'suan'fa
照片骗子蠕虫,zhao'pian'pian'zi'ru'chong
侦测,zhen'ce
诊断日志,zhen'duan'ri'zhi
证券大盗木马,zheng'quan'da'dao'mu'ma
征途木马,zheng'tu'mu'ma
中华吸血鬼病毒,zhong'hua'xi'xue'gui'bing'du
终结者木马,zhong'jie'zhe'mu'ma
中优先级,zhong'you'xian'ji
注册表,zhu'ce'biao
注册表编辑器,zhu'ce'biao'bian'ji'qi
主动防御,zhu'dong'fang'yu
注入木马下载器,zhu'ru'mu'ma'xia'zai'qi
专杀工具,zhuan'sha'gong'ju
桌面幽灵木马,zhuo'mian'you'ling'mu'ma
自动运行,zi'dong'yun'xing
自动运行蠕虫,zi'dong'yun'xing'ru'chong
自启动,zi'qi'dong
组策略,zu'ce'lue
组合版,zu'he'ban
