爱公物,ai'gong'wu
多民族,duo'min'zu
多磨炼,duo'mo'lian
多士寔宁,duo'shi'shi'ning
儿恭听,er'gong'ting
尔男子,er'nan'zi
二十传,er'shi'chuan
二十篇,er'shi'pian
二十七,er'shi'qi
尔小生,er'xiao'sheng
尔幼学,er'you'xue
儿之错,er'zhi'cuo
而之伦,er'zhi'lun
帆樯通,fan'qiang'tong
反侵略,fan'qin'lue
凡训蒙,fan'xun'meng
反于正介改革,fan'yu'zheng'jie'gai'ge
范仲俺,fan'zhong'an
方读子,fang'du'zi
方七岁,fang'qi'sui
方少时,fang'shao'shi
放卫星,fang'wei'xing
防意如城,fang'yi'ru'cheng
非亲却是亲,fei'qin'que'shi'qin
非所宜,fei'suo'yi
奋长婴,fen'chang'ying
分东西,fen'dong'xi
分清浊,fen'qing'zhuo
风流浪子莫教贫,feng'liu'lang'zi'mo'jiao'pin
蜂酿蜜,feng'niang'mi
逢人且说三分话未可全抛一片心,feng'ren'qie'shuo'san'fen'hua'wei'ke'quan'pao'yi'pian'xin
风人善,feng'ren'shan
风世面,feng'shi'mian
风危难,feng'wei'nan
夫唱妇随,fu'chang'fu'sui
父而身,fu'er'shen
夫妇从,fu'fu'cong
夫妇顺,fu'fu'shun
复汉土,fu'han'tu
复河山,fu'he'shan
赋离骚,fu'li'sao
府罗将相,fu'luo'jiang'xiang
扶农工,fu'nong'gong
复台湾,fu'tai'wan
浮渭据泾,fu'wei'ju'jing
俯仰廊庙,fu'yang'lang'miao
福缘善庆,fu'yuan'shan'qing
父之过,fu'zhi'guo
父子恩,fu'zi'en
父子亲,fu'zi'qin
盖此身发,gai'ci'shen'fa
甘尽瘁,gan'jin'cui
甘勤苦,gan'qin'ku
高冠陪辇,gao'guan'pei'nian
高尖精,gao'jian'jing
高曾祖,gao'zeng'zu
高祖兴,gao'zu'xing
割我地,ge'wo'di
歌舞曲,ge'wu'qu
各争鸣,ge'zheng'ming
根基厚,gen'ji'hou
宫殿盘郁,gong'dian'pan'yu
共和成,gong'he'cheng
工颦妍笑,gong'pin'yan'xiao
恭惟鞠养,gong'wei'ju'yang
共一家,gong'yi'jia
功至伟,gong'zhi'wei
苟不教,gou'bu'jiao
苟不学,gou'bu'xue
古长城,gu'chang'cheng
顾答审详,gu'da'shen'xiang
孤陋寡闻,gu'lou'gua'wen
鼓瑟吹笙,gu'se'chui'sheng
古圣贤,gu'sheng'xian
故乡人,gu'xiang'ren
骨铮铮,gu'zheng'zheng
贯恒心磨铁杵,guan'heng'xin'mo'tie'chu
观今宜鉴古无古不成今,guan'jin'yi'jian'gu'wu'gu'bu'cheng'jin
关王曲,guan'wang'qu
管与鲍,guan'yu'bao
广无限,guang'wu'xian
光武兴,guang'wu'xing
光于前,guang'yu'qian
光子箭学术界,guang'zi'jian'xue'shu'jie
贵诚谦,gui'cheng'qian
贵以专,gui'yi'zhuan
国大明,guo'da'ming
国号商,guo'hao'shang
国境内,guo'jing'nei
郭沫若,guo'mo'ruo
国乃改,guo'nai'gai
国旗升凝眸立,guo'qi'sheng'ning'mou'li
国与家,guo'yu'jia
国运昌华夏史似长河,guo'yun'chang'hua'xia'shi'si'chang'he
果珍李柰,guo'zhen'li'nai
骸垢想浴,hai'gou'xiang'yu
海咸河淡,hai'xian'he'dan
海有边,hai'you'bian
骇跃超骧,hai'yue'chao'xiang
韩弊烦刑,han'bi'fan'xing
汉华佗,han'hua'tuo
寒来暑往,han'lai'shu'wang
汉武节,han'wu'jie
汉杨震,han'yang'zhen
汉业建,han'ye'jian
号二帝,hao'er'di
好儿女,hao'er'nv
好公仆,hao'gong'pu
号洪武,hao'hong'wu
豪杰多,hao'jie'duo
好爵自縻,hao'jue'zi'mi
号六经,hao'liu'jing
号三国,hao'san'guo
号三皇,hao'san'huang
号四诗,hao'si'shi
曷为人,he'wei'ren
何遵约法,he'zun'yue'fa
黑火药,hei'huo'yao
红粉佳人休使老,hong'fen'jia'ren'xiu'shi'lao
户封八县,hu'feng'ba'xian
虎生犹可近,hu'sheng'you'ke'jin
虎添翼,hu'tian'yi
化被草木,hua'bei'cao'mu
画彩仙灵,hua'cai'xian'ling
画虎画皮难画骨知人知面不知心,hua'hu'hua'pi'nan'hua'gu'zhi'ren'zhi'mian'bu'zhi'xin
华罗庚孙冶方,hua'luo'geng'sun'ye'fang
华夏人,hua'xia'ren
怀博爱,huai'bo'ai
怀天下,huai'tian'xia
桓公匡合,huan'gong'kuang'he
黄道婆,huang'dao'po
黄河阔,huang'he'kuo
黄金无假阿魏无真,huang'jin'wu'jia'a'wei'wu'zhen
黄土地,huang'tu'di
晦魄环照,hui'po'huan'zhao
浑天仪,hun'tian'yi
或雄峻,huo'xiong'jun
或秀挺,huo'xiu'ting
祸因恶积,huo'yin'e'ji
即改正亲有过谏其改情意切,ji'gai'zheng'qin'you'guo'jian'qi'gai'qing'yi'qie
既集坟典,ji'ji'fen'dian
积金千两不如明解经书,ji'jin'qian'liang'bu'ru'ming'jie'jing'shu
及老庄,ji'lao'zhuang
急难何曾见一人,ji'nan'he'ceng'jian'yi'ren
记其事,ji'qi'shi
嵇琴阮啸,ji'qin'ruan'xiao
鸡犬豕,ji'quan'shi
济人须济急时无,ji'ren'xu'ji'ji'shi'wu
济弱扶倾,ji'ruo'fu'qing
稽颡再拜,ji'sang'zai'bai
记善言,ji'shan'yan
寄深情,ji'shen'qing
籍甚无竟,ji'shen'wu'jing
济世穷,ji'shi'qiong
鸡司晨,ji'si'chen
即思齐,ji'si'qi
祭祀烝尝,ji'si'zheng'chang
计算机,ji'suan'ji
鸡田赤城,ji'tian'chi'cheng
记心中,ji'xin'zhong
饥厌糟糠,ji'yan'zao'kang
家爱我,jia'ai'wo
家给千兵,jia'ji'qian'bing
加速器,jia'su'qi
家虽贫,jia'sui'pin
家天下,jia'tian'xia
假途灭虢,jia'tu'mie'guo
家务事,jia'wu'shi
甲帐对楹,jia'zhang'dui'ying
坚持雅操,jian'chi'ya'cao
笺牒简要,jian'die'jian'yao
建共和,jian'gong'he
剑号巨阙,jian'hao'ju'que
鉴貌辨色,jian'mao'bian'se
健如虎,jian'ru'hu
践土会盟,jian'tu'hui'meng
建中华,jian'zhong'hua
讲道德,jiang'dao'de
讲公德,jiang'gong'de
讲文明,jiang'wen'ming
教不严,jiao'bu'yan
矫如龙,jiao'ru'long
矫手顿足,jiao'shou'dun'zu
教五子,jiao'wu'zi
交友投分,jiao'you'tou'fen
焦裕禄,jiao'yu'lu
教之道,jiao'zhi'dao
接杯举觞,jie'bei'ju'shang
皆称帝,jie'cheng'di
皆可亲有五岳,jie'ke'qin'you'wu'yue
节义廉退,jie'yi'lian'tui
戒之哉,jie'zhi'zai
解组谁逼,jie'zu'shui'bi
近百年,jin'bai'nian
晋楚更霸,jin'chu'geng'ba
今科技,jin'ke'ji
金满嬴,jin'man'ying
金生丽水,jin'sheng'li'shui
近水楼台先得月,jin'shui'lou'tai'xian'de'yue
近水知鱼性近山识鸟音,jin'shui'zhi'yu'xing'jin'shan'shi'niao'yin
尽职责,jin'zhi'ze
经风雨,jing'feng'yu
经既明,jing'ji'ming
敬师长,jing'shi'zhang
景行维贤,jing'xing'wei'xian
精医道,jing'yi'dao
经子通,jing'zi'tong
酒逢知己饮诗向会人吟,jiu'feng'zhi'ji'yin'shi'xiang'hui'ren'yin
救溺童,jiu'ni'tong
究其数五十六,jiu'qi'shu'wu'shi'liu
酒中不语真君子,jiu'zhong'bu'yu'zhen'jun'zi
九州禹迹,jiu'zhou'yu'ji
久住令人贱,jiu'zhu'ling'ren'jian
久住难为人,jiu'zhu'nan'wei'ren
矩步引领,ju'bu'yin'ling
俱可塑,ju'ke'su
聚群英,ju'qun'ying
具膳餐饭,ju'shan'can'fan
居上世,ju'shang'shi
据神京,ju'shen'jing
举神童,ju'shen'tong
拒受金,ju'shou'jin
举先贤,ju'xian'xian
巨野洞庭,ju'ye'dong'ting
举总统,ju'zong'tong
君臣义,jun'chen'yi
钧巧任钓,jun'qiao'ren'diao
俊乂密勿,jun'yi'mi'wu
君则敬,jun'ze'jing
康与梁,kang'yu'liang
考实录,kao'shi'lu
考世系,kao'shi'xi
可成器,ke'cheng'qi
可成针,ke'cheng'zhen
客来主不顾应恐是痴人,ke'lai'zhu'bu'gu'ying'kong'shi'chi'ren
克念作圣,ke'nian'zuo'sheng
渴时一滴如甘露,ke'shi'yi'di'ru'gan'lu
空谷传声,kong'gu'chuan'sheng
孔怀兄弟,kong'huai'xiong'di
孔孟出,kong'meng'chu
口而诵,kou'er'song
寇内讧,kou'nei'hong
旷远绵邈,kuang'yuan'mian'miao
魁多士,kui'duo'shi
昆池碣石,kun'chi'jie'shi
赖及万方,lai'ji'wan'fang
来如风雨去似微尘,lai'ru'feng'yu'qu'si'wei'chen
来说是非者,lai'shuo'shi'fei'zhe
蓝笋象床,lan'sun'xiang'chuang
老何为,lao'he'wei
劳谦谨敕,lao'qian'jin'chi
老少异粮,lao'shao'yi'liang
老庄起,lao'zhuang'qi
勒碑刻铭,le'bei'ke'ming
乐担承,le'dan'cheng
乐殊贵贱,le'shu'gui'jian
乐助人,le'zhu'ren
礼别尊卑,li'bie'zun'bei
礼春秋,li'chun'qiu
立功勋,li'gong'xun
力千均,li'qian'jun
理容装,li'rong'zhuang
李时珍编本草,li'shi'zhen'bian'ben'cao
李四光好榜样,li'si'guang'hao'bang'yang
李太白诗之仙,li'tai'bai'shi'zhi'xian
力微休负重,li'wei'xiu'fu'zhong
礼仪邦,li'yi'bang
礼乐备,li'yue'bei
礼智信,li'zhi'xin
连大陆,lian'da'lu
廉洁者,lian'jie'zhe
梁陈承,liang'chen'cheng
两人一般心,liang'ren'yi'ban'xin
两疏见机,liang'shu'jian'ji
梁义之,liang'yi'zhi
辽于金,liao'yu'jin
列强欺,lie'qiang'qi
裂原子,lie'yuan'zi
林皋幸即,lin'gao'xing'ji
鳞潜羽翔,lin'qian'yu'xiang
临深履薄,lin'shen'lv'bo
林则徐,lin'ze'xu
聆音察理,ling'yin'cha'li
六百载,liu'bai'zai
流传久,liu'chuan'jiu
刘少奇,liu'shao'qi
流水下滩非有意,liu'shui'xia'tan'fei'you'yi
龙传人,long'chuan'ren
龙师火帝,long'shi'huo'di
龙腾飞,long'teng'fei
楼观飞惊,lou'guan'fei'jing
露结为霜,lu'jie'wei'shuang
路侠槐卿,lu'xia'huai'qing
鲁迅笔,lu'xun'bi
路遥知马力事久见人心,lu'yao'zhi'ma'li'shi'jiu'jian'ren'xin
论人际,lun'ren'ji
论修养,lun'xiu'yang
论语者,lun'yu'zhe
落叶飘摇,luo'ye'piao'yao
率宾归王,lv'bin'gui'wang
率工农,lv'gong'nong
驴骡犊特,lv'luo'du'te
律吕调阳,lv'lv'tiao'yang
律已严笃友谊,lv'yi'yan'du'you'yi
马行无力皆因瘦,ma'hang'wu'li'jie'yin'shou
马牛羊,ma'niu'yang
麦黍稷,mai'shu'ji
毛施淑姿,mao'shi'shu'zi
美不美,mei'bu'mei
美与劳,mei'yu'lao
孟断机,meng'duan'ji
孟轲敦素,meng'ke'dun'su
孟子者,meng'zi'zhe
靡恃己长,mi'shi'ji'chang
勉而致,mian'er'zhi
勉其祗植,mian'qi'zhi'zhi
妙通神,miao'tong'shen
民安康,min'an'kang
民国兴,min'guo'xing
民疾苦,min'ji'ku
民如海,min'ru'hai
鸣凤在竹,ming'feng'zai'zhu
明国情,ming'guo'qing
名句读,ming'ju'dou
名俱扬,ming'ju'yang
墨悲丝染,mo'bei'si'ran
莫道君行早更有早行人,mo'dao'jun'xing'zao'geng'you'zao'xing'ren
墨韩兴,mo'han'xing
莫偏废,mo'pian'fei
莫信直中直,mo'xin'zhi'zhong'zhi
莫怨太阳偏,mo'yuan'tai'yang'pian
木金土,mu'jin'tu
木石金,mu'shi'jin
哪个人前不说人,na'ge'ren'qian'bu'shuo'ren
乃八音,nai'ba'yin
乃服衣裳,nai'fu'yi'shang
乃九族,nai'jiu'zu
乃曾子,nai'zeng'zi
南北混,nan'bei'hun
难尽说,nan'jin'shuo
男效才良,nan'xiao'cai'liang
闹革命,nao'ge'ming
闹里有钱静处安身,nao'li'you'qian'jing'chu'an'shen
能辨琴,neng'bian'qin
能赋棋,neng'fu'qi
能让梨,neng'rang'li
能温席,neng'wen'xi
能咏诗,neng'yong'shi
能咏吟,neng'yong'yin
廿二史,nian'er'shi
年矢每催,nian'shi'mei'cui
鸟官人皇,niao'guan'ren'huang
宁可人负我,ning'ke'ren'fu'wo
女慕贞洁,nv'mu'zhen'jie
拍案起,pai'an'qi
徘徊瞻眺,pai'huai'zhan'tiao
枇杷晚翠,pi'pa'wan'cui
披蒲编,pi'pu'bian
品格高,pin'ge'gao
贫居闹市无人问富在深山有远亲,pin'ju'nao'shi'wu'ren'wen'fu'zai'shen'shan'you'yuan'qin
频来亲也疏,pin'lai'qin'ye'shu
平生莫作皱眉事,ping'sheng'mo'zuo'zhou'mei'shi
齐抖擞,qi'dou'sou
岂敢毁伤,qi'gan'hui'shang
绮回汉惠,qi'hui'han'hui
戚家军,qi'jia'jun
起翦颇牧,qi'jian'po'mu
岂可教人枉度春,qi'ke'jiao'ren'wang'du'chun
迄两晋,qi'liang'jin
齐努力,qi'nu'li
七篇止,qi'pian'zhi
七情具,qi'qing'ju
气势雄古运河,qi'shi'xiong'gu'yun'he
漆书壁经,qi'shu'bi'jing
戚谢欢招,qi'xie'huan'zhao
七雄出,qi'xiong'chu
起义师,qi'yi'shi
器欲难量,qi'yu'nan'liang
钱财如粪土仁义值千金,qian'cai'ru'fen'tu'ren'yi'zhi'qian'jin
千而万,qian'er'wan
迁夏社,qian'xia'she
钱学森,qian'xue'sen
迁燕京,qian'yan'jing
千字文,qian'zi'wen
强体魄,qiang'ti'po
且聪敏,qie'cong'min
切莫我负人,qie'mo'wo'fu'ren
切磨箴规,qie'mo'zhen'gui
妾御绩纺,qie'yu'ji'fang
且知勉,qie'zhi'mian
亲不亲,qin'bu'qin
勤工作,qin'gong'zuo
亲戚故旧,qin'qi'gu'jiu
秦始皇,qin'shi'huang
亲师友,qin'shi'you
沁心田,qin'xin'tian
亲养儿,qin'yang'er
勤有功,qin'you'gong
亲之过教不学,qin'zhi'guo'jiao'bu'xue
青少年,qing'shao'nian
清顺治,qing'shun'zhi
情相关,qing'xiang'guan
求富强,qiu'fu'qiang
求古寻论,qiu'gu'xun'lun
求人须求大丈夫,qiu'ren'xu'qiu'da'zhang'fu
秋收冬藏,qiu'shou'dong'cang
求学者,qiu'xue'zhe
求知识,qiu'zhi'shi
去而益咏,qu'er'yi'yong
驱毂振缨,qu'gu'zhen'ying
渠荷的历,qu'he'de'li
驱日冠,qu'ri'guan
全大司,quan'da'si
全发展,quan'fa'zhan
劝赏黜陟,quan'shang'chu'zhi
犬守夜,quan'shou'ye
全在兹,quan'zai'zi
群弟子,qun'di'zi
饶人不是痴汉,rao'ren'bu'shi'chi'han
人不风流只为贫,ren'bu'feng'liu'zhi'wei'pin
人不学,ren'bu'xue
人称奇,ren'cheng'qi
仁慈隐恻,ren'ci'yin'ce
人渐长,ren'jian'chang
人敬仰,ren'jing'yang
人情似纸张张薄,ren'qing'si'zhi'zhang'zhang'bao
人熟不堪亲,ren'shu'bu'kan'qin
人所食,ren'suo'shi
人所饲,ren'suo'si
人所同,ren'suo'tong
人相处,ren'xiang'chu
人遗子,ren'yi'zi
人之初,ren'zhi'chu
日月星,ri'yue'xing
日月盈昃,ri'yue'ying'ze
融四岁,rong'si'sui
荣业所基,rong'ye'suo'ji
容止若思,rong'zhi'ruo'si
入奉母仪,ru'feng'mu'yi
如负薪,ru'fu'xin
如挂角,ru'gua'jiao
如六经,ru'liu'jing
如囊萤,ru'nang'ying
入社会,ru'she'hui
如松之盛,ru'song'zhi'sheng
如天河,ru'tian'he
儒为席上珍,ru'wei'xi'shang'zhen
如薪火,ru'xin'huo
儒学立,ru'xue'li
如映雪,ru'ying'xue
如玉璞,ru'yu'pu
闰馀成岁,run'yu'cheng'sui
若不教,ruo'bu'jiao
若梁灏,ruo'liang'hao
若亲目,ruo'qin'mu
若要断酒法,ruo'yao'duan'jiu'fa
三百载,san'bai'zai
三才者,san'cai'zhe
三传者,san'chuan'zhe
三纲者,san'gang'zhe
三个行,san'ge'xing
三光者,san'guang'zhe
散虑逍遥,san'lv'xiao'yao
三易详,san'yi'xiang
三字经,san'zi'jing
扫门庭,sao'men'ting
山和水,shan'he'shui
闪银星,shan'yin'xing
山有路学无涯不停步,shan'you'lu'xue'wu'ya'bu'ting'bu
山中也有千年树,shan'zhong'ye'you'qian'nian'shu
山中有直树,shan'zhong'you'zhi'shu
上层楼,shang'ceng'lou
上和下睦,shang'he'xia'mu
尚勤学,shang'qin'xue
上学堂,shang'xue'tang
尚游说,shang'you'shui
商有汤,shang'you'tang
上致君,shang'zhi'jun
少索取,shao'suo'qu
烧圆明,shao'yuan'ming
摄职从政,she'zhi'cong'zheng
身而子,shen'er'zi
身己仕,shen'ji'shi
神器终,shen'qi'zhong
身虽劳,shen'sui'lao
沈雁冰,shen'yan'bing
慎终宜令,shen'zhong'yi'ling
身作则,shen'zuo'ze
省躬讥诫,sheng'gong'ji'jie
升阶纳陛,sheng'jie'na'bi
十八传,shi'ba'chuan
诗百篇,shi'bai'pian
世传颂,shi'chuan'song
始春秋,shi'chun'qiu
十而百,shi'er'bai
始发愤,shi'fa'fen
释纷利俗,shi'fen'li'su
诗既亡,shi'ji'wang
始兼并,shi'jian'bing
侍巾帷房,shi'jin'wei'fang
世居先,shi'ju'xian
始可读,shi'ke'du
适口充肠,shi'kou'chong'chang
十六世,shi'liu'shi
世禄侈富,shi'lu'chi'fu
识某文,shi'mou'wen
是亲不是亲,shi'qin'bu'shi'qin
世上难逢百岁人,shi'shang'nan'feng'bai'sui'ren
世上无直人,shi'shang'wu'zhi'ren
世上新人赶旧人,shi'shang'xin'ren'gan'jiu'ren
世上应无切齿人,shi'shang'ying'wu'qie'chi'ren
世事如棋局局新,shi'shi'ru'qi'ju'ju'xin
诗书画,shi'shu'hua
诗书易,shi'shu'yi
世同钦,shi'tong'qin
失统绪,shi'tong'xu
矢为公,shi'wei'gong
师项橐,shi'xiang'tuo
史鱼秉直,shi'yu'bing'zhi
诗赞羔羊,shi'zan'gao'yang
士者国之宝,shi'zhe'guo'zhi'bao
师之惰,shi'zhi'duo
诗之圣,shi'zhi'sheng
始制文字,shi'zhi'wen'zi
始诛纣,shi'zhu'zhou
首创造,shou'chuang'zao
首德育倡四有,shou'de'yu'chang'si'you
守规章,shou'gui'zhang
守口如瓶,shou'kou'ru'ping
首台湾,shou'tai'wan
首孝弟,shou'xiao'di
守真志满,shou'zhen'zhi'man
受周禅,shou'zhou'chan
手足谊,shou'zu'yi
数宝鸟,shu'bao'niao
束带矜庄,shu'dai'jin'zhuang
属耳垣墙,shu'er'yuan'qiang
恕己之心恕人,shu'ji'zhi'xin'shu'ren
庶几中庸,shu'ji'zhong'yong
述圣言,shu'sheng'yan
书之奥,shu'zhi'ao
水患息,shui'huan'xi
谁人背后无人说,shui'ren'bei'hou'wu'ren'shuo
税熟贡新,shui'shu'gong'xin
谁信东流海洋深,shui'xin'dong'liu'hai'yang'shen
说感武丁,shuo'gan'wu'ding
说仁义,shuo'ren'yi
四百年,si'bai'nian
四百载,si'bai'zai
丝绸路联西域,si'chou'lu'lian'xi'yu
四大五常,si'da'wu'chang
四海一,si'hai'yi
似兰斯馨,si'lan'si'xin
司马光,si'ma'guang
司马迁,si'ma'qian
四书熟,si'shu'shu
思往事,si'wang'shi
四小说,si'xiao'shuo
肆筵设席,si'yan'she'xi
宋包拯,song'bao'zheng
悚惧恐惶,song'ju'kong'huang
宋齐继,song'qi'ji
苏老泉,su'lao'quan
苏辛词,su'xin'ci
夙兴温凊,su'xing'wen'qing
孙武子,sun'wu'zi
孙中山,sun'zhong'shan
所当执,suo'dang'zhi
索居闲处,suo'ju'xian'chu
态度好语言美,tai'du'hao'yu'yan'mei
太祖兴,tai'zu'xing
探基因,tan'ji'yin
探险奥,tan'xian'ao
汤伐夏,tang'fa'xia
唐高祖,tang'gao'zu
唐刘晏,tang'liu'yan
唐有虞,tang'you'yu
恬笔伦纸,tian'bi'lun'zhi
天地人,tian'di'ren
天地玄黄,tian'di'xuan'huang
添豪情,tian'hao'qing
通古今,tong'gu'jin
同气连枝,tong'qi'lian'zhi
同携手,tong'xie'shou
投汩水,tou'gu'shui
头悬梁,tou'xuan'liang
土革,tu'ge
图写禽兽,tu'xie'qin'shou
推此心爱中华,tui'ci'xin'ai'zhong'hua
推位让国,tui'wei'rang'guo
退则败,tui'ze'bai
外受傅训,wai'shou'fu'xun
万民哭,wan'min'ku
纨扇圆絜,wan'shan'yuan'xie
望大同毛泽东,wang'da'tong'mao'ze'dong
王纲堕,wang'gang'duo
王莽篡,wang'mang'cuan
罔谈彼短,wang'tan'bi'duan
微旦孰营,wei'dan'shu'ying
为东汉,wei'dong'han
为南朝,wei'nan'chao
为人子,wei'ren'zi
魏蜀吴,wei'shu'wu
为学者,wei'xue'zhe
惟一经,wei'yi'jing
谓语助者,wei'yu'zhu'zhe
文化高,wen'hua'gao
闻鸡舞,wen'ji'wu
文坛上名峥嵘,wen'tan'shang'ming'zheng'rong
文天祥,wen'tian'xiang
文中子,wen'zhong'zi
我爱家,wo'ai'jia
我传统,wo'chuan'tong
倭胆寒,wo'dan'han
我奉献,wo'feng'xian
我疆域,wo'jiang'yu
我教子,wo'jiao'zi
我如粟,wo'ru'su
我先贤,wo'xian'xian
我艺黍稷,wo'yi'shu'ji
我志士,wo'zhi'shi
我中华,wo'zhong'hua
我周公,wo'zhou'gong
五霸强,wu'ba'qiang
无钱堪买金,wu'qian'kan'mai'jin
五千年,wu'qian'nian
无钱休入众,wu'qian'xiu'ru'zhong
无钱语不真,wu'qian'yu'bu'zhen
勿施人,wu'shi'ren
梧桐蚤凋,wu'tong'zao'diao
务资稼穑,wu'zi'jia'se
五子者,wu'zi'zhe
曦晖朗曜,xi'hui'lang'yao
习礼仪,xi'li'yi
昔孟母,xi'meng'mu
