阿鹏公司,a'peng'gong'si
磻溪甸,pan'xi'dian
朋曲村,peng'qu'cun
七里桥二中,qi'li'qiao'er'zhong
七小,qi'xiao
千户营,qian'hu'ying
清逸堂纸业,qing'yi'tang'zhi'ye
清真路口,qing'zhen'lu'kou
全民健身中心,quan'min'jian'shen'zhong'xin
人民公园,ren'min'gong'yuan
人民路,ren'min'lu
人民路口,ren'min'lu'kou
人民路西口,ren'min'lu'xi'kou
三车队,san'che'dui
三塔公园,san'ta'gong'yuan
三塔路口,san'ta'lu'kou
森工局,sen'gong'ju
沙栗木庄,sha'li'mu'zhuang
山西村,shan'xi'cun
上苍甸,shang'cang'dian
上丰呈庄,shang'feng'cheng'zhuang
上鸡邑,shang'ji'yi
上末村,shang'mo'cun
上阳和,shang'yang'he
深长村,shen'chang'cun
生久村路口,sheng'jiu'cun'lu'kou
生物小区,sheng'wu'xiao'qu
市法院,shi'fa'yuan
市公安局,shi'gong'an'ju
世纪中学,shi'ji'zhong'xue
市教育局,shi'jiao'yu'ju
十路车终点站,shi'lu'che'zhong'dian'zhan
市人武部,shi'ren'wu'bu
市设计院,shi'she'ji'yuan
实验中学东门,shi'yan'zhong'xue'dong'men
实验中学西门,shi'yan'zhong'xue'xi'men
市医院,shi'yi'yuan
石油储备库,shi'you'chu'bei'ku
石油站,shi'you'zhan
市运政所,shi'yun'zheng'suo
师专宿舍,shi'zhuan'su'she
双阳,shuang'yang
水厂,shui'chang
水电宿舍,shui'dian'su'she
水电医院,shui'dian'yi'yuan
水泥二厂路口,shui'ni'er'chang'lu'kou
泰安路口,tai'an'lu'kou
泰安桥北,tai'an'qiao'bei
太和,tai'he
太和桥招呼站,tai'he'qiao'zhao'hu'zhan
太和太四村,tai'he'tai'si'cun
太和苑小区,tai'he'yuan'xiao'qu
泰兴市场,tai'xing'shi'chang
太邑,tai'yi
天井村,tian'jing'cun
天井小学招呼站,tian'jing'xiao'xue'zhao'hu'zhan
外贸大楼,wai'mao'da'lou
万花小区,wan'hua'xiao'qu
湾桥,wan'qiao
卫校门诊,wei'xiao'men'zhen
文化路口,wen'hua'lu'kou
温泉度假村,wen'quan'du'jia'cun
文献村,wen'xian'cun
文献楼,wen'xian'lou
文献楼北,wen'xian'lou'bei
污水处理厂,wu'shui'chu'li'chang
无为寺,wu'wei'si
西大街口,xi'da'jie'kou
西环立交招呼站,xi'huan'li'jiao'zhao'hu'zhan
西门村公所,xi'men'cun'gong'suo
西窑菜场,xi'yao'cai'chang
下村村口,xia'cun'cun'kou
下兑村,xia'dui'cun
下兑路口,xia'dui'lu'kou
下兑小学,xia'dui'xiao'xue
下关,xia'guan
下关饭店,xia'guan'fan'dian
下关六中,xia'guan'liu'zhong
下关三中,xia'guan'san'zhong
下关四小,xia'guan'si'xiao
下关四中,xia'guan'si'zhong
下关一中,xia'guan'yi'zhong
下鸡邑,xia'ji'yi
下末村,xia'mo'cun
下庄,xia'zhuang
小岑,xiao'cen
小车加油站,xiao'che'jia'you'zhan
小关邑,xiao'guan'yi
小花园,xiao'hua'yuan
小庆洞,xiao'qing'dong
斜阳小区,xie'yang'xiao'qu
新村,xin'cun
新华书店,xin'hua'shu'dian
新邑村,xin'yi'cun
兴盛大桥北,xing'sheng'da'qiao'bei
兴盛大桥南,xing'sheng'da'qiao'nan
修理四厂,xiu'li'si'chang
学府路,xue'fu'lu
学院路口,xue'yuan'lu'kou
烟厂宿舍,yan'chang'su'she
阳波,yang'bo
阳洱小区,yang'er'xiao'qu
阳河,yang'he
阳河庄,yang'he'zhuang
阳平村,yang'ping'cun
洋人街,yang'ren'jie
阳乡,yang'xiang
杨展营二站,yang'zhan'ying'er'zhan
杨展营一站,yang'zhan'ying'yi'zhan
养征处,yang'zheng'chu
药材市场,yao'cai'shi'chang
叶榆路口,ye'yu'lu'kou
一号桥,yi'hao'qiao
一号信箱,yi'hao'xin'xiang
一塔路口,yi'ta'lu'kou
医院,yi'yuan
颐苑小区,yi'yuan'xiao'qu
颐苑小区二站,yi'yuan'xiao'qu'er'zhan
颐苑小区一站,yi'yuan'xiao'qu'yi'zhan
一中分部,yi'zhong'fen'bu
一中分院,yi'zhong'fen'yuan
银桥村,yin'qiao'cun
银桥食品园,yin'qiao'shi'pin'yuan
银桥镇政府,yin'qiao'zhen'zheng'fu
预备役二团,yu'bei'yi'er'tuan
育才中学,yu'cai'zhong'xue
玉洱公园,yu'er'gong'yuan
玉洱路口,yu'er'lu'kou
玉洱小区,yu'er'xiao'qu
玉和路招呼站,yu'he'lu'zhao'hu'zhan
月溪村,yue'xi'cun
云峰,yun'feng
云龙路口,yun'long'lu'kou
云南建校,yun'nan'jian'xiao
招呼站,zhao'hu'zhan
振兴街口,zhen'xing'jie'kou
纸厂,zhi'chang
州妇幼保健院,zhou'fu'you'bao'jian'yuan
州技术监督局,zhou'ji'shu'jian'du'ju
州农科所,zhou'nong'ke'suo
州水泥厂宿舍,zhou'shui'ni'chang'su'she
州委党校,zhou'wei'dang'xiao
州血防所,zhou'xue'fang'suo
州医院,zhou'yi'yuan
州制药厂,zhou'zhi'yao'chang
珠海市场,zhu'hai'shi'chang
紫云市场,zi'yun'shi'chang
