安靖,an'jing
凯源,kai'yuan
科山,ke'shan
库坑,ku'keng
苦笋林尖,ku'sun'lin'jian
矿山坑,kuang'shan'keng
赖山,lai'shan
蓝田,lan'tian
郎车,lang'che
劳动巷,lao'dong'xiang
老金光,lao'jin'guang
老鹰山,lao'ying'shan
里孟,li'meng
犁田坂,li'tian'ban
林地,lin'di
林坑,lin'keng
林隆路,lin'long'lu
灵地,ling'di
灵地乡,ling'di'xiang
岭兜,ling'dou
岭头,ling'tou
留春,liu'chun
留地洋,liu'di'yang
龙车,long'che
龙停山,long'ting'shan
垄尾,long'wei
禄前,lu'qian
芦芝,lu'zhi
芦芝乡,lu'zhi'xiang
罗坑,luo'keng
罗畲,luo'she
洛洋,luo'yang
吕坊,lv'fang
马厝,ma'cuo
马坑,ma'keng
麻坑,ma'keng
麻只贝,ma'zhi'bei
梅水坑,mei'shui'keng
梅营,mei'ying
南柄,nan'bing
南丰,nan'feng
南盘石,nan'pan'shi
南山,nan'shan
南洋,nan'yang
南洋乡,nan'yang'xiang
内佳山,nei'jia'shan
内寮,nei'liao
内林,nei'lin
内奇和,nei'qi'he
内双溪口,nei'shuang'xi'kou
内溪西,nei'xi'xi
宁康路,ning'kang'lu
欧坑路,ou'keng'lu
彭炉,peng'lu
平等巷,ping'deng'xiang
坪埔,ping'pu
坪山,ping'shan
麒龙山,qi'long'shan
钱坂,qian'ban
前大坂,qian'da'ban
前坪,qian'ping
前磜,qian'qi
前洋坪,qian'yang'ping
桥下,qiao'xia
芹菜,qin'cai
清源,qing'yuan
秋苑,qiu'yuan
仁隔山,ren'ge'shan
瑞都,rui'dou
三重岭,san'chong'ling
三棵松,san'ke'song
山贝,shan'bei
山羊隔,shan'yang'ge
上坂,shang'ban
上大坑,shang'da'keng
上德安,shang'de'an
上甫山,shang'fu'shan
上江东巷,shang'jiang'dong'xiang
上江西巷,shang'jiang'xi'xiang
上界,shang'jie
上雷石,shang'lei'shi
上伞洋,shang'san'yang
上石寮,shang'shi'liao
上洋,shang'yang
深坑井,shen'keng'jing
深洋,shen'yang
石坂坑,shi'ban'keng
石厝巷,shi'cuo'xiang
石鼓山,shi'gu'shan
石龟顶,shi'gui'ding
石寮,shi'liao
石垄,shi'long
适榕,shi'rong
十一湖,shi'yi'hu
石油公司,shi'you'gong'si
双洋,shuang'yang
双洋镇,shuang'yang'zhen
水尾,shui'wei
特益汽贸,te'yi'qi'mao
田美,tian'mei
田头,tian'tou
田尾洋,tian'wei'yang
铁东,tie'dong
铁路地区,tie'lu'di'qu
铁路二段,tie'lu'er'duan
铁三区,tie'san'qu
同春,tong'chun
通广巷,tong'guang'xiang
土坑,tu'keng
团结巷,tuan'jie'xiang
外黄固,wai'huang'gu
外罗坑,wai'luo'keng
尾村,wei'cun
尾头厝,wei'tou'cuo
温坑,wen'keng
文山,wen'shan
文星,wen'xing
吾祠,wu'ci
吾祠乡,wu'ci'xiang
梧村,wu'cun
武馆路,wu'guan'lu
吾老,wu'lao
武陵坑,wu'ling'keng
乌石隔,wu'shi'ge
五一林场,wu'yi'lin'chang
西后,xi'hou
西坑,xi'keng
西门头,xi'men'tou
溪南,xi'nan
溪南镇,xi'nan'zhen
西洋,xi'yang
西元,xi'yuan
西元乡,xi'yuan'xiang
溪仔口,xi'zi'kou
下大坑,xia'da'keng
下德安,xia'de'an
下地,xia'di
下河,xia'he
下界,xia'jie
下京口,xia'jing'kou
下坑口,xia'keng'kou
下墘,xia'qian
下畲,xia'she
下水洋,xia'shui'yang
下浙,xia'zhe
象湖,xiang'hu
象湖镇,xiang'hu'zhen
香寮,xiang'liao
小芹菜,xiao'qin'cai
谢地,xie'di
谢畲,xie'she
新桥,xin'qiao
新桥镇,xin'qiao'zhen
新山,xin'shan
新圩坑口,xin'xu'keng'kou
兴安汽修,xing'an'qi'xiu
秀崎头,xiu'qi'tou
秀溪,xiu'xi
许坑,xu'keng
徐溪,xu'xi
盐仓库,yan'cang'ku
岩高,yan'gao
岩坑,yan'keng
洋顶路,yang'ding'lu
洋坑,yang'keng
杨美,yang'mei
曳船坂,ye'chuan'ban
易坑,yi'keng
义宅,yi'zhai
银潭,yin'tan
营仑,ying'lun
颖水,ying'shui
永福,yong'fu
永福镇,yong'fu'zhen
永兴,yong'xing
尤山头,you'shan'tou
游山头,you'shan'tou
鱼邦坑,yu'bang'keng
月山,yue'shan
灶角,zao'jiao
枣树脚,zao'shu'jiao
灶头,zao'tou
站前广场,zhan'qian'guang'chang
站前路,zhan'qian'lu
漳平,zhang'ping
珍坂,zhen'ban
振鸿,zhen'hong
真山,zhen'shan
蜘蛛型,zhi'zhu'xing
中甲,zhong'jia
中界,zhong'jie
中仑,zhong'lun
中水门,zhong'shui'men
钟秀,zhong'xiu
中洋,zhong'yang
卓村,zhuo'cun
紫阳,zi'yang
自由巷,zi'you'xiang
紫云洞山,zi'yun'dong'shan
自主巷,zi'zhu'xiang
综合市场,zong'he'shi'chang
宗坑,zong'keng
