吖啶橙,a'ding'cheng
表面卵裂,biao'mian'luan'lie
表面皿培养,biao'mian'min'pei'yang
表面铺展法,biao'mian'pu'zhan'fa
表膜,biao'mo
表皮生长因子,biao'pi'sheng'zhang'yin'zi
表位,biao'wei
标志染色体,biao'zhi'ran'se'ti
别藻蓝蛋白,bie'zao'lan'dan'bai
玻璃珠培养,bo'li'zhu'pei'yang
波形蛋白,bo'xing'dan'bai
不动孢子,bu'dong'bao'zi
不动精子,bu'dong'jing'zi
不动配子,bu'dong'pei'zi
部分同源染色体,bu'fen'tong'yuan'ran'se'ti
不联会,bu'lian'hui
补体,bu'ti
补体旁路,bu'ti'pang'lu
不依赖,bu'yi'lai
不依赖贴壁细胞,bu'yi'lai'tie'bi'xi'bao
不育性,bu'yu'xing
擦镜纸培养,ca'jing'zhi'pei'yang
残余体,can'yu'ti
糙面内质网,cao'mian'nei'zhi'wang
操纵基因,cao'zong'ji'yin
操纵子,cao'zong'zi
侧成分,ce'cheng'fen
层粘连蛋白,ceng'zhan'lian'dan'bai
插入片段,cha'ru'pian'duan
插入序列,cha'ru'xu'lie
差速离心,cha'su'li'xin
差异表达,cha'yi'biao'da
产雌孤雌生殖,chan'ci'gu'ci'sheng'zhi
产雄孢子,chan'xiong'bao'zi
产雄孤雌生殖,chan'xiong'gu'ci'sheng'zhi
常染色体,chang'ran'se'ti
常染色质,chang'ran'se'zhi
超薄切片,chao'bao'qie'pian
超薄切片机,chao'bao'qie'pian'ji
超倍体,chao'bei'ti
超倍性,chao'bei'xing
巢蛋白,chao'dan'bai
超活染色,chao'huo'ran'se
超前凝聚染色体,chao'qian'ning'ju'ran'se'ti
超数精核,chao'shu'jing'he
超数染色体,chao'shu'ran'se'ti
超速离心机,chao'su'li'xin'ji
超微结构,chao'wei'jie'gou
成虫盘,cheng'chong'pan
呈递抗原细胞,cheng'di'kang'yuan'xi'bao
成膜体,cheng'mo'ti
成熟分裂,cheng'shu'fen'lie
成熟前有丝分裂,cheng'shu'qian'you'si'fen'lie
赤道板,chi'dao'ban
赤道面,chi'dao'mian
重复序列,chong'fu'xu'lie
重构抗体,chong'gou'kang'ti
重组,chong'zu
重组结,chong'zu'jie
重组子,chong'zu'zi
初级精母细胞,chu'ji'jing'mu'xi'bao
初级卵母细胞,chu'ji'luan'mu'xi'bao
初级溶酶体,chu'ji'rong'mei'ti
传代,chuan'dai
传代数,chuan'dai'shu
传递细胞,chuan'di'xi'bao
传粉,chuan'fen
船坞蛋白质,chuan'wu'dan'bai'zhi
纯合子,chun'he'zi
雌孢子,ci'bao'zi
雌核,ci'he
雌核发育,ci'he'fa'yu
雌核卵块发育,ci'he'luan'kuai'fa'yu
次级精母细胞,ci'ji'jing'mu'xi'bao
次级卵母细胞,ci'ji'luan'mu'xi'bao
次级溶酶体,ci'ji'rong'mei'ti
雌雄间体,ci'xiong'jian'ti
雌雄同体,ci'xiong'tong'ti
雌雄异体,ci'xiong'yi'ti
次缢痕,ci'yi'hen
雌质,ci'zhi
促成熟因子,cu'cheng'shu'yin'zi
促凝血酶原激酶,cu'ning'xue'mei'yuan'ji'mei
粗线期,cu'xian'qi
错编,cuo'bian
错分裂,cuo'fen'lie
大孢子,da'bao'zi
大孢子发生,da'bao'zi'fa'sheng
大孢子母细胞,da'bao'zi'mu'xi'bao
大豆凝集素,da'dou'ning'ji'su
大核,da'he
大颗粒淋巴细胞,da'ke'li'lin'ba'xi'bao
大量培养,da'liang'pei'yang
大配子,da'pei'zi
大型配子结合,da'xing'pei'zi'jie'he
带状桥粒,dai'zhuang'qiao'li
蛋白,dan'bai
蛋白质印迹法,dan'bai'zhi'yin'ji'fa
单倍孤雌生殖,dan'bei'gu'ci'sheng'zhi
单倍核,dan'bei'he
单倍体,dan'bei'ti
单倍性,dan'bei'xing
单层培养,dan'ceng'pei'yang
单分体,dan'fen'ti
单核因子,dan'he'yin'zi
单极分裂,dan'ji'fen'lie
单基因杂种,dan'ji'yin'za'zhong
单价体,dan'jia'ti
单克隆抗体,dan'ke'long'kang'ti
单链,dan'lian
单能性,dan'neng'xing
单亲生殖,dan'qin'sheng'zhi
单体,dan'ti
单细胞变异体,dan'xi'bao'bian'yi'ti
单细胞培养,dan'xi'bao'pei'yang
单型培养,dan'xing'pei'yang
单着丝粒染色体,dan'zhuo'si'li'ran'se'ti
倒置显微镜,dao'zhi'xian'wei'jing
的抗原,de'kang'yuan
等臂染色体,deng'bi'ran'se'ti
等电点聚焦电泳,deng'dian'dian'ju'jiao'dian'yong
灯刷染色体,deng'shua'ran'se'ti
地衣红,di'yi'hong
电场凝胶电泳,dian'chang'ning'jiao'dian'yong
电穿孔,dian'chuan'kong
淀粉核,dian'fen'he
电泳,dian'yong
点状桥粒,dian'zhuang'qiao'li
电子染色,dian'zi'ran'se
电子显微镜,dian'zi'xian'wei'jing
叠板反应器,die'ban'fan'ying'qi
顶体,ding'ti
顶体蛋白,ding'ti'dan'bai
顶体反应,ding'ti'fan'ying
顶体球,ding'ti'qiu
定向,ding'xiang
定型,ding'xing
定型细胞,ding'xing'xi'bao
顶质分泌,ding'zhi'fen'mi
动合子,dong'he'zi
动粒,dong'li
动力蛋白,dong'li'dan'bai
动力蛋白臂,dong'li'dan'bai'bi
动质,dong'zhi
读框移位,du'kuang'yi'wei
独特型,du'te'xing
端粒,duan'li
端着丝粒染色体,duan'zhuo'si'li'ran'se'ti
对端联会,dui'duan'lian'hui
对向运输,dui'xiang'yun'shu
多倍体,duo'bei'ti
多倍性,duo'bei'xing
多核合子,duo'he'he'zi
多核配子,duo'he'pei'zi
多核糖体,duo'he'tang'ti
多核体,duo'he'ti
多极有丝分裂,duo'ji'you'si'fen'lie
多价体,duo'jia'ti
多精入卵,duo'jing'ru'luan
多克隆发育区,duo'ke'long'fa'yu'qu
多克隆抗体,duo'ke'long'kang'ti
多泡体,duo'pao'ti
多胚现象,duo'pei'xian'xiang
多胚性,duo'pei'xing
多潜能性,duo'qian'neng'xing
多糖包被,duo'tang'bao'bei
多线期,duo'xian'qi
多线染色体,duo'xian'ran'se'ti
多形核,duo'xing'he
多形核白细胞,duo'xing'he'bai'xi'bao
多着丝粒染色体,duo'zhuo'si'li'ran'se'ti
额外染色体,e'wai'ran'se'ti
二倍体,er'bei'ti
二倍体细胞系,er'bei'ti'xi'bao'xi
二倍性,er'bei'xing
二分,er'fen
二分体,er'fen'ti
二价体,er'jia'ti
二态性,er'tai'xing
法氏囊,fa'shi'nang
番红,fan'hong
反密码子,fan'mi'ma'zi
反义,fan'yi
翻译,fan'yi
繁殖,fan'zhi
反转录病毒,fan'zhuan'lu'bing'du
反转录转座子,fan'zhuan'lu'zhuan'zuo'zi
反转录子,fan'zhuan'lu'zi
反足细胞,fan'zu'xi'bao
纺锤剩,fang'chui'sheng
纺锤体,fang'chui'ti
放射免疫测定,fang'she'mian'yi'ce'ding
放射性示踪物,fang'she'xing'shi'zong'wu
放射自显影术,fang'she'zi'xian'ying'shu
肥大细胞,fei'da'xi'bao
非接合孢子,fei'jie'he'bao'zi
非整倍体,fei'zheng'bei'ti
非整倍体细胞系,fei'zheng'bei'ti'xi'bao'xi
非整倍性,fei'zheng'bei'xing
分隔连接,fen'ge'lian'jie
分化,fen'hua
分化抗原,fen'hua'kang'yuan
分裂间期,fen'lie'jian'qi
分裂原,fen'lie'yuan
分泌,fen'mi
分泌小泡,fen'mi'xiao'pao
分泌自噬,fen'mi'zi'shi
分散,fen'san
分生组织培养,fen'sheng'zu'zhi'pei'yang
分析细胞学,fen'xi'xi'bao'xue
分子克隆化,fen'zi'ke'long'hua
分子识别,fen'zi'shi'bie
分子细胞学,fen'zi'xi'bao'xue
分子杂交,fen'zi'za'jiao
福尔根反应,fu'er'gen'fan'ying
复合体,fu'he'ti
副基粒,fu'ji'li
附加体,fu'jia'ti
副密码子,fu'mi'ma'zi
复盘培养,fu'pan'pei'yang
负染,fu'ran
辐射细胞学,fu'she'xi'bao'xue
弗氏不完全佐剂,fu'shi'bu'wan'quan'zuo'ji
弗氏完全佐剂,fu'shi'wan'quan'zuo'ji
复性,fu'xing
复制,fu'zhi
复制叉,fu'zhi'cha
复制带,fu'zhi'dai
复制酶,fu'zhi'mei
复制式培养,fu'zhi'shi'pei'yang
复制子,fu'zhi'zi
辅助,fu'zhu
复壮,fu'zhuang
盖玻片,gai'bo'pian
钙调蛋白,gai'tiao'dan'bai
干扰素,gan'rao'su
干涉显微镜,gan'she'xian'wei'jing
高变区,gao'bian'qu
高碘酸希夫反应,gao'dian'suan'xi'fu'fan'ying
高尔基复合体,gao'er'ji'fu'he'ti
高尔基体,gao'er'ji'ti
高速泳动族蛋白,gao'su'yong'dong'zu'dan'bai
高效液相层析,gao'xiao'ye'xiang'ceng'xi
高压电子显微镜,gao'ya'dian'zi'xian'wei'jing
高压灭菌器,gao'ya'mie'jun'qi
个体发育,ge'ti'fa'yu
根培养,gen'pei'yang
根丝体,gen'si'ti
共培养,gong'pei'yang
共有序列,gong'you'xu'lie
共运输,gong'yun'shu
共质,gong'zhi
共质体,gong'zhi'ti
共转化,gong'zhuan'hua
共转染,gong'zhuan'ran
孤雌发育,gu'ci'fa'yu
孤雌核配,gu'ci'he'pei
孤雌两核融合,gu'ci'liang'he'rong'he
孤雌生殖,gu'ci'sheng'zhi
孤雌生殖细胞,gu'ci'sheng'zhi'xi'bao
固绿,gu'lv
骨髓瘤细胞,gu'sui'liu'xi'bao
孤雄发育,gu'xiong'fa'yu
固有分泌,gu'you'fen'mi
管核,guan'he
管家基因,guan'jia'ji'yin
灌流培养系统,guan'liu'pei'yang'xi'tong
光面内质网,guang'mian'nei'zhi'wang
光显微镜,guang'xian'wei'jing
光学显微镜,guang'xue'xian'wei'jing
滚翻机制,gun'fan'ji'zhi
滚瓶培养,gun'ping'pei'yang
过氧化物酶体,guo'yang'hua'wu'mei'ti
合胞体,he'bao'ti
核被膜,he'bei'mo
核重建,he'chong'jian
合点受精,he'dian'shou'jing
核骨架,he'gu'jia
核固缩,he'gu'suo
合核体,he'he'ti
合核细胞,he'he'xi'bao
核基质,he'ji'zhi
核孔复合体,he'kong'fu'he'ti
核膜,he'mo
核膜孔,he'mo'kong
核内倍增,he'nei'bei'zeng
核内多倍体,he'nei'duo'bei'ti
核内多倍性,he'nei'duo'bei'xing
核内纺锤体,he'nei'fang'chui'ti
核内体,he'nei'ti
核内有丝分裂,he'nei'you'si'fen'lie
核内再复制,he'nei'zai'fu'zhi
核配,he'pei
核配合,he'pei'he
核球,he'qiu
核仁,he'ren
核仁内粒,he'ren'nei'li
核仁染色质,he'ren'ran'se'zhi
核仁线,he'ren'xian
核仁组织区,he'ren'zu'zhi'qu
核融合,he'rong'he
核溶解,he'rong'jie
核碎裂,he'sui'lie
核糖体,he'tang'ti
核体,he'ti
核网,he'wang
核纤层,he'xian'ceng
核纤层蛋白,he'xian'ceng'dan'bai
合线期,he'xian'qi
核小体,he'xiao'ti
核型,he'xing
核型分类学,he'xing'fen'lei'xue
核型模式图,he'xing'mo'shi'tu
核星期,he'xing'qi
核形态学,he'xing'tai'xue
核型图,he'xing'tu
核液,he'ye
核移植,he'yi'zhi
核质,he'zhi
核质比,he'zhi'bi
核质杂种细胞,he'zhi'za'zhong'xi'bao
核周体,he'zhou'ti
合子,he'zi
合子核,he'zi'he
合子期,he'zi'qi
核组装,he'zu'zhuang
横小管,heng'xiao'guan
红外光显微镜,hong'wai'guang'xian'wei'jing
后随链,hou'sui'lian
互补,hu'bu
互补决定区,hu'bu'jue'ding'qu
互补位,hu'bu'wei
糊粉粒,hu'fen'li
花粉,hua'fen
花粉内壁,hua'fen'nei'bi
花粉培养,hua'fen'pei'yang
花粉外壁,hua'fen'wai'bi
花结形成细胞,hua'jie'xing'cheng'xi'bao
化生,hua'sheng
花生凝集素,hua'sheng'ning'ji'su
花束期,hua'shu'qi
化学排斥物,hua'xue'pai'chi'wu
化学渗透,hua'xue'shen'tou
化学引诱物,hua'xue'yin'you'wu
花药培养,hua'yao'pei'yang
环孔片层,huan'kong'pian'ceng
黄化质体,huang'hua'zhi'ti
回复体,hui'fu'ti
灰色新月,hui'se'xin'yue
回文序列,hui'wen'xu'lie
混倍体,hun'bei'ti
混倍性,hun'bei'xing
获能,huo'neng
活体染料,huo'ti'ran'liao
活体染色,huo'ti'ran'se
基板,ji'ban
继代培养,ji'dai'pei'yang
基底膜,ji'di'mo
肌动蛋白,ji'dong'dan'bai
肌动球蛋白,ji'dong'qiu'dan'bai
极核,ji'he
基粒,ji'li
极粒,ji'li
基粒类囊体,ji'li'lei'nang'ti
基粒片层,ji'li'pian'ceng
集落,ji'luo
集落刺激因子,ji'luo'ci'ji'yin'zi
集落形成率,ji'luo'xing'cheng'lv
极帽,ji'mao
肌膜,ji'mo
基膜,ji'mo
吉姆萨染液,ji'mu'sa'ran'ye
肌球蛋白,ji'qiu'dan'bai
技术,ji'shu
肌丝,ji'si
极体,ji'ti
肌细胞,ji'xi'bao
极细胞,ji'xi'bao
极纤维,ji'xian'wei
肌小管,ji'xiao'guan
极性,ji'xing
记忆细胞,ji'yi'xi'bao
基因带,ji'yin'dai
基因库,ji'yin'ku
基因扩增,ji'yin'kuo'zeng
基因内互补,ji'yin'nei'hu'bu
基因枪,ji'yin'qiang
基因图,ji'yin'tu
基因文库,ji'yin'wen'ku
基因线,ji'yin'xian
基因置换,ji'yin'zhi'huan
基因组,ji'yin'zu
基因组文库,ji'yin'zu'wen'ku
基因作图,ji'yin'zuo'tu
肌原纤维,ji'yuan'xian'wei
肌质,ji'zhi
极质,ji'zhi
基质类囊体,ji'zhi'lei'nang'ti
基质片层,ji'zhi'pian'ceng
肌质网,ji'zhi'wang
假孢囊,jia'bao'nang
甲苯胺蓝,jia'ben'an'lan
假二倍体,jia'er'bei'ti
甲基绿,jia'ji'lv
甲基紫,jia'ji'zi
嫁接,jia'jie
加帽蛋白,jia'mao'dan'bai
加帽位点,jia'mao'wei'dian
鉴别染色,jian'bie'ran'se
间插序列,jian'cha'xu'lie
渐成论,jian'cheng'lun
减核精子,jian'he'jing'zi
剪接,jian'jie
间距因子,jian'ju'yin'zi
减数分裂,jian'shu'fen'lie
间体,jian'ti
间隙连接,jian'xi'lian'jie
碱性副品红,jian'xing'fu'pin'hong
碱性品红,jian'xing'pin'hong
间性体,jian'xing'ti
兼性异染色质,jian'xing'yi'ran'se'zhi
浆细胞,jiang'xi'bao
交变,jiao'bian
交叉端化,jiao'cha'duan'hua
角蛋白,jiao'dan'bai
交配型,jiao'pei'xing
接触导向,jie'chu'dao'xiang
接触抑制,jie'chu'yi'zhi
结蛋白,jie'dan'bai
接合,jie'he
接合孢子,jie'he'bao'zi
结合蛋白,jie'he'dan'bai
接合后体,jie'he'hou'ti
接合体,jie'he'ti
结晶紫,jie'jing'zi
解链蛋白,jie'lian'dan'bai
解剖显微镜,jie'pou'xian'wei'jing
介素,jie'su
紧密连接,jin'mi'lian'jie
精包,jing'bao
茎尖培养,jing'jian'pei'yang
精母细胞,jing'mu'xi'bao
镜台测微尺,jing'tai'ce'wei'chi
颈体,jing'ti
精细胞变态,jing'xi'bao'bian'tai
精原细胞,jing'yuan'xi'bao
静置培养,jing'zhi'pei'yang
精子,jing'zi
精子包囊,jing'zi'bao'nang
精子发生,jing'zi'fa'sheng
精子细胞,jing'zi'xi'bao
精子形成,jing'zi'xing'cheng
聚光镜,ju'guang'jing
橘黄,ju'huang
巨噬细胞,ju'shi'xi'bao
局质分泌,ju'zhi'fen'mi
决定子,jue'ding'zi
均等分裂,jun'deng'fen'lie
凯氏带,kai'shi'dai
抗独特型抗体,kang'du'te'xing'kang'ti
抗抗体,kang'kang'ti
抗体,kang'ti
抗体轻链,kang'ti'qing'lian
抗体重链,kang'ti'zhong'lian
抗血清,kang'xue'qing
抗原,kang'yuan
抗原加工,kang'yuan'jia'gong
抗原交联,kang'yuan'jiao'lian
抗原结合部位,kang'yuan'jie'he'bu'wei
抗原决定簇,kang'yuan'jue'ding'cu
考马斯蓝,kao'ma'si'lan
可变区,ke'bian'qu
可读框,ke'du'kuang
颗粒区,ke'li'qu
颗粒性分泌,ke'li'xing'fen'mi
克隆,ke'long
克隆变异,ke'long'bian'yi
克隆变异体,ke'long'bian'yi'ti
克隆繁殖,ke'long'fan'zhi
克隆率,ke'long'lv
克隆选择学说,ke'long'xuan'ze'xue'shuo
克隆用载体,ke'long'yong'zai'ti
空斑形成细胞,kong'ban'xing'cheng'xi'bao
跨膜信号发放,kua'mo'xin'hao'fa'fang
跨膜信号转换器,kua'mo'xin'hao'zhuan'huan'qi
跨细胞运输,kua'xi'bao'yun'shu
快速冷冻,kuai'su'leng'dong
扩增,kuo'zeng
扩增子,kuo'zeng'zi
朗氏细胞,lang'shi'xi'bao
类核,lei'he
类囊体,lei'nang'ti
冷冻保护剂,leng'dong'bao'hu'ji
冷冻超薄切片术,leng'dong'chao'bao'qie'pian'shu
冷冻断裂,leng'dong'duan'lie
冷冻固定,leng'dong'gu'ding
冷冻切片术,leng'dong'qie'pian'shu
冷冻蚀刻,leng'dong'shi'ke
冷冻撕裂,leng'dong'si'lie
冷冻置换,leng'dong'zhi'huan
立体显微镜,li'ti'xian'wei'jing
离子交换树脂,li'zi'jiao'huan'shu'zhi
离子交换柱,li'zi'jiao'huan'zhu
离子通道,li'zi'tong'dao
联会,lian'hui
联会复合体,lian'hui'fu'he'ti
联会面,lian'hui'mian
连接蛋白,lian'jie'dan'bai
连接酶,lian'jie'mei
连接子,lian'jie'zi
连丝微管,lian'si'wei'guan
连续培养,lian'xu'pei'yang
亮绿,liang'lv
两性融合,liang'xing'rong'he
裂球,lie'qiu
裂体生殖,lie'ti'sheng'zhi
淋巴毒素,lin'ba'du'su
淋巴母细胞,lin'ba'mu'xi'bao
淋巴细胞,lin'ba'xi'bao
淋巴细胞受体谱,lin'ba'xi'bao'shou'ti'pu
淋巴因子,lin'ba'yin'zi
临界点干燥法,lin'jie'dian'gan'zao'fa
硫堇,liu'jin
流式细胞分选仪,liu'shi'xi'bao'fen'xuan'yi
流式细胞计量术,liu'shi'xi'bao'ji'liang'shu
卵核分裂,luan'he'fen'lie
卵黄,luan'huang
卵黄膜,luan'huang'mo
卵孔,luan'kong
卵块发育,luan'kuai'fa'yu
卵裂,luan'lie
卵裂沟,luan'lie'gou
卵母细胞,luan'mu'xi'bao
卵式生殖,luan'shi'sheng'zhi
卵原细胞,luan'yuan'xi'bao
卵质,luan'zhi
卵中心体,luan'zhong'xin'ti
卵子发生,luan'zi'fa'sheng
罗伯逊易位,luo'bo'xun'yi'wei
罗丹明,luo'dan'ming
落射光显微镜,luo'she'guang'xian'wei'jing
裸细胞,luo'xi'bao
螺线管,luo'xian'guan
螺旋卵裂,luo'xuan'luan'lie
裸质体,luo'zhi'ti
脉冲,mai'chong
脉冲标记技术,mai'chong'biao'ji'ji'shu
麦胚凝集素,mai'pei'ning'ji'su
锚蛋白,mao'dan'bai
帽化,mao'hua
毛细管培养,mao'xi'guan'pei'yang
锚着因子,mao'zhe'yin'zi
酶免疫测定,mei'mian'yi'ce'ding
酶切,mei'qie
密度梯度离心,mi'du'ti'du'li'xin
米伦反应,mi'lun'fan'ying
密码,mi'ma
密码简并,mi'ma'jian'bing
密码子,mi'ma'zi
免疫沉淀法,mian'yi'chen'dian'fa
免疫促进,mian'yi'cu'jin
免疫电泳,mian'yi'dian'yong
免疫毒素,mian'yi'du'su
免疫记忆,mian'yi'ji'yi
免疫金,mian'yi'jin
免疫金染色,mian'yi'jin'ran'se
免疫扩散技术,mian'yi'kuo'san'ji'shu
免疫耐受,mian'yi'nai'shou
免疫球蛋白,mian'yi'qiu'dan'bai
免疫网络,mian'yi'wang'luo
免疫细胞化学,mian'yi'xi'bao'hua'xue
免疫细胞化学法,mian'yi'xi'bao'hua'xue'fa
免疫印迹法,mian'yi'yin'ji'fa
免疫荧光技术,mian'yi'ying'guang'ji'shu
免疫组织化学法,mian'yi'zu'zhi'hua'xue'fa
明视场显微镜,ming'shi'chang'xian'wei'jing
膜泵,mo'beng
膜内在蛋白质,mo'nei'zai'dan'bai'zhi
膜周边蛋白质,mo'zhou'bian'dan'bai'zhi
目镜测微尺,mu'jing'ce'wei'chi
囊胚,nang'pei
囊胚腔,nang'pei'qiang
内分泌,nei'fen'mi
内含子,nei'han'zi
内卷,nei'juan
内膜系统,nei'mo'xi'tong
内胚层,nei'pei'ceng
内切核酸酶,nei'qie'he'suan'mei
内融合,nei'rong'he
内体,nei'ti
内陷,nei'xian
内质,nei'zhi
内质体,nei'zhi'ti
内质网,nei'zhi'wang
尼蘩,ni'fan
尼格罗黑,ni'ge'luo'hei
拟核,ni'he
拟染色体,ni'ran'se'ti
逆行轴突运输,ni'xing'zhou'tu'yun'shu
逆转录病毒,ni'zhuan'lu'bing'du
粘着斑,nian'zhuo'ban
粘着斑蛋白,nian'zhuo'ban'dan'bai
粘着连接,nian'zhuo'lian'jie
粘着因子,nian'zhuo'yin'zi
凝集素,ning'ji'su
凝聚染色质,ning'ju'ran'se'zhi
凝溶胶蛋白,ning'rong'jiao'dan'bai
偶氮染色法,ou'dan'ran'se'fa
偶线期,ou'xian'qi
排卵,pai'luan
盘状卵裂,pan'zhuang'luan'lie
旁分泌,pang'fen'mi
胚斑,pei'ban
胚层,pei'ceng
胚带,pei'dai
胚孔,pei'kong
胚膜,pei'mo
胚盘,pei'pan
胚泡,pei'pao
胚乳,pei'ru
胚胎,pei'tai
胚胎发生,pei'tai'fa'sheng
胚胎培养,pei'tai'pei'yang
培养,pei'yang
培养基,pei'yang'ji
培养皿,pei'yang'min
培养液,pei'yang'ye
配子,pei'zi
配子发生,pei'zi'fa'sheng
配子母细胞,pei'zi'mu'xi'bao
配子囊,pei'zi'nang
配子配合,pei'zi'pei'he
配子生殖,pei'zi'sheng'zhi
膨压,peng'ya
皮质颗粒,pi'zhi'ke'li
片段化蛋白,pian'duan'hua'dan'bai
偏光显微镜,pian'guang'xian'wei'jing
铺满培养,pu'man'pei'yang
铺展因子,pu'zhan'yin'zi
启动子,qi'dong'zi
器官培养,qi'guan'pei'yang
器官型培养,qi'guan'xing'pei'yang
气升式发酵罐,qi'sheng'shi'fa'jiao'guan
前导链,qian'dao'lian
前导肽,qian'dao'tai
嵌合抗体,qian'he'kang'ti
嵌合体,qian'he'ti
前联会,qian'lian'hui
潜能,qian'neng
前细线期,qian'xi'xian'qi
牵引纤丝,qian'yin'xian'si
前质体,qian'zhi'ti
腔上囊,qiang'shang'nang
桥粒,qiao'li
切口平移,qie'kou'ping'yi
切片机,qie'pian'ji
亲和素,qin'he'su
亲近繁殖,qin'jin'fan'zhi
秋水仙素,qiu'shui'xian'su
秋水仙酰胺,qiu'shui'xian'xian'an
驱动蛋白,qu'dong'dan'bai
去分化,qu'fen'hua
去核,qu'he
趋化性,qu'hua'xing
区室化,qu'shi'hua
区相关抗原,qu'xiang'guan'kang'yuan
全能细胞,quan'neng'xi'bao
全能性,quan'neng'xing
全质分泌,quan'zhi'fen'mi
缺对,que'dui
缺体生物,que'ti'sheng'wu
群体倍增时间,qun'ti'bei'zeng'shi'jian
群体倍增水平,qun'ti'bei'zeng'shui'ping
群体密度,qun'ti'mi'du
染色,ran'se
染色单体,ran'se'dan'ti
染色单体断裂,ran'se'dan'ti'duan'lie
染色单体互换,ran'se'dan'ti'hu'huan
染色单体畸变,ran'se'dan'ti'ji'bian
染色单体间隙,ran'se'dan'ti'jian'xi
染色单体粒,ran'se'dan'ti'li
染色单体桥,ran'se'dan'ti'qiao
染色粒,ran'se'li
染色体,ran'se'ti
染色体臂,ran'se'ti'bi
染色体不分离,ran'se'ti'bu'fen'li
染色体重复,ran'se'ti'chong'fu
染色体重排,ran'se'ti'chong'pai
染色体丢失,ran'se'ti'diu'shi
染色体工程,ran'se'ti'gong'cheng
染色体畸变,ran'se'ti'ji'bian
染色体结,ran'se'ti'jie
染色体内重组,ran'se'ti'nei'chong'zu
染色体配对,ran'se'ti'pei'dui
染色体桥,ran'se'ti'qiao
染色体随体,ran'se'ti'sui'ti
染色体图,ran'se'ti'tu
染色体显带技术,ran'se'ti'xian'dai'ji'shu
染色体学,ran'se'ti'xue
染色体支架,ran'se'ti'zhi'jia
染色体轴,ran'se'ti'zhou
染色体周期,ran'se'ti'zhou'qi
染色体组,ran'se'ti'zu
染色体组型,ran'se'ti'zu'xing
染色线,ran'se'xian
染色质,ran'se'zhi
染色质凝聚,ran'se'zhi'ning'ju
染色质桥,ran'se'zhi'qiao
染色质球,ran'se'zhi'qiu
染色质丝,ran'se'zhi'si
染色质消减,ran'se'zhi'xiao'jian
染色中心,ran'se'zhong'xin
人工孤雌生殖,ren'gong'gu'ci'sheng'zhi
融合生殖,rong'he'sheng'zhi
融核体,rong'he'ti
溶酶体,rong'mei'ti
溶细胞素,rong'xi'bao'su
软骨粘连蛋白,ruan'gu'zhan'lian'dan'bai
瑞氏染液,rui'shi'ran'ye
三倍体,san'bei'ti
三倍性,san'bei'xing
三价体,san'jia'ti
三脚蛋白复合体,san'jiao'dan'bai'fu'he'ti
三联体密码,san'lian'ti'mi'ma
三体,san'ti
扫描电子显微镜,sao'miao'dian'zi'xian'wei'jing
扫描隧道显微镜,sao'miao'sui'dao'xian'wei'jing
色蛋白,se'dan'bai
