爱伦达尔桔,ai'lun'da'er'ju
红加仑,hong'jia'lun
红毛丹,hong'mao'dan
红啤梨,hong'pi'li
红肉蜜柚苗,hong'rou'mi'you'miao
红肉苹果,hong'rou'ping'guo
红乳葡萄,hong'ru'pu'tao
红瑞宝,hong'rui'bao
红心猕猴桃,hong'xin'mi'hou'tao
红阳猕猴桃,hong'yang'mi'hou'tao
厚皮甜瓜,hou'pi'tian'gua
葫芦瓜,hu'lu'gua
华红脐橙,hua'hong'qi'cheng
华美二号,hua'mei'er'hao
花牛苹果,hua'niu'ping'guo
华盛顿脐橙,hua'sheng'dun'qi'cheng
化妆水果,hua'zhuang'shui'guo
黄河密甜瓜,huang'he'mi'tian'gua
黄晶果,huang'jing'guo
黄皮,huang'pi
辉渠镇,hui'qu'zhen
火龙果,huo'long'guo
激素水果,ji'su'shui'guo
畸形水果,ji'xing'shui'guo
尖把梨,jian'ba'li
减肥话梅,jian'fei'hua'mei
尖蜜拉,jian'mi'la
金桔,jin'ju
金魁猕猴桃,jin'kui'mi'hou'tao
晋蜜梨,jin'mi'li
金蛇果,jin'she'guo
金手指葡萄,jin'shou'zhi'pu'tao
晋酥梨,jin'su'li
金桃猕猴桃,jin'tao'mi'hou'tao
金星果,jin'xing'guo
金星无核葡萄,jin'xing'wu'he'pu'tao
金州黄桃,jin'zhou'huang'tao
京秀葡萄,jing'xiu'pu'tao
京玉葡萄,jing'yu'pu'tao
桔橙七号,ju'cheng'qi'hao
巨峰葡萄,ju'feng'pu'tao
巨玫瑰葡萄,ju'mei'gui'pu'tao
橘子,ju'zi
卡姆果,ka'mu'guo
开县锦橙,kai'xian'jin'cheng
魁绿猕猴桃,kui'lv'mi'hou'tao
来檬,lai'meng
莱阳梨,lai'yang'li
蓝莓,lan'mei
兰撒,lan'sa
兰州冬果梨,lan'zhou'dong'guo'li
老鸦柿,lao'ya'shi
李属,li'shu
荔枝,li'zhi
李子,li'zi
廉江红橙,lian'jiang'hong'cheng
莲雾,lian'wu
榴莲,liu'lian
榴梿属,liu'lian'shu
龙荔,long'li
龙门年桔,long'men'nian'ju
龙眼,long'yan
庐山香猕猴桃,lu'shan'xiang'mi'hou'tao
绿橙,lv'cheng
马拉斯奇诺樱桃,ma'la'si'qi'nuo'ying'tao
马水桔,ma'shui'ju
蔓越莓,man'yue'mei
芒果,mang'guo
茂谷柑,mao'gu'gan
毛花猕猴桃,mao'hua'mi'hou'tao
毛叶枣,mao'ye'zao
玫瑰香,mei'gui'xiang
美人指,mei'ren'zhi
孟津梨,meng'jin'li
弥猴桃,mi'hou'tao
猕猴桃,mi'hou'tao
米勒葡萄,mi'le'pu'tao
蜜利葡萄,mi'li'pu'tao
米良一号,mi'liang'yi'hao
迷你西瓜,mi'ni'xi'gua
墨科特桔橙,mo'ke'te'ju'cheng
磨盘柿,mo'pan'shi
磨盘柿子,mo'pan'shi'zi
奶桃,nai'tao
南丰蜜桔,nan'feng'mi'ju
南国梨,nan'guo'li
南果梨,nan'guo'li
南康甜柚,nan'kang'tian'you
南美梨,nan'mei'li
柠檬,ning'meng
纽荷尔脐橙,niu'he'er'qi'cheng
牛油果,niu'you'guo
瓯柑,ou'gan
欧楂,ou'zha
欧洲越橘,ou'zhou'yue'ju
蟠桃,pan'tao
庞寨黑叶荔枝,pang'zhai'hei'ye'li'zhi
枇杷,pi'pa
平安果,ping'an'guo
苹果,ping'guo
葡萄,pu'tao
葡萄柚,pu'tao'you
脐橙,qi'cheng
脐橙四号,qi'cheng'si'hao
脐血橙,qi'xue'cheng
桥本温州蜜柑,qiao'ben'wen'zhou'mi'gan
茄苳,qie'dong
秦酥梨,qin'su'li
清江椪柑,qing'jiang'peng'gan
青梅,qing'mei
青柠,qing'ning
清徐葡萄,qing'xu'pu'tao
青枣,qing'zao
秋蜜桃,qiu'mi'tao
热带水果鸡蛋果,re'dai'shui'guo'ji'dan'guo
热冬果,re'dong'guo
热情果,re'qing'guo
人参果,ren'shen'guo
日本柚子,ri'ben'you'zi
软儿梨,ruan'er'li
软毛甜猕猴桃,ruan'mao'tian'mi'hou'tao
瑞士红苹果,rui'shi'hong'ping'guo
赛美蓉,sai'mei'rong
三白西瓜,san'bai'xi'gua
三宝柑,san'bao'gan
三华李,san'hua'li
桑葚,sang'shen
桑椹,sang'shen
沙巴珍珠,sha'ba'zhen'zhu
沙棘,sha'ji
沙棘果,sha'ji'guo
沙梨,sha'li
砂梨,sha'li
沙糖桔,sha'tang'ju
沙田柚,sha'tian'you
山核桃,shan'he'tao
山梨,shan'li
山莓,shan'mei
山阴梨,shan'yin'li
山楂,shan'zha
山竹,shan'zhu
商务水果,shang'wu'shui'guo
绍兴菱,shao'xing'ling
蛇皮果,she'pi'guo
神秘果,shen'mi'guo
神园葡萄,shen'yuan'pu'tao
矢富罗莎,shi'fu'luo'sha
石榴,shi'liu
水果包装,shui'guo'bao'zhuang
水果卡,shui'guo'ka
水蜜桃,shui'mi'tao
酸豆,suan'dou
酸枣,suan'zao
台湾椪柑,tai'wan'peng'gan
台湾香檬,tai'wan'xiang'meng
桃驳李,tao'bo'li
提子,ti'zi
甜百香果,tian'bai'xiang'guo
甜橙,tian'cheng
田阳香芒,tian'yang'xiang'mang
桶柑,tong'gan
通山五号,tong'shan'wu'hao
吐鲁番红葡萄,tu'lu'fan'hong'pu'tao
凸椪,tu'peng
晚白柚,wan'bai'you
晚红葡萄,wan'hong'pu'tao
晚棱脐橙,wan'leng'qi'cheng
皖蜜猕猴桃,wan'mi'mi'hou'tao
威宁大黄梨,wei'ning'da'huang'li
榅桲,wen'po
温州蜜橘,wen'zhou'mi'ju
乌饭子,wu'fan'zi
无核白鸡心,wu'he'bai'ji'xin
无花果,wu'hua'guo
五爪苹果,wu'zhao'ping'guo
武植三号,wu'zhi'san'hao
无籽西瓜,wu'zi'xi'gua
西瓜,xi'gua
西梅,xi'mei
硒砂瓜,xi'sha'gua
檄树,xi'shu
西洋梨,xi'yang'li
西柚,xi'you
霞多丽,xia'duo'li
香瓜,xiang'gua
香蕉,xiang'jiao
香柠檬,xiang'ning'meng
象牙芒果,xiang'ya'mang'guo
香橼,xiang'yuan
香悦葡萄,xiang'yue'pu'tao
心型桔子,xin'xing'ju'zi
兴隆红果,xing'long'hong'guo
杏子,xing'zi
徐香猕猴桃,xu'xiang'mi'hou'tao
雪莲果,xue'lian'guo
雅法橙,ya'fa'cheng
烟台苹果,yan'tai'ping'guo
严州雪梨,yan'zhou'xue'li
羊奶子,yang'nai'zi
杨桃,yang'tao
阳信鸭梨,yang'xin'ya'li
野生荔枝,ye'sheng'li'zhi
椰子,ye'zi
宜昌橙,yi'chang'cheng
伊予柑,yi'yu'gan
婴奥,ying'ao
硬齿猕猴桃,ying'chi'mi'hou'tao
应季水果,ying'ji'shui'guo
樱桃,ying'tao
油梨,you'li
油桃,you'tao
柚子,you'zi
月柿,yue'shi
赞皇大枣,zan'huang'da'zao
早玛瑙,zao'ma'nao
早玫瑰葡萄,zao'mei'gui'pu'tao
早美酥梨,zao'mei'su'li
枣树,zao'shu
枣子,zao'zi
张家港凤凰水蜜桃,zhang'jia'gang'feng'huang'shui'mi'tao
中猕一号,zhong'mi'yi'hao
竹溪二号,zhu'xi'er'hao
紫珍香葡萄,zi'zhen'xiang'pu'tao
酢橘,zuo'ju
