矮脚美人蕉,ai'jiao'mei'ren'jiao
怀牛膝,huai'niu'xi
黄豆,huang'dou
黄瓜,huang'gua
皇冠草,huang'guan'cao
黄花铁线莲,huang'hua'tie'xian'lian
黄槐,huang'huai
黄椒,huang'jiao
黄槿,huang'jin
黄金间碧竹,huang'jin'jian'bi'zhu
黄金叶,huang'jin'ye
黄绿苹果,huang'lv'ping'guo
黄毛豆付柴,huang'mao'dou'fu'chai
幌伞枫,huang'san'feng
黄檀,huang'tan
黄纹万年麻,huang'wen'wan'nian'ma
黄芜花,huang'wu'hua
黄虾花,huang'xia'hua
黄钟花,huang'zhong'hua
火力楠,huo'li'nan
火龙果,huo'long'guo
火焰木,huo'yan'mu
火殃勒,huo'yang'le
鸡蛋果,ji'dan'guo
鸡蛋花,ji'dan'hua
鸡冠刺桐,ji'guan'ci'tong
鸡屎藤,ji'shi'teng
鸡尾木,ji'wei'mu
假槟榔,jia'bing'lang
假连翘,jia'lian'qiao
加那利海枣,jia'na'li'hai'zao
假频婆,jia'pin'po
夹竹桃,jia'zhu'tao
剪刀股,jian'dao'gu
坚荚树,jian'jia'shu
尖叶杜英,jian'ye'du'ying
江南杜鹃,jiang'nan'du'juan
姜棕,jiang'zong
芥菜苗,jie'cai'miao
结香,jie'xiang
金边黄杨,jin'bian'huang'yang
金边露蔸,jin'bian'lu'dou
金凤花,jin'feng'hua
金果榄,jin'guo'lan
金脉爵床,jin'mai'jue'chuang
金钱钝叶草,jin'qian'dun'ye'cao
金钱榕,jin'qian'rong
金山葵,jin'shan'kui
金银花,jin'yin'hua
韭菜,jiu'cai
韭菜花,jiu'cai'hua
九里香,jiu'li'xiang
酒瓶椰子,jiu'ping'ye'zi
菊苣,ju'ju
橘子,ju'zi
卷心菜,juan'xin'cai
苦瓜,ku'gua
苦参,ku'shen
苦杏仁,ku'xing'ren
阔叶猕猴桃,kuo'ye'mi'hou'tao
腊肠树,la'chang'shu
辣椒,la'jiao
蜡梅,la'mei
兰花楹,lan'hua'ying
狼毒,lang'du
勒杜鹃,le'du'juan
了哥王,le'ge'wang
冷水花,leng'shui'hua
荔枝,li'zhi
李子,li'zi
梨子,li'zi
莲藕,lian'ou
留兰香,liu'lan'xiang
榴梿,liu'lian
六月雪,liu'yue'xue
龙柏,long'bai
龙船花,long'chuan'hua
龙吐珠,long'tu'zhu
芦笋,lu'sun
罗汉松,luo'han'song
落羽松,luo'yu'song
绿豆,lv'dou
绿豆芽,lv'dou'ya
绿皮番瓜,lv'pi'fan'gua
绿苹果,lv'ping'guo
旅人蕉,lv'ren'jiao
麻楝,ma'lian
马铃薯,ma'ling'shu
马尼拉草皮,ma'ni'la'cao'pi
马占相思,ma'zhan'xiang'si
麦金托什红苹果,mai'jin'tuo'shi'hong'ping'guo
满天星,man'tian'xing
曼陀罗,man'tuo'luo
芒果,mang'guo
茅菜,mao'cai
毛果巴豆,mao'guo'ba'dou
猫尾木,mao'wei'mu
猫眼草,mao'yan'cao
玫瑰,mei'gui
美国香瓜,mei'guo'xiang'gua
美丽异木棉,mei'li'yi'mu'mian
美丽针葵,mei'li'zhen'kui
美女樱,mei'nv'ying
美蕊花,mei'rui'hua
美洲南瓜,mei'zhou'nan'gua
弥猴桃,mi'hou'tao
米兰,mi'lan
面包树,mian'bao'shu
茉莉,mo'li
莫氏榄仁,mo'shi'lan'ren
木瓜,mu'gua
木麻黄,mu'ma'huang
木棉,mu'mian
木樨榄,mu'xi'lan
木油桐,mu'you'tong
南瓜,nan'gua
南美梨,nan'mei'li
南洋杉,nan'yang'sha
南阳楹,nan'yang'ying
鸟桕,niao'jiu
柠檬,ning'meng
欧洲萝卜,ou'zhou'luo'bo
爬墙虎,pa'qiang'hu
盘架子,pan'jia'zi
炮仗花,pao'zhang'hua
辟荔,pi'li
枇杷,pi'pa
苹果,ping'guo
蒲葵,pu'kui
葡萄,pu'tao
葡萄干,pu'tao'gan
葡萄柚,pu'tao'you
菩提榕,pu'ti'rong
七彩大红花,qi'cai'da'hong'hua
麒麟冠,qi'lin'guan
七叶一枝花,qi'ye'yi'zhi'hua
奇异果,qi'yi'guo
千根草,qian'gen'cao
茄子,qie'zi
芹菜,qin'cai
芹菜梗,qin'cai'geng
琴叶榕,qin'ye'rong
青豆,qing'dou
青椒,qing'jiao
秋海棠,qiu'hai'tang
秋葵,qiu'kui
球芽甘蓝,qiu'ya'gan'lan
仁面,ren'mian
日本结缕草,ri'ben'jie'lv'cao
日本小蘖,ri'ben'xiao'nie
洒金榕,sa'jin'rong
三角椰子,san'jiao'ye'zi
三棱箭,san'leng'jian
三梭,san'suo
散尾葵,san'wei'kui
三药槟榔,san'yao'bing'lang
珊瑚球,shan'hu'qiu
扇榈,shan'lv
山霉,shan'mei
山瑞香,shan'rui'xiang
山乌桕,shan'wu'jiu
山药,shan'yao
山棕,shan'zong
上海红铁,shang'hai'hong'tie
射干,she'gan
肾蕨,shen'jue
生菜,sheng'cai
十大功劳,shi'da'gong'lao
使君子,shi'jun'zi
石山巴豆,shi'shan'ba'dou
石粟,shi'su
树菠萝,shu'bo'luo
双夹槐,shuang'jia'huai
水蒲桃,shui'pu'tao
水石榕,shui'shi'rong
水翁,shui'weng
四季豆,si'ji'dou
四季桂花,si'ji'gui'hua
四季海裳,si'ji'hai'shang
丝兰,si'lan
苏木,su'mu
苏铁,su'tie
酸橙,suan'cheng
酸莓,suan'mei
酸枣,suan'zao
泰国大红花,tai'guo'da'hong'hua
台湾草,tai'wan'cao
台湾相思,tai'wan'xiang'si
桃花心木,tao'hua'xin'mu
桃子,tao'zi
甜菜,tian'cai
天冬,tian'dong
铁刀木,tie'dao'mu
铁海棠,tie'hai'tang
透明包菜,tou'ming'bao'cai
土沈香,tu'shen'xiang
豌豆,wan'dou
尾叶桉,wei'ye'an
文殊兰,wen'shu'lan
蕹菜,weng'cai
莴苣,wo'ju
五彩铁,wu'cai'tie
乌饭果,wu'fan'guo
芜花,wu'hua
无花果,wu'hua'guo
芜菁,wu'jing
乌桕,wu'jiu
五色梅,wu'se'mei
梧桐树,wu'tong'shu
五味子,wu'wei'zi
西瓜,xi'gua
西葫芦,xi'hu'lu
西兰花,xi'lan'hua
希美莉,xi'mei'li
希美丽,xi'mei'li
西洋菜,xi'yang'cai
细叶变叶木,xi'ye'bian'ye'mu
细叶榕,xi'ye'rong
细叶紫薇,xi'ye'zi'wei
细轴芫花,xi'zhou'yuan'hua
夏枯草,xia'ku'cao
夏威夷草,xia'wei'yi'cao
香菜,xiang'cai
香蕉,xiang'jiao
橡胶榕,xiang'jiao'rong
小白菜,xiao'bai'cai
小包菜,xiao'bao'cai
小胡瓜,xiao'hu'gua
小胡萝卜,xiao'hu'luo'bo
小青南瓜,xiao'qing'nan'gua
小叶杜英,xiao'ye'du'ying
小叶榄仁,xiao'ye'lan'ren
小芋头,xiao'yu'tou
星点木,xing'dian'mu
杏子,xing'zi
续随子,xu'sui'zi
血,xue
血桐,xue'tong
鸭脚木,ya'jiao'mu
芫荽叶,yan'sui'ye
燕尾兰,yan'wei'lan
洋葱,yang'cong
洋菇,yang'gu
洋蓟,yang'ji
洋水仙,yang'shui'xian
杨桃,yang'tao
羊蹄甲,yang'ti'jia
洋芋,yang'yu
夜来香,ye'lai'xiang
椰子,ye'zi
伊朗紫硬胶,yi'lang'zi'ying'jiao
一品红,yi'pin'hong
一叶兰,yi'ye'lan
银粉背蕨,yin'fen'bei'jue
银桦,yin'hua
阴香,yin'xiang
银杏树,yin'xing'shu
迎春花,ying'chun'hua
硬骨凌霄,ying'gu'ling'xiao
樱桃,ying'tao
油桃,you'tao
油桐,you'tong
柚子,you'zi
油棕,you'zong
鱼骨葵,yu'gu'kui
玉米,yu'mi
玉米尖,yu'mi'jian
鱼木,yu'mu
雨树,yu'shu
鱼腥草,yu'xing'cao
羽衣甘蓝,yu'yi'gan'lan
圆柏,yuan'bai
鸢尾,yuan'wei
圆叶乌桕,yuan'ye'wu'jiu
枣子,zao'zi
泽漆,ze'qi
樟树,zhang'shu
长叶榕,zhang'ye'rong
蜘蛛兰,zhi'zhu'lan
竹柏,zhu'bai
朱顶兰,zhu'ding'lan
猪殃殃,zhu'yang'yang
朱樱花,zhu'ying'hua
壮干海枣,zhuang'gan'hai'zao
紫绢苋,zi'juan'xian
紫色包心菜,zi'se'bao'xin'cai
紫檀,zi'tan
紫藤,zi'teng
紫叶竹芋,zi'ye'zhu'yu
