爱都酒店,ai'du'jiu'dian
葡京娱乐场,pu'jing'yu'le'chang
葡萄酒博物馆,pu'tao'jiu'bo'wu'guan
葡萄牙领事馆,pu'tao'ya'ling'shi'guan
菩提园,pu'ti'yuan
岐关车站,qi'guan'che'zhan
侨光大厦,qiao'guang'da'sha
青洲,qing'zhou
仁伯爵综合医院,ren'bo'jue'zong'he'yi'yuan
仁慈堂,ren'ci'tang
融和门,rong'he'men
赛车博物馆,sai'che'bo'wu'guan
赛车中心,sai'che'zhong'xin
赛马场,sai'ma'chang
三巴圣迹,san'ba'sheng'ji
三家村,san'jia'cun
三角花园,san'jiao'hua'yuan
三圣庙,san'sheng'miao
沙梨头,sha'li'tou
山顶医院,shan'ding'yi'yuan
商业学校,shang'ye'xue'xiao
社会工作司,she'hui'gong'zuo'si
审计法院,shen'ji'fa'yuan
圣安多尼堂区,sheng'an'duo'ni'tang'qu
圣保禄学校,sheng'bao'lu'xue'xiao
圣母玫瑰堂,sheng'mu'mei'gui'tang
圣母堂,sheng'mu'tang
圣若瑟修院,sheng'ruo'se'xiu'yuan
盛世莲花,sheng'shi'lian'hua
世界贸易中心,shi'jie'mao'yi'zhong'xin
市政厅,shi'zheng'ting
手信街,shou'xin'jie
水上活动中心,shui'shang'huo'dong'zhong'xin
水上街市,shui'shang'jie'shi
水塘,shui'tang
司法警察局,si'fa'jing'cha'ju
四面佛,si'mian'fo
松山炮台,song'shan'pao'tai
孙中山纪念馆,sun'zhong'shan'ji'nian'guan
塔石卫生中心,ta'shi'wei'sheng'zhong'xin
台山,tai'shan
谭公庙,tan'gong'miao
特区政府,te'qu'zheng'fu
铜马广场,tong'ma'guang'chang
同善堂,tong'shan'tang
屠场,tu'chang
土地庙,tu'di'miao
湾景园,wan'jing'yuan
望德堂,wang'de'tang
望德堂区,wang'de'tang'qu
望厦山,wang'sha'shan
威翠花园,wei'cui'hua'yuan
威龙花园,wei'long'hua'yuan
文华东方酒店,wen'hua'dong'fang'jiu'dian
五洋酒店,wu'yang'jiu'dian
西湾大桥,xi'wan'da'qiao
西湾湖,xi'wan'hu
西望洋山,xi'wang'yang'shan
香山公园,xiang'shan'gong'yuan
消防分站,xiao'fang'fen'zhan
消防局,xiao'fang'ju
消费者委员会,xiao'fei'zhe'wei'yuan'hui
新城市大厦,xin'cheng'shi'da'sha
新城市花园,xin'cheng'shi'hua'yuan
信达广场,xin'da'guang'chang
新华社,xin'hua'she
新口岸,xin'kou'an
新丽华酒店,xin'li'hua'jiu'dian
新世纪酒店,xin'shi'ji'jiu'dian
信托花园,xin'tuo'hua'yuan
新闻司,xin'wen'si
新新酒店,xin'xin'jiu'dian
杏花新村,xing'hua'xin'cun
行政法院,xing'zheng'fa'yuan
一粒米,yi'li'mi
移民局,yi'min'ju
议事亭前地,yi'shi'ting'qian'di
音乐喷泉,yin'yue'pen'quan
英京酒店,ying'jing'jiu'dian
永乐戏院,yong'le'xi'yuan
邮电司,you'dian'si
游艇俱乐部,you'ting'ju'le'bu
友谊大桥,you'yi'da'qiao
友谊广场,you'yi'guang'chang
裕华大厦,yu'hua'da'sha
榆景花园,yu'jing'hua'yuan
越秀花园,yue'xiu'hua'yuan
中国大酒店,zhong'guo'da'jiu'dian
中华广场,zhong'hua'guang'chang
终审法院,zhong'shen'fa'yuan
中士大厦,zhong'shi'da'sha
周家村,zhou'jia'cun
珠光大厦,zhu'guang'da'sha
主教座堂,zhu'jiao'zuo'tang
竹湾海滩,zhu'wan'hai'tan
自来水厂,zi'lai'shui'chang
总统酒店,zong'tong'jiu'dian
综艺馆,zong'yi'guan
