阿伯大学,a'bo'da'xue
乔治敦大学,qiao'zhi'dun'da'xue
乔治华盛顿大学,qiao'zhi'hua'sheng'dun'da'xue
乔治亚理工学院,qiao'zhi'ya'li'gong'xue'yuan
瑞奇蒙大学,rui'qi'meng'da'xue
三一学院,san'yi'xue'yuan
圣巴巴拉加州大学,sheng'ba'ba'la'jia'zhou'da'xue
圣地亚哥分校,sheng'di'ya'ge'fen'xiao
圣地亚哥加州大学,sheng'di'ya'ge'jia'zhou'da'xue
圣迭戈大学,sheng'die'ge'da'xue
圣迭戈分校,sheng'die'ge'fen'xiao
圣迭戈加州大学,sheng'die'ge'jia'zhou'da'xue
圣克鲁兹加州大学,sheng'ke'lu'zi'jia'zhou'da'xue
圣路易斯大学,sheng'lu'yi'si'da'xue
圣路易斯华盛顿大学,sheng'lu'yi'si'hua'sheng'dun'da'xue
圣母大学,sheng'mu'da'xue
圣十字学院,sheng'shi'zi'xue'yuan
史蒂文斯理工学院,shi'di'wen'si'li'gong'xue'yuan
史密斯学院,shi'mi'si'xue'yuan
石溪分校,shi'xi'fen'xiao
双城分校,shuang'cheng'fen'xiao
水牛城分校,shui'niu'cheng'fen'xiao
斯克利普斯学院,si'ke'li'pu'si'xue'yuan
斯坦佛大学,si'tan'fo'da'xue
斯瓦斯莫学院,si'wa'si'mo'xue'yuan
斯沃斯莫尔学院,si'wo'si'mo'er'xue'yuan
塔尔萨大学,ta'er'sa'da'xue
塔夫茨大学,ta'fu'ci'da'xue
塔夫斯大学,ta'fu'si'da'xue
太平洋大学,tai'ping'yang'da'xue
特拉华大学,te'la'hua'da'xue
瓦萨尔学院,wa'sa'er'xue'yuan
卫尔斯利学院,wei'er'si'li'xue'yuan
威尔斯理学院,wei'er'si'li'xue'yuan
维克佛利斯特大学,wei'ke'fo'li'si'te'da'xue
维克森林大学,wei'ke'sen'lin'da'xue
威廉玛丽学院,wei'lian'ma'li'xue'yuan
威廉姆斯学院,wei'lian'mu'si'xue'yuan
威斯康辛大学,wei'si'kang'xin'da'xue
威斯康辛麦迪逊大学,wei'si'kang'xin'mai'di'xun'da'xue
卫斯理安大学,wei'si'li'an'da'xue
卫斯理大学,wei'si'li'da'xue
伍斯特理工学院,wu'si'te'li'gong'xue'yuan
西北大学,xi'bei'da'xue
西拉法叶普渡大学,xi'la'fa'ye'pu'du'da'xue
西沃恩南方大学,xi'wo'en'nan'fang'da'xue
西雅图华盛顿大学,xi'ya'tu'hua'sheng'dun'da'xue
夏威夷大学,xia'wei'yi'da'xue
雪城大学,xue'cheng'da'xue
亚拉巴马大学,ya'la'ba'ma'da'xue
亚利桑那大学,ya'li'sang'na'da'xue
亚利桑那州立大学,ya'li'sang'na'zhou'li'da'xue
亚美利加大学,ya'mei'li'jia'da'xue
杨百翰大学,yang'bai'han'da'xue
耶鲁大学,ye'lu'da'xue
叶史瓦大学,ye'shi'wa'da'xue
伊利诺伊大学,yi'li'nuo'yi'da'xue
伊利诺伊厄本那大学,yi'li'nuo'yi'e'ben'na'da'xue
伊利诺伊香槟大学,yi'li'nuo'yi'xiang'bin'da'xue
印第安纳伯明顿大学,yin'di'an'na'bo'ming'dun'da'xue
印第安纳布鲁明顿大学,yin'di'an'na'bu'lu'ming'dun'da'xue
印第安纳大学,yin'di'an'na'da'xue
约翰霍普金斯大学,yue'han'huo'pu'jin'si'da'xue
芝加哥大学,zhi'jia'ge'da'xue
佐治亚理工学院,zuo'zhi'ya'li'gong'xue'yuan
