阿九,a'jiu
步惊云外传,bu'jing'yun'wai'zhuan
不哭,bu'ku
不哭死神,bu'ku'si'shen
不灭,bu'mie
不灭金身,bu'mie'jin'shen
不灭蓝门,bu'mie'lan'men
不灭堂,bu'mie'tang
不灭堂主,bu'mie'tang'zhu
卜潜,bu'qian
不群剑法,bu'qun'jian'fa
步如履水,bu'ru'lv'shui
步少侠,bu'shao'xia
捕神,bu'shen
捕神麾下,bu'shen'hui'xia
不世魔头,bu'shi'mo'tou
不世强者,bu'shi'qiang'zhe
不碎,bu'sui
步天,bu'tian
步婷,bu'ting
卜万苍,bu'wan'cang
不休,bu'xiu
不虚,bu'xu
不夜舫,bu'ye'fang
不饮,bu'yin
不饮神功,bu'yin'shen'gong
步渊亭,bu'yuan'ting
不知所止,bu'zhi'suo'zhi
财大气粗,cai'da'qi'cu
财怪,cai'guai
才下心头,cai'xia'xin'tou
残疾腿,can'ji'tui
残天铁腿,can'tian'tie'tui
藏兵库,cang'bing'ku
沧海穷奇,cang'hai'qiong'qi
仓镰太刀,cang'lian'tai'dao
苍龙长拳,cang'long'chang'quan
苍龙帝剑,cang'long'di'jian
苍龙剑决,cang'long'jian'jue
苍龙诀,cang'long'jue
苍龙舍利,cang'long'she'li
苍龙四将,cang'long'si'jiang
藏珍阁,cang'zhen'ge
曹公公,cao'gong'gong
曹国舅,cao'guo'jiu
禅到剑心五蕴空,chan'dao'jian'xin'wu'yun'kong
禅南寺,chan'nan'si
忏心赞,chan'xin'zan
长白山神力头陀,chang'bai'shan'shen'li'tou'tuo
长白镇,chang'bai'zhen
长堤水榭,chang'di'shui'xie
长河派,chang'he'pai
长虹入阴阈,chang'hong'ru'yin'yu
常康镇,chang'kang'zhen
常乐客栈,chang'le'ke'zhan
长离剑,chang'li'jian
长离剑法,chang'li'jian'fa
长离剑老,chang'li'jian'lao
长屏镇,chang'ping'zhen
长崎一怪,chang'qi'yi'guai
长生拐,chang'sheng'guai
长生塔,chang'sheng'ta
长袖善舞,chang'xiu'shan'wu
朝皇飞忍,chao'huang'fei'ren
朝皇之箭,chao'huang'zhi'jian
陈飞,chen'fei
尘垢不沾,chen'gou'bu'zhan
陈家村,chen'jia'cun
嗔怒佛,chen'nu'fo
沉元破空,chen'yuan'po'kong
成也风云,cheng'ye'feng'yun
程真,cheng'zhen
城主,cheng'zhu
赤胆忠魂,chi'dan'zhong'hun
痴断肠,chi'duan'chang
赤护四剑,chi'hu'si'jian
赤火,chi'huo
赤火神功,chi'huo'shen'gong
赤火遗命百年身,chi'huo'yi'ming'bai'nian'shen
赤火元祖,chi'huo'yuan'zu
赤火之道,chi'huo'zhi'dao
赤金剑祖,chi'jin'jian'zu
赤绝,chi'jue
赤昆阳,chi'kun'yang
赤炼,chi'lian
赤烈,chi'lie
赤烈刀,chi'lie'dao
赤猊,chi'ni
赤浓姬,chi'nong'ji
赤色剑意,chi'se'jian'yi
尺素缓展奔雷霆,chi'su'huan'zhan'ben'lei'ting
池田靖海,chi'tian'jing'hai
池田靖人,chi'tian'jing'ren
池田衛斗,chi'tian'wei'dou
池田卫斗,chi'tian'wei'dou
赤先,chi'xian
魑魈魅爪,chi'xiao'mei'zhao
赤炫,chi'xuan
赤雪,chi'xue
赤涯,chi'ya
赤炎,chi'yan
赤焰红,chi'yan'hong
赤翼刀,chi'yi'dao
赤一龙,chi'yi'long
仇百斩,chou'bai'zhan
仇鬼,chou'gui
仇千杀,chou'qian'sha
仇万毒,chou'wan'du
仇无边,chou'wu'bian
愁云惨淡,chou'yun'can'dan
楚楚,chu'chu
初道,chu'dao
楚抉,chu'jue
楚心,chu'xin
出岫居,chu'xiu'ju
处虚化实,chu'xu'hua'shi
厨子,chu'zi
川河,chuan'he
川贺武,chuan'he'wu
穿云箭,chuan'yun'jian
创刀,chuang'dao
创刀三路,chuang'dao'san'lu
创既是刀,chuang'ji'shi'dao
创建者,chuang'jian'zhe
创天辟地,chuang'tian'pi'di
春蠺血散,chun'can'xue'san
春风解冻,chun'feng'jie'dong
春回镇,chun'hui'zhen
春央镇,chun'yang'zhen
慈觉,ci'jue
摧魂鬼旋斩,cui'hun'gui'xuan'zhan
崔乾,cui'qian
翠娴阁,cui'xian'ge
大败四方,da'bai'si'fang
大悲佛手,da'bei'fo'shou
大悲手,da'bei'shou
大成若缺盈若冲,da'cheng'ruo'que'ying'ruo'chong
大刀,da'dao
大道无情,da'dao'wu'qing
大道无形,da'dao'wu'xing
大钝剑,da'dun'jian
大钝剑老,da'dun'jian'lao
大观劈手,da'guan'pi'shou
大海无量,da'hai'wu'liang
大还丹,da'huan'dan
大环刀,da'huan'dao
大剑师,da'jian'shi
大将剑令,da'jiang'jian'ling
大将军,da'jiang'jun
大将神刀,da'jiang'shen'dao
大将之剑,da'jiang'zhi'jian
大葵扇,da'kui'shan
达摩,da'mo
大漠,da'mo
大日如来,da'ri'ru'lai
大日如来气,da'ri'ru'lai'qi
大日血海,da'ri'xue'hai
大日紫气,da'ri'zi'qi
大日宗果,da'ri'zong'guo
大同剑,da'tong'jian
大同剑道,da'tong'jian'dao
大邪王,da'xie'wang
大易戟谱,da'yi'ji'pu
大易战戟,da'yi'zhan'ji
大转业,da'zhuan'ye
澹泊无思虑,dan'bo'wu'si'lv
丹凤阁,dan'feng'ge
丹鹤笔,dan'he'bi
弹剑江湖,dan'jian'jiang'hu
丹心剑,dan'xin'jian
荡气回肠,dang'qi'hui'chang
刀藏袖里暗出奇,dao'cang'xiu'li'an'chu'qi
刀道,dao'dao
刀道轮回,dao'dao'lun'hui
刀道三皇,dao'dao'san'huang
道法自然反之动,dao'fa'zi'ran'fan'zhi'dong
道果,dao'guo
刀过无痕,dao'guo'wu'hen
刀皇,dao'huang
刀既是创,dao'ji'shi'chuang
刀教头,dao'jiao'tou
岛津光正,dao'jin'guang'zheng
刀客,dao'ke
刀空如也,dao'kong'ru'ye
倒履亭,dao'lv'ting
倒逆乾坤,dao'ni'qian'kun
刀随意创,dao'sui'yi'chuang
刀头老大,dao'tou'lao'da
道消魔长,dao'xiao'mo'chang
刀凶剑危,dao'xiong'jian'wei
道玄,dao'xuan
刀终情断,dao'zhong'qing'duan
的而且确,de'er'qie'que
得如客栈,de'ru'ke'zhan
灯笼,deng'long
登天龙楼,deng'tian'long'lou
第八分陀,di'ba'fen'tuo
第二刀皇,di'er'dao'huang
第二梦,di'er'meng
地极气海,di'ji'qi'hai
敌既退,di'ji'tui
第九分陀,di'jiu'fen'tuo
地怒,di'nu
地怒堂主,di'nu'tang'zhu
第七分陀,di'qi'fen'tuo
第三猪皇,di'san'zhu'huang
帝释天,di'shi'tian
帝天刺,di'tian'ci
帝天狂雷,di'tian'kuang'lei
帝天之憾,di'tian'zhi'han
地网翻天,di'wang'fan'tian
地网手,di'wang'shou
地无道,di'wu'dao
第五分陀,di'wu'fen'tuo
敌以残,di'yi'can
第一分陀,di'yi'fen'tuo
敌以乱,di'yi'luan
第一求胜,di'yi'qiu'sheng
敌以弱,di'yi'ruo
第一邪皇,di'yi'xie'huang
第一勇士,di'yi'yong'shi
狄英,di'ying
地狱棍,di'yu'gun
地狱难逃,di'yu'nan'tao
敌欲守,di'yu'shou
地狱无门,di'yu'wu'men
敌欲驻,di'yu'zhu
笛转声移,di'zhuan'sheng'yi
电惊,dian'jing
电转乾坤,dian'zhuan'qian'kun
迭迷天香,die'mi'tian'xiang
丁解,ding'jie
丁柔,ding'rou
丁算天,ding'suan'tian
顶天大刀,ding'tian'da'dao
顶天狂雷,ding'tian'kuang'lei
顶天立地,ding'tian'li'di
顶天神甲,ding'tian'shen'jia
东方苍龙,dong'fang'cang'long
动风云,dong'feng'yun
洞天录,dong'tian'lu
洞天鼠,dong'tian'shu
东条喜卫,dong'tiao'xi'wei
东条一心,dong'tiao'yi'xin
动心雷,dong'xin'lei
洞穴双鼠,dong'xue'shuang'shu
东瀛,dong'ying
东瀛大将军,dong'ying'da'jiang'jun
东瀛毒忍,dong'ying'du'ren
东瀛剑圣,dong'ying'jian'sheng
东瀛气忍,dong'ying'qi'ren
东瀛四大刀客,dong'ying'si'da'dao'ke
东岳不群,dong'yue'bu'qun
斗转星河,dou'zhuan'xing'he
斗转星移,dou'zhuan'xing'yi
杜豹,du'bao
独点寒松,du'dian'han'song
独孤梦,du'gu'meng
独孤鸣,du'gu'ming
独孤一方,du'gu'yi'fang
杜进,du'jin
渡空,du'kong
渡摩诃,du'mo'he
杜娘,du'niang
杜七,du'qi
毒手修罗,du'shou'xiu'luo
毒松七怪,du'song'qi'guai
毒桃源,du'tao'yuan
毒桃源七恶畜,du'tao'yuan'qi'e'chu
毒桃源四恶毒,du'tao'yuan'si'e'du
毒天池,du'tian'chi
毒网蛛连,du'wang'zhu'lian
独我为天,du'wo'wei'tian
毒蝎爪,du'xie'zhao
渡心寺,du'xin'si
渡心堂,du'xin'tang
渡星流,du'xing'liu
毒阎罗,du'yan'luo
杜野,du'ye
独一门,du'yi'men
杜英,du'ying
毒影邪门,du'ying'xie'men
杜宇,du'yu
度月如梭,du'yue'ru'suo
杜芸苓,du'yun'ling
毒杖,du'zhang
毒咒,du'zhou
断佛忘道,duan'fo'wang'dao
断过,duan'guo
断剑诀,duan'jian'jue
断筋破骨大佛手,duan'jin'po'gu'da'fo'shou
断浪,duan'lang
断龙泊,duan'long'bo
断脉剑气,duan'mai'jian'qi
断明,duan'ming
断情断义,duan'qing'duan'yi
断情居,duan'qing'ju
断情七绝,duan'qing'qi'jue
断石分金,duan'shi'fen'jin
断帅,duan'shuai
断水剑,duan'shui'jian
段天刀,duan'tian'dao
段天英,duan'tian'ying
段天正,duan'tian'zheng
断土狂雷,duan'tu'kuang'lei
断血剑,duan'xue'jian
断雪开天,duan'xue'kai'tian
段阳罡刀,duan'yang'gang'dao
断影分身,duan'ying'fen'shen
断玉分金,duan'yu'fen'jin
兑泽离火,dui'ze'li'huo
沌然无垢,dun'ran'wu'gou
夺目唯色灭,duo'mu'wei'se'mie
夺云旗,duo'yun'qi
恶鬼幢幢,e'gui'chuang'chuang
饿狼哮天,e'lang'xiao'tian
恶龙缠锁,e'long'chan'suo
恶魔之手,e'mo'zhi'shou
恩深似海,en'shen'si'hai
二百旗本,er'bai'qi'ben
二城主,er'cheng'zhu
二重天狱,er'chong'tian'yu
二当家,er'dang'jia
二龙争珠,er'long'zheng'zhu
二禄,er'lu
法华经,fa'hua'jing
法我大师,fa'wo'da'shi
翻江倒海,fan'jiang'dao'hai
翻江势,fan'jiang'shi
翻龙倒海,fan'long'dao'hai
翻天霓裳袖,fan'tian'ni'chang'xiu
梵天圣杖,fan'tian'sheng'zhang
藩王大会,fan'wang'da'hui
翻云覆雨,fan'yun'fu'yu
范仲文,fan'zhong'wen
范仲贤,fan'zhong'xian
仿龙剑,fang'long'jian
飞虎山庄,fei'hu'shan'zhuang
飞花落叶,fei'hua'luo'ye
飞龙在天,fei'long'zai'tian
飞仙境界,fei'xian'jing'jie
飞星岭,fei'xing'ling
飞檐劫指,fei'yan'jie'zhi
飞叶,fei'ye
飞叶堂,fei'ye'tang
飞翼帮,fei'yi'bang
飞翼林,fei'yi'lin
飞翼无痕,fei'yi'wu'hen
飞鹰剑,fei'ying'jian
飞影宗,fei'ying'zong
飞云堂,fei'yun'tang
焚身以火,fen'shen'yi'huo
份与物忘,fen'yu'wu'wang
风尘三侠,feng'chen'san'xia
风刀云剑,feng'dao'yun'jian
风电雨雷,feng'dian'yu'lei
凤凰,feng'huang
封魂枪,feng'hun'qiang
封魂枪法,feng'hun'qiang'fa
风火会,feng'huo'hui
风火无边,feng'huo'wu'bian
风火云灭,feng'huo'yun'mie
风急云怒,feng'ji'yun'nu
凤将,feng'jiang
风惊浪急无量心,feng'jing'lang'ji'wu'liang'xin
风卷楼残,feng'juan'lou'can
疯狂的血,feng'kuang'de'xue
风起三焦径,feng'qi'san'jiao'jing
风起云涌,feng'qi'yun'yong
风入松间雷不动,feng'ru'song'jian'lei'bu'dong
风神路,feng'shen'lu
风神怒,feng'shen'nu
风神腿,feng'shen'tui
风霜扑面,feng'shuang'pu'mian
凤堂,feng'tang
封庭运走若落英,feng'ting'yun'zou'ruo'luo'ying
蜂王,feng'wang
凤舞,feng'wu
凤舞箭,feng'wu'jian
凤舞九天,feng'wu'jiu'tian
风无相,feng'wu'xiang
凤溪村,feng'xi'cun
风啸,feng'xiao
风行草偃,feng'xing'cao'yan
凤血,feng'xue
凤翼南飞,feng'yi'nan'fei
风雨江湖,feng'yu'jiang'hu
风云,feng'yun
风云阁,feng'yun'ge
风云合璧,feng'yun'he'bi
风云际会,feng'yun'ji'hui
风云聚会浅水游,feng'yun'ju'hui'qian'shui'you
风云决,feng'yun'jue
风云漫画,feng'yun'man'hua
风云外传,feng'yun'wai'zhuan
风中劲草,feng'zhong'jing'cao
风中之神,feng'zhong'zhi'shen
佛抱怀容,fo'bao'huai'rong
佛慈堂,fo'ci'tang
佛动山河,fo'dong'shan'he
佛动心摇,fo'dong'xin'yao
佛法无边,fo'fa'wu'bian
佛光禅寺,fo'guang'chan'si
佛光初现,fo'guang'chu'xian
佛光普照,fo'guang'pu'zhao
佛慧大师,fo'hui'da'shi
佛魔同体,fo'mo'tong'ti
佛手峰,fo'shou'feng
佛问魔心,fo'wen'mo'xin
佛笑临,fo'xiao'lin
佛血心经,fo'xue'xin'jing
佛音寺,fo'yin'si
福安安,fu'an'an
夫唱,fu'chang
福乐轩,fu'le'xuan
副门主,fu'men'zhu
父猛于虎,fu'meng'yu'hu
副盟主,fu'meng'zhu
蝠目,fu'mu
付清元,fu'qing'yuan
妇随,fu'sui
副堂主,fu'tang'zhu
副陀主,fu'tuo'zhu
拂袖而去,fu'xiu'er'qu
扶余国,fu'yu'guo
伏中原,fu'zhong'yuan
隔世石,ge'shi'shi
蛤王,ge'wang
宫本,gong'ben
宫本家族,gong'ben'jia'zu
宫本猛,gong'ben'meng
宫本圣司,gong'ben'sheng'si
宫本雪灵,gong'ben'xue'ling
宫本元就,gong'ben'yuan'jiu
弓箭合璧,gong'jian'he'bi
工乙,gong'yi
勾魂绝刀,gou'hun'jue'dao
狗太保,gou'tai'bao
狗王,gou'wang
狗牙爪,gou'ya'zhao
孤残村,gu'can'cun
古今自逍遥,gu'jin'zi'xiao'yao
古青林,gu'qing'lin
孤星独吟,gu'xing'du'yin
孤星吟,gu'xing'yin
灌顶大法,guan'ding'da'fa
观空大劈手,guan'kong'da'pi'shou
关七,guan'qi
观武台,guan'wu'tai
广寒哲,guang'han'zhe
光统律师,guang'tong'lv'shi
鬼叉罗,gui'cha'luo
鬼叉罗主管,gui'cha'luo'zhu'guan
鬼畜无路,gui'chu'wu'lu
鬼蝠,gui'fu
鬼弓,gui'gong
鬼虎,gui'hu
鬼绘道,gui'hui'dao
鬼箭,gui'jian
龟将,gui'jiang
鬼哭剑法,gui'ku'jian'fa
鬼哭神嚎剑廿三,gui'ku'shen'hao'jian'nian'san
归零卸绝,gui'ling'xie'jue
鬼面弥勒,gui'mian'mi'le
鬼判,gui'pan
鬼枪门,gui'qiang'men
龟山,gui'shan
鬼神辟易,gui'shen'bi'yi
鬼矢,gui'shi
鬼束,gui'shu
鬼王,gui'wang
龟息闭气,gui'xi'bi'qi
鬼啸问天,gui'xiao'wen'tian
鬼牙斧,gui'ya'fu
鬼影,gui'ying
鬼影步法,gui'ying'bu'fa
鬼影幢幢,gui'ying'chuang'chuang
鬼影大法,gui'ying'da'fa
鬼影腿法,gui'ying'tui'fa
归元诀,gui'yuan'jue
归元武学,gui'yuan'wu'xue
鬼爪十八翻,gui'zhao'shi'ba'fan
鬼子神母,gui'zi'shen'mu
鬼子蝎,gui'zi'xie
归宗正,gui'zong'zheng
郭英,guo'ying
郭铮,guo'zheng
海动波涛,hai'dong'bo'tao
海枯石烂,hai'ku'shi'lan
海老,hai'lao
海量汪涵,hai'liang'wang'han
海水不可斗量,hai'shui'bu'ke'dou'liang
海网撒天,hai'wang'sa'tian
海下妖蛙,hai'xia'yao'wa
海泽武狼,hai'ze'wu'lang
寒刀断水,han'dao'duan'shui
寒湖毒蛤,han'hu'du'ge
寒江四剑,han'jiang'si'jian
寒江星点,han'jiang'xing'dian
寒金剑,han'jin'jian
寒麟化甲,han'lin'hua'jia
寒梅剑,han'mei'jian
寒若松,han'ruo'song
寒霜抱月,han'shuang'bao'yue
寒天剑,han'tian'jian
寒天绝,han'tian'jue
寒天纵谷,han'tian'zong'gu
韩湘子,han'xiang'zi
寒小语,han'xiao'yu
寒血剑,han'xue'jian
寒萤点点,han'ying'dian'dian
韩真,han'zhen
汉钟离,han'zhong'li
昊天剑,hao'tian'jian
昊天镇,hao'tian'zhen
号啸长天贯奇逢,hao'xiao'chang'tian'guan'qi'feng
鹤笔,he'bi
和光同尘,he'guang'tong'chen
合力,he'li
鹤立鸡群,he'li'ji'qun
河西镇,he'xi'zhen
何仙姑,he'xian'gu
合相归元,he'xiang'gui'yuan
何须千里他乡寻,he'xu'qian'li'ta'xiang'xun
黑豹列传,hei'bao'lie'zhuan
黑貂门,hei'diao'men
黑家寨,hei'jia'zhai
黑井,hei'jing
黑逵,hei'kui
黑老大,hei'lao'da
黑炼狱,hei'lian'yu
黑面,hei'mian
黑摩罗,hei'mo'luo
黑旗山十八洞主,hei'qi'shan'shi'ba'dong'zhu
黑砂派,hei'sha'pai
黑砂拳,hei'sha'quan
黑砂三绝,hei'sha'san'jue
黑砂腿,hei'sha'tui
黑砂掌,hei'sha'zhang
黑水寒指,hei'shui'han'zhi
黑蝎,hei'xie
恨无量,hen'wu'liang
恨无葬心之地,hen'wu'zang'xin'zhi'di
横断天河,heng'duan'tian'he
横风急雨,heng'feng'ji'yu
横刚浪忍,heng'gang'lang'ren
横光电斩,heng'guang'dian'zhan
横力,heng'li
横眉刺,heng'mei'ci
横眉冷,heng'mei'leng
横劈,heng'pi
横劈千山,heng'pi'qian'shan
横扫千军,heng'sao'qian'jun
横扫神州,heng'sao'shen'zhou
横眼千夫,heng'yan'qian'fu
洪百隆,hong'bai'long
洪飞,hong'fei
红粉居,hong'fen'ju
洪烈,hong'lie
红绫锁心,hong'ling'suo'xin
洪门镖局,hong'men'biao'ju
红旗旗主,hong'qi'qi'zhu
洪清,hong'qing
轰天殛,hong'tian'ji
洪小鸡,hong'xiao'ji
红杏出墙,hong'xing'chu'qiang
红颜血,hong'yan'xue
洪英昌,hong'ying'chang
红鹰会,hong'ying'hui
鴻雲驚飛,hong'yun'jing'fei
鸿云惊飞,hong'yun'jing'fei
吽咒,hong'zhou
后陵,hou'ling
吼神册,hou'shen'ce
吼天毁日,hou'tian'hui'ri
猴妖,hou'yao
虎贲,hu'ben
虎刀门,hu'dao'men
虎剑,hu'jian
虎山寨,hu'shan'zhai
户田野,hu'tian'ye
虎啸苍穹,hu'xiao'cang'qiong
虎哮棍集,hu'xiao'gun'ji
虎心丹,hu'xin'dan
湖心岛,hu'xin'dao
湖心小筑,hu'xin'xiao'zhu
虎心一掷,hu'xin'yi'zhi
虎休山,hu'xiu'shan
化金元诀,hua'jin'yuan'jue
花面虎,hua'mian'hu
化气天甲,hua'qi'tian'jia
花三娇,hua'san'jiao
花神手,hua'shen'shou
化物共融,hua'wu'gong'rong
花雨林,hua'yu'lin
花玉男,hua'yu'nan
怀空,huai'kong
怀灭,huai'mie
幻劫指,huan'jie'zhi
幻绝刀,huan'jue'dao
幻绝刀法,huan'jue'dao'fa
换命救心丹,huan'ming'jiu'xin'dan
幻天劫掌,huan'tian'jie'zhang
幻阳神指,huan'yang'shen'zhi
皇帝,huang'di
皇甫剑,huang'fu'jian
皇宫,huang'gong
黄金刀气,huang'jin'dao'qi
皇拳,huang'quan
黄泉火露,huang'quan'huo'lu
黄泉玉翼,huang'quan'yu'yi
恍如隔世,huang'ru'ge'shi
黄石老人,huang'shi'lao'ren
皇影,huang'ying
灰飞烟灭,hui'fei'yan'mie
汇尽百川,hui'jin'bai'chuan
灰狼刀,hui'lang'dao
回马金枪,hui'ma'jin'qiang
回马问天,hui'ma'wen'tian
晦冥剑,hui'ming'jian
回眸浅笑,hui'mou'qian'xiao
毁天,hui'tian
回天冰决,hui'tian'bing'jue
回天无道,hui'tian'wu'dao
回头之道,hui'tou'zhi'dao
回网势,hui'wang'shi
悔心剑,hui'xin'jian
回元丸,hui'yuan'wan
魂绝天门,hun'jue'tian'men
混然无物,hun'ran'wu'wu
混俗和光,hun'su'he'guang
混元七殛,hun'yuan'qi'ji
霍步天,huo'bu'tian
霍动,huo'dong
火工头陀,huo'gong'tou'tuo
火狗,huo'gou
火猴,huo'hou
火湖,huo'hu
霍家后人,huo'jia'hou'ren
霍家剑,huo'jia'jian
霍家剑法,huo'jia'jian'fa
霍家剑法步法,huo'jia'jian'fa'bu'fa
霍家剑诀,huo'jia'jian'jue
霍家真气,huo'jia'zhen'qi
霍家庄,huo'jia'zhuang
霍惊觉,huo'jing'jue
火狼,huo'lang
火雷罡劲,huo'lei'gang'jin
火雷罡气,huo'lei'gang'qi
霍立铁,huo'li'tie
火麟,huo'lin
火麟剑,huo'lin'jian
火麟劫,huo'lin'jie
火麟蚀日,huo'lin'shi'ri
火龙山,huo'long'shan
火龙追日,huo'long'zhui'ri
霍男,huo'nan
火牛三怪,huo'niu'san'guai
火麒麟,huo'qi'lin
祸起萧墙,huo'qi'xiao'qiang
活气之门,huo'qi'zhi'men
火乾子,huo'qian'zi
火煞,huo'sha
火烧凌云窟,huo'shao'ling'yun'ku
霍桐觉,huo'tong'jue
火吞天下,huo'tun'tian'xia
火蛙,huo'wa
霍悟觉,huo'wu'jue
火武门,huo'wu'men
火武五子,huo'wu'wu'zi
火邪血末,huo'xie'xue'mo
霍休,huo'xiu
活血大还丹,huo'xue'da'huan'dan
霍猿,huo'yuan
火月门,huo'yue'men
或跃在渊,huo'yue'zai'yuan
极道,ji'dao
极道回归,ji'dao'hui'gui
集谛十二門禅,ji'di'shi'er'men'chan
疾电势,ji'dian'shi
极峰之战,ji'feng'zhi'zhan
极乐刀,ji'le'dao
极乐刀法,ji'le'dao'fa
极乐轮回,ji'le'lun'hui
极乐轮亡,ji'le'lun'wang
寂灭寒心劲,ji'mie'han'xin'jin
寂灭无相,ji'mie'wu'xiang
寂灭凶亡,ji'mie'xiong'wang
寂灭之道,ji'mie'zhi'dao
寂灭之战,ji'mie'zhi'zhan
