矮扁莎,ai'bian'sha
百节赛爵床,bai'jie'sai'jue'chuang
稗荩,bai'jin
百金花,bai'jin'hua
柏拉木,bai'la'mu
白簕花,bai'le'hua
百簕花,bai'le'hua
白梨公,bai'li'gong
白莲叶桐,bai'lian'ye'tong
白马骨,bai'ma'gu
白马银花,bai'ma'yin'hua
白茅,bai'mao
白毛子楝树,bai'mao'zi'lian'shu
白毛紫珠,bai'mao'zi'zhu
白绵毛兰,bai'mian'mao'lan
白木香,bai'mu'xiang
百能葳,bai'neng'wei
白牛胆,bai'niu'dan
白皮索馨,bai'pi'suo'xin
白楸,bai'qiu
百日青,bai'ri'qing
百蕊草,bai'rui'cao
白沙檀,bai'sha'tan
白树,bai'shu
白薯茛,bai'shu'gen
白树卫矛,bai'shu'wei'mao
白水藤,bai'shui'teng
白丝草,bai'si'cao
百穗藨草,bai'sui'biao'cao
白藤,bai'teng
白桐树,bai'tong'shu
白颜树,bai'yan'shu
白羊草,bai'yang'cao
白药谷精草,bai'yao'gu'jing'cao
白野稿树,bai'ye'gao'shu
白叶瓜馥木,bai'ye'gua'fu'mu
白叶藤,bai'ye'teng
白枝李榄,bai'zhi'li'lan
白枝青冈,bai'zhi'qing'gang
白枝羊蹄甲,bai'zhi'yang'ti'jia
白珠树,bai'zhu'shu
白子草,bai'zi'cao
百足藤,bai'zu'teng
半边莲,ban'bian'lian
斑驳藤,ban'bo'teng
半枫荷,ban'feng'he
斑茅,ban'mao
斑皮鲫鱼腰,ban'pi'ji'yu'yao
斑叶朱砂根,ban'ye'zhu'sha'gen
半枝莲,ban'zhi'lian
半柱毛兰,ban'zhu'mao'lan
棒柄花,bang'bing'hua
棒锤瓜,bang'chui'gua
棒花蒲桃,bang'hua'pu'tao
棒距虾脊兰,bang'ju'xia'ji'lan
宝铎草,bao'duo'cao
宝巾,bao'jin
抱茎菠葜,bao'jing'bo'qia
抱茎短蕊茶,bao'jing'duan'rui'cha
保亭叉柱花,bao'ting'cha'zhu'hua
保亭槌果藤,bao'ting'chui'guo'teng
保亭冬青,bao'ting'dong'qing
保亭哥纳香,bao'ting'ge'na'xiang
保亭花,bao'ting'hua
保亭琼楠,bao'ting'qiong'nan
保亭秋海棠,bao'ting'qiu'hai'tang
保亭榕,bao'ting'rong
保亭鳝藤,bao'ting'shan'teng
保亭柿,bao'ting'shi
保亭树参,bao'ting'shu'can
保亭梭罗,bao'ting'suo'luo
保亭新木姜子,bao'ting'xin'mu'jiang'zi
保亭羊耳蒜,bao'ting'yang'er'suan
保亭紫金牛,bao'ting'zi'jin'niu
苞叶木,bao'ye'mu
苞子草,bao'zi'cao
杯,bei
杯萼桑,bei'e'sang
贝克盐藻,bei'ke'yan'zao
贝壳叶荸荠,bei'ke'ye'bi'qi
北美菜,bei'mei'cai
北美独行菜,bei'mei'du'xing'cai
杯苋,bei'xian
本勒木,ben'le'mu
弊草,bi'cao
笔草,bi'cao
笔管榕,bi'guan'rong
闭花耳草,bi'hua'er'cao
闭花木,bi'hua'mu
蔽花线柱兰,bi'hua'xian'zhu'lan
蓖麻,bi'ma
闭鞘姜,bi'qiao'jiang
碧王花,bi'wang'hua
扁担藤,bian'dan'teng
蝙蝠草,bian'fu'cao
扁果藤,bian'guo'teng
变红蛇根草,bian'hong'she'gen'cao
鞭花卷瓣兰,bian'hua'juan'ban'lan
扁茎苔草,bian'jing'tai'cao
扁鞘飘拂草,bian'qiao'piao'fu'cao
变色山槟榔,bian'se'shan'bing'lang
扁蒴苣苔,bian'shuo'ju'tai
扁蒴藤,bian'shuo'teng
扁穗牛鞭草,bian'sui'niu'bian'cao
扁穗莎草,bian'sui'suo'cao
鞭须阔蕊兰,bian'xu'kuo'rui'lan
鞭叶隔距兰,bian'ye'ge'ju'lan
变叶榕,bian'ye'rong
变叶树参,bian'ye'shu'can
扁枝槲寄生,bian'zhi'hu'ji'sheng
滨海白绒草,bin'hai'bai'rong'cao
滨海槭,bin'hai'qi
摈榔青,bin'lang'qing
滨木患,bin'mu'huan
滨木蓝,bin'mu'lan
滨木犀榄,bin'mu'xi'lan
滨玉蕊,bin'yu'rui
柄唇兰,bing'chun'lan
柄果槲寄生,bing'guo'hu'ji'sheng
柄果木,bing'guo'mu
柄果石栎,bing'guo'shi'li
柄果崖爬藤,bing'guo'ya'pa'teng
槟榔青冈,bing'lang'qing'gang
柄腺山扁豆,bing'xian'shan'bian'dou
薄瓣节节菜,bo'ban'jie'jie'cai
波齿免耳风,bo'chi'mian'er'feng
薄果草,bo'guo'cao
舶梨榕,bo'li'rong
薄叶红厚壳,bo'ye'hong'hou'ke
薄叶猴耳环,bo'ye'hou'er'huan
薄叶龙船花,bo'ye'long'chuan'hua
薄叶山矾,bo'ye'shan'fan
薄叶鼠李,bo'ye'shu'li
波缘冬青,bo'yuan'dong'qing
波缘冷水花,bo'yuan'leng'shui'hua
步花冬叶,bu'hua'dong'ye
步花飘拂草,bu'hua'piao'fu'cao
步花腰骨藤,bu'hua'yao'gu'teng
补血草,bu'xue'cao
步叶水竹草,bu'ye'shui'zhu'cao
苍白秤钩风,cang'bai'cheng'gou'feng
苍耳,cang'er
苍叶红豆,cang'ye'hong'dou
苍叶守宫木,cang'ye'shou'gong'mu
草茨藻,cao'ci'zao
糙点栝楼,cao'dian'gua'lou
草豆蔻,cao'dou'kou
槽果扁莎,cao'guo'bian'sha
糙果油茶,cao'guo'you'cha
草海桐,cao'hai'tong
草胡椒,cao'hu'jiao
草龙,cao'long
草木槿,cao'mu'jin
草珊瑚,cao'shan'hu
糙叶斑鸠菊,cao'ye'ban'jiu'ju
糙叶叉柱花,cao'ye'cha'zhu'hua
糙叶山蓝,cao'ye'shan'lan
侧花藨草,ce'hua'biao'cao
侧序长柄山蚂蟥,ce'xu'chang'bing'shan'ma'huang
箣竹,ce'zhu
茶槁楠,cha'gao'nan
茶梅,cha'mei
檫檬,cha'meng
叉柱花,cha'zhu'hua
柴龙树,chai'long'shu
豺皮樟,chai'pi'zhang
钗子股,chai'zi'gu
潺槁木姜,chan'gao'mu'jiang
蝉翼藤,chan'yi'teng
长瓣慈菇,chang'ban'ci'gu
长苞柿,chang'bao'shi
长苞紫珠,chang'bao'zi'zhu
长柄艾纳香,chang'bing'ai'na'xiang
长柄赤车,chang'bing'chi'che
长柄冬青,chang'bing'dong'qing
长柄豆蔻,chang'bing'dou'kou
长柄杜若,chang'bing'du'ruo
长柄杜英,chang'bing'du'ying
长柄瓜馥木,chang'bing'gua'fu'mu
长柄果飘拂草,chang'bing'guo'piao'fu'cao
长柄核果本,chang'bing'he'guo'ben
长柄荚,chang'bing'jia
长柄歧伞花,chang'bing'qi'san'hua
长柄琼楠,chang'bing'qiong'nan
长柄山龙眼,chang'bing'shan'long'yan
长柄鼠李,chang'bing'shu'li
长柄梭罗,chang'bing'suo'luo
长柄兔耳风,chang'bing'tu'er'feng
长柄卫矛,chang'bing'wei'mao
长柄野扁豆,chang'bing'ye'bian'dou
长柄银叶树,chang'bing'yin'ye'shu
长萼粗叶木,chang'e'cu'ye'mu
长萼栝楼,chang'e'gua'lou
长萼堇菜,chang'e'jin'cai
长萼罗伞树,chang'e'luo'san'shu
长萼马醉木,chang'e'ma'zui'mu
长萼石竹,chang'e'shi'zhu
长萼野百合,chang'e'ye'bai'he
长耳膜稃草,chang'er'mo'fu'cao
长菲谷精草,chang'fei'gu'jing'cao
长稃伪针草,chang'fu'wei'zhen'cao
昌感秋海棠,chang'gan'qiu'hai'tang
长梗黄花稔,chang'geng'huang'hua'ren
长梗棱枝冬青,chang'geng'leng'zhi'dong'qing
长梗守宫木,chang'geng'shou'gong'mu
长梗肖槿,chang'geng'xiao'jin
长管蝙蝠草,chang'guan'bian'fu'cao
长管牵牛,chang'guan'qian'niu
长画眉草,chang'hua'mei'cao
长荚山绿豆,chang'jia'shan'lv'dou
长尖莎草,chang'jian'suo'cao
昌江石斛,chang'jiang'shi'hu
昌江蛛毛苣苔,chang'jiang'zhu'mao'ju'tai
长脚羊耳蒜,chang'jiao'yang'er'suan
长节耳草,chang'jie'er'cao
长距虾脊兰,chang'ju'xia'ji'lan
常绿荚迷,chang'lv'jia'mi
长芒杜英,chang'mang'du'ying
长毛黄葵,chang'mao'huang'kui
长毛山矾,chang'mao'shan'fan
长毛紫金牛,chang'mao'zi'jin'niu
长蓬赤车,chang'peng'chi'che
长脐红豆,chang'qi'hong'dou
常山,chang'shan
长蒴母草,chang'shuo'mu'cao
长穗赤箭莎,chang'sui'chi'jian'sha
长穗猫尾草,chang'sui'mao'wei'cao
长尾毛蕊茶,chang'wei'mao'rui'cha
肠须草,chang'xu'cao
长序重寄生藤,chang'xu'chong'ji'sheng'teng
长序臭黄荆,chang'xu'chou'huang'jing
长序厚壳桂,chang'xu'hou'ke'gui
长序三宝木,chang'xu'san'bao'mu
长序首冠藤,chang'xu'shou'guan'teng
长圆叶新木姜,chang'yuan'ye'xin'mu'jiang
长粤乌墨,chang'yue'wu'mo
长轴耳草,chang'zhou'er'cao
长柱山丹,chang'zhu'shan'dan
朝天罐,chao'tian'guan
车前草,che'qian'cao
车索麻,che'suo'ma
橙花破布木,cheng'hua'po'bu'mu
澄迈飘拂草,cheng'mai'piao'fu'cao
橙毛假地豆,cheng'mao'jia'di'dou
齿瓣鸢尾兰,chi'ban'yuan'wei'lan
翅柄球菊,chi'bing'qiu'ju
翅柄兔耳风,chi'bing'tu'er'feng
赤才,chi'cai
赤苍藤,chi'cang'teng
赤车,chi'che
匙唇寄树兰,chi'chun'ji'shu'lan
赤唇石豆兰,chi'chun'shi'dou'lan
匙萼木,chi'e'mu
齿萼挖耳草,chi'e'wa'er'cao
匙羹藤,chi'geng'teng
翅谷精草,chi'gu'jing'cao
齿果草,chi'guo'cao
赤果鱼木,chi'guo'yu'mu
翅荚决明,chi'jia'jue'ming
翅茎白粉藤,chi'jing'bai'fen'teng
翅茎猪屎豆,chi'jing'zhu'shi'dou
赤木,chi'mu
赤楠,chi'nan
翅苹婆,chi'ping'po
赤山绿豆,chi'shan'lv'dou
赤小豆,chi'xiao'dou
赤杨叶,chi'yang'ye
齿叶安息香,chi'ye'an'xi'xiang
齿叶吊钟花,chi'ye'diao'zhong'hua
翅叶牛奶菜,chi'ye'niu'nai'cai
匙叶伽蓝菜,chi'ye'qie'lan'cai
齿叶赛金莲木,chi'ye'sai'jin'lian'mu
齿叶铁线连,chi'ye'tie'xian'lian
匙叶栀子,chi'ye'zhi'zi
翅子藤,chi'zi'teng
虫豆,chong'dou
重阳木,chong'yang'mu
臭虫草,chou'chong'cao
臭饭圆,chou'fan'yuan
臭根子草,chou'gen'zi'cao
臭矢菜,chou'shi'cai
触须阔蕊兰,chu'xu'kuo'rui'lan
樗叶花椒,chu'ye'hua'jiao
川蔓藻,chuan'man'zao
穿鞘菝葜,chuan'qiao'ba'qia
穿鞘花,chuan'qiao'hua
串珠子,chuan'zhu'zi
槌果藤,chui'guo'teng
垂穗飘拂草,chui'sui'piao'fu'cao
垂叶榕,chui'ye'rong
唇禾叶兰,chun'he'ye'lan
纯色万带兰,chun'se'wan'dai'lan
唇柱苣苔,chun'zhu'ju'tai
刺齿泥花草,ci'chi'ni'hua'cao
慈菇,ci'gu
刺冠菊,ci'guan'ju
刺果苏木,ci'guo'su'mu
刺果藤,ci'guo'teng
刺果血桐,ci'guo'xue'tong
刺果紫玉盘,ci'guo'zi'yu'pan
刺核藤,ci'he'teng
刺花莲子草,ci'hua'lian'zi'cao
刺荚木蓝,ci'jia'mu'lan
刺栲,ci'kao
刺葵,ci'kui
刺鳞草,ci'lin'cao
刺鳞莎草,ci'lin'suo'cao
刺芒野古草,ci'mang'ye'gu'cao
刺锚草,ci'mao'cao
刺毛黎豆,ci'mao'li'dou
刺毛头黍,ci'mao'tou'shu
刺茉莉,ci'mo'li
刺木槿,ci'mu'jin
刺桑,ci'sang
刺蒴麻,ci'shuo'ma
刺天茄,ci'tian'qie
刺芜荽,ci'wu'sui
刺苋,ci'xian
刺叶金茅,ci'ye'jin'mao
刺芋,ci'yu
刺柊,ci'zhong
刺种莕莱,ci'zhong'xing'lai
刺轴榈,ci'zhou'lv
刺子莞,ci'zi'guan
刺籽鱼木,ci'zi'yu'mu
葱草,cong'cao
丛花厚壳桂,cong'hua'hou'ke'gui
丛花山矾,cong'hua'shan'fan
丛生羊耳蒜,cong'sheng'yang'er'suan
粗柄杜若,cu'bing'du'ruo
粗齿刺蒴麻,cu'chi'ci'shuo'ma
粗齿玲水花,cu'chi'ling'shui'hua
粗齿野桐,cu'chi'ye'tong
粗榧,cu'fei
粗根茎莎草,cu'gen'jing'suo'cao
簇花球子草,cu'hua'qiu'zi'cao
簇花粟米草,cu'hua'su'mi'cao
粗喙秋海棠,cu'hui'qiu'hai'tang
粗茎崖角藤,cu'jing'ya'jiao'teng
粗糠柴,cu'kang'chai
粗糠树,cu'kang'shu
簇蓼,cu'liao
粗脉紫金牛,cu'mai'zi'jin'niu
粗毛海南远志,cu'mao'hai'nan'yuan'zhi
粗毛蓼,cu'mao'liao
粗毛水蓑花,cu'mao'shui'suo'hua
粗毛野桐,cu'mao'ye'tong
粗毛玉叶金花,cu'mao'yu'ye'jin'hua
粗丝木,cu'si'mu
粗叶耳草,cu'ye'er'cao
粗叶丰花草,cu'ye'feng'hua'cao
粗叶木,cu'ye'mu
粗叶榕,cu'ye'rong
粗叶悬钩子,cu'ye'xuan'gou'zi
粗壮润楠,cu'zhuang'run'nan
翠柏,cui'bai
催乳藤,cui'ru'teng
粹石菖,cui'shi'chang
大白藤,da'bai'teng
大苞赤瓟,da'bao'chi'bo
大苞石菖蒲,da'bao'shi'chang'pu
大苞水竹叶,da'bao'shui'zhu'ye
大苞天芥菜,da'bao'tian'jie'cai
大苞血桐,da'bao'xue'tong
大苞鸭跖草,da'bao'ya'zhi'cao
大翅老虎剌,da'chi'lao'hu'la
大豆蔻,da'dou'kou
大耳稃草,da'er'fu'cao
大盖球子草,da'gai'qiu'zi'cao
大果巴戟天,da'guo'ba'ji'tian
大果菝葜,da'guo'ba'qia
大果鳞斑荚迷,da'guo'lin'ban'jia'mi
大果马蹄荷,da'guo'ma'ti'he
大果木姜子,da'guo'mu'jiang'zi
大果榕,da'guo'rong
大果山杜英,da'guo'shan'du'ying
大果水翁,da'guo'shui'weng
大果五月茶,da'guo'wu'yue'cha
大花白鼓丁,da'hua'bai'gu'ding
大花飞蛾藤,da'hua'fei'e'teng
大花蒺藜,da'hua'ji'li
大花老鸦嘴,da'hua'lao'ya'zui
大花茅根,da'hua'mao'gen
大画眉草,da'hua'mei'cao
大花忍冬,da'hua'ren'dong
大花五桠果,da'hua'wu'ya'guo
大花羊耳蒜,da'hua'yang'er'suan
大花竹叶蒲桃,da'hua'zhu'ye'pu'tao
大菅,da'jian
大尖囊兰,da'jian'nang'lan
大罗伞,da'luo'san
大罗网草,da'luo'wang'cao
大马蓼,da'ma'liao
大米草,da'mi'cao
大漂,da'piao
大青,da'qing
大青薯,da'qing'shu
大沙叶,da'sha'ye
大黍,da'shu
大穗砖子苗,da'sui'zhuan'zi'miao
大头茶,da'tou'cha
大头典竹,da'tou'dian'zhu
大尾摇,da'wei'yao
大吴风草,da'wu'feng'cao
大序隔距兰,da'xu'ge'ju'lan
大血藤,da'xue'teng
大叶匙羹藤,da'ye'chi'geng'teng
大叶臭椒,da'ye'chou'jiao
大叶刺篱,da'ye'ci'li
大叶复毛胡椒,da'ye'fu'mao'hu'jiao
大叶钩藤,da'ye'gou'teng
大叶广东山胡椒,da'ye'guang'dong'shan'hu'jiao
大叶蒟,da'ye'ju
大叶母草,da'ye'mu'cao
大叶蒲葵,da'ye'pu'kui
大叶荛花,da'ye'rao'hua
大叶赛爵床,da'ye'sai'jue'chuang
大叶山楝,da'ye'shan'lian
大叶山蚂蟥,da'ye'shan'ma'huang
大叶石龙尾,da'ye'shi'long'wei
大叶鼠刺,da'ye'shu'ci
大叶水榕,da'ye'shui'rong
大叶水竹草,da'ye'shui'zhu'cao
大叶田繁缕,da'ye'tian'fan'lv
大叶仙茅,da'ye'xian'mao
大叶野扇花,da'ye'ye'shan'hua
大野芋,da'ye'yu
大叶鱼骨木,da'ye'yu'gu'mu
大叶竹叶草,da'ye'zhu'ye'cao
大叶紫珠,da'ye'zi'zhu
大众耳草,da'zhong'er'cao
大籽筋骨草,da'zi'jin'gu'cao
带春卫矛,dai'chun'wei'mao
戴星草,dai'xing'cao
丹草,dan'cao
单花山矾,dan'hua'shan'fan
单花山竹子,dan'hua'shan'zhu'zi
单花水油甘,dan'hua'shui'you'gan
淡黄荚迷,dan'huang'jia'mi
单节假木豆,dan'jie'jia'mu'dou
单毛刺蒴麻,dan'mao'ci'shuo'ma
单毛山柳,dan'mao'shan'liu
单室茱萸,dan'shi'zhu'yu
单叶豆,dan'ye'dou
单叶红豆,dan'ye'hong'dou
单叶厚唇兰,dan'ye'hou'chun'lan
单叶绞股蓝,dan'ye'jiao'gu'lan
单叶蔓荆,dan'ye'man'jing
单叶拟豆蔻,dan'ye'ni'dou'kou
单叶省藤,dan'ye'sheng'teng
单叶藤橘,dan'ye'teng'ju
单叶异木患,dan'ye'yi'mu'huan
淡竹叶,dan'zhu'ye
单籽南蛇藤,dan'zi'nan'she'teng
单籽崖爬藤,dan'zi'ya'pa'teng
单子砖子苗,dan'zi'zhuan'zi'miao
当归藤,dang'gui'teng
倒地铃,dao'di'ling
倒吊笔,dao'diao'bi
刀豆,dao'dou
倒卵叶山龙眼,dao'luan'ye'shan'long'yan
倒卵叶石楠,dao'luan'ye'shi'nan
倒卵紫珠,dao'luan'zi'zhu
倒心叶盾翅藤,dao'xin'ye'dun'chi'teng
稻形珍珠茅,dao'xing'zhen'zhu'mao
灯心草,deng'xin'cao
地宝兰,di'bao'lan
地胆草,di'dan'cao
地胆旋蒴苣苔,di'dan'xuan'shuo'ju'tai
地稔,di'ren
地毯草,di'tan'cao
帝汶异木患,di'wen'yi'mu'huan
滴锡藤,di'xi'teng
地杨桃,di'yang'tao
地榆,di'yu
点地梅,dian'di'mei
滇红丝线,dian'hong'si'xian
点花黄精,dian'hua'huang'jing
滇南蛇藤,dian'nan'she'teng
滇黔野桐,dian'qian'ye'tong
滇粤山胡椒,dian'yue'shan'hu'jiao
吊花灯,diao'hua'deng
吊罗裸实,diao'luo'luo'shi
吊罗坭竹,diao'luo'ni'zhu
吊罗山萝芙木,diao'luo'shan'luo'fu'mu
吊脉冈,diao'mai'gang
吊球草,diao'qiu'cao
吊丝草,diao'si'cao
吊丝球竹,diao'si'qiu'zhu
吊钟花,diao'zhong'hua
吊钟山矾,diao'zhong'shan'fan
碟斗臂冈,die'dou'bi'gang
迭鞘石斛,die'qiao'shi'hu
定安润楠,ding'an'run'nan
丁公藤,ding'gong'teng
丁癸草,ding'gui'cao
鼎湖钓樟,ding'hu'diao'zhang
顶花杜茎山,ding'hua'du'jing'shan
顶花耳草,ding'hua'er'cao
丁香萼,ding'xiang'e
定心藤,ding'xin'teng
东方闭花木,dong'fang'bi'hua'mu
东方瓜腹木,dong'fang'gua'fu'mu
东方青冈,dong'fang'qing'gang
东方琼楠,dong'fang'qiong'nan
东方雀舌木,dong'fang'que'she'mu
东方苔草,dong'fang'tai'cao
东方肖榄,dong'fang'xiao'lan
东风草,dong'feng'cao
冬凤兰,dong'feng'lan
东南栲,dong'nan'kao
东南紫金牛,dong'nan'zi'jin'niu
冬青,dong'qing
冬叶,dong'ye
豆瓣绿,dou'ban'lv
兜兰,dou'lan
豆叶九里香,dou'ye'jiu'li'xiang
毒瓜,du'gua
独脚金,du'jiao'jin
杜茎山,du'jing'shan
杜楝,du'lian
毒鼠子,du'shu'zi
独穗飘拂草,du'sui'piao'fu'cao
独占春,du'zhan'chun
杜仲藤,du'zhong'teng
短柄巴戟天,duan'bing'ba'ji'tian
短柄吊球草,duan'bing'diao'qiu'cao
短柄毛锦香草,duan'bing'mao'jin'xiang'cao
短柄三角车,duan'bing'san'jiao'che
短柄月月红,duan'bing'yue'yue'hong
短柄紫珠,duan'bing'zi'zhu
断肠花,duan'chang'hua
短翅黄杞,duan'chi'huang'qi
短梗苞草,duan'geng'bao'cao
短梗挖耳草,duan'geng'wa'er'cao
短尖飘拂草,duan'jian'piao'fu'cao
短角冷水花,duan'jiao'leng'shui'hua
短茎隔距兰,duan'jing'ge'ju'lan
短茎擂鼓艻,duan'jing'lei'gu'ji
短茎秋海棠,duan'jing'qiu'hai'tang
短蒟,duan'ju
短芒稗,duan'mang'bai
短穗画眉草,duan'sui'hua'mei'cao
短穗柯,duan'sui'ke
短穗蛇菰,duan'sui'she'gu
短穗鱼尾葵,duan'sui'yu'wei'kui
短尾柯,duan'wei'ke
短序隔距兰,duan'xu'ge'ju'lan
短序蓝叶藤,duan'xu'lan'ye'teng
短序琼楠,duan'xu'qiong'nan
短序润楠,duan'xu'run'nan
短药蒲桃,duan'yao'pu'tao
短叶茳芏,duan'ye'jiang'du
短叶决明,duan'ye'jue'ming
短叶裂稃草,duan'ye'lie'fu'cao
短叶省藤,duan'ye'sheng'teng
短叶黍,duan'ye'shu
短叶水石榕,duan'ye'shui'shi'rong
椴叶野桐,duan'ye'ye'tong
短颖臂形草,duan'ying'bi'xing'cao
短颖马唐,duan'ying'ma'tang
短枝鱼藤,duan'zhi'yu'teng
对叶百部,dui'ye'bai'bu
对叶景天,dui'ye'jing'tian
对叶榕,dui'ye'rong
盾苞藤,dun'bao'teng
钝齿木荷,dun'chi'mu'he
盾翅藤,dun'chi'teng
钝棱荸荠,dun'leng'bi'qi
盾鳞风车子,dun'lin'feng'che'zi
钝叶草,dun'ye'cao
钝叶臭黄荆,dun'ye'chou'huang'jing
钝叶核果木,dun'ye'he'guo'mu
钝叶厚壳桂,dun'ye'hou'ke'gui
盾叶苣苔,dun'ye'ju'tai
钝叶木姜子,dun'ye'mu'jiang'zi
盾叶秋海棠,dun'ye'qiu'hai'tang
钝叶水丝梨,dun'ye'shui'si'li
钝叶樟,dun'ye'zhang
钝叶紫金牛,dun'ye'zi'jin'niu
盾柱卫矛,dun'zhu'wei'mao
多瓣核果茶,duo'ban'he'guo'cha
多齿楼梯草,duo'chi'lou'ti'cao
多刺鸡藤,duo'ci'ji'teng
多刺山黄皮,duo'ci'shan'huang'pi
多果省藤,duo'guo'sheng'teng
多核果,duo'he'guo
多花脆兰,duo'hua'cui'lan
多花丁公藤,duo'hua'ding'gong'teng
多花勾儿茶,duo'hua'gou'er'cha
多花谷木,duo'hua'gu'mu
多花瓜馥木,duo'hua'gua'fu'mu
多花剑叶莎,duo'hua'jian'ye'sha
多花拟兰,duo'hua'ni'lan
多花山猪菜,duo'hua'shan'zhu'cai
多花山竹子,duo'hua'shan'zhu'zi
多花水苋,duo'hua'shui'xian
多花五月茶,duo'hua'wu'yue'cha
多华楔翅藤,duo'hua'xie'chi'teng
多花野牡丹,duo'hua'ye'mu'dan
多花砖子苗,duo'hua'zhuan'zi'miao
多环青冈,duo'huan'qing'gang
多荚草,duo'jia'cao
多茎鼠趜革草,duo'jing'shu'ju'ge'cao
多棱粟米草,duo'leng'su'mi'cao
多脉紫金牛,duo'mai'zi'jin'niu
多毛画眉草,duo'mao'hua'mei'cao
多毛蓝花黄芩,duo'mao'lan'hua'huang'qin
多毛马齿苋,duo'mao'ma'chi'xian
多昧酸藤子,duo'mei'suan'teng'zi
多蕊吉粟草,duo'rui'ji'su'cao
多穗扁莎,duo'sui'bian'sha
多穗稠,duo'sui'chou
多穗省藤,duo'sui'sheng'teng
多穗莎草,duo'sui'suo'cao
多香木,duo'xiang'mu
多型瓜楼,duo'xing'gua'lou
多型马兜铃,duo'xing'ma'dou'ling
多须公,duo'xu'gong
多裔草,duo'yi'cao
多疣野百合,duo'you'ye'bai'he
多枝臂形草,duo'zhi'bi'xing'cao
鹅不食草,e'bu'shi'cao
鹅毛玉凤花,e'mao'yu'feng'hua
莪木,e'mu
鹅掌柴,e'zhang'chai
鹅掌藤,e'zhang'teng
鳄嘴花,e'zui'hua
耳草,er'cao
二叉破布木,er'cha'po'bu'mu
二萼丰花草,er'e'feng'hua'cao
耳稃草,er'fu'cao
二花珍珠茅,er'hua'zhen'zhu'mao
耳基水苋,er'ji'shui'xian
二脊沼兰,er'ji'zhao'lan
二节豆,er'jie'dou
二歧蓼,er'qi'liao
二色波罗密,er'se'bo'luo'mi
二型马唐,er'xing'ma'tang
二药藻,er'yao'zao
耳叶马兜铃,er'ye'ma'dou'ling
发枝稷,fa'zhi'ji
翻白叶树,fan'bai'ye'shu
饭包草,fan'bao'cao
翻唇兰,fan'chun'lan
番果新木姜子,fan'guo'xin'mu'jiang'zi
番花山矾,fan'hua'shan'fan
繁缕,fan'lv
番石榴,fan'shi'liu
梵天花,fan'tian'hua
饭甑青冈,fan'zeng'qing'gang
芳槁润楠,fang'gao'run'nan
方茎耳草,fang'jing'er'cao
芳香石豆兰,fang'xiang'shi'dou'lan
方叶五月茶,fang'ye'wu'yue'cha
方枝蒲桃,fang'zhi'pu'tao
菲岛算盘子,fei'dao'suan'pan'zi
飞机草,fei'ji'cao
飞龙掌血,fei'long'zhang'xue
菲律宾荸荠,fei'lv'bin'bi'qi
菲律宾耳草,fei'lv'bin'er'cao
菲律宾谷精草,fei'lv'bin'gu'jing'cao
菲律宾唐松草,fei'lv'bin'tang'song'cao
