半金属,ban'jin'shu
有色金属棒材,you'se'jin'shu'bang'cai
有色金属带材,you'se'jin'shu'dai'cai
有色金属管材,you'se'jin'shu'guan'cai
有色金属合金,you'se'jin'shu'he'jin
有色金属及加工材,you'se'jin'shu'ji'jia'gong'cai
有色金属加工材,you'se'jin'shu'jia'gong'cai
有色金属矿产,you'se'jin'shu'kuang'chan
有色金属线材,you'se'jin'shu'xian'cai
优特钢,you'te'gang
优质线材,you'zhi'xian'cai
云母,yun'mu
造船板,zao'chuan'ban
凿岩机械,zao'yan'ji'xie
轧钢设备,zha'gang'she'bei
珍珠岩,zhen'zhu'yan
蛭石,zhi'shi
重晶石,zhong'jing'shi
中频电源,zhong'pin'dian'yuan
重有色金属,zhong'you'se'jin'shu
重有色金属矿产,zhong'you'se'jin'shu'kuang'chan
轴承钢,zhou'cheng'gang
铸造及热处理设备,zhu'zao'ji're'chu'li'she'bei
铸造设备,zhu'zao'she'bei
钻采设备,zuan'cai'she'bei
钻探机,zuan'tan'ji
