爱丰村,ai'feng'cun
环城加油站,huan'cheng'jia'you'zhan
缓岭,huan'ling
黄金花园,huang'jin'hua'yuan
火车站,huo'che'zhan
火烧山,huo'shao'shan
鸡场,ji'chang
吉东,ji'dong
基督教堂,ji'du'jiao'tang
鸡冠砬子,ji'guan'la'zi
鸡咀山,ji'ju'shan
鸡岭村,ji'ling'cun
计生委,ji'sheng'wei
济世堂药店,ji'shi'tang'yao'dian
吉松村,ji'song'cun
集贤,ji'xian
集贤桥,ji'xian'qiao
吉祥村,ji'xiang'cun
机修街,ji'xiu'jie
加工厂医院,jia'gong'chang'yi'yuan
驾校,jia'xiao
夹信子村,jia'xin'zi'cun
嘉荫口岸,jia'yin'kou'an
嘉荫县,jia'yin'xian
嘉荫县财政局,jia'yin'xian'cai'zheng'ju
加油站,jia'you'zhan
建边村,jian'bian'cun
检察官培训中心,jian'cha'guan'pei'xun'zhong'xin
检查站,jian'cha'zhan
建富,jian'fu
建富村,jian'fu'cun
建国村,jian'guo'cun
建华村,jian'hua'cun
建江村,jian'jiang'cun
建民村,jian'min'cun
健民药店,jian'min'yao'dian
建强村,jian'qiang'cun
尖山子,jian'shan'zi
建设村,jian'she'cun
建设街道办,jian'she'jie'dao'ban
建设小学校,jian'she'xiao'xue'xiao
建设信用社,jian'she'xin'yong'she
建设营林所,jian'she'ying'lin'suo
建新村,jian'xin'cun
建兴村,jian'xing'cun
建业村,jian'ye'cun
建筑街,jian'zhu'jie
江海证券,jiang'hai'zheng'quan
江红村,jiang'hong'cun
江南村,jiang'nan'cun
轿顶山,jiao'ding'shan
交警队,jiao'jing'dui
教育学院,jiao'yu'xue'yuan
解放村,jie'fang'cun
解放沟,jie'fang'gou
解放山,jie'fang'shan
金峰,jin'feng
金丰村,jin'feng'cun
金峰酒业,jin'feng'jiu'ye
金沟,jin'gou
金牛沟,jin'niu'gou
金牛山,jin'niu'shan
金牛山村,jin'niu'shan'cun
进山,jin'shan
金山宾馆,jin'shan'bin'guan
锦山村,jin'shan'cun
金山公园,jin'shan'gong'yuan
金山食品厂,jin'shan'shi'pin'chang
金山屯区,jin'shan'tun'qu
金水村,jin'shui'cun
金天药行,jin'tian'yao'hang
金星村,jin'xing'cun
景盛小区,jing'sheng'xiao'qu
经营所,jing'ying'suo
旧城村,jiu'cheng'cun
九公里,jiu'gong'li
九号桥,jiu'hao'qiao
旧货市场,jiu'huo'shi'chang
九十四,jiu'shi'si
九十五,jiu'shi'wu
桔源林场,ju'yuan'lin'chang
军分区,jun'fen'qu
军民村,jun'min'cun
开山河,kai'shan'he
抗大,kang'da
抗大村,kang'da'cun
康复医院,kang'fu'yi'yuan
康家沟,kang'jia'gou
康乐药店,kang'le'yao'dian
抗联遗址,kang'lian'yi'zhi
康宁药店,kang'ning'yao'dian
靠河,kao'he
靠山村,kao'shan'cun
靠山街,kao'shan'jie
靠山屯,kao'shan'tun
科研站,ke'yan'zhan
客运站,ke'yun'zhan
筷子厂,kuai'zi'chang
矿山村,kuang'shan'cun
昆仑气林场,kun'lun'qi'lin'chang
拉拉屯,la'la'tun
拉拉屯村,la'la'tun'cun
兰河村,lan'he'cun
兰家屯,lan'jia'tun
岚林,lan'lin
兰新村,lan'xin'cun
兰新经营所,lan'xin'jing'ying'suo
狼洞沟,lang'dong'gou
榔头沟,lang'tou'gou
朗乡站,lang'xiang'zhan
朗乡镇,lang'xiang'zhen
老白山,lao'bai'shan
老场子,lao'chang'zi
老第三,lao'di'san
老第四,lao'di'si
劳动宾馆,lao'dong'bin'guan
劳动大厦,lao'dong'da'sha
劳动局,lao'dong'ju
老段,lao'duan
老队部,lao'dui'bu
老二段,lao'er'duan
老二队,lao'er'dui
老工段,lao'gong'duan
老清真寺,lao'qing'zhen'si
老三场,lao'san'chang
老三段,lao'san'duan
老山头,lao'shan'tou
老收费站,lao'shou'fei'zhan
老头队,lao'tou'dui
老一队,lao'yi'dui
老政府,lao'zheng'fu
乐园村,le'yuan'cun
楞场,leng'chang
冷山,leng'shan
立丰,li'feng
利国,li'guo
黎明村,li'ming'cun
黎明校,li'ming'xiao
黎明小区,li'ming'xiao'qu
黎明小区西门,li'ming'xiao'qu'xi'men
黎明小学,li'ming'xiao'xue
黎明小学道口,li'ming'xiao'xue'dao'kou
梨树沟,li'shu'gou
立新村,li'xin'cun
鲤鱼山,li'yu'shan
立志村,li'zhi'cun
连丰村,lian'feng'cun
两公里半,liang'gong'li'ban
凉水沟,liang'shui'gou
良种场,liang'zhong'chang
良种村,liang'zhong'cun
良种繁育场,liang'zhong'fan'yu'chang
亮子河林场,liang'zi'he'lin'chang
燎原村,liao'yuan'cun
林场村,lin'chang'cun
林城小区,lin'cheng'xiao'qu
林都宾馆,lin'du'bin'guan
林海林场,lin'hai'lin'chang
临江村,lin'jiang'cun
林茂,lin'mao
林溪村,lin'xi'cun
林业文工团,lin'ye'wen'gong'tuan
林源村,lin'yuan'cun
林中原,lin'zhong'yuan
零公里,ling'gong'li
灵山公墓,ling'shan'gong'mu
凌云山,ling'yun'shan
凌云山村,ling'yun'shan'cun
六大古,liu'da'gu
六道沟,liu'dao'gou
六段,liu'duan
六公里,liu'gong'li
六号桥,liu'hao'qiao
柳河林场,liu'he'lin'chang
柳林宾馆,liu'lin'bin'guan
柳树,liu'shu
柳树河林场,liu'shu'he'lin'chang
柳树河子,liu'shu'he'zi
柳树站,liu'shu'zhan
流水沟,liu'shui'gou
隆安村,long'an'cun
龙凤阁,long'feng'ge
龙凤阁市场,long'feng'ge'shi'chang
龙骨山,long'gu'shan
龙江大酒店,long'jiang'da'jiu'dian
龙王庙,long'wang'miao
隆源大厦,long'yuan'da'sha
龙源小区,long'yuan'xiao'qu
鹿场,lu'chang
鹿角沟,lu'jiao'gou
鹿鸣,lu'ming
骆驼山,luo'tuo'shan
绿磨盘,lv'mo'pan
绿水沟,lv'shui'gou
绿洲大酒店,lv'zhou'da'jiu'dian
马鞍山,ma'an'shan
马鞍山沟,ma'an'shan'gou
马场屯,ma'chang'tun
马家屯,ma'jia'tun
马连村,ma'lian'cun
马连林场,ma'lian'lin'chang
马永顺纪念馆,ma'yong'shun'ji'nian'guan
马永顺林场,ma'yong'shun'lin'chang
马永顺中学,ma'yong'shun'zhong'xue
满江红村,man'jiang'hong'cun
馒头山,man'tou'shan
毛兰沟,mao'lan'gou
毛兰沟村,mao'lan'gou'cun
茂林林场,mao'lin'lin'chang
美华,mei'hua
美溪二中,mei'xi'er'zhong
美溪区,mei'xi'qu
孟家沟,meng'jia'gou
盟科购物中心,meng'ke'gou'wu'zhong'xin
密林林场,mi'lin'lin'chang
庙岭,miao'ling
庙山,miao'shan
民富屯,min'fu'tun
民康药业,min'kang'yao'ye
民庆村,min'qing'cun
民生村,min'sheng'cun
民主村,min'zhu'cun
明德村,ming'de'cun
明德小学,ming'de'xiao'xue
明园小区,ming'yuan'xiao'qu
磨石山,mo'shi'shan
母树林,mu'shu'lin
奶牛场,nai'niu'chang
南岔宾馆,nan'cha'bin'guan
南岔区,nan'cha'qu
南岔区二中,nan'cha'qu'er'zhong
南岔小学,nan'cha'xiao'xue
南沟,nan'gou
南沟林场,nan'gou'lin'chang
南河林场,nan'he'lin'chang
南岭,nan'ling
南山,nan'shan
南山新,nan'shan'xin
南小屯,nan'xiao'tun
年丰村,nian'feng'cun
年丰桥,nian'feng'qiao
牛奶厂,niu'nai'chang
牛奶沟,niu'nai'gou
农丰,nong'feng
农行大厦,nong'hang'da'sha
农机厂,nong'ji'chang
农林街,nong'lin'jie
农贸综合市场,nong'mao'zong'he'shi'chang
批发市场,pi'fa'shi'chang
平顶,ping'ding
平顶山,ping'ding'shan
葡萄岛,pu'tao'dao
普新小区,pu'xin'xiao'qu
汽车公司,qi'che'gong'si
七道沟,qi'dao'gou
七公里,qi'gong'li
七公里半,qi'gong'li'ban
七号村,qi'hao'cun
汽校,qi'xiao
七中,qi'zhong
前程村,qian'cheng'cun
前峰村,qian'feng'cun
前岗村,qian'gang'cun
前韩家,qian'han'jia
前进村,qian'jin'cun
前进社,qian'jin'she
前进学校,qian'jin'xue'xiao
前景村,qian'jing'cun
铅锌矿,qian'xin'kuang
桥东,qiao'dong
勤俭村,qin'jian'cun
亲水家园,qin'shui'jia'yuan
青川村,qing'chuan'cun
庆丰村,qing'feng'cun
青峰道口,qing'feng'dao'kou
青岗,qing'gang
青沟,qing'gou
清河林场,qing'he'lin'chang
青黑山,qing'hei'shan
庆客隆超市,qing'ke'long'chao'shi
青林村,qing'lin'cun
青林林场,qing'lin'lin'chang
庆岭,qing'ling
青年新村,qing'nian'xin'cun
清泉村,qing'quan'cun
青山,qing'shan
青山村,qing'shan'cun
青山酒店,qing'shan'jiu'dian
青山口,qing'shan'kou
青山林场,qing'shan'lin'chang
青山农场,qing'shan'nong'chang
青山屯,qing'shan'tun
青山乡,qing'shan'xiang
青山乡政府,qing'shan'xiang'zheng'fu
青少年宫,qing'shao'nian'gong
清水,qing'shui
清水沟,qing'shui'gou
清水河新村,qing'shui'he'xin'cun
青松,qing'song
青松村,qing'song'cun
青溪,qing'xi
青溪沟,qing'xi'gou
青杨沟,qing'yang'gou
青云岛,qing'yun'dao
秋丰,qiu'feng
秋丰村,qiu'feng'cun
区第一小学,qu'di'yi'xiao'xue
区法院,qu'fa'yuan
区公安局,qu'gong'an'ju
区供电局,qu'gong'dian'ju
区检察院,qu'jian'cha'yuan
区人事劳动局,qu'ren'shi'lao'dong'ju
泉石村,quan'shi'cun
泉石林场,quan'shi'lin'chang
群英村,qun'ying'cun
热力公司,re'li'gong'si
人防办,ren'fang'ban
仁合村,ren'he'cun
人民广场,ren'min'guang'chang
人民银行,ren'min'yin'hang
日报社,ri'bao'she
三岔沟,san'cha'gou
三岔河林场,san'cha'he'lin'chang
三叉线,san'cha'xian
三道沟,san'dao'gou
三段,san'duan
三岗村,san'gang'cun
三个大山,san'ge'da'shan
三公里,san'gong'li
三公里半,san'gong'li'ban
三沟,san'gou
三号坝,san'hao'ba
三号村,san'hao'cun
三号闸,san'hao'zha
三合村,san'he'cun
三尖山,san'jian'shan
三角山,san'jiao'shan
三块石,san'kuai'shi
三桥,san'qiao
三桥街,san'qiao'jie
三十二公里,san'shi'er'gong'li
三十二户,san'shi'er'hu
三十六场,san'shi'liu'chang
三十七公里,san'shi'qi'gong'li
三十三公里,san'shi'san'gong'li
三十五公里,san'shi'wu'gong'li
三十一公里,san'shi'yi'gong'li
三小,san'xiao
三新,san'xin
三支沟,san'zhi'gou
森林宾馆,sen'lin'bin'guan
森林公园,sen'lin'gong'yuan
森林经营所,sen'lin'jing'ying'suo
森铁街,sen'tie'jie
沙岭,sha'ling
沙岭村,sha'ling'cun
沙岭沟,sha'ling'gou
沙岭站,sha'ling'zhan
沙山村,sha'shan'cun
山头村,shan'tou'cun
上车间,shang'che'jian
商城,shang'cheng
上甘岭区,shang'gan'ling'qu
上甘岭中学,shang'gan'ling'zhong'xue
商贸加油站,shang'mao'jia'you'zhan
商厦,shang'sha
商业大厦,shang'ye'da'sha
上游林场,shang'you'lin'chang
尚志村,shang'zhi'cun
少白山,shao'bai'shan
少年宫,shao'nian'gong
猞猁沟,she'li'gou
沈后,shen'hou
神树林场,shen'shu'lin'chang
神树站,shen'shu'zhan
神树镇,shen'shu'zhen
升辉市场,sheng'hui'shi'chang
胜利村,sheng'li'cun
胜利队,sheng'li'dui
胜利沟,sheng'li'gou
胜利桥,sheng'li'qiao
胜利站,sheng'li'zhan
圣泉河,sheng'quan'he
十八公里,shi'ba'gong'li
市场,shi'chang
石长村,shi'chang'cun
时代广场,shi'dai'guang'chang
十二公里,shi'er'gong'li
示范场,shi'fan'chang
市广电局,shi'guang'dian'ju
世纪园,shi'ji'yuan
市建设局,shi'jian'she'ju
市交警大队,shi'jiao'jing'da'dui
十九公里,shi'jiu'gong'li
十九户,shi'jiu'hu
石砬子山,shi'la'zi'shan
十连,shi'lian
石林,shi'lin
石林林场,shi'lin'lin'chang
十六公里,shi'liu'gong'li
石帽顶子,shi'mao'ding'zi
石门子,shi'men'zi
石墨矿,shi'mo'kuang
十七公里,shi'qi'gong'li
十三公里,shi'san'gong'li
十三工区,shi'san'gong'qu
十四公里,shi'si'gong'li
石头山,shi'tou'shan
市委,shi'wei
市五官医院,shi'wu'guan'yi'yuan
实验村,shi'yan'cun
十一公里,shi'yi'gong'li
市政府,shi'zheng'fu
市中心血站,shi'zhong'xin'xue'zhan
市中医医院,shi'zhong'yi'yi'yuan
守虎山,shou'hu'shan
狩猎村,shou'lie'cun
狩猎队,shou'lie'dui
曙光,shu'guang
曙光村,shu'guang'cun
曙光林场,shu'guang'lin'chang
曙光屯,shu'guang'tun
树林村,shu'lin'cun
双丰站,shuang'feng'zhan
双丰镇,shuang'feng'zhen
双岗村,shuang'gang'cun
双合,shuang'he
双河,shuang'he
双河村,shuang'he'cun
双合桥,shuang'he'qiao
双河镇,shuang'he'zhen
双建村,shuang'jian'cun
双立村,shuang'li'cun
双桥村,shuang'qiao'cun
双庆村,shuang'qing'cun
双兴村,shuang'xing'cun
双子河,shuang'zi'he
水库村,shui'ku'cun
水泥厂,shui'ni'chang
水上公园,shui'shang'gong'yuan
四道沟,si'dao'gou
四道河子,si'dao'he'zi
四段,si'duan
四公里,si'gong'li
四公里半,si'gong'li'ban
四户,si'hu
四间房,si'jian'fang
四块石,si'kuai'shi
饲料加工厂,si'liao'jia'gong'chang
四平桥,si'ping'qiao
四平山,si'ping'shan
死人沟,si'ren'gou
四十公里,si'shi'gong'li
四十六,si'shi'liu
四十四,si'shi'si
四十一,si'shi'yi
四支沟,si'zhi'gou
四座房,si'zuo'fang
松林沟,song'lin'gou
松林林场,song'lin'lin'chang
松岭,song'ling
松岭沟,song'ling'gou
松山,song'shan
松涛宾馆,song'tao'bin'guan
松韵城,song'yun'cheng
泰康人寿保险,tai'kang'ren'shou'bao'xian
太平村,tai'ping'cun
太平大桥,tai'ping'da'qiao
太平沟,tai'ping'gou
太平经营所,tai'ping'jing'ying'suo
太平林场,tai'ping'lin'chang
太平岭,tai'ping'ling
太平山,tai'ping'shan
太平洋财险,tai'ping'yang'cai'xian
太平站,tai'ping'zhan
汤林林场,tang'lin'lin'chang
汤旺,tang'wang
汤旺河,tang'wang'he
汤旺河区,tang'wang'he'qu
桃林医院,tao'lin'yi'yuan
桃山村,tao'shan'cun
桃山林场,tao'shan'lin'chang
桃山镇,tao'shan'zhen
套子里,tao'zi'li
特教,te'jiao
体育馆,ti'yu'guan
天河浴池,tian'he'yu'chi
天红村,tian'hong'cun
天津包子铺,tian'jin'bao'zi'pu
天泉浴池,tian'quan'yu'chi
铁东,tie'dong
铁矿沟,tie'kuang'gou
铁力公园,tie'li'gong'yuan
铁力市,tie'li'shi
铁力市财政局,tie'li'shi'cai'zheng'ju
铁力市第一中学,tie'li'shi'di'yi'zhong'xue
铁力市林业局,tie'li'shi'lin'ye'ju
铁力市人民医院,tie'li'shi'ren'min'yi'yuan
铁力市政府,tie'li'shi'zheng'fu
铁力收费站,tie'li'shou'fei'zhan
铁力四中,tie'li'si'zhong
铁力西大桥,tie'li'xi'da'qiao
铁力一小,tie'li'yi'xiao
铁力站,tie'li'zhan
铁力镇,tie'li'zhen
铁林小学,tie'lin'xiao'xue
铁路农场,tie'lu'nong'chang
铁路小区,tie'lu'xiao'qu
铁路医院,tie'lu'yi'yuan
铁路浴池,tie'lu'yu'chi
停车场,ting'che'chang
通河村,tong'he'cun
通江村,tong'jiang'cun
童真幼儿园,tong'zhen'you'er'yuan
头道沟,tou'dao'gou
透龙山,tou'long'shan
秃顶子山,tu'ding'zi'shan
图南山,tu'nan'shan
图书馆,tu'shu'guan
团结大桥,tuan'jie'da'qiao
团结沟,tuan'jie'gou
瓦盆窑,wa'pen'yao
万顺达酒店,wan'shun'da'jiu'dian
王八脖子,wang'ba'bo'zi
王家店村,wang'jia'dian'cun
王杨乡,wang'yang'xiang
卫东,wei'dong
卫东村,wei'dong'cun
卫国乡,wei'guo'xiang
卫华村,wei'hua'cun
威岭站,wei'ling'zhan
苇塘沟,wei'tang'gou
卫校,wei'xiao
卫星村,wei'xing'cun
温岛,wen'dao
文化宫,wen'hua'gong
温泉村,wen'quan'cun
稳水河村,wen'shui'he'cun
温州化妆城,wen'zhou'hua'zhuang'cheng
五场,wu'chang
五道沟,wu'dao'gou
五段,wu'duan
五二零,wu'er'ling
五二三,wu'er'san
五峰岭,wu'feng'ling
五公里,wu'gong'li
五公里半,wu'gong'li'ban
五号,wu'hao
五号闸,wu'hao'zha
五花村,wu'hua'cun
五家子,wu'jia'zi
五间房,wu'jian'fang
五棵松,wu'ke'song
乌拉嘎镇,wu'la'ga'zhen
五连,wu'lian
五六,wu'liu
五龙村,wu'long'cun
五龙山,wu'long'shan
五龙山村,wu'long'shan'cun
乌马河,wu'ma'he
乌马河广场,wu'ma'he'guang'chang
乌马河区,wu'ma'he'qu
五七农场,wu'qi'nong'chang
五三零,wu'san'ling
五十六小区,wu'shi'liu'xiao'qu
五十七,wu'shi'qi
梧桐村,wu'tong'cun
梧桐站,wu'tong'zhan
五星,wu'xing
五星站,wu'xing'zhan
五星镇,wu'xing'zhen
五一八,wu'yi'ba
五一村,wu'yi'cun
乌伊岭区,wu'yi'ling'qu
五营河,wu'ying'he
五营收费站,wu'ying'shou'fei'zhan
乌云镇,wu'yun'zhen
乌云镇政府,wu'yun'zhen'zheng'fu
武装部,wu'zhuang'bu
西北岔,xi'bei'cha
西大岗,xi'da'gang
西钢,xi'gang
西钢宾馆,xi'gang'bin'guan
西钢医院,xi'gang'yi'yuan
西林宾馆,xi'lin'bin'guan
西林村,xi'lin'cun
