白虎湾,bai'hu'wan
神火,shen'huo
师范,shi'fan
石岭,shi'ling
石岭村,shi'ling'cun
市人大,shi'ren'da
市容局,shi'rong'ju
石狮埠粮站,shi'shi'bu'liang'zhan
十一小学,shi'yi'xiao'xue
市一院,shi'yi'yuan
市政协,shi'zheng'xie
曙光路综合批发市场,shu'guang'lu'zong'he'pi'fa'shi'chang
双凤村委会,shuang'feng'cun'wei'hui
双凤桥,shuang'feng'qiao
水厂,shui'chang
塘下,tang'xia
唐英大道,tang'ying'da'dao
陶瓷工业园,tao'ci'gong'ye'yuan
陶瓷工艺美院,tao'ci'gong'yi'mei'yuan
陶瓷学院,tao'ci'xue'yuan
陶机,tao'ji
陶院新区,tao'yuan'xin'qu
铁路医院,tie'lu'yi'yuan
铁路中学,tie'lu'zhong'xue
通站南路口,tong'zhan'nan'lu'kou
望龙陶瓷,wang'long'tao'ci
五中,wu'zhong
西郊垦殖场,xi'jiao'ken'zhi'chang
西客站,xi'ke'zhan
下街,xia'jie
下窑,xia'yao
先锋,xian'feng
湘湖,xiang'hu
象山,xiang'shan
新厂,xin'chang
新村,xin'cun
新德园,xin'de'yuan
新都,xin'du
新都民营陶瓷园,xin'du'min'ying'tao'ci'yuan
新枫园,xin'feng'yuan
新桥,xin'qiao
盐业公司,yan'ye'gong'si
洋湖村,yang'hu'cun
养老院,yang'lao'yuan
医药公司,yi'yao'gong'si
一中,yi'zhong
印机,yin'ji
迎宾大道,ying'bin'da'dao
莹盘山,ying'pan'shan
邮电大楼,you'dian'da'lou
玉田水库,yu'tian'shui'ku
御窑长廊,yu'yao'chang'lang
宇宙瓷厂,yu'zhou'ci'chang
玉字亭,yu'zi'ting
站前路口,zhan'qian'lu'kou
樟树下,zhang'shu'xia
浙江商城,zhe'jiang'shang'cheng
真空电器有限公司,zhen'kong'dian'qi'you'xian'gong'si
中国陶瓷城,zhong'guo'tao'ci'cheng
中华南路口,zhong'hua'nan'lu'kou
中招办,zhong'zhao'ban
珠山桥,zhu'shan'qiao
珠山区民政局,zhu'shan'qu'min'zheng'ju
