阿巴斯全集,a'ba'si'quan'ji
法源论纲,fa'yuan'lun'gang
繁星,fan'xing
费隐经,fei'yin'jing
福乐智慧,fu'le'zhi'hui
赋税论,fu'shui'lun
纲常,gang'chang
冈志,gang'zhi
高贵的礼品,gao'gui'de'li'pin
高贵者的品行,gao'gui'zhe'de'pin'xing
古代遗迹,gu'dai'yi'ji
古兰经,gu'lan'jing
古兰经初解,gu'lan'jing'chu'jie
古兰经解总汇,gu'lan'jing'jie'zong'hui
古兰经译解,gu'lan'jing'yi'jie
古兰经注释大全,gu'lan'jing'zhu'shi'da'quan
古兰经注释明证,gu'lan'jing'zhu'shi'ming'zheng
古润礼拜寺记,gu'run'li'bai'si'ji
光辉,guang'hui
光烈夫子省己格言,guang'lie'fu'zi'sheng'ji'ge'yan
光明之园,guang'ming'zhi'yuan
归真要道,gui'zhen'yao'dao
归真总义,gui'zhen'zong'yi
国家政权与教法,guo'jia'zheng'quan'yu'jiao'fa
果园,guo'yuan
亥听,hai'ting
汉译宝命真经,han'yi'bao'ming'zhen'jing
汉译耳木代,han'yi'er'mu'dai
和卓传,he'zhuo'chuan
和卓伊斯哈克瓦力传,he'zhuo'yi'si'ha'ke'wa'li'chuan
黄金草原,huang'jin'cao'yuan
黄金传系,huang'jin'chuan'xi
回回原来,hui'hui'yuan'lai
回教考,hui'jiao'kao
贾拉利伦理书,jia'la'li'lun'li'shu
加木乌勒木长提,jia'mu'wu'le'mu'chang'ti
俭可养廉碑,jian'ke'yang'lian'bei
教典诠释,jiao'dian'quan'shi
教法护卫,jiao'fa'hu'wei
教法护卫详解,jiao'fa'hu'wei'xiang'jie
教法基础,jiao'fa'ji'chu
教法择要宝鉴,jiao'fa'ze'yao'bao'jian
教法指南,jiao'fa'zhi'nan
教法自通,jiao'fa'zi'tong
教款捷要,jiao'kuan'jie'yao
教款微论,jiao'kuan'wei'lun
教民的经验,jiao'min'de'jing'yan
教心经注,jiao'xin'jing'zhu
教义学大纲,jiao'yi'xue'da'gang
教义学基础,jiao'yi'xue'ji'chu
教义与教派,jiao'yi'yu'jiao'pai
揭示奥秘,jie'shi'ao'mi
揭示经文之奥秘,jie'shi'jing'wen'zhi'ao'mi
近代改良主义领袖,jin'dai'gai'liang'zhu'yi'ling'xiu
近主亲密的气息,jin'zhu'qin'mi'de'qi'xi
精诚兄弟社论文集,jing'cheng'xiong'di'she'lun'wen'ji
经行记,jing'xing'ji
经学系传谱,jing'xue'xi'chuan'pu
精英,jing'ying
精英荟萃,jing'ying'hui'cui
经注之冠,jing'zhu'zhi'guan
救济传,jiu'ji'chuan
卡菲,ka'fei
喀什噶尔传,ka'shi'ga'er'chuan
喀什噶利亚史,ka'shi'ga'li'ya'shi
凯沙甫,kai'sha'fu
考证回教历史,kao'zheng'hui'jiao'li'shi
可兰经,ke'lan'jing
克理默解,ke'li'mo'jie
科学之光,ke'xue'zhi'guang
拉施德史,la'shi'de'shi
来复铭,lai'fu'ming
雷沙来,lei'sha'lai
利比亚天课法,li'bi'ya'tian'ke'fa
礼法正宗,li'fa'zheng'zong
历史大全,li'shi'da'quan
历史文献,li'shi'wen'xian
历史绪论,li'shi'xu'lun
历史选本,li'shi'xuan'ben
历史之友,li'shi'zhi'you
论最高哈里发和伊玛目制度,lun'zui'gao'ha'li'fa'he'yi'ma'mu'zhi'du
旅行者的食粮,lv'xing'zhe'de'shi'liang
玛合图木阿杂木与和卓伊斯哈克瓦力家族传,ma'he'tu'mu'a'za'mu'yu'he'zhuo'yi'si'ha'ke'wa'li'jia'zu'chuan
玛朗加拉里丁布哈里传,ma'lang'jia'la'li'ding'bu'ha'li'chuan
马启西遗联,ma'qi'xi'yi'lian
马沙比逊奈,ma'sha'bi'xun'nai
玛斯纳维,ma'si'na'wei
麦夫利德,mai'fu'li'de
麦加的启示,mai'jia'de'qi'shi
麦克图巴提,mai'ke'tu'ba'ti
麦斯欧迪史,mai'si'ou'di'shi
矛盾的矛盾,mao'dun'de'mao'dun
秘密宝库,mi'mi'bao'ku
秘密的揭示,mi'mi'de'jie'shi
秘密珍宝,mi'mi'zhen'bao
秘密之发现和善者的许诺,mi'mi'zhi'fa'xian'he'shan'zhe'de'xu'nuo
秘密之园,mi'mi'zhi'yuan
摩洛哥私人身份法,mo'luo'ge'si'ren'shen'fen'fa
穆民劝善歌,mu'min'quan'shan'ge
穆斯林离婚法,mu'si'lin'li'hun'fa
穆斯林圣训实录,mu'si'lin'sheng'xun'shi'lu
穆斯林瓦克夫有效法,mu'si'lin'wa'ke'fu'you'xiao'fa
穆斯林在中国土地上的圣战,mu'si'lin'zai'zhong'guo'tu'di'shang'de'sheng'zhan
穆斯纳德圣训集,mu'si'na'de'sheng'xun'ji
穆瓦塔圣训集,mu'wa'ta'sheng'xun'ji
纳赛里编年史,na'sai'li'bian'nian'shi
纳赛里伦理书,na'sai'li'lun'li'shu
纳瓦维,na'wa'wei
鸟的逻辑,niao'de'luo'ji
品位,pin'wei
期待的珍宝,qi'dai'de'zhen'bao
祁静一遗训,qi'jing'yi'yi'xun
齐勒坦传,qi'le'tan'chuan
启示光辉和经义奥秘,qi'shi'guang'hui'he'jing'yi'ao'mi
虔信者的念珠,qian'xin'zhe'de'nian'zhu
蔷薇园,qiang'wei'yuan
清净寺阿拉伯文纪年石刻,qing'jing'si'a'la'bo'wen'ji'nian'shi'ke
情人集,qing'ren'ji
情人篇,qing'ren'pian
清真大学,qing'zhen'da'xue
清真根源,qing'zhen'gen'yuan
清真教考,qing'zhen'jiao'kao
清真释疑,qing'zhen'shi'yi
清真释疑补辑,qing'zhen'shi'yi'bu'ji
清真通俗歌,qing'zhen'tong'su'ge
清真醒世篇,qing'zhen'xing'shi'pian
清真要义,qing'zhen'yao'yi
清真哲学寄语录,qing'zhen'zhe'xue'ji'yu'lu
清真指南,qing'zhen'zhi'nan
泉州重修清净寺碑记,quan'zhou'chong'xiu'qing'jing'si'bei'ji
泉州重立清净寺碑,quan'zhou'zhong'li'qing'jing'si'bei
群书汇辑释疑,qun'shu'hui'ji'shi'yi
人类史纲要,ren'lei'shi'gang'yao
认主学,ren'zhu'xue
沙姆斯大不里士诗集,sha'mu'si'da'bu'li'shi'shi'ji
神秘论者园地,shen'mi'lun'zhe'yuan'di
神智,shen'zhi
圣洁之园,sheng'jie'zhi'yuan
生命源泉的点滴,sheng'ming'yuan'quan'de'dian'di
圣徒列传,sheng'tu'lie'zhuan
圣贤传,sheng'xian'chuan
圣学重光,sheng'xue'chong'guang
圣学复苏,sheng'xue'fu'su
圣训辨异,sheng'xun'bian'yi
圣训易读,sheng'xun'yi'du
圣训珠玑,sheng'xun'zhu'ji
十八段,shi'ba'duan
时代瑰宝,shi'dai'gui'bao
世界征服者史,shi'jie'zheng'fu'zhe'shi
诗人传记大全,shi'ren'zhuan'ji'da'quan
十三本,shi'san'ben
十四本,shi'si'ben
史选,shi'xuan
释疑,shi'yi
使者与帝王史,shi'zhe'yu'di'wang'shi
书信集,shu'xin'ji
四典要会,si'dian'yao'hui
四教要括,si'jiao'yao'kuo
四篇要道,si'pian'yao'dao
四伊玛目传,si'yi'ma'mu'chuan
苏丹之律令,su'dan'zhi'lv'ling
苏非教义,su'fei'jiao'yi
苏非派教制,su'fei'pai'jiao'zhi
苏拉巴迪经注,su'la'ba'di'jing'zhu
苏莱曼游记,su'lai'man'you'ji
苏图克布格拉汗传,su'tu'ke'bu'ge'la'han'chuan
索马里家庭法,suo'ma'li'jia'ting'fa
塔百里古兰经注,ta'bai'li'gu'lan'jing'zhu
塔百里史,ta'bai'li'shi
探索之路,tan'suo'zhi'lu
天方道程启径浅说,tian'fang'dao'cheng'qi'jing'qian'shuo
天方典礼,tian'fang'dian'li
天方三字经,tian'fang'san'zi'jing
天方圣教序,tian'fang'sheng'jiao'xu
天方诗经,tian'fang'shi'jing
天方性理,tian'fang'xing'li
天方正学,tian'fang'zheng'xue
天方至圣实录,tian'fang'zhi'sheng'shi'lu
天方字母解义,tian'fang'zi'mu'jie'yi
天国之门,tian'guo'zhi'men
天经,tian'jing
天园圣灵,tian'yuan'sheng'ling
通俗经典注释,tong'su'jing'dian'zhu'shi
突厥语词典,tu'jue'yu'ci'dian
突尼斯私人身份法,tu'ni'si'si'ren'shen'fen'fa
托尔巴特贾姆经注,tuo'er'ba'te'jia'mu'jing'zhu
完人之书,wan'ren'zhi'shu
王冠上的珍珠,wang'guan'shang'de'zhen'zhu
卫道经解,wei'dao'jing'jie
伟嘎业,wei'ga'ye
维卡亚教法,wei'ka'ya'jiao'fa
伟人之园,wei'ren'zhi'yuan
五大本,wu'da'ben
五更月,wu'geng'yue
五功释义,wu'gong'shi'yi
无价的价值,wu'jia'de'jia'zhi
吴鉴清净寺记,wu'jian'qing'jing'si'ji
乌吾斯传,wu'wu'si'chuan
无字真经歌,wu'zi'zhen'jing'ge
西安创建清真寺碑记,xi'an'chuang'jian'qing'zhen'si'bei'ji
希大亚教法,xi'da'ya'jiao'fa
西来宗谱,xi'lai'zong'pu
锡斯坦史,xi'si'tan'shi
希真正答,xi'zhen'zheng'da
先知故事集,xian'zhi'gu'shi'ji
先知使命的显证,xian'zhi'shi'ming'de'xian'zheng
限制童婚法,xian'zhi'tong'hun'fa
详史,xiang'shi
写作启明,xie'zuo'qi'ming
新史,xin'shi
信士传,xin'shi'chuan
信士修行之道,xin'shi'xiu'xing'zhi'dao
信徒之坦途,xin'tu'zhi'tan'tu
新汛史录,xin'xun'shi'lu
幸福的阶梯,xing'fu'de'jie'ti
幸福炼金术,xing'fu'lian'jin'shu
醒回篇,xing'hui'pian
性理本经注释,xing'li'ben'jing'zhu'shi
醒迷要录,xing'mi'yao'lu
性命宗旨,xing'ming'zong'zhi
行为指南,xing'wei'zhi'nan
雄辩之路,xiong'bian'zhi'lu
雄辩之路注,xiong'bian'zhi'lu'zhu
修辞之坦途,xiu'ci'zhi'tan'tu
修真蒙引,xiu'zhen'meng'yin
叙利亚私人身份法,xu'li'ya'si'ren'shen'fen'fa
续圣洁之园,xu'sheng'jie'zhi'yuan
宣化清真南寺重修礼拜寺记,xuan'hua'qing'zhen'nan'si'chong'xiu'li'bai'si'ji
殉教者园地,xun'jiao'zhe'yuan'di
伊本白图泰游记,yi'ben'bai'tu'tai'you'ji
依达耶提传,yi'da'ye'ti'chuan
伊拉克私人身份法,yi'la'ke'si'ren'shen'fen'fa
伊朗家庭保护法,yi'lang'jia'ting'bao'hu'fa
伊玛目热巴尼书信集,yi'ma'mu're'ba'ni'shu'xin'ji
一神论之奥秘,yi'shen'lun'zhi'ao'mi
伊斯坎达尔的智慧,yi'si'kan'da'er'de'zhi'hui
伊斯兰教拜功之理,yi'si'lan'jiao'bai'gong'zhi'li
伊斯兰教的精神,yi'si'lan'jiao'de'jing'shen
伊斯兰教法,yi'si'lan'jiao'fa
伊斯兰教法概略,yi'si'lan'jiao'fa'gai'lue
伊斯兰教概论,yi'si'lan'jiao'gai'lun
伊斯兰教学派言论集,yi'si'lan'jiao'xue'pai'yan'lun'ji
伊斯兰教宗教思想的再建,yi'si'lan'jiao'zong'jiao'si'xiang'de'zai'jian
伊斯兰历史与文明百科,yi'si'lan'li'shi'yu'wen'ming'bai'ke
伊斯兰社会主义,yi'si'lan'she'hui'zhu'yi
伊斯兰政府,yi'si'lan'zheng'fu
遗嘱处分法,yi'zhu'chu'fen'fa
永乐三年刻立洪武圣旨碑,yong'le'san'nian'ke'li'hong'wu'sheng'zhi'bei
永乐五年敕谕,yong'le'wu'nian'chi'yu
优良品德,you'liang'pin'de
优素福和佐莱哈,you'su'fu'he'zuo'lai'ha
优越城居民意见书,you'yue'cheng'ju'min'yi'jian'shu
喻世书信集,yu'shi'shu'xin'ji
玉素甫古兰经译注,yu'su'fu'gu'lan'jing'yi'zhu
约旦家庭权利法,yue'dan'jia'ting'quan'li'fa
乐府集成,yue'fu'ji'cheng
乐府诗集,yue'fu'shi'ji
杂学,za'xue
赞甫坦托勒哈沙依勒,zan'fu'tan'tuo'le'ha'sha'yi'le
泽尔甫哈热古兰经译注,ze'er'fu'ha're'gu'lan'jing'yi'zhu
昭微经,zhao'wei'jing
昭元秘诀,zhao'yuan'mi'jue
哲赫林耶道统史小集,zhe'he'lin'ye'dao'tong'shi'xiao'ji
哲理大全,zhe'li'da'quan
者俩来尼经注,zhe'liang'lai'ni'jing'zhu
哲学家的矛盾,zhe'xue'jia'de'mao'dun
珍宝集,zhen'bao'ji
真功发微,zhen'gong'fa'wei
真光闪耀,zhen'guang'shan'yao
真教寺碑记,zhen'jiao'si'bei'ji
真境花园,zhen'jing'hua'yuan
真理的入门,zhen'li'de'ru'men
真理之园,zhen'li'zhi'yuan
真义探讨,zhen'yi'tan'tao
郑和下西洋行香碑,zheng'he'xia'xi'yang'xing'xiang'bei
正教理论,zheng'jiao'li'lun
正教真诠,zheng'jiao'zhen'quan
拯救论,zheng'jiu'lun
正堂禁碑,zheng'tang'jin'bei
政治论,zheng'zhi'lun
智慧的珍宝,zhi'hui'de'zhen'bao
治疗论,zhi'liao'lun
知识论,zhi'shi'lun
指要,zhi'yao
中阿初婚,zhong'a'chu'hun
中国回教史,zhong'guo'hui'jiao'shi
中国回教史鉴,zhong'guo'hui'jiao'shi'jian
中国回教史研究,zhong'guo'hui'jiao'shi'yan'jiu
中国回教小史,zhong'guo'hui'jiao'xiao'shi
中国伊斯兰史纲要参考资料,zhong'guo'yi'si'lan'shi'gang'yao'can'kao'zi'liao
重立灵武山大师舍公碑文,zhong'li'ling'wu'shan'da'shi'she'gong'bei'wen
著名的证据,zhu'ming'de'zheng'ju
祝天大赞集解,zhu'tian'da'zan'ji'jie
追求中的真宰,zhui'qiu'zhong'de'zhen'zai
宗教轨仪,zong'jiao'gui'yi
宗教信仰论,zong'jiao'xin'yang'lun
宗教学大全,zong'jiao'xue'da'quan
宗教学科的复兴,zong'jiao'xue'ke'de'fu'xing
宗教学者和圣裔的天园,zong'jiao'xue'zhe'he'sheng'yi'de'tian'yuan
宗教原理,zong'jiao'yuan'li
走向安拉者之品级,zou'xiang'an'la'zhe'zhi'pin'ji
尊贵的帝王和先知史选,zun'gui'de'di'wang'he'xian'zhi'shi'xuan
尊贵者的赠礼,zun'gui'zhe'de'zeng'li
