暗刻,an'ke
蒋蓉,jiang'rong
江山窑,jiang'shan'yao
浆胎,jiang'tai
蒋小彦,jiang'xiao'yan
酱釉,jiang'you
绞胎器,jiao'tai'qi
绞釉器,jiao'you'qi
界画,jie'hua
截口,jie'kou
节临,jie'lin
锦地,jin'di
金华窑,jin'hua'yao
紧火,jin'huo
谨记,jin'ji
谨书,jin'shu
金文,jin'wen
筋纹器,jin'wen'qi
谨写,jin'xie
敬识,jing'shi
敬书,jing'shu
泾县窑,jing'xian'yao
敬写,jing'xie
惊釉,jing'you
敬赠,jing'zeng
锔伤,ju'shang
卷口瓶,juan'kou'ping
卷云纹,juan'yun'wen
爵杯,jue'bei
军持,jun'chi
均红,jun'hong
钧红釉,jun'hong'you
钧釉,jun'you
开片,kai'pian
开片纹,kai'pian'wen
烤花,kao'hua
科斗文,ke'dou'wen
科斗篆,ke'dou'zhuan
刻符,ke'fu
磕伤,ke'shang
孔明碗,kong'ming'wan
孔雀蓝釉,kong'que'lan'you
孔雀绿釉,kong'que'lv'you
空行母,kong'xing'mu
枯款,ku'kuan
款识,kuan'zhi
蓝釉,lan'you
郎窑,lang'yao
郎窑红,lang'yao'hong
老种,lao'zhong
冷墨,leng'mo
冷莹,leng'ying
李碧芳,li'bi'fang
李昌鸿,li'chang'hong
梨壶,li'hu
李慧芳,li'hui'fang
鬲式炉,li'shi'lu
李园林,li'yuan'lin
立轴,li'zhou
梁兑生,liang'dui'sheng
料彩,liao'cai
裂纹釉,lie'wen'you
临拟,lin'ni
溜肩,liu'jian
刘建平,liu'jian'ping
刘希任,liu'xi'ren
刘雨岑,liu'yu'cen
刘仲卿,liu'zhong'qing
龙泉窑,long'quan'yao
炉钧,lu'jun
陆奇南,lu'qi'nan
露胎,lu'tai
陆云山,lu'yun'shan
萝卜尊,luo'bo'zun
裸烧,luo'shao
绿度母,lv'du'mu
率题,lv'ti
吕尧臣,lv'yao'chen
绿釉,lv'you
马蹄尊,ma'ti'zun
漫笔,man'bi
曼生壶,man'sheng'hu
漫涂,man'tu
芒口瓷,mang'kou'ci
毛边,mao'bian
毛国强,mao'guo'qiang
毛口,mao'kou
没骨画,mei'gu'hua
秘色釉瓷,mi'se'you'ci
描金,miao'jin
妙品,miao'pin
命纸,ming'zhi
磨底,mo'di
抹红釉,mo'hong'you
磨口,mo'kou
磨款,mo'kuan
摩崖,mo'ya
内绘,nei'hui
能品,neng'pin
宁波窑,ning'bo'yao
牛头尊,niu'tou'zun
瓯窑,ou'yao
潘持平,pan'chi'ping
盘口壶,pan'kou'hu
潘陶宇,pan'tao'yu
潘庸秉,pan'yong'bing
配盖,pei'gai
裴石民,pei'shi'min
配腿,pei'tui
片法纹,pian'fa'wen
片纹,pian'wen
缥色釉,piao'se'you
撇口大瓶,pie'kou'da'ping
平等青,ping'deng'qing
苹果尊,ping'guo'zun
铺耳,pu'er
浦江窑,pu'jiang'yao
漆彩画,qi'cai'hua
漆画,qi'hua
契文,qi'wen
器型,qi'xing
浅腹,qian'fu
浅降彩,qian'jiang'cai
茄皮紫釉,qie'pi'zi'you
秦篆,qin'zhuan
青白釉,qing'bai'you
青花料,qing'hua'liao
清览,qing'lan
清品,qing'pin
清属,qing'shu
青釉,qing'you
清正,qing'zheng
曲流,qu'liu
曲圈,qu'quan
曲足炉,qu'zu'lu
圈口,quan'kou
缺碴,que'cha
燃料,ran'liao
让局,rang'ju
任淦庭,ren'gan'ting
洒蓝施,sa'lan'shi
三品,san'pin
僧帽壶,seng'mao'hu
砂胎,sha'tai
砂足器,sha'zu'qi
珊瑚红釉,shan'hu'hong'you
鳝鱼黄釉,shan'yu'huang'you
伤釉,shang'you
上虞窑,shang'yu'yao
烧成,shao'cheng
烧成温度,shao'cheng'wen'du
邵大亨,shao'da'heng
绍兴窑,shao'xing'yao
邵毓芬,shao'yu'fen
沈汉生,shen'han'sheng
沈巨华,shen'ju'hua
神品,shen'pin
渗碳,shen'tan
生蜡,sheng'la
时大彬,shi'da'bin
时幻影,shi'huan'ying
失亮,shi'liang
石榴尊,shi'liu'zun
诗堂,shi'tang
施小马,shi'xiao'ma
石英,shi'ying
石宇初,shi'yu'chu
石子青,shi'zi'qing
手笔,shou'bi
瘦金体,shou'jin'ti
手拉胚,shou'la'pei
寿州窑,shou'zhou'yao
属粲,shu'can
书丹,shu'dan
束旦生,shu'dan'sheng
束凤英,shu'feng'ying
束颈,shu'jing
双圈足,shuang'quan'zu
水碱,shui'jian
水锈,shui'xiu
四号井,si'hao'jing
四系罐,si'xi'guan
松石绿釉,song'shi'lv'you
苏麻离青,su'ma'li'qing
苏泥勃青,su'ni'bo'qing
素烧,su'shao
宿州窑,su'zhou'yao
蒜头瓶,suan'tou'ping
随笔,sui'bi
岁寒三友图,sui'han'san'you'tu
缩釉,suo'you
拓片,ta'pian
太白尊,tai'bai'zun
钛黄,tai'huang
泰顺窑,tai'shun'yao
谭泉海,tan'quan'hai
套烧,tao'shao
特赠,te'zeng
题跋,ti'ba
题记,ti'ji
题句,ti'ju
提梁壶,ti'liang'hu
题识,ti'shi
题赞,ti'zan
甜白釉,tian'bai'you
田鹤仙,tian'he'xian
天蓝釉,tian'lan'you
天青釉,tian'qing'you
天球瓶,tian'qiu'ping
天字罐,tian'zi'guan
铁足,tie'zu
兔毫釉,tu'hao'you
吐黑,tu'hei
涂菊亭,tu'ju'ting
土蚀,tu'shi
唾壶,tuo'hu
拖尾,tuo'wei
脱釉,tuo'you
挖足,wa'zu
碗心,wan'xin
万云岩,wan'yun'yan
王步,wang'bu
汪大沧,wang'da'cang
王大凡,wang'da'fan
王桂芬,wang'gui'fen
王琦,wang'qi
汪少平,wang'shao'ping
王石耕,wang'shi'geng
汪晓棠,wang'xiao'tang
汪小亭,wang'xiao'ting
汪野亭,wang'ye'ting
王寅春,wang'yin'chun
汪寅仙,wang'yin'xian
王云泉,wang'yun'quan
微侈,wei'chi
魏志云,wei'zhi'yun
倭角,wo'jiao
卧足,wo'zu
卧足碗,wo'zu'wan
吴霭生,wu'ai'sheng
无档尊,wu'dang'zun
芜湖东门渡窑,wu'hu'dong'men'du'yao
焐灰,wu'hui
屋漏痕,wu'lou'hen
吴鸣,wu'ming
吴群祥,wu'qun'xiang
吾师,wu'shi
吴亚平,wu'ya'ping
武义窑,wu'yi'yao
吴云根,wu'yun'gen
吴震,wu'zhen
洗口瓶,xi'kou'ping
细密画,xi'mi'hua
戏墨,xi'mo
戏书,xi'shu
戏题,xi'ti
匣钵单烧,xia'bo'dan'shao
贤契,xian'qi
弦纹,xian'wen
咸仲英,xian'zhong'ying
镶金属口,xiang'jin'shu'kou
镶身筒,xiang'shen'tong
象生瓷,xiang'sheng'ci
象腿瓶,xiang'tui'ping
象牙白釉,xiang'ya'bai'you
镶嘴流,xiang'zui'liu
笑存,xiao'cun
笑鉴,xiao'jian
小口折肩罐,xiao'kou'zhe'jian'guan
萧山窑,xiao'shan'yao
萧县窑,xiao'xian'yao
笑笑,xiao'xiao
写奉,xie'feng
谢曼伦,xie'man'lun
写祝,xie'zhu
新仿,xin'fang
行乐图,xing'le'tu
熊梦麟,xiong'meng'lin
休宁岩前窑,xiu'ning'yan'qian'yao
修足,xiu'zu
许成权,xu'cheng'quan
徐达明,xu'da'ming
徐汉棠,xu'han'tang
徐顺元,xu'shun'yuan
许四海,xu'si'hai
徐天梅,xu'tian'mei
徐维明,xu'wei'ming
徐新妹,xu'xin'mei
徐秀棠,xu'xiu'tang
许艳春,xu'yan'chun
徐仲南,xu'zhong'nan
熏炉,xun'lu
雅存,ya'cun
轧道,ya'dao
雅鉴,ya'jian
雅教,ya'jiao
轧口,ya'kou
雅赏,ya'shang
压手杯,ya'shou'bei
雅属,ya'shu
雅正,ya'zheng
燕带,yan'dai
烟熏,yan'xun
胭脂红,yan'zhi'hong
胭脂水釉,yan'zhi'shui'you
杨凤年,yang'feng'nian
杨海生,yang'hai'sheng
氧化气氛,yang'hua'qi'fen
杨彭年,yang'peng'nian
窑变釉,yao'bian'you
窑封,yao'feng
窑汗,yao'han
窑裂,yao'lie
窑伤,yao'shang
窑粘,yao'zhan
姚志源,yao'zhi'yuan
叶震嘉,ye'zhen'jia
一粲,yi'can
意存笔先,yi'cun'bi'xian
宜钧,yi'jun
鄞县窑,yin'xian'yao
影青,ying'qing
婴戏纹,ying'xi'wen
永康窑,yong'kang'yao
油滴釉,you'di'you
釉果,you'guo
釉灰,you'hui
釉泡,you'pao
釉色,you'se
釉上,you'shang
釉烧,you'shao
釉石,you'shi
釉下,you'xia
余翰青,yu'han'qing
余杭窑,yu'hang'yao
玉壶春瓶,yu'hu'chun'ping
渔家乐图,yu'jia'le'tu
鱼龙变化,yu'long'bian'hua
鱼篓尊,yu'lou'zun
御题诗,yu'ti'shi
余文襄,yu'wen'xiang
余姚窑,yu'yao'yao
鱼藻纹,yu'zao'wen
玉著篆,yu'zhu'zhuan
院体画,yuan'ti'hua
乐清窑,yue'qing'yao
越窑,yue'yao
云和窑,yun'he'yao
恽益萍,yun'yi'ping
扎带,za'dai
炸底,zha'di
渣斗,zha'dou
粘沙,zhan'sha
粘伤,zhan'shang
张红华,zhang'hong'hua
章嘉若必多吉,zhang'jia'ruo'bi'duo'ji
章鉴,zhang'jian
张沛轩,zhang'pei'xuan
张庆成,zhang'qing'cheng
章仕保,zhang'shi'bao
掌眼,zhang'yan
张志强,zhang'zhi'qiang
张志汤,zhang'zhi'tang
照摹,zhao'mo
鹧鸪斑釉,zhe'gu'ban'you
折肩,zhe'jian
浙料,zhe'liao
折沿,zhe'yan
折沿盘,zhe'yan'pan
折腰碗,zhe'yao'wan
珍存,zhen'cun
支钉,zhi'ding
执壶,zhi'hu
直颈六棱瓶,zhi'jing'liu'leng'ping
治印,zhi'yin
钟鼎文,zhong'ding'wen
重皮,zhong'pi
周定华,zhou'ding'hua
粥罐,zhou'guan
周桂珍,zhou'gui'zhen
轴头,zhou'tou
籀文,zhou'wen
周小松,zhou'xiao'song
周尊严,zhou'zun'yan
朱可心,zhu'ke'xin
珠明料,zhu'ming'liao
助熔剂,zhu'rong'ji
朱砂胎,zhu'sha'tai
朱石梅,zhu'shi'mei
嘱书,zhu'shu
篆额,zhuan'e
壮罐,zhuang'guan
着色剂,zhuo'se'ji
自嘲,zi'chao
子冈,zi'gang
紫酱釉,zi'jiang'you
自赞,zi'zan
宗喀巴,zong'ka'ba
棕眼,zong'yan
鬃眼,zong'yan
邹甫仁,zou'fu'ren
邹文侯,zou'wen'hou
邹玉芳,zou'yu'fang
足磕,zu'ke
醉笔,zui'bi
醉书,zui'shu
尊鉴,zun'jian
尊胜佛母,zun'sheng'fo'mu
做旧,zuo'jiu
佐书,zuo'shu
