爱的升华,ai'de'sheng'hua
包公哭灵,bao'gong'ku'ling
包公赔情,bao'gong'pei'qing
包公全传,bao'gong'quan'zhuan
包公扔端砚,bao'gong'reng'duan'yan
包公铡侄,bao'gong'zha'zhi
包公捉马贼,bao'gong'zhuo'ma'zei
保江山,bao'jiang'shan
包饺子,bao'jiao'zi
包龙图,bao'long'tu
保民安,bao'min'an
宝山霞光,bao'shan'xia'guang
抱手转,bao'shou'zhuan
保宋人,bao'song'ren
保太平,bao'tai'ping
保唐人,bao'tang'ren
保乌纱,bao'wu'sha
包秀丽,bao'xiu'li
报一声,bao'yi'sheng
包英华,bao'ying'hua
包玉莲,bao'yu'lian
报冤屈,bao'yuan'qu
背膀转,bei'bang'zhuan
悲调,bei'diao
背段子,bei'duan'zi
北方大戏院,bei'fang'da'xi'yuan
被火焚,bei'huo'fen
北京,bei'jing
背母逃难,bei'mu'tao'nan
背曲,bei'qu
北曲史料,bei'qu'shi'liao
北镇县地方戏剧团,bei'zhen'xian'di'fang'xi'ju'tuan
本山艺校,ben'shan'yi'xiao
奔深山,ben'shen'shan
奔四方,ben'si'fang
蹦蹦,beng'beng
蹦蹦戏,beng'beng'xi
蹦蹦音乐,beng'beng'yin'yue
蹦登歌,beng'deng'ge
崩口,beng'kou
比个真,bi'ge'zhen
碧空银花,bi'kong'yin'hua
鞭打督邮,bian'da'du'you
鞭打芦花,bian'da'lu'hua
遍地流板,bian'di'liu'ban
编剧的地位与作用,bian'ju'de'di'wei'yu'zuo'yong
编剧一等奖,bian'ju'yi'deng'jiang
编筐,bian'kuang
汴梁地,bian'liang'di
编曲,bian'qu
边曲,bian'qu
变人形,bian'ren'xing
变色龙,bian'se'long
编者,bian'zhe
鞭子,bian'zi
表演唱,biao'yan'chang
表一表,biao'yi'biao
表一番,biao'yi'fan
表衷肠,biao'zhong'chang
别步,bie'bu
别搭腔,bie'da'qiang
别的法,bie'de'fa
别的事,bie'de'shi
别瞒藏,bie'man'cang
别娶二房婆,bie'qu'er'fang'po
别耍蛮,bie'shua'man
别吱声,bie'zhi'sheng
并蒂红花,bing'di'hong'hua
冰火同炉,bing'huo'tong'lu
病染黄泉,bing'ran'huang'quan
薄底,bo'di
薄树生,bo'shu'sheng
剥他皮,bo'ta'pi
不安宁,bu'an'ning
不安然,bu'an'ran
不安神,bu'an'shen
补背褡,bu'bei'da
不搭调,bu'da'diao
不怠慢,bu'dai'man
不当人,bu'dang'ren
不得中,bu'de'zhong
不多一时,bu'duo'yi'shi
不费功,bu'fei'gong
不分离,bu'fen'li
不服不行,bu'fu'bu'xing
不服软,bu'fu'ruan
不敢担,bu'gan'dan
补汗褟,bu'han'ta
不见天,bu'jian'tian
补麻袋,bu'ma'dai
不能容,bu'neng'rong
不扑弦,bu'pu'xian
不认亲,bu'ren'qin
不随心,bu'sui'xin
不太平,bu'tai'ping
不为别的事,bu'wei'bie'de'shi
不相应,bu'xiang'ying
不孝男,bu'xiao'nan
不消停,bu'xiao'ting
不消闲,bu'xiao'xian
不一般,bu'yi'ban
卜一卦,bu'yi'gua
不用人说知道了,bu'yong'ren'shuo'zhi'dao'le
不用人说知道了,bu'yong'ren'shuo'zhi'dao'liao
不招待江湖人,bu'zhao'dai'jiang'hu'ren
不忠不贤,bu'zhong'bu'xian
不中听,bu'zhong'ting
不住声,bu'zhu'sheng
不作声,bu'zuo'sheng
采棒,cai'bang
采茶,cai'cha
彩唱,cai'chang
采灯,cai'deng
彩莲劝夫,cai'lian'quan'fu
彩球记,cai'qiu'ji
彩娃子,cai'wa'zi
蔡晓芬,cai'xiao'fen
才心安,cai'xin'an
蔡兴林,cai'xing'lin
蔡兴周,cai'xing'zhou
彩桌子,cai'zhuo'zi
才子会,cai'zi'hui
参观苏联展览馆,can'guan'su'lian'zhan'lan'guan
苍安民,cang'an'min
藏楼联姻,cang'lou'lian'yin
藏牛找牛,cang'niu'zhao'niu
草船借箭,cao'chuan'jie'jian
曹丹丹,cao'dan'dan
曹洪园,cao'hong'yuan
曹经理,cao'jing'li
曹景荣,cao'jing'rong
草棵中,cao'ke'zhong
草青青,cao'qing'qing
曹善华,cao'shan'hua
草上飞改名,cao'shang'fei'gai'ming
曹香兰,cao'xiang'lan
曹颖,cao'ying
曾苦练基本功,ceng'ku'lian'ji'ben'gong
曾任中曲演艺学院客座教授,ceng'ren'zhong'qu'yan'yi'xue'yuan'ke'zuo'jiao'shou
镲锅,cha'guo
插花盖顶,cha'hua'gai'ding
插科打诨,cha'ke'da'hun
差了声,cha'le'sheng
插秧歌,cha'yang'ge
钗头凤,chai'tou'feng
拆西厢,chai'xi'xiang
颤步,chan'bu
铲地,chan'de
产后风,chan'hou'feng
产生巨大的,chan'sheng'ju'da'de
缠头裹脑,chan'tou'guo'nao
缠头扭,chan'tou'niu
缠线,chan'xian
缠袖,chan'xiu
缠腰扭,chan'yao'niu
禅宇寺,chan'yu'si
长安地,chang'an'di
长坂坡,chang'ban'po
唱汴梁,chang'bian'liang
唱不穷,chang'bu'qiong
尝尝鲜,chang'chang'xian
长春和平大剧院,chang'chun'he'ping'da'ju'yuan
长春市双阳区,chang'chun'shi'shuang'yang'qu
长春市艺术研究所,chang'chun'shi'yi'shu'yan'jiu'suo
唱词,chang'ci
唱到此,chang'dao'ci
唱的欢,chang'de'huan
长短句,chang'duan'ju
尝粪忧心,chang'fen'you'xin
唱功戏,chang'gong'xi
唱佳音,chang'jia'yin
唱金锣,chang'jin'luo
场框,chang'kuang
常乐图,chang'le'tu
唱棱子,chang'leng'zi
常丽萍,chang'li'ping
长篇童话,chang'pian'tong'hua
常青指路,chang'qing'zhi'lu
常树林,chang'shu'lin
唱说扮舞,chang'shuo'ban'wu
唱说扮舞绝,chang'shuo'ban'wu'jue
唱说扮舞绝手眼身法步,chang'shuo'ban'wu'jue'shou'yan'shen'fa'bu
常务理事,chang'wu'li'shi
常晓华,chang'xiao'hua
唱一段,chang'yi'duan
常有的,chang'you'de
厂长钓鱼,chang'zhang'diao'yu
厂长家事,chang'zhang'jia'shi
朝王散,chao'wang'san
朝阳沟文化站,chao'yang'gou'wen'hua'zhan
朝阳沟文化站长,chao'yang'gou'wen'hua'zhan'zhang
撤板,che'ban
撤步,che'bu
车成军,che'cheng'jun
车祸之后,che'huo'zhi'hou
车站服务员,che'zhan'fu'wu'yuan
抻袄袖,chen'ao'xiu
抻板,chen'ban
陈春山,chen'chun'shan
陈凤鸣,chen'feng'ming
陈福奇,chen'fu'qi
陈功范,chen'gong'fan
陈和风,chen'he'feng
陈惠贤,chen'hui'xian
陈济亮,chen'ji'liang
陈三凤,chen'san'feng
陈世美,chen'shi'mei
陈四,chen'si
陈素秋,chen'su'qiu
陈涛,chen'tao
陈喜江,chen'xi'jiang
陈晓倩,chen'xiao'qian
陈小禹,chen'xiao'yu
陈晓宇,chen'xiao'yu
陈玉兰,chen'yu'lan
臣遇狼,chen'yu'lang
陈玉生接姑娘,chen'yu'sheng'jie'gu'niang
陈玉芝,chen'yu'zhi
陈云飞,chen'yun'fei
乘风庄天然气公司党办,cheng'feng'zhuang'tian'ran'qi'gong'si'dang'ban
成婚配,cheng'hun'pei
成口,cheng'kou
城里的乡下姑娘,cheng'li'de'xiang'xia'gu'niang
程喜发,cheng'xi'fa
程艳玲,cheng'yan'ling
程咬金,cheng'yao'jin
逞英豪,cheng'ying'hao
叱诧风云,chi'cha'feng'yun
迟到的姻缘,chi'dao'de'yin'yuan
吃栗子,chi'li'zi
痴情女,chi'qing'nv
吃一惊,chi'yi'jing
叱咤风云,chi'zha'feng'yun
冲冲怒,chong'chong'nu
重返柳条沟,chong'fan'liu'tiao'gou
崇祯观画,chong'zhen'guan'hua
丑帽,chou'mao
臭名扬,chou'ming'yang
出班,chu'ban
出版有,chu'ban'you
处处有亲人,chu'chu'you'qin'ren
出店房,chu'dian'fang
厨房下,chu'fang'xia
出火坑,chu'huo'keng
出门庭,chu'men'ting
出生于黑龙江省双城县,chu'sheng'yu'hei'long'jiang'sheng'shuang'cheng'xian
出手活,chu'shou'huo
出水芙蓉,chu'shui'fu'rong
出席过,chu'xi'guo
揣桔孝母,chuai'ju'xiao'mu
传佳话,chuan'jia'hua
串口,chuan'kou
传留,chuan'liu
穿庙堂,chuan'miao'tang
穿身中,chuan'shen'zhong
传圣旨,chuan'sheng'zhi
传统剧目,chuan'tong'ju'mu
传真,chuan'zhen
传旨官,chuan'zhi'guan
创编室,chuang'bian'shi
窗前月下,chuang'qian'yue'xia
创伤医院院长,chuang'shang'yi'yuan'yuan'zhang
闯王坐殿,chuang'wang'zuo'dian
创作笔会,chuang'zuo'bi'hui
春典,chun'dian
春哥上工,chun'ge'shang'gong
春歌戏,chun'ge'xi
春红,chun'hong
春华秋实,chun'hua'qiu'shi
春丽,chun'li
春香传,chun'xiang'zhuan
茨儿山,ci'er'shan
刺虎,ci'hu
慈母心,ci'mu'xin
茨山,ci'shan
丛波,cong'bo
从波,cong'bo
从事创作活动之余,cong'shi'chuang'zuo'huo'dong'zhi'yu
从天降,cong'tian'jiang
丛文欣,cong'wen'xin
丛榆人,cong'yu'ren
篡口,cuan'kou
崔宝库,cui'bao'ku
崔大艳,cui'da'yan
崔广林,cui'guang'lin
崔健华,cui'jian'hua
崔建华,cui'jian'hua
崔凯,cui'kai
翠口,cui'kou
翠屏山,cui'ping'shan
崔盛金,cui'sheng'jin
崔氏,cui'shi
崔四,cui'si
崔武,cui'wu
崔秀恩,cui'xiu'en
崔莺莺,cui'ying'ying
村官儿巧断驴狗案,cun'guan'er'qiao'duan'lv'gou'an
村口,cun'kou
错步,cuo'bu
错吃药,cuo'chi'yao
错中错,cuo'zhong'cuo
大霸桥,da'ba'qiao
打八仙,da'ba'xian
大板,da'ban
大板落子,da'ban'luo'zi
大比年,da'bi'nian
大比之年,da'bi'zhi'nian
打边墙,da'bian'qiang
打宾鸿,da'bin'hong
打脖子戏,da'bo'zi'xi
打苍蝇,da'cang'ying
打插,da'cha
大道沿唱手,da'dao'yan'chang'shou
大道沿的玩艺儿,da'dao'yan'de'wan'yi'er
打地,da'de
大登殿,da'deng'dian
大夺凤皇山,da'duo'feng'huang'shan
大恩情,da'en'qing
打法你,da'fa'ni
打法我,da'fa'wo
大佛调,da'fo'diao
大纲鉴,da'gang'jian
打杠子,da'gang'zi
大哥大嫂,da'ge'da'sao
打个滚,da'ge'gun
打个冷战,da'ge'leng'zhan
打狗劝夫,da'gou'quan'fu
大姑娘上学,da'gu'niang'shang'xue
大姑娘摘桃,da'gu'niang'zhai'tao
大鼓四平调,da'gu'si'ping'diao
打瓜园,da'gua'yuan
大观灯,da'guan'deng
打关东,da'guan'dong
打关西,da'guan'xi
大棍,da'gun
打蛤蟆,da'ha'ma
打韩昌,da'han'chang
打花棍,da'hua'gun
大话云,da'hua'yun
打黄狼,da'huang'lang
打激淋,da'ji'lin
大将名五更,da'jiang'ming'wu'geng
大借粮,da'jie'liang
打金枝,da'jin'zhi
大救驾,da'jiu'jia
打绢,da'juan
大口落子,da'kou'lao'zi
打梨,da'li
打龙袍,da'long'pao
大锣,da'luo
大门青州府,da'men'qing'zhou'fu
打蜜蜂,da'mi'feng
大面瓜,da'mian'gua
大闹马家店,da'nao'ma'jia'dian
大闹天宫,da'nao'tian'gong
大闹五龙堂,da'nao'wu'long'tang
大劈棺,da'pi'guan
大破孟州,da'po'meng'zhou
大庆八区,da'qing'ba'qu
大庆百湖地方戏艺术团,da'qing'bai'hu'di'fang'xi'yi'shu'tuan
大庆创伤医院,da'qing'chuang'shang'yi'yuan
大庆创业集团,da'qing'chuang'ye'ji'tuan
大庆地方戏艺术家协会,da'qing'di'fang'xi'yi'shu'jia'xie'hui
大庆地方戏艺术家协会副秘书长,da'qing'di'fang'xi'yi'shu'jia'xie'hui'fu'mi'shu'zhang
大庆电视台,da'qing'dian'shi'tai
大庆二人转大赛,da'qing'er'ren'zhuan'da'sai
大庆二人转暨小品佳作选,da'qing'er'ren'zhuan'ji'xiao'pin'jia'zuo'xuan
大庆二人转选,da'qing'er'ren'zhuan'xuan
大庆福瑞家苑,da'qing'fu'rui'jia'yuan
大庆歌舞剧院演员,da'qing'ge'wu'ju'yuan'yan'yuan
大庆歌舞剧院艺术室副主任,da'qing'ge'wu'ju'yuan'yi'shu'shi'fu'zhu'ren
大庆京剧票友协会领导,da'qing'jing'ju'piao'you'xie'hui'ling'dao
大清律,da'qing'lv
大庆日报印刷厂彩页排版员,da'qing'ri'bao'yin'shua'chang'cai'ye'pai'ban'yuan
大庆市创伤医院,da'qing'shi'chuang'shang'yi'yuan
大庆市地方戏艺术家协会,da'qing'shi'di'fang'xi'yi'shu'jia'xie'hui
大庆市地方戏艺术家协会成立,da'qing'shi'di'fang'xi'yi'shu'jia'xie'hui'cheng'li
大庆市二人转大赛,da'qing'shi'er'ren'zhuan'da'sai
大庆市获奖名单,da'qing'shi'huo'jiang'ming'dan
大庆市民政局民间组织科科长,da'qing'shi'min'zheng'ju'min'jian'zu'zhi'ke'ke'zhang
大庆市曲艺家协会副主席,da'qing'shi'qu'yi'jia'xie'hui'fu'zhu'xi
大庆市首届二人转邀请大赛,da'qing'shi'shou'jie'er'ren'zhuan'yao'qing'da'sai
大庆市文艺精品丛书,da'qing'shi'wen'yi'jing'pin'cong'shu
大庆市志,da'qing'shi'zhi
大庆文化界,da'qing'wen'hua'jie
大庆文武学校,da'qing'wen'wu'xue'xiao
大庆文艺精品丛书,da'qing'wen'yi'jing'pin'cong'shu
大庆戏工室办公室,da'qing'xi'gong'shi'ban'gong'shi
大庆艺苗学校,da'qing'yi'miao'xue'xiao
大庆艺术宫,da'qing'yi'shu'gong
大庆艺术剧院高级编剧,da'qing'yi'shu'ju'yuan'gao'ji'bian'ju
打秋千,da'qiu'qian
大曲艺,da'qu'yi
大赛电视专题采访,da'sai'dian'shi'zhuan'ti'cai'fang
大赛获奖名单,da'sai'huo'jiang'ming'dan
大山林,da'shan'lin
大商新玛特,da'shang'xin'ma'te
搭上言,da'shang'yan
打水歌,da'shui'ge
大四套,da'si'tao
大宋忠臣,da'song'zhong'chen
打算盘,da'suan'pan
大唐忠臣,da'tang'zhong'chen
大天台,da'tian'tai
打通,da'tong
大同区,da'tong'qu
打西瓜,da'xi'gua
大西厢,da'xi'xiang
大喜子,da'xi'zi
大侠,da'xia
大香山,da'xiang'shan
大型辞书,da'xing'ci'shu
打牙牌,da'ya'pai
大烟叹,da'yan'tan
大雁戏楼,da'yan'xi'lou
大雁戏楼负责人,da'yan'xi'lou'fu'ze'ren
大雁笑群儒,da'yan'xiao'qun'ru
大雁展翅,da'yan'zhan'chi
大雁转,da'yan'zhuan
打渔人十二月,da'yu'ren'shi'er'yue
大杂烩,da'za'hui
打枣,da'zao
打战表,da'zhan'biao
打颤颤,da'zhan'zhan
打主张,da'zhu'zhang
戴立然,dai'li'ran
带上堂,dai'shang'tang
黛玉悲秋,dai'yu'bei'qiu
黛玉恨,dai'yu'hen
黛玉葬花,dai'yu'zang'hua
单鞭夺槊,dan'bian'duo'shuo
单插花,dan'cha'hua
单出头,dan'chu'tou
单刀赴会,dan'dao'fu'hui
单顶扭,dan'ding'niu
担水孝婆,dan'shui'xiao'po
当差官,dang'chai'guan
当代精品,dang'dai'jing'pin
当家媳妇,dang'jia'xi'fu
党令波,dang'ling'bo
挡马,dang'ma
当群,dang'qun
当时她被,dang'shi'ta'bei
荡子叹,dang'zi'tan
当总兵,dang'zong'bing
到汴梁,dao'bian'liang
到大厅,dao'da'ting
到家门,dao'jia'men
倒叫,dao'jiao
倒卷帘,dao'juan'lian
倒抛扇,dao'pao'shan
倒牵牛,dao'qian'niu
刀切菜,dao'qie'cai
到如今,dao'ru'jin
盗扇,dao'shan
到天边,dao'tian'bian
到天明,dao'tian'ming
倒推磨,dao'tui'mo
导演的二人转,dao'yan'de'er'ren'zhuan
导演的小品,dao'yan'de'xiao'pin
导演金奖,dao'yan'jin'jiang
导演银奖,dao'yan'yin'jiang
到阵前,dao'zhen'qian
得备招亲,de'bei'zhao'qin
的编剧,de'bian'ju
的编曲,de'bian'qu
得钞傲妻,de'chao'ao'qi
的导演,de'dao'yan
得得颤,de'de'chan
的记者,de'ji'zhe
得了第,de'le'di
得了好,de'le'hao
德利宫乐队,de'li'gong'yue'dui
的确是个响当当的,de'que'shi'ge'xiang'dang'dang'de
的确是响当当的同爱人郑彦清,de'que'shi'xiang'dang'dang'de'tong'ai'ren'zheng'yan'qing
得身安,de'shen'an
的演员,de'yan'yuan
的乐队,de'yue'dui
得知情,de'zhi'qing
的总结讲话,de'zong'jie'jiang'hua
的作家,de'zuo'jia
的作者,de'zuo'zhe
登高望远,deng'gao'wang'yuan
邓立宪,deng'li'xian
邓惜华,deng'xi'hua
灯下劝夫,deng'xia'quan'fu
地方戏表演唱,di'fang'xi'biao'yan'chang
地方戏理论家,di'fang'xi'li'lun'jia
地方戏培训基地,di'fang'xi'pei'xun'ji'di
地方戏新人,di'fang'xi'xin'ren
地方戏艺术家协会秘书长,di'fang'xi'yi'shu'jia'xie'hui'mi'shu'zhang
地瓜迷,di'gua'mi
递过去,di'guo'qu
地溜平,di'liu'ping
地平川,di'ping'chuan
的确是个响当当的,di'que'shi'ge'xiang'dang'dang'de
的确是响当当的同爱人郑彦清,di'que'shi'xiang'dang'dang'de'tong'ai'ren'zheng'yan'qing
狄仁杰,di'ren'jie
狄仁杰赶考,di'ren'jie'gan'kao
低头一计,di'tou'yi'ji
低头一计有有有,di'tou'yi'ji'you'you'you
踮步,dian'bu
貂婵拜月,diao'chan'bai'yue
貂蝉拜月,diao'chan'bai'yue
调精忠,diao'jing'zhong
叼绢,diao'juan
雕翎箭,diao'ling'jian
掉萝卜,diao'luo'bo
刁媳妇,diao'xi'fu
调演,diao'yan
调演活动,diao'yan'huo'dong
爹和娘,die'he'niang
叠着唱,die'zhe'chang
丁成巧得妻,ding'cheng'qiao'de'qi
顶绢,ding'juan
定口,ding'kou
丁兰刻像,ding'lan'ke'xiang
丁郎寻父,ding'lang'xun'fu
顶碰玉子,ding'peng'yu'zi
丁少良,ding'shao'liang
丁树春,ding'shu'chun
丁文利,ding'wen'li
丁文力,ding'wen'li
定相,ding'xiang
丁香割肉,ding'xiang'ge'rou
顶腰,ding'yao
定斩不饶,ding'zhan'bu'rao
丢戒指,diu'jie'zhi
丢死人,diu'si'ren
丢一还十,diu'yi'hai'shi
东北蹦蹦音乐,dong'bei'beng'beng'yin'yue
东北唱将,dong'bei'chang'jiang
东北大戏院,dong'bei'da'xi'yuan
东北地方戏,dong'bei'di'fang'xi
东北第一,dong'bei'di'yi
东北二人转选,dong'bei'er'ren'zhuan'xuan
东北二人转音乐,dong'bei'er'ren'zhuan'yin'yue
东北风,dong'bei'feng
东北风二人转剧场,dong'bei'feng'er'ren'zhuan'ju'chang
东北风二人转剧团,dong'bei'feng'er'ren'zhuan'ju'tuan
东北民歌,dong'bei'min'ge
东北民歌选,dong'bei'min'ge'xuan
东北民间舞,dong'bei'min'jian'wu
东北曲种,dong'bei'qu'zhong
东北三宝,dong'bei'san'bao
东北三省二人转学术研究座谈会,dong'bei'san'sheng'er'ren'zhuan'xue'shu'yan'jiu'zuo'tan'hui
东北三省乃至中国曲艺界,dong'bei'san'sheng'nai'zhi'zhong'guo'qu'yi'jie
东北王,dong'bei'wang
洞宾买药,dong'bin'mai'yao
董成大,dong'cheng'da
动刀兵,dong'dao'bing
董放,dong'fang
东方斯卡拉,dong'fang'si'ka'la
洞房中,dong'fang'zhong
东风新村少儿曲艺学校校长,dong'feng'xin'cun'shao'er'qu'yi'xue'xiao'xiao'zhang
董广生,dong'guang'sheng
董家庙,dong'jia'miao
董俊平,dong'jun'ping
董明珠,dong'ming'zhu
董启肇,dong'qi'zhao
董谦,dong'qian
冬去春来,dong'qu'chun'lai
董胜男,dong'sheng'nan
董松武,dong'song'wu
董廷瑞,dong'ting'rui
董伟,dong'wei
董玮,dong'wei
东西两院,dong'xi'liang'yuan
东西院,dong'xi'yuan
冬夏常青唱手,dong'xia'chang'qing'chang'shou
东厢记,dong'xiang'ji
董向前,dong'xiang'qian
董孝芳,dong'xiao'fang
董效芳,dong'xiao'fang
董兴顺,dong'xing'shun
董雁,dong'yan
董义发,dong'yi'fa
董以信,dong'yi'xin
东岳庙,dong'yue'miao
董云生,dong'yun'sheng
董志,dong'zhi
都安然,dou'an'ran
窦博,dou'bo
豆腐状元,dou'fu'zhuang'yuan
抖肩,dou'jian
抖扇,dou'shan
都伤情,dou'shang'qing
抖腕,dou'wan
抖威风,dou'wei'feng
抖威武,dou'wei'wu
窦小鹏,dou'xiao'peng
豆芽西施的女儿们,dou'ya'xi'shi'de'nv'er'men
都有情,dou'you'qing
杜尔伯特歌舞团团长,du'er'bo'te'ge'wu'tuan'tuan'zhang
杜尔伯特县,du'er'bo'te'xian
杜尔伯特县歌舞团,du'er'bo'te'xian'ge'wu'tuan
杜尔伯特县歌舞团团长,du'er'bo'te'xian'ge'wu'tuan'tuan'zhang
度光阴,du'guang'yin
杜国珍,du'guo'zhen
杜金和,du'jin'he
杜蒙,du'meng
度秋冬,du'qiu'dong
度日难,du'ri'nan
度时光,du'shi'guang
杜月光,du'yue'guang
独占花魁,du'zhan'hua'kui
断道,duan'dao
断了后,duan'le'hou
断桥,duan'qiao
端扇,duan'shan
段院长,duan'yuan'chang
段院长,duan'yuan'zhang
对翻身,dui'fan'shen
对花,dui'hua
对口,dui'kou
对口唱,dui'kou'chang
对口咬,dui'kou'yao
对菱花,dui'ling'hua
对你讲,dui'ni'jiang
对你明,dui'ni'ming
对松关,dui'song'guan
对我云,dui'wo'yun
队长,dui'zhang
对字,dui'zi
顿板,dun'ban
垛板,duo'ban
多包涵,duo'bao'han
多保重,duo'bao'zhong
跺步,duo'bu
朵朵红,duo'duo'hong
多尽孝,duo'jin'xiao
垛句,duo'ju
垛口大鼓,duo'kou'da'gu
多苦情,duo'ku'qing
多少春,duo'shao'chun
多照看,duo'zhao'kan
二百余篇,er'bai'yu'pian
二大妈探病,er'da'ma'tan'bing
二当家看场,er'dang'jia'kan'chang
二二板,er'er'ban
二姑娘拜年,er'gu'niang'bai'nian
二姑爷拜寿,er'gu'ye'bai'shou
儿家,er'jia
二老爹娘,er'lao'die'niang
二老双亲,er'lao'shuang'qin
二目眩,er'mu'xuan
二品官,er'pin'guan
二品卿,er'pin'qing
二人转,er'ren'zhuan
二人转编曲,er'ren'zhuan'bian'qu
二人转表演艺术,er'ren'zhuan'biao'yan'yi'shu
