八月酉,ba'yue'you
厄疾宫自化禄,e'ji'gong'zi'hua'lu
厄疾宫自化权,e'ji'gong'zi'hua'quan
恩光,en'guang
恩光星,en'guang'xing
二生三,er'sheng'san
二十四节气,er'shi'si'jie'qi
二曜同临,er'yao'tong'lin
二曜同临格,er'yao'tong'lin'ge
二月卯,er'yue'mao
非常行动,fei'chang'xing'dong
蜚廉,fei'lian
飞廉,fei'lian
蜚廉星,fei'lian'xing
飞廉星,fei'lian'xing
风地观,feng'de'guan
封诰,feng'gao
封诰星,feng'gao'xing
凤阁,feng'ge
凤阁星,feng'ge'xing
丰卦,feng'gua
风火家人,feng'huo'jia'ren
风雷益,feng'lei'yi
风山渐,feng'shan'jian
风水涣,feng'shui'huan
风天小畜,feng'tian'xiao'chu
风泽中孚,feng'ze'zhong'fu
否卦,fou'gua
伏兵,fu'bing
伏兵星,fu'bing'xing
福德宫,fu'de'gong
福德宫化忌,fu'de'gong'hua'ji
福德宫化科,fu'de'gong'hua'ke
福德宫化禄,fu'de'gong'hua'lu
福德宫化权,fu'de'gong'hua'quan
福德宫自化,fu'de'gong'zi'hua
福德宫自化忌,fu'de'gong'zi'hua'ji
福德宫自化科,fu'de'gong'zi'hua'ke
福德宫自化禄,fu'de'gong'zi'hua'lu
福德宫自化权,fu'de'gong'zi'hua'quan
覆灯火,fu'deng'huo
辅拱文星,fu'gong'wen'xing
辅拱文星格,fu'gong'wen'xing'ge
复卦,fu'gua
附和依托,fu'he'yi'tuo
父疾线,fu'ji'xian
父母宫,fu'mu'gong
父母宫化忌,fu'mu'gong'hua'ji
父母宫化忌入财帛宫,fu'mu'gong'hua'ji'ru'cai'bo'gong
父母宫化忌入厄疾宫,fu'mu'gong'hua'ji'ru'e'ji'gong
父母宫化忌入福德宫,fu'mu'gong'hua'ji'ru'fu'de'gong
父母宫化忌入夫妻宫,fu'mu'gong'hua'ji'ru'fu'qi'gong
父母宫化忌入官禄宫,fu'mu'gong'hua'ji'ru'guan'lu'gong
父母宫化忌入疾厄宫,fu'mu'gong'hua'ji'ru'ji'e'gong
父母宫化忌入交友宫,fu'mu'gong'hua'ji'ru'jiao'you'gong
父母宫化忌入命宫,fu'mu'gong'hua'ji'ru'ming'gong
父母宫化忌入奴仆宫,fu'mu'gong'hua'ji'ru'nu'pu'gong
父母宫化忌入迁移宫,fu'mu'gong'hua'ji'ru'qian'yi'gong
父母宫化忌入事业宫,fu'mu'gong'hua'ji'ru'shi'ye'gong
父母宫化忌入田宅宫,fu'mu'gong'hua'ji'ru'tian'zhai'gong
父母宫化忌入兄弟宫,fu'mu'gong'hua'ji'ru'xiong'di'gong
父母宫化忌入子女宫,fu'mu'gong'hua'ji'ru'zi'nv'gong
父母宫化科,fu'mu'gong'hua'ke
父母宫化科入财帛宫,fu'mu'gong'hua'ke'ru'cai'bo'gong
父母宫化科入厄疾宫,fu'mu'gong'hua'ke'ru'e'ji'gong
父母宫化科入福德宫,fu'mu'gong'hua'ke'ru'fu'de'gong
父母宫化科入夫妻宫,fu'mu'gong'hua'ke'ru'fu'qi'gong
父母宫化科入官禄宫,fu'mu'gong'hua'ke'ru'guan'lu'gong
父母宫化科入疾厄宫,fu'mu'gong'hua'ke'ru'ji'e'gong
父母宫化科入交友宫,fu'mu'gong'hua'ke'ru'jiao'you'gong
父母宫化科入命宫,fu'mu'gong'hua'ke'ru'ming'gong
父母宫化科入奴仆宫,fu'mu'gong'hua'ke'ru'nu'pu'gong
父母宫化科入迁移宫,fu'mu'gong'hua'ke'ru'qian'yi'gong
父母宫化科入事业宫,fu'mu'gong'hua'ke'ru'shi'ye'gong
父母宫化科入田宅宫,fu'mu'gong'hua'ke'ru'tian'zhai'gong
父母宫化科入兄弟宫,fu'mu'gong'hua'ke'ru'xiong'di'gong
父母宫化科入子女宫,fu'mu'gong'hua'ke'ru'zi'nv'gong
父母宫化禄,fu'mu'gong'hua'lu
父母宫化禄入财帛宫,fu'mu'gong'hua'lu'ru'cai'bo'gong
父母宫化禄入厄疾宫,fu'mu'gong'hua'lu'ru'e'ji'gong
父母宫化禄入福德宫,fu'mu'gong'hua'lu'ru'fu'de'gong
父母宫化禄入夫妻宫,fu'mu'gong'hua'lu'ru'fu'qi'gong
父母宫化禄入官禄宫,fu'mu'gong'hua'lu'ru'guan'lu'gong
父母宫化禄入疾厄宫,fu'mu'gong'hua'lu'ru'ji'e'gong
父母宫化禄入交友宫,fu'mu'gong'hua'lu'ru'jiao'you'gong
父母宫化禄入命宫,fu'mu'gong'hua'lu'ru'ming'gong
父母宫化禄入奴仆宫,fu'mu'gong'hua'lu'ru'nu'pu'gong
父母宫化禄入迁移宫,fu'mu'gong'hua'lu'ru'qian'yi'gong
父母宫化禄入事业宫,fu'mu'gong'hua'lu'ru'shi'ye'gong
父母宫化禄入田宅宫,fu'mu'gong'hua'lu'ru'tian'zhai'gong
父母宫化禄入兄弟宫,fu'mu'gong'hua'lu'ru'xiong'di'gong
父母宫化禄入子女宫,fu'mu'gong'hua'lu'ru'zi'nv'gong
父母宫化权,fu'mu'gong'hua'quan
父母宫化权入财帛宫,fu'mu'gong'hua'quan'ru'cai'bo'gong
父母宫化权入厄疾宫,fu'mu'gong'hua'quan'ru'e'ji'gong
父母宫化权入福德宫,fu'mu'gong'hua'quan'ru'fu'de'gong
父母宫化权入夫妻宫,fu'mu'gong'hua'quan'ru'fu'qi'gong
父母宫化权入官禄宫,fu'mu'gong'hua'quan'ru'guan'lu'gong
父母宫化权入疾厄宫,fu'mu'gong'hua'quan'ru'ji'e'gong
父母宫化权入交友宫,fu'mu'gong'hua'quan'ru'jiao'you'gong
父母宫化权入命宫,fu'mu'gong'hua'quan'ru'ming'gong
父母宫化权入奴仆宫,fu'mu'gong'hua'quan'ru'nu'pu'gong
父母宫化权入迁移宫,fu'mu'gong'hua'quan'ru'qian'yi'gong
父母宫化权入事业宫,fu'mu'gong'hua'quan'ru'shi'ye'gong
父母宫化权入田宅宫,fu'mu'gong'hua'quan'ru'tian'zhai'gong
父母宫化权入兄弟宫,fu'mu'gong'hua'quan'ru'xiong'di'gong
父母宫化权入子女宫,fu'mu'gong'hua'quan'ru'zi'nv'gong
父母宫自化,fu'mu'gong'zi'hua
父母宫自化忌,fu'mu'gong'zi'hua'ji
父母宫自化科,fu'mu'gong'zi'hua'ke
父母宫自化禄,fu'mu'gong'zi'hua'lu
父母宫自化权,fu'mu'gong'zi'hua'quan
夫妻宫,fu'qi'gong
夫妻宫化忌,fu'qi'gong'hua'ji
夫妻宫化科,fu'qi'gong'hua'ke
夫妻宫化禄,fu'qi'gong'hua'lu
夫妻宫化权,fu'qi'gong'hua'quan
夫妻宫自化,fu'qi'gong'zi'hua
夫妻宫自化忌,fu'qi'gong'zi'hua'ji
夫妻宫自化科,fu'qi'gong'zi'hua'ke
夫妻宫自化禄,fu'qi'gong'zi'hua'lu
夫妻宫自化权,fu'qi'gong'zi'hua'quan
府相朝垣,fu'xiang'chao'yuan
府相朝垣格,fu'xiang'chao'yuan'ge
刚健中正,gang'jian'zhong'zheng
刚内柔外,gang'nei'rou'wai
刚柔相济,gang'rou'xiang'ji
革卦,ge'gua
艮卦,gen'gua
艮为山,gen'wei'shan
庚辰,geng'chen
庚年生人,geng'nian'sheng'ren
庚申,geng'shen
庚午,geng'wu
庚戌,geng'xu
庚阳武府同,geng'yang'wu'fu'tong
庚寅,geng'yin
庚子,geng'zi
姤卦,gou'gua
孤辰,gu'chen
孤辰星,gu'chen'xing
蛊卦,gu'gua
谷雨,gu'yu
寡宿,gua'su
寡宿星,gua'su'xing
冠带,guan'dai
官府,guan'fu
官符,guan'fu
官府星,guan'fu'xing
官符星,guan'fu'xing
观卦,guan'gua
官禄宫,guan'lu'gong
官禄宫化忌,guan'lu'gong'hua'ji
官禄宫化科,guan'lu'gong'hua'ke
官禄宫化禄,guan'lu'gong'hua'lu
官禄宫化权,guan'lu'gong'hua'quan
官禄宫自化,guan'lu'gong'zi'hua
官禄宫自化忌,guan'lu'gong'zi'hua'ji
官禄宫自化科,guan'lu'gong'zi'hua'ke
官禄宫自化禄,guan'lu'gong'zi'hua'lu
官禄宫自化权,guan'lu'gong'zi'hua'quan
贯索,guan'suo
贯索星,guan'suo'xing
观下瞻上,guan'xia'zhan'shang
癸丑,gui'chou
癸丁冲,gui'ding'chong
癸亥,gui'hai
癸卯,gui'mao
归妹卦,gui'mei'gua
癸年生人,gui'nian'sheng'ren
癸破巨阴贪,gui'po'ju'yin'tan
癸巳,gui'si
癸未,gui'wei
贵星夹命,gui'xing'jia'ming
贵星夹命格,gui'xing'jia'ming'ge
癸酉,gui'you
海中金,hai'zhong'jin
亥猪,hai'zhu
寒露,han'lu
恒卦,heng'gua
恒心有成,heng'xin'you'cheng
红鸾,hong'luan
红鸾星,hong'luan'xing
华盖,hua'gai
华盖星,hua'gai'xing
化忌,hua'ji
化科,hua'ke
化禄,hua'lu
化权,hua'quan
化星返贵,hua'xing'fan'gui
化星返贵格,hua'xing'fan'gui'ge
涣卦,huan'gua
荟萃聚集,hui'cui'ju'ji
晦而转明,hui'er'zhuan'ming
晦气,hui'qi
晦气星,hui'qi'xing
火地晋,huo'di'jin
火风鼎,huo'feng'ding
火克金,huo'ke'jin
火雷噬嗑,huo'lei'shi'ke
火山旅,huo'shan'lv
火生土,huo'sheng'tu
火水未济,huo'shui'wei'ji
火天大有,huo'tian'da'you
火星,huo'xing
火泽睽,huo'ze'kui
己丑,ji'chou
疾厄宫,ji'e'gong
疾厄宫化忌,ji'e'gong'hua'ji
疾厄宫化科,ji'e'gong'hua'ke
疾厄宫化禄,ji'e'gong'hua'lu
疾厄宫化权,ji'e'gong'hua'quan
疾厄宫自化,ji'e'gong'zi'hua
疾厄宫自化忌,ji'e'gong'zi'hua'ji
疾厄宫自化科,ji'e'gong'zi'hua'ke
疾厄宫自化禄,ji'e'gong'zi'hua'lu
疾厄宫自化权,ji'e'gong'zi'hua'quan
己亥,ji'hai
既济卦,ji'ji'gua
机梁加会,ji'liang'jia'hui
机梁加会格,ji'liang'jia'hui'ge
己卯,ji'mao
己年生人,ji'nian'sheng'ren
己巳,ji'si
己未,ji'wei
己武贪梁曲,ji'wu'tan'liang'qu
极向离明,ji'xiang'li'ming
极向离明格,ji'xiang'li'ming'ge
己酉,ji'you
纪月,ji'yue
机月同梁,ji'yue'tong'liang
机月同梁格,ji'yue'tong'liang'ge
甲辰,jia'chen
甲第登庸,jia'di'deng'yong
甲第登庸格,jia'di'deng'yong'ge
甲庚冲,jia'geng'chong
甲己化土,jia'ji'hua'tu
甲级星,jia'ji'xing
甲廉破武阳,jia'lian'po'wu'yang
甲年生人,jia'nian'sheng'ren
家人卦,jia'ren'gua
甲申,jia'shen
甲午,jia'wu
甲戌,jia'xu
甲寅,jia'yin
甲子,jia'zi
剑锋金,jian'feng'jin
渐卦,jian'gua
蹇卦,jian'gua
渐进蓄德,jian'jin'xu'de
涧下水,jian'xia'shui
将军,jiang'jun
将军星,jiang'jun'xing
将前十二星,jiang'qian'shi'er'xing
将星,jiang'xing
将星得地,jiang'xing'de'di
将星得地格,jiang'xing'de'di'ge
教民保民,jiao'min'bao'min
脚踏实地,jiao'ta'shi'di
交友宫,jiao'you'gong
交友宫化忌,jiao'you'gong'hua'ji
交友宫化科,jiao'you'gong'hua'ke
交友宫化禄,jiao'you'gong'hua'lu
交友宫化权,jiao'you'gong'hua'quan
交友宫自化,jiao'you'gong'zi'hua
交友宫自化忌,jiao'you'gong'zi'hua'ji
交友宫自化科,jiao'you'gong'zi'hua'ke
交友宫自化禄,jiao'you'gong'zi'hua'lu
交友宫自化权,jiao'you'gong'zi'hua'quan
节卦,jie'gua
解卦,jie'gua
截空,jie'kong
截空星,jie'kong'xing
劫杀,jie'sha
劫煞,jie'sha
劫杀星,jie'sha'xing
劫煞星,jie'sha'xing
解神,jie'shen
解神星,jie'shen'xing
金箔金,jin'bo'jin
金灿光辉,jin'can'guang'hui
金灿光辉格,jin'can'guang'hui'ge
晋卦,jin'gua
金克木,jin'ke'mu
金口诀,jin'kou'jue
金木水火土,jin'mu'shui'huo'tu
金生水,jin'sheng'shui
井卦,jing'gua
惊蛰,jing'zhe
九月戍,jiu'yue'shu
巨机同宫,ju'ji'tong'gong
巨机同宫格,ju'ji'tong'gong'ge
巨机同临,ju'ji'tong'lin
巨机同临格,ju'ji'tong'lin'ge
巨门,ju'men
巨门星,ju'men'xing
巨日同宫,ju'ri'tong'gong
巨日同宫格,ju'ri'tong'gong'ge
决而能和,jue'er'neng'he
夬卦,jue'gua
君臣庆会,jun'chen'qing'hui
君臣庆会格,jun'chen'qing'hui'ge
坎卦,kan'gua
坎为水,kan'wei'shui
克令者囚,ke'ling'zhe'qiu
科名会禄,ke'ming'hui'lu
科名会禄格,ke'ming'hui'lu'ge
科明禄暗,ke'ming'lu'an
科明禄暗格,ke'ming'lu'an'ge
科权禄夹,ke'quan'lu'jia
科权禄夹格,ke'quan'lu'jia'ge
空亡,kong'wang
空亡星,kong'wang'xing
睽卦,kui'gua
困卦,kun'gua
坤卦,kun'gua
困境求通,kun'jing'qiu'tong
坤为地,kun'wei'di
雷地豫,lei'di'yu
雷风恒,lei'feng'heng
雷火丰,lei'huo'feng
雷山小过,lei'shan'xiao'guo
雷水解,lei'shui'jie
雷天大壮,lei'tian'da'zhuang
雷泽归妹,lei'ze'gui'mei
立春,li'chun
立冬,li'dong
离卦,li'gua
立家兴业,li'jia'xing'ye
立秋,li'qiu
力士,li'shi
力士星,li'shi'xing
离为火,li'wei'huo
立夏,li'xia
廉贞,lian'zhen
廉贞文武,lian'zhen'wen'wu
廉贞文武格,lian'zhen'wen'wu'ge
廉贞星,lian'zhen'xing
两仪生四象,liang'yi'sheng'si'xiang
临卦,lin'gua
临官,lin'guan
临危不乱,lin'wei'bu'luan
令克者死,ling'ke'zhe'si
令生者相,ling'sheng'zhe'xiang
铃星,ling'xing
六十甲子,liu'shi'jia'zi
六十四卦,liu'shi'si'gua
六线,liu'xian
六爻,liu'yao
六月未,liu'yue'wei
龙池,long'chi
龙池星,long'chi'xing
龙德,long'de
龙德星,long'de'xing
禄存,lu'cun
禄存星,lu'cun'xing
禄合鸳鸯,lu'he'yuan'yang
禄合鸳鸯格,lu'he'yuan'yang'ge
禄马交驰,lu'ma'jiao'chi
禄马交驰格,lu'ma'jiao'chi'ge
禄马佩印,lu'ma'pei'yin
禄马佩印格,lu'ma'pei'yin'ge
路旁土,lu'pang'tu
禄权科忌,lu'quan'ke'ji
禄文拱命,lu'wen'gong'ming
禄文拱命格,lu'wen'gong'ming'ge
炉中火,lu'zhong'huo
履卦,lv'gua
旅卦,lv'gua
马头带箭,ma'tou'dai'jian
马头带箭格,ma'tou'dai'jian'ge
芒种,mang'zhong
卯兔,mao'tu
卯酉相冲,mao'you'xiang'chong
梅花易数,mei'hua'yi'shu
蒙卦,meng'gua
命宫,ming'gong
命宫化忌,ming'gong'hua'ji
命宫化忌入财帛宫,ming'gong'hua'ji'ru'cai'bo'gong
命宫化忌入福德宫,ming'gong'hua'ji'ru'fu'de'gong
命宫化忌入父母宫,ming'gong'hua'ji'ru'fu'mu'gong
命宫化忌入夫妻宫,ming'gong'hua'ji'ru'fu'qi'gong
命宫化忌入官禄宫,ming'gong'hua'ji'ru'guan'lu'gong
命宫化忌入疾厄宫,ming'gong'hua'ji'ru'ji'e'gong
命宫化忌入交友宫,ming'gong'hua'ji'ru'jiao'you'gong
命宫化忌入奴仆宫,ming'gong'hua'ji'ru'nu'pu'gong
命宫化忌入迁移宫,ming'gong'hua'ji'ru'qian'yi'gong
命宫化忌入事业宫,ming'gong'hua'ji'ru'shi'ye'gong
命宫化忌入田宅宫,ming'gong'hua'ji'ru'tian'zhai'gong
命宫化忌入兄弟宫,ming'gong'hua'ji'ru'xiong'di'gong
命宫化忌入子女宫,ming'gong'hua'ji'ru'zi'nv'gong
命宫化科,ming'gong'hua'ke
命宫化科入财帛宫,ming'gong'hua'ke'ru'cai'bo'gong
命宫化科入福德宫,ming'gong'hua'ke'ru'fu'de'gong
命宫化科入父母宫,ming'gong'hua'ke'ru'fu'mu'gong
命宫化科入夫妻宫,ming'gong'hua'ke'ru'fu'qi'gong
命宫化科入官禄宫,ming'gong'hua'ke'ru'guan'lu'gong
命宫化科入疾厄宫,ming'gong'hua'ke'ru'ji'e'gong
命宫化科入交友宫,ming'gong'hua'ke'ru'jiao'you'gong
命宫化科入奴仆宫,ming'gong'hua'ke'ru'nu'pu'gong
命宫化科入迁移宫,ming'gong'hua'ke'ru'qian'yi'gong
命宫化科入事业宫,ming'gong'hua'ke'ru'shi'ye'gong
命宫化科入田宅宫,ming'gong'hua'ke'ru'tian'zhai'gong
命宫化科入兄弟宫,ming'gong'hua'ke'ru'xiong'di'gong
命宫化科入子女宫,ming'gong'hua'ke'ru'zi'nv'gong
命宫化禄,ming'gong'hua'lu
命宫化禄入财帛宫,ming'gong'hua'lu'ru'cai'bo'gong
命宫化禄入福德宫,ming'gong'hua'lu'ru'fu'de'gong
命宫化禄入父母宫,ming'gong'hua'lu'ru'fu'mu'gong
命宫化禄入夫妻宫,ming'gong'hua'lu'ru'fu'qi'gong
命宫化禄入官禄宫,ming'gong'hua'lu'ru'guan'lu'gong
命宫化禄入疾厄宫,ming'gong'hua'lu'ru'ji'e'gong
命宫化禄入交友宫,ming'gong'hua'lu'ru'jiao'you'gong
命宫化禄入奴仆宫,ming'gong'hua'lu'ru'nu'pu'gong
命宫化禄入迁移宫,ming'gong'hua'lu'ru'qian'yi'gong
命宫化禄入事业宫,ming'gong'hua'lu'ru'shi'ye'gong
命宫化禄入田宅宫,ming'gong'hua'lu'ru'tian'zhai'gong
命宫化禄入兄弟宫,ming'gong'hua'lu'ru'xiong'di'gong
命宫化禄入子女宫,ming'gong'hua'lu'ru'zi'nv'gong
命宫化权,ming'gong'hua'quan
命宫化权入财帛宫,ming'gong'hua'quan'ru'cai'bo'gong
命宫化权入福德宫,ming'gong'hua'quan'ru'fu'de'gong
命宫化权入父母宫,ming'gong'hua'quan'ru'fu'mu'gong
命宫化权入夫妻宫,ming'gong'hua'quan'ru'fu'qi'gong
命宫化权入官禄宫,ming'gong'hua'quan'ru'guan'lu'gong
命宫化权入疾厄宫,ming'gong'hua'quan'ru'ji'e'gong
命宫化权入交友宫,ming'gong'hua'quan'ru'jiao'you'gong
命宫化权入奴仆宫,ming'gong'hua'quan'ru'nu'pu'gong
命宫化权入迁移宫,ming'gong'hua'quan'ru'qian'yi'gong
命宫化权入事业宫,ming'gong'hua'quan'ru'shi'ye'gong
命宫化权入田宅宫,ming'gong'hua'quan'ru'tian'zhai'gong
命宫化权入兄弟宫,ming'gong'hua'quan'ru'xiong'di'gong
命宫化权入子女宫,ming'gong'hua'quan'ru'zi'nv'gong
命宫自化,ming'gong'zi'hua
命宫自化忌,ming'gong'zi'hua'ji
命宫自化科,ming'gong'zi'hua'ke
命宫自化禄,ming'gong'zi'hua'lu
命宫自化权,ming'gong'zi'hua'quan
命理,ming'li
明禄暗禄,ming'lu'an'lu
明禄暗禄格,ming'lu'an'lu'ge
命迁线,ming'qian'xian
命无主星,ming'wu'zhu'xing
明夷卦,ming'yi'gua
明珠暗禄,ming'zhu'an'lu
明珠暗禄格,ming'zhu'an'lu'ge
明珠出海,ming'zhu'chu'hai
明珠出海格,ming'zhu'chu'hai'ge
木克土,mu'ke'tu
木生火,mu'sheng'huo
沐浴,mu'yu
纳音五行,na'yin'wu'xing
纳音五行此中求,na'yin'wu'xing'ci'zhong'qiu
内高外低,nei'gao'wai'di
奴仆宫,nu'pu'gong
奴仆宫化忌,nu'pu'gong'hua'ji
奴仆宫化科,nu'pu'gong'hua'ke
奴仆宫化禄,nu'pu'gong'hua'lu
奴仆宫化权,nu'pu'gong'hua'quan
奴仆宫自化,nu'pu'gong'zi'hua
奴仆宫自化忌,nu'pu'gong'zi'hua'ji
奴仆宫自化科,nu'pu'gong'zi'hua'ke
奴仆宫自化禄,nu'pu'gong'zi'hua'lu
奴仆宫自化权,nu'pu'gong'zi'hua'quan
攀鞍,pan'an
攀鞍星,pan'an'xing
霹雳火,pi'li'huo
平地木,ping'di'mu
破军,po'jun
破军星,po'jun'xing
破碎,po'sui
破碎星,po'sui'xing
妻官线,qi'guan'xian
奇门遁甲,qi'men'dun'jia
启蒙奋发,qi'meng'fen'fa
七杀,qi'sha
七杀朝斗,qi'sha'chao'dou
七杀朝斗格,qi'sha'chao'dou'ge
七杀星,qi'sha'xing
起始维艰,qi'shi'wei'jian
其它星,qi'ta'xing
七月申,qi'yue'shen
乾卦,qian'gua
谦卦,qian'gua
乾为天,qian'wei'tian
谦逊受益,qian'xun'shou'yi
迁移宫,qian'yi'gong
迁移宫化忌,qian'yi'gong'hua'ji
迁移宫化科,qian'yi'gong'hua'ke
迁移宫化禄,qian'yi'gong'hua'lu
迁移宫化权,qian'yi'gong'hua'quan
迁移宫自化,qian'yi'gong'zi'hua
迁移宫自化忌,qian'yi'gong'zi'hua'ji
迁移宫自化科,qian'yi'gong'zi'hua'ke
迁移宫自化禄,qian'yi'gong'zi'hua'lu
迁移宫自化权,qian'yi'gong'zi'hua'quan
青龙,qing'long
青龙星,qing'long'xing
清明,qing'ming
擎羊,qing'yang
擎羊星,qing'yang'xing
秋分,qiu'fen
秋季金当令,qiu'ji'jin'dang'ling
求进发展,qiu'jin'fa'zhan
求贤若渴,qiu'xian'ruo'ke
趋吉避凶,qu'ji'bi'xiong
权禄巡逢,quan'lu'xun'feng
权禄巡逢格,quan'lu'xun'feng'ge
权煞化禄,quan'sha'hua'lu
权煞化禄格,quan'sha'hua'lu'ge
权星朝垣,quan'xing'chao'yuan
权星朝垣格,quan'xing'chao'yuan'ge
泉中水,quan'zhong'shui
壬丙冲,ren'bing'chong
壬辰,ren'chen
壬梁紫辅武,ren'liang'zi'fu'wu
壬年生人,ren'nian'sheng'ren
壬申,ren'shen
壬午,ren'wu
壬戌,ren'xu
壬寅,ren'yin
壬子,ren'zi
日出扶桑,ri'chu'fu'sang
日出扶桑格,ri'chu'fu'sang'ge
日月并明,ri'yue'bing'ming
日月并明格,ri'yue'bing'ming'ge
日月照壁,ri'yue'zhao'bi
日月照壁格,ri'yue'zhao'bi'ge
日照雷门,ri'zhao'lei'men
日照雷门格,ri'zhao'lei'men'ge
日中则斜,ri'zhong'ze'xie
柔道致治,rou'dao'zhi'zhi
柔顺谦虚,rou'shun'qian'xu
柔顺伸展,rou'shun'shen'zhan
三合火贪,san'he'huo'tan
三合火贪格,san'he'huo'tan'ge
三奇加会,san'qi'jia'hui
三奇加会格,san'qi'jia'hui'ge
三生万物,san'sheng'wan'wu
三台,san'tai
三台星,san'tai'xing
三月辰,san'yue'chen
丧门,sang'men
丧门星,sang'men'xing
桑柘木,sang'zhe'mu
沙中金,sha'zhong'jin
沙中土,sha'zhong'tu
山地剥,shan'di'bo
山风蛊,shan'feng'gu
山火贲,shan'huo'ben
山雷颐,shan'lei'yi
山水蒙,shan'shui'meng
山天大畜,shan'tian'da'chu
山头火,shan'tou'huo
山下火,shan'xia'huo
山医命相卜,shan'yi'ming'xiang'bu
山泽损,shan'ze'sun
上下和同,shang'xia'he'tong
申猴,shen'hou
申寅汉地燥柴湿,shen'yin'han'di'zao'chai'shi
慎争戒讼,shen'zheng'jie'song
升卦,sheng'gua
盛极将衰,sheng'ji'jiang'shuai
生令者休,sheng'ling'zhe'xiu
十二宫,shi'er'gong
十二宫四化,shi'er'gong'si'hua
十二月丑,shi'er'yue'chou
师卦,shi'gua
噬嗑卦,shi'ke'gua
石榴木,shi'liu'mu
饰外扬质,shi'wai'yang'zhi
事业宫,shi'ye'gong
事业宫化忌,shi'ye'gong'hua'ji
事业宫化科,shi'ye'gong'hua'ke
事业宫化禄,shi'ye'gong'hua'lu
事业宫化权,shi'ye'gong'hua'quan
事业宫自化,shi'ye'gong'zi'hua
事业宫自化忌,shi'ye'gong'zi'hua'ji
事业宫自化科,shi'ye'gong'zi'hua'ke
