阿保机,a'bao'ji
百宋一廛赋一卷淸顾广圻撰淸黄丕烈注据士礼居丛书本排印,bai'song'yi'chan'fu'yi'juan'qing'gu'guang'qi'zhuan'qing'huang'pi'lie'zhu'ju'shi'li'ju'cong'shu'ben'pai'yin
白珽,bai'ting
白乌鸦的故事,bai'wu'ya'de'gu'shi
白香词谱,bai'xiang'ci'pu
白香山集白居易上海商务印书馆影印,bai'xiang'shan'ji'bai'ju'yi'shang'hai'shang'wu'yin'shu'guan'ying'yin
百一居士,bai'yi'ju'shi
白银资本,bai'yin'zi'ben
百喻经,bai'yu'jing
百越先贤志四卷明欧大任撰,bai'yue'xian'xian'zhi'si'juan'ming'ou'da'ren'zhuan
白云词宋张炎,bai'yun'ci'song'zhang'yan
白云集四卷附录一卷元许谦撰,bai'yun'ji'si'juan'fu'lu'yi'juan'yuan'xu'qian'zhuan
白云集四卷元许谦撰据金华丛书本排印,bai'yun'ji'si'juan'yuan'xu'qian'zhuan'ju'jin'hua'cong'shu'ben'pai'yin
百章海底眼前集,bai'zhang'hai'di'yan'qian'ji
百正集三卷宋连文凤撰,bai'zheng'ji'san'juan'song'lian'wen'feng'zhuan
百砖考一卷淸吕佺孙撰,bai'zhuan'kao'yi'juan'qing'lv'quan'sun'zhuan
百砖考一卷淸吕佺孙撰据滂喜斋丛书本排印,bai'zhuan'kao'yi'juan'qing'lv'quan'sun'zhuan'ju'pang'xi'zhai'cong'shu'ben'pai'yin
半半山庄农言着实,ban'ban'shan'zhuang'nong'yan'zhuo'shi
半村野人闲谈一卷明姜南撰,ban'cun'ye'ren'xian'tan'yi'juan'ming'jiang'nan'zhuan
班固,ban'gu
班马字类五卷坿补遗宋娄机撰宋李曾伯撰补遗景涉闻梓旧本,ban'ma'zi'lei'wu'juan'fu'bu'yi'song'lou'ji'zhuan'song'li'ceng'bo'zhuan'bu'yi'jing'she'wen'zi'jiu'ben
班马字类五卷坿补遗宋娄机撰宋李曾伯撰补遗据涉闻梓旧本影印,ban'ma'zi'lei'wu'juan'fu'bu'yi'song'lou'ji'zhuan'song'li'ceng'bo'zhuan'bu'yi'ju'she'wen'zi'jiu'ben'ying'yin
板桥杂记,ban'qiao'za'ji
板桥杂记三卷淸余怀撰,ban'qiao'za'ji'san'juan'qing'yu'huai'zhuan
半毡斋题跋,ban'zhan'zhai'ti'ba
半毡斋题跋二卷淸江藩撰据功顺堂丛书本排印,ban'zhan'zhai'ti'ba'er'juan'qing'jiang'fan'zhuan'ju'gong'shun'tang'cong'shu'ben'pai'yin
帮会奇观,bang'hui'qi'guan
邦计汇编一卷宋利瓦伊撰景学海类编本,bang'ji'hui'bian'yi'juan'song'li'wa'yi'zhuan'jing'xue'hai'lei'bian'ben
邦计汇编一卷宋利瓦伊撰据学海类编本影印,bang'ji'hui'bian'yi'juan'song'li'wa'yi'zhuan'ju'xue'hai'lei'bian'ben'ying'yin
棒球潘知本上海商务印书馆影印,bang'qiu'pan'zhi'ben'shang'hai'shang'wu'yin'shu'guan'ying'yin
保八,bao'ba
保大,bao'da
保大定功,bao'da'ding'gong
保定,bao'ding
宝鼎,bao'ding
鲍鼎,bao'ding
葆光道人,bao'guang'dao'ren
葆光道人秘传眼科,bao'guang'dao'ren'mi'chuan'yan'ke
暴汗,bao'han
宝晋英光集八卷补遗一卷宋米芾撰,bao'jin'ying'guang'ji'ba'juan'bu'yi'yi'juan'song'mi'fu'zhuan
宝晋英光集八卷补遗一卷宋米芾撰据涉闻梓旧本排印,bao'jin'ying'guang'ji'ba'juan'bu'yi'yi'juan'song'mi'fu'zhuan'ju'she'wen'zi'jiu'ben'pai'yin
抱经堂丛书,bao'jing'tang'cong'shu
抱经堂文集三十四卷淸卢文弨撰,bao'jing'tang'wen'ji'san'shi'si'juan'qing'lu'wen'chao'zhuan
鲍康,bao'kang
宝刻丛编二十卷宋陈思撰,bao'ke'cong'bian'er'shi'juan'song'chen'si'zhuan
宝刻类编八卷宋撰,bao'ke'lei'bian'ba'juan'song'zhuan
鲍莱统计学原理陈锦涛译上海商务印书馆影印,bao'lai'tong'ji'xue'yuan'li'chen'jin'tao'yi'shang'hai'shang'wu'yin'shu'guan'ying'yin
宝历,bao'li
宝历元年,bao'li'yuan'nian
保罗,bao'luo
鲍曼战后新世界张其均等译竺可桢等校上海商务印书馆影,bao'man'zhan'hou'xin'shi'jie'zhang'qi'jun'deng'yi'zhu'ke'zhen'deng'xiao'shang'hai'shang'wu'yin'shu'guan'ying
保宁,bao'ning
抱朴子内篇二十卷外篇五十卷晋葛洪卷撰据平津馆丛书本影印,bao'pu'zi'nei'pian'er'shi'juan'wai'pian'wu'shi'juan'jin'ge'hong'juan'zhuan'ju'ping'jin'guan'cong'shu'ben'ying'yin
抱朴子内外篇晋葛洪撰清严可均校,bao'pu'zi'nei'wai'pian'jin'ge'hong'zhuan'qing'yan'ke'jun'xiao
宝庆,bao'qing
宝庆元年,bao'qing'yuan'nian
包世臣,bao'shi'chen
鲍氏集宋鲍照,bao'shi'ji'song'bao'zhao
曝书亭集清朱彝尊,bao'shu'ting'ji'qing'zhu'yi'zun
曝书杂记,bao'shu'za'ji
曝书杂记三卷淸钱泰吉撰据式训堂丛书本排印,bao'shu'za'ji'san'juan'qing'qian'tai'ji'zhuan'ju'shi'xun'tang'cong'shu'ben'pai'yin
宝铁斋金石文跋尾三卷淸韩崇撰,bao'tie'zhai'jin'shi'wen'ba'wei'san'juan'qing'han'chong'zhuan
保险业陈掖神上海商务印书馆影印,bao'xian'ye'chen'ye'shen'shang'hai'shang'wu'yin'shu'guan'ying'yin
宝训,bao'xun
宝颜堂订正鹤山渠阳经,bao'yan'tang'ding'zheng'he'shan'qu'yang'jing
宝颜堂订正脉望,bao'yan'tang'ding'zheng'mai'wang
鲍臆园手札一卷淸鲍康撰,bao'yi'yuan'shou'zha'yi'juan'qing'bao'kang'zhuan
宝应,bao'ying
宝佑,bao'you
宝佑元年,bao'you'yuan'nian
鲍玉珩,bao'yu'heng
暴雨梨花汗,bao'yu'li'hua'han
胞与堂丸散谱,bao'yu'tang'wan'san'pu
宝元,bao'yuan
宝元元年,bao'yuan'yuan'nian
保越录一卷元徐勉之撰,bao'yue'lu'yi'juan'yuan'xu'mian'zhi'zhuan
宝藏论一卷唐释僧肇撰,bao'zang'lun'yi'juan'tang'shi'seng'zhao'zhuan
宝眞斋法书赞二十八卷宋岳珂撰,bao'zhen'zhai'fa'shu'zan'er'shi'ba'juan'song'yue'ke'zhuan
宝眞斋法书赞二十八卷宋岳珂撰据聚珍版丛书本排印,bao'zhen'zhai'fa'shu'zan'er'shi'ba'juan'song'yue'ke'zhuan'ju'ju'zhen'ban'cong'shu'ben'pai'yin
悲惨世界,bei'can'shi'jie
北牕琐语一卷明余永麟撰,bei'chuang'suo'yu'yi'juan'ming'yu'yong'lin'zhuan
北大怪才的,bei'da'guai'cai'de
北大中文系,bei'da'zhong'wen'xi
悲观论集卷,bei'guan'lun'ji'juan
北户录三卷校勘记一卷唐段公路撰唐崔龟图注陆心源撰校勘记,bei'hu'lu'san'juan'jiao'kan'ji'yi'juan'tang'duan'gong'lu'zhuan'tang'cui'gui'tu'zhu'lu'xin'yuan'zhuan'jiao'kan'ji
北江诗话六卷淸洪亮吉撰,bei'jiang'shi'hua'liu'juan'qing'hong'liang'ji'zhuan
北郊配位尊西向议一卷淸毛奇龄撰,bei'jiao'pei'wei'zun'xi'xiang'yi'yi'juan'qing'mao'qi'ling'zhuan
北郊配位尊西向议一卷淸毛奇龄撰据艺海珠尘本排印,bei'jiao'pei'wei'zun'xi'xiang'yi'yi'juan'qing'mao'qi'ling'zhuan'ju'yi'hai'zhu'chen'ben'pai'yin
北京出版社编,bei'jing'chu'ban'she'bian
北京大学百年国学文粹,bei'jing'da'xue'bai'nian'guo'xue'wen'cui
北京大学图书馆藏善本丛书,bei'jing'da'xue'tu'shu'guan'cang'shan'ben'cong'shu
悲剧的诞生,bei'ju'de'dan'sheng
悲剧的诞生卷,bei'ju'de'dan'sheng'juan
贝琳,bei'lin
北梦琐言二十卷宋孙光宪撰,bei'meng'suo'yan'er'shi'juan'song'sun'guang'xian'zhuan
北欧的神话传说,bei'ou'de'shen'hua'chuan'shuo
北平录一卷明撰,bei'ping'lu'yi'juan'ming'zhuan
北齐,bei'qi
北山文集三十卷末一卷宋郑刚中撰,bei'shan'wen'ji'san'shi'juan'mo'yi'juan'song'zheng'gang'zhong'zhuan
北使录一卷明李实撰,bei'shi'lu'yi'juan'ming'li'shi'zhuan
北狩见闻录一卷宋曹勋撰,bei'shou'jian'wen'lu'yi'juan'song'cao'xun'zhuan
北狩行录一卷宋撰,bei'shou'xing'lu'yi'juan'song'zhuan
北墅抱瓮录,bei'shu'bao'weng'lu
北墅抱瓮录一卷淸高士奇撰,bei'shu'bao'weng'lu'yi'juan'qing'gao'shi'qi'zhuan
北宋,bei'song
北堂书钞,bei'tang'shu'chao
北魏,bei'wei
北溪字义二卷坿补遗一卷坿严陵讲义一卷宋陈淳撰宋王隽辑,bei'xi'zi'yi'er'juan'fu'bu'yi'yi'juan'fu'yan'ling'jiang'yi'yi'juan'song'chen'chun'zhuan'song'wang'juan'ji
北轩笔记一卷元陈世隆辑,bei'xuan'bi'ji'yi'juan'yuan'chen'shi'long'ji
备遗录一卷卽一名建文忠节录明张芹撰,bei'yi'lu'yi'juan'ji'yi'ming'jian'wen'zhong'jie'lu'ming'zhang'qin'zhuan
备用良方,bei'yong'liang'fang
北苑别录一卷宋赵汝砺撰,bei'yuan'bie'lu'yi'juan'song'zhao'ru'li'zhuan
北苑别录一卷宋赵汝砺撰据读画斋丛书本排印,bei'yuan'bie'lu'yi'juan'song'zhao'ru'li'zhuan'ju'du'hua'zhai'cong'shu'ben'pai'yin
北征事迹一卷明袁彬撰明尹直录,bei'zheng'shi'ji'yi'juan'ming'yuan'bin'zhuan'ming'yin'zhi'lu
北周,bei'zhou
本草从新,ben'cao'cong'xin
本草纲目李时珍上海商务印书馆影印,ben'cao'gang'mu'li'shi'zhen'shang'hai'shang'wu'yin'shu'guan'ying'yin
本草纲目拾遗,ben'cao'gang'mu'shi'yi
本草汇言,ben'cao'hui'yan
本草集要,ben'cao'ji'yao
本草经解要,ben'cao'jing'jie'yao
本草蒙筌,ben'cao'meng'quan
本草品汇精要,ben'cao'pin'hui'jing'yao
本草求真,ben'cao'qiu'zhen
本草通玄,ben'cao'tong'xuan
本草衍义,ben'cao'yan'yi
本草衍义二十卷宋寇宗奭撰,ben'cao'yan'yi'er'shi'juan'song'kou'zong'shi'zhuan
本草衍义二十卷宋寇宗奭撰据十万卷楼丛书本排印,ben'cao'yan'yi'er'shi'juan'song'kou'zong'shi'zhuan'ju'shi'wan'juan'lou'cong'shu'ben'pai'yin
本草原始,ben'cao'yuan'shi
本初,ben'chu
本初元年,ben'chu'yuan'nian
本讳,ben'hui
本讳迪古乃,ben'hui'di'gu'nai
本杰明,ben'jie'ming
本经逢原,ben'jing'feng'yuan
本经疏证,ben'jing'shu'zheng
本经续疏,ben'jing'xu'shu
本经序疏要,ben'jing'xu'shu'yao
本目,ben'mu
本排印,ben'pai'yin
本始,ben'shi
本事诗一卷唐孟棨撰,ben'shi'shi'yi'juan'tang'meng'qi'zhuan
本心斋疏食谱一卷宋陈达叟撰,ben'xin'zhai'shu'shi'pu'yi'juan'song'chen'da'sou'zhuan
本心斋疏食谱一卷宋陈达叟撰据百川学海本排印,ben'xin'zhai'shu'shi'pu'yi'juan'song'chen'da'sou'zhuan'ju'bai'chuan'xue'hai'ben'pai'yin
本影印,ben'ying'yin
本语六卷明高拱撰,ben'yu'liu'juan'ming'gao'gong'zhuan
本语六卷明高拱撰据指海本排印,ben'yu'liu'juan'ming'gao'gong'zhuan'ju'zhi'hai'ben'pai'yin
笔尘一卷明莫是龙撰,bi'chen'yi'juan'ming'mo'shi'long'zhuan
彼得,bi'de
彼得大帝传略,bi'de'da'di'zhuan'lue
毕法,bi'fa
毕飞宇作品集,bi'fei'yu'zuo'pin'ji
笔花医镜,bi'hua'yi'jing
笔记八卷,bi'ji'ba'juan
比及比例郑心南上海商务印书馆影印,bi'ji'bi'li'zheng'xin'nan'shang'hai'shang'wu'yin'shu'guan'ying'yin
笔记二卷明陈继儒撰,bi'ji'er'juan'ming'chen'ji'ru'zhuan
比较文化研究史,bi'jiao'wen'hua'yan'jiu'shi
比较研究新境界诗经的文化阐释陈建中东方学刊,bi'jiao'yan'jiu'xin'jing'jie'shi'jing'de'wen'hua'chan'shi'chen'jian'zhong'dong'fang'xue'kan
比较宗教学屠孝实上海商务印书馆影印,bi'jiao'zong'jiao'xue'tu'xiao'shi'shang'hai'shang'wu'yin'shu'guan'ying'yin
薜敬轩先生文集十卷明薜瑄撰,bi'jing'xuan'xian'sheng'wen'ji'shi'juan'ming'bi'xuan'zhuan
比例及相似形崔朝庆上海商务印书馆影印,bi'li'ji'xiang'si'xing'cui'chao'qing'shang'hai'shang'wu'yin'shu'guan'ying'yin
碧里杂存二卷明董谷撰,bi'li'za'cun'er'juan'ming'dong'gu'zhuan
裨农最要,bi'nong'zui'yao
比丘尼传,bi'qiu'ni'chuan
笔史,bi'shi
笔史一卷淸梁同书撰,bi'shi'yi'juan'qing'liang'tong'shu'zhuan
笔史一卷淸梁同书撰据榆园丛刻本排印,bi'shi'yi'juan'qing'liang'tong'shu'zhuan'ju'yu'yuan'cong'ke'ben'pai'yin
比事摘录,bi'shi'zhai'lu
避暑录话二卷宋叶梦得撰,bi'shu'lu'hua'er'juan'song'ye'meng'de'zhuan
避暑录话二卷宋叶梦得撰据津逮秘书本排印,bi'shu'lu'hua'er'juan'song'ye'meng'de'zhuan'ju'jin'dai'mi'shu'ben'pai'yin
避暑漫抄一卷宋陆游撰,bi'shu'man'chao'yi'juan'song'lu'you'zhuan
璧水群英待问会元,bi'shui'qun'ying'dai'wen'hui'yuan
笔算说畧,bi'suan'shuo'lue
碧血录二卷明黄煜辑,bi'xue'lu'er'juan'ming'huang'yu'ji
比雅十九卷淸洪亮吉撰,bi'ya'shi'jiu'juan'qing'hong'liang'ji'zhuan
碧雲集三卷唐李中撰集部第冊影印國家圖書館藏清黃丕烈士禮居影宋抄本,bi'yun'ji'san'juan'tang'li'zhong'zhuan'ji'bu'di'ce'ying'yin'guo'jia'tu'shu'guan'cang'qing'huang'pi'lie'shi'li'ju'ying'song'chao'ben
碧云騢一卷宋梅尧臣撰,bi'yun'xia'yi'juan'song'mei'yao'chen'zhuan
碧障绅诗钞八卷淸陈文述撰,bi'zhang'shen'shi'chao'ba'juan'qing'chen'wen'shu'zhuan
避针灸诀,bi'zhen'jiu'jue
敝帚轩剩语三卷补遗一卷明沈德符撰,bi'zhou'xuan'sheng'yu'san'juan'bu'yi'yi'juan'ming'shen'de'fu'zhuan
编本,bian'ben
辨定嘉靖大礼议二卷淸毛奇龄撰,bian'ding'jia'jing'da'li'yi'er'juan'qing'mao'qi'ling'zhuan
辨定嘉靖大礼议二卷淸毛奇龄撰据艺海珠尘本排印,bian'ding'jia'jing'da'li'yi'er'juan'qing'mao'qi'ling'zhuan'ju'yi'hai'zhu'chen'ben'pai'yin
辨惑编四卷附录一卷元谢应芳撰,bian'huo'bian'si'juan'fu'lu'yi'juan'yuan'xie'ying'fang'zhuan
辨惑编四卷附录一卷元谢应芳撰据守山阁丛书本排印,bian'huo'bian'si'juan'fu'lu'yi'juan'yuan'xie'ying'fang'zhuan'ju'shou'shan'ge'cong'shu'ben'pai'yin
编辑部编,bian'ji'bu'bian
边纪略一卷明郑晓撰,bian'ji'lue'yi'juan'ming'zheng'xiao'zhuan
边际效用学派的兴起,bian'ji'xiao'yong'xue'pai'de'xing'qi
汴京九异记八卷明李濂撰,bian'jing'jiu'yi'ji'ba'juan'ming'li'lian'zhuan
便民图纂,bian'min'tu'zuan
边沁道德与立法原理概论周炳琳译上海商务印书馆影印,bian'qin'dao'de'yu'li'fa'yuan'li'gai'lun'zhou'bing'lin'yi'shang'hai'shang'wu'yin'shu'guan'ying'yin
边塞英雄谱,bian'sai'ying'xiong'pu
辨歙石说一卷宋撰宋洪适辑,bian'she'shi'shuo'yi'juan'song'zhuan'song'hong'shi'ji
边孙天帝的路途上海商务印书馆影印,bian'sun'tian'di'de'lu'tu'shang'hai'shang'wu'yin'shu'guan'ying'yin
编委会编辑,bian'wei'hui'bian'ji
辨误录,bian'wu'lu
辨物小志一卷明陈绛撰据学海类编本影印,bian'wu'xiao'zhi'yi'juan'ming'chen'jiang'zhuan'ju'xue'hai'lei'bian'ben'ying'yin
变雅断章衍义古伤心人闽侯郭氏家集第册郭氏家刻本,bian'ya'duan'zhang'yan'yi'gu'shang'xin'ren'min'hou'guo'shi'jia'ji'di'ce'guo'shi'jia'ke'ben
变雅黄节北京大学排印本,bian'ya'huang'jie'bei'jing'da'xue'pai'yin'ben
辨言,bian'yan
辨言一卷宋员兴宗撰据艺海珠尘本排印,bian'yan'yi'juan'song'yuan'xing'zong'zhuan'ju'yi'hai'zhu'chen'ben'pai'yin
编译,bian'yi
边缘小品,bian'yuan'xiao'pin
辩证录,bian'zheng'lu
表异录,biao'yi'lu
别记,bie'ji
别集,bie'ji
别集二卷,bie'ji'er'juan
别集九卷,bie'ji'jiu'juan
别集十卷,bie'ji'shi'juan
别集一卷,bie'ji'yi'juan
别录一卷,bie'lu'yi'juan
别下斋书画录,bie'xia'zhai'shu'hua'lu
