阿保机,a'bao'ji
祛疑说一卷宋储泳撰,qu'yi'shuo'yi'juan'song'chu'yong'zhuan
屈原賦戴氏注七卷通釋二卷清戴震注集部第冊影印中國科學院圖書館藏清乾隆刻本,qu'yuan'fu'dai'shi'zhu'qi'juan'tong'shi'er'juan'qing'dai'zhen'zhu'ji'bu'di'ce'ying'yin'zhong'guo'ke'xue'yuan'tu'shu'guan'cang'qing'qian'long'ke'ben
屈原賦戴氏注音義三卷清汪梧鳳撰集部第冊影印中國科學院圖書館藏清乾隆刻本,qu'yuan'fu'dai'shi'zhu'yin'yi'san'juan'qing'wang'wu'feng'zhuan'ji'bu'di'ce'ying'yin'zhong'guo'ke'xue'yuan'tu'shu'guan'cang'qing'qian'long'ke'ben
屈原赋注戴震上海商务印书馆影印,qu'yuan'fu'zhu'dai'zhen'shang'hai'shang'wu'yin'shu'guan'ying'yin
屈原与宋玉陆佩如上海商务印书馆影印,qu'yuan'yu'song'yu'lu'pei'ru'shang'hai'shang'wu'yin'shu'guan'ying'yin
瞿中溶,qu'zhong'rong
全编新注,quan'bian'xin'zhu
全部知识学的基础,quan'bu'zhi'shi'xue'de'ji'chu
全德神文,quan'de'shen'wen
全二册,quan'er'ce
全功至德,quan'gong'zhi'de
全国一周谢彬上海商务印书馆影印,quan'guo'yi'zhou'xie'bin'shang'hai'shang'wu'yin'shu'guan'ying'yin
全毁书目,quan'hui'shu'mu
权利与义务陈霆锐上海商务印书馆影印,quan'li'yu'yi'wu'chen'ting'rui'shang'hai'shang'wu'yin'shu'guan'ying'yin
泉南杂志二卷明陈懋仁撰,quan'nan'za'zhi'er'juan'ming'chen'mao'ren'zhuan
泉南指谱重编,quan'nan'zhi'pu'chong'bian
劝农书,quan'nong'shu
全球冲突,quan'qiu'chong'tu
全球通史,quan'qiu'tong'shi
全生指迷方四卷宋撰,quan'sheng'zhi'mi'fang'si'juan'song'zhuan
全四册,quan'si'ce
全唐诗典故辞典,quan'tang'shi'dian'gu'ci'dian
全唐诗话六卷宋尤袤撰据津逮秘书本影印,quan'tang'shi'hua'liu'juan'song'you'mao'zhuan'ju'jin'dai'mi'shu'ben'ying'yin
全唐诗话宋尤袤,quan'tang'shi'hua'song'you'mao
全唐诗说一卷明王世贞撰,quan'tang'shi'shuo'yi'juan'ming'wang'shi'zhen'zhuan
全唐诗说一卷明王世贞撰据学海类编本排印,quan'tang'shi'shuo'yi'juan'ming'wang'shi'zhen'zhuan'ju'xue'hai'lei'bian'ben'pai'yin
全唐诗逸三卷日本市河世宁辑,quan'tang'shi'yi'san'juan'ri'ben'shi'he'shi'ning'ji
全五代诗一百卷补遗一卷淸李调元辑,quan'wu'dai'shi'yi'bai'juan'bu'yi'yi'juan'qing'li'tiao'yuan'ji
全谢山先生经史问答,quan'xie'shan'xian'sheng'jing'shi'wen'da
劝学篇,quan'xue'pian
劝学篇书后,quan'xue'pian'shu'hou
全幼心鉴,quan'you'xin'jian
泉志,quan'zhi
劝种洋棉说,quan'zhong'yang'mian'shuo
全祖望,quan'zu'wang
全祖望撰,quan'zu'wang'zhuan
确定性的终结,que'ding'xing'de'zhong'jie
却扫编三卷宋徐度撰,que'sao'bian'san'juan'song'xu'du'zhuan
却扫编三卷宋徐度撰景津逮秘书本,que'sao'bian'san'juan'song'xu'du'zhuan'jing'jin'dai'mi'shu'ben
阙文,que'wen
阙文校勘补遗考据,que'wen'jiao'kan'bu'yi'kao'ju
羣己权界论,qun'ji'quan'jie'lun
群经概论万梦旦上海商务印书馆影印,qun'jing'gai'lun'wan'meng'dan'shang'hai'shang'wu'yin'shu'guan'ying'yin
群经音辨七卷宋贾昌朝撰据畿辅丛书本影印,qun'jing'yin'bian'qi'juan'song'jia'chang'chao'zhuan'ju'ji'fu'cong'shu'ben'ying'yin
群书类编故事,qun'shu'lei'bian'gu'shi
群书类要,qun'shu'lei'yao
群书拾补,qun'shu'shi'bu
羣书拾补三十九卷淸卢文弨撰据抱经堂丛书本排印,qun'shu'shi'bu'san'shi'jiu'juan'qing'lu'wen'chao'zhuan'ju'bao'jing'tang'cong'shu'ben'pai'yin
群书通要,qun'shu'tong'yao
群书疑辨,qun'shu'yi'bian
群书札记,qun'shu'zha'ji
羣书治要,qun'shu'zhi'yao
群书治要,qun'shu'zhi'yao
羣书治要五十卷唐魏征等奉敕辑据连筠簃丛书本排印,qun'shu'zhi'yao'wu'shi'juan'tang'wei'zheng'deng'feng'chi'ji'ju'lian'jun'yi'cong'shu'ben'pai'yin
群碎录,qun'sui'lu
群物奇制,qun'wu'qi'zhi
群物奇制一卷明周履靖辑据夷门广牍本影印,qun'wu'qi'zhi'yi'juan'ming'zhou'lv'jing'ji'ju'yi'men'guang'du'ben'ying'yin
群仙降乩语一卷明周履靖辑,qun'xian'jiang'ji'yu'yi'juan'ming'zhou'lv'jing'ji
羣学肄言,qun'xue'yi'yan
群英书义,qun'ying'shu'yi
染色术孟心如上海商务印书馆影印,ran'se'shu'meng'xin'ru'shang'hai'shang'wu'yin'shu'guan'ying'yin
燃犀道人,ran'xi'dao'ren
然犀志二卷淸李调元撰,ran'xi'zhi'er'juan'qing'li'tiao'yuan'zhuan
然犀志二卷淸李调元撰据函海本排印,ran'xi'zhi'er'juan'qing'li'tiao'yuan'zhuan'ju'han'hai'ben'pai'yin
让德文明,rang'de'wen'ming
穰梨馆过眼录,rang'li'guan'guo'yan'lu
攘书,rang'shu
饶南九三府图说一卷明王世懋撰,rao'nan'jiu'san'fu'tu'shuo'yi'juan'ming'wang'shi'mao'zhuan
热带果树种植法李寅恭上海商务印书馆影印,re'dai'guo'shu'zhong'zhi'fa'li'yin'gong'shang'hai'shang'wu'yin'shu'guan'ying'yin
热带植物钟心暄上海商务印书馆影印,re'dai'zhi'wu'zhong'xin'xuan'shang'hai'shang'wu'yin'shu'guan'ying'yin
壬辰,ren'chen
仁德宪慈,ren'de'xian'ci
任广,ren'guang
人海记,ren'hai'ji
任恒俊著,ren'heng'jun'zhu
仁皇帝,ren'huang'di
人及其文化研究,ren'ji'qi'wen'hua'yan'jiu
人间词话,ren'jian'ci'hua
人间词话手稿本全编,ren'jian'ci'hua'shou'gao'ben'quan'bian
人间词话译注,ren'jian'ci'hua'yi'zhu
忍经,ren'jing
人口原理,ren'kou'yuan'li
人类曾经被毁灭,ren'lei'ceng'jing'bei'hui'mie
人类的故事,ren'lei'de'gu'shi
人类解放的故事,ren'lei'jie'fang'de'gu'shi
人类进化论张资平上海商务印书馆影印,ren'lei'jin'hua'lun'zhang'zi'ping'shang'hai'shang'wu'yin'shu'guan'ying'yin
人类精神进步史表纲要,ren'lei'jing'shen'jin'bu'shi'biao'gang'yao
人类理解论,ren'lei'li'jie'lun
人类理解研究,ren'lei'li'jie'yan'jiu
人类性的进化,ren'lei'xing'de'jin'hua
人类幸福论,ren'lei'xing'fu'lun
人类行为的经济分析,ren'lei'xing'wei'de'jing'ji'fen'xi
人类性源论费鸿年上海商务印书馆影印,ren'lei'xing'yuan'lun'fei'hong'nian'shang'hai'shang'wu'yin'shu'guan'ying'yin
人类学,ren'lei'xue
人类学顾寿白上海商务印书馆影印,ren'lei'xue'gu'shou'bai'shang'hai'shang'wu'yin'shu'guan'ying'yin
人类学是什么,ren'lei'xue'shi'shen'me
人类学通论,ren'lei'xue'tong'lun
人类学新词典,ren'lei'xue'xin'ci'dian
人类与动物心理学论稿,ren'lei'yu'dong'wu'xin'li'xue'lun'gao
人伦大统赋二卷金张行简撰元薛延年注,ren'lun'da'tong'fu'er'juan'jin'zhang'xing'jian'zhuan'yuan'xue'yan'nian'zhu
仁明诚敬,ren'ming'cheng'jing
仁明庄孝,ren'ming'zhuang'xiao
人谱附类记明刘宗周,ren'pu'fu'lei'ji'ming'liu'zong'zhou
人庆,ren'qing
仁山先生金文安公文集五卷宋金履祥撰,ren'shan'xian'sheng'jin'wen'an'gong'wen'ji'wu'juan'song'jin'lv'xiang'zhuan
仁山先生金文安公文集五卷宋金履祥撰据金华丛书本排印,ren'shan'xian'sheng'jin'wen'an'gong'wen'ji'wu'juan'song'jin'lv'xiang'zhuan'ju'jin'hua'cong'shu'ben'pai'yin
壬申,ren'shen
壬申年,ren'shen'nian
妊娠与娩产姚昶绪上海商务印书馆影印,ren'shen'yu'mian'chan'yao'chang'xu'shang'hai'shang'wu'yin'shu'guan'ying'yin
人生地理概要刘虎如编竺可桢校上海商务印书馆影印,ren'sheng'di'li'gai'yao'liu'hu'ru'bian'zhu'ke'zhen'xiao'shang'hai'shang'wu'yin'shu'guan'ying'yin
人生中不可不想的事,ren'sheng'zhong'bu'ke'bu'xiang'de'shi
认识经济论,ren'shi'jing'ji'lun
认识论范寿康上海商务印书馆影印,ren'shi'lun'fan'shou'kang'shang'hai'shang'wu'yin'shu'guan'ying'yin
认识素描,ren'shi'su'miao
认识与谬误,ren'shi'yu'miu'wu
仁寿,ren'shou
任泰,ren'tai
人文地理学张资平上海商务印书馆影印,ren'wen'di'li'xue'zhang'zi'ping'shang'hai'shang'wu'yin'shu'guan'ying'yin
人文科学认识论,ren'wen'ke'xue'ren'shi'lun
仁文义武,ren'wen'yi'wu
仁文哲武,ren'wen'zhe'wu
人文主义与教育上海商务印书馆影印,ren'wen'zhu'yi'yu'jiao'yu'shang'hai'shang'wu'yin'shu'guan'ying'yin
壬午,ren'wu
壬午年,ren'wu'nian
任锡庚,ren'xi'geng
仁孝睿武,ren'xiao'rui'wu
仁孝睿智,ren'xiao'rui'zhi
壬戌,ren'xu
壬戌年,ren'xu'nian
仁学,ren'xue
仁义所往,ren'yi'suo'wang
仁义所往曰王,ren'yi'suo'wang'yue'wang
壬寅,ren'yin
壬寅年,ren'yin'nian
壬寅销夏录,ren'yin'xiao'xia'lu
人有人的用处,ren'you'ren'de'yong'chu
仁狱类编,ren'yu'lei'bian
认眞草十六卷明鹿善继撰,ren'zhen'cao'shi'liu'juan'ming'lu'shan'ji'zhuan
人之上升,ren'zhi'shang'sheng
人种测量法陈兼善上海商务印书馆影印,ren'zhong'ce'liang'fa'chen'jian'shan'shang'hai'shang'wu'yin'shu'guan'ying'yin
壬子,ren'zi
壬子年,ren'zi'nian
仁宗,ren'zong
仁宗圣文钦孝皇帝,ren'zong'sheng'wen'qin'xiao'huang'di
仁宗体天,ren'zong'ti'tian
日本对华商业戴克谐上海商务印书馆影印,ri'ben'dui'hua'shang'ye'dai'ke'xie'shang'hai'shang'wu'yin'shu'guan'ying'yin
日本金石年表一卷日本西田直养撰,ri'ben'jin'shi'nian'biao'yi'juan'ri'ben'xi'tian'zhi'yang'zhuan
日本考略一卷明薛俊撰,ri'ben'kao'lue'yi'juan'ming'xue'jun'zhuan
日本民间童话故事集,ri'ben'min'jian'tong'hua'gu'shi'ji
日本名家小说集周作人译上海商务印书馆影印,ri'ben'ming'jia'xiao'shuo'ji'zhou'zuo'ren'yi'shang'hai'shang'wu'yin'shu'guan'ying'yin
日本抒情诗选,ri'ben'shu'qing'shi'xuan
日本文学谢六逸上海商务印书馆影印,ri'ben'wen'xue'xie'liu'yi'shang'hai'shang'wu'yin'shu'guan'ying'yin
日本现代史陈铎编吴敬恒校上海商务印书馆影印,ri'ben'xian'dai'shi'chen'duo'bian'wu'jing'heng'xiao'shang'hai'shang'wu'yin'shu'guan'ying'yin
日俄战争吕思勉编朱经农校上海商务印书馆影印,ri'e'zhan'zheng'lv'si'mian'bian'zhu'jing'nong'xiao'shang'hai'shang'wu'yin'shu'guan'ying'yin
日法朔余强弱考,ri'fa'shuo'yu'qiang'ruo'kao
日湖渔唱一卷补遗一卷续补遗一卷宋陈允平撰,ri'hu'yu'chang'yi'juan'bu'yi'yi'juan'xu'bu'yi'yi'juan'song'chen'yun'ping'zhuan
日记四种,ri'ji'si'zhong
日录里言,ri'lu'li'yan
日球与月球李蕃上海商务印书馆影印,ri'qiu'yu'yue'qiu'li'fan'shang'hai'shang'wu'yin'shu'guan'ying'yin
日食通轨,ri'shi'tong'gui
日损笔记,ri'sun'bi'ji
日瓦戈医生,ri'wa'ge'yi'sheng
日闻录,ri'wen'lu
日知录顾炎武上海商务印书馆影印,ri'zhi'lu'gu'yan'wu'shang'hai'shang'wu'yin'shu'guan'ying'yin
日知录集释,ri'zhi'lu'ji'shi
日知录之余,ri'zhi'lu'zhi'yu
戎庵老人漫笔,rong'an'lao'ren'man'bi
蓉槎蠡说,rong'cha'li'shuo
榕城诗话三卷淸杭世骏撰,rong'cheng'shi'hua'san'juan'qing'hang'shi'jun'zhuan
荣祭酒遗文一卷元荣肇撰,rong'ji'jiu'yi'wen'yi'juan'yuan'rong'zhao'zhuan
蓉镜,rong'jing
戎事类占,rong'shi'lei'zhan
融堂书解二十卷宋钱时撰,rong'tang'shu'jie'er'shi'juan'song'qian'shi'zhuan
荣养论顾寿白上海商务印书馆影印,rong'yang'lun'gu'shou'bai'shang'hai'shang'wu'yin'shu'guan'ying'yin
溶液论程瀛章张辅良上海商务印书馆影印,rong'ye'lun'cheng'ying'zhang'zhang'fu'liang'shang'hai'shang'wu'yin'shu'guan'ying'yin
容仪恭美,rong'yi'gong'mei
容仪恭美曰昭,rong'yi'gong'mei'yue'zhao
荣誉校,rong'yu'xiao
容斋诗话六卷宋洪迈撰,rong'zhai'shi'hua'liu'juan'song'hong'mai'zhuan
容斋诗话六卷宋洪迈撰据学海类编本排印,rong'zhai'shi'hua'liu'juan'song'hong'mai'zhuan'ju'xue'hai'lei'bian'ben'pai'yin
容斋四六丛谈一卷宋洪迈撰,rong'zhai'si'liu'cong'tan'yi'juan'song'hong'mai'zhuan
容斋四六丛谈一卷宋洪迈撰据学海类编本排印,rong'zhai'si'liu'cong'tan'yi'juan'song'hong'mai'zhuan'ju'xue'hai'lei'bian'ben'pai'yin
容斋题跋,rong'zhai'ti'ba
容斋题跋二卷宋洪迈撰景津逮秘书本,rong'zhai'ti'ba'er'juan'song'hong'mai'zhuan'jing'jin'dai'mi'shu'ben
容斋五笔宋洪迈,rong'zhai'wu'bi'song'hong'mai
柔软体操与步法宋君复上海商务印书馆影印,rou'ruan'ti'cao'yu'bu'fa'song'jun'fu'shang'hai'shang'wu'yin'shu'guan'ying'yin
儒道两家关系论李继煌上海商务印书馆影印,ru'dao'liang'jia'guan'xi'lun'li'ji'huang'shang'hai'shang'wu'yin'shu'guan'ying'yin
蠕范八卷淸李元撰,ru'fan'ba'juan'qing'li'yuan'zhuan
蠕范八卷淸李元撰据湖北丛书本排印,ru'fan'ba'juan'qing'li'yuan'zhuan'ju'hu'bei'cong'shu'ben'pai'yin
蠕范清李元,ru'fan'qing'li'yuan
如积引蒙,ru'ji'yin'meng
儒家的政治智慧与历史信仰,ru'jia'de'zheng'zhi'zhi'hui'yu'li'shi'xin'yang
儒教与现代思潮郑子雅上海商务印书馆影印,ru'jiao'yu'xian'dai'si'chao'zheng'zi'ya'shang'hai'shang'wu'yin'shu'guan'ying'yin
儒林公议二卷宋田况撰,ru'lin'gong'yi'er'juan'song'tian'kuang'zhuan
儒林谱,ru'lin'pu
儒林谱一卷淸焦袁熹撰据艺海珠尘本排印,ru'lin'pu'yi'juan'qing'jiao'yuan'xi'zhuan'ju'yi'hai'zhu'chen'ben'pai'yin
儒林外史清吴敬梓,ru'lin'wai'shi'qing'wu'jing'zi
汝南圃史,ru'nan'pu'shi
汝南遗事二卷明李本固撰,ru'nan'yi'shi'er'juan'ming'li'ben'gu'zhuan
汝南遗事四卷元王鹗撰,ru'nan'yi'shi'si'juan'yuan'wang'e'zhuan
入蜀记六卷宋陆游撰,ru'shu'ji'liu'juan'song'lu'you'zhuan
儒学地域化的近代形态,ru'xue'di'yu'hua'de'jin'dai'xing'tai
如意,ru'yi
孺子婴,ru'zi'ying
儒宗理要,ru'zong'li'yao
阮葵生,ruan'kui'sheng
阮亭诗余一卷淸王士禛撰淸邱石常评淸徐夜评据仰视千七百二十九鹤斋丛书,ruan'ting'shi'yu'yi'juan'qing'wang'shi'zhen'zhuan'qing'qiu'shi'chang'ping'qing'xu'ye'ping'ju'yang'shi'qian'qi'bai'er'shi'jiu'he'zhai'cong'shu
阮亭诗余一卷淸王士禛撰淸邱石常淸徐夜评,ruan'ting'shi'yu'yi'juan'qing'wang'shi'zhen'zhuan'qing'qiu'shi'chang'qing'xu'ye'ping
阮元,ruan'yuan
阮元补图,ruan'yuan'bu'tu
阮元辑,ruan'yuan'ji
阮元辑据文选楼丛书本排印,ruan'yuan'ji'ju'wen'xuan'lou'cong'shu'ben'pai'yin
阮元评传,ruan'yuan'ping'zhuan
阮元思想研究,ruan'yuan'si'xiang'yan'jiu
阮元撰,ruan'yuan'zhuan
睿皇帝,rui'huang'di
睿圣大孝,rui'sheng'da'xiao
睿武齐圣,rui'wu'qi'sheng
睿孝敬敏,rui'xiao'jing'min
瑞泽尔著,rui'ze'er'zhu
睿宗,rui'zong
睿宗玄真大圣大兴孝皇帝,rui'zong'xuan'zhen'da'sheng'da'xing'xiao'huang'di
萨巴尔,sa'ba'er
塞凡提魔侠传林纾译上海商务印书馆影印,sai'fan'ti'mo'xia'chuan'lin'shu'yi'shang'hai'shang'wu'yin'shu'guan'ying'yin
塞外杂识一卷淸龙一鹏撰,sai'wai'za'shi'yi'juan'qing'long'yi'peng'zhuan
塞语一卷明尹畊撰,sai'yu'yi'juan'ming'yin'geng'zhuan
塞治尉克及泰娄科学发达史潘祖荀译胡适校上海商务印,sai'zhi'wei'ke'ji'tai'lou'ke'xue'fa'da'shi'pan'zu'xun'yi'hu'shi'xiao'shang'hai'shang'wu'yin
三百篇的年代陆侃如说文月刊,san'bai'pian'de'nian'dai'lu'kan'ru'shuo'wen'yue'kan
三百篇诗的产地及其时代芸渠益世报天津副刊,san'bai'pian'shi'de'chan'di'ji'qi'shi'dai'yun'qu'yi'shi'bao'tian'jin'fu'kan
三百篇演论蒋善国上海商务印书馆,san'bai'pian'yan'lun'jiang'shan'guo'shang'hai'shang'wu'yin'shu'guan
三笔,san'bi
三笔八卷,san'bi'ba'juan
三才广志,san'cai'guang'zhi
三才实义天集,san'cai'shi'yi'tian'ji
三才图会,san'cai'tu'hui
三钞,san'chao
三大知识群体互动的比较研究,san'da'zhi'shi'qun'ti'hu'dong'de'bi'jiao'yan'jiu
三洞群仙录,san'dong'qun'xian'lu
三洞珠囊,san'dong'zhu'nang
三藩纪事本末四卷淸杨陆荣撰,san'fan'ji'shi'ben'mo'si'juan'qing'yang'lu'rong'zhuan
三峰传藁一卷明万应隆撰,san'feng'chuan'gao'yi'juan'ming'wan'ying'long'zhuan
三辅故事一卷淸张澍辑,san'fu'gu'shi'yi'juan'qing'zhang'shu'ji
三辅黄图六卷补遗一卷汉撰淸毕沅校,san'fu'huang'tu'liu'juan'bu'yi'yi'juan'han'zhuan'qing'bi'yuan'xiao
三辅黄图一卷汉撰淸孙星衍淸庄逵吉校,san'fu'huang'tu'yi'juan'han'zhuan'qing'sun'xing'yan'qing'zhuang'kui'ji'xiao
三辅旧事一卷淸张澍辑,san'fu'jiu'shi'yi'juan'qing'zhang'shu'ji
三国,san'guo
三国纪年表一卷淸周嘉猷撰,san'guo'ji'nian'biao'yi'juan'qing'zhou'jia'you'zhuan
三国纪年一卷宋陈亮撰,san'guo'ji'nian'yi'juan'song'chen'liang'zhuan
三国演义,san'guo'yan'yi
三国杂事二卷宋唐庚撰,san'guo'za'shi'er'juan'song'tang'geng'zhuan
三国志辨误三卷宋撰,san'guo'zhi'bian'wu'san'juan'song'zhuan
三国志辨疑,san'guo'zhi'bian'yi
三国志补注六卷淸杭世骏撰,san'guo'zhi'bu'zhu'liu'juan'qing'hang'shi'jun'zhuan
三国志补注续一卷淸侯康撰,san'guo'zhi'bu'zhu'xu'yi'juan'qing'hou'kang'zhuan
三国职官表三卷淸洪饴孙撰,san'guo'zhi'guan'biao'san'juan'qing'hong'yi'sun'zhuan
三国志及裴注综合引得,san'guo'zhi'ji'pei'zhu'zong'he'yin'de
三国志考证八卷淸潘眉撰,san'guo'zhi'kao'zheng'ba'juan'qing'pan'mei'zhuan
三国志旁证三十卷淸梁章巨撰,san'guo'zhi'pang'zheng'san'shi'juan'qing'liang'zhang'ju'zhuan
三国志王钟麒上海商务印书馆影印,san'guo'zhi'wang'zhong'qi'shang'hai'shang'wu'yin'shu'guan'ying'yin
三国志注证遗四卷补四卷淸周寿昌撰,san'guo'zhi'zhu'zheng'yi'si'juan'bu'si'juan'qing'zhou'shou'chang'zhuan
三海妖,san'hai'yao
三和土冯雄上海商务印书馆影印,san'he'tu'feng'xiong'shang'hai'shang'wu'yin'shu'guan'ying'yin
三集,san'ji
三家宫词一卷明毛晋辑,san'jia'gong'ci'yi'juan'ming'mao'jin'ji
三家宫词一卷唐王建撰后蜀费氏撰宋王珪撰景诗词杂俎本,san'jia'gong'ci'yi'juan'tang'wang'jian'zhuan'hou'shu'fei'shi'zhuan'song'wang'gui'zhuan'jing'shi'ci'za'zu'ben
三家诗拾遗,san'jia'shi'shi'yi
三家诗拾遗十卷淸范家相撰,san'jia'shi'shi'yi'shi'juan'qing'fan'jia'xiang'zhuan
三剑客,san'jian'ke
三角函数骆师曾上海商务印书馆影印,san'jiao'han'shu'luo'shi'zeng'shang'hai'shang'wu'yin'shu'guan'ying'yin
三敎平心论二卷坿校讹一卷坿补校一卷元刘谧撰淸胡挺撰校讹董金撰补校,san'jiao'ping'xin'lun'er'juan'fu'xiao'e'yi'juan'fu'bu'xiao'yi'juan'yuan'liu'mi'zhuan'qing'hu'ting'zhuan'xiao'e'dong'jin'zhuan'bu'xiao
三教平心论二卷宋刘谧撰,san'jiao'ping'xin'lun'er'juan'song'liu'mi'zhuan
三角形之性质及其解法崔朝庆上海商务印书馆影印,san'jiao'xing'zhi'xing'zhi'ji'qi'jie'fa'cui'chao'qing'shang'hai'shang'wu'yin'shu'guan'ying'yin
三借庐赘谭,san'jie'lu'zhui'tan
三礼,san'li
三历撮要,san'li'cuo'yao
三礼考,san'li'kao
三礼考一卷宋眞德秀撰据学海类编本排印,san'li'kao'yi'juan'song'zhen'de'xiu'zhuan'ju'xue'hai'lei'bian'ben'pai'yin
三礼指要,san'li'zhi'yao
三礼指要一卷淸陈廷敬撰据学海类编本排印,san'li'zhi'yao'yi'juan'qing'chen'ting'jing'zhuan'ju'xue'hai'lei'bian'ben'pai'yin
三论玄义,san'lun'xuan'yi
三梦记一卷唐白行简撰,san'meng'ji'yi'juan'tang'bai'xing'jian'zhuan
三民主义与教育上海商务印书馆影印,san'min'zhu'yi'yu'jiao'yu'shang'hai'shang'wu'yin'shu'guan'ying'yin
三民主义周鲠生上海商务印书馆影印,san'min'zhu'yi'zhou'geng'sheng'shang'hai'shang'wu'yin'shu'guan'ying'yin
三命消息赋,san'ming'xiao'xi'fu
三命指迷赋一卷珞琭子撰宋岳珂补注,san'ming'zhi'mi'fu'yi'juan'luo'lu'zi'zhuan'song'yue'ke'bu'zhu
三目类序释评,san'mu'lei'xu'shi'ping
三农纪,san'nong'ji
三山郑菊山先生淸隽集一卷宋郑起撰元仇远辑,san'shan'zheng'ju'shan'xian'sheng'qing'juan'ji'yi'juan'song'zheng'qi'zhuan'yuan'chou'yuan'ji
三十国春秋辑本淸汤球辑,san'shi'guo'chun'qiu'ji'ben'qing'tang'qiu'ji
三事遡眞一卷明李豫亨撰,san'shi'su'zhen'yi'juan'ming'li'yu'heng'zhuan
三事遡眞一卷明李豫亨撰据宝颜堂秘笈本排印,san'shi'su'zhen'yi'juan'ming'li'yu'heng'zhuan'ju'bao'yan'tang'mi'ji'ben'pai'yin
三史同名录四十卷淸汪辉祖辑淸汪继培补,san'shi'tong'ming'lu'si'shi'juan'qing'wang'hui'zu'ji'qing'wang'ji'pei'bu
三事忠告四卷元张养浩撰,san'shi'zhong'gao'si'juan'yuan'zhang'yang'hao'zhuan
三事忠告四卷元张养浩撰据贷园丛书本排印,san'shi'zhong'gao'si'juan'yuan'zhang'yang'hao'zhuan'ju'dai'yuan'cong'shu'ben'pai'yin
三水小牍,san'shui'xiao'du
三松堂全集,san'song'tang'quan'ji
三松堂自序,san'song'tang'zi'xu
三苏文刘劲秋上海商务印书馆影印,san'su'wen'liu'jin'qiu'shang'hai'shang'wu'yin'shu'guan'ying'yin
三台便览,san'tai'bian'lan
三体摭韵,san'ti'zhi'yun
三统术详说,san'tong'shu'xiang'shuo
三吴水利附录一卷明归子宁撰,san'wu'shui'li'fu'lu'yi'juan'ming'gui'zi'ning'zhuan
三吴水利录四卷续录一卷明归有光撰,san'wu'shui'li'lu'si'juan'xu'lu'yi'juan'ming'gui'you'guang'zhuan
三吴水利论一卷明伍余福撰,san'wu'shui'li'lun'yi'juan'ming'wu'yu'fu'zhuan
三省山内风土杂识一卷淸严如煜撰,san'xing'shan'nei'feng'tu'za'shi'yi'juan'qing'yan'ru'yu'zhuan
三戌丛谭,san'xu'cong'tan
三学生国学,san'xue'sheng'guo'xue
三鱼堂日记二卷淸陆陇其撰,san'yu'tang'ri'ji'er'juan'qing'lu'long'qi'zhuan
三余赘笔一卷明都卬撰,san'yu'zhui'bi'yi'juan'ming'du'ang'zhuan
三垣列舍入宿去极集,san'yuan'lie'she'ru'su'qu'ji'ji
三垣七政二十八宿周天精鉴,san'yuan'qi'zheng'er'shi'ba'xiu'zhou'tian'jing'jian
三垣疏稿三卷明许誉卿撰,san'yuan'shu'gao'san'juan'ming'xu'yu'qing'zhuan
三垣疏稿三卷明许誉卿撰据艺海珠尘本排印,san'yuan'shu'gao'san'juan'ming'xu'yu'qing'zhuan'ju'yi'hai'zhu'chen'ben'pai'yin
三志己,san'zhi'ji
三志壬,san'zhi'ren
三志辛,san'zhi'xin
三字经,san'zi'jing
三字经训诂,san'zi'jing'xun'gu
桑蚕说,sang'can'shuo
桑蚕提要,sang'can'ti'yao
桑榆漫志一卷明陶辅撰,sang'yu'man'zhi'yi'juan'ming'tao'fu'zhuan
桑志,sang'zhi
骚略三卷淸高似孙撰,sao'lue'san'juan'qing'gao'si'sun'zhuan
骚坛秘语三卷明周履靖辑景夷门广牍本,sao'tan'mi'yu'san'juan'ming'zhou'lv'jing'ji'jing'yi'men'guang'du'ben
骚坛秘语三卷明周履靖撰,sao'tan'mi'yu'san'juan'ming'zhou'lv'jing'zhuan
扫叶庄一瓢老人医案,sao'ye'zhuang'yi'piao'lao'ren'yi'an
瑟谱六卷元熊朋来撰,se'pu'liu'juan'yuan'xiong'peng'lai'zhuan
瑟谱六卷元熊朋来撰景指海本,se'pu'liu'juan'yuan'xiong'peng'lai'zhuan'jing'zhi'hai'ben
瑟榭丛谈,se'xie'cong'tan
杀车槌法一卷明陶华撰,sha'che'chui'fa'yi'juan'ming'tao'hua'zhuan
沙河逸老小稿六卷淸马日管撰,sha'he'yi'lao'xiao'gao'liu'juan'qing'ma'ri'guan'zhuan
沙河逸老小稿六卷淸马曰管撰据粤雅堂丛书本排印,sha'he'yi'lao'xiao'gao'liu'juan'qing'ma'yue'guan'zhuan'ju'yue'ya'tang'cong'shu'ben'pai'yin
痧喉正义,sha'hou'zheng'yi
沙龙,sha'long
莎士比亚诗全集,sha'shi'bi'ya'shi'quan'ji
莎士比亚天仇记邵挺译上海商务印书馆影印,sha'shi'bi'ya'tian'chou'ji'shao'ting'yi'shang'hai'shang'wu'yin'shu'guan'ying'yin
莎士比亚周越然上海商务印书馆影印,sha'shi'bi'ya'zhou'yue'ran'shang'hai'shang'wu'yin'shu'guan'ying'yin
痧胀玉衡书,sha'zhang'yu'heng'shu
痧胀源流,sha'zhang'yuan'liu
沙州记一卷附录一卷刘宋段国撰淸张澍辑,sha'zhou'ji'yi'juan'fu'lu'yi'juan'liu'song'duan'guo'zhuan'qing'zhang'shu'ji
删补,shan'bu
