阿维,a'a
苯噻啶,ben'sai'ding
苯肾上腺素,ben'shen'shang'xian'su
苯妥英钠,ben'tuo'ying'na
苯妥英钠片,ben'tuo'ying'na'pian
苯溴马隆片,ben'xiu'ma'long'pian
苯唑青霉素,ben'zuo'qing'mei'su
比克,bi'ke
吡拉西坦氯化钠,bi'la'xi'tan'lv'hua'na
吡拉西坦片,bi'la'xi'tan'pian
彼洛彤赖氨酸氯化钠,bi'luo'tong'lai'an'suan'lv'hua'na
蓖麻油,bi'ma'you
吡嗪酰胺片,bi'qin'xian'an'pian
吡柔吡星,bi'rou'bi'xing
比沙可啶肠溶片,bi'sha'ke'ding'chang'rong'pian
苄达赖氨酸眼液,bian'da'lai'an'suan'yan'ye
表阿霉素,biao'a'mei'su
表阿霉素国产,biao'a'mei'su'guo'chan
别嘌呤醇,bie'piao'ling'chun
丙氨酰谷氨酰胺,bing'an'xian'gu'an'xian'an
丙泊酚,bing'bo'fen
丙泊酚针,bing'bo'fen'zhen
病毒唑眼水,bing'du'zuo'yan'shui
丙谷胺,bing'gu'an
丙磺舒片,bing'huang'shu'pian
丙基硫氧嘧啶,bing'ji'liu'yang'mi'ding
丙酸睾丸素,bing'suan'gao'wan'su
丙戊酸钠,bing'wu'suan'na
冰乙酸,bing'yi'suan
丙种球蛋白,bing'zhong'qiu'dan'bai
博德片,bo'de'pian
博健,bo'jian
博利康尼,bo'li'kang'ni
玻璃酸钠,bo'li'suan'na
波利维,bo'li'wei
博美欣分散片,bo'mei'xin'fen'san'pian
卜脑欣,bo'nao'xin
博宁,bo'ning
博爽水针,bo'shuang'shui'zhen
博鑫针,bo'xin'zhen
布比卡因,bu'bi'ka'yin
步复迈,bu'fu'mai
步复迈片,bu'fu'mai'pian
布洛芬,bu'luo'fen
布洛伪麻颗粒剂,bu'luo'wei'ma'ke'li'ji
布美他利片,bu'mei'ta'li'pian
布美他利针,bu'mei'ta'li'zhen
布美他尼片,bu'mei'ta'ni'pian
布美他尼针,bu'mei'ta'ni'zhen
补血蜜口服液,bu'xue'mi'kou'fu'ye
采乐洗剂,cai'yue'xi'ji
参麦注射液,can'mai'zhu'she'ye
参芪扶正液,can'qi'fu'zheng'ye
茶碱缓释片,cha'jian'huan'shi'pian
肠虫清,chang'chong'qing
长春瑞滨针,chang'chun'rui'bin'zhen
长春西汀百锐得,chang'chun'xi'ting'bai'rui'de
长春西汀片,chang'chun'xi'ting'pian
长春西汀葡萄糖,chang'chun'xi'ting'pu'tao'tang
长春新碱,chang'chun'xin'jian
长松,chang'song
长效尿崩停,chang'xiao'niao'beng'ting
长效青霉素,chang'xiao'qing'mei'su
长效心疼定,chang'xiao'xin'teng'ding
长效胰岛素,chang'xiao'yi'dao'su
超探头乳,chao'tan'tou'ru
臣功再欣,chen'gong'zai'xin
晨克头孢他啶,chen'ke'tou'bao'ta'ding
辰涛甘油果糖,chen'tao'gan'you'guo'tang
重组人干扰素膏,chong'zu'ren'gan'rao'su'gao
重组人红细胞生成素,chong'zu'ren'hong'xi'bao'sheng'cheng'su
重组人类细胞刺激因子,chong'zu'ren'lei'xi'bao'ci'ji'yin'zi
重组人生长激素,chong'zu'ren'sheng'zhang'ji'su
穿琥宁氯化钠,chuan'hu'ning'lv'hua'na
喘可治,chuan'ke'zhi
穿山龙,chuan'shan'long
垂体后叶素,chui'ti'hou'ye'su
赐尔泰片,ci'er'tai'pian
刺五加精制,ci'wu'jia'jing'zhi
磁显葡胺,ci'xian'pu'an
促肝细胞生长素,cu'gan'xi'bao'sheng'zhang'su
醋酸可的松眼水,cu'suan'ke'di'song'yan'shui
催产素,cui'chan'su
存货名称,cun'huo'ming'cheng
大扶康,da'fu'kang
大观霉素,da'guan'mei'su
达吉胶囊,da'ji'jiao'nang
达卡巴嗪,da'ka'ba'qin
达康芬乳膏,da'kang'fen'ru'gao
达克宁,da'ke'ning
达克宁栓进口,da'ke'ning'shuan'jin'kou
大力克,da'li'ke
达美康,da'mei'kang
大苏打,da'su'da
大蒜素注射液,da'suan'su'zhu'she'ye
达英,da'ying
达止苏二乙氨乙二胺,da'zhi'su'er'yi'an'yi'er'an
代丁阿德福韦酯片,dai'ding'a'de'fu'wei'zhi'pian
戴芬,dai'fen
丹奥,dan'ao
胆利欣,dan'li'xin
丹那唑,dan'na'zuo
丹那唑片,dan'na'zuo'pian
丹参酮胶囊,dan'shen'tong'jiao'nang
丹参注射液,dan'shen'zhu'she'ye
胆酸钠,dan'suan'na
胆通,dan'tong
氮稀米胺,dan'xi'mi'an
得宝松,de'bao'song
德高宁,de'gao'ning
的确当滴眼液,de'que'dang'di'yan'ye
灯盏花素针,deng'zhan'hua'su'zhen
迪艾洛维,di'ai'luo'wei
地奥心血康,di'ao'xin'xue'kang
地巴唑片,di'ba'zuo'pian
地丙醇,di'bing'chun
低分子肝素钙,di'fen'zi'gan'su'gai
低分子肝素钠,di'fen'zi'gan'su'na
低分子右旋糖苷,di'fen'zi'you'xuan'tang'gan
低钙腹膜透析液,di'gai'fu'mo'tou'xi'ye
狄高辛,di'gao'xin
地高辛片,di'gao'xin'pian
地卡因,di'ka'yin
迪克乐克双氯酚酸钠片,di'ke'le'ke'shuang'lv'fen'suan'na'pian
迪罗乃欣,di'luo'nai'xin
地麻液,di'ma'ye
迪巧钙片,di'qiao'gai'pian
地塞米松,di'sai'mi'song
低右氨基酸,di'you'an'ji'suan
碘苯脂针,dian'ben'zhi'zhen
典必殊眼膏,dian'bi'shu'yan'gao
典必舒眼水,dian'bi'shu'yan'shui
碘酊,dian'ding
碘甘油,dian'gan'you
碘海醇,dian'hai'chun
碘海醇注射液,dian'hai'chun'zhu'she'ye
碘化钾合剂,dian'hua'jia'he'ji
碘化油,dian'hua'you
碘化油针,dian'hua'you'zhen
碘普洛胺,dian'pu'luo'an
碘普罗胺,dian'pu'luo'an
颠茄合剂,dian'qie'he'ji
碘舒眼水,dian'shu'yan'shui
蝶脉灵,die'mai'ling
丁咯地尔粉针,ding'ge'di'er'fen'zhen
丁各地尔针,ding'ge'di'er'zhen
丁螺环酮,ding'luo'huan'tong
丁香油,ding'xiang'you
东宝笔,dong'bao'bi
东宝笔芯基因重组,dong'bao'bi'xin'ji'yin'chong'zu
东宝针头,dong'bao'zhen'tou
东莨菪碱,dong'liang'dang'jian
冬凌草,dong'ling'cao
冬眠灵,dong'mian'ling
都可喜,dou'ke'xi
杜冷丁,du'leng'ding
杜冷丁片,du'leng'ding'pian
渡洛捷片,du'luo'jie'pian
短棒状杆菌,duan'bang'zhuang'gan'jun
对氨基水扬酸钠,dui'an'ji'shui'yang'suan'na
多巴胺,duo'ba'an
多巴酚丁胺,duo'ba'fen'ding'an
多抗甲素,duo'kang'jia'su
多抗胶囊,duo'kang'jiao'nang
多滤平,duo'lv'ping
多美康,duo'mei'kang
多酶片,duo'mei'pian
多奈派齐片,duo'nai'pai'qi'pian
多索茶碱葡萄糖针,duo'suo'cha'jian'pu'tao'tang'zhen
多烯磷酯酰胆碱,duo'xi'lin'zhi'xian'dan'jian
多西他赛,duo'xi'ta'sai
多种微量元素,duo'zhong'wei'liang'yuan'su
多种维生素,duo'zhong'wei'sheng'su
厄贝沙坦片,e'bei'sha'tan'pian
维烟酸酯,e'yan'suan'zhi
莪术油,e'zhu'you
恩丹西酮,en'dan'xi'tong
恩丹西酮片,en'dan'xi'tong'pian
恩肤霜,en'fu'shuang
恩经复针,en'jing'fu'zhen
恩普洛氨苄丙磺舒,en'pu'luo'an'bian'bing'huang'shu
二甲双胍肠溶片,er'jia'shuang'gua'chang'rong'pian
二甲双胍片,er'jia'shuang'gua'pian
二甲双胍片进口,er'jia'shuang'gua'pian'jin'kou
二羟丙茶碱,er'qiang'bing'cha'jian
二羟丙茶碱康泰升,er'qiang'bing'cha'jian'kang'tai'sheng
二氢埃托菲,er'qing'ai'tuo'fei
二氢麦角碱,er'qing'mai'jiao'jian
二巯基丙磺酸钠,er'qiu'ji'bing'huang'suan'na
二乙酰氨乙酸乙二胺,er'yi'xian'an'yi'suan'yi'er'an
法多琳,fa'duo'lin
法莫替丁,fa'mo'ti'ding
法莫替丁氯化钠,fa'mo'ti'ding'lv'hua'na
泛硫乙胺胶囊,fan'liu'yi'an'jiao'nang
泛生舒复,fan'sheng'shu'fu
泛昔洛韦胶囊,fan'xi'luo'wei'jiao'nang
反应停,fan'ying'ting
方舟脑宁,fang'zhou'nao'ning
非布丙醇舒胆灵,fei'bu'bing'chun'shu'dan'ling
非洛地平片,fei'luo'di'ping'pian
非那雄胺胶囊,fei'na'xiong'an'jiao'nang
非诺贝特,fei'nuo'bei'te
菲诺片,fei'nuo'pian
非普拉宗,fei'pu'la'zong
菲迅奇甲磺酸帕珠沙星,fei'xun'qi'jia'huang'suan'pa'zhu'sha'xing
粉尘满注射液,fen'chen'man'zhu'she'ye
芬迪宁,fen'di'ning
芬太尼,fen'tai'ni
芬太尼透皮贴剂,fen'tai'ni'tou'pi'tie'ji
酚酞片,fen'tai'pian
锋多新,feng'duo'xin
锋洛欣头孢他啶,feng'luo'xin'tou'bao'ta'ding
锋派新哌酮舒巴坦钠,feng'pai'xin'pai'tong'shu'ba'tan'na
锋赛星,feng'sai'xing
锋泰林哌拉西林钠他唑巴坦,feng'tai'lin'pai'la'xi'lin'na'ta'zuo'ba'tan
佛迪胶囊,fo'di'jiao'nang
佛尔舒,fo'er'shu
辅酶,fu'a
福安欣针,fu'an'xin'zhen
呋布西林,fu'bu'xi'lin
呋布西林二叶神,fu'bu'xi'lin'er'ye'shen
氟达拉滨,fu'da'la'bin
扶尔泰,fu'er'tai
复方阿魏酸胶囊,fu'fang'a'wei'suan'jiao'nang
复方氨基比林,fu'fang'an'ji'bi'lin
复方氨基酸,fu'fang'an'ji'suan
复方斑蟊素,fu'fang'ban'mao'su
复方薄荷油,fu'fang'bo'he'you
复方醋酸氟轻松,fu'fang'cu'suan'fu'qing'song
复方丹参,fu'fang'dan'shen
复方地芬诺酯片,fu'fang'di'fen'nuo'zhi'pian
复方地西泮,fu'fang'di'xi'pan
复方泛影葡胺,fu'fang'fan'ying'pu'an
复方氟脲咪啶,fu'fang'fu'niao'mi'ding
复方苷草酸苷,fu'fang'gan'cao'suan'gan
复方肝浸膏片,fu'fang'gan'jin'gao'pian
复方环磷酰胺,fu'fang'huan'lin'xian'an
复方活脑素,fu'fang'huo'nao'su
复方卡托普利,fu'fang'ka'tuo'pu'li
复方康纳乐霜,fu'fang'kang'na'le'shuang
复方克霉唑擦剂,fu'fang'ke'mei'zuo'ca'ji
复方奎宁,fu'fang'kui'ning
复方雷尼替丁胶囊,fu'fang'lei'ni'ti'ding'jiao'nang
复方利血平氨苯喋啶,fu'fang'li'xue'ping'an'ben'die'ding
复方利血平片,fu'fang'li'xue'ping'pian
复方磷酸可待因溶液,fu'fang'lin'suan'ke'dai'yin'rong'ye
复方硫磺洗剂,fu'fang'liu'huang'xi'ji
复方氯化钠,fu'fang'lv'hua'na
复方氯硫洗剂,fu'fang'lv'liu'xi'ji
复方尿囊素片,fu'fang'niao'nang'su'pian
复方庆大普鲁卡因颗粒,fu'fang'qing'da'pu'lu'ka'yin'ke'li
复方水溶性维生素,fu'fang'shui'rong'xing'wei'sheng'su
复方头孢克洛胶囊,fu'fang'tou'bao'ke'luo'jiao'nang
复方头屑洗头膏,fu'fang'tou'xie'xi'tou'gao
复方托品酰胺眼水,fu'fang'tuo'pin'xian'an'yan'shui
复方新诺明,fu'fang'xin'nuo'ming
复方益肝灵,fu'fang'yi'gan'ling
复方益母胶囊,fu'fang'yi'mu'jiao'nang
复方樟脑擦剂,fu'fang'zhang'nao'ca'ji
妇复春,fu'fu'chun
氟桂嗪,fu'gui'qin
氟桂嗪胶囊,fu'gui'qin'jiao'nang
复合氨基酸,fu'he'an'ji'suan
复合磷酸氢钾,fu'he'lin'suan'qing'jia
肤疾宁,fu'ji'ning
伏甲索片,fu'jia'suo'pian
复降片,fu'jiang'pian
福康乐胶囊,fu'kang'le'jiao'nang
氟康唑,fu'kang'zuo
氟康唑胶囊,fu'kang'zuo'jiao'nang
氟康唑氯化钠,fu'kang'zuo'lv'hua'na
氟康唑针康立因,fu'kang'zuo'zhen'kang'li'yin
肤乐乳膏,fu'le'ru'gao
呋力,fu'li
富露施,fu'lu'shi
富露施泡藤片,fu'lu'shi'pao'teng'pian
富络克,fu'luo'ke
氟罗沙星胶囊,fu'luo'sha'xing'jiao'nang
氟罗沙星葡萄糖,fu'luo'sha'xing'pu'tao'tang
氟罗沙星针,fu'luo'sha'xing'zhen
氟吗宁粉针,fu'ma'ning'fen'zhen
富马酸亚铁片,fu'ma'suan'ya'tie'pian
氟吗西尼针,fu'ma'xi'ni'zhen
氟美松,fu'mei'song
氟米龙眼水,fu'mi'long'yan'shui
福莫司汀,fu'mo'si'ting
腹膜透析液,fu'mo'tou'xi'ye
福乃得,fu'nai'de
呋喃氟脲咪啶,fu'nan'fu'niao'mi'ding
呋喃坦啶,fu'nan'tan'ding
呋喃西林,fu'nan'xi'lin
呋尿苄青霉素钠,fu'niao'bian'qing'mei'su'na
氟脲苷,fu'niao'gan
氟脲咪啶,fu'niao'mi'ding
氟尿嘧啶,fu'niao'mi'ding
复诺定,fu'nuo'ding
氟哌啶醇,fu'pai'ding'chun
氟哌利多,fu'pai'li'duo
氟哌酸,fu'pai'suan
氟哌酸眼水,fu'pai'suan'yan'shui
肤轻松,fu'qing'song
呋塞米,fu'sai'mi
福沙谷氨酸诺氟沙星,fu'sha'gu'an'suan'nuo'fu'sha'xing
富山龙片,fu'shan'long'pian
腹蛇抗栓酶,fu'she'kang'shuan'mei
孚舒达,fu'shu'da
氟他胺片,fu'ta'an'pian
扶他林乳胶剂,fu'ta'lin'ru'jiao'ji
氟西汀片,fu'xi'ting'pian
盖诺针,gai'nuo'zhen
盖天力,gai'tian'li
盖胃平,gai'wei'ping
盖无双冲剂,gai'wu'shuang'chong'ji
肝安针,gan'an'zhen
肝宝片,gan'bao'pian
甘草酸单铵,gan'cao'suan'dan'an
甘草酸二铵,gan'cao'suan'er'an
肝复宁,gan'fu'ning
肝复肽,gan'fu'tai
甘克宁苦参碱,gan'ke'ning'ku'shen'jian
肝乐宁,gan'le'ning
甘利欣胶囊,gan'li'xin'jiao'nang
甘露醇,gan'lu'chun
甘露醇粉,gan'lu'chun'fen
甘露醇注射液,gan'lu'chun'zhu'she'ye
甘露聚糖肽针,gan'lu'ju'tang'tai'zhen
肝络欣胶囊,gan'luo'xin'jiao'nang
感冒胶囊,gan'mao'jiao'nang
干扰素,gan'rao'su
甘舒霖,gan'shu'lin
肝水解肽,gan'shui'jie'tai
肝素,gan'su
甘糖酯,gan'tang'zhi
甘糖酯丸,gan'tang'zhi'wan
肝欣泰针,gan'xin'tai'zhen
甘油果糖针,gan'you'guo'tang'zhen
甘油氯化钠,gan'you'lv'hua'na
高锰酸钾,gao'meng'suan'jia
高三尖杉酯,gao'san'jian'shan'zhi
高顺松胶囊,gao'shun'song'jiao'nang
高乌甲素,gao'wu'jia'su
高乌甲素片,gao'wu'jia'su'pian
高乌甲素针,gao'wu'jia'su'zhen
葛根葡萄糖液,ge'gen'pu'tao'tang'ye
葛根素氯化钠,ge'gen'su'lv'hua'na
葛根素麦普宁,ge'gen'su'mai'pu'ning
葛根素针,ge'gen'su'zhen
葛根素针博迈,ge'gen'su'zhen'bo'mai
格拉司琼胶囊,ge'la'si'qiong'jiao'nang
格拉司琼氯化钠,ge'la'si'qiong'lv'hua'na
格拉司琼水针,ge'la'si'qiong'shui'zhen
格列吡秦,ge'lie'bi'qin
格列吡嗪缓释片,ge'lie'bi'qin'huan'shi'pian
格列喹酮片,ge'lie'kui'tong'pian
格列美脲,ge'lie'mei'niao
格列齐特,ge'lie'qi'te
格列卫,ge'lie'wei
更年康,geng'nian'kang
更生霉素,geng'sheng'mei'su
更昔洛韦,geng'xi'luo'wei
更昔洛韦峰俐伟,geng'xi'luo'wei'feng'li'wei
更昔洛韦浦维,geng'xi'luo'wei'pu'wei
更昔洛韦韦康尔,geng'xi'luo'wei'wei'kang'er
更昔洛韦新青羽,geng'xi'luo'wei'xin'qing'yu
枸掾酸铋钾胶囊,gou'yuan'suan'bi'jia'jiao'nang
谷氨酸,gu'an'suan
谷氨酸钾,gu'an'suan'jia
谷氨酸钠,gu'an'suan'na
骨瓜提取物,gu'gua'ti'qu'wu
骨化二醇胶囊,gu'hua'er'chun'jiao'nang
谷康太灵,gu'kang'tai'ling
骨腊,gu'la
古立西片,gu'li'xi'pian
骨宁针,gu'ning'zhen
骨宁注射液,gu'ning'zhu'she'ye
骨肽,gu'tai
骨肽片,gu'tai'pian
谷维素,gu'wei'su
冠心宁针,guan'xin'ning'zhen
胱氨酸,guang'an'suan
光泰栓,guang'tai'shuan
鬼臼乙叉苷针,gui'jiu'yi'cha'gan'zhen
鲑鱼降钙素密盖息,gui'yu'jiang'gai'su'mi'gai'xi
国产,guo'chan
果胶铋,guo'jiao'bi
果糖二磷酸钠新亚果糖,guo'tang'er'lin'suan'na'xin'ya'guo'tang
过氧化碳酰胺粉针,guo'yang'hua'tan'xian'an'fen'zhen
哈尔,ha'er
海超加替沙星,hai'chao'jia'ti'sha'xing
海捷亚,hai'jie'ya
海昆肾喜,hai'kun'shen'xi
海利鲨胶囊角鲨烯,hai'li'sha'jiao'nang'jiao'sha'xi
海伦眼水,hai'lun'yan'shui
海脉素,hai'mai'su
海普林软膏,hai'pu'lin'ruan'gao
海斯维转化糖电解质,hai'si'wei'zhuan'hua'tang'dian'jie'zhi
汉防已甲素针,han'fang'yi'jia'su'zhen
汉光针,han'guang'zhen
含锌合剂,han'xin'he'ji
好的快气雾剂,hao'de'kuai'qi'wu'ji
郝智,hao'zhi
合艾琳针,he'ai'lin'zhen
核黄素磷酸钠,he'huang'su'lin'suan'na
赫姆诺胶囊,he'mu'nuo'jiao'nang
合心爽,he'xin'shuang
恒得片,heng'de'pian
恒森加替沙星片,heng'sen'jia'ti'sha'xing'pian
红花黄色素,hong'hua'huang'se'su
红花针,hong'hua'zhen
红花注射液,hong'hua'zhu'she'ye
红霉素,hong'mei'su
红霉素软膏,hong'mei'su'ruan'gao
红霉素眼膏,hong'mei'su'yan'gao
红霉素眼水,hong'mei'su'yan'shui
弘威雷,hong'wei'lei
护肤霜,hu'fu'shuang
护古针,hu'gu'zhen
琥珀酰明胶,hu'po'xian'ming'jiao
护手霜,hu'shou'shuang
琥乙红霉素,hu'yi'hong'mei'su
华蟾素,hua'chan'su
华法令,hua'fa'ling
华法令片,hua'fa'ling'pian
华克片,hua'ke'pian
滑石粉,hua'shi'fen
华士顺心乳酸左氧氟沙星,hua'shi'shun'xin'ru'suan'zuo'yang'fu'sha'xing
怀原型谷光甘肽,huai'yuan'xing'gu'guang'gan'tai
环孢素胶囊,huan'bao'su'jiao'nang
环丙沙星,huan'bing'sha'xing
环磷酰胺,huan'lin'xian'an
环磷腺苷葡胺粉针,huan'lin'xian'gan'pu'an'fen'zhen
磺胺增效剂片,huang'an'zeng'xiao'ji'pian
黄藤素针,huang'teng'su'zhen
黄体酮,huang'ti'tong
黄体酮胶丸,huang'ti'tong'jiao'wan
惠迪片,hui'di'pian
灰黄霉素,hui'huang'mei'su
茴三硫片,hui'san'liu'pian
活血通脉,huo'xue'tong'mai
肌氨肽苷针,ji'an'tai'gan'zhen
肌苷,ji'gan
肌苷粉针普辅,ji'gan'fen'zhen'pu'fu
吉它霉素,ji'ta'mei'su
己酮可可碱,ji'tong'ke'ke'jian
吉西他滨,ji'xi'ta'bin
急支糖浆,ji'zhi'tang'jiang
甲氨蝶呤,jia'an'die'ling
甲氨喋呤,jia'an'die'ling
甲氨碟呤,jia'an'die'ling
佳倍悦阿奇葡萄糖,jia'bei'yue'a'qi'pu'tao'tang
佳尔钠,jia'er'na
甲钴胺针,jia'gu'an'zhen
甲基睾丸素,jia'ji'gao'wan'su
甲基硫氧嘧啶,jia'ji'liu'yang'mi'ding
加兰他敏,jia'lan'ta'min
佳乐宁胶囊,jia'le'ning'jiao'nang
嘉利多维,jia'li'duo'wei
佳林,jia'lin
佳洛片,jia'luo'pian
甲氯芬酯,jia'lv'fen'zhi
甲强龙,jia'qiang'long
嘉泰针,jia'tai'zhen
加替沙星,jia'ti'sha'xing
加替沙星胶囊,jia'ti'sha'xing'jiao'nang
甲硝唑,jia'xiao'zuo
甲硝唑片,jia'xiao'zuo'pian
甲硝唑葡萄糖,jia'xiao'zuo'pu'tao'tang
甲销唑溶液,jia'xiao'zuo'rong'ye
甲硝唑注射液,jia'xiao'zuo'zhu'she'ye
甲氧苄胺嘧啶,jia'yang'bian'an'mi'ding
甲氧补骨酯酊,jia'yang'bu'gu'zhi'ding
甲氧补骨酯片,jia'yang'bu'gu'zhi'pian
加氧沙林,jia'yang'sha'lin
甲氧沙林片,jia'yang'sha'lin'pian
甲状腺片,jia'zhuang'xian'pian
甲紫液,jia'zi'ye
