安息香科,an'xi'xiang'ke
喜树旱莲木,xi'shu'han'lian'mu
狭叶坡垒,xia'ye'po'lei
线苞两型豆,xian'bao'liang'xing'dou
蚬木,xian'mu
香果树,xiang'guo'shu
香木莲,xiang'mu'lian
小二仙草科,xiao'er'xian'cao'ke
小钩叶藤,xiao'gou'ye'teng
斜翼,xie'yi
斜翼科,xie'yi'ke
馨香玉兰,xin'xiang'yu'lan
兴凯赤松,xing'kai'chi'song
绣球茜,xiu'qiu'qian
玄参科,xuan'shen'ke
雪白睡莲,xue'bai'shui'lian
烟豆,yan'dou
盐桦,yan'hua
羊角槭,yang'jiao'qi
杨柳科,yang'liu'ke
瑶山苣苔,yao'shan'ju'tai
药用野生稻,yao'yong'ye'sheng'dao
野大豆,ye'da'dou
野菱,ye'ling
异形玉叶金花,yi'xing'yu'ye'jin'hua
异颖草,yi'ying'cao
银缕梅,yin'lv'mei
银杉,yin'shan
银杏,yin'xing
银杏科,yin'xing'ke
罂粟科,ying'su'ke
永瓣藤,yong'ban'teng
油丹,you'dan
油麦吊云杉,you'mai'diao'yun'shan
油楠蚌壳树,you'nan'bang'ke'shu
油樟,you'zhang
榆科,yu'ke
玉龙蕨,yu'long'jue
羽叶点地梅,yu'ye'dian'di'mei
元宝山冷杉,yuan'bao'shan'leng'shan
缘毛红豆,yuan'mao'hong'dou
圆叶玉兰,yuan'ye'yu'lan
云南金钱槭,yun'nan'jin'qian'qi
云南蓝果树,yun'nan'lan'guo'shu
云南拟单性木兰,yun'nan'ni'dan'xing'mu'lan
云南肉豆蔻,yun'nan'rou'dou'kou
云南穗花杉,yun'nan'sui'hua'shan
芸香科,yun'xiang'ke
泽泻科,ze'xie'ke
樟科,zhang'ke
樟树香樟,zhang'shu'xiang'zhang
掌叶木,zhang'ye'mu
浙江楠,zhe'jiang'nan
中国蕨,zhong'guo'jue
中国蕨科,zhong'guo'jue'ke
中华结缕草,zhong'hua'jie'lv'cao
中名,zhong'ming
舟山新木姜子,zhou'shan'xin'mu'jiang'zi
蛛网萼,zhu'wang'e
紫椴,zi'duan
子宫草,zi'gong'cao
紫荆木,zi'jing'mu
紫檀青龙木,zi'tan'qing'long'mu
梓叶槭,zi'ye'qi
资源冷杉大院冷杉,zi'yuan'leng'shan'da'yuan'leng'shan
棕榈科,zong'lv'ke
钻天柳,zuan'tian'liu
