爱国统一战线,ai'guo'tong'yi'zhan'xian
不知其二,bu'zhi'qi'er
不值一顾,bu'zhi'yi'gu
不值一钱,bu'zhi'yi'qian
不值一哂,bu'zhi'yi'shen
不直一文,bu'zhi'yi'wen
不值一笑,bu'zhi'yi'xiao
蔡九,cai'jiu
蔡文姬,cai'wen'ji
灿然一新,can'ran'yi'xin
参一,can'yi
沧海一鳞,cang'hai'yi'lin
沧海一粟,cang'hai'yi'su
曹操,cao'cao
曹丞相,cao'cheng'xiang
草明,cao'ming
草书体势,cao'shu'ti'shi
草书之法,cao'shu'zhi'fa
曹禺,cao'yu
差不及一步,cha'bu'ji'yi'bu
差错或变故,cha'cuo'huo'bian'gu
差数步,cha'shu'bu
长度名,chang'du'ming
猖獗一时,chang'jue'yi'shi
朝天一柱香,chao'tian'yi'zhu'xiang
潮汐水,chao'xi'shui
彻底失败,che'di'shi'bai
车马軿驰,che'ma'ping'chi
沉不住气,chen'bu'zhu'qi
衬得,chen'de
陈傅良,chen'fu'liang
陈亮,chen'liang
沉小霞相会出师表,chen'xiao'xia'xiang'hui'chu'shi'biao
臣一,chen'yi
臣一主二,chen'yi'zhu'er
陈造,chen'zao
成败在此一举,cheng'bai'zai'ci'yi'ju
乘风破浪,cheng'feng'po'lang
承接关系,cheng'jie'guan'xi
澄一,cheng'yi
成一家言,cheng'yi'jia'yan
惩一戒百,cheng'yi'jie'bai
惩一儆百,cheng'yi'jing'bai
成长为,cheng'zhang'wei
尺八尺为步,chi'ba'chi'wei'bu
吃的又饱,chi'de'you'bao
尺六尺四寸为步,chi'liu'chi'si'cun'wei'bu
赤身露体,chi'shen'lu'ti
尺一板,chi'yi'ban
尺一牍,chi'yi'du
吃一节,chi'yi'jie
吃一看十,chi'yi'kan'shi
吃一箝,chi'yi'qian
吃一堑长一智,chi'yi'qian'zhang'yi'zhi
尺一诏,chi'yi'zhao
重抄旧业,chong'chao'jiu'ye
冲州撞府,chong'zhou'zhuang'fu
重足一迹,chong'zu'yi'ji
出处非千佛,chu'chu'fei'qian'fo
黜都监,chu'du'jian
出乎意料,chu'hu'yi'liao
初刻拍案惊奇,chu'ke'pai'an'jing'qi
出人之才,chu'ren'zhi'cai
出一头,chu'yi'tou
出一头地,chu'yi'tou'di
传了时症,chuan'le'shi'zheng
传习,chuan'xi
穿一条裤子,chuan'yi'tiao'ku'zi
川泽之示,chuan'ze'zhi'shi
吹皱一池春水,chui'zhou'yi'chi'chun'shui
春官,chun'guan
春来草自清,chun'lai'cao'zi'qing
淳一,chun'yi
纯一,chun'yi
纯一不杂,chun'yi'bu'za
此事今已一笔勾断,ci'shi'jin'yi'yi'bi'gou'duan
此一时,ci'yi'shi
此一时彼一时,ci'yi'shi'bi'yi'shi
聪明一世,cong'ming'yi'shi
从一,cong'yi
崔寅亮,cui'yin'liang
崔瑗,cui'yuan
存乎一心,cun'hu'yi'xin
村婆儿,cun'po'er
存十一于千百,cun'shi'yi'yu'qian'bai
大吃一惊,da'chi'yi'jing
打个小伞,da'ge'xiao'san
打个小伞前来,da'ge'xiao'san'qian'lai
答工部郎中,da'gong'bu'lang'zhong
大和尚,da'he'shang
大捞一把,da'lao'yi'ba
大麦粥,da'mai'zhou
大人先生传,da'ren'xian'sheng'chuan
大声说,da'sheng'shuo
大司乐,da'si'le
大统一理论,da'tong'yi'li'lun
大宛列传,da'wan'lie'zhuan
大一,da'yi
打一棒快毬子,da'yi'bang'kuai'qiu'zi
大一会,da'yi'hui
大一统,da'yi'tong
大崽,da'zai
大者数百,da'zhe'shu'bai
戴着镣铐,dai'zhe'liao'kao
耽搁一半天,dan'ge'yi'ban'tian
耽搁住了,dan'ge'zhu'le
荡寇志,dang'kou'zhi
当一日和尚撞一天钟,dang'yi'ri'he'shang'zhuang'yi'tian'zhong
当一天和尚撞一天钟,dang'yi'tian'he'shang'zhuang'yi'tian'zhong
道出个不字,dao'chu'ge'bu'zi
倒打一耙,dao'da'yi'pa
倒打一瓦,dao'da'yi'wa
道高一尺魔高一丈,dao'gao'yi'chi'mo'gao'yi'zhang
倒戈,dao'ge
到了如今,dao'le'ru'jin
倒使得,dao'shi'de
得个伤寒,de'ge'shang'han
德国十一月革命,de'guo'shi'yi'yue'ge'ming
得一,de'yi
得一望十,de'yi'wang'shi
得雨,de'yu
登第之后,deng'di'zhi'hou
登高一呼,deng'gao'yi'hu
等一大车,deng'yi'da'che
第二幕,di'er'mu
敌机,di'ji
抵暮张烛,di'mu'zhang'zhu
第三幕,di'san'mu
帝幸东都,di'xing'dong'du
墬形训,di'xing'xun
地一,di'yi
第一产业,di'yi'chan'ye
第一次国内革命战争,di'yi'ci'guo'nei'ge'ming'zhan'zheng
第一次世界大战,di'yi'ci'shi'jie'da'zhan
第一代电子计算机,di'yi'dai'dian'zi'ji'suan'ji
第一骨,di'yi'gu
第一官,di'yi'guan
第一号,di'yi'hao
第一品,di'yi'pin
的一确二,di'yi'que'er
第一人,di'yi'ren
第一人称,di'yi'ren'cheng
第一线,di'yi'xian
第一性,di'yi'xing
第一义,di'yi'yi
第一折,di'yi'zhe
巅一,dian'yi
點一點二,dian'yi'dian'er
点一点二,dian'yi'dian'er
顶门一针,ding'men'yi'zhen
定于一尊,ding'yu'yi'zun
洞察一切,dong'cha'yi'qie
东风第一枝,dong'feng'di'yi'zhi
董解元,dong'jie'yuan
东南一尉西北一候,dong'nan'yi'wei'xi'bei'yi'hou
冬日宴,dong'ri'yan
东堂老,dong'tang'lao
董一,dong'yi
东一耙子西一扫帚,dong'yi'pa'zi'xi'yi'sao'zhou
冬至,dong'zhi
冬至后至清明,dong'zhi'hou'zhi'qing'ming
斗絶一隅,dou'jue'yi'yu
独霸一方,du'ba'yi'fang
独步一时,du'bu'yi'shi
赌彩一掷,du'cai'yi'zhi
独出一时,du'chu'yi'shi
独此一家,du'ci'yi'jia
独此一家别无分店,du'ci'yi'jia'bie'wu'fen'dian
独当一面,du'dang'yi'mian
独树一帜,du'shu'yi'zhi
独竖一帜,du'shu'yi'zhi
独竪一帜,du'shu'yi'zhi
读通鉴论,du'tong'jian'lun
独一无二,du'yi'wu'er
端一,duan'yi
队间二十五步,dui'jian'er'shi'wu'bu
对酒歌,dui'jiu'ge
遁逃,dun'tao
多一半,duo'yi'ban
多一个,duo'yi'ge
多一事不如少一事,duo'yi'shi'bu'ru'shao'yi'shi
多一事不如省一事,duo'yi'shi'bu'ru'sheng'yi'shi
多余的肉,duo'yu'de'rou
蛾眉,e'mei
二虎相斗必有一伤,er'hu'xiang'dou'bi'you'yi'shang
二看三,er'kan'san
二刻拍案惊奇,er'ke'pai'an'jing'qi
二马,er'ma
二马一虎,er'ma'yi'hu
儿女英雄传,er'nv'ying'xiong'zhuan
二拍子,er'pai'zi
二三物外友,er'san'wu'wai'you
二十一条,er'shi'yi'tiao
二童一马,er'tong'yi'ma
法国一八四八年革命,fa'guo'yi'ba'si'ba'nian'ge'ming
发昏章第十一,fa'hun'zhang'di'shi'yi
法兰西第一帝国,fa'lan'xi'di'yi'di'guo
罚一劝百,fa'yi'quan'bai
范成大,fan'cheng'da
凡六乐者,fan'liu'le'zhe
反咬一口,fan'yao'yi'kou
翻一番,fan'yi'fan
反正一样,fan'zheng'yi'yang
泛指,fan'zhi
泛指多数,fan'zhi'duo'shu
房陵,fang'ling
方维夏,fang'wei'xia
放下茶杯,fang'xia'cha'bei
非比寻常,fei'bi'xun'chang
废去私有制度,fei'qu'si'you'zhi'du
肥皂厂,fei'zao'chang
纷纷不一,fen'fen'bu'yi
分与,fen'yu
風靡一世,feng'mi'yi'shi
风靡一世,feng'mi'yi'shi
凤目,feng'mu
风气为之一变,feng'qi'wei'zhi'yi'bian
風行一時,feng'xing'yi'shi
封一,feng'yi
讽一劝百,feng'yi'quan'bai
风雨急,feng'yu'ji
附和的人,fu'he'de'ren
附和者,fu'he'zhe
附论,fu'lun
妇女商店,fu'nv'shang'dian
复义,fu'yi
浮一大白,fu'yi'da'bai
付之一炬,fu'zhi'yi'ju
付之一叹,fu'zhi'yi'tan
付之一笑,fu'zhi'yi'xiao
付诸一炬,fu'zhu'yi'ju
付诸一笑,fu'zhu'yi'xiao
改大了,gai'da'le
改写一次,gai'xie'yi'ci
敢过去了,gan'guo'qu'le
肝脑涂地,gan'nao'tu'di
感事,gan'shi
赶往,gan'wang
高出一筹,gao'chu'yi'chou
高俅,gao'qiu
高人一筹,gao'ren'yi'chou
高人一等,gao'ren'yi'deng
高射炮手,gao'she'pao'shou
搞是搞好了,gao'shi'gao'hao'le
告子上,gao'zi'shang
高祖纪上,gao'zu'ji'shang
隔行不断,ge'hang'bu'duan
割据一方,ge'ju'yi'fang
葛立方,ge'li'fang
各执一词,ge'zhi'yi'ci
各种行业,ge'zhong'hang'ye
跟工人,gen'gong'ren
更进一竿,geng'jin'yi'gan
耕三余一,geng'san'yu'yi
更上一层楼,geng'shang'yi'ceng'lou
更无短计消长日,geng'wu'duan'ji'xiao'zhang'ri
工部郎中,gong'bu'lang'zhong
功亏一篑,gong'kui'yi'kui
共论,gong'lun
功名成就,gong'ming'cheng'jiu
宫女,gong'nv
公婆,gong'po
攻其一点不及其余,gong'qi'yi'dian'bu'ji'qi'yu
公孙丑,gong'sun'chou
供一茶之用,gong'yi'cha'zhi'yong
宫中,gong'zhong
苟安一隅,gou'an'yi'yu
固不相熟习,gu'bu'xiang'shu'xi
故称,gu'cheng
古代骑兵,gu'dai'qi'bing
故行首之字,gu'hang'shou'zhi'zi
古今小说,gu'jin'xiao'shuo
故园松竹已阴阴,gu'yuan'song'zhu'yi'yin'yin
故云,gu'yun
古者,gu'zhe
孤注一掷,gu'zhu'yi'zhi
寡人问,gua'ren'wen
挂一鈎子,gua'yi'gou'zi
挂一钩子,gua'yi'gou'zi
挂一漏万,gua'yi'lou'wan
关汉卿,guan'han'qing
惯一不着,guan'yi'bu'zhe
桂林一枝,gui'lin'yi'zhi
归十归一,gui'shi'gui'yi
桂折一枝,gui'zhe'yi'zhi
过急一步,guo'ji'yi'bu
郭沫若,guo'mo'ruo
还没有解决,hai'mei'you'jie'jue
海鸥小谱跋,hai'ou'xiao'pu'ba
海外三十六国,hai'wai'san'shi'liu'guo
汉奸势力,han'jian'shi'li
翰林,han'lin
寒食,han'shi
寒士,han'shi
寒食日,han'shi'ri
寒食为一百五日,han'shi'wei'yi'bai'wu'ri
汉书,han'shu
韩晓华,han'xiao'hua
汉宣帝,han'xuan'di
含一之德,han'yi'zhi'de
含着眼泪,han'zhe'yan'lei
汉字草书,han'zi'cao'shu
沆瀣一气,hang'xie'yi'qi
好朋友,hao'peng'you
貉一丘,hao'yi'qiu
郝懿行,hao'yi'xing
合成喇叭,he'cheng'la'ba
何典,he'dian
合二为一,he'er'wei'yi
合规矩,he'gui'ju
合两为一,he'liang'wei'yi
喝完了那碗凉茶,he'wan'le'na'wan'liang'cha
河阳一县花,he'yang'yi'xian'hua
合一,he'yi
和一,he'yi
黑漆一团,hei'qi'yi'tuan
恒河一沙,heng'he'yi'sha
轰动一时,hong'dong'yi'shi
哄动一时,hong'dong'yi'shi
洪迈,hong'mai
红一字,hong'yi'zi
后魏,hou'wei
胡公去狐,hu'gong'qu'hu
沍寒之地,hu'han'zhi'di
胡宏,hu'hong
狐鸣后圃中,hu'ming'hou'pu'zhong
胡越一家,hu'yue'yi'jia
胡子知言,hu'zi'zhi'yan
花边文学,hua'bian'wen'xue
滑铁卢,hua'tie'lu
滑胥疲民,hua'xu'pi'min
画一,hua'yi
划一不二,hua'yi'bu'er
画一法,hua'yi'fa
画一之法,hua'yi'zhi'fa
淮南子,huai'nan'zi
欢聚一堂,huan'ju'yi'tang
焕然一新,huan'ran'yi'xin
欢声已觉沸通衢,huan'sheng'yi'jue'fei'tong'qu
欢笑惟三五,huan'xiao'wei'san'wu
欢作乐,huan'zuo'le
黄霸,huang'ba
黄梁一梦,huang'liang'yi'meng
慌作一团,huang'zuo'yi'tuan
慌做一团,huang'zuo'yi'tuan
毁誉,hui'yu
徽宗,hui'zong
浑然一体,hun'ran'yi'ti
混然一体,hun'ran'yi'ti
混为一谈,hun'wei'yi'tan
混一,hun'yi
浑一似,hun'yi'si
混作一谈,hun'zuo'yi'tan
或一,huo'yi
或有一失,huo'you'yi'shi
及不得一脚指,ji'bu'de'yi'jiao'zhi
疾风甚雨,ji'feng'shen'yu
记贺龙,ji'he'long
寄虎丘范长老,ji'hu'qiu'fan'zhang'lao
季交恕,ji'jiao'shu
积劳成疾,ji'lao'cheng'ji
继其前行,ji'qi'qian'xing
计上心来,ji'shang'xin'lai
极少资本,ji'shao'zi'ben
几天不来,ji'tian'bu'lai
极小部分,ji'xiao'bu'fen
寄小读者,ji'xiao'du'zhe
纪昀,ji'yun
家庭骨肉,jia'ting'gu'rou
艰苦困难的日子,jian'ku'kun'nan'de'ri'zi
剑首一吷,jian'shou'yi'chuo
讲的内容,jiang'de'nei'rong
将近彼岸,jiang'jin'bi'an
姜夔,jiang'kui
将去温来,jiang'qu'wen'lai
江天一色,jiang'tian'yi'se
较短的时间,jiao'duan'de'shi'jian
鹪鹩一枝,jiao'liao'yi'zhi
斠然一概,jiao'ran'yi'gai
较若画一,jiao'ruo'hua'yi
斠若画一,jiao'ruo'hua'yi
缴学费,jiao'xue'fei
缴学费的事,jiao'xue'fei'de'shi
教一识百,jiao'yi'shi'bai
解决不同的问题,jie'jue'bu'tong'de'wen'ti
结了婚的人,jie'le'hun'de'ren
节气,jie'qi
皆全,jie'quan
阶下百诺,jie'xia'bai'nuo
借一,jie'yi
借一步,jie'yi'bu
借喻,jie'yu
今尔之去,jin'er'zhi'qu
进关时节,jin'guan'shi'jie
禁火三日,jin'huo'san'ri
今遽欲去之,jin'ju'yu'qu'zhi
尽旅怀,jin'lv'huai
金瓶梅词话,jin'ping'mei'ci'hua
今人,jin'ren
晋文公,jin'wen'gong
金线池,jin'xian'chi
进一步,jin'yi'bu
今置将不善,jin'zhi'jiang'bu'shan
今之为仁者,jin'zhi'wei'ren'zhe
荆楚岁时记,jing'chu'sui'shi'ji
景德传灯录,jing'de'chuan'deng'lu
经纪买卖,jing'ji'mai'mai
精一,jing'yi
经一失长一智,jing'yi'shi'zhang'yi'zhi
旧传,jiu'chuan
九合一匡,jiu'he'yi'kuang
久假不归,jiu'jia'bu'gui
九九归一,jiu'jiu'gui'yi
九牛一毫,jiu'niu'yi'hao
九牛一毛,jiu'niu'yi'mao
九仞一篑,jiu'ren'yi'kui
救人一命,jiu'ren'yi'ming
救人一命胜造七级浮图,jiu'ren'yi'ming'sheng'zao'qi'ji'fu'tu
旧唐书,jiu'tang'shu
酒席如何,jiu'xi'ru'he
九一八事变,jiu'yi'ba'shi'bian
救一车薪之火,jiu'yi'che'xin'zhi'huo
九月间,jiu'yue'jian
久坐必有一禅,jiu'zuo'bi'you'yi'chan
举国一致,ju'guo'yi'zhi
举一反三,ju'yi'fan'san
举一废百,ju'yi'fei'bai
绝火寒食,jue'huo'han'shi
决一雌雄,jue'yi'ci'xiong
决一死战,jue'yi'si'zhan
均兵,jun'bing
君火之位,jun'huo'zhi'wei
均一,jun'yi
开口道,kai'kou'dao
抗日民族统一战线,kang'ri'min'zu'tong'yi'zhan'xian
抗日游击战争,kang'ri'you'ji'zhan'zheng
可能发生的,ke'neng'fa'sheng'de
客套语,ke'tao'yu
可要急坏了,ke'yao'ji'huai'le
咳一声,ke'yi'sheng
空车,kong'che
空生得,kong'sheng'de
恐一变未息,kong'yi'bian'wei'xi
孔颖达,kong'ying'da
哭声哭得来,ku'sheng'ku'de'lai
跨步,kua'bu
跨步而过,kua'bu'er'guo
窥豹一斑,kui'bao'yi'ban
窥见一斑,kui'jian'yi'ban
窥见一斑半点,kui'jian'yi'ban'ban'dian
魁梧奇伟,kui'wu'qi'wei
夔一足,kui'yi'zu
来不了,lai'bu'liao
浪淘沙,lang'tao'sha
老去一杯足,lao'qu'yi'bei'zu
嘮三叨四,lao'san'dao'si
老少羸弱,lao'shao'lei'ruo
老舍,lao'she
老生儿,lao'sheng'er
老天隔不了一层纸,lao'tian'ge'bu'liao'yi'ceng'zhi
老一辈,lao'yi'bei
老一套,lao'yi'tao
老张的哲学,lao'zhang'de'zhe'xue
老子天下第一,lao'zi'tian'xia'di'yi
利出一孔,li'chu'yi'kong
立春日有怀,li'chun'ri'you'huai
历代不一,li'dai'bu'yi
历代名画记,li'dai'ming'hua'ji
离得远如一步也,li'de'yuan'ru'yi'bu'ye
李好义传,li'hao'yi'chuan
礼记,li'ji
李六如,li'liu'ru
礼先一饭,li'xian'yi'fan
立住了脚,li'zhu'le'jiao
连成长串,lian'cheng'chang'chuan
连一不二,lian'yi'bu'er
凉茶,liang'cha
两好合一好,liang'hao'he'yi'hao
两虎相斗必有一伤,liang'hu'xiang'dou'bi'you'yi'shang
两火一刀,liang'huo'yi'dao
两件事,liang'jian'shi
两脚间,liang'jiao'jian
两脚间的距离,liang'jiao'jian'de'ju'li
两口儿,liang'kou'er
两口儿眉头暂开放,liang'kou'er'mei'tou'zan'kai'fang
两人合穿一条裤子,liang'ren'he'chuan'yi'tiao'ku'zi
两眼一抹黑,liang'yan'yi'mo'hei
良莠不一,liang'you'bu'yi
聊备一格,liao'bei'yi'ge
聊当一茶,liao'dang'yi'cha
聊胜一筹,liao'sheng'yi'chou
麟凤一毛,lin'feng'yi'mao
林先生,lin'xian'sheng
临一篇,lin'yi'pian
令到,ling'dao
灵机一动,ling'ji'yi'dong
灵龛禅师,ling'kan'chan'shi
另一个问题,ling'yi'ge'wen'ti
凌云,ling'yun
留辅太子监国,liu'fu'tai'zi'jian'guo
柳南续笔,liu'nan'xu'bi
六十年的变迁,liu'shi'nian'de'bian'qian
六十骑为一辈,liu'shi'qi'wei'yi'bei
流水淘沙,liu'shui'tao'sha
流水淘沙不暂停,liu'shui'tao'sha'bu'zan'ting
六韬,liu'tao
六微旨大论,liu'wei'zhi'da'lun
刘向,liu'xiang
六一,liu'yi
六一儿童节,liu'yi'er'tong'jie
六一居士,liu'yi'ju'shi
六一老,liu'yi'lao
六一炉,liu'yi'lu
六一泥,liu'yi'ni
六一泉,liu'yi'quan
留一手,liu'yi'shou
六一翁,liu'yi'weng
刘禹锡,liu'yu'xi
龙女有十八变,long'nv'you'shi'ba'bian
露一手,lou'yi'shou
鲁光,lu'guang
路旁行李,lu'pang'xing'li
鲁迅,lu'xun
乱作一团,luan'zuo'yi'tuan
略见一斑,lue'jian'yi'ban
略窥一斑,lue'kui'yi'ban
略窥一班,lue'kui'yi'ban
略逊一筹,lue'xun'yi'chou
略知一二,lue'zhi'yi'er
论顾陆张吴用笔,lun'gu'lu'zhang'wu'yong'bi
论衡,lun'heng
论死,lun'si
骆宾王,luo'bin'wang
罗家河,luo'jia'he
罗掘一空,luo'jue'yi'kong
骆驼祥子,luo'tuo'xiang'zi
罗之一目,luo'zhi'yi'mu
履石渡水,lv'shi'du'shui
马儿往西行,ma'er'wang'xi'xing
马王堆一号汉墓帛画,ma'wang'dui'yi'hao'han'mu'bo'hua
马王堆一号汉墓帛画一本正经,ma'wang'dui'yi'hao'han'mu'bo'hua'yi'ben'zheng'jing
卖茶卖酒,mai'cha'mai'jiu
买卖行货,mai'mai'hang'huo
满盘皆输,man'pan'jie'shu
茅盾,mao'dun
貌堂堂一表非俗,mao'tang'tang'yi'biao'fei'su
眉清目秀,mei'qing'mu'xiu
眉头一蹙计上心来,mei'tou'yi'cu'ji'shang'xin'lai
眉头一放计上心来,mei'tou'yi'fang'ji'shang'xin'lai
眉头一展,mei'tou'yi'zhan
眉头暂开放,mei'tou'zan'kai'fang
每位一个,mei'wei'yi'ge
梅尧臣,mei'yao'chen
每运算一次,mei'yun'suan'yi'ci
门门都好,men'men'dou'hao
孟郊,meng'jiao
孟子,meng'zi
面目一新,mian'mu'yi'xin
面署第一,mian'shu'di'yi
民族音乐,min'zu'yin'yue
明罚令,ming'fa'ling
明其深旨,ming'qi'shen'zhi
冥一,ming'yi
名噪一时,ming'zao'yi'shi
名重一时,ming'zhong'yi'shi
莫读书若也,mo'du'shu'ruo'ye
魔高一尺道高一丈,mo'gao'yi'chi'dao'gao'yi'zhang
抹一鼻子灰,mo'yi'bi'zi'hui
莫衷一是,mo'zhong'yi'shi
没衷一是,mo'zhong'yi'shi
牟取,mou'qu
牟取最大利润,mou'qu'zui'da'li'run
某一地步,mou'yi'di'bu
目空一切,mu'kong'yi'qie
目空一世,mu'kong'yi'shi
拿破仑,na'po'lun
那碗凉茶,na'wan'liang'cha
拿一手,na'yi'shou
难保不被,nan'bao'bu'bei
南朝,nan'chao
南冠草,nan'guan'cao
南柯一梦,nan'ke'yi'meng
难容横海鳞,nan'rong'heng'hai'lin
内列为,nei'lie'wei
拈花一笑,nian'hua'yi'xiao
廿年剑化,nian'nian'jian'hua
念一,nian'yi
廿一史,nian'yi'shi
娘子,niang'zi
捏一把汗,nie'yi'ba'han
拧成一股,ning'cheng'yi'gu
宁一,ning'yi
牛之一毛,niu'zhi'yi'mao
女店员,nv'dian'yuan
女王,nv'wang
排场了我们一顿,pai'chang'le'wo'men'yi'dun
拚着一身剐敢把皇帝拉下马,pan'zhe'yi'shen'gua'gan'ba'huang'di'la'xia'ma
炮手,pao'shou
碰一鼻子灰,peng'yi'bi'zi'hui
睥睨一切,pi'ni'yi'qie
片言一字,pian'yan'yi'zi
贫农,pin'nong
平一,ping'yi
破釜沉舟,po'fu'chen'zhou
破题儿第一遭,po'ti'er'di'yi'zao
棋错一着,qi'cuo'yi'zhao
棋错一着满盘皆输,qi'cuo'yi'zhao'man'pan'jie'shu
其父犹以为未足,qi'fu'you'yi'wei'wei'zu
棋高一着,qi'gao'yi'zhao
棋高一着缚手缚脚,qi'gao'yi'zhao'fu'shou'fu'jiao
奇股民,qi'gu'min
漆黑一团,qi'hei'yi'tuan
骐骥一毛,qi'ji'yi'mao
气脉通连,qi'mai'tong'lian
齐心一力,qi'xin'yi'li
七叶一枝花,qi'ye'yi'zhi'hua
七一,qi'yi
浅薄的见解,qian'bo'de'jian'jie
前波未灭,qian'bo'wei'mie
前波未灭后波生,qian'bo'wei'mie'hou'bo'sheng
千棰打锣一棰定声,qian'chui'da'luo'yi'chui'ding'sheng
千棰打锣一棰定声一团和气,qian'chui'da'luo'yi'chui'ding'sheng'yi'tuan'he'qi
千锤打锣一锤定音,qian'chui'da'luo'yi'chui'ding'yin
千古一律,qian'gu'yi'lv
前后相去十步,qian'hou'xiang'qu'shi'bu
前集,qian'ji
千金一瓠,qian'jin'yi'hu
千金一壸,qian'jin'yi'kun
千金一笑,qian'jin'yi'xiao
千金一掷,qian'jin'yi'zhi
千金之裘非一狐之腋,qian'jin'zhi'qiu'fei'yi'hu'zhi'ye
千军易得一将难求,qian'jun'yi'de'yi'jiang'nan'qiu
千虑一得,qian'lv'yi'de
千年一律,qian'nian'yi'lv
千奴共一胆,qian'nu'gong'yi'dan
千篇一律,qian'pian'yi'lv
千人一面,qian'ren'yi'mian
千岁一时,qian'sui'yi'shi
千闻不如一见,qian'wen'bu'ru'yi'jian
钱物轻微,qian'wu'qing'wei
千羊之皮不如一狐之腋,qian'yang'zhi'pi'bu'ru'yi'hu'zhi'ye
千一,qian'yi
牵一发而动全身,qian'yi'fa'er'dong'quan'shen
前一阵子,qian'yi'zhen'zi
千载一逢,qian'zai'yi'feng
千载一合,qian'zai'yi'he
千载一日,qian'zai'yi'ri
千载一时,qian'zai'yi'shi
千载一弹,qian'zai'yi'tan
千载一遇,qian'zai'yi'yu
