阿根廷碱,a'gen'ting'jian
马瓦箭毒碱,ma'wa'jian'du'jian
麦角胺,mai'jiao'an
麦角克碱,mai'jiao'ke'jian
麦角柯宁碱,mai'jiao'ke'ning'jian
麦角生碱,mai'jiao'sheng'jian
麦角新碱,mai'jiao'xin'jian
麦角隐亭碱,mai'jiao'yin'ting'jian
脉羊耳兰碱,mai'yang'er'lan'jian
毛果天芥菜碱,mao'guo'tian'jie'cai'jian
毛木防己定碱,mao'mu'fang'ji'ding'jian
毛束草碱,mao'shu'cao'jian
毛叶冬珊瑚碱,mao'ye'dong'shan'hu'jian
毛叶含笑碱,mao'ye'han'xiao'jian
帽柱木碱,mao'zhu'mu'jian
迷迭香碱,mi'die'xiang'jian
猕猴桃碱,mi'hou'tao'jian
木防己宾碱,mu'fang'ji'bin'jian
木防己碱,mu'fang'ji'jian
木防己里定碱,mu'fang'ji'li'ding'jian
木姜子碱,mu'jiang'zi'jian
木兰花碱,mu'lan'hua'jian
木兰箭毒碱,mu'lan'jian'du'jian
那可汀,na'ke'ting
那碎因,na'sui'yin
南丁宁碱,nan'ding'ning'jian
南丁竹碱,nan'ding'zhu'jian
南天青碱,nan'tian'qing'jian
南天竹种碱,nan'tian'zhu'zhong'jian
尼古丁,ni'gu'ding
尼勒吉扔碱,ni'le'ji'reng'jian
尼润碱,ni'run'jian
牛角花素,niu'jiao'hua'su
牛心果碱,niu'xin'guo'jian
欧龙胆碱,ou'long'dan'jian
欧鼠李叶碱,ou'shu'li'ye'jian
杷拉乌定碱,pa'la'wu'ding'jian
派利文碱,pai'li'wen'jian
喷尼棒麦角碱,pen'ni'bang'mai'jiao'jian
霹雳萝芙辛碱,pi'li'luo'fu'xin'jian
奇科马宁碱,qi'ke'ma'ning'jian
棋盘花生碱,qi'pan'hua'sheng'jian
千层塔碱,qian'ceng'ta'jian
千金藤比斯碱,qian'jin'teng'bi'si'jian
千金藤碱,qian'jin'teng'jian
千里光宁碱,qian'li'guang'ning'jian
清风藤碱,qing'feng'teng'jian
青藤碱,qing'teng'jian
秋水仙碱,qiu'shui'xian'jian
去氢飞廉定,qu'qing'fei'lian'ding
犬问荆碱,quan'wen'jing'jian
全缘千里光碱,quan'yuan'qian'li'guang'jian
人血草碱,ren'xue'cao'jian
汝兰叶灵碱,ru'lan'ye'ling'jian
软齿花根碱,ruan'chi'hua'gen'jian
三刺皂荚碱,san'ci'zao'jia'jian
三尖杉碱,san'jian'shan'jian
山豆根碱,shan'dou'gen'jian
山柑子碱,shan'gan'zi'jian
山岗蠹吾碱,shan'gang'du'wu'jian
山梗菜碱,shan'geng'cai'jian
山蜡梅碱,shan'la'mei'jian
山莨菪碱,shan'liang'dang'jian
山缘草定碱,shan'yuan'cao'ding'jian
蛇根碱,she'gen'jian
蛇根素碱,she'gen'su'jian
深山黄堇碱,shen'shan'huang'jin'jian
石斛碱,shi'hu'jian
石斛醚碱石斛星碱,shi'hu'mi'jian'shi'hu'xing'jian
石斛宁碱,shi'hu'ning'jian
石松碱,shi'song'jian
石蒜碱,shi'suan'jian
蜀羊泉次碱,shu'yang'quan'ci'jian
薯蓣碱,shu'yu'jian
双青藤碱,shuang'qing'teng'jian
水甘草碱,shui'gan'cao'jian
水苏碱,shui'su'jian
四氢蛇根碱,si'qing'she'gen'jian
斯氏堇紫碱,si'shi'jin'zi'jian
松里汀,song'li'ting
碎叶紫堇碱,sui'ye'zi'jin'jian
它波宁,ta'bo'ning
唐松草檗碱,tang'song'cao'bo'jian
天芥菜碱,tian'jie'cai'jian
田麦角碱,tian'mai'jiao'jian
天山龙胆碱,tian'shan'long'dan'jian
条纹碱,tiao'wen'jian
筒箭毒次碱,tong'jian'du'ci'jian
铜色树碱,tong'se'shu'jian
头花千金藤素,tou'hua'qian'jin'teng'su
土藤碱,tu'teng'jian
陀罗碱,tuo'luo'jian
托品碱,tuo'pin'jian
橐吾碱,tuo'wu'jian
娃儿藤碱,wa'er'teng'jian
网球花定碱,wang'qiu'hua'ding'jian
维洛斯明碱,wei'luo'si'ming'jian
文采尼宁碱,wen'cai'ni'ning'jian
文朵灵碱,wen'duo'ling'jian
无根藤次碱,wu'gen'teng'ci'jian
无根藤碱,wu'gen'teng'jian
乌头芬碱,wu'tou'fen'jian
乌头碱,wu'tou'jian
乌头原碱,wu'tou'yuan'jian
乌药碱,wu'yao'jian
吴茱萸碱,wu'zhu'yu'jian
西贝母碱,xi'bei'mu'jian
西红柿碱,xi'hong'shi'jian
锡生藤碱,xi'sheng'teng'jian
喜树次碱,xi'shu'ci'jian
喜树碱,xi'shu'jian
西特斯日钦碱,xi'te'si'ri'qin'jian
西藏龙胆碱,xi'zang'long'dan'jian
香草木碱,xiang'cao'mu'jian
响铃豆碱,xiang'ling'dou'jian
相思子碱,xiang'si'zi'jian
香唐松草碱,xiang'tang'song'cao'jian
小蘗碱,xiao'bi'jian
小唐松草碱,xiao'tang'song'cao'jian
小星蒜碱,xiao'xing'suan'jian
缬草碱,xie'cao'jian
辛可宁,xin'ke'ning
绣线菊碱,xiu'xian'ju'a
血根碱,xue'gen'jian
蕈毒碱,xun'du'jian
崖椒碱,ya'jiao'jian
鸭脚木碱,ya'jiao'mu'jian
鸭脚树叶碱,ya'jiao'shu'ye'jian
亚美罂粟碱,ya'mei'ying'su'jian
鸭片黄碱,ya'pian'huang'jian
鸭嘴花定碱,ya'zui'hua'ding'jian
鸭嘴花碱,ya'zui'hua'jian
鸭嘴花考林酮碱,ya'zui'hua'kao'lin'tong'jian
烟碱,yan'jian
洋翠雀碱,yang'cui'que'jian
洋翠雀康宁,yang'cui'que'kang'ning
药根碱,yao'gen'jian
野百合碱,ye'bai'he'jian
夜合花碱,ye'he'hua'jian
野麦碱,ye'mai'jian
异谷树碱,yi'gu'shu'jian
异胡椒碱,yi'hu'jiao'jian
益母草碱,yi'mu'cao'jian
异欧鼠李碱,yi'ou'shu'li'jian
异千金藤碱,yi'qian'jin'teng'jian
一叶荻碱,yi'ye'di'jian
异种荷包牡丹碱,yi'zhong'he'bao'mu'dan'jian
印车前明碱,yin'che'qian'ming'jian
隐品碱,yin'pin'jian
茵芋碱,yin'yu'jian
硬飞燕草次碱,ying'fei'yan'cao'ci'jian
硬毛钩藤碱,ying'mao'gou'teng'jian
罂粟碱,ying'su'jian
罂粟壳碱,ying'su'ke'jian
鹰爪豆碱,ying'zhao'dou'jian
玉柏碱,yu'bai'jian
育亨宾,yu'heng'bin
玉红介芬胺,yu'hong'jie'fen'an
羽扇豆碱,yu'shan'dou'jian
雨石蒜碱,yu'shi'suan'jian
原阿片碱,yuan'a'pian'jian
原百部碱,yuan'bai'bu'jian
原荷叶碱,yuan'he'ye'jian
原间千金藤碱,yuan'jian'qian'jin'teng'jian
原千金藤碱,yuan'qian'jin'teng'jian
圆叶帽柱木碱,yuan'ye'mao'zhu'mu'jian
圆椎茄碱,yuan'zhui'jia'jian
芸香碱,yun'xiang'jian
樟柳碱,zhang'liu'jian
掌叶防己碱,zhang'ye'fang'ji'jian
樟叶木防己碱,zhang'ye'mu'fang'ji'jian
漳州水仙碱,zhang'zhou'shui'xian'jian
浙贝母碱,zhe'bei'mu'jian
枳椇碱,zhi'ju'a
止泻木宁,zhi'xie'mu'ning
中乌头碱,zhong'wu'tou'jian
猪屎豆次碱,zhu'shi'dou'ci'jian
竹叶椒碱,zhu'ye'jiao'jian
锥丝碱,zhui'si'jian
准番木瓜碱,zhun'fan'mu'gua'jian
准葛尔乌头碱,zhun'ge'er'wu'tou'jian
紫堇定碱,zi'jin'ding'jian
紫堇碱,zi'jin'jian
紫堇块茎碱,zi'jin'kuai'jing'jian
紫堇鳞茎碱,zi'jin'lin'jing'jian
紫堇洛星碱,zi'jin'luo'xing'jian
紫堇文碱,zi'jin'wen'jian
紫杉醇,zi'shan'chun
紫薇碱,zi'wei'jian
紫鸦片碱,zi'ya'pian'jian
