八股文,ba'gu'wen
卷轴如古字画的卷轴,juan'zhou'ru'gu'zi'hua'de'juan'zhou
绝版,jue'ban
绝版图书,jue'ban'tu'shu
楷书,kai'shu
勘误表,kan'wu'biao
康健整理版,kang'jian'zheng'li'ban
考古学,kao'gu'xue
考据学,kao'ju'xue
考证,kao'zheng
刻版排印,ke'ban'pai'yin
刻本,ke'ben
刻刀,ke'dao
刻工,ke'gong
科技文献,ke'ji'wen'xian
珂罗版,ke'luo'ban
刻字,ke'zi
类书,lei'shu
礼记,li'ji
隶书,li'shu
联合国教科文组织,lian'he'guo'jiao'ke'wen'zu'zhi
论语,lun'yu
麻制纸,ma'zhi'zhi
毛本切边,mao'ben'qie'bian
毛笔,mao'bi
毛边,mao'bian
毛边本,mao'bian'ben
毛边书,mao'bian'shu
毛边纸,mao'bian'zhi
孟子,meng'zi
民间传说,min'jian'chuan'shuo
民俗,min'su
民谣,min'yao
铭文,ming'wen
摹本,mo'ben
木版彩色画,mu'ban'cai'se'hua
木版彩印术,mu'ban'cai'yin'shu
木版画,mu'ban'hua
木版书,mu'ban'shu
木版印刷术,mu'ban'yin'shua'shu
目次见后页,mu'ci'jian'hou'ye
目次页,mu'ci'ye
木雕术,mu'diao'shu
木牍,mu'du
木简,mu'jian
木刻,mu'ke
木刻板,mu'ke'ban
木刻版,mu'ke'ban
木刻本,mu'ke'ben
木刻术,mu'ke'shu
目录,mu'lu
目录更新,mu'lu'geng'xin
目录工具书,mu'lu'gong'ju'shu
目录工作,mu'lu'gong'zuo
目录管理目录维护,mu'lu'guan'li'mu'lu'wei'hu
目录简报期刊的,mu'lu'jian'bao'qi'kan'de
目录结构,mu'lu'jie'gou
目录卡,mu'lu'ka
目录卡排列法,mu'lu'ka'pai'lie'fa
目录卡片档案,mu'lu'ka'pian'dang'an
目录体系,mu'lu'ti'xi
目录学,mu'lu'xue
目录学家,mu'lu'xue'jia
目录学史书目沿革,mu'lu'xue'shi'shu'mu'yan'ge
目录组织,mu'lu'zu'zhi
目录组织规则,mu'lu'zu'zhi'gui'ze
墓志铭,mu'zhi'ming
内部发行,nei'bu'fa'xing
内部发行出版物,nei'bu'fa'xing'chu'ban'wu
内部刊物,nei'bu'kan'wu
泥版,ni'ban
拟稿,ni'gao
泥活字,ni'huo'zi
匿名文献,ni'ming'wen'xian
年报,nian'bao
年表,nian'biao
年代复分号编,nian'dai'fu'fen'hao'bian
年代号,nian'dai'hao
年号,nian'hao
年会,nian'hui
年鉴,nian'jian
年历,nian'li
年流通量年发行量,nian'liu'tong'liang'nian'fa'xing'liang
年谱,nian'pu
皮面烫金本,pi'mian'tang'jin'ben
皮面装订,pi'mian'zhuang'ding
皮面装订本,pi'mian'zhuang'ding'ben
篇幅,pian'fu
篇幅说明如书的页数录音带长度等,pian'fu'shuo'ming'ru'shu'de'ye'shu'lu'yin'dai'chang'du'deng
骈句,pian'ju
篇名,pian'ming
篇名关键词标引法,pian'ming'guan'jian'ci'biao'yin'fa
篇名目录,pian'ming'mu'lu
篇名索引,pian'ming'suo'yin
篇名文摘,pian'ming'wen'zhai
篇目,pian'mu
偏旁,pian'pang
篇身片文献制成胶片时第一张为篇首片其余为篇身片复,pian'shen'pian'wen'xian'zhi'cheng'jiao'pian'shi'di'yi'zhang'wei'pian'shou'pian'qi'yu'wei'pian'shen'pian'fu
骈文,pian'wen
篇章,pian'zhang
偏重,pian'zhong
拼音,pin'yin
拼音文字,pin'yin'wen'zi
拼音字母,pin'yin'zi'mu
评价,ping'jia
评介,ping'jie
评论,ping'lun
评论家,ping'lun'jia
评论文章,ping'lun'wen'zhang
评论性书目,ping'lun'xing'shu'mu
评论性文摘,ping'lun'xing'wen'zhai
评论性注释评注,ping'lun'xing'zhu'shi'ping'zhu
评述版,ping'shu'ban
平纹细布装,ping'wen'xi'bu'zhuang
评选,ping'xuan
评议,ping'yi
评阅,ping'yue
评注本,ping'zhu'ben
评传,ping'zhuan
平装,ping'zhuang
平装本,ping'zhuang'ben
平装书,ping'zhuang'shu
破损本,po'sun'ben
破损缺页指书刊,po'sun'que'ye'zhi'shu'kan
破损图书,po'sun'tu'shu
破损页,po'sun'ye
破损字印,po'sun'zi'yin
普及版图书,pu'ji'ban'tu'shu
普及本,pu'ji'ben
普通版,pu'tong'ban
普通话,pu'tong'hua
起笔每字的第一笔,qi'bi'mei'zi'de'di'yi'bi
期号,qi'hao
期刊,qi'kan
期刊馆藏,qi'kan'guan'cang
期刊管理,qi'kan'guan'li
期刊合并,qi'kan'he'bing
期刊库,qi'kan'ku
期刊联合目录,qi'kan'lian'he'mu'lu
期刊论文,qi'kan'lun'wen
期刊论文统计,qi'kan'lun'wen'tong'ji
期刊评价,qi'kan'ping'jia
期刊索引,qi'kan'suo'yin
期刊缩印版,qi'kan'suo'yin'ban
期刊文献,qi'kan'wen'xian
期刊序号,qi'kan'xu'hao
期刊专藏,qi'kan'zhuan'cang
骑马钉装订,qi'ma'ding'zhuang'ding
启蒙读物入门书,qi'meng'du'wu'ru'men'shu
期限,qi'xian
齐行,qi'xing
歧义词,qi'yi'ci
铅版,qian'ban
签名本题署本作者签名留念本,qian'ming'ben'ti'shu'ben'zuo'zhe'qian'ming'liu'nian'ben
签名签字,qian'ming'qian'zi
铅字,qian'zi
亲笔鉴名,qin'bi'jian'ming
亲笔题赠的,qin'bi'ti'zeng'de
侵犯版权,qin'fan'ban'quan
侵犯著作权,qin'fan'zhu'zuo'quan
清点图书,qing'dian'tu'shu
清样,qing'yang
清样校对人,qing'yang'jiao'dui'ren
全部出版指多卷本或系列书,quan'bu'chu'ban'zhi'duo'juan'ben'huo'xi'lie'shu
全布面装,quan'bu'mian'zhuang
全革装,quan'ge'zhuang
全国联合目录,quan'guo'lian'he'mu'lu
全国总书目,quan'guo'zong'shu'mu
全集,quan'ji
全金边指书籍装潢,quan'jin'bian'zhi'shu'ji'zhuang'huang
全卷,quan'juan
全面主题,quan'mian'zhu'ti
全皮装订,quan'pi'zhuang'ding
全球版,quan'qiu'ban
诠释,quan'shi
全套,quan'tao
全套丛书,quan'tao'cong'shu
权威著者,quan'wei'zhu'zhe
全文本未删节本,quan'wen'ben'wei'shan'jie'ben
全译本期刊各期的全文译本,quan'yi'ben'qi'kan'ge'qi'de'quan'wen'yi'ben
全张翻版印印,quan'zhang'fan'ban'yin'yin
全张翻转印印,quan'zhang'fan'zhuan'yin'yin
全张套版印,quan'zhang'tao'ban'yin
诠注,quan'zhu
全传描述被传人一生历史情况的传记作品,quan'zhuan'miao'shu'bei'chuan'ren'yi'sheng'li'shi'qing'kuang'de'zhuan'ji'zuo'pin
缺页,que'ye
人名辞典,ren'ming'ci'dian
人名录已故人名录,ren'ming'lu'yi'gu'ren'ming'lu
人名索引,ren'ming'suo'yin
儒家经书,ru'jia'jing'shu
儒家经传,ru'jia'jing'zhuan
散本书零本书,san'ben'shu'ling'ben'shu
散册零本,san'ce'ling'ben
散卷,san'juan
三十二开本,san'shi'er'kai'ben
三十六开本,san'shi'liu'kai'ben
散书页,san'shu'ye
散文集,san'wen'ji
散页,san'ye
散叶书未装订成册的书,san'ye'shu'wei'zhuang'ding'cheng'ce'de'shu
散页文献,san'ye'wen'xian
散叶装订,san'ye'zhuang'ding
三种文字对照出版物,san'zhong'wen'zi'dui'zhao'chu'ban'wu
三种语言对照词典,san'zhong'yu'yan'dui'zhao'ci'dian
散装本,san'zhuang'ben
桑皮纸,sang'pi'zhi
善本书,shan'ben'shu
善本书库,shan'ben'shu'ku
善本书目,shan'ben'shu'mu
缮写,shan'xie
审定版,shen'ding'ban
审订教材,shen'ding'jiao'cai
审读注审阅稿件时的批注,shen'du'zhu'shen'yue'gao'jian'shi'de'pi'zhu
审稿,shen'gao
审稿工作,shen'gao'gong'zuo
审稿员,shen'gao'yuan
神话,shen'hua
神话故事,shen'hua'gu'shi
神话故事集,shen'hua'gu'shi'ji
审批手续,shen'pi'shou'xu
审阅,shen'yue
省略书名,sheng'lue'shu'ming
省略说明,sheng'lue'shuo'ming
省字符,sheng'zi'fu
石版印,shi'ban'yin
石碑,shi'bei
史册,shi'ce
失传,shi'chuan
史官古代编史者,shi'guan'gu'dai'bian'shi'zhe
诗集,shi'ji
世界书目控制规划,shi'jie'shu'mu'kong'zhi'gui'hua
世界文献目录,shi'jie'wen'xian'mu'lu
世界性书目,shi'jie'xing'shu'mu
石经,shi'jing
诗经,shi'jing
诗剧,shi'ju
诗句,shi'ju
石刻,shi'ke
石窟,shi'ku
史料,shi'liao
史前时代,shi'qian'shi'dai
史诗叙事诗,shi'shi'xu'shi'shi
史书史籍,shi'shu'shi'ji
诗选,shi'xuan
史学,shi'xue
史学家,shi'xue'jia
石印,shi'yin
石印纸,shi'yin'zhi
收藏,shou'cang
收藏家,shou'cang'jia
手册,shou'ce
手抄本,shou'chao'ben
手抄本抄写人,shou'chao'ben'chao'xie'ren
手稿本,shou'gao'ben
手稿文献,shou'gao'wen'xian
手稿学,shou'gao'xue
手工编目,shou'gong'bian'mu
手工制版,shou'gong'zhi'ban
手工装订,shou'gong'zhuang'ding
手迹,shou'ji
手写卡片,shou'xie'ka'pian
手写体,shou'xie'ti
书板,shu'ban
书报,shu'bao
书本式,shu'ben'shi
书本式目录,shu'ben'shi'mu'lu
书标,shu'biao
书档,shu'dang
书的封面封底,shu'de'feng'mian'feng'di
书的护封,shu'de'hu'feng
书的篇幅,shu'de'pian'fu
书法,shu'fa
书法家,shu'fa'jia
书法形式,shu'fa'xing'shi
书号,shu'hao
书画制版法,shu'hua'zhi'ban'fa
书脊,shu'ji
书籍插图,shu'ji'cha'tu
书籍开本,shu'ji'kai'ben
书脊书名书脊题名,shu'ji'shu'ming'shu'ji'ti'ming
书脊印字,shu'ji'yin'zi
书籍装订术,shu'ji'zhuang'ding'shu
书籍装饰,shu'ji'zhuang'shi
书脊装饰,shu'ji'zhuang'shi
书籍装帧,shu'ji'zhuang'zhen
书夹,shu'jia
书经,shu'jing
书局,shu'ju
书卷写成卷轴的古书,shu'juan'xie'cheng'juan'zhou'de'gu'shu
书卡,shu'ka
书刊,shu'kan
书刊检查,shu'kan'jian'cha
书刊审查制度,shu'kan'shen'cha'zhi'du
书刊小贩,shu'kan'xiao'fan
书库,shu'ku
书目,shu'mu
书目编制,shu'mu'bian'zhi
书目的书目书志目录,shu'mu'de'shu'mu'shu'zhi'mu'lu
书目分类法,shu'mu'fen'lei'fa
书目文献工作,shu'mu'wen'xian'gong'zuo
书目沿革目录学史,shu'mu'yan'ge'mu'lu'xue'shi
书目中心,shu'mu'zhong'xin
书目著录书目描述,shu'mu'zhu'lu'shu'mu'miao'shu
书目资料库,shu'mu'zi'liao'ku
书皮纸,shu'pi'zhi
书评,shu'ping
书评家,shu'ping'jia
书评刊物书评杂志,shu'ping'kan'wu'shu'ping'za'zhi
书评栏,shu'ping'lan
书评摘要,shu'ping'zhai'yao
书评作者,shu'ping'zuo'zhe
书签丝带装,shu'qian'si'dai'zhuang
抒情散文,shu'qing'san'wen
抒情诗,shu'qing'shi
抒情诗人,shu'qing'shi'ren
书史,shu'shi
书摊,shu'tan
书套,shu'tao
书亭,shu'ting
书写错误,shu'xie'cuo'wu
书写规则,shu'xie'gui'ze
书写区,shu'xie'qu
书写体,shu'xie'ti
书写形式,shu'xie'xing'shi
书写字,shu'xie'zi
书信集,shu'xin'ji
书信体,shu'xin'ti
书信体诗文,shu'xin'ti'shi'wen
书信体小说,shu'xin'ti'xiao'shuo
书型,shu'xing
书型排列法,shu'xing'pai'lie'fa
书型说明,shu'xing'shuo'ming
书讯,shu'xun
书业,shu'ye
书业词汇,shu'ye'ci'hui
书业手册,shu'ye'shou'ce
书业学,shu'ye'xue
书院,shu'yuan
书展,shu'zhan
说明性文摘,shuo'ming'xing'wen'zhai
说明语句,shuo'ming'yu'ju
丝带书签一头固定在书脊上端可做书签,si'dai'shu'qian'yi'tou'gu'ding'zai'shu'ji'shang'duan'ke'zuo'shu'qian
四德,si'de
私翻版,si'fan'ban
私翻本,si'fan'ben
私立图书馆,si'li'tu'shu'guan
私人藏书,si'ren'cang'shu
私人收藏本,si'ren'shou'cang'ben
四十八开本,si'shi'ba'kai'ben
四书,si'shu
四象,si'xiang
思想评论,si'xiang'ping'lun
私营或私立出版社,si'ying'huo'si'li'chu'ban'she
丝质纸,si'zhi'zhi
宋刻本,song'ke'ben
宋刻本中国,song'ke'ben'zhong'guo
宋体字,song'ti'zi
俗语,su'yu
随笔,sui'bi
索引,suo'yin
索引词,suo'yin'ci
拓本,ta'ben
拓片,ta'pian
套版,tao'ban
套印,tao'yin
套印本,tao'yin'ben
天书高深莫测的书,tian'shu'gao'shen'mo'ce'de'shu
天头,tian'tou
田园诗,tian'yuan'shi
童蒙,tong'meng
拓印,tuo'yin
拓制,tuo'zhi
文史,wen'shi
文史馆文史资料馆,wen'shi'guan'wen'shi'zi'liao'guan
文史资料,wen'shi'zi'liao
文首题名,wen'shou'ti'ming
文书文牍人员,wen'shu'wen'du'ren'yuan
文坛,wen'tan
文体文章体裁风格,wen'ti'wen'zhang'ti'cai'feng'ge
文体学,wen'ti'xue
文物,wen'wu
文物工作者,wen'wu'gong'zuo'zhe
文献,wen'xian
文献爆炸,wen'xian'bao'zha
文献单元,wen'xian'dan'yuan
文献分布,wen'xian'fen'bu
文献分析,wen'xian'fen'xi
文献工作标准,wen'xian'gong'zuo'biao'zhun
文献汇编,wen'xian'hui'bian
文献记录片,wen'xian'ji'lu'pian
文献鉴定,wen'xian'jian'ding
文献检索,wen'xian'jian'suo
文献库,wen'xian'ku
文献款目,wen'xian'kuan'mu
文献来源,wen'xian'lai'yuan
文献类目文献范畴,wen'xian'lei'mu'wen'xian'fan'chou
文献类型,wen'xian'lei'xing
文献类族,wen'xian'lei'zu
文献利用率,wen'xian'li'yong'lv
文献情报学文献信息学,wen'xian'qing'bao'xue'wen'xian'xin'xi'xue
文献提供,wen'xian'ti'gong
文献统计学,wen'xian'tong'ji'xue
文献文摘检索,wen'xian'wen'zhai'jian'suo
文献修复,wen'xian'xiu'fu
文献学,wen'xian'xue
文献载体,wen'xian'zai'ti
文献贮藏馆,wen'xian'zhu'cang'guan
文献著录,wen'xian'zhu'lu
文献著录对象,wen'xian'zhu'lu'dui'xiang
文献资料来源索引,wen'xian'zi'liao'lai'yuan'suo'yin
文选,wen'xuan
文学流派,wen'xue'liu'pai
文学批评,wen'xue'pi'ping
文学手稿,wen'xue'shou'gao
文学体裁,wen'xue'ti'cai
文学小品,wen'xue'xiao'pin
文学学士,wen'xue'xue'shi
文学增刊,wen'xue'zeng'kan
文言,wen'yan
文言文,wen'yan'wen
文艺创作,wen'yi'chuang'zuo
文艺评论,wen'yi'ping'lun
文摘,wen'zhai
系辞,xi'ci
孝经,xiao'jing
小传,xiao'zhuan
小篆,xiao'zhuan
小字本,xiao'zi'ben
姓名标引法,xing'ming'biao'yin'fa
修版,xiu'ban
修补本,xiu'bu'ben
修订,xiu'ding
绣像小说,xiu'xiang'xiao'shuo
袖珍本,xiu'zhen'ben
续集,xu'ji
绪论,xu'lun
序言,xu'yan
绪言,xu'yan
选集,xuan'ji
选题,xuan'ti
选译,xuan'yi
宣纸,xuan'zhi
学报,xue'bao
学科,xue'ke
学科分类法,xue'ke'fen'lei'fa
学派,xue'pai
学期,xue'qi
学期论文,xue'qi'lun'wen
学区图书馆,xue'qu'tu'shu'guan
学生版,xue'sheng'ban
学士学位论文大学毕业论文,xue'shi'xue'wei'lun'wen'da'xue'bi'ye'lun'wen
学术报告,xue'shu'bao'gao
学术成就,xue'shu'cheng'jiu
学术出版社,xue'shu'chu'ban'she
学术出版物书店,xue'shu'chu'ban'wu'shu'dian
学术界,xue'shu'jie
学术界人士,xue'shu'jie'ren'shi
学术领域,xue'shu'ling'yu
学术论文,xue'shu'lun'wen
学术权威,xue'shu'quan'wei
学术水平,xue'shu'shui'ping
学术讨论会,xue'shu'tao'lun'hui
学术团体,xue'shu'tuan'ti
学术性出版物,xue'shu'xing'chu'ban'wu
学术性刊物学术性杂志,xue'shu'xing'kan'wu'xue'shu'xing'za'zhi
学术性图书馆,xue'shu'xing'tu'shu'guan
学术研究,xue'shu'yan'jiu
学说,xue'shuo
学位论文,xue'wei'lun'wen
训诂学,xun'gu'xue
研究课题,yan'jiu'ke'ti
研究论文,yan'jiu'lun'wen
研讨会,yan'tao'hui
阳历,yang'li
阳文,yang'wen
阳文铅字,yang'wen'qian'zi
野史,ye'shi
译本,yi'ben
一次文献原始文献,yi'ci'wen'xian'yuan'shi'wen'xian
译丛,yi'cong
异读,yi'du
遗稿,yi'gao
易经,yi'jing
佚名的,yi'ming'de
佚书,yi'shu
遗书,yi'shu
异体字,yi'ti'zi
异文,yi'wen
遗著,yi'zhu
阴历,yin'li
阴文,yin'wen
英汉对照读本,ying'han'dui'zhao'du'ben
约稿,yue'gao
杂史,za'shi
载入,zai'ru
增补版,zeng'bu'ban
札记,zha'ji
征稿,zheng'gao
钟鼎文金文,zhong'ding'wen'jin'wen
中国古典文献学专业词汇,zhong'guo'gu'dian'wen'xian'xue'zhuan'ye'ci'hui
中国古典文学,zhong'guo'gu'dian'wen'xue
中国语言文学,zhong'guo'yu'yan'wen'xue
中文线装书,zhong'wen'xian'zhuang'shu
中庸,zhong'yong
竹帛,zhu'bo
诸侯,zhu'hou
竹简,zhu'jian
诸经,zhu'jing
竹刻,zhu'ke
朱墨,zhu'mo
朱墨套印,zhu'mo'tao'yin
朱批,zhu'pi
蛀书虫,zhu'shu'chong
朱文,zhu'wen
竹纸,zhu'zhi
诸子百家,zhu'zi'bai'jia
篆刻,zhuan'ke
专书目录,zhuan'shu'mu'lu
专题目录,zhuan'ti'mu'lu
专题书目,zhuan'ti'shu'mu
专题述评,zhuan'ti'shu'ping
专题索引,zhuan'ti'suo'yin
专题讨论会,zhuan'ti'tao'lun'hui
专题研究,zhuan'ti'yan'jiu
专题著作,zhuan'ti'zhu'zuo
专题座谈会,zhuan'ti'zuo'tan'hui
专业词汇,zhuan'ye'ci'hui
专业课,zhuan'ye'ke
专业论文,zhuan'ye'lun'wen
专业期刊,zhuan'ye'qi'kan
专业文献,zhuan'ye'wen'xian
专著,zhuan'zhu
专著丛书,zhuan'zhu'cong'shu
专著作者,zhuan'zhu'zuo'zhe
篆字,zhuan'zi
子目,zi'mu
资治通鉴,zi'zhi'tong'jian
自著丛书个人丛书,zi'zhu'cong'shu'ge'ren'cong'shu
自传,zi'zhuan
宗教经典,zong'jiao'jing'dian
宗庙,zong'miao
作者亲笔手稿,zuo'zhe'qin'bi'shou'gao
作者遗著手稿,zuo'zhe'yi'zhu'shou'gao
作者自行订正,zuo'zhe'zi'xing'ding'zheng
