艾启蒙,ai'qi'meng
大写意,da'xie'yi
戴进,dai'jin
戴逵,dai'kui
戴嵩,dai'song
戴熙,dai'xi
单邦显,dan'bang'xian
淡黄,dan'huang
单款,dan'kuan
淡绿,dan'lv
淡墨,dan'mo
底色,di'se
点厾,dian'du
点厾法,dian'du'fa
点睛,dian'jing
点染,dian'ran
点苔,dian'tai
点叶法,dian'ye'fa
刁光胤,diao'guang'yin
丁宝书,ding'bao'shu
丁皋,ding'gao
丁观鹏,ding'guan'peng
丁枢,ding'shu
钉头鼠尾,ding'tou'shu'wei
钉头鼠尾描,ding'tou'shu'wei'miao
丁云鹏,ding'yun'peng
董帮达,dong'bang'da
董伯仁,dong'bo'ren
董琛,dong'chen
董诰,dong'gao
董其昌,dong'qi'chang
董寿平,dong'shou'ping
董羽,dong'yu
董源,dong'yuan
豆瓣皴,dou'ban'cun
斗笔,dou'bi
斗方,dou'fang
豆绿,dou'lv
杜堇,du'jin
杜琼,du'qiong
对临,dui'lin
顿挫,dun'cuo
多层薄染,duo'ceng'bao'ran
额顶,e'ding
萼片,e'pian
二绿,er'lv
二青,er'qing
法常,fa'chang
反瓣,fan'ban
范长寿,fan'chang'shou
凡代棕,fan'dai'zong
范宽,fan'kuan
樊圻,fan'qi
范曾,fan'zeng
仿古,fang'gu
方介堪,fang'jie'kan
方人定,fang'ren'ding
方士庶,fang'shi'shu
方婉仪,fang'wan'yi
飞白,fei'bai
翡翠绿,fei'cui'lv
费丹旭,fei'dan'xu
费念慈,fei'nian'ci
飞瀑流泉,fei'pu'liu'quan
费新我,fei'xin'wo
飞羽,fei'yu
非洲岩洞艺术,fei'zhou'yan'dong'yi'shu
粉本,fen'ben
粉底,fen'di
分染,fen'ran
冯大中,feng'da'zhong
凤丹白,feng'dan'bai
风格,feng'ge
冯正,feng'zheng
丰子恺,feng'zi'kai
佛罗伦萨画派,fo'luo'lun'sa'hua'pai
傅抱石,fu'bao'shi
腹背,fu'bei
富春山居图,fu'chun'shan'ju'tu
复勾,fu'gou
复勒,fu'le
斧劈皴,fu'pi'cun
赋色,fu'se
傅色,fu'se
复色,fu'se
复羽,fu'yu
改琦,gai'qi
干皴,gan'cun
橄榄描,gan'lan'miao
高岑,gao'cen
高凤翰,gao'feng'han
高古,gao'gu
高古游丝描,gao'gu'you'si'miao
高剑父,gao'jian'fu
高克恭,gao'ke'gong
高仑,gao'lun
高奇峰,gao'qi'feng
高其佩,gao'qi'pei
高嗣昌,gao'si'chang
高涛,gao'tao
高文进,gao'wen'jin
高翔,gao'xiang
高益,gao'yi
高邕,gao'yong
高远法,gao'yuan'fa
高元享,gao'yuan'xiang
蛤粉,ge'fen
镉黄,ge'huang
哥特式,ge'te'shi
哥特式艺术,ge'te'shi'yi'shu
戈湘岚,ge'xiang'lan
格言派,ge'yan'pai
龚半千,gong'ban'qian
工笔淡彩,gong'bi'dan'cai
工笔国画,gong'bi'guo'hua
工笔荷花,gong'bi'he'hua
工笔画,gong'bi'hua
工笔花鸟,gong'bi'hua'niao
工笔翎毛,gong'bi'ling'mao
工笔牡丹,gong'bi'mu'dan
工笔人物,gong'bi'ren'wu
工笔山水,gong'bi'shan'shui
工笔重彩,gong'bi'zhong'cai
工笔走兽,gong'bi'zou'shou
龚开,gong'kai
龚文桢,gong'wen'zhen
龚贤,gong'xian
勾皴,gou'cun
勾皴点染,gou'cun'dian'ran
勾花点叶法,gou'hua'dian'ye'fa
勾勒,gou'le
钩填法,gou'tian'fa
勾线笔,gou'xian'bi
苟勗,gou'xu
勾须,gou'xu
勾晕法,gou'yun'fa
顾安,gu'an
古典风格,gu'dian'feng'ge
古典画风,gu'dian'hua'feng
古典主义,gu'dian'zhu'yi
古法,gu'fa
骨法用笔,gu'fa'yong'bi
顾闳中,gu'hong'zhong
古画品录,gu'hua'pin'lu
顾见龙,gu'jian'long
顾恺之,gu'kai'zhi
钴蓝,gu'lan
顾亮,gu'liang
顾麟士,gu'lin'shi
古铜色,gu'tong'se
顾云,gu'yun
钴紫,gu'zi
关良,guan'liang
关山月,guan'shan'yue
关仝,guan'tong
鬼脸皴,gui'lian'cun
过稿,guo'gao
国画,guo'hua
郭敏,guo'min
郭熙,guo'xi
郭诩,guo'xu
郭忠恕,guo'zhong'shu
韩干,han'gan
韩滉,han'huang
韩美林,han'mei'lin
韩佑,han'you
郝澄,hao'cheng
何澄,he'cheng
何海霞,he'hai'xia
何家英,he'jia'ying
褐色,he'se
何绍基,he'shao'ji
何水法,he'shui'fa
贺天健,he'tian'jian
何维朴,he'wei'pu
颌下,he'xia
何香凝,he'xiang'ning
横幅,heng'fu
烘染,hong'ran
弘仁,hong'ren
红色,hong'se
烘托,hong'tuo
弘一法师,hong'yi'fa'shi
烘云托月,hong'yun'tuo'yue
后期印象画派,hou'qi'yin'xiang'hua'pai
后现代主义,hou'xian'dai'zhu'yi
侯钺,hou'yue
胡公寿,hu'gong'shou
胡环,hu'huan
胡镬,hu'huo
湖蓝,hu'lan
胡佩衡,hu'pei'heng
胡舜臣,hu'shun'chen
胡锡圭,hu'xi'gui
呼应开合,hu'ying'kai'he
胡慥,hu'zao
花苞,hua'bao
花房,hua'fang
画风高古,hua'feng'gao'gu
画廊,hua'lang
花青,hua'qing
花蕊,hua'rui
华三川,hua'san'chuan
花丝,hua'si
画心,hua'xin
华喦,hua'yan
华岩,hua'yan
画爪,hua'zhao
花柱,hua'zhu
黄宾虹,huang'bin'hong
黄道周,huang'dao'zhou
黄公望,huang'gong'wang
黄居宝,huang'ju'bao
黄居寀,huang'ju'cai
黄均,huang'jun
黄君璧,huang'jun'bi
黄苗子,huang'miao'zi
黄秋园,huang'qiu'yuan
黄筌,huang'quan
黄色,huang'se
黄山寿,huang'shan'shou
黄慎,huang'shen
黄士陵,huang'shi'ling
黄惟亮,huang'wei'liang
黄叶村,huang'ye'cun
黄易,huang'yi
黄永玉,huang'yong'yu
黄胄,huang'zhou
回冲,hui'chong
回锋,hui'feng
灰绿,hui'lv
混描,hun'miao
火笔画,huo'bi'hua
霍春阳,huo'chun'yang
计白当黑,ji'bai'dang'hei
肌理,ji'li
肌理效果,ji'li'xiao'guo
积水,ji'shui
贾广健,jia'guang'jian
贾师古,jia'shi'gu
夹叶法,jia'ye'fa
贾又福,jia'you'fu
减笔,jian'bi
渐变,jian'bian
渐江,jian'jiang
蒋采苹,jiang'cai'ping
江参,jiang'can
江寒汀,jiang'han'ting
绛红,jiang'hong
江宏伟,jiang'hong'wei
蒋嵩,jiang'song
蒋庭锡,jiang'ting'xi
蒋廷锡,jiang'ting'xi
姜隐,jiang'yin
蒋兆和,jiang'zhao'he
焦宝愿,jiao'bao'yuan
焦秉贞,jiao'bing'zhen
焦点透视,jiao'dian'tou'shi
胶矾,jiao'fan
焦墨,jiao'mo
焦浓重淡清,jiao'nong'zhong'dan'qing
焦锡,jiao'xi
界尺,jie'chi
界画,jie'hua
接染,jie'ran
解索皴,jie'suo'cun
介字点,jie'zi'dian
芥子园画谱,jie'zi'yuan'hua'pu
杰作,jie'zuo
金碧山水,jin'bi'shan'shui
金城,jin'cheng
金处士,jin'chu'shi
金鸿钧,jin'hong'jun
近景,jin'jing
金俊明,jin'jun'ming
金陵八家,jin'ling'ba'jia
金纳,jin'na
金农,jin'nong
金色,jin'se
颈部,jing'bu
荆浩,jing'hao
镜框,jing'kuang
警名派,jing'ming'pai
经营位置,jing'ying'wei'zhi
局部复勒,ju'bu'fu'le
居巢,ju'chao
桔红,ju'hong
橘红,ju'hong
桔黄,ju'huang
橘黄,ju'huang
居廉,ju'lian
巨然,ju'ran
绢本,juan'ben
绢帛,juan'bo
卷云皴,juan'yun'cun
卷轴,juan'zhou
撅头丁,jue'tou'ding
楷法晋唐,kai'fa'jin'tang
康有为,kang'you'wei
拷贝台,kao'bei'tai
渴墨,ke'mo
空间,kong'jian
孔雀蓝,kong'que'lan
孔嵩,kong'song
款识,kuan'zhi
髡残,kun'can
来楚生,lai'chu'sheng
赖少其,lai'shao'qi
兰叶描,lan'ye'miao
蓝瑛,lan'ying
狼毫,lang'hao
浪漫主义,lang'man'zhu'yi
浪漫主义画派,lang'man'zhu'yi'hua'pai
郎世宁,lang'shi'ning
老干,lao'gan
烙铁画,lao'tie'hua
老枝,lao'zhi
勒筋,le'jin
勒廓,le'kuo
冷枚,leng'mei
李爱国,li'ai'guo
李安忠,li'an'zhong
李秉绶,li'bing'shou
李成,li'cheng
历代名画记,li'dai'ming'hua'ji
李迪,li'di
李端,li'duan
李方赝,li'fang'yan
李方膺,li'fang'ying
立粉,li'fen
立粉法,li'fen'fa
李耕,li'geng
李公麟,li'gong'lin
黎简,li'jian
李觉,li'jue
李衎,li'kan
李可染,li'ke'ran
李苦禅,li'ku'chan
李魁正,li'kui'zheng
李瑞清,li'rui'qing
李山,li'shan
李师中,li'shi'zhong
李世倬,li'shi'zhuo
隶书,li'shu
李叔同,li'shu'tong
李思训,li'si'xun
李嵩,li'song
李唐,li'tang
立体派,li'ti'pai
立体主义,li'ti'zhu'yi
李鲜,li'xian
李晓明,li'xiao'ming
黎雄才,li'xiong'cai
李昭道,li'zhao'dao
李真,li'zhen
立轴,li'zhou
李著,li'zhu
亮部,liang'bu
亮红,liang'hong
梁楷,liang'kai
亮面,liang'mian
梁启超,liang'qi'chao
梁同书,liang'tong'shu
林椿,lin'chun
林风眠,lin'feng'mian
林俊民,lin'jun'min
林良,lin'liang
临摹,lin'mo
鳞片,lin'pian
林琴南,lin'qin'nan
林俗成,lin'su'cheng
林庭珪,lin'ting'gui
林旭,lin'xu
凌必正,ling'bi'zheng
灵感,ling'gan
刘寀,liu'cai
六朝四家,liu'chao'si'jia
刘大为,liu'da'wei
刘德六,liu'de'liu
刘二刚,liu'er'gang
六法论,liu'fa'lun
刘贯道,liu'guan'dao
刘海粟,liu'hai'su
刘继卤,liu'ji'lu
刘奎龄,liu'kui'ling
刘冷月,liu'leng'yue
刘力上,liu'li'shang
刘凌沧,liu'ling'cang
刘松年,liu'song'nian
柳叶描,liu'ye'miao
刘墉,liu'yong
刘有成,liu'you'cheng
刘宗古,liu'zong'gu
龙瑞,long'rui
龙升,long'sheng
龙祥,long'xiang
漏矾,lou'fan
楼观,lou'guan
娄师白,lou'shi'bai
陆怀道,lu'huai'dao
陆恢,lu'hui
鹿角枝,lu'jiao'zhi
卢楞迦,lu'leng'jia
陆青,lu'qing
陆润痒,lu'run'yang
庐梭伽,lu'suo'ga
陆探微,lu'tan'wei
陆维钊,lu'wei'zhao
陆薪,lu'xin
陆信忠,lu'xin'zhong
陆俨少,lu'yan'shao
卢禹舜,lu'yu'shun
陆治,lu'zhi
陆宗,lu'zong
鲁宗贵,lu'zong'gui
乱柴皴,luan'chai'cun
洛可可风格,luo'ke'ke'feng'ge
洛可可式,luo'ke'ke'shi
罗马式,luo'ma'shi
落墨,luo'mo
罗聘,luo'pin
罗允绍,luo'yun'shao
罗允缵,luo'yun'zuan
罗稚川,luo'zhi'chuan
吕凤子,lv'feng'zi
吕纪,lv'ji
马和之,ma'he'zhi
马蝗描,ma'huang'miao
马晋,ma'jin
马君详,ma'jun'xiang
马逵,ma'kui
马鳞,ma'lin
马斯黑,ma'si'hei
马兴祖,ma'xing'zu
马远,ma'yuan
马元驳,ma'yuan'bo
毛松,mao'song
毛益,mao'yi
没骨,mei'gu
没骨法,mei'gu'fa
玫瑰红,mei'gui'hong
煤黑,mei'hei
梅兰芳,mei'lan'fang
梅清,mei'qing
美术,mei'shu
美术馆,mei'shu'guan
猛禽,meng'qin
密不透风,mi'bu'tou'feng
米点皴,mi'dian'cun
米芾,mi'fu
米黄色,mi'huang'se
米家山水,mi'jia'shan'shui
米友仁,mi'you'ren
闵贞,min'zhen
明代院体,ming'dai'yuan'ti
明度,ming'du
名号章,ming'hao'zhang
鸣禽,ming'qin
明四家,ming'si'jia
缪炳泰,miu'bing'tai
墨不碍色,mo'bu'ai'se
墨分五彩,mo'fen'wu'cai
墨分五色,mo'fen'wu'se
墨海青龙,mo'hai'qing'long
莫建成,mo'jian'cheng
墨绿,mo'lv
墨破色,mo'po'se
墨青色,mo'qing'se
墨染,mo'ran
墨洒金,mo'sa'jin
墨线,mo'xian
莫晓松,mo'xiao'song
莫友芝,mo'you'zhi
墨韵,mo'yun
牧溪,mu'xi
南宋四家,nan'song'si'jia
嫩叶,nen'ye
嫩枝,nen'zhi
倪端,ni'duan
逆锋,ni'feng
泥金,ni'jin
倪墨耕,ni'mo'geng
倪田,ni'tian
倪云林,ni'yun'lin
倪瓒,ni'zan
年画,nian'hua
凝炼,ning'lian
柠檬黄,ning'meng'huang
浓淡干湿,nong'dan'gan'shi
浓墨,nong'mo
拍拓,pai'tuo
拍拓法,pai'tuo'fa
潘桂,pan'gui
攀禽,pan'qin
潘天寿,pan'tian'shou
潘廷章,pan'ting'zhang
潘璎,pan'ying
跑墨,pao'mo
佩恩灰,pei'en'hui
彭恭甫,peng'gong'fu
披麻皴,pi'ma'cun
批毛,pi'mao
批毛法,pi'mao'fa
片状羽,pian'zhuang'yu
屏风,ping'feng
平头点,ping'tou'dian
平涂,ping'tu
平远法,ping'yuan'fa
屏幛,ping'zhang
泼墨,po'mo
破墨,po'mo
坡石,po'shi
铺毫,pu'hao
蒲华,pu'hua
普鲁士蓝,pu'lu'shi'lan
溥儒,pu'ru
溥佐,pu'zuo
齐白石,qi'bai'shi
起笔,qi'bi
启发,qi'fa
起稿,qi'gao
气韵生动,qi'yun'sheng'dong
铅白,qian'bai
钱杜,qian'du
铅粉,qian'fen
钱慧安,qian'hui'an
浅绛,qian'jiang
千里江山图,qian'li'jiang'shan'tu
浅绿,qian'lv
钱瘦铁,qian'shou'tie
钱松,qian'song
钱松岩,qian'song'yan
钱维城,qian'wei'cheng
钱选,qian'xuan
钤印,qian'yin
钱员,qian'yuan
琴弦描,qin'xian'miao
秦祖永,qin'zu'yong
清初四王,qing'chu'si'wang
青灰,qing'hui
青莲,qing'lian
青龙卧墨池,qing'long'wo'mo'chi
青绿,qing'lv
青绿山水,qing'lv'shan'shui
清墨,qing'mo
清四家,qing'si'jia
清四僧,qing'si'seng
穷款,qiong'kuan
蚯蚓描,qiu'yin'miao
仇英,qiu'ying
屈鼎,qu'ding
全景,quan'jing
全山石,quan'shan'shi
群青,qun'qing
任伯年,ren'bo'nian
任伯温,ren'bo'wen
任堇,ren'jin
任率英,ren'lv'ying
任仁发,ren'ren'fa
任霞,ren'xia
任熊,ren'xiong
任薰,ren'xun
任颐,ren'yi
任预,ren'yu
任重,ren'zhong
日本画,ri'ben'hua
荣宝斋,rong'bao'zhai
绒状羽,rong'zhuang'yu
揉纸,rou'zhi
蕊线,rui'xian
润泽,run'ze
洒盐,sa'yan
散点透视,san'dian'tou'shi
三段式,san'duan'shi
三矾九染,san'fan'jiu'ran
三间色,san'jian'se
三绿,san'lv
三青,san'qing
三原色,san'yuan'se
桑建国,sang'jian'guo
色笔,se'bi
色不碍墨,se'bu'ai'mo
色破墨,se'po'mo
色系,se'xi
色相,se'xiang
沙馥,sha'fu
沙龙,sha'long
沙孟海,sha'meng'hai
山峦,shan'luan
扇面,shan'mian
上官周,shang'guan'zhou
上尾筒,shang'wei'tong
上缘,shang'yuan
涉禽,she'qin
沈曾植,shen'ceng'zhi
沈焯,shen'chao
沈尔调,shen'er'tiao
深铬黄,shen'ge'huang
深铬绿,shen'ge'lv
沈翰,shen'han
深红,shen'hong
深绿,shen'lv
沈铨,shen'quan
沈韶,shen'shao
沈士充,shen'shi'chong
沈树镛,shen'shu'yong
沈五集,shen'wu'ji
沈希远,shen'xi'yuan
沈伊默,shen'yi'mo
深远法,shen'yuan'fa
沈兆涵,shen'zhao'han
沈周,shen'zhou
盛昌年,sheng'chang'nian
生褐,sheng'he
生绢,sheng'juan
生宣,sheng'xuan
生赭,sheng'zhe
师法自然,shi'fa'zi'ran
石分三面,shi'fen'san'mian
石谷,shi'gu
史国良,shi'guo'liang
石恪,shi'ke
石鲁,shi'lu
石绿,shi'lv
石青,shi'qing
湿染,shi'ran
湿染法,shi'ran'fa
石锐,shi'rui
石色,shi'se
石涛,shi'tao
石溪,shi'xi
施义之,shi'yi'zhi
实中有虚,shi'zhong'you'xu
十竹斋,shi'zhu'zhai
收笔,shou'bi
收藏,shou'cang
手卷,shou'juan
书法篆刻,shu'fa'zhuan'ke
竖幅,shu'fu
熟褐,shu'he
曙红,shu'hong
熟绢,shu'juan
疏可跑马,shu'ke'pao'ma
树绿,shu'lv
疏密聚散,shu'mi'ju'san
熟宣,shu'xuan
熟赭,shu'zhe
双钩,shuang'gou
双钩填色,shuang'gou'tian'se
水笔,shui'bi
水彩画,shui'cai'hua
水粉画,shui'fen'hua
水口,shui'kou
水墨淋漓,shui'mo'lin'li
水墨写意画,shui'mo'xie'yi'hua
水色,shui'se
水线,shui'xian
四尺中堂,si'chi'zhong'tang
四绿,si'lv
丝毛,si'mao
丝毛法,si'mao'fa
四青,si'qing
四条屏,si'tiao'ping
宋葆淳,song'bao'chun
宋柄,song'bing
宋代院体,song'dai'yuan'ti
宋涤,song'di
宋光宝,song'guang'bao
宋克,song'ke
宋人画风,song'ren'hua'feng
宋人花鸟,song'ren'hua'niao
宋文治,song'wen'zhi
宋旭,song'xu
宋雨桂,song'yu'gui
苏葆桢,su'bao'zhen
苏长春,su'chang'chun
苏汉臣,su'han'chen
苏六朋,su'liu'peng
苏仁山,su'ren'shan
苏显祖,su'xian'zu
随类赋彩,sui'lei'fu'cai
孙艾,sun'ai
孙克纲,sun'ke'gang
孙克弘,sun'ke'hong
孙隆,sun'long
孙其峰,sun'qi'feng
孙尚之,sun'shang'zhi
孙位,sun'wei
钛白,tai'bai
苔点,tai'dian
酞青蓝,tai'qing'lan
炭黑,tan'hei
谭延恺,tan'yan'kai
汤定之,tang'ding'zhi
烫画,tang'hua
唐坚,tang'jian
汤贻芬,tang'yi'fen
唐寅,tang'yin
唐勇力,tang'yong'li
唐云,tang'yun
陶博吾,tao'bo'wu
陶成,tao'cheng
陶天月,tao'tian'yue
陶忠,tao'zhong
藤昌佑,teng'chang'you
藤黄,teng'huang
题跋,ti'ba
提白,ti'bai
提粉,ti'fen
题款,ti'kuan
提染,ti'ran
题识,ti'shi
天蓝,tian'lan
田黎明,tian'li'ming
田宗源,tian'zong'yuan
条幅,tiao'fu
铁线描,tie'xian'miao
通景屏,tong'jing'ping
头绿,tou'lv
头青,tou'qing
土红,tu'hong
土绿,tu'lv
托裱,tuo'biao
托裱画心,tuo'biao'hua'xin
托色,tuo'se
外师造化,wai'shi'zao'hua
完颜畴,wan'yan'chou
王霭,wang'ai
王成喜,wang'cheng'xi
王村谷,wang'cun'gu
王道真,wang'dao'zhen
王铎,wang'duo
王谔,wang'e
王绂,wang'fu
王福庵,wang'fu'an
王个簃,wang'ge'yi
王冠军,wang'guan'jun
王洪,wang'hong
王翚,wang'hui
王鉴,wang'jian
王伦,wang'lun
王履,wang'lv
王美芳,wang'mei'fang
王蒙,wang'meng
王梦白,wang'meng'bai
王冕,wang'mian
王明明,wang'ming'ming
王齐翰,wang'qi'han
王洽,wang'qia
王庆升,wang'qing'sheng
王仁华,wang'ren'hua
王若水,wang'ruo'shui
王申勇,wang'shen'yong
王式,wang'shi
王时敏,wang'shi'min
王叔晖,wang'shu'hui
王素,wang'su
王涛,wang'tao
王天胜,wang'tian'sheng
王庭筠,wang'ting'jun
汪土慎,wang'tu'shen
王维,wang'wei
汪为新,wang'wei'xin
王文治,wang'wen'zhi
王洗,wang'xi
王西京,wang'xi'jing
王希孟,wang'xi'meng
王献,wang'xian
王晓,wang'xiao
王雪涛,wang'xue'tao
汪亚尘,wang'ya'chen
王延格,wang'yan'ge
王懿荣,wang'yi'rong
王镛,wang'yong
王渊,wang'yuan
王原祁,wang'yuan'qi
汪肇,wang'zhao
王震,wang'zhen
王振鹏,wang'zhen'peng
王致诚,wang'zhi'cheng
王直翁,wang'zhi'weng
王中年,wang'zhong'nian
魏晋南北朝,wei'jin'nan'bei'chao
未来主义,wei'lai'zhu'yi
威尼斯画派,wei'ni'si'hua'pai
尾上复羽,wei'shang'fu'yu
卫无天,wei'wu'tian
尾下复羽,wei'xia'fu'yu
卫贤,wei'xian
魏湘,wei'xiang
卫协,wei'xie
韦偃,wei'yan
尾羽,wei'yu
位置经营,wei'zhi'jing'ying
魏紫,wei'zi
文伯仁,wen'bo'ren
文从简,wen'cong'jian
文人画,wen'ren'hua
文淑,wen'shu
文同,wen'tong
文震亨,wen'zhen'heng
文征明,wen'zheng'ming
翁同和,weng'tong'he
翁同稣,weng'tong'su
吴彬,wu'bin
吴炳,wu'bing
吴长江,wu'chang'jiang
吴昌硕,wu'chang'shuo
吴大徵,wu'da'zheng
五代,wu'dai
吴道子,wu'dao'zi
吴弗之,wu'fu'zhi
吴谷祥,wu'gu'xiang
吴观岱,wu'guan'dai
吴冠中,wu'guan'zhong
吴光宇,wu'guang'yu
吴宏,wu'hong
吴湖帆,wu'hu'fan
吴华源,wu'hua'yuan
吴俊臣,wu'jun'chen
吴历,wu'li
屋漏痕,wu'lou'hen
吴履,wu'lv
吴青霞,wu'qing'xia
吴庆云,wu'qing'yun
吴石仙,wu'shi'xian
吴滔,wu'tao
吴伟,wu'wei
吴熙载,wu'xi'zai
吴玉梅,wu'yu'mei
吴元瑜,wu'yuan'yu
武元直,wu'yuan'zhi
吴璋,wu'zhang
吴镇,wu'zhen
吴徵,wu'zheng
武宗元,wu'zong'yuan
淅甲沥粉法,xi'jia'li'fen'fa
洗染,xi'ran
吸水纸,xi'shui'zhi
西洋画,xi'yang'hua
细叶脉,xi'ye'mai
夏昶,xia'chang
夏圭,xia'gui
夏淼,xia'miao
夏日女人茶,xia'ri'nv'ren'cha
现代工笔,xian'dai'gong'bi
现实主义,xian'shi'zhu'yi
闲章,xian'zhang
镶覆,xiang'fu
象牙黑,xiang'ya'hei
象征主义,xiang'zheng'zhu'yi
萧琛,xiao'chen
小斧劈,xiao'fu'pi
小斧劈皴,xiao'fu'pi'cun
小混点,xiao'hun'dian
小间大,xiao'jian'da
萧俊贤,xiao'jun'xian
萧谦中,xiao'qian'zhong
小翼羽,xiao'yi'yu
肖悦,xiao'yue
萧云从,xiao'yun'cong
萧照,xiao'zhao
谢彬,xie'bin
谢赫,xie'he
谢环,xie'huan
谢荪,xie'sun
写意画,xie'yi'hua
写意花鸟,xie'yi'hua'niao
写意翎毛,xie'yi'ling'mao
写意人物,xie'yi'ren'wu
写意山水,xie'yi'shan'shui
蟹爪枝,xie'zhao'zhi
谢稚柳,xie'zhi'liu
新安画派,xin'an'hua'pai
锌白,xin'bai
新古典主义,xin'gu'dian'zhu'yi
新文人画,xin'wen'ren'hua
新艺术主义,xin'yi'shu'zhu'yi
新印象画派,xin'yin'xiang'hua'pai
行草,xing'cao
行楷,xing'kai
醒勒,xing'le
醒染,xing'ran
形象艺术,xing'xiang'yi'shu
徐悲鸿,xu'bei'hong
徐崇嗣,xu'chong'si
许道宁,xu'dao'ning
徐改之,xu'gai'zhi
虚谷,xu'gu
徐京,xu'jing
徐朗,xu'lang
徐乐乐,xu'le'le
徐三庚,xu'san'geng
徐石雪,xu'shi'xue
徐祟嗣,xu'sui'si
徐渭,xu'wei
徐熙,xu'xi
徐燕孙,xu'yan'sun
徐璋,xu'zhang
宣和画谱,xuan'he'hua'pu
悬针,xuan'zhen
宣纸,xuan'zhi
薛稷,xue'ji
薛仁,xue'ren
芽孢,ya'bao
压角章,ya'jiao'zhang
芽绿,ya'lv
亚明,ya'ming
砑装,ya'zhuang
颜伯龙,yan'bo'long
岩彩,yan'cai
岩彩画,yan'cai'hua
颜成彪,yan'cheng'biao
阎次平,yan'ci'ping
阎次于,yan'ci'yu
颜地,yan'di
颜辉,yan'hui
阎立本,yan'li'ben
阎立德,yan'li'de
阎毗,yan'pi
燕文贵,yan'wen'gui
颜文梁,yan'wen'liang
严湛,yan'zhan
胭脂,yan'zhi
阎仲,yan'zhong
杨伯润,yang'bo'run
羊毫,yang'hao
洋红,yang'hong
氧化铬绿,yang'hua'ge'lv
杨惠之,yang'hui'zhi
杨晋,yang'jin
杨柳青画社,yang'liu'qing'hua'she
杨荣生,yang'rong'sheng
杨升,yang'sheng
杨士贤,yang'shi'xian
杨守敬,yang'shou'jing
杨庭光,yang'ting'guang
阳文,yang'wen
扬无咎,yang'wu'jiu
杨熙志,yang'xi'zhi
杨岘,yang'xian
杨之光,yang'zhi'guang
