按钮,an'niu
发光二极管,fa'guang'er'ji'guan
阀门,fa'men
乏气,fa'qi
阀位,fa'wei
反动式汽轮机,fan'dong'shi'qi'lun'ji
反馈,fan'kui
反相显示,fan'xiang'xian'shi
沸腾,fei'teng
分辨率,fen'bian'lv
分隔墙,fen'ge'qiang
分接头,fen'jie'tou
分接头绕组,fen'jie'tou'rao'zu
分散控制系统,fen'san'kong'zhi'xi'tong
分析基,fen'xi'ji
分压器,fen'ya'qi
粉状燃料,fen'zhuang'ran'liao
风道,feng'dao
风粉,feng'fen
风粉混合物,feng'fen'hun'he'wu
风箱,feng'xiang
幅度,fu'du
符号字符,fu'hao'zi'fu
副励磁机,fu'li'ci'ji
辅汽联箱,fu'qi'lian'xiang
伏特,fu'te
负压燃烧,fu'ya'ran'shao
负氧燃烧,fu'yang'ran'shao
辅助,fu'zhu
辅助风,fu'zhu'feng
辅助蒸汽,fu'zhu'zheng'qi
改造,gai'zao
干度,gan'du
感抗,gan'kang
干式电缆,gan'shi'dian'lan
干燥基,gan'zao'ji
干蒸汽,gan'zheng'qi
钢带机,gang'dai'ji
钢球磨,gang'qiu'mo
高加,gao'jia
高旁,gao'pang
高温再热器,gao'wen'zai're'qi
高压冲洗水泵,gao'ya'chong'xi'shui'beng
高压缸,gao'ya'gang
隔板,ge'ban
隔间,ge'jian
隔离开关,ge'li'kai'guan
给煤机,gei'mei'ji
给煤机转速信号,gei'mei'ji'zhuan'su'xin'hao
给煤量,gei'mei'liang
给水泵,gei'shui'beng
跟随,gen'sui
公差,gong'cha
工程单位,gong'cheng'dan'wei
工具,gong'ju
工业分析,gong'ye'fen'xi
工业锅炉,gong'ye'guo'lu
公用锅炉,gong'yong'guo'lu
公用配电屏,gong'yong'pei'dian'ping
公用系统,gong'yong'xi'tong
供油,gong'you
固定碳,gu'ding'tan
鼓风机,gu'feng'ji
固态,gu'tai
管板,guan'ban
管道,guan'dao
关合电流,guan'he'dian'liu
管排,guan'pai
管子,guan'zi
管座,guan'zuo
光电,guang'dian
光洁度,guang'jie'du
过饱和蒸汽,guo'bao'he'zheng'qi
过程处理单元,guo'cheng'chu'li'dan'yuan
过冷水,guo'leng'shui
过量空气,guo'liang'kong'qi
锅炉,guo'lu
锅炉跟随,guo'lu'gen'sui
锅炉自动控制,guo'lu'zi'dong'kong'zhi
过热器,guo're'qi
过热蒸汽,guo're'zheng'qi
含尘量,han'chen'liang
焓值,han'zhi
毫伏,hao'fu
褐煤,he'mei
户内,hu'nei
滑环,hua'huan
化石燃料,hua'shi'ran'liao
滑压,hua'ya
还原气氛,huan'yuan'qi'fen
环状,huan'zhuang
灰斗,hui'dou
挥发分,hui'fa'fen
灰分,hui'fen
回料器,hui'liao'qi
回油,hui'you
火检,huo'jian
级间漏汽,ji'jian'lou'qi
集控室,ji'kong'shi
记录,ji'lu
集散控制系统,ji'san'kong'zhi'xi'tong
集箱,ji'xiang
架空输电线,jia'kong'shu'dian'xian
监测,jian'ce
监督管理,jian'du'guan'li
监控方式,jian'kong'fang'shi
监控器,jian'kong'qi
间冷,jian'leng
兼容性,jian'rong'xing
减速机,jian'su'ji
减温器,jian'wen'qi
减温水,jian'wen'shui
减压调门,jian'ya'diao'men
检验,jian'yan
交流,jiao'liu
交流电,jiao'liu'dian
交流电机,jiao'liu'dian'ji
节点,jie'dian
接口,jie'kou
接头,jie'tou
接线柱,jie'xian'zhu
介质,jie'zhi
截止阀,jie'zhi'fa
进汽,jin'qi
静叶片,jing'ye'pian
绝缘,jue'yuan
绝缘子,jue'yuan'zi
开度,kai'du
开断,kai'duan
开断电流,kai'duan'dian'liu
开关,kai'guan
开关柜,kai'guan'gui
开关组,kai'guan'zu
开环,kai'huan
可编程逻辑控制器,ke'bian'cheng'luo'ji'kong'zhi'qi
可编程只读存储器,ke'bian'cheng'zhi'du'cun'chu'qi
可燃基,ke'ran'ji
可视通讯,ke'shi'tong'xun
空冷,kong'leng
空气断路器,kong'qi'duan'lu'qi
空气绝缘,kong'qi'jue'yuan
空气预热器,kong'qi'yu're'qi
控制按钮,kong'zhi'an'niu
控制精度,kong'zhi'jing'du
控制屏,kong'zhi'ping
控制器,kong'zhi'qi
控制室,kong'zhi'shi
控制台,kong'zhi'tai
控制线圈,kong'zhi'xian'quan
控制仪表系统,kong'zhi'yi'biao'xi'tong
控制油,kong'zhi'you
控制作用,kong'zhi'zuo'yong
扩容器,kuo'rong'qi
浪涌,lang'yong
累计量,lei'ji'liang
冷端,leng'duan
冷端补偿,leng'duan'bu'chang
冷启动,leng'qi'dong
冷却风,leng'que'feng
冷却风机,leng'que'feng'ji
冷却水泵,leng'que'shui'beng
冷一次风,leng'yi'ci'feng
励磁,li'ci
励磁机,li'ci'ji
联氨,lian'an
连排扩容器,lian'pai'kuo'rong'qi
联锁,lian'suo
联锁触点,lian'suo'chu'dian
联锁开关系统,lian'suo'kai'guan'xi'tong
联锁信号,lian'suo'xin'hao
联箱,lian'xiang
联轴器,lian'zhou'qi
料位,liao'wei
裂纹,lie'wen
临界压力,lin'jie'ya'li
令牌,ling'pai
六氟化硫,liu'fu'hua'liu
流化,liu'hua
流化风机,liu'hua'feng'ji
流量,liu'liang
流量计,liu'liang'ji
炉底加热,lu'di'jia're
炉底水封,lu'di'shui'feng
露点,lu'dian
炉膛,lu'tang
罗茨风机,luo'ci'feng'ji
螺钉,luo'ding
滤网,lv'wang
滤油器,lv'you'qi
毛胚,mao'pei
煤粉,mei'fen
煤粉浓度,mei'fen'nong'du
煤粉燃烧器,mei'fen'ran'shao'qi
媒介,mei'jie
煤量,mei'liang
密度热电阻,mi'du're'dian'zu
密封风,mi'feng'feng
密封风机,mi'feng'feng'ji
密相区,mi'xiang'qu
灭弧,mie'hu
灭火,mie'huo
磨辊,mo'gun
模块,mo'kuai
磨煤机,mo'mei'ji
模拟量,mo'ni'liang
模拟图,mo'ni'tu
模拟子模块,mo'ni'zi'mo'kuai
膜式壁,mo'shi'bi
模数转换,mo'shu'zhuan'huan
母管,mu'guan
母线,mu'xian
内缸,nei'gang
能量管接头,neng'liang'guan'jie'tou
逆止阀,ni'zhi'fa
逆止门,ni'zhi'men
凝结,ning'jie
凝结水,ning'jie'shui
凝结水泵,ning'jie'shui'beng
凝汽器,ning'qi'qi
暖管,nuan'guan
暖机,nuan'ji
欧姆,ou'mu
排粉机,pai'fen'ji
排汽,pai'qi
排污管,pai'wu'guan
盘车,pan'che
盘车电机,pan'che'dian'ji
盘车装置,pan'che'zhuang'zhi
配电,pei'dian
配电屏,pei'dian'ping
膨胀,peng'zhang
疲劳,pi'lao
偏心度,pian'xin'du
平方根,ping'fang'gen
平面,ping'mian
屏式过热器,ping'shi'guo're'qi
平直度,ping'zhi'du
汽包,qi'bao
启备变,qi'bei'bian
启动,qi'dong
启动控制阀,qi'dong'kong'zhi'fa
气动调阀,qi'dong'tiao'fa
汽封片,qi'feng'pian
汽缸,qi'gang
汽机跟随,qi'ji'gen'sui
汽机监视仪表,qi'ji'jian'shi'yi'biao
汽轮机,qi'lun'ji
齐纳二极管,qi'na'er'ji'guan
汽泡,qi'pao
汽水混合物,qi'shui'hun'he'wu
气态,qi'tai
千伏,qian'fu
前后墙,qian'hou'qiang
前馈,qian'kui
强迫循环,qiang'po'xun'huan
墙式再热器,qiang'shi'zai're'qi
强制循环,qiang'zhi'xun'huan
切除,qie'chu
切断,qie'duan
清扫链,qing'sao'lian
球阀,qiu'fa
驱动电机,qu'dong'dian'ji
全功能组件,quan'gong'neng'zu'jian
全貌,quan'mao
燃料风,ran'liao'feng
燃料烟道,ran'liao'yan'dao
燃烧器,ran'shao'qi
扰动,rao'dong
绕组,rao'zu
热电厂,re'dian'chang
热电偶,re'dian'ou
热工仪表,re'gong'yi'biao
热量加热,re'liang'jia're
热启动,re'qi'dong
热效率,re'xiao'lv
热一次风,re'yi'ci'feng
热应力分析,re'ying'li'fen'xi
日志,ri'zhi
熔断,rong'duan
熔断器,rong'duan'qi
容量,rong'liang
冗余,rong'yu
冗余测试,rong'yu'ce'shi
冗余位,rong'yu'wei
蠕变,ru'bian
软化,ruan'hua
润滑油,run'hua'you
润滑油泵,run'hua'you'beng
润滑油压,run'hua'you'ya
润滑油站,run'hua'you'zhan
三次风,san'ci'feng
散热片,san're'pian
闪络,shan'luo
设备,she'bei
蛇形管,she'xing'guan
省煤器,sheng'mei'qi
省煤器再循环,sheng'mei'qi'zai'xun'huan
省煤器再循环门,sheng'mei'qi'zai'xun'huan'men
十二进制,shi'er'jin'zhi
使分流,shi'fen'liu
事故油泵,shi'gu'you'beng
十进制,shi'jin'zhi
十六进制,shi'liu'jin'zhi
视频,shi'pin
使完整,shi'wan'zheng
视像扫描器,shi'xiang'sao'miao'qi
石油,shi'you
试运行,shi'yun'xing
湿蒸汽,shi'zheng'qi
收到基,shou'dao'ji
输出轴,shu'chu'zhou
输入轴,shu'ru'zhou
疏水,shu'shui
疏水泵,shu'shui'beng
疏水管,shu'shui'guan
疏水扩容器,shu'shui'kuo'rong'qi
输送泵,shu'song'beng
树脂浇注变压器,shu'zhi'jiao'zhu'bian'ya'qi
数字显示,shu'zi'xian'shi
数字信号,shu'zi'xin'hao
双层缸结构,shuang'ceng'gang'jie'gou
双重,shuang'chong
双列端子排,shuang'lie'duan'zi'pai
双向流动,shuang'xiang'liu'dong
水电站,shui'dian'zhan
水冷壁,shui'leng'bi
水平,shui'ping
水平接合面,shui'ping'jie'he'mian
水位,shui'wei
水位计,shui'wei'ji
水压实验,shui'ya'shi'yan
水蒸气,shui'zheng'qi
送粉,song'fen
送风机,song'feng'ji
算法,suan'fa
酸洗,suan'xi
探针,tan'zhen
天然气,tian'ran'qi
调阀,tiao'fa
调节,tiao'jie
调节挡板,tiao'jie'dang'ban
调节阀,tiao'jie'fa
调节风门,tiao'jie'feng'men
调节级,tiao'jie'ji
调节门,tiao'jie'men
调节油,tiao'jie'you
调速器,tiao'su'qi
条形,tiao'xing
条形图,tiao'xing'tu
调制,tiao'zhi
调制解调,tiao'zhi'jie'tiao
铁素体,tie'su'ti
停机,ting'ji
停运,ting'yun
通道,tong'dao
同心度,tong'xin'du
推力瓦,tui'li'wa
推力轴承,tui'li'zhou'cheng
脱扣,tuo'kou
脱硫,tuo'liu
瓦特,wa'te
外缸,wai'gang
网络接口子模块,wang'luo'jie'kou'zi'mo'kuai
围带,wei'dai
微型调速器,wei'xing'tiao'su'qi
稳定性,wen'ding'xing
温度,wen'du
文件缓冲器,wen'jian'huan'chong'qi
稳态,wen'tai
误差率,wu'cha'lv
误动作,wu'dong'zuo
物品,wu'pin
无烟煤,wu'yan'mei
吸风机,xi'feng'ji
熄灭,xi'mie
系统,xi'tong
铣制,xi'zhi
线圈,xian'quan
线性差动变压器,xian'xing'cha'dong'bian'ya'qi
相变,xiang'bian
相互,xiang'hu
相互隔离,xiang'hu'ge'li
相容性,xiang'rong'xing
销钉,xiao'ding
消耗,xiao'hao
协调,xie'tiao
协调控制系统,xie'tiao'kong'zhi'xi'tong
信道,xin'dao
信号调节,xin'hao'tiao'jie
形凹槽,xing'ao'cao
星型,xing'xing
星型连接,xing'xing'lian'jie
蓄油池,xu'you'chi
循环流化床,xun'huan'liu'hua'chuang
压差,ya'cha
压力,ya'li
压力表,ya'li'biao
压损,ya'sun
烟煤,yan'mei
烟气,yan'qi
烟气成分,yan'qi'cheng'fen
烟气热风器,yan'qi're'feng'qi
烟温,yan'wen
氧化气氛,yang'hua'qi'fen
叶顶,ye'ding
叶根,ye'gen
叶轮,ye'lun
液态,ye'tai
液位,ye'wei
液压油,ye'ya'you
液压油泵,ye'ya'you'beng
液压油系统,ye'ya'you'xi'tong
液压油站,ye'ya'you'zhan
仪表校正,yi'biao'jiao'zheng
仪表量程,yi'biao'liang'cheng
仪表灵敏度,yi'biao'ling'min'du
一次风,yi'ci'feng
一次风机,yi'ci'feng'ji
仪器盘,yi'qi'pan
仪器仪表板,yi'qi'yi'biao'ban
一氧化碳,yi'yang'hua'tan
引风机,yin'feng'ji
应力,ying'li
应用基,ying'yong'ji
永久磁铁,yong'jiu'ci'tie
油池,you'chi
油浸式电缆,you'jin'shi'dian'lan
油位,you'wei
油温,you'wen
有载调压,you'zai'tiao'ya
油站,you'zhan
油枕,you'zhen
元件,yuan'jian
原煤仓,yuan'mei'cang
原煤斗,yuan'mei'dou
元素分析,yuan'su'fen'xi
运行操作,yun'xing'cao'zuo
运行工况,yun'xing'gong'kuang
再热,zai're
再热器,zai're'qi
再热蒸汽,zai're'zheng'qi
张紧力,zhang'jin'li
兆伏安,zhao'fu'an
振动,zhen'dong
真空断路器,zhen'kong'duan'lu'qi
蒸发,zheng'fa
整流,zheng'liu
蒸汽,zheng'qi
蒸汽冷却器,zheng'qi'leng'que'qi
蒸汽热风器,zheng'qi're'feng'qi
正压燃烧,zheng'ya'ran'shao
支持瓦,zhi'chi'wa
支持轴承,zhi'chi'zhou'cheng
直观显示元件,zhi'guan'xian'shi'yuan'jian
质量,zhi'liang
直流,zhi'liu
直流电,zhi'liu'dian
直流电机,zhi'liu'dian'ji
直流电源,zhi'liu'dian'yuan
直流电阻,zhi'liu'dian'zu
执行机构,zhi'xing'ji'gou
终端设备,zhong'duan'she'bei
重力,zhong'li
中速磨,zhong'su'mo
中心度,zhong'xin'du
中心线,zhong'xin'xian
中性点,zhong'xing'dian
中压缸,zhong'ya'gang
轴承座,zhou'cheng'zuo
轴封蒸汽,zhou'feng'zheng'qi
轴环,zhou'huan
轴瓦,zhou'wa
轴向,zhou'xiang
主变,zhu'bian
煮炉,zhu'lu
主汽温度,zhu'qi'wen'du
主汽压力,zhu'qi'ya'li
主燃料跳闸,zhu'ran'liao'tiao'zha
主要辅机,zhu'yao'fu'ji
铸造,zhu'zao
主蒸汽,zhu'zheng'qi
主蒸汽温度,zhu'zheng'qi'wen'du
主蒸汽压力,zhu'zheng'qi'ya'li
转换开关,zhuan'huan'kai'guan
转接器,zhuan'jie'qi
转子,zhuan'zi
锥体,zhui'ti
自动控制系统,zi'dong'kong'zhi'xi'tong
子模块,zi'mo'kuai
自然循环,zi'ran'xun'huan
子系统,zi'xi'tong
总线接口模块,zong'xian'jie'kou'mo'kuai
纵向,zong'xiang
阻波器,zu'bo'qi
组态,zu'tai
最优控制,zui'you'kong'zhi
