阿波罗酒店,a'bo'luo'jiu'dian
实验小学,shi'yan'xiao'xue
市药监局,shi'yao'jian'ju
市医院,shi'yi'yuan
市医院路口,shi'yi'yuan'lu'kou
市政府,shi'zheng'fu
市肿瘤医院,shi'zhong'liu'yi'yuan
十字街,shi'zi'jie
十字街口,shi'zi'jie'kou
十字路口,shi'zi'lu'kou
水关头,shui'guan'tou
泗华,si'hua
泗屿,si'yu
太平洋中心,tai'ping'yang'zhong'xin
体育场,ti'yu'chang
天妃宾馆,tian'fei'bin'guan
天九湾,tian'jiu'wan
天九湾车场,tian'jiu'wan'che'chang
天九湾电信公司,tian'jiu'wan'dian'xin'gong'si
天九湾电信局,tian'jiu'wan'dian'xin'ju
万辉国际城,wan'hui'guo'ji'cheng
武警支队,wu'jing'zhi'dui
梧塘镇,wu'tang'zhen
西社小区,xi'she'xiao'qu
西天尾镇,xi'tian'wei'zhen
下黄村,xia'huang'cun
下林安置区,xia'lin'an'zhi'qu
下磨市场,xia'mo'shi'chang
下十字街口,xia'shi'zi'jie'kou
新度市场,xin'du'shi'chang
新度镇政府,xin'du'zhen'zheng'fu
新港,xin'gang
新涵大街,xin'han'da'jie
新街口,xin'jie'kou
新梅路口,xin'mei'lu'kou
新汽车站,xin'qi'che'zhan
新区农行,xin'qu'nong'hang
新塘社区,xin'tang'she'qu
兴安药业,xing'an'yao'ye
兴安药业公司,xing'an'yao'ye'gong'si
兴化宾馆,xing'hua'bin'guan
学园路口,xue'yuan'lu'kou
阳城路口,yang'cheng'lu'kou
洋西,yang'xi
原莆一中后门,yuan'pu'yi'zhong'hou'men
岳公,yue'gong
中国联通,zhong'guo'lian'tong
中国银行,zhong'guo'yin'hang
中山中学,zhong'shan'zhong'xue
中特城,zhong'te'cheng
