拔白菜,ba'bai'cai
蝴蝶梦,hu'die'meng
蝴蝶飘,hu'die'piao
糊弄妈妈五更,hu'nong'ma'ma'wu'geng
糊涂县官,hu'tu'xian'guan
呼延庆打擂,hu'yan'qing'da'lei
画党史,hua'dang'shi
画家史,hua'jia'shi
花魁游街,hua'kui'you'jie
画眉,hua'mei
华容道,hua'rong'dao
画纱灯,hua'sha'deng
画扇面,hua'shan'mian
花为媒,hua'wei'mei
花园会书生,hua'yuan'hui'shu'sheng
画中人,hua'zhong'ren
花子拾金,hua'zi'shi'jin
换亲记,huan'qin'ji
换媳妇,huan'xi'fu
黄爱玉上坟,huang'ai'yu'shang'fen
荒草坡,huang'cao'po
黄金定下山,huang'jin'ding'xia'shan
黄老打犬,huang'lao'da'quan
黄氏女游阴,huang'shi'nv'you'yin
回杯记,hui'bei'ji
回春饭店,hui'chun'fan'dian
回岗岭,hui'gang'ling
会姑爷,hui'gu'ye
混官断,hun'guan'duan
火焰山,huo'yan'shan
妓女悲秋,ji'nv'bei'qiu
妓女诉苦,ji'nv'su'ku
祭天,ji'tian
拣柴,jian'chai
拣棉花,jian'mian'hua
江上情歌,jiang'shang'qing'ge
降香,jiang'xiang
姜须搬兵,jiang'xu'ban'bing
叫五更,jiao'wu'geng
接儿媳,jie'er'xi
解疙瘩,jie'ge'da
接姑娘,jie'gu'niang
接闺女,jie'gui'nv
姐俩顶嘴,jie'liang'ding'zui
接婆婆,jie'po'po
进城,jin'cheng
今古奇观,jin'gu'qi'guan
金环记,jin'huan'ji
金精戏窦,jin'jing'xi'dou
金牌调,jin'pai'tiao
金桥,jin'qiao
金秋月,jin'qiu'yue
金山寺,jin'shan'si
金童发配,jin'tong'fa'pei
锦绣家乡,jin'xiu'jia'xiang
井台会,jing'tai'hui
九反朝阳,jiu'fan'chao'yang
九子图,jiu'zi'tu
锯大缸,ju'da'gang
聚义厅,ju'yi'ting
开明姑娘,kai'ming'gu'niang
看财奴,kan'cai'nu
砍柴郎,kan'chai'lang
看春花,kan'chun'hua
看秧歌,kan'yang'ge
抗活的哥们吃犒劳,kang'huo'de'ge'men'chi'kao'lao
扛活难,kang'huo'nan
拷红,kao'hong
可怜的秋香,ke'lian'de'qiu'xiang
可心人,ke'xin'ren
寇准斗潘妃,kou'zhun'dou'pan'fei
苦中苦,ku'zhong'ku
夸哈尔滨,kua'ha'er'bin
夸女婿,kua'nv'xu
夸媳妇,kua'xi'fu
夸沼气,kua'zhao'qi
快活林,kuai'huo'lin
拉君,la'jun
辣嫂丢鸡,la'sao'diu'ji
拦车记,lan'che'ji
懒牤子接媳妇,lan'mang'zi'jie'xi'fu
蓝桥会,lan'qiao'hui
浪女回头,lang'nv'hui'tou
老虎学艺,lao'hu'xue'yi
老将传宝,lao'jiang'chuan'bao
老两口养牛,lao'liang'kou'yang'niu
老两口争灯,lao'liang'kou'zheng'deng
老牛钻山,lao'niu'zuan'shan
老少换妻,lao'shao'huan'qi
老树逢春,lao'shu'feng'chun
老田头看瓜,lao'tian'tou'kan'gua
雷锋参军,lei'feng'can'jun
擂鼓战金山,lei'gu'zhan'jin'shan
李翠莲盘道,li'cui'lian'pan'dao
李二嫂摔桃,li'er'sao'shuai'tao
理发姑娘,li'fa'gu'niang
李芳巧得妻,li'fang'qiao'de'qi
李桂香打柴,li'gui'xiang'da'chai
李逵夺鱼,li'kui'duo'yu
李庆双积肥,li'qing'shuang'ji'fei
李三娘打水,li'san'niang'da'shui
力杀死门,li'sha'si'men
李香莲卖画,li'xiang'lian'mai'hua
李孝存打虎,li'xiao'cun'da'hu
李信赠剑,li'xin'zeng'jian
李月兰,li'yue'lan
连环计,lian'huan'ji
连桥会,lian'qiao'hui
连心袄,lian'xin'ao
连心豆,lian'xin'dou
连心曲,lian'xin'qu
两朵小红花,liang'duo'xiao'hong'hua
两个心眼,liang'ge'xin'yan
两家春,liang'jia'chun
两狼山,liang'lang'shan
梁赛金擀面,liang'sai'jin'gan'mian
梁山伯五更,liang'shan'bo'wu'geng
两样礼物,liang'yang'li'wu
林冲发配,lin'chong'fa'pei
临潼斗宝,lin'tong'dou'bao
玲珑塔,ling'long'ta
刘备招亲,liu'bei'zhao'qin
柳春桃,liu'chun'tao
刘二姐拴娃娃,liu'er'jie'shuan'wa'wa
刘公案,liu'gong'an
柳河湾,liu'he'wan
刘金定大破迷魂阵,liu'jin'ding'da'po'mi'hun'zhen
刘金定观星,liu'jin'ding'guan'xing
刘金定探病,liu'jin'ding'tan'bing
刘姥姥还乡,liu'lao'lao'huan'xiang
刘伶醉酒,liu'ling'zui'jiu
刘全进瓜,liu'quan'jin'gua
刘同勋私访,liu'tong'xun'si'fang
柳毅传书,liu'yi'chuan'shu
柳迎春守寒窑,liu'ying'chun'shou'han'yao
六月雪,liu'yue'xue
刘云打母,liu'yun'da'mu
柳展雄抢亲,liu'zhan'xiong'qiang'qin
龙凤关,long'feng'guan
龙凤配,long'feng'pei
龙马归槽,long'ma'gui'cao
楼台会,lou'tai'hui
鲁达除霸,lu'da'chu'ba
露泪缘,lu'lei'yuan
罗成叫关,luo'cheng'jiao'guan
罗成卖线,luo'cheng'mai'xian
罗成算卦,luo'cheng'suan'gua
罗成托梦,luo'cheng'tuo'meng
罗锅子抢亲,luo'guo'zi'qiang'qin
罗裙记,luo'qun'ji
啰嗦五更,luo'suo'wu'geng
洛阳桥,luo'yang'qiao
罗章跪楼,luo'zhang'gui'lou
吕蒙正赶斋,lv'meng'zheng'gan'zhai
吕蒙正教学,lv'meng'zheng'jiao'xue
绿叶红花,lv'ye'hong'hua
吗啡针,ma'fei'zhen
马寡妇开店,ma'gua'fu'kai'dian
马老大推磨,ma'lao'da'tui'mo
妈妈糊涂,ma'ma'hu'tu
妈妈会,ma'ma'hui
马前泼水,ma'qian'po'shui
蚂蚱算卦,ma'zha'suan'gua
买菜卖菜,mai'cai'mai'cai
卖大布,mai'da'bu
卖瓜记,mai'gua'ji
卖了孙贤,mai'le'sun'xian
买毛驴,mai'mao'lv
卖药追药,mai'yao'zhui'yao
买鱼,mai'yu
美猴王,mei'hou'wang
美女思情,mei'nv'si'qing
美人查关,mei'ren'cha'guan
孟姜女寻夫,meng'jiang'nv'xun'fu
梦中寻夫,meng'zhong'xun'fu
蜜蜂记,mi'feng'ji
密建游宫,mi'jian'you'gong
糜氏托孤,mi'shi'tuo'gu
民国律,min'guo'lv
明天,ming'tian
明月照高楼,ming'yue'zhao'gao'lou
磨房产子,mo'fang'chan'zi
茉莉花,mo'li'hua
穆桂英搬兵,mu'gui'ying'ban'bing
穆桂英赔情,mu'gui'ying'pei'qing
穆桂英指路,mu'gui'ying'zhi'lu
穆柯寨,mu'ke'zhai
木兰从军,mu'lan'cong'jun
木兰归来,mu'lan'gui'lai
目莲救母,mu'lian'jiu'mu
母女顶嘴,mu'nv'ding'zui
母子比武,mu'zi'bi'wu
拿蝎子,na'xie'zi
南北和,nan'bei'he
南郭学艺,nan'guo'xue'yi
闹掰扯,nao'bai'che
闹仓库,nao'cang'ku
闹酒桌,nao'jiu'zhuo
闹毛鱼塘,nao'mao'yu'tang
闹南监,nao'nan'jian
闹碾房,nao'nian'fang
闹元宵,nao'yuan'xiao
尼姑思凡,ni'gu'si'fan
尼姑下山,ni'gu'xia'shan
牛得财告状,niu'de'cai'gao'zhuang
牛皋招亲,niu'gao'zhao'qin
农村好风光,nong'cun'hao'feng'guang
奴在婆家受折磨,nu'zai'po'jia'shou'zhe'mo
女队长,nv'dui'chang
女排赞,nv'pai'zan
爬墙头,pa'qiang'tou
攀亲家,pan'qing'jia
盼情郎,pan'qing'lang
盼情人,pan'qing'ren
盼孙子,pan'sun'zi
盼五更,pan'wu'geng
潘杨姻缘,pan'yang'yin'yuan
跑关东,pao'guan'dong
配夫妻,pei'fu'qi
赔牛,pei'niu
劈山救母,pi'shan'jiu'mu
贫寒五更,pin'han'wu'geng
破镜重圆,po'jing'chong'yuan
婆媳顶嘴,po'xi'ding'zui
铺地锦,pu'di'jin
扑蝴蝶,pu'hu'die
葡萄姻缘,pu'tao'yin'yuan
齐二嫂串门,qi'er'sao'chuan'men
七人贤,qi'ren'xian
奇冤梦,qi'yuan'meng
七月七,qi'yue'qi
千里送京娘,qian'li'song'jing'niang
乾隆下江南,qian'long'xia'jiang'nan
墙头记,qiang'tou'ji
巧扳桩,qiao'ban'zhuang
巧结鸳鸯,qiao'jie'yuan'yang
瞧情郎,qiao'qing'lang
俏僧尼,qiao'seng'ni
桥头会,qiao'tou'hui
巧嘴儿,qiao'zui'er
亲儿女,qin'er'nv
秦梦兰出嫁,qin'meng'lan'chu'jia
秦香莲,qin'xiang'lian
秦雪梅吊孝,qin'xue'mei'diao'xiao
青菜段,qing'cai'duan
请东家,qing'dong'jia
庆功楼,qing'gong'lou
清官断,qing'guan'duan
清烈传,qing'lie'chuan
情人迷,qing'ren'mi
青山育秀,qing'shan'yu'xiu
青石山,qing'shi'shan
情五更,qing'wu'geng
穷富论,qiong'fu'lun
求师,qiu'shi
全德报,quan'de'bao
全家光荣,quan'jia'guang'rong
劝郎别耍钱,quan'lang'bie'shua'qian
劝婆打碗,quan'po'da'wan
让炕头,rang'kang'tou
人老心红,ren'lao'xin'hong
人民大桥,ren'min'da'qiao
人民的好车站,ren'min'de'hao'che'zhan
人头告状,ren'tou'gao'zhuang
洒金扇,sa'jin'shan
三辈人,san'bei'ren
三尺柜台,san'chi'gui'tai
三打白骨精,san'da'bai'gu'jing
三打赌,san'da'du
三打苏二姐,san'da'su'er'jie
三到刘家,san'dao'liu'jia
三对梨花枪,san'dui'li'hua'qiang
三关认夫,san'guan'ren'fu
三国五更,san'guo'wu'geng
三家喜,san'jia'xi
三荐曹参,san'jian'cao'shen
三件废品,san'jian'fei'pin
三节烈,san'jie'lie
三看光荣榜,san'kan'guang'rong'bang
三请樊梨花,san'qing'fan'li'hua
三让红旗,san'rang'hong'qi
三送鸡,san'song'ji
三调芭蕉扇,san'tiao'ba'jiao'shan
三贤,san'xian
三遇文化岗,san'yu'wen'hua'gang
三只鸡,san'zhi'ji
僧尼会,seng'ni'hui
杀狗,sha'gou
杀家,sha'jia
杀江,sha'jiang
沙金扇,sha'jin'shan
杀楼,sha'lou
杀庙,sha'miao
杀子报,sha'zi'bao
上北楼,shang'bei'lou
上梁那天,shang'liang'na'tian
捎书,shao'shu
佘太君辞朝,she'tai'jun'ci'chao
深山红花,shen'shan'hong'hua
审问青羊,shen'wen'qing'yang
生死板,sheng'si'ban
生死药,sheng'si'yao
十八里相送,shi'ba'li'xiang'song
十八摸,shi'ba'mo
十补母重恩,shi'bu'mu'zhong'en
十大想,shi'da'xiang
十对花,shi'dui'hua
十二月打官司,shi'er'yue'da'guan'si
十二月倒花,shi'er'yue'dao'hua
石匠做碑,shi'jiang'zuo'bei
十六愁,shi'liu'chou
十美图放风筝,shi'mei'tu'fang'feng'zheng
十女夸夫,shi'nv'kua'fu
十三道大辙,shi'san'dao'da'zhe
十三咳,shi'san'ke
十问十答,shi'wen'shi'da
拾婴记,shi'ying'ji
拾玉镯,shi'yu'zhuo
十月春风传喜讯,shi'yue'chun'feng'zhuan'xi'xun
十字坡,shi'zi'po
书记盖房,shu'ji'gai'fang
书记嫁女,shu'ji'jia'nv
书囊计,shu'nang'ji
叔嫂情,shu'sao'qing
摔盆,shuai'pen
摔三弦,shuai'san'xian
摔子劝夫,shuai'zi'quan'fu
双拜年,shuang'bai'nian
双背凳,shuang'bei'deng
双比武,shuang'bi'wu
双拆庙,shuang'chai'miao
双戴花,shuang'dai'hua
双顶灯,shuang'ding'deng
双拐,shuang'guai
双官诰,shuang'guan'gao
双回头,shuang'hui'tou
双交换,shuang'jiao'huan
双进城,shuang'jin'cheng
双看戏,shuang'kan'xi
双叩门,shuang'kou'men
双立志,shuang'li'zhi
双卖画,shuang'mai'hua
双怕妻,shuang'pa'qi
双配合,shuang'pei'he
双赔鸡,shuang'pei'ji
双十比,shuang'shi'bi
双锁山,shuang'suo'shan
双秃闹房,shuang'tu'nao'fang
双下山,shuang'xia'shan
双贤图,shuang'xian'tu
水牢记,shui'lao'ji
水漫蓝桥,shui'man'lan'qiao
水淹金山,shui'yan'jin'shan
四大劝,si'da'quan
四季花鸟虫子名,si'ji'hua'niao'chong'zi'ming
丝绒记,si'rong'ji
思五更,si'wu'geng
宋恩珍,song'en'zhen
送饭,song'fan
送孩子,song'hai'zi
送鸡还鸡,song'ji'hai'ji
送金秋,song'jin'qiu
送郎参军,song'lang'can'jun
送礼,song'li
送女归校,song'nv'gui'xiao
送情郎,song'qing'lang
送鞋,song'xie
送子劝夫,song'zi'quan'fu
苏代赔妹,su'dai'pei'mei
苏廷元搬家,su'ting'yuan'ban'jia
苏武牧羊,su'wu'mu'yang
酸甜泪,suan'tian'lei
孙膑思家,sun'bin'si'jia
孙二娘开店,sun'er'niang'kai'dian
孙纪皋卖水,sun'ji'gao'mai'shui
孙武子演兵,sun'wu'zi'yan'bing
梭罗彦查关,suo'luo'yan'cha'guan
太公卖面,tai'gong'mai'mian
贪财丧命,tan'cai'sang'ming
探妹,tan'mei
探情郎,tan'qing'lang
叹青楼,tan'qing'lou
探清水河,tan'qing'shui'he
探书房,tan'shu'fang
谭香哭瓜,tan'xiang'ku'gua
谭香女哭瓜,tan'xiang'nv'ku'gua
叹烟花,tan'yan'hua
探窑,tan'yao
唐二主探病,tang'er'zhu'tan'bing
唐营送枕,tang'ying'song'zhen
逃荒歌,tao'huang'ge
特殊订婚礼,te'shu'ding'hun'li
天阁楼,tian'ge'lou
天公报,tian'gong'bao
天河配,tian'he'pei
天门阵,tian'men'zhen
天齐庙,tian'qi'miao
天台山封神,tian'tai'shan'feng'shen
天缘配,tian'yuan'pei
挑对象,tiao'dui'xiang
挑女婿,tiao'nv'xu
跳猪圈,tiao'zhu'juan
铁佛寺,tie'fo'si
铁弓缘,tie'gong'yuan
铁冠图,tie'guan'tu
听琴,ting'qin
头雁高飞,tou'yan'gao'fei
土山被困,tu'shan'bei'kun
团圆记,tuan'yuan'ji
推扭抽,tui'niu'chou
王登云休妻,wang'deng'yun'xiu'qi
王定保借当,wang'ding'bao'jie'dang
王二姐思夫,wang'er'jie'si'fu
望儿楼,wang'er'lou
王二嫂出工,wang'er'sao'chu'gong
王二嫂的难处,wang'er'sao'de'nan'chu
王二嫂拥军,wang'er'sao'yong'jun
王华买父,wang'hua'mai'fu
王姣鸾百年长恨,wang'jiao'luan'bai'nian'chang'hen
王奎元逃学,wang'kui'yuan'tao'xue
王美蓉观花,wang'mei'rong'guan'hua
王婆骂鸡,wang'po'ma'ji
王少安赶船,wang'shao'an'gan'chuan
王天保讨饭,wang'tian'bao'tao'fan
王祥卧鱼,wang'xiang'wo'yu
王员外休妻,wang'yuan'wai'xiu'qi
伪君子,wei'jun'zi
威震石门寨,wei'zhen'shi'men'zhai
文君夜奔,wen'jun'ye'ben
文明落套,wen'ming'luo'tao
五层殿,wu'ceng'dian
武大郎上坟,wu'da'lang'shang'fen
无底洞,wu'di'dong
五分钱,wu'fen'qian
五峰山,wu'feng'shan
五更十三咳,wu'geng'shi'san'ke
蜈蚣岭,wu'gong'ling
吴家花园,wu'jia'hua'yuan
武家坡,wu'jia'po
乌金记,wu'jin'ji
五雷阵,wu'lei'zhen
五龙堂,wu'long'tang
乌龙院,wu'long'yuan
吴三桂借兵,wu'san'gui'jie'bing
武松打店,wu'song'da'dian
武松打虎,wu'song'da'hu
武松发配,wu'song'fa'pei
武松反狱,wu'song'fan'yu
武松杀嫂,wu'song'sha'sao
舞台会,wu'tai'hui
伍子胥过江,wu'zi'xu'guo'jiang
喜儿翻身,xi'er'fan'shen
喜丰收,xi'feng'shou
西楼会,xi'lou'hui
喜荣归,xi'rong'gui
喜嫂闹堂,xi'sao'nao'tang
喜上门来,xi'shang'men'lai
稀屎洞,xi'shi'dong
喜相逢,xi'xiang'feng
喜中喜,xi'zhong'xi
下河南,xia'he'nan
下盘棋,xia'pan'qi
下扬州,xia'yang'zhou
瞎子观灯,xia'zi'guan'deng
香港归来,xiang'gang'gui'lai
湘江红鲤,xiang'jiang'hong'li
响铃公主,xiang'ling'gong'zhu
香罗带,xiang'luo'dai
香罗帕,xiang'luo'pa
相亲路上,xiang'qin'lu'shang
想情郎,xiang'qing'lang
湘子出家,xiang'zi'chu'jia
小白龙造饭,xiao'bai'long'zao'fan
小拜年,xiao'bai'nian
小重楼,xiao'chong'lou
小锄地,xiao'chu'di
小大嫂截车,xiao'da'sao'jie'che
小吊孝,xiao'diao'xiao
小冻冰,xiao'dong'bing
小二姐做梦,xiao'er'jie'zuo'meng
小放牛,xiao'fang'niu
小分家,xiao'fen'jia
小封宫,xiao'feng'gong
小赶船,xiao'gan'chuan
小姑不贤,xiao'gu'bu'xian
小姑恶,xiao'gu'e
小姑贤,xiao'gu'xian
小寡妇上坟,xiao'gua'fu'shang'fen
小借年,xiao'jie'nian
小看牌,xiao'kan'pai
小看戏,xiao'kan'xi
小挎鼓,xiao'kua'gu
小老板,xiao'lao'ban
小老妈开嗙,xiao'lao'ma'kai'beng
小两口串门,xiao'liang'kou'chuan'men
小两口顶嘴,xiao'liang'kou'ding'zui
小两口分家,xiao'liang'kou'fen'jia
小两口逛庙,xiao'liang'kou'guang'miao
小尿炕,xiao'niao'kang
小三分家,xiao'san'fen'jia
小上庙,xiao'shang'miao
小上寿,xiao'shang'shou
小烧香,xiao'shao'xiang
小四景,xiao'si'jing
小送饭,xiao'song'fan
小天台,xiao'tian'tai
小王打鸟,xiao'wang'da'niao
小西唐,xiao'xi'tang
筱月兰雪恨,xiao'yue'lan'xue'hen
小住家,xiao'zhu'jia
小做饭,xiao'zuo'fan
信不着赔礼,xin'bu'zhao'pei'li
新城新貌新发展,xin'cheng'xin'mao'xin'fa'zhan
新婚礼,xin'hun'li
新农家乐,xin'nong'jia'le
兄妹情深,xiong'mei'qing'shen
绣八出戏,xiu'ba'chu'xi
绣八仙,xiu'ba'xian
绣灯笼,xiu'deng'long
绣地球,xiu'di'qiu
绣兜兜,xiu'dou'dou
绣耳包,xiu'er'bao
绣锅台,xiu'guo'tai
绣荷包,xiu'he'bao
绣花灯,xiu'hua'deng
绣花鞋,xiu'hua'xie
绣麒麟,xiu'qi'lin
绣取灯,xiu'qu'deng
绣特勒,xiu'te'le
绣云肩,xiu'yun'jian
绣沾布,xiu'zhan'bu
许士林拜塔,xu'shi'lin'bai'ta
许仙借伞,xu'xian'jie'san
旋风案,xuan'feng'an
薛礼打虎,xue'li'da'hu
雪玉冰霜,xue'yu'bing'shuang
巡线工,xun'xian'gong
浔阳楼,xun'yang'lou
哑女出嫁,ya'nv'chu'jia
雁词,yan'ci
燕青打擂,yan'qing'da'lei
燕青卖线,yan'qing'mai'xian
艳秋与铁牛,yan'qiu'yu'tie'niu
燕去凤飞,yan'qu'feng'fei
阎王审鼠,yan'wang'shen'shu
杨八姐拉马,yang'ba'jie'la'ma
杨八姐游春,yang'ba'jie'you'chun
杨八郎探母,yang'ba'lang'tan'mu
杨大嫂找马,yang'da'sao'zhao'ma
杨二郎救母,yang'er'lang'jiu'mu
杨二舍化缘,yang'er'she'hua'yuan
杨广变牛,yang'guang'bian'niu
杨家归西,yang'jia'gui'xi
杨柳逢春,yang'liu'feng'chun
扬眉吐气,yang'mei'tu'qi
杨闹红要表,yang'nao'hong'yao'biao
杨排风,yang'pai'feng
