矮脚虎王英,ai'jiao'hu'wang'ying
通臂猿侯健,tong'bi'yuan'hou'jian
童猛,tong'meng
童威,tong'wei
王英,wang'ying
魏定国,wei'ding'guo
武松,wu'song
吴用,wu'yong
项充,xiang'chong
小霸王周通,xiao'ba'wang'zhou'tong
小李广花荣,xiao'li'guang'hua'rong
笑面虎朱富,xiao'mian'hu'zhu'fu
萧让,xiao'rang
小温侯吕方,xiao'wen'hou'lv'fang
小旋风柴进,xiao'xuan'feng'chai'jin
小尉迟孙新,xiao'yu'chi'sun'xin
小遮拦穆春,xiao'zhe'lan'mu'chun
解宝,xie'bao
解珍,xie'zhen
行者武松,xing'zhe'wu'song
徐宁,xu'ning
宣赞,xuan'zan
薛永,xue'yong
燕青,yan'qing
燕顺,yan'shun
杨春,yang'chun
杨林,yang'lin
杨雄,yang'xiong
杨志,yang'zhi
一丈青扈三娘,yi'zhang'qing'hu'san'niang
一枝花蔡庆,yi'zhi'hua'cai'qing
玉臂匠金大坚,yu'bi'jiang'jin'da'jian
玉幡竿孟康,yu'fan'gan'meng'kang
玉麒麟卢俊义,yu'qi'lin'lu'jun'yi
云里金刚宋万,yun'li'jin'gang'song'wan
张横,zhang'heng
张清,zhang'qing
张顺,zhang'shun
镇三山黄信,zhen'san'shan'huang'xin
郑天寿,zheng'tian'shou
智多星吴用,zhi'duo'xing'wu'yong
中箭虎丁得孙,zhong'jian'hu'ding'de'sun
周通,zhou'tong
朱贵,zhu'gui
朱仝,zhu'tong
朱武,zhu'wu
紫髯伯皇甫端,zi'ran'bo'huang'fu'duan
邹润,zou'run
邹渊,zou'yuan
