阿飞,a'fei
红之果实,hong'zhi'guo'shi
后宫术,hou'gong'shu
后宫之术,hou'gong'zhi'shu
护额,hu'e
狐狸心中之术,hu'li'xin'zhong'zhi'shu
护谟,hu'mo
护膜壁,hu'mo'bi
琥珀净瓶,hu'po'jing'ping
户善竹丸,hu'shan'zhu'wan
虎视眈弹,hu'shi'dan'dan
花晨姬,hua'chen'ji
花果山,hua'guo'shan
花火,hua'huo
唤虫术,huan'chong'shu
幻龙九封尽,huan'long'jiu'feng'jin
幻龙九封印,huan'long'jiu'feng'yin
幻术,huan'shu
幻术狐狸心中之术,huan'shu'hu'li'xin'zhong'zhi'shu
幻术涅槃精舍之术,huan'shu'nie'pan'jing'she'zhi'shu
幻术霞从者之术,huan'shu'xia'cong'zhe'zhi'shu
幻术型,huan'shu'xing
幻幽丸,huan'you'wan
幻之地底遗迹,huan'zhi'di'di'yi'ji
幌金绳,huang'jin'sheng
黄泉沼,huang'quan'zhao
黄色闪光,huang'se'shan'guang
黄土,huang'tu
惠比寿,hui'bi'shou
惠比斯,hui'bi'si
惠比须,hui'bi'xu
灰积烧,hui'ji'shao
灰积焼,hui'ji'shao
回天,hui'tian
秽土转生,hui'tu'zhuan'sheng
秽土转生解,hui'tu'zhuan'sheng'jie
灰丸三兄弟,hui'wan'san'xiong'di
辉夜,hui'ye
辉夜君麻吕,hui'ye'jun'ma'lv
辉夜一族,hui'ye'yi'zu
火遁,huo'dun
火遁大火球之术,huo'dun'da'huo'qiu'zhi'shu
火遁凤仙花爪红,huo'dun'feng'xian'hua'zhao'hong
火遁凤仙火之术,huo'dun'feng'xian'huo'zhi'shu
火遁豪火灭却,huo'dun'hao'huo'mie'que
火遁豪火灭却之术,huo'dun'hao'huo'mie'que'zhi'shu
火遁豪火灭矢之术,huo'dun'hao'huo'mie'shi'zhi'shu
火遁豪火球之术,huo'dun'hao'huo'qiu'zhi'shu
火遁灰积烧,huo'dun'hui'ji'shao
火遁火龙遁,huo'dun'huo'long'dun
火遁火龙炎弹,huo'dun'huo'long'yan'dan
火遁龙火之术,huo'dun'long'huo'zhi'shu
火遁龙炎放歌之术,huo'dun'long'yan'fang'ge'zhi'shu
火遁头刻苦,huo'dun'tou'ke'ku
火遁灼灰云,huo'dun'zhuo'hui'yun
火龙炎弹,huo'long'yan'dan
火龙之术,huo'long'zhi'shu
惑星螺旋丸,huo'xing'luo'xuan'wan
火影,huo'ying
火影忍者,huo'ying'ren'zhe
火影式耳顺术,huo'ying'shi'er'shun'shu
火影岩,huo'ying'yan
火之国,huo'zhi'guo
火之意志,huo'zhi'yi'zhi
火走,huo'zou
羁绊,ji'ban
激斗忍者大战,ji'dou'ren'zhe'da'zhan
疾风传,ji'feng'zhuan
矶抚,ji'fu
寄坏虫,ji'huai'chong
机机一发,ji'ji'yi'fa
犄角折,ji'jiao'zhe
吉拉比,ji'la'bi
己生转生,ji'sheng'zhuan'sheng
矶怃,ji'wu
加具土命,jia'ju'tu'ming
加流罗,jia'liu'luo
加琉罗,jia'liu'luo
假寐之术,jia'mei'zhi'shu
加藤断,jia'teng'duan
加重岩之术,jia'zhong'yan'zhi'shu
剑三隅,jian'san'yu
建御雷神,jian'yu'lei'shen
僵尸二人组,jiang'shi'er'ren'zu
匠之国,jiang'zhi'guo
角白鲸,jiao'bai'jing
角都,jiao'du
焦遁,jiao'dun
鲛肌,jiao'ji
鲛肌大刀,jiao'ji'da'dao
皆波风,jie'bo'feng
结界门护符术八门闭场,jie'jie'men'hu'fu'shu'ba'men'bi'chang
