安抚息乱,an'fu'xi'luan
砸环示强,za'huan'shi'qiang
择人任势,ze'ren'ren'shi
斩草除根,zhan'cao'chu'gen
招贤纳士,zhao'xian'na'shi
正事反做,zheng'shi'fan'zuo
蒸粟损敌,zheng'su'sun'di
知微存树,zhi'wei'cun'shu
智析议和,zhi'xi'yi'he
重地则掠,zhong'di'ze'lue
重金买马骨,zhong'jin'mai'ma'gu
诛杀名人,zhu'sha'ming'ren
赚仇颂己,zhuan'chou'song'ji
装疯藏智,zhuang'feng'cang'zhi
自污免祸,zi'wu'mian'huo
罪张而诛,zui'zhang'er'zhu
尊王攘夷,zun'wang'rang'yi
坐收渔利,zuo'shou'yu'li
