阿波介,a'bo'jie
典药小允,dian'yao'xiao'yun
典药助,dian'yao'zhu
东市佑,dong'shi'you
东市正,dong'shi'zheng
对马守,dui'ma'shou
肥后介,fei'hou'jie
肥后守,fei'hou'shou
肥前介,fei'qian'jie
肥前守,fei'qian'shou
飞騨守,fei'tuo'shou
缝殿大允,feng'dian'da'yun
缝殿头,feng'dian'tou
缝殿小允,feng'dian'xiao'yun
缝殿助,feng'dian'zhu
丰后介,feng'hou'jie
丰后守,feng'hou'shou
丰前介,feng'qian'jie
丰前守,feng'qian'shou
宫内,gong'nei
宫内大丞,gong'nei'da'cheng
宫内大辅,gong'nei'da'fu
宫内大录,gong'nei'da'lu
宫内卿,gong'nei'qing
宫内少丞,gong'nei'shao'cheng
宫内少辅,gong'nei'shao'fu
宫内少录,gong'nei'shao'lu
关白,guan'bai
河内介,he'nei'jie
河内守,he'nei'shou
和泉守,he'quan'shou
纪伊介,ji'yi'jie
纪伊守,ji'yi'shou
甲斐介,jia'fei'jie
甲斐守,jia'fei'shou
加贺介,jia'he'jie
加贺守,jia'he'shou
检非违别当,jian'fei'wei'bie'dang
检非违使大尉,jian'fei'wei'shi'da'wei
检非违使少尉,jian'fei'wei'shi'shao'wei
检非违使佐,jian'fei'wei'shi'zuo
将监,jiang'jian
近江介,jin'jiang'jie
近江守,jin'jiang'shou
骏河介,jun'he'jie
骏河守,jun'he'shou
勘解由次官,kan'jie'you'ci'guan
勘解由判官,kan'jie'you'pan'guan
勘解由长官,kan'jie'you'zhang'guan
寮大允,liao'da'yun
寮头,liao'tou
寮小允,liao'xiao'yun
寮助,liao'zhu
六位藏人,liu'wei'cang'ren
陆奥介,lu'ao'jie
陆奥守,lu'ao'shou
美浓介,mei'nong'jie
美浓守,mei'nong'shou
美作介,mei'zuo'jie
美作守,mei'zuo'shou
民部,min'bu
民部大丞,min'bu'da'cheng
民部大辅,min'bu'da'fu
民部大录,min'bu'da'lu
民部卿,min'bu'qing
民部少丞,min'bu'shao'cheng
民部少辅,min'bu'shao'fu
民部少录,min'bu'shao'lu
木工大允,mu'gong'da'yun
木工头,mu'gong'tou
木工小允,mu'gong'xiao'yun
木工助,mu'gong'zhu
内藏大允,nei'cang'da'yun
内藏头,nei'cang'tou
内藏小允,nei'cang'xiao'yun
内藏助,nei'cang'zhu
内大臣,nei'da'chen
内府,nei'fu
内府殿,nei'fu'dian
内匠大允,nei'jiang'da'yun
内匠头,nei'jiang'tou
内匠小允,nei'jiang'xiao'yun
内匠助,nei'jiang'zhu
内膳正,nei'shan'zheng
能登守,neng'deng'shou
七省卿,qi'sheng'qing
秋田城介,qiu'tian'cheng'jie
权大纳言,quan'da'na'yan
权中纳言,quan'zhong'na'yan
日向守,ri'xiang'shou
若狭守,ruo'xia'shou
萨摩守,sa'mo'shou
三河介,san'he'jie
三河守,san'he'shou
扫部大允,sao'bu'da'yun
扫部头,sao'bu'tou
扫部小允,sao'bu'xiao'yun
扫部助,sao'bu'zhu
山城介,shan'cheng'jie
山城守,shan'cheng'shou
上国介,shang'guo'jie
上国守,shang'guo'shou
上野介,shang'ye'jie
上野守,shang'ye'shou
上总介,shang'zong'jie
上总守,shang'zong'shou
少弁,shao'bian
少丞,shao'cheng
少典钥,shao'dian'yao
少辅,shao'fu
少监物,shao'jian'wu
少进,shao'jin
少录,shao'lu
少纳言,shao'na'yan
少内记,shao'nei'ji
少外记,shao'wai'ji
少主铃,shao'zhu'ling
摄津介,she'jin'jie
摄津守,she'jin'shou
摄政,she'zheng
式部,shi'bu
式部大丞,shi'bu'da'cheng
式部大辅,shi'bu'da'fu
式部大录,shi'bu'da'lu
式部卿,shi'bu'qing
式部少丞,shi'bu'shao'cheng
式部少辅,shi'bu'shao'fu
式部少录,shi'bu'shao'lu
侍从,shi'cong
石见守,shi'jian'shou
隼人佑,sun'ren'you
隼人正,sun'ren'zheng
太宰大贰,tai'zai'da'er
太宰大监,tai'zai'da'jian
太宰少贰,tai'zai'shao'er
太宰少监,tai'zai'shao'jian
太宰帅,tai'zai'shuai
太政大臣,tai'zheng'da'chen
图书大允,tu'shu'da'yun
图书头,tu'shu'tou
图书小允,tu'shu'xiao'yun
图书助,tu'shu'zhu
土佐守,tu'zuo'shou
尾张介,wei'zhang'jie
尾张守,wei'zhang'shou
五位藏人,wu'wei'cang'ren
武藏介,wu'zang'jie
武藏守,wu'zang'shou
西市佑,xi'shi'you
西市正,xi'shi'zheng
下国守,xia'guo'shou
下野介,xia'ye'jie
下野守,xia'ye'shou
下总介,xia'zong'jie
下总守,xia'zong'shou
相模介,xiang'mo'jie
相模守,xiang'mo'shou
小允,xiao'yun
信浓介,xin'nong'jie
信浓守,xin'nong'shou
刑部,xing'bu
刑部大丞,xing'bu'da'cheng
刑部大辅,xing'bu'da'fu
刑部大录,xing'bu'da'lu
刑部卿,xing'bu'qing
刑部少丞,xing'bu'shao'cheng
刑部少辅,xing'bu'shao'fu
刑部少录,xing'bu'shao'lu
修理大进,xiu'li'da'jin
修理大夫,xiu'li'dai'fu
修理亮,xiu'li'liang
修理少进,xiu'li'shao'jin
玄蕃大允,xuan'fan'da'yun
玄蕃头,xuan'fan'tou
玄蕃小允,xuan'fan'xiao'yun
玄蕃助,xuan'fan'zhu
雅乐大允,ya'yue'da'yun
雅乐头,ya'yue'tou
雅乐小允,ya'yue'xiao'yun
雅乐助,ya'yue'zhu
伊豆守,yi'dou'shou
伊贺守,yi'he'shou
壹岐守,yi'qi'shou
伊势介,yi'shi'jie
伊势守,yi'shi'shou
伊予介,yi'yu'jie
伊予守,yi'yu'shou
因幡介,yin'fan'jie
因幡守,yin'fan'shou
隐岐守,yin'qi'shou
右兵卫大尉,you'bing'wei'da'wei
右兵卫大志,you'bing'wei'da'zhi
右兵卫督,you'bing'wei'du
右兵卫少尉,you'bing'wei'shao'wei
右兵卫少志,you'bing'wei'shao'zhi
右兵卫佐,you'bing'wei'zuo
右大弁,you'da'bian
右大臣,you'da'chen
右大将,you'da'jiang
右大史,you'da'shi
右府,you'fu
右府殿,you'fu'dian
右近将监,you'jin'jiang'jian
右近卫大将,you'jin'wei'da'jiang
右近卫少将,you'jin'wei'shao'jiang
右近卫中将,you'jin'wei'zhong'jiang
右京大进,you'jing'da'jin
右京大夫,you'jing'dai'fu
右京亮,you'jing'liang
右京少进,you'jing'shao'jin
右马大允,you'ma'da'yun
右马头,you'ma'tou
右马小允,you'ma'xiao'yun
右马助,you'ma'zhu
右少弁,you'shao'bian
右卫门大尉,you'wei'men'da'wei
右卫门大志,you'wei'men'da'zhi
右卫门督,you'wei'men'du
右卫门少尉,you'wei'men'shao'wei
右卫门少志,you'wei'men'shao'zhi
右卫门佐,you'wei'men'zuo
右中弁,you'zhong'bian
远江介,yuan'jiang'jie
远江守,yuan'jiang'shou
越后介,yue'hou'jie
越后守,yue'hou'shou
越前介,yue'qian'jie
越前守,yue'qian'shou
越中介,yue'zhong'jie
越中守,yue'zhong'shou
赞岐介,zan'qi'jie
赞岐守,zan'qi'shou
正八位上,zheng'ba'wei'shang
正八位下,zheng'ba'wei'xia
正二位,zheng'er'wei
正六位上,zheng'liu'wei'shang
正六位下,zheng'liu'wei'xia
正七位上,zheng'qi'wei'shang
正七位下,zheng'qi'wei'xia
正三位,zheng'san'wei
正四位上,zheng'si'wei'shang
正四位下,zheng'si'wei'xia
正五位上,zheng'wu'wei'shang
正五位下,zheng'wu'wei'xia
正一位,zheng'yi'wei
治部,zhi'bu
治部大丞,zhi'bu'da'cheng
治部大辅,zhi'bu'da'fu
治部大录,zhi'bu'da'lu
治部卿,zhi'bu'qing
治部少丞,zhi'bu'shao'cheng
治部少辅,zhi'bu'shao'fu
治部少录,zhi'bu'shao'lu
织部佑,zhi'bu'you
织部正,zhi'bu'zheng
志摩守,zhi'mo'shou
中宫大进,zhong'gong'da'jin
中宫大夫,zhong'gong'dai'fu
中宫亮,zhong'gong'liang
中宫少进,zhong'gong'shao'jin
中监务,zhong'jian'wu
中纳言,zhong'na'yan
中内记,zhong'nei'ji
中务,zhong'wu
中务大丞,zhong'wu'da'cheng
中务大辅,zhong'wu'da'fu
中务大录,zhong'wu'da'lu
中务卿,zhong'wu'qing
中务少丞,zhong'wu'shao'cheng
中务少辅,zhong'wu'shao'fu
中务少录,zhong'wu'shao'lu
周防介,zhou'fang'jie
周防守,zhou'fang'shou
主殿大允,zhu'dian'da'yun
主殿头,zhu'dian'tou
主殿小允,zhu'dian'xiao'yun
主殿助,zhu'dian'zhu
筑后介,zhu'hou'jie
筑后守,zhu'hou'shou
主计大允,zhu'ji'da'yun
主计头,zhu'ji'tou
主计小允,zhu'ji'xiao'yun
主计助,zhu'ji'zhu
筑前介,zhu'qian'jie
筑前守,zhu'qian'shou
主膳佑,zhu'shan'you
主膳正,zhu'shan'zheng
主税大允,zhu'shui'da'yun
主税头,zhu'shui'tou
主税小允,zhu'shui'xiao'yun
主水佑,zhu'shui'you
主水正,zhu'shui'zheng
主税助,zhu'shui'zhu
左兵卫大尉,zuo'bing'wei'da'wei
左兵卫大志,zuo'bing'wei'da'zhi
左兵卫督,zuo'bing'wei'du
左兵卫少尉,zuo'bing'wei'shao'wei
左兵卫少志,zuo'bing'wei'shao'zhi
左兵卫佐,zuo'bing'wei'zuo
左大弁,zuo'da'bian
左大臣,zuo'da'chen
左大将,zuo'da'jiang
左大史,zuo'da'shi
佐渡守,zuo'du'shou
左府,zuo'fu
左府殿,zuo'fu'dian
左近将监,zuo'jin'jiang'jian
左近卫大将,zuo'jin'wei'da'jiang
左近卫少将,zuo'jin'wei'shao'jiang
左近卫中将,zuo'jin'wei'zhong'jiang
左京大进,zuo'jing'da'jin
左京大夫,zuo'jing'dai'fu
左京亮,zuo'jing'liang
左京少进,zuo'jing'shao'jin
左马大允,zuo'ma'da'yun
左马头,zuo'ma'tou
左马小允,zuo'ma'xiao'yun
左马助,zuo'ma'zhu
左少弁,zuo'shao'bian
左卫门大尉,zuo'wei'men'da'wei
左卫门大志,zuo'wei'men'da'zhi
左卫门督,zuo'wei'men'du
左卫门少尉,zuo'wei'men'shao'wei
左卫门少志,zuo'wei'men'shao'zhi
左卫门佐,zuo'wei'men'zuo
左中弁,zuo'zhong'bian
