安全剂量,an'quan'ji'liang
脱叶致死,tuo'ye'zhi'si
外照射,wai'zhao'she
外照射伤害,wai'zhao'she'shang'hai
维埃克斯,wei'ai'ke'si
无防护,wu'fang'hu
无防护人员,wu'fang'hu'ren'yuan
污染区,wu'ran'qu
物体染毒,wu'ti'ran'du
西阿尔,xi'a'er
西埃斯,xi'ai'si
细菌,xi'jun
细菌战,xi'jun'zhan
吸入,xi'ru
吸收剂量,xi'shou'ji'liang
洗消,xi'xiao
洗消设备,xi'xiao'she'bei
吸阻毒剂,xi'zu'du'ji
消除核袭击后果,xiao'chu'he'xi'ji'hou'guo
亚当氏气,ya'dang'shi'qi
严重沾染区,yan'zhong'zhan'ran'qu
氧化罐,yang'hua'guan
氧气再生装置,yang'qi'zai'sheng'zhuang'zhi
疫情侦察,yi'qing'zhen'cha
乙射线,yi'she'xian
乙射线皮肤烧伤,yi'she'xian'pi'fu'shao'shang
一氧化碳,yi'yang'hua'tan
一氧化碳浓度,yi'yang'hua'tan'nong'du
一氧化碳中毒,yi'yang'hua'tan'zhong'du
预防措施,yu'fang'cuo'shi
云迹区,yun'ji'qu
允许浓度,yun'xu'nong'du
再生毒剂云团持久度,zai'sheng'du'ji'yun'tuan'chi'jiu'du
早期核辐射,zao'qi'he'fu'she
战剂,zhan'ji
沾染,zhan'ran
沾染比度,zhan'ran'bi'du
沾染程度,zhan'ran'cheng'du
沾染检查,zhan'ran'jian'cha
沾染浓度,zhan'ran'nong'du
沾染区,zhan'ran'qu
照射剂量,zhao'she'ji'liang
照射量,zhao'she'liang
照射率,zhao'she'lv
真菌,zhen'jun
致病微生物,zhi'bing'wei'sheng'wu
直接烧伤,zhi'jie'shao'shang
致死,zhi'si
致死剂量,zhi'si'ji'liang
致死浓度,zhi'si'nong'du
致死染毒浓度,zhi'si'ran'du'nong'du
致死性,zhi'si'xing
致死性战剂,zhi'si'xing'zhan'ji
植物杀伤剂,zhi'wu'sha'shang'ji
窒息而死,zhi'xi'er'si
中等沾染区,zhong'deng'zhan'ran'qu
中毒途径,zhong'du'tu'jing
阻碍部队行动,zu'ai'bu'dui'xing'dong
