安全框,an'quan'kuang
后期剪辑,hou'qi'jian'ji
后期同步录音,hou'qi'tong'bu'lu'yin
画面淡出,hua'mian'dan'chu
画面淡入,hua'mian'dan'ru
画面停格,hua'mian'ting'ge
画面旋逝,hua'mian'xuan'shi
画面振动,hua'mian'zhen'dong
画外音,hua'wai'yin
化学板,hua'xue'ban
化学板层次,hua'xue'ban'ceng'ci
缓冲,huan'chong
缓冲动作,huan'chong'dong'zuo
火花,huo'hua
继续,ji'xu
加动画,jia'dong'hua
加速度,jia'su'du
加中割,jia'zhong'ge
加中间张,jia'zhong'jian'zhang
检查员,jian'cha'yuan
剪辑,jian'ji
剪辑师,jian'ji'shi
渐快,jian'kuai
渐慢,jian'man
减速度,jian'su'du
间歇,jian'xie
剪影,jian'ying
兼用,jian'yong
剪纸片,jian'zhi'pian
角度,jiao'du
焦距,jiao'ju
胶片,jiao'pian
角色比例图,jiao'se'bi'li'tu
角色设定,jiao'se'she'ding
角色设计稿,jiao'se'she'ji'gao
角色造型,jiao'se'zao'xing
角色转面,jiao'se'zhuan'mian
接景,jie'jing
节拍,jie'pai
借用,jie'yong
近景,jin'jing
进入,jin'ru
镜号,jing'hao
镜头画面设计,jing'tou'hua'mian'she'ji
镜头结束,jing'tou'jie'shu
镜头拉出,jing'tou'la'chu
镜头拉远,jing'tou'la'yuan
镜头推近,jing'tou'tui'jin
镜头推入,jing'tou'tui'ru
镜头振动,jing'tou'zhen'dong
剧场版,ju'chang'ban
拷贝台,kao'bei'tai
拷贝箱,kao'bei'xiang
空白,kong'bai
空白关键帧,kong'bai'guan'jian'zhen
空白帧,kong'bai'zhen
空镜头,kong'jing'tou
口型,kou'xing
口型参考,kou'xing'can'kao
口型图,kou'xing'tu
快速,kuai'su
快速转出,kuai'su'zhuan'chu
连镜,lian'jing
连景,lian'jing
流线,liu'xian
律表,lv'biao
漫画改编,man'hua'gai'bian
美术设计,mei'shu'she'ji
描线,miao'xian
描线和着色,miao'xian'he'zhuo'se
模糊,mo'hu
木偶片,mu'ou'pian
南北定位器,nan'bei'ding'wei'qi
内景,nei'jing
逆时针转动,ni'shi'zhen'zhuan'dong
偶动画,ou'dong'hua
旁白,pang'bai
旁白叙述,pang'bai'xu'shu
配音,pei'yin
配音演员,pei'yin'yan'yuan
配音指导,pei'yin'zhi'dao
喷效,pen'xiao
片集,pian'ji
片名,pian'ming
偏色,pian'se
片尾,pian'wei
片尾字幕,pian'wei'zi'mu
屏幕制式,ping'mu'zhi'shi
气氛草图,qi'fen'cao'tu
铅笔稿试拍,qian'bi'gao'shi'pai
前层景,qian'ceng'jing
前景,qian'jing
清稿,qing'gao
人物设计稿,ren'wu'she'ji'gao
人物造型,ren'wu'zao'xing
溶景,rong'jing
入画,ru'hua
入镜,ru'jing
入景,ru'jing
软铅笔,ruan'qian'bi
润色,run'se
赛璐璐片,sai'lu'lu'pian
三视图,san'shi'tu
三维动画,san'wei'dong'hua
扫描仪,sao'miao'yi
色线,se'xian
色指定,se'zhi'ding
闪光,shan'guang
上定位,shang'ding'wei
上辅助定位,shang'fu'zhu'ding'wei
上海美术电影制片厂,shang'hai'mei'shu'dian'ying'zhi'pian'chang
上海美影厂,shang'hai'mei'ying'chang
设计稿,she'ji'gao
摄影机,she'ying'ji
摄影机角度,she'ying'ji'jiao'du
摄影机位置,she'ying'ji'wei'zhi
摄影注意事项,she'ying'zhu'yi'shi'xiang
声带,sheng'dai
声画同步,sheng'hua'tong'bu
声效,sheng'xiao
视觉停留,shi'jue'ting'liu
视觉暂留,shi'jue'zan'liu
十六比九,shi'liu'bi'jiu
湿面团原理,shi'mian'tuan'yuan'li
室内景,shi'nei'jing
室外景,shi'wai'jing
实验动画,shi'yan'dong'hua
数位板,shu'wei'ban
数位屏,shu'wei'ping
数字动画,shu'zi'dong'hua
刷效,shua'xiao
双重曝光,shuang'chong'bao'guang
双重影像,shuang'chong'ying'xiang
双格,shuang'ge
水墨动画,shui'mo'dong'hua
水纹玻璃,shui'wen'bo'li
顺时针转动,shun'shi'zhen'zhuan'dong
四比三,si'bi'san
四分之三背侧,si'fen'zhi'san'bei'ce
四分之三侧面,si'fen'zhi'san'ce'mian
四分之三正侧,si'fen'zhi'san'zheng'ce
抬头,tai'tou
特效,te'xiao
特写,te'xie
提取线条,ti'qu'xian'tiao
提线,ti'xian
跳动,tiao'dong
跳色,tiao'se
停顿,ting'dun
停格,ting'ge
停照,ting'zhao
同步,tong'bu
同描,tong'miao
透视,tou'shi
透写台,tou'xie'tai
突然出现,tu'ran'chu'xian
外景,wai'jing
万籁鸣,wan'lai'ming
万氏兄弟,wan'shi'xiong'di
微笑,wei'xiao
位移同描,wei'yi'tong'miao
位置定点,wei'zhi'ding'dian
文字脚本,wen'zi'jiao'ben
文字剧本,wen'zi'ju'ben
五视图,wu'shi'tu
下定位,xia'ding'wei
衔接,xian'jie
衔接背景,xian'jie'bei'jing
线拍,xian'pai
线拍仪,xian'pai'yi
小安全框,xiao'an'quan'kuang
斜移,xie'yi
修型,xiu'xing
修形,xiu'xing
旋转,xuan'zhuan
循环,xun'huan
循环背景,xun'huan'bei'jing
样片,yang'pian
摇动,yao'dong
移动,yi'dong
一格,yi'ge
一拍二,yi'pai'er
一拍几,yi'pai'ji
一拍三,yi'pai'san
一拍一,yi'pai'yi
移入,yi'ru
艺术短片,yi'shu'duan'pian
音轨,yin'gui
音节表,yin'jie'biao
音效,yin'xiao
阴影,yin'ying
预备,yu'bei
预备动作,yu'bei'dong'zuo
预备缓冲,yu'bei'huan'chong
原动画,yuan'dong'hua
原画,yuan'hua
原画设计,yuan'hua'she'ji
原画师,yuan'hua'shi
运动规律,yun'dong'gui'lv
眨眼,zha'yan
帧率,zhen'lv
真人转描,zhen'ren'zhuan'miao
真人转描技术,zhen'ren'zhuan'miao'ji'shu
执行导演,zhi'xing'dao'yan
中割,zhong'ge
中间画,zhong'jian'hua
中间张,zhong'jian'zhang
中景,zhong'jing
中心点,zhong'xin'dian
转向,zhuan'xiang
字幕,zi'mu
姿势,zi'shi
总检,zong'jian
走型,zou'xing
组合,zu'he
组合线,zu'he'xian
作废,zuo'fei
作监,zuo'jian
