爱的挫折,ai'de'cuo'zhe
蛤蟆鼓,ha'ma'gu
含梨片,han'li'pian
韩青天,han'qing'tian
好啊好,hao'a'hao
合家欢,he'jia'huan
红楼百科,hong'lou'bai'ke
侯宝林,hou'bao'lin
侯大明白,hou'da'ming'bai
侯扶倒,hou'fu'dao
侯式发音法,hou'shi'fa'yin'fa
侯耀文,hou'yao'wen
胡不字,hu'bu'zi
虎口遐想,hu'kou'xia'xiang
画扇面儿,hua'shan'mian'er
画像,hua'xiang
黄半仙,huang'ban'xian
黄鹤楼,huang'he'lou
婚姻与迷信,hun'yin'yu'mi'xin
火红的心,huo'hong'de'xin
假行家,jia'hang'jia
假话世家,jia'hua'shi'jia
家庭纠纷,jia'ting'jiu'fen
家庭喜剧,jia'ting'xi'ju
假灶王,jia'zao'wang
见义勇为,jian'yi'yong'wei
讲帝号,jiang'di'hao
讲礼貌,jiang'li'mao
讲卫生,jiang'wei'sheng
交地租,jiao'di'zu
轿夫新传,jiao'fu'xin'zhuan
节日,jie'ri
解学士,jie'xue'shi
金刚腿,jin'gang'tui
九点钟开始,jiu'dian'zhong'kai'shi
救救孩子,jiu'jiu'hai'zi
开场小唱,kai'chang'xiao'chang
开会,kai'hui
开会迷,kai'hui'mi
开粥厂,kai'zhou'chang
看山虎,kan'shan'hu
空城计,kong'cheng'ji
口吐莲花,kou'tu'lian'hua
哭的艺术,ku'de'yi'shu
夸讲究,kua'jiang'jiu
夸住宅,kua'zhu'zhai
拉洋片,la'yang'pian
劳动号子,lao'dong'hao'zi
老人话时代,lao'ren'hua'shi'dai
老少乐,lao'shao'le
老鼠秘语,lao'shu'mi'yu
老头醉酒,lao'tou'zui'jiu
李德钖,li'de'yang
离婚前奏曲,li'hun'qian'zou'qu
练气功,lian'qi'gong
连升三级,lian'sheng'san'ji
两个弄潮儿,liang'ge'nong'chao'er
两个人的世界,liang'ge'ren'de'shi'jie
列宁评戏,lie'ning'ping'xi
邻里之间,lin'li'zhi'jian
刘宝瑞,liu'bao'rui
卢福来,lu'fu'lai
乱形容,luan'xing'rong
论捧逗,lun'peng'dou
论拳,lun'quan
论五十年相声之现状,lun'wu'shi'nian'xiang'sheng'zhi'xian'zhuang
抡弦子,lun'xian'zi
罗成戏貂婵,luo'cheng'xi'diao'chan
马年赛马,ma'nian'sai'ma
卖包子,mai'bao'zi
卖布头,mai'bu'tou
买佛龛,mai'fo'kan
卖估衣,mai'gu'yi
卖挂票,mai'gua'piao
买猴,mai'hou
卖马,mai'ma
卖五器,mai'wu'qi
茅房话,mao'fang'hua
美丽畅想曲,mei'li'chang'xiang'qu
美容院,mei'rong'yuan
秘宝财,mi'bao'cai
妙趣网生,miao'qu'wang'sheng
妙手成患,miao'shou'cheng'huan
妙语惊人,miao'yu'jing'ren
灭鼠轶事,mie'shu'yi'shi
名师高徒,ming'shi'gao'tu
明天会更好,ming'tian'hui'geng'hao
男女有别,nan'nv'you'bie
男子汉宣言,nan'zi'han'xuan'yan
闹公堂,nao'gong'tang
女队长,nv'dui'chang
拍卖,pai'mai
攀亲,pan'qin
批聊斋,pi'liao'zhai
批三国,pi'san'guo
偏方,pian'fang
评书漫谈,ping'shu'man'tan
汽车喇叭声,qi'che'la'ba'sheng
骑驴找驴,qi'lv'zhao'lv
牵牛记,qian'niu'ji
瞧这俩爹,qiao'zhe'liang'die
请剧团,qing'ju'tuan
情绪与健康,qing'xu'yu'jian'kang
请医生,qing'yi'sheng
劝架,quan'jia
绕口令,rao'kou'ling
认亲,ren'qin
日遭三险,ri'zao'san'xian
如此典礼,ru'ci'dian'li
如此要求,ru'ci'yao'qiu
如此照相,ru'ci'zhao'xiang
三棒鼓,san'bang'gu
三字经,san'zi'jing
省略语,sheng'lue'yu
十点钟开始,shi'dian'zhong'kai'shi
时间与青春,shi'jian'yu'qing'chun
寿比南山,shou'bi'nan'shan
数来宝,shu'lai'bao
书迷打砂锅,shu'mi'da'sha'guo
属牛,shu'niu
拴娃娃,shuan'wa'wa
谁怕贝勒爷,shui'pa'bei'le'ye
顺情说好话,shun'qing'shuo'hao'hua
说瞎话,shuo'xia'hua
说一不二,shuo'yi'bu'er
说一不说二,shuo'yi'bu'shuo'er
说字,shuo'zi
算卦,suan'gua
所答非所问,suo'da'fei'suo'wen
抬杠,tai'gang
太平歌词,tai'ping'ge'ci
谈美,tan'mei
糖醋活鱼,tang'cu'huo'yu
特大新闻,te'da'xin'wen
特种病,te'zhong'bing
天王庙,tian'wang'miao
跳舞迷,tiao'wu'mi
贴膏药,tie'gao'yao
听广播,ting'guang'bo
歪批三国,wai'pi'san'guo
万紫千红绕营房,wan'zi'qian'hong'rao'ying'fang
王宝钏,wang'bao'chuan
王金龙与祝英台,wang'jin'long'yu'zhu'ying'tai
维纳斯的遗憾,wei'na'si'de'yi'han
文庙,wen'miao
文章会,wen'zhang'hui
我的儿子,wo'de'er'zi
我的历史,wo'de'li'shi
我与乘客,wo'yu'cheng'ke
我这一辈子,wo'zhe'yi'bei'zi
五官争功,wu'guan'zheng'gong
五官争谦,wu'guan'zheng'qian
五十子,wu'shi'zi
武松打虎,wu'song'da'hu
武坠子,wu'zhui'zi
西江月,xi'jiang'yue
戏剧与方言,xi'ju'yu'fang'yan
戏剧杂谈,xi'ju'za'tan
戏迷,xi'mi
戏曲杂谈,xi'qu'za'tan
喜丧,xi'sang
西行漫记,xi'xing'man'ji
西征梦,xi'zheng'meng
献地图,xian'di'tu
相面,xiang'mian
橡皮膏,xiang'pi'gao
想入非非,xiang'ru'fei'fei
相声的魅力,xiang'sheng'de'mei'li
相声名段,xiang'sheng'ming'duan
相声名家,xiang'sheng'ming'jia
小偷公司,xiao'tou'gong'si
萧巍,xiao'wei
新编孔乙己,xin'bian'kong'yi'ji
新编女起解,xin'bian'nv'qi'jie
新潮商人,xin'chao'shang'ren
新地理图,xin'di'li'tu
新桃花园记,xin'tao'hua'yuan'ji
学大鼓,xue'da'gu
学方言,xue'fang'yan
学乖,xue'guai
学叫唤,xue'jiao'huan
学京剧,xue'jing'ju
学模特,xue'mo'te
学评戏,xue'ping'xi
学裘派,xue'qiu'pai
学徒,xue'tu
学外语,xue'wai'yu
学演日本戏,xue'yan'ri'ben'xi
学越剧,xue'yue'ju
学坠子,xue'zhui'zi
训徒,xun'tu
阳平关,yang'ping'guan
羊上树,yang'shang'shu
耀华,yao'hua
夜行记,ye'xing'ji
一封公开的情书,yi'feng'gong'kai'de'qing'shu
一个推销员,yi'ge'tui'xiao'yuan
一匹马,yi'pi'ma
一仆二主,yi'pu'er'zhu
一样不一样,yi'yang'bu'yi'yang
阴阳五行,yin'yang'wu'xing
迎春曲,ying'chun'qu
影视歌迷,ying'shi'ge'mi
英雄小八路,ying'xiong'xiao'ba'lu
游击小战士,you'ji'xiao'zhan'shi
友谊颂,you'yi'song
鱼儿问答,yu'er'wen'da
于克志,yu'ke'zhi
宇宙牌香烟,yu'zhou'pai'xiang'yan
杂谈地方戏,za'tan'di'fang'xi
杂音博士,za'yin'bo'shi
贼说话,zei'shuo'hua
扎针,zha'zhen
张寿臣,zhang'shou'chen
张勇敢,zhang'yong'gan
找对象,zhao'dui'xiang
找舅舅,zhao'jiu'jiu
招聘,zhao'pin
找糖,zhao'tang
找堂会,zhao'tang'hui
赵炎,zhao'yan
珍珠翡翠白玉汤,zhen'zhu'fei'cui'bai'yu'tang
值班医生,zhi'ban'yi'sheng
治感冒,zhi'gan'mao
知县见巡抚,zhi'xian'jian'xun'fu
支援新厂,zhi'yuan'xin'chang
周炜,zhou'wei
逐步升级,zhu'bu'sheng'ji
住医院,zhu'yi'yuan
装小嘴,zhuang'xiao'zui
追,zhui
走向世界,zou'xiang'shi'jie
祖爷爷的烦恼,zu'ye'ye'de'fan'nao
最差先生,zui'cha'xian'sheng
尊重人,zun'zhong'ren
做大褂,zuo'da'gua
坐汽车,zuo'qi'che
坐享其成,zuo'xiang'qi'cheng
