安全道岔,an'quan'dao'cha
轨头长波浪磨损,gui'tou'chang'bo'lang'mo'sun
轨头垂直磨损,gui'tou'chui'zhi'mo'sun
轨头垂直劈裂,gui'tou'chui'zhi'pi'lie
轨头底面接触夹板,gui'tou'di'mian'jie'chu'jia'ban
轨头掉块,gui'tou'diao'kuai
轨头短波浪磨损,gui'tou'duan'bo'lang'mo'sun
轨头发裂,gui'tou'fa'lie
轨头肥边,gui'tou'fei'bian
轨头非对称断面打磨,gui'tou'fei'dui'chen'duan'mian'da'mo
轨头间隙,gui'tou'jian'xi
轨头水平劈裂,gui'tou'shui'ping'pi'lie
轨头微细裂纹,gui'tou'wei'xi'lie'wen
轨头压溃,gui'tou'ya'kui
轨头整形,gui'tou'zheng'xing
轨头总磨损,gui'tou'zong'mo'sun
轨下基础,gui'xia'ji'chu
轨行式起重机,gui'xing'shi'qi'zhong'ji
轨行式装运机械,gui'xing'shi'zhuang'yun'ji'xie
轨腰,gui'yao
轨腰劈裂,gui'yao'pi'lie
轨枕,gui'zhen
轨枕板,gui'zhen'ban
轨枕抽换机,gui'zhen'chou'huan'ji
轨枕更换,gui'zhen'geng'huan
轨枕更换机,gui'zhen'geng'huan'ji
轨枕铺设,gui'zhen'pu'she
轨枕伤损,gui'zhen'shang'sun
轨枕修补,gui'zhen'xiu'bu
过岔速度,guo'cha'su'du
过超高,guo'chao'gao
过滤层,guo'lv'ceng
哈尔滨铁路局,ha'er'bin'tie'lu'ju
涵洞,han'dong
焊轨厂,han'gui'chang
焊轨机,han'gui'ji
焊接长钢轨,han'jie'chang'gang'gui
焊接长钢轨运送车,han'jie'chang'gang'gui'yun'song'che
焊接接头,han'jie'jie'tou
焊接辙叉,han'jie'zhe'cha
焊修钢轨,han'xiu'gang'gui
夯实道床,hang'shi'dao'chuang
夯实机械,hang'shi'ji'xie
合背座,he'bei'zuo
合成轨枕,he'cheng'gui'zhen
河床冲刷,he'chuang'chong'shua
合金淬火轨,he'jin'cui'huo'gui
合金钢轨,he'jin'gang'gui
合金轨,he'jin'gui
核伤,he'shang
河调防护失修,he'tiao'fang'hu'shi'xiu
合造车,he'zao'che
横断面设计,heng'duan'mian'she'ji
洪水标记,hong'shui'biao'ji
洪水淹没,hong'shui'yan'mo
候车室,hou'che'shi
候车室空调费,hou'che'shi'kong'tiao'fei
护背距离,hu'bei'ju'li
护轨,hu'gui
护轨与心轨的查照间隔,hu'gui'yu'xin'gui'de'cha'zhao'jian'ge
呼和浩特铁路局,hu'he'hao'te'tie'lu'ju
护路工人,hu'lu'gong'ren
护轮轨,hu'lun'gui
护坡,hu'po
滑窗,hua'chuang
滑床板,hua'chuang'ban
滑坡防治,hua'po'fang'zhi
换车,huan'che
缓冲器,huan'chong'qi
缓冲区,huan'chong'qu
缓和曲线,huan'he'qu'xian
换算线路长度,huan'suan'xian'lu'chang'du
回流线,hui'liu'xian
会让站,hui'rang'zhan
混合列车,hun'he'lie'che
混凝土裂纹,hun'ning'tu'lie'wen
混凝土枕,hun'ning'tu'zhen
混凝土枕螺栓钻取机,hun'ning'tu'zhen'luo'shuan'zuan'qu'ji
火车,huo'che
货车,huo'che
火车头,huo'che'tou
火车站,huo'che'zhan
活动岔心,huo'dong'cha'xin
火焰除锈,huo'yan'chu'xiu
货运,huo'yun
货运站,huo'yun'zhan
基本轨,ji'ben'gui
机车库,ji'che'ku
机动螺钉螺栓搬手,ji'dong'luo'ding'luo'shuan'ban'shou
机动压道车,ji'dong'ya'dao'che
计件搬运,ji'jian'ban'yun
济南铁路局,ji'nan'tie'lu'ju
季票,ji'piao
计时搬运,ji'shi'ban'yun
机务,ji'wu
机务段,ji'wu'duan
机械化养路基地,ji'xie'hua'yang'lu'ji'di
机械信号,ji'xie'xin'hao
既有线测量,ji'you'xian'ce'liang
加筋土,jia'jin'tu
加快票,jia'kuai'piao
加煤站,jia'mei'zhan
驾驶室,jia'shi'shi
间隔铁,jian'ge'tie
间隔铁式尖轨转辙器,jian'ge'tie'shi'jian'gui'zhuan'zhe'qi
尖轨,jian'gui
尖轨保护器,jian'gui'bao'hu'qi
尖轨补强板,jian'gui'bu'qiang'ban
尖轨长度,jian'gui'chang'du
尖轨动程,jian'gui'dong'cheng
尖轨跟端,jian'gui'gen'duan
尖轨护轨,jian'gui'hu'gui
尖轨尖端,jian'gui'jian'duan
尖轨理论尖端,jian'gui'li'lun'jian'duan
尖轨转辙器,jian'gui'zhuan'zhe'qi
剪票,jian'piao
检票口,jian'piao'kou
检票员,jian'piao'yuan
建筑限界,jian'zhu'xian'jie
交叉点,jiao'cha'dian
交叉渡线,jiao'cha'du'xian
胶接接头,jiao'jie'jie'tou
胶结绝缘接头,jiao'jie'jue'yuan'jie'tou
矫直钢轨,jiao'zhi'gang'gui
接触网,jie'chu'wang
接触网工区,jie'chu'wang'gong'qu
接触应力,jie'chu'ying'li
接轨站,jie'gui'zhan
接头夹板,jie'tou'jia'ban
接头联结零件,jie'tou'lian'jie'ling'jian
接头螺栓,jie'tou'luo'shuan
接头瞎缝,jie'tou'xia'feng
接头阻力,jie'tou'zu'li
紧急闸,jin'ji'zha
进站,jin'zhan
进站信号,jin'zhan'xin'hao
警冲标,jing'chong'biao
经济勘察,jing'ji'kan'cha
静力内接,jing'li'nei'jie
静态不平顺,jing'tai'bu'ping'shun
静载试验,jing'zai'shi'yan
旧钢轨,jiu'gang'gui
锯轨机,ju'gui'ji
绝缘轨距杆,jue'yuan'gui'ju'gan
绝缘接头,jue'yuan'jie'tou
开沟机,kai'gou'ji
开沟平路机,kai'gou'ping'lu'ji
勘测,kan'ce
抗滑桩,kang'hua'zhuang
客车,ke'che
可动心轨辙叉,ke'dong'xin'gui'zhe'cha
可动翼轨辙叉,ke'dong'yi'gui'zhe'cha
客技站,ke'ji'zhan
客票发展金,ke'piao'fa'zhan'jin
客票盖戳机,ke'piao'gai'chuo'ji
可弯式尖轨转辙器,ke'wan'shi'jian'gui'zhuan'zhe'qi
客运,ke'yun
客运站,ke'yun'zhan
扣板式扣件,kou'ban'shi'kou'jian
扣固力,kou'gu'li
扣件,kou'jian
扣件扣压力,kou'jian'kou'ya'li
扣件作业,kou'jian'zuo'ye
苦力,ku'li
快车,kuai'che
宽轨线路,kuan'gui'xian'lu
宽轨枕,kuan'gui'zhen
宽轨枕轨道,kuan'gui'zhen'gui'dao
宽混凝土轨枕,kuan'hun'ning'tu'gui'zhen
矿区铁路,kuang'qu'tie'lu
矿渣道碴,kuang'zha'dao'cha
昆明铁路局,kun'ming'tie'lu'ju
拉沟,la'gou
来回票,lai'hui'piao
缆轨,lan'gui
缆索铁路,lan'suo'tie'lu
兰州铁路局,lan'zhou'tie'lu'ju
冷藏车,leng'cang'che
立交,li'jiao
沥青道床,li'qing'dao'chuang
立体交叉,li'ti'jiao'cha
连挂,lian'gua
联轨线,lian'gui'xian
联合票价,lian'he'piao'jia
联锁,lian'suo
联运客票,lian'yun'ke'piao
列车,lie'che
列车段,lie'che'duan
列车接近报警器,lie'che'jie'jin'bao'jing'qi
列车接近警报器,lie'che'jie'jin'jing'bao'qi
列车空隙作业时间,lie'che'kong'xi'zuo'ye'shi'jian
列车时刻表,lie'che'shi'ke'biao
列车速度检测仪,lie'che'su'du'jian'ce'yi
列车员,lie'che'yuan
列车长,lie'che'zhang
临时便线,lin'shi'bian'xian
临险抢护,lin'xian'qiang'hu
领工区,ling'gong'qu
菱形交叉,ling'xing'jiao'cha
零应力轨温,ling'ying'li'gui'wen
硫磺锚固,liu'huang'mao'gu
流线型列车,liu'xian'xing'lie'che
漏斗车,lou'dou'che
路侧建筑物,lu'ce'jian'zhu'wu
路堤,lu'di
路基,lu'ji
路基病害,lu'ji'bing'hai
路基冲刷,lu'ji'chong'shua
路基防护,lu'ji'fang'hu
路基滑动,lu'ji'hua'dong
路基基床,lu'ji'ji'chuang
路基挤起,lu'ji'ji'qi
路基机械,lu'ji'ji'xie
路基加固,lu'ji'jia'gu
路基排水,lu'ji'pai'shui
路基渗流,lu'ji'shen'liu
路基松软,lu'ji'song'ruan
路基铁道路基,lu'ji'tie'dao'lu'ji
路基下沉,lu'ji'xia'chen
路基壅水,lu'ji'yong'shui
路肩,lu'jian
路牌,lu'pai
路堑,lu'qian
路签,lu'qian
卵石道碴,luan'shi'dao'cha
轮轨动力学,lun'gui'dong'li'xue
轮轨关系,lun'gui'guan'xi
轮轨接触,lun'gui'jie'chu
轮轨接触应力,lun'gui'jie'chu'ying'li
轮轨游间,lun'gui'you'jian
轮轨作用力,lun'gui'zuo'yong'li
轮缘,lun'yuan
轮缘槽,lun'yuan'cao
落道,luo'dao
螺孔裂纹,luo'kong'lie'wen
洛杉矶磨损试验,luo'shan'ji'mo'sun'shi'yan
落石,luo'shi
螺栓扳手,luo'shuan'ban'shou
螺栓孔加强,luo'shuan'kong'jia'qiang
螺栓孔削角,luo'shuan'kong'xue'jiao
螺栓螺纹钉,luo'shuan'luo'wen'ding
螺纹道钉,luo'wen'dao'ding
螺旋曲线,luo'xuan'qu'xian
旅客票价,lv'ke'piao'jia
旅游车车,lv'you'che'che
马镫梯,ma'deng'ti
慢车,man'che
慢行牌,man'xing'pai
锚定板,mao'ding'ban
锚杆,mao'gan
煤矿沉陷,mei'kuang'chen'xian
煤水车,mei'shui'che
门式铺轨排机,men'shi'pu'gui'pai'ji
锰钢辙叉,meng'gang'zhe'cha
密贴尖轨,mi'tie'jian'gui
免费行李,mian'fei'xing'li
免票,mian'piao
面漆,mian'qi
鸣笛标,ming'di'biao
磨轨车,mo'gui'che
磨轨机,mo'gui'ji
磨轨列车,mo'gui'lie'che
木枕,mu'zhen
木枕防腐,mu'zhen'fang'fu
木枕防裂装置,mu'zhen'fang'lie'zhuang'zhi
木枕开裂,mu'zhen'kai'lie
木枕刻痕,mu'zhen'ke'hen
木枕削平机,mu'zhen'xue'ping'ji
木枕预钻孔,mu'zhen'yu'zuan'kong
木枕钻孔机,mu'zhen'zuan'kong'ji
母子候车室,mu'zi'hou'che'shi
耐腐蚀轨,nai'fu'shi'gui
耐磨轨,nai'mo'gui
南昌铁路局,nan'chang'tie'lu'ju
南宁铁路局,nan'ning'tie'lu'ju
内燃机车,nei'ran'ji'che
粘着铁路,nian'zhe'tie'lu
扭歪轨道,niu'wai'gui'dao
排水沟,pai'shui'gou
配碴整形机,pei'cha'zheng'xing'ji
喷洒除草机,pen'sa'chu'cao'ji
喷砂除锈,pen'sha'chu'xiu
喷射混凝土修理,pen'she'hun'ning'tu'xiu'li
棚车,peng'che
膨胀土路基,peng'zhang'tu'lu'ji
劈裂枕木,pi'lie'zhen'mu
票价,piao'jia
平板车,ping'ban'che
平底轨,ping'di'gui
平轨器,ping'gui'qi
平交道口,ping'jiao'dao'kou
平面交叉,ping'mian'jiao'cha
平面设计,ping'mian'she'ji
平行渡线,ping'xing'du'xian
平型双头夹板,ping'xing'shuang'tou'jia'ban
坡道,po'dao
坡度,po'du
坡度标,po'du'biao
坡度折减,po'du'zhe'jian
铺草皮,pu'cao'pi
铺碴,pu'cha
铺碴车,pu'cha'che
铺碴机,pu'cha'ji
铺道碴,pu'dao'cha
铺道岔机,pu'dao'cha'ji
铺轨,pu'gui
铺轨机,pu'gui'ji
铺轨列车,pu'gui'lie'che
普通列车,pu'tong'lie'che
铺枕机,pu'zhen'ji
起拨道机,qi'bo'dao'ji
起拨道器,qi'bo'dao'qi
启程,qi'cheng
起道,qi'dao
起道钉机,qi'dao'ding'ji
起道钉器,qi'dao'ding'qi
起道机,qi'dao'ji
起道器,qi'dao'qi
起道修,qi'dao'xiu
气压焊,qi'ya'han
气压信号,qi'ya'xin'hao
气闸,qi'zha
欠超高,qian'chao'gao
强制内接,qiang'zhi'nei'jie
撬棍,qiao'gun
桥涵扩孔,qiao'han'kuo'kong
桥梁标,qiao'liang'biao
桥梁横向刚度,qiao'liang'heng'xiang'gang'du
桥梁检定承载系数,qiao'liang'jian'ding'cheng'zai'xi'shu
桥梁检定试验,qiao'liang'jian'ding'shi'yan
桥梁孔径不足,qiao'liang'kong'jing'bu'zu
桥梁挠度,qiao'liang'nao'du
桥梁疲劳剩余寿命,qiao'liang'pi'lao'sheng'yu'shou'ming
桥梁疲劳剩余寿命评估,qiao'liang'pi'lao'sheng'yu'shou'ming'ping'gu
桥梁浅基,qiao'liang'qian'ji
桥梁浅基防护,qiao'liang'qian'ji'fang'hu
桥梁上拱度,qiao'liang'shang'gong'du
桥梁实验车,qiao'liang'shi'yan'che
桥梁枕木,qiao'liang'zhen'mu
桥梁自振频率,qiao'liang'zi'zhen'pin'lv
桥梁最大横向振幅,qiao'liang'zui'da'heng'xiang'zhen'fu
桥上轨道结构,qiao'shang'gui'dao'jie'gou
桥隧病害整治,qiao'sui'bing'hai'zheng'zhi
桥隧大修,qiao'sui'da'xiu
桥隧改造,qiao'sui'gai'zao
桥隧经常保养,qiao'sui'jing'chang'bao'yang
桥隧巡守,qiao'sui'xun'shou
桥隧巡守工,qiao'sui'xun'shou'gong
桥隧养护,qiao'sui'yang'hu
桥隧综合维修,qiao'sui'zong'he'wei'xiu
桥头引线,qiao'tou'yin'xian
桥枕,qiao'zhen
桥址水文观测,qiao'zhi'shui'wen'guan'ce
切线型道岔,qie'xian'xing'dao'cha
轻便轨道轮车,qing'bian'gui'dao'lun'che
轻便铁路,qing'bian'tie'lu
清沟机,qing'gou'ji
清筛道床,qing'shai'dao'chuang
轻型轨道车,qing'xing'gui'dao'che
青藏铁路公司,qing'zang'tie'lu'gong'si
区间车,qu'jian'che
曲线半径,qu'xian'ban'jing
曲线标,qu'xian'biao
曲线测量,qu'xian'ce'liang
曲线超高,qu'xian'chao'gao
曲线出岔道岔,qu'xian'chu'cha'dao'cha
曲线尖轨,qu'xian'jian'gui
曲线内接,qu'xian'nei'jie
曲线设计,qu'xian'she'ji
曲线养护,qu'xian'yang'hu
曲线辙叉,qu'xian'zhe'cha
曲线正矢,qu'xian'zheng'shi
取行李,qu'xing'li
全断面道床夯实机,quan'duan'mian'dao'chuang'hang'shi'ji
全面起道捣固,quan'mian'qi'dao'dao'gu
缺月枕木,que'yue'zhen'mu
热处理钢轨,re'chu'li'gang'gui
日常维修,ri'chang'wei'xiu
日降雨量,ri'jiang'yu'liang
容许强度检定,rong'xu'qiang'du'jian'ding
融雪,rong'xue
融雪剂,rong'xue'ji
融雪器,rong'xue'qi
软土路基,ruan'tu'lu'ji
软席,ruan'xi
锐角辙叉,rui'jiao'zhe'cha
三次抛物线曲线,san'ci'pao'wu'xian'qu'xian
三等票,san'deng'piao
三轨路,san'gui'lu
三角坑,san'jiao'keng
三开道岔,san'kai'dao'cha
扫雪板,sao'xue'ban
色灯信号,se'deng'xin'hao
砂道碴,sha'dao'cha
沙害,sha'hai
砂害,sha'hai
沙漠路基,sha'mo'lu'ji
上海铁路局,shang'hai'tie'lu'ju
上铺,shang'pu
上下道装置,shang'xia'dao'zhuang'zhi
上行车,shang'xing'che
上行线,shang'xing'xian
设计标准,she'ji'biao'zhun
设计规范,she'ji'gui'fan
深路堑,shen'lu'qian
伸缩接头,shen'suo'jie'tou
伸缩区,shen'suo'qu
沈阳铁路局,shen'yang'tie'lu'ju
牲畜车,sheng'chu'che
绳度整正曲线计算器,sheng'du'zheng'zheng'qu'xian'ji'suan'qi
绳正法整正曲线,sheng'zheng'fa'zheng'zheng'qu'xian
始发站,shi'fa'zhan
石方工程,shi'fang'gong'cheng
施工测量,shi'gong'ce'liang
施工封闭线路,shi'gong'feng'bi'xian'lu
市郊定期票,shi'jiao'ding'qi'piao
视觉信号,shi'jue'xin'hao
石笼,shi'long
石棉道床,shi'mian'dao'chuang
市区铁路,shi'qu'tie'lu
收碴机,shou'cha'ji
手动信号,shou'dong'xin'hao
收货人,shou'huo'ren
