安全,an'quan
辅助生产部门,fu'zhu'sheng'chan'bu'men
改革开放,gai'ge'kai'fang
概念设计,gai'nian'she'ji
概算,gai'suan
概算书,gai'suan'shu
概算资料,gai'suan'zi'liao
干燥剂,gan'zao'ji
岗位操作法,gang'wei'cao'zuo'fa
高温高压,gao'wen'gao'ya
高压,gao'ya
高压配电室,gao'ya'pei'dian'shi
给水处理,gei'shui'chu'li
给水水源,gei'shui'shui'yuan
更衣室,geng'yi'shi
工厂运输,gong'chang'yun'shu
工厂组成,gong'chang'zu'cheng
工程拨款,gong'cheng'bo'kuan
工程成品,gong'cheng'cheng'pin
工程地质,gong'cheng'di'zhi
工程技术人员,gong'cheng'ji'shu'ren'yuan
工程建设,gong'cheng'jian'she
工程进度,gong'cheng'jin'du
工程进度表,gong'cheng'jin'du'biao
工程设计,gong'cheng'she'ji
工程设计行业,gong'cheng'she'ji'hang'ye
工程设计组,gong'cheng'she'ji'zu
工程师,gong'cheng'shi
工程施工,gong'cheng'shi'gong
工程问题,gong'cheng'wen'ti
工程项目,gong'cheng'xiang'mu
工程消耗,gong'cheng'xiao'hao
公称直径,gong'cheng'zhi'jing
工程质量,gong'cheng'zhi'liang
工程资料,gong'cheng'zi'liao
工程总结,gong'cheng'zong'jie
供电安装图,gong'dian'an'zhuang'tu
工具书,gong'ju'shu
供热,gong're
供热管线,gong're'guan'xian
供水温度,gong'shui'wen'du
供水压力,gong'shui'ya'li
工业安全,gong'ye'an'quan
工业炉,gong'ye'lu
工业生产,gong'ye'sheng'chan
工业装置,gong'ye'zhuang'zhi
工艺,gong'yi
工艺参数,gong'yi'can'shu
工艺成熟,gong'yi'cheng'shu
工艺成熟程度,gong'yi'cheng'shu'cheng'du
工艺过程,gong'yi'guo'cheng
工艺技术路线,gong'yi'ji'shu'lu'xian
工艺计算,gong'yi'ji'suan
工艺介质,gong'yi'jie'zhi
工艺流程,gong'yi'liu'cheng
工艺流程图,gong'yi'liu'cheng'tu
工艺路线,gong'yi'lu'xian
工艺设计,gong'yi'she'ji
工艺设计人员,gong'yi'she'ji'ren'yuan
工艺数据,gong'yi'shu'ju
工艺特点,gong'yi'te'dian
工艺图纸,gong'yi'tu'zhi
工艺图纸目录,gong'yi'tu'zhi'mu'lu
工艺专业,gong'yi'zhuan'ye
工艺资料,gong'yi'zi'liao
供应方式,gong'ying'fang'shi
公用工程,gong'yong'gong'cheng
公用工程系统图,gong'yong'gong'cheng'xi'tong'tu
工作量,gong'zuo'liang
工作能力,gong'zuo'neng'li
构筑物,gou'zhu'wu
固定资产,gu'ding'zi'chan
估算,gu'suan
管道,guan'dao
管道安装,guan'dao'an'zhuang
管道布置图,guan'dao'bu'zhi'tu
管道材料,guan'dao'cai'liao
管道工程,guan'dao'gong'cheng
管道设计,guan'dao'she'ji
管架,guan'jia
管架管件图,guan'jia'guan'jian'tu
管件,guan'jian
关键设备,guan'jian'she'bei
管理部门,guan'li'bu'men
管理工作,guan'li'gong'zuo
罐区,guan'qu
规范,gui'fan
规范标准,gui'fan'biao'zhun
规划布局,gui'hua'bu'ju
规划局,gui'hua'ju
规章制度,gui'zhang'zhi'du
国际标准化,guo'ji'biao'zhun'hua
国家标准,guo'jia'biao'zhun
国家规划,guo'jia'gui'hua
国家级大型项目,guo'jia'ji'da'xing'xiang'mu
国家政策,guo'jia'zheng'ce
锅炉房,guo'lu'fang
国外技术,guo'wai'ji'shu
国外文献,guo'wai'wen'xian
耗能装置,hao'neng'zhuang'zhi
合成氨,he'cheng'an
合成氨厂,he'cheng'an'chang
合成树脂,he'cheng'shu'zhi
合成树脂工业,he'cheng'shu'zhi'gong'ye
合成纤维,he'cheng'xian'wei
合成纤维工业,he'cheng'xian'wei'gong'ye
合成橡胶,he'cheng'xiang'jiao
合成橡胶厂,he'cheng'xiang'jiao'chang
合成橡胶工业,he'cheng'xiang'jiao'gong'ye
合理的,he'li'de
合理性,he'li'xing
合同评审,he'tong'ping'shen
后期服务,hou'qi'fu'wu
后期建设,hou'qi'jian'she
后勤行政人员,hou'qin'xing'zheng'ren'yuan
化工产品,hua'gong'chan'pin
化工产品生产,hua'gong'chan'pin'sheng'chan
化工厂,hua'gong'chang
化工工程,hua'gong'gong'cheng
化工工艺流程,hua'gong'gong'yi'liu'cheng
化工管道,hua'gong'guan'dao
化工行业,hua'gong'hang'ye
化工联合企业,hua'gong'lian'he'qi'ye
化工设备,hua'gong'she'bei
化工设计,hua'gong'she'ji
化工设计管理标准,hua'gong'she'ji'guan'li'biao'zhun
化工生产装置,hua'gong'sheng'chan'zhuang'zhi
化工装置,hua'gong'zhuang'zhi
化学反应,hua'xue'fan'ying
化学肥料,hua'xue'fei'liao
化学肥料工业,hua'xue'fei'liao'gong'ye
化学工程,hua'xue'gong'cheng
化学工程数据,hua'xue'gong'cheng'shu'ju
化学工业,hua'xue'gong'ye
化学品,hua'xue'pin
化学纤维单体,hua'xue'xian'wei'dan'ti
环保标准,huan'bao'biao'zhun
环保措施,huan'bao'cuo'shi
环保管理,huan'bao'guan'li
环保局,huan'bao'ju
环保投资,huan'bao'tou'zi
环保投资概算,huan'bao'tou'zi'gai'suan
环境保护,huan'jing'bao'hu
环境保护措施,huan'jing'bao'hu'cuo'shi
环境工程,huan'jing'gong'cheng
环境监测,huan'jing'jian'ce
环境监测体制,huan'jing'jian'ce'ti'zhi
环境特征,huan'jing'te'zheng
环境污染,huan'jing'wu'ran
换热器,huan're'qi
磺化,huang'hua
回访,hui'fang
会鉴,hui'jian
回收工段,hui'shou'gong'duan
回水,hui'shui
回水温度,hui'shui'wen'du
回水压力,hui'shui'ya'li
火车槽车,huo'che'cao'che
基本程序,ji'ben'cheng'xu
基本概念,ji'ben'gai'nian
基本建设项目,ji'ben'jian'she'xiang'mu
基础经济数据,ji'chu'jing'ji'shu'ju
基础设计,ji'chu'she'ji
基础研究,ji'chu'yan'jiu
基础知识,ji'chu'zhi'shi
基础资料,ji'chu'zi'liao
机构分支,ji'gou'fen'zhi
机关人员,ji'guan'ren'yuan
计划管理部门,ji'hua'guan'li'bu'men
基建费用,ji'jian'fei'yong
基建投资,ji'jian'tou'zi
积累经验,ji'lei'jing'yan
给排水,ji'pai'shui
给排水安装图,ji'pai'shui'an'zhuang'tu
机器设备,ji'qi'she'bei
技术方案,ji'shu'fang'an
技术改造,ji'shu'gai'zao
技术改造项目,ji'shu'gai'zao'xiang'mu
技术改造项目设计,ji'shu'gai'zao'xiang'mu'she'ji
技术工作,ji'shu'gong'zuo
技术管理部门,ji'shu'guan'li'bu'men
技术规格,ji'shu'gui'ge
技术进步,ji'shu'jin'bu
技术经济,ji'shu'jing'ji
技术经济条件,ji'shu'jing'ji'tiao'jian
技术经济指标,ji'shu'jing'ji'zhi'biao
技术开发,ji'shu'kai'fa
技术考察,ji'shu'kao'cha
技术来源,ji'shu'lai'yuan
技术路线,ji'shu'lu'xian
技术软件,ji'shu'ruan'jian
技术上,ji'shu'shang
技术水平,ji'shu'shui'ping
技术特征,ji'shu'te'zheng
技术条件,ji'shu'tiao'jian
技术问题,ji'shu'wen'ti
技术要点,ji'shu'yao'dian
技术员,ji'shu'yuan
技术政策,ji'shu'zheng'ce
计算单位,ji'suan'dan'wei
计算方法,ji'suan'fang'fa
集体成果,ji'ti'cheng'guo
机械厂,ji'xie'chang
机修,ji'xiu
机修车间,ji'xiu'che'jian
甲苯,jia'ben
加工厂,jia'gong'chang
加工过程,jia'gong'guo'cheng
假想设计,jia'xiang'she'ji
监测站,jian'ce'zhan
建厂地区,jian'chang'di'qu
建厂条件,jian'chang'tiao'jian
鉴定报告,jian'ding'bao'gao
监督活动,jian'du'huo'dong
健康,jian'kang
监理,jian'li
监理部门,jian'li'bu'men
监理单位,jian'li'dan'wei
监理合同,jian'li'he'tong
碱熔,jian'rong
建设,jian'she
建设程序,jian'she'cheng'xu
建设单位,jian'she'dan'wei
建设合同,jian'she'he'tong
建设进展,jian'she'jin'zhan
建设前期,jian'she'qian'qi
建设项目,jian'she'xiang'mu
建设造价,jian'she'zao'jia
间歇操作,jian'xie'cao'zuo
碱性废水,jian'xing'fei'shui
建修,jian'xiu
检修,jian'xiu
建议,jian'yi
建议单位,jian'yi'dan'wei
建议书,jian'yi'shu
建筑材料,jian'zhu'cai'liao
建筑设计,jian'zhu'she'ji
建筑施工,jian'zhu'shi'gong
校对,jiao'dui
交接条件,jiao'jie'tiao'jian
交通运输,jiao'tong'yun'shu
阶段设计,jie'duan'she'ji
结构设计,jie'gou'she'ji
结焦,jie'jiao
结晶器,jie'jing'qi
解决问题,jie'jue'wen'ti
接力泵,jie'li'beng
结论,jie'lun
节能措施,jie'neng'cuo'shi
节能效益,jie'neng'xiao'yi
界区,jie'qu
界区线,jie'qu'xian
接受任务,jie'shou'ren'wu
节约用地,jie'yue'yong'di
进料预处理,jin'liao'yu'chu'li
竞标,jing'biao
经济分析,jing'ji'fen'xi
经济评价,jing'ji'ping'jia
经济上,jing'ji'shang
经济损失,jing'ji'sun'shi
经济条件,jing'ji'tiao'jian
经济效益,jing'ji'xiao'yi
经济效益评价,jing'ji'xiao'yi'ping'jia
经济性,jing'ji'xing
经济要求,jing'ji'yao'qiu
经济政策,jing'ji'zheng'ce
经济指标,jing'ji'zhi'biao
精馏,jing'liu
精细化工,jing'xi'hua'gong
精心设计,jing'xin'she'ji
经验丰富,jing'yan'feng'fu
经营管理,jing'ying'guan'li
竞争性,jing'zheng'xing
精制,jing'zhi
静止设备,jing'zhi'she'bei
聚合,ju'he
具体化,ju'ti'hua
具体结构,ju'ti'jie'gou
具体情况,ju'ti'qing'kuang
具体要求,ju'ti'yao'qiu
绝对速率,jue'dui'su'lv
决算书,jue'suan'shu
绝压,jue'ya
竣工,jun'gong
竣工图,jun'gong'tu
竣工验收,jun'gong'yan'shou
开车,kai'che
开发部门,kai'fa'bu'men
开发过程,kai'fa'guo'cheng
开发阶段,kai'fa'jie'duan
开发项目,kai'fa'xiang'mu
开发周期,kai'fa'zhou'qi
开工报告,kai'gong'bao'gao
开工报告会,kai'gong'bao'gao'hui
勘察,kan'cha
勘察设计,kan'cha'she'ji
勘察设计阶段,kan'cha'she'ji'jie'duan
考核,kao'he
可操作,ke'cao'zuo
可靠程度,ke'kao'cheng'du
可靠性,ke'kao'xing
可控制,ke'kong'zhi
可能性,ke'neng'xing
可行方案,ke'xing'fang'an
可行性,ke'xing'xing
可行性研究,ke'xing'xing'yan'jiu
可行性研究报告,ke'xing'xing'yan'jiu'bao'gao
可行性研究阶段,ke'xing'xing'yan'jiu'jie'duan
可行研究报告,ke'xing'yan'jiu'bao'gao
科学方法,ke'xue'fang'fa
科学技术,ke'xue'ji'shu
空气调节,kong'qi'tiao'jie
空气站,kong'qi'zhan
空压站,kong'ya'zhan
控制,kong'zhi
控制参数,kong'zhi'can'shu
控制点,kong'zhi'dian
控制方案,kong'zhi'fang'an
控制生产,kong'zhi'sheng'chan
控制室,kong'zhi'shi
控制投资,kong'zhi'tou'zi
控制系统,kong'zhi'xi'tong
控制要求,kong'zhi'yao'qiu
控制原则,kong'zhi'yuan'ze
矿产资源,kuang'chan'zi'yuan
扩建,kuo'jian
劳动安全,lao'dong'an'quan
劳动安全局,lao'dong'an'quan'ju
劳动保护,lao'dong'bao'hu
劳动就业,lao'dong'jiu'ye
冷冻,leng'dong
冷冻站,leng'dong'zhan
冷却水,leng'que'shui
冷却塔,leng'que'ta
立面布置,li'mian'bu'zhi
利润,li'run
立项,li'xiang
立项过程,li'xiang'guo'cheng
联合企业,lian'he'qi'ye
联锁,lian'suo
连续操作,lian'xu'cao'zuo
连续化生产,lian'xu'hua'sheng'chan
连续运转时间,lian'xu'yun'zhuan'shi'jian
炼油厂,lian'you'chang
磷肥厂,lin'fei'chang
磷矿,lin'kuang
流程,liu'cheng
流程草图,liu'cheng'cao'tu
流程设计,liu'cheng'she'ji
流程图,liu'cheng'tu
流动资产,liu'dong'zi'chan
流动资金,liu'dong'zi'jin
流速,liu'su
硫酸厂,liu'suan'chang
流体,liu'ti
流体力学,liu'ti'li'xue
流体流程,liu'ti'liu'cheng
硫铁矿,liu'tie'kuang
卤化物,lu'hua'wu
轮廓设想,lun'kuo'she'xiang
煤渣,mei'zha
门卫,men'wei
内部约束条件,nei'bu'yue'shu'tiao'jian
能耗状况,neng'hao'zhuang'kuang
能量衡算,neng'liang'heng'suan
年操作时间,nian'cao'zuo'shi'jian
年产,nian'chan
尿素,niao'su
农药厂,nong'yao'chang
农药工业,nong'yao'gong'ye
农药化工厂,nong'yao'hua'gong'chang
排放标准,pai'fang'biao'zhun
配电室,pei'dian'shi
配套装置,pei'tao'zhuang'zhi
评定卡,ping'ding'ka
评价意见,ping'jia'yi'jian
凭借经验,ping'jie'jing'yan
平均故障,ping'jun'gu'zhang
平均故障工作时间,ping'jun'gu'zhang'gong'zuo'shi'jian
平均修复时间,ping'jun'xiu'fu'shi'jian
平面布置,ping'mian'bu'zhi
汽车槽车,qi'che'cao'che
其他动力,qi'ta'dong'li
其他化学工业,qi'ta'hua'xue'gong'ye
其他文件,qi'ta'wen'jian
其他资料,qi'ta'zi'liao
气体净化,qi'ti'jing'hua
气象资料,qi'xiang'zi'liao
企业单位,qi'ye'dan'wei
企业法人,qi'ye'fa'ren
企业性质,qi'ye'xing'zhi
前期工作,qian'qi'gong'zuo
强碱,qiang'jian
强酸,qiang'suan
氢气,qing'qi
全过程,quan'guo'cheng
全系统,quan'xi'tong
炔烃,que'ting
燃料,ran'liao
染料涂料,ran'liao'tu'liao
染料涂料工业,ran'liao'tu'liao'gong'ye
热工,re'gong
热量衡算,re'liang'heng'suan
人工控制,ren'gong'kong'zhi
人力,ren'li
人员配备,ren'yuan'pei'bei
人员配置,ren'yuan'pei'zhi
日用化工厂,ri'yong'hua'gong'chang
融化,rong'hua
容器,rong'qi
熔烧,rong'shao
三废,san'fei
三废处理,san'fei'chu'li
三废治理方案,san'fei'zhi'li'fang'an
筛选,shai'xuan
上级部门,shang'ji'bu'men
烧碱厂,shao'jian'chang
设备,she'bei
设备安装,she'bei'an'zhuang
设备安装图,she'bei'an'zhuang'tu
设备备用,she'bei'bei'yong
设备布置,she'bei'bu'zhi
设备布置图,she'bei'bu'zhi'tu
设备采购,she'bei'cai'gou
设备材料,she'bei'cai'liao
设备订货,she'bei'ding'huo
设备管口方位图,she'bei'guan'kou'fang'wei'tu
设备设计,she'bei'she'ji
设备特性,she'bei'te'xing
设备型号,she'bei'xing'hao
设备选择,she'bei'xuan'ze
设备仪表,she'bei'yi'biao
设备一览表,she'bei'yi'lan'biao
设备制造,she'bei'zhi'zao
设备专业,she'bei'zhuan'ye
设备总图,she'bei'zong'tu
设定值,she'ding'zhi
社会效益,she'hui'xiao'yi
社会效益评价,she'hui'xiao'yi'ping'jia
设计,she'ji
设计班子,she'ji'ban'zi
设计标准,she'ji'biao'zhun
设计参数,she'ji'can'shu
设计成品,she'ji'cheng'pin
设计程序,she'ji'cheng'xu
设计单位,she'ji'dan'wei
设计对象,she'ji'dui'xiang
设计方案,she'ji'fang'an
设计费用,she'ji'fei'yong
设计工作,she'ji'gong'zuo
设计工作基本程序,she'ji'gong'zuo'ji'ben'cheng'xu
设计工作者,she'ji'gong'zuo'zhe
设计管理,she'ji'guan'li
设计过程,she'ji'guo'cheng
设计合同,she'ji'he'tong
设计回访,she'ji'hui'fang
设计基础,she'ji'ji'chu
设计机构,she'ji'ji'gou
设计计划,she'ji'ji'hua
设计进度,she'ji'jin'du
设计考虑,she'ji'kao'lv
设计内容,she'ji'nei'rong
设计能力,she'ji'neng'li
设计前期工作报告,she'ji'qian'qi'gong'zuo'bao'gao
设计任务,she'ji'ren'wu
设计人员,she'ji'ren'yuan
设计室,she'ji'shi
设计时间,she'ji'shi'jian
设计说明书,she'ji'shuo'ming'shu
设计思路,she'ji'si'lu
设计思想,she'ji'si'xiang
设计条件,she'ji'tiao'jian
设计图集,she'ji'tu'ji
设计图纸,she'ji'tu'zhi
设计文件,she'ji'wen'jian
设计项目,she'ji'xiang'mu
设计项目负责人,she'ji'xiang'mu'fu'ze'ren
设计要求,she'ji'yao'qiu
设计依据,she'ji'yi'ju
设计院,she'ji'yuan
设计原则,she'ji'yuan'ze
设计指标,she'ji'zhi'biao
设计质量,she'ji'zhi'liang
设计种类,she'ji'zhong'lei
设计准备,she'ji'zhun'bei
设计总负责人,she'ji'zong'fu'ze'ren
审核,shen'he
审核意见,shen'he'yi'jian
审批立项,shen'pi'li'xiang
生产,sheng'chan
生产报表,sheng'chan'bao'biao
生产部门,sheng'chan'bu'men
生产步骤,sheng'chan'bu'zhou
生产车间,sheng'chan'che'jian
生产方法,sheng'chan'fang'fa
生产方式,sheng'chan'fang'shi
生产服务,sheng'chan'fu'wu
生产工段,sheng'chan'gong'duan
生产管理,sheng'chan'guan'li
生产规模,sheng'chan'gui'mo
生产过程,sheng'chan'guo'cheng
生产技术,sheng'chan'ji'shu
生产经营,sheng'chan'jing'ying
生产连续,sheng'chan'lian'xu
生产流程叙述,sheng'chan'liu'cheng'xu'shu
生产能力,sheng'chan'neng'li
生产人员,sheng'chan'ren'yuan
生产实践,sheng'chan'shi'jian
生产稳定,sheng'chan'wen'ding
生产要求,sheng'chan'yao'qiu
生产装置,sheng'chan'zhuang'zhi
生活部门,sheng'huo'bu'men
市场调研,shi'chang'diao'yan
市场需求,shi'chang'xu'qiu
市场预测,shi'chang'yu'ce
试车,shi'che
施工,shi'gong
施工安装,shi'gong'an'zhuang
施工单位,shi'gong'dan'wei
施工阶段,shi'gong'jie'duan
施工结束,shi'gong'jie'shu
施工配合,shi'gong'pei'he
施工说明,shi'gong'shuo'ming
施工说明书,shi'gong'shuo'ming'shu
施工条件,shi'gong'tiao'jian
施工图,shi'gong'tu
施工图设计,shi'gong'tu'she'ji
施工图设计阶段,shi'gong'tu'she'ji'jie'duan
施工图纸,shi'gong'tu'zhi
施工质量,shi'gong'zhi'liang
事故处理,shi'gu'chu'li
石灰厂矿,shi'hui'chang'kuang
实际生产时间,shi'ji'sheng'chan'shi'jian
势力,shi'li
实施方案,shi'shi'fang'an
实施规则,shi'shi'gui'ze
食堂,shi'tang
试验阶段,shi'yan'jie'duan
实验室,shi'yan'shi
适应范围,shi'ying'fan'wei
使用条件,shi'yong'tiao'jian
使用原则,shi'yong'yuan'ze
石油化工,shi'you'hua'gong
石油化工厂,shi'you'hua'gong'chang
收集资料,shou'ji'zi'liao
数据,shu'ju
输水管道,shu'shui'guan'dao
输送设备,shu'song'she'bei
竖向布置,shu'xiang'bu'zhi
数字模型法,shu'zi'mo'xing'fa
水文地质,shui'wen'di'zhi
水文地质资料,shui'wen'di'zhi'zi'liao
水文勘察,shui'wen'kan'cha
水源,shui'yuan
水质处理,shui'zhi'chu'li
搜集资料,sou'ji'zi'liao
塑料,su'liao
塑料厂,su'liao'chang
塑料工业,su'liao'gong'ye
酸性废水,suan'xing'fei'shui
踏勘,ta'kan
特殊措施,te'shu'cuo'shi
特殊管道,te'shu'guan'dao
特殊情况,te'shu'qing'kuang
特殊要求,te'shu'yao'qiu
特殊仪表,te'shu'yi'biao
提纯,ti'chun
条件范围,tiao'jian'fan'wei
同时满足,tong'shi'man'zu
通用设计,tong'yong'she'ji
投标,tou'biao
投产,tou'chan
投资,tou'zi
投资包干,tou'zi'bao'gan
投资额,tou'zi'e
投资费用,tou'zi'fei'yong
投资估算,tou'zi'gu'suan
投资回收期,tou'zi'hui'shou'qi
投资结算,tou'zi'jie'suan
投资利润率,tou'zi'li'run'lv
投资情况,tou'zi'qing'kuang
投资项目,tou'zi'xiang'mu
投资兴建,tou'zi'xing'jian
土建,tu'jian
土建施工图,tu'jian'shi'gong'tu
涂料,tu'liao
推荐方案,tui'jian'fang'an
外部工艺,wai'bu'gong'yi
外部评审,wai'bu'ping'shen
外部条件,wai'bu'tiao'jian
外部约束条件,wai'bu'yue'shu'tiao'jian
外汇储备,wai'hui'chu'bei
烷烃,wan'ting
维护检修规程,wei'hu'jian'xiu'gui'cheng
微机,wei'ji
微机控制,wei'ji'kong'zhi
卫生防疫站,wei'sheng'fang'yi'zhan
卫生要求,wei'sheng'yao'qiu
委托,wei'tuo
委托设计,wei'tuo'she'ji
危险,wei'xian
危险程度,wei'xian'cheng'du
危险区,wei'xian'qu
维修,wei'xiu
维修任务,wei'xiu'ren'wu
稳定性,wen'ding'xing
温度,wen'du
文件,wen'jian
文献资料,wen'xian'zi'liao
文字注解,wen'zi'zhu'jie
污垢系数,wu'gou'xi'shu
无机化学,wu'ji'hua'xue
无机化学工业,wu'ji'hua'xue'gong'ye
物料表,wu'liao'biao
物料处理,wu'liao'chu'li
物料衡算,wu'liao'heng'suan
物料流程图,wu'liao'liu'cheng'tu
物料平衡,wu'liao'ping'heng
物流组成,wu'liu'zu'cheng
污染物,wu'ran'wu
污染源,wu'ran'yuan
污水处理,wu'shui'chu'li
物资,wu'zi
吸收,xi'shou
吸收塔,xi'shou'ta
烯烃,xi'ting
系统的,xi'tong'de
系统物料,xi'tong'wu'liao
下列要求,xia'lie'yao'qiu
现场情况,xian'chang'qing'kuang
现场施工,xian'chang'shi'gong
现代化,xian'dai'hua
现代化化工厂,xian'dai'hua'hua'gong'chang
先进程度,xian'jin'cheng'du
先进性,xian'jin'xing
相当规模,xiang'dang'gui'mo
相对速度,xiang'dui'su'du
橡胶厂,xiang'jiao'chang
橡胶轮胎加工厂,xiang'jiao'lun'tai'jia'gong'chang
详勘,xiang'kan
详勘要求,xiang'kan'yao'qiu
项目筹备组,xiang'mu'chou'bei'zu
项目负责人,xiang'mu'fu'ze'ren
项目后评价,xiang'mu'hou'ping'jia
项目建议书,xiang'mu'jian'yi'shu
项目建议书阶段,xiang'mu'jian'yi'shu'jie'duan
项目名称,xiang'mu'ming'cheng
项目实施,xiang'mu'shi'shi
项目投资,xiang'mu'tou'zi
项目性质,xiang'mu'xing'zhi
项目意向,xiang'mu'yi'xiang
项目组织,xiang'mu'zu'zhi
