阿苯达唑,a'ben'da'zuo
炒扁豆,chao'bian'dou
炒苍耳子,chao'cang'er'zi
炒茺蔚子,chao'chong'wei'zi
炒楮实子,chao'chu'shi'zi
炒川楝子,chao'chuan'lian'zi
炒丹皮,chao'dan'pi
炒稻芽,chao'dao'ya
炒蜂房,chao'feng'fang
炒谷芽,chao'gu'ya
炒瓜蒌子,chao'gua'lou'zi
炒黄柏,chao'huang'bo
炒火麻仁,chao'huo'ma'ren
炒蒺藜,chao'ji'li
炒鸡内金,chao'ji'nei'jin
炒芥子,chao'jie'zi
炒决明子,chao'jue'ming'zi
炒莱菔,chao'lai'fu
炒莱菔子,chao'lai'fu'zi
炒麦芽,chao'mai'ya
炒蔓荆子,chao'man'jing'zi
炒米仁,chao'mi'ren
炒没药,chao'mo'yao
炒南鹤虱,chao'nan'he'shi
炒内金,chao'nei'jin
炒牛蒡子,chao'niu'bang'zi
炒蒲黄,chao'pu'huang
炒牵牛子,chao'qian'niu'zi
炒青葙子,chao'qing'xiang'zi
炒乳香,chao'ru'xiang
炒山桅,chao'shan'wei
炒山楂,chao'shan'zha
炒酸枣仁,chao'suan'zao'ren
朝天罐,chao'tian'guan
炒葶苈子,chao'ting'li'zi
炒王不留行,chao'wang'bu'liu'xing
炒桅子,chao'wei'zi
超氧离子,chao'yang'li'zi
炒栀子,chao'zhi'zi
炒紫苏子,chao'zi'su'zi
车前草,che'qian'cao
车前子,che'qian'zi
陈佛手,chen'fo'shou
陈皮,chen'pi
沉香,chen'xiang
沉香曲,chen'xiang'qu
陈香薷,chen'xiang'ru
成都鱲,cheng'du'la
成都暇虎鱼,cheng'du'xia'hu'yu
称钩风,cheng'gou'feng
呈签,cheng'qian
成鱼期,cheng'yu'qi
赤白芍,chi'bai'shao
赤点石斑鱼,chi'dian'shi'ban'yu
赤茯苓,chi'fu'ling
赤魟,chi'hong
赤芍,chi'shao
赤石脂,chi'shi'zhi
池塘网箱,chi'tang'wang'xiang
赤小豆,chi'xiao'dou
赤眼梭鲻,chi'yan'suo'zi
赤眼鳟,chi'yan'zun
虫白蜡,chong'bai'la
重楼,chong'lou
茺蔚子,chong'wei'zi
虫纹东方鲀,chong'wen'dong'fang'tun
冲账,chong'zhang
臭灵丹草,chou'ling'dan'cao
楮实子,chu'shi'zi
川贝母,chuan'bei'mu
川独活,chuan'du'huo
川厚朴,chuan'hou'po
川黄连,chuan'huang'lian
川楝子,chuan'lian'zi
川明参,chuan'ming'can
川木通,chuan'mu'tong
川木香,chuan'mu'xiang
川牛膝,chuan'niu'xi
穿破石茄根,chuan'po'shi'qie'gen
穿山甲,chuan'shan'jia
穿山龙,chuan'shan'long
川石斛,chuan'shi'hu
船体网箱,chuan'ti'wang'xiang
川桐皮,chuan'tong'pi
川乌,chuan'wu
穿心莲,chuan'xin'lian
川芎,chuan'xiong
川续断,chuan'xu'duan
川射干,chuan'ye'gan
垂盆草,chui'pen'cao
椿根皮,chun'gen'pi
椿皮,chun'pi
刺鲃,ci'ba
刺鲳,ci'chang
雌二醇,ci'er'chun
刺鳅,ci'qiu
刺鳅科,ci'qiu'ke
雌三醇,ci'san'chun
磁石,ci'shi
刺突,ci'tu
刺猬皮,ci'wei'pi
刺五加,ci'wu'jia
次硝酸铋,ci'xiao'suan'bi
葱白,cong'bai
醋艾炭,cu'ai'tan
醋艾叶,cu'ai'ye
醋鳖甲,cu'bie'jia
醋柴胡,cu'chai'hu
粗唇鮠,cu'chun'wei
醋甘遂,cu'gan'sui
醋龟甲,cu'gui'jia
醋三棱,cu'san'leng
醋商陆,cu'shang'lu
醋酸可的松,cu'suan'ke'di'song
醋酸泼尼松,cu'suan'po'ni'song
醋酸氢化可的松,cu'suan'qing'hua'ke'di'song
醋五味子,cu'wu'wei'zi
醋香附,cu'xiang'fu
醋延胡索,cu'yan'hu'suo
醋元胡,cu'yuan'hu
醋芫花,cu'yuan'hua
大斑花鳅,da'ban'hua'qiu
大斑石鲈,da'ban'shi'lu
大豆黄卷,da'dou'huang'juan
大肺筋草,da'fei'jin'cao
大飞扬草,da'fei'yang'cao
大风子,da'feng'zi
大腹皮,da'fu'pi
大红袍,da'hong'pao
大黄,da'huang
大黄鱼,da'huang'yu
大蓟,da'ji
大甲鯵,da'jia'shen
大理裂腹鱼,da'li'lie'fu'yu
大鳞副泥鳅,da'lin'fu'ni'qiu
大泷线鱼,da'long'xian'yu
大马哈鱼,da'ma'ha'yu
大鳍刺鰟鮍,da'qi'ci'pang'pi
大鳍镬,da'qi'huo
大青叶,da'qing'ye
大生,da'sheng
大生地,da'sheng'di
达氏鲟,da'shi'xun
大熟地,da'shu'de
大蒜,da'suan
大弹涂鱼,da'tan'tu'yu
大头陈,da'tou'chen
大西洋神仙,da'xi'yang'shen'xian
大小蓟,da'xiao'ji
大血藤,da'xue'teng
大眼鲷,da'yan'diao
大眼鳜,da'yan'gui
大眼金枪鱼,da'yan'jin'qiang'yu
大银鱼,da'yin'yu
大圆鄂针鱼,da'yuan'e'zhen'yu
大枣,da'zao
带半刺厚唇鱼,dai'ban'ci'hou'chun'yu
代代花,dai'dai'hua
玳玳花,dai'dai'hua
黛蛤散,dai'ha'san
戴家岭,dai'jia'ling
玳瑁,dai'mao
代乳料,dai'ru'liao
带纹条鳎,dai'wen'tiao'ta
带鱼,dai'yu
代赭石,dai'zhe'shi
单带绯鲤,dan'dai'fei'li
淡豆豉,dan'dou'chi
胆矾,dan'fan
淡附片,dan'fu'pian
单核细胞,dan'he'xi'bao
蛋鸡料,dan'ji'liao
单克隆抗体,dan'ke'long'kang'ti
胆木,dan'mu
胆南星,dan'nan'xing
丹参,dan'shen
单细胞蛋白,dan'xi'bao'dan'bai
胆汁,dan'zhi
淡竹茹,dan'zhu'ru
淡竹叶,dan'zhu'ye
当归,dang'gui
党参,dang'shen
当药,dang'yao
刀豆,dao'dou
刀鲚,dao'ji
倒扣草,dao'kou'cao
稻芽,dao'ya
德林,de'lin
灯台细辛,deng'tai'xi'xin
灯台叶,deng'tai'ye
灯心草,deng'xin'cao
敌百虫,di'bai'chong
地必虫,di'bi'chong
地不容,di'bu'rong
敌草隆,di'cao'long
地胆草,di'dan'cao
地耳草,di'er'cao
地枫皮,di'feng'pi
地肤子,di'fu'zi
底改素,di'gai'su
地骨皮,di'gu'pi
地黄,di'huang
地椒,di'jiao
地锦草,di'jin'cao
敌菌净,di'jun'jing
地克珠利,di'ke'zhu'li
地龙,di'long
地美硝唑,di'mei'xiao'zuo
地塞米松,di'sai'mi'song
地塞米松醋酸酯,di'sai'mi'song'cu'suan'zhi
地图鱼,di'tu'yu
地榆,di'yu
地榆炭,di'yu'tan
碘解磷定,dian'jie'lin'ding
碘醚柳胺,dian'mi'liu'an
颠茄草,dian'qie'cao
丁公藤,ding'gong'teng
丁癸草,ding'gui'cao
丁香,ding'xiang
丢了棒,diu'le'bang
冬虫夏草,dong'chong'xia'cao
东方狐鲣,dong'fang'hu'jian
冬瓜皮,dong'gua'pi
冬瓜子,dong'gua'zi
冬葵果,dong'kui'guo
冬葵子,dong'kui'zi
冬凌草,dong'ling'cao
洞庭棒花鱼,dong'ting'bang'hua'yu
豆蔻,dou'kou
杜父鱼科,du'fu'yu'ke
杜衡,du'heng
独活,du'huo
杜鹃花叶,du'juan'hua'ye
杜仲,du'zhong
煅磁石,duan'ci'shi
煅浮海石,duan'fu'hai'shi
短颌鲚,duan'he'ji
煅龙牡,duan'long'mu
煅牡蛎,duan'mu'li
短鳍红娘鱼,duan'qi'hong'niang'yu
煅青礞石,duan'qing'meng'shi
短身间吸鳅,duan'shen'jian'xi'qiu
短身鳅鮀,duan'shen'qiu'tuo
煅石膏,duan'shi'gao
短体条鳅,duan'ti'tiao'qiu
短臀近红鮈,duan'tun'jin'hong'ju
煅瓦楞,duan'wa'leng
煅瓦楞子,duan'wa'leng'zi
短尾大眼鲷,duan'wei'da'yan'diao
短尾突吻鳗,duan'wei'tu'wen'man
短尾鮠,duan'wei'wei
短须颌须鮈,duan'xu'he'xu'ju
断血流,duan'xue'liu
短鯒,duan'yong
煅自燃铜,duan'zi'ran'tong
对硫磷,dui'liu'lin
钝吻棒花鱼,dun'wen'bang'hua'yu
钝吻黄盖鲽,dun'wen'huang'gai'die
钝吻鮠,dun'wen'wei
多菌灵,duo'jun'ling
多抗甲素,duo'kang'jia'su
多鳞刺鰟鮍,duo'lin'ci'pang'pi
多鳞鱚,duo'lin'xi
多潘立酮,duo'pan'li'tong
多西环素,duo'xi'huan'su
鹅不食草,e'bu'shi'cao
鹅管石,e'guan'shi
阿胶,e'jiao
恶喹酸钠,e'kui'suan'na
峨嵋刺鰟鮍,e'mei'ci'pang'pi
峨嵋后平鳅,e'mei'hou'ping'qiu
鳄形短体鳗,e'xing'duan'ti'man
鳄鯒,e'yong
莪术,e'zhu
莪术油,e'zhu'you
恩诺沙星,en'nuo'sha'xing
恩诺沙星钠,en'nuo'sha'xing'na
儿茶,er'cha
二长刺鲷,er'chang'ci'diao
二长棘鲷,er'chang'ji'diao
二带双锯鱼,er'dai'shuang'ju'yu
二分裂,er'fen'lie
二氟沙星,er'fu'sha'xing
二氟沙星口服,er'fu'sha'xing'kou'fu
二甲基甲酰胺,er'jia'ji'jia'xian'an
二甲基亚砜,er'jia'ji'ya'feng
二甲基乙酰胺,er'jia'ji'yi'xian'an
二甲硝咪唑,er'jia'xiao'mi'zuo
二甲氧苄啶,er'jia'yang'bian'ding
二氯异氰尿酸钠,er'lv'yi'qing'niao'suan'na
儿脾醒,er'pi'xing
二羟丙茶碱,er'qiang'bing'cha'jian
二嗪农,er'qin'nong
二色大鹦嘴鱼,er'se'da'ying'zui'yu
儿童草,er'tong'cao
二硝托胺,er'xiao'tuo'an
二溴海因,er'xiu'hai'yin
二氧丙嗪,er'yang'bing'qin
法半夏,fa'ban'xia
法国神仙,fa'guo'shen'xian
法落海,fa'luo'hai
发展中心,fa'zhan'zhong'xin
番红花,fan'hong'hua
番泻叶,fan'xie'ye
防风,fang'feng
防腐剂,fang'fu'ji
防己,fang'ji
防已,fang'yi
方正银鲫,fang'zheng'yin'ji
飞琥珀,fei'hu'po
飞滑石,fei'hua'shi
鲱科,fei'ke
飞廉草,fei'lian'cao
肺形草,fei'xing'cao
飞杨草,fei'yang'cao
肥知母,fei'zhi'mu
榧子,fei'zi
芬苯达唑,fen'ben'da'zuo
粉萆薢,fen'bi'xie
粉葛,fen'ge
粉葛根,fen'ge'gen
粉红鲑,fen'hong'gui
分解代谢,fen'jie'dai'xie
分生孢子,fen'sheng'bao'zi
粉条儿菜,fen'tiao'er'cai
蜂巢石斑鱼,feng'chao'shi'ban'yu
蜂房,feng'fang
凤凰衣,feng'huang'yi
蜂蜡,feng'la
丰鲤,feng'li
蜂蜜,feng'mi
丰年虫,feng'nian'chong
凤尾草,feng'wei'cao
凤仙花,feng'xian'hua
佛甲草,fo'jia'cao
佛手,fo'shou
氟苯尼考,fu'ben'ni'kao
麸炒苍术,fu'chao'cang'zhu
麸炒僵蚕,fu'chao'jiang'can
麸炒枳实,fu'chao'zhi'shi
副蝴蝶鱼,fu'hu'die'yu
副瑚蝶鱼,fu'hu'die'yu
氟甲砜霉素,fu'jia'feng'mei'su
茯苓,fu'ling
茯苓皮,fu'ling'pi
伏龙肝,fu'long'gan
氟氯西林钠,fu'lv'xi'lin'na
呋喃西林,fu'nan'xi'lin
呋喃唑酮,fu'nan'zuo'tong
氟哌酸,fu'pai'suan
覆盆子,fu'pen'zi
复盆子,fu'pen'zi
浮萍,fu'ping
负染色,fu'ran'se
芙蓉花,fu'rong'hua
芙蓉鲤,fu'rong'li
芙蓉叶,fu'rong'ye
茯神,fu'shen
伏神,fu'shen
浮石,fu'shi
浮小麦,fu'xiao'mai
浮游动物,fu'you'dong'wu
浮游生物,fu'you'sheng'wu
浮游植物,fu'you'zhi'wu
福泽泻,fu'ze'xie
附子,fu'zi
伽楠香,ga'nan'xiang
鱤,gan
甘草,gan'cao
干姜,gan'jiang
泔茅术,gan'mao'shu
干漆,gan'qi
感染性疾病,gan'ran'xing'ji'bing
干扰素,gan'rao'su
甘松,gan'song
甘遂,gan'sui
杠板归,gang'ban'gui
岗梅,gang'mei
岗松,gang'song
藁本,gao'ben
高良姜,gao'liang'jiang
高体白甲鱼,gao'ti'bai'jia'yu
高体近红鮈,gao'ti'jin'hong'ju
高新区,gao'xin'qu
高眼鲽,gao'yan'die
葛根,ge'gen
葛花,ge'hua
蛤蚧,ge'jie
蛤壳,ge'ke
革兰氏染色,ge'lan'shi'ran'se
隔山撬,ge'shan'qiao
梗通草,geng'tong'cao
工程鲫,gong'cheng'ji
公丁香,gong'ding'xiang
功劳木,gong'lao'mu
狗宝,gou'bao
狗肝草,gou'gan'cao
狗脊,gou'ji
枸杞子,gou'qi'zi
沟鯵,gou'shen
沟鲹,gou'shen
钩藤,gou'teng
古大桥,gu'da'qiao
固氮,gu'dan
谷精草,gu'jing'cao
谷麦芽,gu'mai'ya
古山龙,gu'shan'long
骨碎补,gu'sui'bu
谷芽,gu'ya
瓜蒂,gua'di
寡鳞刺鰟鮍,gua'lin'ci'pang'pi
寡鳞飘鱼,gua'lin'piao'yu
瓜蒌,gua'lou
瓜蒌皮,gua'lou'pi
瓜蒌仁,gua'lou'ren
瓜蒌子,gua'lou'zi
寡毛类,gua'mao'lei
瓜子金,gua'zi'jin
鳤,guan
关白附,guan'bai'fu
关木通,guan'mu'tong
贯众,guan'zhong
广陈皮,guang'chen'pi
光唇蛇鮈,guang'chun'she'ju
光慈姑,guang'ci'gu
广地龙,guang'di'long
广防已,guang'fang'yi
光魟,guang'hong
广藿香,guang'huo'xiang
广霍香,guang'huo'xiang
广金钱草,guang'jin'qian'cao
光能自养菌,guang'neng'zi'yang'jun
广谱,guang'pu
光桃仁,guang'tao'ren
广郁金,guang'yu'jin
光泽黄颡鱼,guang'ze'huang'sang'yu
光枝勾,guang'zhi'gou
鳜,gui
龟甲,gui'jia
龟甲胶,gui'jia'jiao
龟甲轮虫,gui'jia'lun'chong
鬼箭羽,gui'jian'yu
鬼鲉,gui'you
鳜鱼,gui'yu
硅藻,gui'zao
桂枝,gui'zhi
桂枝尖,gui'zhi'jian
过岗龙,guo'gang'long
国雄,guo'xiong
海大,hai'da
海风藤,hai'feng'teng
海浮石,hai'fu'shi
海狗肾,hai'gou'shen
海鲫,hai'ji
海金砂,hai'jin'sha
海鲢,hai'lian
海龙,hai'long
海马,hai'ma
海鳗,hai'man
海南霉素,hai'nan'mei'su
海鲇,hai'nian
海鲶,hai'nian
海螵蛸,hai'piao'xiao
海桐皮,hai'tong'pi
海藻,hai'zao
蔊菜,han'cai
寒水石,han'shui'shi
汉桃叶,han'tao'ye
杭白菊,hang'bai'ju
貉狐料,hao'hu'liao
好氧微生物,hao'yang'wei'sheng'wu
鹤草酚,he'cao'fen
鹤草芽,he'cao'ya
褐菖鲉,he'chang'you
合成代谢,he'cheng'dai'xie
禾丰,he'feng
合欢花,he'huan'hua
合欢皮,he'huan'pi
贺家土,he'jia'tu
鹤虱,he'shi
何首乌,he'shou'wu
核桃仁,he'tao'ren
褐牙鲆,he'ya'ping
荷叶,he'ye
核衣壳,he'yi'ke
荷沅鲤,he'yuan'li
诃子,he'zi
诃子肉,he'zi'rou
黑背圆颌针鱼,hei'bei'yuan'he'zhen'yu
黑边石斑鱼,hei'bian'shi'ban'yu
黑点裸胸鳝,hei'dian'luo'xiong'shan
黑鲷,hei'diao
黑风藤,hei'feng'teng
黑老虎根,hei'lao'hu'gen
黑皮旗鱼,hei'pi'qi'yu
黑鳍鮈,hei'qi'ju
黑裙,hei'qun
黑鳃梅童鱼,hei'sai'mei'tong'yu
黑顺片,hei'shun'pian
黑尾近红鮈,hei'wei'jin'hong'ju
黑线银鲛,hei'xian'yin'jiao
黑鳕,hei'xue
黑印真鲨,hei'yin'zhen'sha
黑芝麻,hei'zhi'ma
横带刺尾鱼,heng'dai'ci'wei'yu
横带髭鲷,heng'dai'zi'diao
恒惠,heng'hui
恒兴,heng'xing
衡阳薄鳅,heng'yang'bao'qiu
红唇薄鳅,hong'chun'bao'qiu
红大戟,hong'da'ji
红笛鲷,hong'di'diao
红豆蔻,hong'dou'kou
红粉,hong'fen
红根草,hong'gen'cao
红管药,hong'guan'yao
红鲑,hong'gui
红花,hong'hua
红鲫,hong'ji
红狼牙鰕虎鱼,hong'lang'ya'xia'hu'yu
红毛七,hong'mao'qi
红毛五加皮,hong'mao'wu'jia'pi
红霉素,hong'mei'su
红娘花,hong'niang'hua
红鳍鲌,hong'qi'ba
红鳍笛鲷,hong'qi'di'diao
红鳍东方鲀,hong'qi'dong'fang'tun
红鳍裸颊鲷,hong'qi'luo'jia'diao
虹桥,hong'qiao
红肉旗鱼,hong'rou'qi'yu
红参,hong'shen
红头草,hong'tou'cao
红烟管鱼,hong'yan'guan'yu
红药子,hong'yao'zi
喉咙草,hou'long'cao
厚朴,hou'po
厚朴花,hou'pu'hua
猴枣,hou'zao
虎刺,hu'ci
虎耳草,hu'er'cao
护肝片,hu'gan'pian
虎骨,hu'gu
胡黄连,hu'huang'lian
槲寄生,hu'ji'sheng
胡椒,hu'jiao
胡椒鲷,hu'jiao'diao
葫芦巴,hu'lu'ba
葫芦茶,hu'lu'cha
琥珀,hu'po
胡荽,hu'sui
呼吸链,hu'xi'lian
虎鲉,hu'you
虎杖,hu'zhang
虎掌草,hu'zhang'cao
花斑副沙鳅,hua'ban'fu'sha'qiu
花槟榔,hua'bing'lang
华港,hua'gang
花椒,hua'jiao
化橘红,hua'ju'hong
华鲮,hua'ling
花鳗鲡,hua'man'li
化能自养菌,hua'neng'zi'yang'jun
花蕊石,hua'rui'shi
华山参,hua'shan'shen
华生,hua'sheng
华氏,hua'shi
滑石,hua'shi
花尾胡椒鲷,hua'wei'hu'jiao'diao
华西希望,hua'xi'xi'wang
槐花,huai'hua
槐花米,huai'hua'mi
槐角,huai'jiao
怀牛膝,huai'niu'xi
淮山药,huai'shan'yao
环丙沙星,huan'bing'sha'xing
獾油,huan'you
磺胺二甲氧嘧啶,huang'an'er'jia'yang'mi'ding
磺胺二甲氧嘧啶钠,huang'an'er'jia'yang'mi'ding'na
磺胺甲恶唑钠,huang'an'jia'e'zuo'na
磺胺甲氧吡嗪,huang'an'jia'yang'bi'qin
磺胺间甲嘧啶,huang'an'jian'jia'mi'ding
黄鮟鱇,huang'an'kang
磺胺喹噁啉钠,huang'an'kui'e'lin'na
磺胺氯吡嗪钠,huang'an'lv'bi'qin'na
磺胺氯哒嗪钠,huang'an'lv'da'qin'na
磺胺眯,huang'an'mi
磺胺嘧啶,huang'an'mi'ding
磺胺嘧啶钠,huang'an'mi'ding'na
磺胺噻唑,huang'an'sai'zuo
磺胺噻唑钠,huang'an'sai'zuo'na
磺胺五甲嘧啶,huang'an'wu'jia'mi'ding
黄斑燕鳐,huang'ban'yan'yao
黄柏,huang'bo
黄点龙,huang'dian'long
黄鲷,huang'diao
黄粉虫,huang'fen'chong
黄姑鱼,huang'gu'yu
黄瓜,huang'gua
黄鲫,huang'ji
黄精,huang'jing
黄荆子,huang'jing'zi
黄连,huang'lian
黄连素,huang'lian'su
黄栌,huang'lu
黄霉素,huang'mei'su
黄芪,huang'qi
黄鳍金枪鱼,huang'qi'jin'qiang'yu
黄鳍马面鲀,huang'qi'ma'mian'tun
黄芩,huang'qin
黄曲霉毒素,huang'qu'mei'du'su
黄颡鱼,huang'sang'yu
黄鳝,huang'shan
黄藤,huang'teng
黄体酮,huang'ti'tong
黄尾鲴,huang'wei'gu
黄纹拟鲈,huang'wen'ni'lu
黄药子,huang'yao'zi
黄芫花,huang'yuan'hua
汇海,hui'hai
灰裸顶鲷,hui'luo'ding'diao
灰星鲨,hui'xing'sha
混合培养,hun'he'pei'yang
火麻仁,huo'ma'ren
霍佩兰,huo'pei'lan
火炭母,huo'tan'mu
藿香,huo'xiang
鲫,ji
肌醇,ji'chun
几丁质,ji'ding'zhi
鸡骨草,ji'gu'cao
鸡冠花,ji'guan'hua
蒺藜,ji'li
檵木叶,ji'mu'ye
鸡内金,ji'nei'jin
鸡矢藤,ji'shi'teng
鸡苏散,ji'su'san
棘头梅童鱼,ji'tou'mei'tong'yu
己烯雌酚,ji'xi'ci'fen
急性子,ji'xing'zi
积雪草,ji'xue'cao
鸡血藤,ji'xue'teng
鲫鱼,ji'yu
鲫鱼料,ji'yu'liao
甲苯咪唑,jia'ben'mi'zuo
甲砜霉素,jia'feng'mei'su
加富培养基,jia'fu'pei'yang'ji
嘉好,jia'hao
甲磺酸达氟沙星,jia'huang'suan'da'fu'sha'xing
甲磺酸丹诺沙星,jia'huang'suan'dan'nuo'sha'xing
甲磺酸加替沙星,jia'huang'suan'jia'ti'sha'xing
甲磺酸培氟沙星,jia'huang'suan'pei'fu'sha'xing
甲磺酸左旋氧氟沙星,jia'huang'suan'zuo'xuan'yang'fu'sha'xing
甲基纤维素,jia'ji'xian'wei'su
假睛东方鲀,jia'jing'dong'fang'tun
假菌丝,jia'jun'si
加乐,jia'le
甲硫酸新斯的明,jia'liu'suan'xin'si'de'ming
荚膜,jia'mo
甲氰菊脂,jia'qing'ju'zhi
甲氰咪胍,jia'qing'mi'gua
加替沙星,jia'ti'sha'xing
甲硝唑,jia'xiao'zuo
